Orthogroup	Dufourea_novaeangliae	Ceratina_calcarata
OG0004286	XP_015440286.1	XP_017882859.1
OG0004287	XP_015436024.1	XP_017892473.1
OG0004288	XP_015429750.1	XP_017879649.1
OG0004289	XP_015430298.1	XP_017886902.1, XP_026672675.1
OG0004290	XP_015430316.1	XP_017886903.1
OG0004291	XP_015432360.1	XP_026674419.1
OG0004292	XP_015432314.1	XP_026674424.1
OG0004293	XP_015433651.1	XP_017877543.1
OG0004294	XP_015436681.1	XP_017887625.1
OG0004295	XP_015431234.1	XP_017889263.1
OG0004296	XP_015429275.1, XP_015429276.1	XP_017885572.1
OG0004297	XP_015429355.1	XP_017885448.1
OG0004298	XP_015433692.1	XP_017880746.1
OG0004299	XP_015428624.1	XP_026666812.1
OG0004300	XP_015428516.1	XP_026666754.1, XP_026666755.1, XP_017893345.1
OG0004301	XP_015435846.1	XP_017885660.1
OG0004302	XP_015435202.1, XP_015435203.1	XP_017883350.1
OG0004303	XP_015438046.1	XP_017887589.1
OG0004304	XP_015430687.1	XP_026670161.1
OG0004305	XP_015436698.1	XP_017892078.1
OG0004306	XP_015430516.1	XP_017888758.1
OG0004307	XP_015435137.1	XP_026674776.1
OG0004308	XP_015435119.1	XP_017891126.1
OG0004309	XP_015429978.1	XP_017887551.1
OG0004310	XP_015437211.1	XP_017881520.1
OG0004311	XP_015434786.1	XP_017888915.1
OG0004312	XP_015434802.1	XP_017889906.1
OG0004313	XP_015429459.1	XP_017880519.1
OG0004314	XP_015429468.1	XP_017880529.1
OG0004315	XP_015429481.1	XP_017880530.1
OG0004317	XP_015429705.1	XP_017892906.1
OG0004318	XP_015431838.1	XP_017876865.1
OG0004319	XP_015435981.1	XP_017884963.1
OG0004320	XP_015436004.1	XP_017892877.1
OG0004321	XP_015430199.1	XP_026670956.1
OG0004322	XP_015430190.1	XP_017883310.1
OG0004324	XP_015428543.1	XP_017887128.1
OG0004325	XP_015428595.1	XP_017875243.1
OG0004326	XP_015428535.1	XP_026672751.1
OG0004327	XP_015428465.1	XP_017890675.1
OG0004328	XP_015430286.1	XP_017890016.1
OG0004329	XP_015432715.1	XP_017875337.1
OG0004330	XP_015430442.1	XP_026666542.1
OG0004331	XP_015430452.1, XP_015430451.1	XP_017875983.1
OG0004332	XP_015430523.1	XP_017875992.1
OG0004333	XP_015430466.1	XP_017875988.1
OG0004334	XP_015437468.1	XP_026673732.1
OG0004335	XP_015439417.1	XP_017893304.1
OG0004336	XP_015439380.1	XP_017893302.1
OG0004337	XP_015429296.1	XP_026675420.1
OG0004338	XP_015429571.1	XP_026670916.1
OG0004339	XP_015429264.1	XP_017893220.1
OG0004340	XP_015429197.1	XP_017893149.1
OG0004341	XP_015429572.1, XP_015429573.1	XP_017883227.1
OG0004342	XP_015435808.1	XP_026672372.1
OG0004343	XP_015431515.1	XP_017882463.1
OG0004344	XP_015433649.1	XP_017886189.1
OG0004345	XP_015435124.1	XP_026672130.1
OG0004346	XP_015435144.1	XP_017885570.1
OG0004347	XP_015428563.1	XP_017890898.1
OG0004348	XP_015440535.1	XP_026671857.1
OG0004349	XP_015439319.1	XP_026674989.1
OG0004350	XP_015439768.1	XP_026669186.1, XP_026669187.1
OG0004351	XP_015432068.1	XP_017890871.1
OG0004352	XP_015431016.1	XP_017875027.1
OG0004353	XP_015432374.1	XP_026668135.1
OG0004354	XP_015432299.1	XP_017877464.1
OG0004355	XP_015429250.1	XP_017892222.1
OG0004356	XP_015429635.1	XP_017883231.1
OG0004357	XP_015439242.1, XP_015439240.1	XP_017875444.1
OG0004358	XP_015433599.1	XP_017883502.1
OG0004359	XP_015428620.1	XP_017888563.1
OG0004360	XP_015428601.1	XP_017888567.1
OG0004361	XP_015433608.1	XP_026674425.1
OG0004362	XP_015432292.1	XP_026669409.1, XP_017893352.2
OG0004363	XP_015432389.1	XP_017893408.1
OG0004364	XP_015435870.1	XP_026669656.1
OG0004365	XP_015431611.1, XP_015431610.1	XP_017880351.2
OG0004366	XP_015430784.1	XP_017877800.1, XP_017875419.1
OG0004368	XP_015439377.1	XP_017891519.1
OG0004369	XP_015431852.1	XP_017892672.1
OG0004370	XP_015435129.1, XP_015435131.1	XP_017893186.1
OG0004371	XP_015435878.1	XP_017880679.1
OG0004372	XP_015433195.1	XP_017891486.1
OG0004373	XP_015433125.1	XP_026674972.1, XP_017891503.1
OG0004374	XP_015433127.1	XP_017891460.2
OG0004375	XP_015433216.1	XP_017889544.2
OG0004376	XP_015432423.1	XP_026674142.1
OG0004377	XP_015428674.1, XP_015428666.1	XP_017876838.1
OG0004378	XP_015440366.1	XP_017877335.1, XP_017884365.1
OG0004379	XP_015436768.1	XP_017888546.1, XP_017885414.1
OG0004380	XP_015438758.1	XP_017877043.2
OG0004381	XP_015434552.1	XP_017888421.1
OG0004382	XP_015434656.1	XP_017877286.1
OG0004383	XP_015432755.1	XP_017877306.1
OG0004384	XP_015428457.1	XP_017886741.1
OG0004385	XP_015434382.1	XP_026669059.1
OG0004386	XP_015439531.1	XP_017885767.1
OG0004387	XP_015436349.1	XP_017886219.1
OG0004388	XP_015436107.1	XP_026672444.1
OG0004389	XP_015436294.1	XP_017887887.1, XP_017886212.1
OG0004390	XP_015436358.1	XP_017887899.1, XP_017886214.1
OG0004391	XP_015436419.1	XP_017875966.2
OG0004392	XP_015436204.1	XP_017887820.1
OG0004393	XP_015436364.1, XP_015436366.1	XP_017890553.1
OG0004394	XP_015436243.1	XP_017892033.1
OG0004395	XP_015433930.1	XP_017876216.1
OG0004396	XP_015439545.1	XP_017890646.1
OG0004397	XP_015439474.1	XP_017881014.1
OG0004398	XP_015439472.1	XP_017881027.1
OG0004399	XP_015440398.1	XP_017884982.1
OG0004400	XP_015434677.1	XP_026672125.1, XP_017875236.2
OG0004401	XP_015435233.1	XP_017891044.1
OG0004402	XP_015436745.1	XP_026670989.1
OG0004403	XP_015440074.1	XP_026675155.1
OG0004404	XP_015439874.1	XP_017885368.1, XP_017885367.1
OG0004405	XP_015440115.1	XP_026668306.1
OG0004406	XP_015440144.1	XP_017890081.1
OG0004407	XP_015439732.1	XP_026674382.1
OG0004408	XP_015440040.1	XP_017890054.1
OG0004409	XP_015432262.1	XP_026672672.1
OG0004410	XP_015434604.1	XP_017892561.1, XP_026672982.1
OG0004412	XP_015433840.1	XP_017890622.2, XP_026673043.1
OG0004413	XP_015436580.1	XP_017881119.1
OG0004414	XP_015433092.1	XP_026672913.1
OG0004415	XP_015434581.1	XP_017887967.1
OG0004416	XP_015438778.1	XP_017888359.1, XP_017887881.1
OG0004417	XP_015431285.1	XP_026667665.1
OG0004418	XP_015431372.1	XP_026667658.1, XP_017876562.2
OG0004419	XP_015431284.1	XP_017882080.1
OG0004420	XP_015431322.1	XP_017882083.1, XP_026670368.1
OG0004421	XP_015438583.1	XP_017876540.1
OG0004422	XP_015438434.1	XP_017881305.1
OG0004423	XP_015436458.1	XP_017892162.1
OG0004424	XP_015434142.1	XP_017884969.1
OG0004425	XP_015438631.1	XP_017893337.1
OG0004426	XP_015438658.1	XP_017886845.1
OG0004427	XP_015438756.1	XP_017875799.1
OG0004428	XP_015433462.1	XP_017890835.1
OG0004429	XP_015433458.1	XP_017886539.1, XP_017875142.1
OG0004430	XP_015432071.1	XP_026667284.1
OG0004431	XP_015436757.1, XP_015436758.1	XP_017890951.1
OG0004432	XP_015436522.1	XP_026669108.1, XP_017879674.1
OG0004433	XP_015439302.1	XP_017886346.1
OG0004434	XP_015439382.1	XP_017889718.2
OG0004435	XP_015434908.1	XP_017889344.1
OG0004436	XP_015439432.1, XP_015439433.1	XP_017889389.1
OG0004437	XP_015439381.1	XP_017889821.1
OG0004438	XP_015430188.1	XP_017889833.1
OG0004439	XP_015432487.1	XP_017889399.1
OG0004440	XP_015433109.1	XP_017889406.1
OG0004441	XP_015439336.1	XP_017886386.1
OG0004442	XP_015434823.1	XP_026670786.1
OG0004443	XP_015434845.1	XP_026668438.1, XP_017882719.2
OG0004444	XP_015430979.1	XP_017880063.1
OG0004445	XP_015437490.1	XP_017883456.1
OG0004446	XP_015437517.1	XP_026671025.1
OG0004448	XP_015433676.1	XP_026672404.1
OG0004449	XP_015429360.1	XP_017886161.1
OG0004450	XP_015435773.1	XP_017887320.1
OG0004451	XP_015431998.1	XP_026669155.1
OG0004452	XP_015440079.1, XP_015440080.1	XP_017891324.1
OG0004453	XP_015433369.1	XP_026675150.1, XP_017891761.1
OG0004454	XP_015428984.1	XP_026669533.1, XP_017880576.1
OG0004455	XP_015436559.1	XP_017887498.1
OG0004456	XP_015430888.1	XP_017880090.1
OG0004457	XP_015430926.1	XP_017880052.1
OG0004458	XP_015430951.1	XP_017880057.1
OG0004459	XP_015430927.1	XP_017877248.1
OG0004460	XP_015437516.1	XP_017888353.1
OG0004461	XP_015433521.1	XP_017893091.1
OG0004462	XP_015433523.1	XP_017893090.1
OG0004463	XP_015429123.1	XP_017883320.1
OG0004464	XP_015440116.1	XP_017890063.1
OG0004465	XP_015439682.1	XP_017879510.1
OG0004467	XP_015438976.1	XP_026667155.1
OG0004468	XP_015439017.1	XP_017875508.1
OG0004469	XP_015439102.1	XP_017885008.1
OG0004470	XP_015438993.1	XP_017881606.1
OG0004471	XP_015439229.1	XP_017875534.1
OG0004472	XP_015434076.1	XP_017885006.1, XP_026671509.1
OG0004473	XP_015434038.1	XP_017884674.1
OG0004474	XP_015431188.1	XP_017891721.1
OG0004475	XP_015434784.1	XP_017888035.2
OG0004476	XP_015437698.1	XP_017891798.1
OG0004477	XP_015432788.1	XP_017878750.1
OG0004478	XP_015436970.1	XP_017880789.1
OG0004479	XP_015432877.1	XP_017880935.1
OG0004480	XP_015438904.1	XP_026673207.1
OG0004481	XP_015432132.1	XP_026673633.1, XP_017888453.1
OG0004482	XP_015438620.1	XP_026672704.1
OG0004483	XP_015438618.1	XP_017886655.1
OG0004484	XP_015438621.1	XP_017880186.1
OG0004485	XP_015438651.1	XP_017886824.1
OG0004486	XP_015438650.1	XP_017886822.1
OG0004487	XP_015438624.1	XP_017886693.1
OG0004488	XP_015438649.1	XP_017886690.1
OG0004489	XP_015433087.1	XP_017888539.1
OG0004490	XP_015440382.1	XP_017892612.2
OG0004491	XP_015436728.1	XP_017892996.1
OG0004492	XP_015434411.1	XP_017887916.1
OG0004493	XP_015429934.1	XP_017887869.1
OG0004494	XP_015428863.1	XP_026675286.1
OG0004495	XP_015439660.1	XP_017882379.1
OG0004496	XP_015439898.1	XP_017882881.1
OG0004497	XP_015434052.1	XP_017885000.1
OG0004498	XP_015438953.1	XP_026671587.1
OG0004499	XP_015429082.1	XP_017884242.1
OG0004500	XP_015429105.1	XP_026668986.1
OG0004501	XP_015432075.1	XP_026667738.1, XP_026667740.1
OG0004502	XP_015439154.1	XP_017884526.1
OG0004503	XP_015438986.1	XP_026671671.1
OG0004504	XP_015439568.1	XP_017883795.1
OG0004505	XP_015438355.1	XP_017882047.1
OG0004506	XP_015438415.1	XP_017882158.1
OG0004507	XP_015438591.1, XP_015438590.1	XP_017891878.1
OG0004508	XP_015437073.1	XP_017876600.1
OG0004509	XP_015430600.1	XP_017876488.1
OG0004510	XP_015438938.1	XP_017884975.1
OG0004511	XP_015435484.1	XP_017876260.1
OG0004512	XP_015428387.1	XP_026668589.1
OG0004514	XP_015438799.1	XP_026668549.1
OG0004515	XP_015437734.1	XP_017876583.1
OG0004516	XP_015437777.1	XP_017878650.1
OG0004517	XP_015438793.1	XP_017878503.1
OG0004518	XP_015437760.1	XP_017890496.1, XP_017890497.1
OG0004519	XP_015437366.1	XP_017879069.1
OG0004520	XP_015437292.1	XP_026668544.1
OG0004521	XP_015432221.1, XP_015432220.1	XP_017875351.1
OG0004522	XP_015430682.1	XP_017878728.1
OG0004523	XP_015430633.1	XP_017893619.1
OG0004525	XP_015436427.1	XP_017889302.1
OG0004526	XP_015436423.1	XP_017881482.1
OG0004527	XP_015436055.1	XP_017893069.1
OG0004528	XP_015436318.1	XP_017878251.1
OG0004529	XP_015436296.1	XP_017881642.1
OG0004530	XP_015440140.1	XP_017890103.1
OG0004531	XP_015431933.1	XP_017883020.1
OG0004532	XP_015439666.1	XP_026671352.1, XP_026667472.1
OG0004533	XP_015440256.1	XP_017890145.1
OG0004534	XP_015439834.1	XP_026674302.1, XP_017890243.1
OG0004535	XP_015440137.1	XP_026674303.1
OG0004536	XP_015440038.1	XP_017883518.1
OG0004537	XP_015433264.1	XP_017891579.1
OG0004538	XP_015437822.1	XP_017884293.1
OG0004539	XP_015437591.1	XP_026666834.1
OG0004540	XP_015429711.1	XP_026667923.1, XP_026671291.1
OG0004541	XP_015433088.1	XP_026667916.1
OG0004542	XP_015429129.1	XP_017884363.1
OG0004543	XP_015429015.1	XP_017884264.1
OG0004544	XP_015437197.1	XP_017878681.1
OG0004545	XP_015432727.1	XP_017886933.1
OG0004546	XP_015429385.1	XP_017876130.2, XP_026671647.1
OG0004547	XP_015434474.1	XP_017887570.1
OG0004548	XP_015429425.1	XP_017890630.1
OG0004549	XP_015432592.1	XP_017886984.1
OG0004550	XP_015431544.1	XP_017887295.1, XP_017887294.1
OG0004551	XP_015437902.1	XP_017875073.1, XP_017882755.1
OG0004552	XP_015436076.1	XP_017885143.2
OG0004553	XP_015436994.1	XP_017892390.1
OG0004554	XP_015429802.1	XP_026672004.1
OG0004555	XP_015433981.1	XP_017878211.1
OG0004556	XP_015433978.1	XP_017879183.1
OG0004557	XP_015435038.1	XP_026667750.1, XP_026667747.1
OG0004558	XP_015434015.1	XP_026668889.1
OG0004559	XP_015431396.1	XP_017876748.1
OG0004560	XP_015431840.1	XP_026667798.1
OG0004561	XP_015431348.1	XP_026669504.1
OG0004562	XP_015429020.1	XP_017880565.1
OG0004563	XP_015438428.1	XP_017876706.1
OG0004564	XP_015438391.1	XP_017886606.1
OG0004565	XP_015437829.1	XP_017890342.1
OG0004566	XP_015436451.1	XP_017881405.1
OG0004567	XP_015438248.1	XP_017885836.1
OG0004568	XP_015437648.1	XP_017885986.1
OG0004569	XP_015438240.1	XP_017885250.1, XP_017885252.1
OG0004570	XP_015435752.1	XP_017884119.1, XP_026671381.1
OG0004571	XP_015435749.1	XP_017880241.1
OG0004572	XP_015432661.1	XP_017880160.1
OG0004573	XP_015438141.1, XP_015438148.1	XP_017885997.1
OG0004574	XP_015437735.1	XP_017885948.1
OG0004575	XP_015438183.1	XP_017885864.1
OG0004576	XP_015436600.1	XP_017876867.1
OG0004577	XP_015436587.1	XP_026673846.1
OG0004578	XP_015428688.1	XP_026673702.1
OG0004579	XP_015431559.1	XP_017881656.1, XP_017880702.1
OG0004580	XP_015431504.1	XP_017881655.1
OG0004581	XP_015434659.1	XP_017880937.1, XP_017880939.1
OG0004582	XP_015434657.1	XP_017877097.1, XP_017881007.1
OG0004583	XP_015432760.1	XP_017880213.1
OG0004584	XP_015432733.1	XP_017880257.1
OG0004585	XP_015432749.1	XP_026672928.1, XP_026672018.1
OG0004586	XP_015429911.1	XP_017887710.1
OG0004587	XP_015429927.1	XP_017887657.1
OG0004588	XP_015436596.1	XP_017875060.2
OG0004590	XP_015432726.1	XP_017886946.1
OG0004591	XP_015432747.1	XP_017886835.1
OG0004592	XP_015428412.1	XP_017877589.1
OG0004593	XP_015435530.1	XP_017877580.1
OG0004594	XP_015428403.1	XP_026668582.1, XP_017878521.1
OG0004595	XP_015440452.1	XP_026667825.1
OG0004596	XP_015437719.1	XP_017880010.1
OG0004597	XP_015437758.1	XP_017879985.1
OG0004598	XP_015439109.1	XP_017875234.1
OG0004599	XP_015432852.1	XP_026667415.1
OG0004600	XP_015432958.1	XP_017881036.1
OG0004601	XP_015430093.1	XP_017881212.1
OG0004602	XP_015430117.1	XP_017881210.1
OG0004603	XP_015431442.1	XP_017887988.1
OG0004604	XP_015428832.1	XP_017886138.1
OG0004605	XP_015438719.1	XP_017876976.1
OG0004606	XP_015438168.1	XP_017883934.1
OG0004607	XP_015430110.1	XP_017875298.1
OG0004608	XP_015432931.1	XP_017891199.1
OG0004609	XP_015432813.1	XP_017888977.1
OG0004610	XP_015433082.1	XP_017888944.1
OG0004611	XP_015432854.1	XP_017889172.1
OG0004612	XP_015432858.1	XP_017882951.1
OG0004613	XP_015432805.1	XP_017890795.1
OG0004614	XP_015429133.1	XP_017888930.1, XP_017887298.1
OG0004615	XP_015432883.1	XP_017883325.1
OG0004616	XP_015431011.1	XP_026671286.1
OG0004617	XP_015430062.1	XP_017889265.1, XP_017889313.1
OG0004618	XP_015436845.1	XP_017878075.1
OG0004619	XP_015430098.1	XP_026673868.1
OG0004620	XP_015438324.1	XP_017878865.1
OG0004621	XP_015438315.1	XP_017878861.1, XP_017878859.1
OG0004622	XP_015439558.1	XP_017876989.1
OG0004623	XP_015437817.1	XP_017888244.2, XP_017888247.1
OG0004624	XP_015434561.1	XP_017890847.1, XP_026674734.1
OG0004625	XP_015440515.1	XP_026675549.1
OG0004626	XP_015438557.1	XP_017883875.1
OG0004627	XP_015435840.1	XP_017887031.1
OG0004628	XP_015433774.1	XP_026672900.1
OG0004629	XP_015428768.1, XP_015428769.1	XP_017879043.1
OG0004630	XP_015429373.1	XP_026669724.1
OG0004631	XP_015439890.1	XP_017890027.1
OG0004632	XP_015431121.1	XP_017892230.1
OG0004633	XP_015431061.1	XP_017892196.1
OG0004634	XP_015437259.1	XP_017875516.1
OG0004635	XP_015439737.1	XP_017891386.1
OG0004636	XP_015439735.1	XP_026674887.1
OG0004637	XP_015432655.1	XP_017886817.1
OG0004638	XP_015438578.1, XP_015438577.1	XP_017876550.1
OG0004639	XP_015438743.1	XP_017888043.1
OG0004640	XP_015434508.1	XP_017885153.1
OG0004641	XP_015440278.1, XP_015440283.1	XP_017877606.1
OG0004642	XP_015434407.1	XP_017885828.1
OG0004643	XP_015434484.1	XP_026671952.1
OG0004644	XP_015428731.1	XP_017881112.1
OG0004645	XP_015438456.1	XP_017882208.1
OG0004646	XP_015436802.1	XP_026675213.1
OG0004647	XP_015428749.1	XP_017878986.1, XP_017878989.1
OG0004648	XP_015428761.1	XP_017878997.1
OG0004649	XP_015439636.1	XP_026673795.1
OG0004650	XP_015435798.1	XP_017881196.1
OG0004651	XP_015435457.1	XP_017877978.1
OG0004652	XP_015428806.1	XP_017881074.1
OG0004653	XP_015433282.1	XP_017891356.1
OG0004655	XP_015440098.1	XP_017883551.1
OG0004656	XP_015436323.1	XP_017880803.1
OG0004657	XP_015431728.1	XP_026668457.1
OG0004658	XP_015429019.1	XP_026669515.1
OG0004659	XP_015431647.1	XP_017876885.1
OG0004660	XP_015431593.1	XP_017884256.1
OG0004661	XP_015431823.1	XP_026666833.1, XP_017874998.1
OG0004662	XP_015431836.1	XP_026667716.1, XP_017876866.1
OG0004663	XP_015429078.1	XP_026674885.1, XP_017890852.1
OG0004664	XP_015433406.1	XP_017887126.1
OG0004665	XP_015437097.1	XP_017885408.1
OG0004666	XP_015434290.1	XP_017886193.1
OG0004667	XP_015434279.1	XP_017875251.1
OG0004668	XP_015434240.1	XP_026672818.1
OG0004669	XP_015434221.1	XP_017886092.1
OG0004671	XP_015431505.1	XP_017888609.1
OG0004672	XP_015433650.1	XP_017886067.1
OG0004673	XP_015431657.1	XP_026668699.1, XP_017878769.1
OG0004674	XP_015431659.1	XP_017878796.1, XP_026668726.1
OG0004675	XP_015432827.1	XP_017875943.1
OG0004676	XP_015436018.1	XP_017893545.1
OG0004677	XP_015430643.1	XP_017878078.1
OG0004679	XP_015430796.1	XP_017891681.1
OG0004680	XP_015436835.1	XP_026667443.1, XP_026670722.1
OG0004681	XP_015430864.1	XP_017893651.1
OG0004682	XP_015437868.1	XP_026666693.1
OG0004683	XP_015430789.1	XP_026670152.1, XP_017881727.1
OG0004685	XP_015439955.1	XP_017883141.1
OG0004686	XP_015434601.1	XP_026669378.1
OG0004687	XP_015440070.1	XP_017883569.1
OG0004688	XP_015439647.1	XP_026674293.1
OG0004689	XP_015435754.1	XP_017880243.1
OG0004690	XP_015433270.1	XP_017883023.1
OG0004691	XP_015440130.1	XP_017879614.1, XP_026669068.1
OG0004692	XP_015428448.1	XP_026669363.1
OG0004693	XP_015440122.1	XP_026669217.1, XP_026673301.1
OG0004695	XP_015431941.1	XP_017880703.1
OG0004696	XP_015436759.1	XP_026674704.1
OG0004697	XP_015432003.1	XP_017881624.1
OG0004698	XP_015433559.1	XP_017877555.1
OG0004699	XP_015434235.1	XP_017875107.1, XP_026666942.1
OG0004700	XP_015438804.1	XP_017888985.1
OG0004701	XP_015436766.1	XP_026668156.1
OG0004702	XP_015438256.1	XP_017890369.1, XP_026674716.1
OG0004703	XP_015429976.1	XP_017888007.1
OG0004704	XP_015434550.1	XP_017882808.1
OG0004705	XP_015429424.1	XP_017892359.1
OG0004706	XP_015429999.1	XP_026673256.1
OG0004708	XP_015437613.1	XP_017877594.1
OG0004709	XP_015435114.1	XP_017891196.1
OG0004710	XP_015436035.1	XP_017885923.1
OG0004711	XP_015437456.1	XP_017888354.1
OG0004712	XP_015430480.1	XP_017890826.1
OG0004713	XP_015429640.1	XP_017885537.1
OG0004714	XP_015430398.1	XP_026673296.1, XP_017876174.2
OG0004715	XP_015435135.1	XP_017891275.1
OG0004716	XP_015430968.1	XP_017885394.2
OG0004717	XP_015435081.1	XP_017891133.1
OG0004718	XP_015433748.1	XP_017887523.2
OG0004719	XP_015437520.1, XP_015437519.1	XP_017876011.1
OG0004720	XP_015430891.1	XP_017892963.2
OG0004721	XP_015436156.1	XP_017876238.1
OG0004722	XP_015436105.1	XP_017886620.1
OG0004723	XP_015433756.1	XP_017882788.1
OG0004724	XP_015439493.1	XP_017877322.1
OG0004725	XP_015431191.1	XP_017889292.1
OG0004726	XP_015435275.1	XP_017887968.1
OG0004727	XP_015436122.1	XP_026672523.1, XP_026672354.1
OG0004728	XP_015435458.1	XP_017875219.1
OG0004729	XP_015439480.1	XP_017881230.1
OG0004731	XP_015431290.1	XP_026667678.1, XP_026667679.1
OG0004732	XP_015438424.1	XP_017882113.1
OG0004733	XP_015437668.1	XP_017875707.1
OG0004734	XP_015428919.1	XP_026675194.1, XP_017892125.1
OG0004735	XP_015431266.1	XP_026668870.1
OG0004736	XP_015429752.1	XP_017879764.1
OG0004737	XP_015438601.1	XP_026667225.1
OG0004738	XP_015438513.1	XP_026671230.1, XP_017883818.1
OG0004740	XP_015436584.1, XP_015436586.1	XP_026673836.1
OG0004741	XP_015431332.1, XP_015431331.1	XP_017885673.1
OG0004742	XP_015438363.1	XP_017881188.2
OG0004743	XP_015437376.1	XP_026669250.1
OG0004744	XP_015435546.1	XP_017876269.1
OG0004745	XP_015435581.1	XP_017878624.1
OG0004746	XP_015437343.1	XP_026674519.1, XP_026674523.1
OG0004747	XP_015437369.1	XP_017890467.1
OG0004749	XP_015435514.1	XP_026668528.1, XP_026668527.1
OG0004750	XP_015436512.1	XP_026671289.1, XP_017883948.1
OG0004751	XP_015436601.1	XP_017883957.1
OG0004753	XP_015432135.1	XP_017880180.1
OG0004754	XP_015432203.1	XP_017877482.1
OG0004755	XP_015438617.1	XP_017890672.2
OG0004756	XP_015438629.1	XP_017886753.1
OG0004757	XP_015430176.1	XP_026670965.1
OG0004758	XP_015432730.1	XP_017890649.1
OG0004759	XP_015436809.1	XP_017891495.1
OG0004760	XP_015437172.1	XP_017892530.1
OG0004761	XP_015438027.1	XP_026666687.1, XP_017893383.1
OG0004762	XP_015428570.1	XP_017890315.1
OG0004763	XP_015428510.1	XP_026667034.1
OG0004765	XP_015432362.1	XP_017893434.2
OG0004766	XP_015432311.1	XP_017890317.1, XP_026674416.1
OG0004767	XP_015429319.1	XP_017882962.1
OG0004768	XP_015438924.1	XP_017881908.1
OG0004769	XP_015439089.1	XP_026671867.1
OG0004770	XP_015438951.1	XP_026671542.1
OG0004771	XP_015434104.1	XP_017884974.1
OG0004772	XP_015434055.1	XP_026671789.1
OG0004773	XP_015434154.1	XP_017888064.1
OG0004774	XP_015434027.1	XP_017888077.1
OG0004775	XP_015438978.1	XP_026673324.1
OG0004776	XP_015429730.1	XP_017889239.1
OG0004777	XP_015435595.1	XP_017889338.1
OG0004778	XP_015437952.1	XP_017889804.1
OG0004779	XP_015433104.1	XP_017892573.1
OG0004781	XP_015439307.1	XP_017889819.1
OG0004782	XP_015439435.1	XP_017889755.1
OG0004783	XP_015439436.1	XP_017889588.1
OG0004784	XP_015433167.1, XP_015433168.1	XP_017878132.1
OG0004785	XP_015434821.1	XP_017882834.1
OG0004786	XP_015430383.1	XP_017883699.1
OG0004788	XP_015434701.1	XP_017888395.2
OG0004789	XP_015437549.1	XP_017886900.2
OG0004790	XP_015438173.1	XP_017885943.1
OG0004791	XP_015434455.1	XP_026671989.1
OG0004792	XP_015434487.1	XP_017885164.1
OG0004793	XP_015435262.1	XP_017888199.1
OG0004794	XP_015438949.1	XP_017875475.1
OG0004795	XP_015429966.1	XP_017892382.1
OG0004796	XP_015436012.1	XP_026673270.1
OG0004797	XP_015429825.1	XP_017887929.1
OG0004798	XP_015436268.1	XP_017883937.1
OG0004799	XP_015429943.1	XP_017887714.1
OG0004800	XP_015436496.1	XP_017892075.1
OG0004801	XP_015433010.1	XP_017888180.1
OG0004802	XP_015428556.1	XP_017890982.1
OG0004803	XP_015431558.1, XP_015436456.1	XP_017887251.1
OG0004804	XP_015431616.1	XP_017876904.1, XP_026667809.1
OG0004807	XP_015432509.1, XP_015438134.1	XP_026671302.1
OG0004808	XP_015433055.1	XP_026668899.1
OG0004809	XP_015435022.1	XP_017883918.1
OG0004810	XP_015433989.1	XP_017876840.1
OG0004811	XP_015429467.1	XP_017892926.2
OG0004812	XP_015429449.1	XP_026669534.1
OG0004813	XP_015437273.1	XP_026668965.1
OG0004814	XP_015434966.1	XP_026668948.1, XP_017879245.1
OG0004816	XP_015428985.1	XP_017879339.1
OG0004817	XP_015428987.1	XP_026668957.1
OG0004818	XP_015429747.1	XP_017892541.1, XP_017892542.1
OG0004819	XP_015434958.1	XP_026667759.1
OG0004820	XP_015435057.1	XP_017876831.1
OG0004821	XP_015434964.1	XP_026667733.1, XP_017876765.1
OG0004822	XP_015430145.1	XP_017885088.1
OG0004823	XP_015429132.1	XP_017879172.1
OG0004824	XP_015435828.1	XP_017882352.1
OG0004825	XP_015434294.1	XP_026672791.1
OG0004826	XP_015429277.1	XP_017889325.1
OG0004827	XP_015431545.1	XP_026672965.1, XP_017887275.1
OG0004828	XP_015438487.1	XP_017875675.1
OG0004829	XP_015431541.1	XP_026670582.1
OG0004830	XP_015435780.1	XP_026672915.1
OG0004831	XP_015439282.1	XP_026666760.1
OG0004832	XP_015431462.1	XP_017882415.1
OG0004833	XP_015435075.1, XP_015435074.1	XP_017879097.1
OG0004834	XP_015429341.1	XP_026669739.1
OG0004835	XP_015429334.1	XP_017886140.1
OG0004836	XP_015429351.1	XP_017887257.1
OG0004837	XP_015432578.1	XP_017892106.1
OG0004838	XP_015434326.1	XP_026672884.1, XP_026672885.1
OG0004839	XP_015434270.1	XP_026668137.1
OG0004840	XP_015438040.1, XP_015428764.1	XP_017893348.1
OG0004841	XP_015433657.1	XP_017880722.1
OG0004842	XP_015434155.1	XP_026667904.1, XP_026667852.1
OG0004843	XP_015434275.1	XP_017886095.1
OG0004844	XP_015431627.1	XP_017877748.1
OG0004845	XP_015430833.1	XP_026668332.1, XP_017877943.1
OG0004846	XP_015430620.1	XP_017891669.1
OG0004847	XP_015438309.1	XP_017881163.2
OG0004849	XP_015439217.1	XP_026670135.1
OG0004850	XP_015438091.1	XP_026668321.1, XP_017877873.2
OG0004852	XP_015430743.1	XP_017878264.1
OG0004853	XP_015436912.1	XP_026675050.1
OG0004855	XP_015430745.1	XP_017893633.1
OG0004856	XP_015436915.1	XP_017878812.1
