Orthogroup	Dufourea_novaeangliae	Megalopta_genalis
OG0003560	XP_015429680.1	XP_033330762.1, XP_033330635.1
OG0003561	XP_015433962.1	XP_033341795.1
OG0003562	XP_015431444.1	XP_033326940.1
OG0003563	XP_015435776.1	XP_033321734.1
OG0003564	XP_015435907.1	XP_033321682.1, XP_033321681.1
OG0003565	XP_015435837.1, XP_015435836.1, XP_015435835.1	XP_033331280.1
OG0003566	XP_015429782.1	XP_033322023.1
OG0003567	XP_015434239.1	XP_033326980.1
OG0003568	XP_015439600.1	XP_033326823.1
OG0003569	XP_015434120.1	XP_033329864.1, XP_033329863.1
OG0003570	XP_015435884.1	XP_033323119.1
OG0003571	XP_015429336.1	XP_033321912.1
OG0003572	XP_015429318.1	XP_033327981.1
OG0003573	XP_015434272.1	XP_033323225.1
OG0003574	XP_015432646.1	XP_033323076.1
OG0003575	XP_015434398.1	XP_033337653.1, XP_033337652.1
OG0003576	XP_015435889.1	XP_033321844.1
OG0003577	XP_015430629.1	XP_033327098.1
OG0003579	XP_015430133.1	XP_033330475.1
OG0003580	XP_015437536.1	XP_033331804.1
OG0003581	XP_015430859.1	XP_033327226.1, XP_033327223.1, XP_033327227.1
OG0003582	XP_015431649.1	XP_033329772.1
OG0003583	XP_015431682.1	XP_033333789.1
OG0003585	XP_015436875.1	XP_033326963.1
OG0003586	XP_015440326.1	XP_033326413.1
OG0003587	XP_015436893.1	XP_033327045.1, XP_033327043.1
OG0003588	XP_015440337.1	XP_033327052.1, XP_033327051.1, XP_033341788.1
OG0003589	XP_015432938.1	XP_033325241.1
OG0003590	XP_015439836.1	XP_033323324.1
OG0003591	XP_015440010.1	XP_033328236.1
OG0003592	XP_015439700.1	XP_033328243.1, XP_033328242.1
OG0003593	XP_015433819.1	XP_033336987.1
OG0003595	XP_015440150.1	XP_033322553.1
OG0003596	XP_015432194.1	XP_033326092.1, XP_033326091.1
OG0003598	XP_015439696.1	XP_033324256.1
OG0003599	XP_015440171.1	XP_033335588.1
OG0003600	XP_015440202.1	XP_033333958.1
OG0003601	XP_015440102.1	XP_033324066.1, XP_033324065.1
OG0003602	XP_015439982.1	XP_033327973.1
OG0003603	XP_015433295.1	XP_033328185.1
OG0003604	XP_015439838.1	XP_033327814.1
OG0003605	XP_015433305.1	XP_033337134.1, XP_033337264.1
OG0003606	XP_015439739.1	XP_033321134.1
OG0003607	XP_015440129.1	XP_033324098.1
OG0003608	XP_015433323.1	XP_033332735.1
OG0003609	XP_015438201.1	XP_033340324.1
OG0003610	XP_015438135.1, XP_015429682.1	XP_033333507.1
OG0003611	XP_015435734.1, XP_015435750.1	XP_033331727.1
OG0003612	XP_015438417.1	XP_033329687.1
OG0003613	XP_015436725.1	XP_033330955.1
OG0003614	XP_015435287.1	XP_033340998.1
OG0003615	XP_015432547.1	XP_033332342.1
OG0003616	XP_015431951.1	XP_033323724.1, XP_033323725.1, XP_033323726.1
OG0003617	XP_015438664.1	XP_033339340.1
OG0003618	XP_015438396.1	XP_033320789.1
OG0003619	XP_015439023.1	XP_033329674.1
OG0003620	XP_015440356.1	XP_033321095.1
OG0003621	XP_015433873.1	XP_033333811.1
OG0003622	XP_015436723.1	XP_033322727.1
OG0003623	XP_015431939.1	XP_033333865.1, XP_033333866.1
OG0003624	XP_015432064.1	XP_033329174.1, XP_033329175.1
OG0003625	XP_015432045.1	XP_033323769.1
OG0003626	XP_015434505.1	XP_033322986.1
OG0003627	XP_015429522.1	XP_033329267.1
OG0003628	XP_015429916.1	XP_033331873.1, XP_033331874.1
OG0003629	XP_015429496.1	XP_033329221.1, XP_033329223.1
OG0003630	XP_015429593.1	XP_033332725.1
OG0003631	XP_015429435.1	XP_033340908.1
OG0003632	XP_015436007.1	XP_033329377.1
OG0003633	XP_015435747.1	XP_033334333.1
OG0003634	XP_015435682.1	XP_033335146.1
OG0003635	XP_015434731.1	XP_033324509.1
OG0003636	XP_015431020.1	XP_033321732.1
OG0003637	XP_015433952.1	XP_033325549.1
OG0003638	XP_015429190.1	XP_033329428.1
OG0003639	XP_015434248.1	XP_033322774.1
OG0003642	XP_015438331.1	XP_033325891.1
OG0003643	XP_015430414.1	XP_033327297.1, XP_033327299.1
OG0003644	XP_015429196.1	XP_033329608.1
OG0003645	XP_015433746.1	XP_033323987.1
OG0003646	XP_015437459.1	XP_033327481.1
OG0003647	XP_015430554.1	XP_033332640.1
OG0003648	XP_015438095.1	XP_033327767.1
OG0003649	XP_015438043.1	XP_033339159.1
OG0003650	XP_015438044.1	XP_033339250.1
OG0003651	XP_015433704.1	XP_033332558.1, XP_033332560.1
OG0003652	XP_015435082.1	XP_033329444.1
OG0003653	XP_015429184.1	XP_033340184.1, XP_033340183.1
OG0003654	XP_015430907.1	XP_033337395.1
OG0003655	XP_015431042.1	XP_033337675.1
OG0003656	XP_015433723.1	XP_033336741.1
OG0003657	XP_015436359.1	XP_033321325.1
OG0003658	XP_015433631.1	XP_033327446.1
OG0003659	XP_015430484.1	XP_033340181.1, XP_033340180.1
OG0003660	XP_015436164.1	XP_033321157.1
OG0003661	XP_015436047.1	XP_033323333.1
OG0003662	XP_015436173.1	XP_033333437.1
OG0003663	XP_015439504.1	XP_033333283.1
OG0003664	XP_015438437.1	XP_033331591.1
OG0003665	XP_015431321.1	XP_033326043.1, XP_033326040.1
OG0003666	XP_015436704.1	XP_033332226.1
OG0003667	XP_015429854.1	XP_033340176.1, XP_033340175.1
OG0003668	XP_015438455.1	XP_033338481.1
OG0003669	XP_015433437.1	XP_033325619.1
OG0003670	XP_015428859.1	XP_033325503.1
OG0003671	XP_015428860.1	XP_033325674.1
OG0003672	XP_015436530.1	XP_033324499.1
OG0003673	XP_015428875.1	XP_033325458.1
OG0003674	XP_015435911.1	XP_033321956.1
OG0003675	XP_015438548.1	XP_033339883.1, XP_033331411.1
OG0003676	XP_015438495.1	XP_033339606.1
OG0003677	XP_015439562.1	XP_033325425.1
OG0003678	XP_015438393.1	XP_033325431.1
OG0003679	XP_015430596.1, XP_015430597.1	XP_033325683.1
OG0003680	XP_015429900.1	XP_033333079.1
OG0003681	XP_015438606.1, XP_015438607.1	XP_033331748.1
OG0003682	XP_015438366.1	XP_033331750.1
OG0003683	XP_015431254.1	XP_033340966.1
OG0003684	XP_015437278.1	XP_033342436.1
OG0003685	XP_015436564.1	XP_033324486.1
OG0003686	XP_015438278.1, XP_015438277.1	XP_033331865.1
OG0003687	XP_015438788.1	XP_033342998.1
OG0003688	XP_015433721.1	XP_033336735.1
OG0003689	XP_015435518.1	XP_033334902.1
OG0003690	XP_015428675.1	XP_033336818.1, XP_033329910.1, XP_033336774.1
OG0003691	XP_015437312.1	XP_033342266.1
OG0003692	XP_015438814.1	XP_033334513.1
OG0003693	XP_015438847.1	XP_033334518.1
OG0003694	XP_015437344.1	XP_033331849.1, XP_033331848.1
OG0003695	XP_015434442.1	XP_033323034.1
OG0003696	XP_015438797.1	XP_033342451.1, XP_033342452.1
OG0003697	XP_015436548.1	XP_033334677.1
OG0003698	XP_015438127.1, XP_015437285.1, XP_015437283.1	XP_033342250.1
OG0003699	XP_015437722.1	XP_033334889.1
OG0003700	XP_015437720.1	XP_033334693.1
OG0003701	XP_015437542.1	XP_033331654.1
OG0003702	XP_015435169.1	XP_033322583.1
OG0003703	XP_015432093.1	XP_033335392.1
OG0003704	XP_015439391.1	XP_033322327.1
OG0003705	XP_015436365.1	XP_033340573.1
OG0003706	XP_015435471.1	XP_033339892.1, XP_033328823.1, XP_033328827.1
OG0003707	XP_015437697.1	XP_033328274.1
OG0003709	XP_015433790.1	XP_033337532.1
OG0003710	XP_015432326.1	XP_033330186.1
OG0003712	XP_015428617.1	XP_033339994.1, XP_033330286.1
OG0003713	XP_015428507.1	XP_033330167.1
OG0003714	XP_015432409.1	XP_033332210.1, XP_033332209.1
OG0003715	XP_015428523.1, XP_015428524.1	XP_033334314.1
OG0003716	XP_015434123.1	XP_033335774.1
OG0003717	XP_015439195.1	XP_033335970.1
OG0003718	XP_015438943.1	XP_033336415.1
OG0003719	XP_015434064.1	XP_033321514.1, XP_033336434.1
OG0003720	XP_015438989.1	XP_033323977.1
OG0003721	XP_015434198.1	XP_033336350.1
OG0003722	XP_015430221.1	XP_033336535.1
OG0003723	XP_015432428.1	XP_033324845.1, XP_033324844.1
OG0003724	XP_015434806.1	XP_033324894.1
OG0003725	XP_015432490.1	XP_033342557.1
OG0003726	XP_015435620.1	XP_033340535.1
OG0003727	XP_015433180.1	XP_033324980.1
OG0003728	XP_015437937.1	XP_033322304.1, XP_033322305.1
OG0003729	XP_015437955.1	XP_033324709.1
OG0003730	XP_015432422.1	XP_033341566.1
OG0003731	XP_015428470.1	XP_033338894.1, XP_033338892.1, XP_033338893.1
OG0003732	XP_015434619.1	XP_033330064.1
OG0003733	XP_015437713.1	XP_033340536.1
OG0003734	XP_015428475.1	XP_033325181.1, XP_033325032.1
OG0003735	XP_015432672.1	XP_033338500.1
OG0003736	XP_015430249.1	XP_033338555.1
OG0003737	XP_015438276.1	XP_033340283.1
OG0003738	XP_015438257.1	XP_033331831.1
OG0003739	XP_015429889.1	XP_033340796.1
OG0003740	XP_015432855.1	XP_033328807.1, XP_033328640.1, XP_033328639.1
OG0003741	XP_015435280.1	XP_033341110.1
OG0003742	XP_015429697.1	XP_033321456.1, XP_033321455.1, XP_033321459.1
OG0003743	XP_015433572.1	XP_033328765.1
OG0003744	XP_015433783.1	XP_033339943.1
OG0003745	XP_015429484.1, XP_015429485.1	XP_033339834.1, XP_033330632.1
OG0003746	XP_015434991.1	XP_033342203.1
OG0003747	XP_015438837.1	XP_033342445.1
OG0003748	XP_015437011.1	XP_033334935.1, XP_033334934.1, XP_033334933.1
OG0003749	XP_015432355.1, XP_015432354.1	XP_033332236.1
OG0003750	XP_015432786.1	XP_033328708.1, XP_033328537.1
OG0003751	XP_015439156.1	XP_033336139.1
OG0003752	XP_015432415.1	XP_033324629.1, XP_033324631.1, XP_033324630.1
OG0003753	XP_015436612.1	XP_033323598.1
OG0003754	XP_015434971.1	XP_033342083.1
OG0003755	XP_015433006.1	XP_033334262.1
OG0003756	XP_015429174.1	XP_033338234.1
OG0003757	XP_015429040.1	XP_033323677.1
OG0003758	XP_015440208.1	XP_033331133.1
OG0003759	XP_015439663.1	XP_033321174.1
OG0003760	XP_015436317.1	XP_033332383.1
OG0003761	XP_015431192.1	XP_033334336.1
OG0003762	XP_015440178.1	XP_033323957.1
OG0003763	XP_015439991.1	XP_033322567.1, XP_033322566.1
OG0003764	XP_015428555.1	XP_033321588.1
OG0003765	XP_015434983.1	XP_033342001.1
OG0003766	XP_015435028.1	XP_033323631.1
OG0003767	XP_015437894.1	XP_033326616.1
OG0003768	XP_015434324.1	XP_033331270.1
OG0003769	XP_015433320.1, XP_015433321.1	XP_033328183.1, XP_033328182.1
OG0003771	XP_015436287.1	XP_033340669.1
OG0003772	XP_015435248.1	XP_033325286.1
OG0003773	XP_015437654.1	XP_033331405.1
OG0003774	XP_015437763.1	XP_033331884.1
OG0003775	XP_015435339.1	XP_033328528.1
OG0003776	XP_015430288.1	XP_033338920.1
OG0003777	XP_015439051.1	XP_033330799.1, XP_033330800.1, XP_033330801.1
OG0003778	XP_015433473.1	XP_033337393.1
OG0003779	XP_015430293.1	XP_033326533.1, XP_033326531.1, XP_033326532.1
OG0003780	XP_015431488.1, XP_015431487.1	XP_033331241.1
OG0003781	XP_015428867.1	XP_033341073.1
OG0003783	XP_015431376.1	XP_033339324.1, XP_033321463.1
OG0003784	XP_015437707.1	XP_033342935.1
OG0003785	XP_015437518.1	XP_033329839.1
OG0003786	XP_015434426.1	XP_033329714.1
OG0003787	XP_015429931.1	XP_033340696.1
OG0003788	XP_015431905.1	XP_033323107.1, XP_033323155.1, XP_033339860.1
OG0003789	XP_015430146.1	XP_033339442.1
OG0003790	XP_015432933.1	XP_033333684.1
OG0003791	XP_015432122.1	XP_033325202.1
OG0003792	XP_015438500.1, XP_015438501.1	XP_033331513.1
OG0003793	XP_015437676.1	XP_033325931.1, XP_033325930.1
OG0003794	XP_015437020.1	XP_033342533.1
OG0003795	XP_015429862.1	XP_033340046.1, XP_033340047.1
OG0003796	XP_015436631.1	XP_033340774.1
OG0003797	XP_015440475.1	XP_033342999.1
OG0003798	XP_015432309.1	XP_033339158.1
OG0003799	XP_015428583.1	XP_033330225.1
OG0003800	XP_015428512.1, XP_015428521.1	XP_033332014.1
OG0003801	XP_015439101.1	XP_033335919.1
OG0003802	XP_015429954.1, XP_015429953.1	XP_033340411.1
OG0003803	XP_015432814.1	XP_033328953.1
OG0003804	XP_015431851.1	XP_033323666.1, XP_033323665.1
OG0003805	XP_015435801.1	XP_033321891.1
OG0003806	XP_015436935.1	XP_033336914.1
OG0003807	XP_015430703.1, XP_015430702.1, XP_015430803.1	XP_033338099.1
OG0003808	XP_015430852.1	XP_033336893.1
OG0003809	XP_015439772.1	XP_033323342.1
OG0003810	XP_015437214.1	XP_033326931.1
OG0003811	XP_015429865.1	XP_033340378.1, XP_033340379.1
OG0003812	XP_015429234.1	XP_033334094.1
OG0003813	XP_015431480.1	XP_033329876.1
OG0003814	XP_015432823.1	XP_033323010.1, XP_033323012.1, XP_033323011.1
OG0003815	XP_015430782.1	XP_033328506.1, XP_033328515.1
OG0003816	XP_015428915.1	XP_033341069.1, XP_033341068.1
OG0003817	XP_015429290.1, XP_015429291.1	XP_033329572.1
OG0003818	XP_015430403.1	XP_033330347.1
OG0003819	XP_015429238.1, XP_015429237.1, XP_015429236.1	XP_033333106.1
OG0003820	XP_015428489.1	XP_033338742.1
OG0003821	XP_015431866.1	XP_033330576.1
OG0003822	XP_015429030.1	XP_033321498.1
OG0003823	XP_015437139.1	XP_033325600.1
OG0003824	XP_015430753.1	XP_033336867.1, XP_033336866.1
OG0003825	XP_015437718.1	XP_033342606.1, XP_033342608.1, XP_033342607.1
OG0003827	XP_015434543.1	XP_033328478.1
OG0003828	XP_015430733.1	XP_033337052.1
OG0003829	XP_015435900.1	XP_033326769.1
OG0003830	XP_015430180.1	XP_033340173.1, XP_033340172.1
OG0003831	XP_015436325.1	XP_033333618.1, XP_033333616.1
OG0003832	XP_015435200.1	XP_033333516.1
OG0003833	XP_015440378.1	XP_033343091.1, XP_033343092.1
OG0003834	XP_015434101.1	XP_033335693.1
OG0003835	XP_015437737.1	XP_033334887.1
OG0003836	XP_015433451.1	XP_033327627.1, XP_033327626.1
OG0003837	XP_015431837.1	XP_033330739.1
OG0003839	XP_015440462.1, XP_015440460.1	XP_033334802.1
OG0003840	XP_015439434.1	XP_033331031.1, XP_033331047.1
OG0003841	XP_015434137.1	XP_033336411.1, XP_033336412.1
OG0003842	XP_015435576.1	XP_033334649.1
OG0003843	XP_015438440.1	XP_033343117.1
OG0003844	XP_015440227.1	XP_033339681.1, XP_033339680.1, XP_033339678.1
OG0003845	XP_015438030.1	XP_033330268.1
OG0003846	XP_015439949.1	XP_033322552.1
OG0003847	XP_015437013.1	XP_033334555.1, XP_033334559.1
OG0003848	XP_015435896.1	XP_033322156.1
OG0003849	XP_015434385.1	XP_033334012.1, XP_033334010.1, XP_033334011.1
OG0003850	XP_015440044.1	XP_033321175.1, XP_033321178.1
OG0003851	XP_015434102.1	XP_033336437.1, XP_033336436.1, XP_033336438.1
OG0003852	XP_015439871.1	XP_033324342.1
OG0003853	XP_015431076.1	XP_033337693.1
OG0003854	XP_015437652.1	XP_033325902.1
OG0003855	XP_015437356.1	XP_033342949.1
OG0003856	XP_015433635.1	XP_033326967.1
OG0003857	XP_015437210.1	XP_033323759.1
OG0003858	XP_015438242.1	XP_033340545.1
OG0003859	XP_015435329.1	XP_033341327.1
OG0003860	XP_015429733.1	XP_033323493.1
OG0003861	XP_015431997.1	XP_033329171.1
OG0003862	XP_015435765.1	XP_033341732.1
OG0003863	XP_015435221.1	XP_033323866.1
OG0003864	XP_015432603.1	XP_033322582.1
OG0003865	XP_015440243.1	XP_033339944.1, XP_033327994.1
OG0003867	XP_015437931.1	XP_033322255.1
OG0003868	XP_015435328.1	XP_033331649.1
OG0003869	XP_015438167.1	XP_033340476.1
OG0003870	XP_015431392.1	XP_033320878.1
OG0003871	XP_015428948.1	XP_033335403.1, XP_033331477.1
OG0003872	XP_015437337.1	XP_033342790.1
OG0003873	XP_015430882.1	XP_033323276.1
OG0003874	XP_015434517.1	XP_033333211.1
OG0003875	XP_015440014.1	XP_033334027.1
OG0003876	XP_015432237.1	XP_033338904.1, XP_033338901.1
OG0003877	XP_015438671.1	XP_033325094.1
OG0003878	XP_015437196.1	XP_033326878.1
OG0003879	XP_015436750.1	XP_033339713.1
OG0003880	XP_015440298.1	XP_033342541.1
OG0003881	XP_015429558.1	XP_033329495.1
OG0003882	XP_015428458.1	XP_033338693.1
OG0003883	XP_015438180.1	XP_033340776.1
OG0003884	XP_015428878.1	XP_033331586.1
OG0003885	XP_015436756.1	XP_033324624.1
OG0003886	XP_015432005.1	XP_033339347.1, XP_033322558.1, XP_033323450.1
OG0003887	XP_015435111.1	XP_033329348.1
OG0003888	XP_015439798.1	XP_033321388.1, XP_033321393.1, XP_033321340.1
OG0003889	XP_015429024.1, XP_015429025.1	XP_033334112.1
OG0003890	XP_015428803.1	XP_033329944.1
OG0003892	XP_015433294.1	XP_033328177.1, XP_033328176.1
OG0003893	XP_015430153.1	XP_033341011.1
OG0003894	XP_015437191.1	XP_033320809.1
OG0003895	XP_015431183.1	XP_033325558.1
OG0003896	XP_015439310.1	XP_033322320.1
OG0003897	XP_015433148.1	XP_033324987.1
OG0003898	XP_015432957.1	XP_033341169.1
OG0003899	XP_015435036.1	XP_033342003.1, XP_033342002.1
OG0003900	XP_015434181.1	XP_033336619.1, XP_033336628.1
OG0003901	XP_015439941.1	XP_033324168.1, XP_033324224.1
OG0003902	XP_015433784.1	XP_033331108.1, XP_033331109.1
OG0003903	XP_015428742.1	XP_033327290.1
OG0003904	XP_015439285.1	XP_033332917.1
OG0003905	XP_015430527.1	XP_033327516.1, XP_033327517.1
OG0003906	XP_015434647.1	XP_033333518.1, XP_033333519.1
OG0003908	XP_015439790.1	XP_033328036.1
OG0003909	XP_015436776.1	XP_033322860.1, XP_033322854.1
OG0003910	XP_015433186.1	XP_033343006.1, XP_033342994.1, XP_033342967.1
OG0003911	XP_015438164.1	XP_033340339.1, XP_033340340.1
OG0003912	XP_015437711.1	XP_033342358.1, XP_033342362.1
OG0003913	XP_015433712.1	XP_033330838.1
OG0003914	XP_015438082.1	XP_033326543.1, XP_033321475.1
OG0003915	XP_015435927.1	XP_033321609.1
OG0003916	XP_015436345.1	XP_033333724.1
OG0003917	XP_015430307.1	XP_033338934.1
OG0003918	XP_015435890.1	XP_033326213.1
OG0003919	XP_015430913.1	XP_033337567.1
OG0003920	XP_015428921.1	XP_033331489.1
OG0003921	XP_015429339.1	XP_033331201.1, XP_033331202.1
OG0003922	XP_015430797.1	XP_033338139.1
OG0003923	XP_015438058.1	XP_033339297.1
OG0003924	XP_015436464.1	XP_033336503.1
OG0003925	XP_015439776.1	XP_033327957.1
OG0003926	XP_015435229.1	XP_033336327.1, XP_033335704.1
OG0003929	XP_015429121.1	XP_033321540.1, XP_033321539.1
OG0003930	XP_015434403.1	XP_033332814.1
OG0003931	XP_015433914.1, XP_015433916.1	XP_033323338.1
OG0003932	XP_015435570.1	XP_033334813.1, XP_033334822.1
OG0003933	XP_015439055.1	XP_033336231.1
OG0003935	XP_015433516.1	XP_033337933.1
OG0003938	XP_015437303.1	XP_033343052.1
OG0003941	XP_015433956.1	XP_033341975.1
OG0003943	XP_015432483.1	XP_033324726.1, XP_033324727.1
OG0003946	XP_015438230.1	XP_033331888.1, XP_033331886.1, XP_033331887.1
OG0003950	XP_015435637.1	XP_033340446.1
OG0003951	XP_015440086.1	XP_033332106.1
OG0003952	XP_015439698.1	XP_033336974.1
OG0003953	XP_015436407.1	XP_033327935.1
OG0003954	XP_015433017.1	XP_033323668.1
OG0003955	XP_015433187.1	XP_033327701.1
OG0003956	XP_015432079.1	XP_033325150.1
OG0003957	XP_015436969.1	XP_033323422.1, XP_033323421.1
OG0003958	XP_015433438.1	XP_033326020.1
OG0003959	XP_015439210.1	XP_033336141.1
OG0003961	XP_015438973.1	XP_033336257.1
OG0003962	XP_015429323.1	XP_033321594.1
OG0003963	XP_015437176.1	XP_033323715.1
OG0003964	XP_015438900.1	XP_033340056.1
OG0003965	XP_015430012.1	XP_033329075.1, XP_033329083.1
OG0003966	XP_015437190.1	XP_033323733.1, XP_033323732.1
OG0003967	XP_015437692.1	XP_033330122.1
OG0003968	XP_015435883.1	XP_033323674.1
OG0003969	XP_015431485.1	XP_033329826.1
OG0003970	XP_015429457.1	XP_033330617.1
OG0003972	XP_015439464.1	XP_033339243.1
OG0003973	XP_015436062.1	XP_033336396.1
OG0003974	XP_015434811.1	XP_033341640.1
OG0003975	XP_015432638.1	XP_033323543.1
OG0003976	XP_015428389.1	XP_033335066.1
OG0003977	XP_015440223.1	XP_033328079.1
OG0003978	XP_015428996.1	XP_033339376.1
OG0003979	XP_015436478.1	XP_033335733.1
OG0003980	XP_015437031.1	XP_033334942.1
OG0003981	XP_015440180.1	XP_033339691.1
OG0003982	XP_015439189.1	XP_033336302.1
OG0003983	XP_015431295.1	XP_033340735.1
OG0003984	XP_015429520.1	XP_033340088.1
OG0003985	XP_015431044.1	XP_033337535.1
OG0003986	XP_015435774.1	XP_033321707.1
OG0003987	XP_015433153.1	XP_033341647.1
OG0003988	XP_015438994.1	XP_033323933.1
OG0003989	XP_015428978.1	XP_033330346.1
OG0003990	XP_015430088.1	XP_033325297.1
OG0003991	XP_015435684.1	XP_033334806.1
OG0003992	XP_015436071.1	XP_033321167.1
OG0003993	XP_015434610.1	XP_033321711.1, XP_033321708.1
OG0003994	XP_015435017.1	XP_033341997.1
OG0003995	XP_015439626.1	XP_033332973.1
OG0003996	XP_015437610.1	XP_033333733.1
OG0003998	XP_015437399.1	XP_033342699.1
OG0003999	XP_015430672.1	XP_033336794.1
OG0004000	XP_015435427.1	XP_033341927.1
OG0004001	XP_015433612.1	XP_033333510.1
OG0004002	XP_015434525.1	XP_033340317.1, XP_033339921.1
OG0004003	XP_015437109.1	XP_033321641.1
OG0004004	XP_015429507.1	XP_033322323.1
OG0004005	XP_015429783.1	XP_033322102.1
OG0004006	XP_015436344.1	XP_033321271.1
OG0004007	XP_015429582.1	XP_033329271.1
OG0004008	XP_015440510.1	XP_033342714.1
OG0004009	XP_015428495.1	XP_033332461.1
OG0004010	XP_015430880.1	XP_033323114.1
OG0004011	XP_015436370.1, XP_015436371.1	XP_033334007.1
OG0004012	XP_015437891.1	XP_033324862.1
OG0004013	XP_015435437.1	XP_033328757.1
OG0004014	XP_015429240.1	XP_033326188.1
OG0004015	XP_015436557.1, XP_015436558.1	XP_033335005.1
OG0004016	XP_015432734.1	XP_033335262.1
OG0004017	XP_015432337.1	XP_033330179.1
OG0004018	XP_015440371.1	XP_033320820.1
OG0004019	XP_015434465.1	XP_033325239.1
OG0004020	XP_015433073.1	XP_033328633.1
OG0004021	XP_015431634.1	XP_033338039.1
OG0004022	XP_015435196.1	XP_033339660.1
OG0004024	XP_015429401.1	XP_033327617.1
OG0004025	XP_015440169.1	XP_033324173.1
OG0004026	XP_015438579.1	XP_033340629.1
OG0004027	XP_015434970.1	XP_033342084.1
OG0004028	XP_015429102.1	XP_033342006.1
OG0004029	XP_015434931.1	XP_033324689.1
OG0004030	XP_015428755.1	XP_033336731.1
OG0004031	XP_015435278.1	XP_033341304.1
OG0004032	XP_015432998.1	XP_033328524.1
OG0004033	XP_015432664.1	XP_033338476.1
OG0004034	XP_015437074.1	XP_033339693.1
OG0004035	XP_015439267.1	XP_033336185.1
OG0004036	XP_015435270.1	XP_033328816.1, XP_033328817.1
OG0004038	XP_015429451.1	XP_033339406.1, XP_033339407.1
OG0004039	XP_015439405.1	XP_033322390.1
OG0004040	XP_015434547.1	XP_033322983.1
OG0004041	XP_015434406.1	XP_033330380.1
OG0004042	XP_015440432.1	XP_033334790.1
OG0004043	XP_015435416.1	XP_033328836.1
OG0004044	XP_015439352.1	XP_033321321.1
OG0004045	XP_015438026.1	XP_033330262.1
OG0004046	XP_015430448.1	XP_033341367.1
OG0004047	XP_015438414.1	XP_033339591.1
OG0004048	XP_015436952.1	XP_033335631.1, XP_033335621.1
OG0004050	XP_015438655.1	XP_033335250.1
OG0004051	XP_015432498.1	XP_033324642.1
OG0004052	XP_015439819.1	XP_033324014.1
OG0004053	XP_015430321.1	XP_033335458.1, XP_033335459.1
OG0004054	XP_015429299.1	XP_033329531.1, XP_033329530.1
OG0004055	XP_015434148.1	XP_033335980.1
OG0004056	XP_015430337.1	XP_033338886.1
OG0004057	XP_015437614.1, XP_015428551.1	XP_033331063.1
OG0004058	XP_015432236.1	XP_033330899.1, XP_033340887.1
OG0004059	XP_015432365.1	XP_033332248.1
OG0004060	XP_015438536.1	XP_033325440.1
OG0004061	XP_015440421.1	XP_033326496.1
OG0004062	XP_015435401.1	XP_033328961.1
OG0004063	XP_015432381.1	XP_033332018.1
OG0004064	XP_015438328.1	XP_033332081.1
OG0004065	XP_015439951.1	XP_033339869.1, XP_033324366.1
OG0004066	XP_015438598.1	XP_033339339.1
OG0004067	XP_015435972.1	XP_033329342.1, XP_033329343.1
OG0004068	XP_015433757.1	XP_033323352.1
OG0004069	XP_015439414.1	XP_033324666.1
OG0004070	XP_015433016.1	XP_033328651.1
OG0004071	XP_015440147.1	XP_033328042.1
OG0004072	XP_015438612.1	XP_033330087.1
OG0004074	XP_015436320.1	XP_033327411.1
OG0004075	XP_015435461.1	XP_033328988.1, XP_033328990.1
OG0004076	XP_015439783.1	XP_033323881.1
OG0004077	XP_015440266.1	XP_033335559.1
OG0004078	XP_015434331.1	XP_033321814.1
OG0004080	XP_015432880.1	XP_033322941.1
OG0004081	XP_015428780.1	XP_033329429.1
OG0004082	XP_015432940.1	XP_033328560.1, XP_033328559.1
OG0004083	XP_015430645.1	XP_033337036.1
OG0004084	XP_015429281.1	XP_033329642.1
OG0004085	XP_015439074.1	XP_033336674.1
OG0004086	XP_015432996.1	XP_033328557.1, XP_033328556.1
OG0004087	XP_015438388.1	XP_033325463.1
OG0004088	XP_015437933.1	XP_033322252.1
OG0004089	XP_015437314.1	XP_033342782.1
OG0004090	XP_015437611.1	XP_033334358.1
OG0004091	XP_015430567.1	XP_033332602.1
OG0004092	XP_015435779.1	XP_033328141.1
OG0004093	XP_015436579.1	XP_033334837.1, XP_033334838.1
OG0004094	XP_015434399.1	XP_033335041.1
OG0004095	XP_015434667.1	XP_033335356.1
OG0004096	XP_015435259.1	XP_033341175.1
OG0004097	XP_015436947.1	XP_033336913.1
OG0004098	XP_015438532.1	XP_033329133.1
OG0004099	XP_015429933.1	XP_033340344.1
OG0004100	XP_015433423.1, XP_015433422.1	XP_033320952.1
OG0004101	XP_015440138.1	XP_033322475.1
OG0004102	XP_015432052.1	XP_033343116.1
OG0004103	XP_015435519.1, XP_015435520.1	XP_033335127.1
OG0004104	XP_015439171.1	XP_033336423.1
OG0004105	XP_015438723.1	XP_033331704.1
OG0004106	XP_015431475.1	XP_033329892.1
OG0004107	XP_015437183.1	XP_033329110.1
OG0004108	XP_015433979.1	XP_033342058.1
OG0004109	XP_015431527.1	XP_033322175.1
OG0004110	XP_015438228.1	XP_033331778.1
OG0004111	XP_015435649.1	XP_033341537.1
OG0004112	XP_015439181.1	XP_033335783.1
OG0004113	XP_015433477.1	XP_033337739.1, XP_033337738.1
OG0004114	XP_015432438.1	XP_033324794.1
OG0004115	XP_015436707.1	XP_033331049.1
OG0004116	XP_015439395.1	XP_033322202.1
OG0004117	XP_015432019.1	XP_033341748.1
