Orthogroup	Dufourea_novaeangliae	Bombus_terrestris
OG0004019	XP_015434465.1	XP_003396861.1
OG0004020	XP_015433073.1	XP_012164476.1
OG0004021	XP_015431634.1	XP_012174081.1
OG0004022	XP_015435196.1	XP_012169545.1
OG0004024	XP_015429401.1	XP_003401635.1
OG0004025	XP_015440169.1	XP_003395644.1
OG0004027	XP_015434970.1	XP_003393673.1
OG0004028	XP_015429102.1	XP_003394087.2
OG0004029	XP_015434931.1	XP_003401400.1
OG0004030	XP_015428755.1	XP_003399158.1
OG0004031	XP_015435278.1	XP_003393452.1
OG0004032	XP_015432998.1	XP_012164702.1
OG0004033	XP_015432664.1	XP_003402122.1
OG0004034	XP_015437074.1	XP_003399212.1
OG0004035	XP_015439267.1	XP_003400441.2
OG0004036	XP_015435270.1	XP_012165575.1
OG0004037	XP_015436376.1	XP_012167417.2
OG0004038	XP_015429451.1	XP_012172264.1
OG0004039	XP_015439405.1	XP_003401182.1
OG0004040	XP_015434547.1	XP_020719339.1
OG0004041	XP_015434406.1	XP_003396921.1
OG0004042	XP_015440432.1	XP_003398735.1
OG0004043	XP_015435416.1	XP_020720555.1
OG0004044	XP_015439352.1	XP_012171994.2
OG0004045	XP_015438026.1	XP_003400219.1
OG0004046	XP_015430448.1	XP_003393512.2
OG0004047	XP_015438414.1	XP_012168116.1
OG0004048	XP_015436952.1	XP_003395235.1
OG0004049	XP_015438073.1	XP_020723971.1
OG0004050	XP_015438655.1	XP_003399909.1
OG0004051	XP_015432498.1	XP_003401568.1
OG0004052	XP_015439819.1	XP_003401998.3
OG0004053	XP_015430321.1	XP_003402109.1
OG0004054	XP_015429299.1	XP_003397349.1
OG0004055	XP_015434148.1	XP_012171703.1, XP_003400780.2
OG0004056	XP_015430337.1	XP_012173669.1, XP_003402105.1
OG0004057	XP_015437614.1, XP_015428551.1	XP_003396433.2
OG0004058	XP_015432236.1	XP_003399509.1
OG0004059	XP_015432365.1	XP_012171070.1
OG0004060	XP_015438536.1	XP_003398444.1
OG0004061	XP_015440421.1	XP_003395029.1
OG0004062	XP_015435401.1	XP_020724326.1
OG0004063	XP_015432381.1	XP_003403424.2
OG0004064	XP_015438328.1	XP_003396474.1
OG0004065	XP_015439951.1	XP_003395667.1
OG0004066	XP_015438598.1	XP_003396009.1
OG0004067	XP_015435972.1	XP_012175279.1, XP_003403281.1
OG0004068	XP_015433757.1	XP_003397983.1
OG0004069	XP_015439414.1	XP_003401546.1
OG0004070	XP_015433016.1	XP_003392904.1
OG0004071	XP_015440147.1	XP_003395515.1
OG0004072	XP_015438612.1	XP_003399464.1
OG0004074	XP_015436320.1	XP_012168709.1
OG0004075	XP_015435461.1	XP_003393165.1
OG0004076	XP_015439783.1	XP_003395758.1
OG0004077	XP_015440266.1	XP_012169627.1
OG0004078	XP_015434331.1	XP_003402351.1
OG0004080	XP_015432880.1	XP_003392947.1
OG0004081	XP_015428780.1	XP_003399436.1
OG0004082	XP_015432940.1	XP_003393040.1
OG0004083	XP_015430645.1	XP_003402493.1
OG0004084	XP_015429281.1	XP_003397144.1
OG0004085	XP_015439074.1	XP_003400883.1, XP_012171660.1
OG0004086	XP_015432996.1	XP_003393042.1
OG0004087	XP_015438388.1	XP_020720661.1
OG0004088	XP_015437933.1	XP_020722769.1
OG0004089	XP_015437314.1	XP_003399029.1
OG0004090	XP_015437611.1	XP_003400019.1, XP_012170663.1
OG0004091	XP_015430567.1	XP_003403121.1
OG0004092	XP_015435779.1	XP_012176250.1
OG0004093	XP_015436579.1	XP_003398955.1
OG0004094	XP_015434399.1	XP_003400521.1
OG0004095	XP_015434667.1	XP_003399483.1
OG0004096	XP_015435259.1	XP_003393020.1, XP_012176581.1
OG0004097	XP_015436947.1	XP_012174142.1
OG0004098	XP_015438532.1	XP_012174727.1
OG0004099	XP_015429933.1	XP_003396525.1, XP_020719356.1
OG0004100	XP_015433423.1, XP_015433422.1	XP_012168034.1
OG0004101	XP_015440138.1	XP_003395767.1
OG0004102	XP_015432052.1	XP_003396066.1
OG0004103	XP_015435519.1, XP_015435520.1	XP_012169169.1
OG0004104	XP_015439171.1	XP_003400815.1
OG0004105	XP_015438723.1	XP_003397745.1, XP_012167085.1
OG0004106	XP_015431475.1	XP_003394581.1
OG0004107	XP_015437183.1	XP_012174717.1
OG0004108	XP_015433979.1	XP_020723372.1, XP_003393709.1
OG0004109	XP_015431527.1	XP_003394711.1
OG0004110	XP_015438228.1	XP_003396314.1
OG0004111	XP_015435649.1	XP_003393315.1
OG0004112	XP_015439181.1	XP_003400570.1
OG0004113	XP_015433477.1	XP_020723813.1
OG0004114	XP_015432438.1	XP_020722509.1
OG0004115	XP_015436707.1	XP_003396117.1
OG0004116	XP_015439395.1	XP_012172408.1
OG0004117	XP_015432019.1	XP_012174801.1
OG0004118	XP_015430660.1	XP_003394893.1
OG0004119	XP_015433208.1	XP_003401369.1
OG0004120	XP_015429821.1	XP_020719648.1
OG0004121	XP_015431621.1	XP_012163072.1
OG0004122	XP_015435735.1	XP_003394516.1
OG0004123	XP_015432252.1	XP_003399845.1
OG0004124	XP_015432482.1	XP_003401028.1
OG0004125	XP_015428890.1	XP_020720669.1
OG0004126	XP_015440474.1	XP_012171232.1
OG0004127	XP_015432163.1	XP_003393795.1
OG0004128	XP_015434377.1	XP_003394564.1
OG0004129	XP_015437535.1	XP_003397981.1
OG0004130	XP_015429400.1	XP_003401626.1
OG0004131	XP_015432615.1	XP_003394685.1
OG0004132	XP_015434329.1	XP_003399207.1
OG0004133	XP_015434332.1	XP_003394461.1
OG0004134	XP_015435549.1	XP_003398931.1
OG0004135	XP_015432113.1	XP_003395821.1
OG0004136	XP_015436730.1	XP_003396107.1
OG0004137	XP_015438215.1	XP_012165517.1
OG0004138	XP_015433193.1	XP_003401376.1
OG0004139	XP_015431863.1	XP_020721333.1
OG0004140	XP_015434333.1	XP_003394467.1
OG0004141	XP_015428560.1	XP_003393532.1
OG0004142	XP_015430944.1	XP_003401754.1
OG0004143	XP_015433557.1	XP_020720043.1
OG0004144	XP_015430908.1	XP_003403057.1
OG0004145	XP_015430395.1	XP_012170127.1
OG0004146	XP_015433520.1	XP_003403110.1
OG0004147	XP_015434808.1	XP_003401381.1
OG0004148	XP_015434732.1	XP_003402166.1
OG0004149	XP_015438371.1	XP_003398383.1
OG0004150	XP_015439934.1	XP_003395379.1
OG0004151	XP_015430253.1	XP_003399636.2
OG0004152	XP_015440124.1	XP_003395404.1
OG0004153	XP_015435719.1	XP_020720218.1
OG0004154	XP_015439390.1	XP_003401316.1
OG0004155	XP_015439521.1	XP_003397702.1
OG0004156	XP_015438853.1	XP_020721199.1
OG0004157	XP_015438395.1	XP_003398055.1
OG0004158	XP_015436222.1	XP_020720112.1
OG0004159	XP_015430989.1	XP_020722967.1
OG0004160	XP_015438562.1	XP_003398527.1
OG0004161	XP_015432325.1	XP_003400182.1
OG0004162	XP_015438275.1	XP_003396351.1
OG0004163	XP_015436672.1	XP_003398993.1
OG0004164	XP_015431739.1	XP_003395120.1
OG0004165	XP_015432147.1	XP_003399929.1
OG0004166	XP_015439170.1	XP_003400848.1
OG0004167	XP_015429462.1	XP_003393653.2
OG0004168	XP_015432319.1	XP_003400320.1
OG0004169	XP_015429518.1	XP_012166325.1
OG0004170	XP_015438766.1	XP_003400349.1
OG0004171	XP_015430498.1	XP_012174998.1
OG0004172	XP_015438340.1	XP_003398574.1
OG0004173	XP_015428950.1	XP_003398125.1
OG0004174	XP_015438576.1	XP_003398524.1
OG0004175	XP_015439184.1	XP_020722010.1, XP_003400392.1
OG0004176	XP_015430653.1	XP_012163201.1
OG0004177	XP_015437319.1	XP_020719676.1, XP_012165909.1
OG0004178	XP_015428830.1	XP_003396229.1
OG0004179	XP_015431182.1	XP_012173373.1
OG0004180	XP_015430411.1	XP_012175202.2
OG0004181	XP_015429548.1	XP_003397304.1
OG0004182	XP_015438146.1, XP_015429917.1	XP_003396615.1
OG0004183	XP_015432016.1	XP_003396083.1
OG0004184	XP_015435892.1	XP_003394356.1
OG0004185	XP_015434885.1	XP_003401602.1
OG0004186	XP_015431025.1	XP_003397740.1
OG0004187	XP_015432349.1	XP_020721860.1
OG0004188	XP_015431629.1	XP_020718511.1, XP_020718510.1
OG0004189	XP_015430710.1	XP_003394920.1
OG0004190	XP_015431614.1, XP_015436019.1	XP_003395087.1
OG0004191	XP_015435725.1	XP_003400493.1
OG0004192	XP_015435949.1	XP_012166472.1
OG0004193	XP_015439314.1	XP_003401445.1
OG0004194	XP_015429271.1	XP_012166261.1
OG0004195	XP_015430520.1	XP_020723759.1
OG0004196	XP_015440090.1	XP_003395875.1, XP_003395873.1
OG0004197	XP_015429526.1	XP_003397295.1
OG0004199	XP_015440088.1	XP_003394851.1
OG0004200	XP_015438910.1	XP_020722259.1
OG0004201	XP_015439002.1	XP_003400732.1
OG0004202	XP_015433622.1	XP_012170719.1
OG0004203	XP_015431243.1	XP_003397607.1
OG0004204	XP_015435980.1	XP_003397014.1
OG0004205	XP_015434597.1	XP_003402127.1
OG0004206	XP_015429536.1	XP_020719813.1, XP_012166731.2
OG0004207	XP_015439536.1	XP_003402522.2
OG0004208	XP_015439528.1	XP_003397828.1
OG0004209	XP_015438516.1, XP_015438515.1	XP_003398388.1
OG0004210	XP_015439784.1	XP_003395440.1
OG0004211	XP_015440125.1	XP_003395708.1
OG0004212	XP_015440135.1	XP_003395690.1
OG0004213	XP_015438735.1	XP_003396112.1
OG0004214	XP_015437244.1	XP_003396071.1
OG0004215	XP_015437226.1	XP_003396155.1
OG0004216	XP_015437150.1	XP_003396127.1
OG0004217	XP_015438609.1	XP_012163404.1
OG0004218	XP_015437580.1	XP_003395246.1
OG0004219	XP_015434664.1	XP_003399651.1
OG0004220	XP_015428842.1	XP_003396226.1
OG0004221	XP_015430160.1	XP_012172028.1
OG0004222	XP_015438018.1	XP_012172462.1, XP_012172461.1
OG0004223	XP_015433497.1	XP_003403073.1
OG0004224	XP_015436572.1	XP_003398826.1
OG0004225	XP_015432056.1	XP_012164907.1
OG0004226	XP_015433337.1	XP_012163821.1, XP_003395841.1
OG0004228	XP_015428871.1, XP_015428870.1	XP_003398179.1
OG0004229	XP_015430924.1	XP_003401854.1
OG0004230	XP_015440007.1	XP_003395574.1
OG0004231	XP_015437889.1	XP_012163076.1
OG0004232	XP_015432224.1	XP_003399503.1
OG0004233	XP_015429840.1	XP_003396646.1
OG0004234	XP_015439999.1	XP_003395590.1
OG0004235	XP_015434053.1	XP_003400403.1, XP_020722013.1
OG0004236	XP_015429161.1	XP_012175675.1
OG0004237	XP_015438794.1	XP_020721196.1
OG0004238	XP_015437778.1	XP_012169222.1
OG0004239	XP_015435488.1	XP_003399227.2
OG0004240	XP_015434132.1	XP_003394672.1
OG0004241	XP_015434349.1	XP_003394692.1
OG0004242	XP_015437563.1	XP_003399751.2
OG0004243	XP_015430621.1	XP_012163346.1, XP_012163347.1
OG0004244	XP_015430641.1	XP_003402495.1
OG0004245	XP_015436057.1	XP_012167508.1
OG0004246	XP_015440268.1	XP_003395725.1
OG0004247	XP_015439715.1	XP_020718879.1, XP_020718878.1
OG0004248	XP_015431519.1	XP_003394721.1
OG0004249	XP_015431529.1	XP_003394717.1
OG0004250	XP_015428872.1	XP_003401665.1
OG0004251	XP_015429170.1	XP_003393811.1
OG0004252	XP_015428971.1	XP_003393819.1
OG0004253	XP_015437202.1	XP_012164828.2
OG0004254	XP_015429436.1	XP_003396665.1
OG0004255	XP_015433730.1	XP_020719317.1, XP_020719316.1
OG0004258	XP_015434746.1	XP_003394673.1
OG0004259	XP_015437120.1	XP_020724079.1, XP_003394151.1
OG0004260	XP_015437825.1	XP_003394138.2
OG0004261	XP_015435753.1	XP_012176459.1
OG0004262	XP_015434618.1	XP_003394482.1
OG0004263	XP_015430066.1	XP_003394788.1
OG0004264	XP_015432832.1	XP_020720856.1
OG0004265	XP_015430918.1	XP_003393287.1
OG0004266	XP_015436848.1	XP_003393301.1
OG0004267	XP_015429354.1	XP_003393259.1
OG0004268	XP_015429914.1	XP_003393250.1
OG0004269	XP_015428677.1	XP_012169462.1, XP_003399270.1
OG0004270	XP_015440117.1	XP_003395285.1
OG0004271	XP_015431839.1	XP_003398652.1
OG0004272	XP_015431166.1	XP_003401946.1
OG0004273	XP_015431109.1	XP_003401933.1
OG0004274	XP_015431501.1	XP_012174633.1, XP_012174634.1
OG0004275	XP_015429301.1	XP_003397353.1
OG0004276	XP_015434529.1	XP_012166231.2
OG0004277	XP_015431653.1	XP_012163618.1
OG0004278	XP_015429834.1	XP_012166189.1
OG0004279	XP_015435167.1	XP_003396950.1
OG0004280	XP_015436687.1	XP_012165948.1
OG0004281	XP_015431115.1	XP_020718983.1
OG0004282	XP_015432028.1	XP_003395922.1
OG0004283	XP_015431956.1	XP_012164537.1
OG0004284	XP_015439083.1	XP_020722132.1
OG0004285	XP_015439113.1	XP_003400833.1, XP_012171880.1
OG0004286	XP_015440286.1	XP_012172049.1
OG0004287	XP_015436024.1	XP_012173753.1
OG0004288	XP_015429750.1	XP_003393642.1
OG0004289	XP_015430298.1	XP_003399989.1
OG0004290	XP_015430316.1	XP_012170130.1
OG0004291	XP_015432360.1	XP_012170915.1, XP_003400168.1
OG0004292	XP_015432314.1	XP_003400170.1
OG0004293	XP_015433651.1	XP_012176212.1
OG0004294	XP_015436681.1	XP_003402996.2, XP_012174848.1
OG0004295	XP_015431234.1	XP_012167293.1
OG0004296	XP_015429275.1, XP_015429276.1	XP_003397362.1
OG0004297	XP_015429355.1	XP_012176127.1
OG0004298	XP_015433692.1	XP_012176133.2
OG0004299	XP_015428624.1	XP_012171019.1
OG0004300	XP_015428516.1	XP_020721960.1
OG0004301	XP_015435846.1	XP_020719683.1
OG0004302	XP_015435202.1, XP_015435203.1	XP_012169543.1
OG0004303	XP_015438046.1	XP_003397210.1
OG0004304	XP_015430687.1	XP_020718345.1
OG0004305	XP_015436698.1	XP_003400525.1
OG0004306	XP_015430516.1	XP_012175012.1
OG0004307	XP_015435137.1	XP_012166396.1
OG0004308	XP_015435119.1	XP_003397107.2
OG0004309	XP_015429978.1	XP_003396719.1
OG0004310	XP_015437211.1	XP_012165117.1
OG0004311	XP_015434786.1	XP_012172723.1
OG0004312	XP_015434802.1	XP_003401488.1
OG0004313	XP_015429459.1	XP_003393606.1
OG0004314	XP_015429468.1	XP_003393599.1
OG0004315	XP_015429481.1	XP_020723300.1
OG0004316	XP_015429486.1	XP_012171274.1
OG0004317	XP_015429705.1	XP_012172346.1
OG0004318	XP_015431838.1	XP_003393623.1
OG0004319	XP_015435981.1	XP_012166469.1
OG0004320	XP_015436004.1	XP_003397264.1
OG0004321	XP_015430199.1	XP_012172655.1
OG0004322	XP_015430190.1	XP_012172659.1
OG0004324	XP_015428543.1	XP_012171035.1, XP_012171033.1
OG0004325	XP_015428595.1	XP_012171052.1
OG0004326	XP_015428535.1	XP_012171119.1
OG0004327	XP_015428465.1	XP_003402200.1
OG0004328	XP_015430286.1	XP_003399738.1
OG0004329	XP_015432715.1	XP_020721692.1
OG0004330	XP_015430442.1	XP_012175131.1
OG0004331	XP_015430452.1, XP_015430451.1	XP_012175141.1
OG0004332	XP_015430523.1	XP_012175148.1
OG0004333	XP_015430466.1	XP_012175144.1
OG0004334	XP_015437468.1	XP_020722912.1
OG0004335	XP_015439417.1	XP_003397059.1
OG0004336	XP_015439380.1	XP_012166342.1
OG0004337	XP_015429296.1	XP_012166312.1
OG0004338	XP_015429571.1	XP_003402365.1
OG0004339	XP_015429264.1	XP_003397158.1
OG0004340	XP_015429197.1	XP_003397162.3
OG0004341	XP_015429572.1, XP_015429573.1	XP_012173981.1
OG0004342	XP_015435808.1	XP_020724296.1
OG0004343	XP_015431515.1	XP_012176415.1
OG0004344	XP_015433649.1	XP_003394272.1
OG0004345	XP_015435124.1	XP_003397234.1, XP_012166574.1
OG0004346	XP_015435144.1	XP_012166582.1
OG0004347	XP_015428563.1	XP_012176760.1, XP_003394842.1
OG0004348	XP_015440535.1	XP_003399054.1
OG0004349	XP_015439319.1	XP_003401554.1
OG0004350	XP_015439768.1	XP_003395770.2
OG0004351	XP_015432068.1	XP_020723885.1
OG0004352	XP_015431016.1	XP_012174838.2
OG0004353	XP_015432374.1	XP_003400298.1
OG0004354	XP_015432299.1	XP_020721777.1, XP_012171072.1
OG0004355	XP_015429250.1	XP_012166659.1
OG0004356	XP_015429635.1	XP_012175289.2
OG0004357	XP_015439242.1, XP_015439240.1	XP_012171776.1
OG0004358	XP_015433599.1	XP_003400039.1
OG0004359	XP_015428620.1	XP_003400035.1
OG0004360	XP_015428601.1	XP_012170754.1
OG0004361	XP_015433608.1	XP_020721945.1
OG0004362	XP_015432292.1	XP_003400057.1
OG0004363	XP_015432389.1	XP_012170669.1
OG0004364	XP_015435870.1	XP_003394542.1
OG0004365	XP_015431611.1, XP_015431610.1	XP_020718290.1
OG0004366	XP_015430784.1	XP_003395060.1
OG0004367	XP_015431617.1	XP_012163073.1
OG0004368	XP_015439377.1	XP_012172491.1
OG0004369	XP_015431852.1	XP_012169941.1
OG0004370	XP_015435129.1, XP_015435131.1	XP_003397024.1
OG0004371	XP_015435878.1	XP_003394222.1
OG0004373	XP_015433125.1	XP_003401373.1
OG0004374	XP_015433127.1	XP_003401587.1
OG0004375	XP_015433216.1	XP_012172364.1
OG0004376	XP_015432423.1	XP_012172377.1
OG0004377	XP_015428674.1, XP_015428666.1	XP_012170475.1
OG0004378	XP_015440366.1	XP_020723968.1
OG0004379	XP_015436768.1	XP_020718971.1
OG0004380	XP_015438758.1	XP_012173892.1
OG0004381	XP_015434552.1	XP_012173820.1, XP_012173815.1
OG0004382	XP_015434656.1	XP_003402125.1
OG0004383	XP_015432755.1	XP_003402137.1
OG0004384	XP_015428457.1	XP_012173716.1, XP_003402156.1
OG0004385	XP_015434382.1	XP_003397380.1
OG0004386	XP_015439531.1	XP_003397587.1
OG0004387	XP_015436349.1	XP_012167125.1
OG0004388	XP_015436107.1	XP_003397580.1
OG0004389	XP_015436294.1	XP_012167124.1
OG0004390	XP_015436358.1	XP_003397719.1
OG0004391	XP_015436419.1	XP_003397571.1
OG0004392	XP_015436204.1	XP_003398038.1
OG0004393	XP_015436364.1, XP_015436366.1	XP_020720224.1
OG0004394	XP_015436243.1	XP_003397432.1
OG0004395	XP_015433930.1	XP_012167363.1
OG0004396	XP_015439545.1	XP_012167401.1
OG0004397	XP_015439474.1	XP_012167428.2
OG0004398	XP_015439472.1	XP_012167430.1
OG0004399	XP_015440398.1	XP_003398928.1
OG0004400	XP_015434677.1	XP_003397508.1
OG0004401	XP_015435233.1	XP_012167086.1
OG0004402	XP_015436745.1	XP_012171324.1
OG0004403	XP_015440074.1	XP_012163855.1
OG0004404	XP_015439874.1	XP_012164219.1
OG0004405	XP_015440115.1	XP_012164214.1
OG0004406	XP_015440144.1	XP_020718966.1
OG0004408	XP_015440040.1	XP_003395576.1
OG0004409	XP_015432262.1	XP_012169975.1
OG0004410	XP_015434604.1	XP_020721412.1
OG0004412	XP_015433840.1	XP_012168872.1
OG0004413	XP_015436580.1	XP_003398806.1
OG0004414	XP_015433092.1	XP_012163167.1
OG0004415	XP_015434581.1	XP_012174456.1
OG0004416	XP_015438778.1	XP_003402788.1
OG0004417	XP_015431285.1	XP_020720645.1, XP_003398209.1
OG0004418	XP_015431372.1	XP_020720674.1
OG0004419	XP_015431284.1	XP_012167878.1
OG0004420	XP_015431322.1	XP_020720693.1
OG0004421	XP_015438583.1	XP_003398375.1
OG0004422	XP_015438434.1	XP_020720756.1
OG0004423	XP_015436458.1	XP_012171600.1
OG0004424	XP_015434142.1	XP_003400758.1
OG0004425	XP_015438631.1	XP_003399680.1
OG0004426	XP_015438658.1	XP_020721456.1
OG0004427	XP_015438756.1	XP_012165021.1
OG0004428	XP_015433462.1	XP_003396220.1
OG0004429	XP_015433458.1	XP_012165012.1
OG0004430	XP_015432071.1	XP_020723537.1, XP_003402771.1
OG0004431	XP_015436757.1, XP_015436758.1	XP_012174449.1
OG0004432	XP_015436522.1	XP_012168906.2
OG0004433	XP_015439302.1	XP_020722474.1, XP_012172407.1
OG0004434	XP_015439382.1	XP_003401271.1
OG0004435	XP_015434908.1	XP_020722600.1
OG0004436	XP_015439432.1, XP_015439433.1	XP_003401085.1
OG0004437	XP_015439381.1	XP_003401099.1
OG0004438	XP_015430188.1	XP_012172239.1
OG0004439	XP_015432487.1	XP_003401034.1
OG0004440	XP_015433109.1	XP_020722758.1
OG0004441	XP_015439336.1	XP_003401193.1
OG0004442	XP_015434823.1	XP_020722562.1
OG0004443	XP_015434845.1	XP_020722805.1
OG0004444	XP_015430979.1	XP_003401776.1
OG0004445	XP_015437490.1	XP_003403099.1
OG0004446	XP_015437517.1	XP_012175091.1
OG0004447	XP_015429623.1	XP_003397145.1
OG0004448	XP_015433676.1	XP_012176106.1
OG0004449	XP_015429360.1	XP_003394271.1
OG0004450	XP_015435773.1	XP_012176572.1
OG0004451	XP_015431998.1	XP_012164927.2
OG0004452	XP_015440079.1, XP_015440080.1	XP_003395450.1
OG0004453	XP_015433369.1	XP_020718617.1
OG0004454	XP_015428984.1	XP_003393540.1
OG0004455	XP_015436559.1	XP_003398970.1
OG0004456	XP_015430888.1	XP_003401715.1
OG0004457	XP_015430926.1	XP_012173007.1
OG0004458	XP_015430951.1	XP_012173015.1
OG0004459	XP_015430927.1	XP_012173018.1
OG0004460	XP_015437516.1	XP_012173051.1
OG0004461	XP_015433521.1	XP_003401711.1
OG0004462	XP_015433523.1	XP_003401708.1
OG0004463	XP_015429123.1	XP_003394050.1
OG0004464	XP_015440116.1	XP_003395595.1
OG0004465	XP_015439682.1	XP_003395583.1
OG0004466	XP_015439199.1	XP_020722164.1
OG0004467	XP_015438976.1	XP_012171534.1
OG0004468	XP_015439017.1	XP_003400592.1, XP_012171533.1
OG0004469	XP_015439102.1	XP_012171662.1
OG0004470	XP_015438993.1	XP_003400782.1
OG0004471	XP_015439229.1	XP_012171647.1
OG0004472	XP_015434076.1	XP_020722281.1, XP_003400742.1
OG0004473	XP_015434038.1	XP_012171757.1, XP_020722280.1
OG0004474	XP_015431188.1	XP_012168688.1
OG0004475	XP_015434784.1	XP_003400362.1
OG0004476	XP_015437698.1	XP_020721970.1
OG0004477	XP_015432788.1	XP_003400317.1
OG0004478	XP_015436970.1	XP_003400145.1
OG0004479	XP_015432877.1	XP_003400148.1
OG0004480	XP_015438904.1	XP_012166058.1
OG0004481	XP_015432132.1	XP_012170554.1
OG0004482	XP_015438620.1	XP_003399869.1
OG0004483	XP_015438618.1	XP_003399870.1
OG0004485	XP_015438651.1	XP_012170448.1
OG0004486	XP_015438650.1	XP_003399823.1
OG0004487	XP_015438624.1	XP_020721568.1
OG0004488	XP_015438649.1	XP_012170259.1
OG0004489	XP_015433087.1	XP_003398719.1
OG0004490	XP_015440382.1	XP_003396012.1
OG0004491	XP_015436728.1	XP_012164963.1
OG0004492	XP_015434411.1	XP_003396888.1
OG0004493	XP_015429934.1	XP_012165660.1, XP_012165661.1
OG0004494	XP_015428863.1	XP_003398254.1
OG0004495	XP_015439660.1	XP_003395593.1
OG0004496	XP_015439898.1	XP_012164051.1
OG0004497	XP_015434052.1	XP_003403273.2
OG0004498	XP_015438953.1	XP_012170794.1, XP_020722021.1
OG0004499	XP_015429082.1	XP_012175673.1, XP_012175672.1
OG0004500	XP_015429105.1	XP_012175728.1, XP_012175727.1
OG0004501	XP_015432075.1	XP_012175640.1
OG0004502	XP_015439154.1	XP_012171822.1
OG0004503	XP_015438986.1	XP_012171813.2
OG0004504	XP_015439568.1	XP_012168015.1
OG0004505	XP_015438355.1	XP_020720815.1
OG0004506	XP_015438415.1	XP_012168286.1
OG0004507	XP_015438591.1, XP_015438590.1	XP_012168294.1
OG0004508	XP_015437073.1	XP_012175359.1
OG0004509	XP_015430600.1	XP_012167732.1
OG0004510	XP_015438938.1	XP_020722109.1
OG0004511	XP_015435484.1	XP_012169042.1
OG0004512	XP_015428387.1	XP_012168998.1
OG0004513	XP_015435508.1, XP_015435507.1	XP_003398890.1
OG0004514	XP_015438799.1	XP_012169679.1
OG0004515	XP_015437734.1	XP_003399354.1
OG0004516	XP_015437777.1	XP_003398781.1
OG0004517	XP_015438793.1	XP_012168573.1
OG0004518	XP_015437760.1	XP_012169228.1
OG0004519	XP_015437366.1	XP_012169351.2
OG0004520	XP_015437292.1	XP_012169221.2
OG0004521	XP_015432221.1, XP_015432220.1	XP_003399965.1
OG0004522	XP_015430682.1	XP_003394996.1
OG0004523	XP_015430633.1	XP_003395112.1
OG0004525	XP_015436427.1	XP_012167473.1, XP_003397941.1
OG0004526	XP_015436423.1	XP_003397942.1
OG0004527	XP_015436055.1	XP_012167520.1
OG0004528	XP_015436318.1	XP_003397854.1
OG0004529	XP_015436296.1	XP_003397862.1
OG0004530	XP_015440140.1	XP_003395689.1
OG0004531	XP_015431933.1	XP_003401985.1, XP_012173489.1
OG0004532	XP_015439666.1	XP_020718840.1
OG0004533	XP_015440256.1	XP_003395732.1
OG0004534	XP_015439834.1	XP_020718811.1
OG0004535	XP_015440137.1	XP_012174007.1
OG0004536	XP_015440038.1	XP_003395850.1
OG0004537	XP_015433264.1	XP_003395815.1
OG0004538	XP_015437822.1	XP_012170866.1
OG0004539	XP_015437591.1	XP_003400137.1
OG0004540	XP_015429711.1	XP_012168714.1
OG0004541	XP_015433088.1	XP_003398715.1, XP_012168725.1
OG0004542	XP_015429129.1	XP_003393846.1
OG0004543	XP_015429015.1	XP_012175721.1
OG0004544	XP_015437197.1	XP_012164850.1
OG0004545	XP_015432727.1	XP_003399793.1
OG0004546	XP_015429385.1	XP_020722858.1
OG0004547	XP_015434474.1	XP_003396864.1
OG0004548	XP_015429425.1	XP_003396651.1, XP_020719394.1
OG0004549	XP_015432592.1	XP_003402821.2
OG0004550	XP_015431544.1	XP_020724280.1
OG0004551	XP_015437902.1	XP_003396262.1
OG0004552	XP_015436076.1	XP_020719651.1
OG0004553	XP_015436994.1	XP_012165215.1
OG0004554	XP_015429802.1	XP_020719666.1
OG0004555	XP_015433981.1	XP_003393676.1
OG0004556	XP_015433978.1	XP_003393700.1
OG0004557	XP_015435038.1	XP_003402644.1
OG0004558	XP_015434015.1	XP_020723486.1
OG0004559	XP_015431396.1	XP_012175680.2
OG0004560	XP_015431840.1	XP_012173777.1
OG0004561	XP_015431348.1	XP_003393781.1
OG0004562	XP_015429020.1	XP_003393888.1
OG0004563	XP_015438428.1	XP_020720576.1, XP_003402550.2
OG0004564	XP_015438391.1	XP_012168455.1
OG0004565	XP_015437829.1	XP_003394132.1
OG0004566	XP_015436451.1	XP_020719689.1, XP_020719690.1
OG0004567	XP_015438248.1	XP_003396579.1
OG0004568	XP_015437648.1	XP_003396588.1
OG0004569	XP_015438240.1	XP_012165522.1
OG0004570	XP_015435752.1	XP_003394510.1
OG0004571	XP_015435749.1	XP_012176458.1
OG0004572	XP_015432661.1	XP_003399563.1
OG0004573	XP_015438141.1, XP_015438148.1	XP_012165296.2
OG0004574	XP_015437735.1	XP_012165293.1
OG0004575	XP_015438183.1	XP_020719514.1, XP_020719515.1
OG0004576	XP_015436600.1	XP_003402338.1
OG0004577	XP_015436587.1	XP_020723296.1
OG0004578	XP_015428688.1	XP_012173160.1
OG0004579	XP_015431559.1	XP_003402853.1
OG0004580	XP_015431504.1	XP_012174570.1
OG0004581	XP_015434659.1	XP_003402862.1
OG0004582	XP_015434657.1	XP_012176425.2
OG0004583	XP_015432760.1	XP_003402123.1
OG0004584	XP_015432733.1	XP_003402121.1
OG0004585	XP_015432749.1	XP_003402117.1
OG0004586	XP_015429911.1	XP_003396396.1
OG0004587	XP_015429927.1	XP_012165426.1
