Orthogroup	Megachile_rotundata	Tribolium_castaneum
OG0004128	XP_012144082.1	NP_001158279.1, XP_008195076.1
OG0004129	XP_003707510.1, XP_012150481.1	XP_968238.2
OG0004130	XP_012139226.1	XP_015835407.1
OG0004131	XP_012152260.1	XP_015834593.1
OG0004132	XP_003699536.2	XP_008195790.1
OG0004133	XP_003707785.1	XP_008193571.1
OG0004134	XP_012148399.1, XP_003706648.1, XP_012148398.1	XP_966548.1
OG0004135	XP_003705665.1	XP_969395.1
OG0004136	XP_003707159.2	XP_015838557.1, XP_967039.2
OG0004137	XP_003708614.2, XP_012153371.1	XP_972661.2
OG0004138	XP_003706610.2	XP_008199722.1
OG0004139	XP_012152498.1	XP_973779.1, XP_967521.1
OG0004140	XP_003708028.1	XP_971284.1
OG0004141	XP_003704132.1	XP_008195546.1, XP_971815.1
OG0004142	XP_012136473.1, XP_012136467.1	XP_015833163.1, XP_015833173.1
OG0004144	XP_012142098.1	XP_974174.1
OG0004145	XP_012150348.1	XP_966571.1
OG0004146	XP_003706890.1	XP_008193932.1
OG0004147	XP_012147148.1	XP_008199251.1
OG0004148	XP_012154006.1, XP_012154022.1, XP_012154014.1	XP_008191391.1
OG0004149	XP_003707008.1	XP_015833182.1, XP_969301.4
OG0004150	XP_003701382.1	XP_970273.1
OG0004151	XP_003707091.1	XP_008193562.1
OG0004152	XP_012138941.1	XP_015838551.1, XP_015840222.1
OG0004153	XP_012139129.1	XP_008199980.1
OG0004154	XP_012136679.1	XP_975348.1
OG0004155	XP_003706496.1	XP_008199045.1
OG0004157	XP_003708194.2, XP_012152228.1, XP_012152227.1	XP_008200151.1
OG0004158	XP_012137744.1	XP_008194425.1
OG0004160	XP_012142763.1	XP_008199427.1
OG0004161	XP_012151705.1, XP_012151711.1, XP_012151721.1, XP_012151698.1, XP_012151726.1	XP_008195570.1
OG0004162	XP_012136010.1	XP_008196673.1
OG0004163	XP_003701500.1	XP_015835252.1
OG0004164	XP_012145280.1	XP_008201024.2
OG0004165	XP_012152264.1, XP_012152265.1	XP_015838044.1
OG0004166	XP_012146957.1, XP_003699848.1	XP_969892.2
OG0004167	XP_003700298.1	XP_008196156.1
OG0004168	XP_003699874.1	XP_001812912.1
OG0004169	XP_003703314.1	XP_015835091.1, XP_008192376.1
OG0004170	XP_003703600.2	XP_008193690.1
OG0004171	XP_012152312.1	XP_967199.1
OG0004172	XP_012137359.1	XP_015834445.1
OG0004173	XP_012143663.1	XP_968786.2
OG0004174	XP_012143310.1	XP_015837602.1
OG0004175	XP_012147661.1	XP_008193965.1
OG0004176	XP_012153988.1	XP_970249.2
OG0004177	XP_012146817.1	XP_008191243.1
OG0004178	XP_012149252.1	XP_015835999.1
OG0004179	XP_003705479.1	XP_001816025.1
OG0004180	XP_003702239.2	XP_015834995.1
OG0004181	XP_003701685.1	XP_972529.1
OG0004182	XP_003707799.1	XP_001810222.1
OG0004183	XP_003702169.2	XP_970649.1
OG0004184	XP_003708650.1	XP_972898.1
OG0004185	XP_012135999.1	XP_015833808.1
OG0004186	XP_012151528.1	XP_015835671.1
OG0004187	XP_003708395.2	XP_008194310.1
OG0004188	XP_012140679.1	XP_015839343.1
OG0004189	XP_012139079.1	XP_015839172.1, XP_015839173.1
OG0004190	XP_012135813.1	XP_015836315.1
OG0004191	XP_003699777.1	XP_969809.1
OG0004192	XP_012142835.1	XP_972716.1
OG0004193	XP_012135232.1	XP_015837566.1
OG0004194	XP_003702315.1	XP_008192437.1
OG0004195	XP_003704025.1	XP_967373.1
OG0004196	XP_003704662.1	XP_008192634.1
OG0004197	XP_003707555.1	NP_001092318.1, XP_015837050.1
OG0004199	XP_003703542.1, XP_012141451.1	XP_008192661.1
OG0004201	XP_003706992.1	XP_008196254.1, XP_008196255.1
OG0004202	XP_012148284.1	XP_974078.2
OG0004203	XP_003707030.2	XP_008190624.1, XP_973621.2, XP_015832952.1
OG0004204	XP_012152628.1	XP_973451.2
OG0004205	XP_012149950.1	XP_008192300.1, XP_975622.1
OG0004206	XP_012142764.1	XP_008195830.1
OG0004207	XP_003703923.1, XP_012142074.1, XP_012142073.1	XP_973218.1
OG0004209	XP_003705500.1	XP_015839287.1
OG0004210	XP_012149042.1	XP_008196333.1, XP_974885.1
OG0004211	XP_003705990.1	XP_015833688.1
OG0004212	XP_003701057.2, XP_012135433.1	XP_008193851.1
OG0004213	XP_003707315.1	XP_008201519.1
OG0004214	XP_003708057.1	XP_008195745.1
OG0004218	XP_003708014.1, XP_012151788.1, XP_012151789.1	XP_008198657.1
OG0004219	XP_003702201.1	XP_971270.1
OG0004220	XP_003704950.1	XP_015840558.1
OG0004222	XP_003707162.1, XP_012149663.1	XP_969545.1
OG0004224	XP_012147300.1	XP_008194757.1
OG0004225	XP_003702750.1	XP_001812890.2
OG0004226	XP_012151015.1	XP_008195242.1
OG0004229	XP_012141077.1	XP_015833830.1
OG0004230	XP_012139645.1, XP_012139651.1	XP_008195350.1
OG0004231	XP_003704724.2	XP_969823.3
OG0004232	XP_012153495.1	XP_008197867.1, XP_972446.1
OG0004234	XP_012145076.1, XP_003705218.1	XP_971060.1
OG0004235	XP_003707820.1, XP_012151348.1, XP_012145353.1	XP_015840768.1
OG0004236	XP_012136207.1	XP_015839515.1, XP_015839514.1
OG0004237	XP_012138878.1	XP_972411.1
OG0004238	XP_012135260.1	NP_001139341.1
OG0004239	XP_012151095.1	XP_008193832.2
OG0004240	XP_003704391.1	XP_966462.1
OG0004241	XP_012147817.1	XP_015835603.1
OG0004243	XP_003702232.1	XP_001809395.1
OG0004244	XP_003706521.1	XP_008190816.1
OG0004245	XP_012137614.1, XP_012137615.1, XP_012137617.1, XP_012137616.1	XP_015832939.1
OG0004246	XP_012143182.1, XP_003704435.1, XP_012143183.1	XP_975048.1
OG0004247	XP_003700127.1	XP_008192323.1
OG0004248	XP_012136910.1, XP_003701686.1, XP_003701644.2, XP_012136912.1	XP_008191550.1
OG0004249	XP_012139185.1, XP_012139187.1, XP_012139186.1, XP_012139188.1	XP_967213.1
OG0004251	XP_012138712.1	XP_008191695.1
OG0004252	XP_012149472.1	XP_008200798.2, XP_015839628.1
OG0004253	XP_012151820.1	NP_001107838.1, XP_008193910.1
OG0004254	XP_012147930.1, XP_012147929.1, XP_012147928.1, XP_003706372.1, XP_012147933.1, XP_012147932.1, XP_012147931.1	XP_001814021.1
OG0004256	XP_003701844.2, XP_012137282.1, XP_012137285.1, XP_012137283.1, XP_012137281.1	XP_973942.1, NP_001161275.1
OG0004257	XP_012137400.1	XP_975524.1, XP_015836662.1, XP_970452.2
OG0004258	XP_012145882.1	XP_974160.2
OG0004261	XP_003703992.1	XP_015833632.1, XP_015833634.1, XP_015833633.1, XP_015833631.1
OG0004262	XP_003703999.1	XP_008200054.1, XP_008191569.1
OG0004264	XP_012135018.1	XP_973435.1
OG0004266	XP_012148548.1	XP_008192549.1
OG0004267	XP_003708243.1	XP_968461.1, XP_968542.1, XP_968377.1
OG0004269	XP_003702734.1	XP_008191491.1, XP_001807780.1
OG0004275	XP_012136199.1	XP_008201172.1
OG0004276	XP_003707868.1	XP_972907.1
OG0004277	XP_003705605.1	XP_969696.1
OG0004278	XP_012145243.1	XP_975170.2
OG0004279	XP_003700483.1	XP_975179.2
OG0004280	XP_003703449.1	XP_973533.1
OG0004281	XP_003705035.1	XP_008195224.1
OG0004282	XP_003703043.1	XP_974347.1
OG0004283	XP_003701515.1	XP_008192466.1, NP_001165863.1
OG0004284	XP_003704988.1	XP_968064.1
OG0004285	XP_003705661.1	XP_970899.1
OG0004286	XP_012145917.1, XP_003705552.1, XP_012145918.1	XP_968001.1
OG0004287	XP_012143666.1	XP_966498.1
OG0004288	XP_003700240.1	XP_969265.1
OG0004290	XP_003702932.1	XP_971885.1
OG0004291	XP_003700210.1	XP_968374.1
OG0004292	XP_003708146.1	XP_015837941.1
OG0004293	XP_003703708.1	XP_972261.1
OG0004294	XP_012142268.1	XP_974435.1
OG0004295	XP_012148400.1, XP_012148401.1	XP_971412.1
OG0004296	XP_003703287.1	XP_967959.1
OG0004297	XP_003704894.1	XP_966358.1
OG0004298	XP_003701066.1	XP_015834541.1
OG0004299	XP_003703083.1	XP_973645.1
OG0004301	XP_003700360.1	XP_972630.1
OG0004302	XP_012143646.1, XP_012143647.1	XP_971610.1
OG0004303	XP_003700824.2	XP_974854.1
OG0004304	XP_012143153.1	XP_008190996.1
OG0004305	XP_003705042.1	XP_967790.1
OG0004306	XP_012139786.1	XP_972464.1, XP_972413.1
OG0004307	XP_003700463.1	XP_015834916.1
OG0004308	XP_003700536.1, XP_012154160.1, XP_012154159.1	XP_975195.1
OG0004309	XP_003706778.1, XP_012148711.1	XP_969903.1
OG0004310	XP_003706384.1	XP_969714.1
OG0004311	XP_003699330.1	XP_969723.1
OG0004312	XP_003703524.1	XP_969605.1
OG0004313	XP_003704885.1	XP_969250.1
OG0004314	XP_003707681.1	XP_968017.1
OG0004315	XP_012144256.1	XP_015833545.1
OG0004316	XP_003708340.1	XP_967058.1
OG0004317	XP_003701887.1	XP_970777.1
OG0004318	XP_003708149.1	XP_973769.1
OG0004319	XP_012144418.1, XP_012144416.1, XP_012144417.1	XP_008201675.1
OG0004320	XP_003704591.2	XP_008199303.1
OG0004321	XP_003704813.1	XP_971796.1
OG0004322	XP_003699180.1	XP_008195533.1
OG0004323	XP_003699246.1	XP_971760.1
OG0004324	XP_003703056.1	XP_973351.1
OG0004325	XP_012142606.1	NP_001128383.1
OG0004326	XP_003707344.1	XP_001813029.1
OG0004327	XP_012139101.1	XP_015835634.1
OG0004328	XP_003700015.1	XP_969972.1
OG0004329	XP_003701088.1	XP_972456.1
OG0004330	XP_003703477.1	XP_966880.1
OG0004331	XP_003704602.1	XP_967746.1
OG0004332	XP_012138198.1	XP_008192042.1, XP_970786.1
OG0004333	XP_012154539.1	XP_971805.1
OG0004334	XP_003700864.1	XP_970161.2
OG0004335	XP_003702554.1	XP_008195989.1
OG0004336	XP_003705200.1	XP_971226.2
OG0004337	XP_012139692.1	XP_008194680.2
OG0004338	XP_012135313.1	XP_971269.1
OG0004339	XP_003701385.1	XP_968192.1
OG0004340	XP_012149267.1	XP_972358.1
OG0004342	XP_003708462.1	XP_971983.1
OG0004343	XP_003704258.1	XP_975131.1
OG0004344	XP_012145028.1	XP_967314.1
OG0004345	XP_003701182.1	XP_970655.1
OG0004346	XP_012150845.1	XP_974710.1
OG0004347	XP_012143022.1	XP_972970.1
OG0004348	XP_003700433.1	XP_970769.1
OG0004349	XP_012147063.1	XP_971370.1
OG0004350	XP_003703457.1	XP_970528.1
OG0004351	XP_003705056.1	XP_008196327.1, XP_972027.1
OG0004352	XP_003704604.1, XP_012143608.1	XP_968697.1
OG0004353	XP_003706883.1	XP_972343.1
OG0004354	XP_003701759.1	XP_008201302.1
OG0004355	XP_003701968.2	XP_975028.1
OG0004356	XP_003699541.1	XP_968339.1
OG0004357	XP_012138906.1	XP_971110.1
OG0004358	XP_003701001.1	XP_972440.1
OG0004359	XP_012148529.1	XP_008199086.1
OG0004360	XP_012139125.1, XP_003702667.2	XP_974891.1
OG0004361	XP_003699588.1	XP_970915.2
OG0004362	XP_003705516.1	XP_967452.2
OG0004363	XP_003699968.1	XP_001814270.1
OG0004364	XP_003700820.2	XP_968539.1
OG0004365	XP_003708311.2	XP_008195871.1
OG0004366	XP_003701451.1	XP_974948.1
OG0004367	XP_012142604.1	XP_968873.1
OG0004368	XP_012139109.1	XP_971553.2
OG0004369	XP_012149902.1, XP_003707250.1	XP_975322.1
OG0004370	XP_012138197.1	XP_967583.3
OG0004371	XP_003705705.1	XP_008191479.1
OG0004372	XP_003701466.1	XP_008196107.1
OG0004373	XP_012137002.1, XP_003701722.1	XP_008197488.1
OG0004374	XP_003707509.1	XP_966555.1
OG0004375	XP_003706461.1	XP_975428.1
OG0004377	XP_003699931.1	XP_008190408.2
OG0004378	XP_003703436.1	XP_001815752.1
OG0004379	XP_003706094.1	XP_008197126.1
OG0004381	XP_003700993.1	XP_008198837.1
OG0004382	XP_003699251.1	XP_008198502.1
OG0004383	XP_003705532.2	XP_001811897.1, XP_008193872.1
OG0004384	XP_003701891.1	XP_967198.1
OG0004385	XP_003705905.1	XP_001814757.1
OG0004386	XP_003701184.1	XP_968136.1
OG0004387	XP_003707102.1	XP_973540.1
OG0004388	XP_003708020.1	XP_970062.1
OG0004389	XP_012153971.1	XP_008190586.1, XP_974322.1
OG0004391	XP_012137865.1	XP_972110.1
OG0004392	XP_003706597.1	NP_001076793.1
OG0004394	XP_012140394.1	XP_008193615.1
OG0004395	XP_003703260.1	XP_015836706.1, XP_008200618.1
OG0004396	XP_003707080.1	XP_967054.1
OG0004397	XP_003702807.1	XP_973270.1
OG0004398	XP_003706042.1	XP_973691.3, NP_001071091.1
OG0004399	XP_003702732.2	XP_966636.1
OG0004400	XP_003702221.1	XP_008194873.1
OG0004401	XP_012151474.1	XP_015833917.1, XP_015833918.1
OG0004402	XP_003701796.1	XP_015839832.1
OG0004403	XP_012153637.1, XP_003700212.1	XP_974795.3
OG0004404	XP_012146700.1	XP_973343.1, XP_972623.1
OG0004405	XP_012142250.1	XP_973483.1
OG0004406	XP_012139037.1	XP_015838960.1
OG0004407	XP_003700343.1	XP_008193688.1
OG0004408	XP_012146682.1	XP_008192574.1, XP_972707.2
OG0004409	XP_003701355.1	XP_971897.2
OG0004410	XP_012136771.1	XP_008195992.1
OG0004411	XP_003705076.1	XP_974546.1
OG0004412	XP_012154379.1	XP_008197181.1
OG0004413	XP_012147319.1	XP_972151.1
OG0004414	XP_003699717.1	XP_974522.1
OG0004415	XP_003704883.1	XP_015840578.1, XP_015839944.1
OG0004416	XP_003705833.1	XP_967938.1
OG0004417	XP_012147831.1, XP_012147834.1	XP_008191367.2
OG0004418	XP_003703070.1	XP_967755.1
OG0004419	XP_012144629.1	XP_015837300.1, XP_008195801.1
OG0004420	XP_003706207.1	XP_974700.2
OG0004421	XP_012139538.1	XP_008201446.1
OG0004422	XP_012150622.1, XP_012150621.1	XP_008192303.1
OG0004423	XP_012153838.1	XP_015835652.1, XP_008199577.1
OG0004424	XP_012142579.1	XP_966793.1
OG0004425	XP_012138593.1, XP_003702415.2	XP_975776.2
OG0004426	XP_003707339.1	XP_971988.1
OG0004427	XP_003708159.1	XP_975024.1
OG0004428	XP_003707089.2	XP_008193101.1
OG0004429	XP_003705879.1	NP_001137201.1, XP_015839494.1
OG0004430	XP_012150034.1	XP_001812942.1
OG0004431	XP_003704738.1	XP_008198316.1
OG0004432	XP_003704525.1	XP_968397.1
OG0004433	XP_003707469.1	XP_969112.1
OG0004434	XP_012146914.1	XP_967394.1
OG0004436	XP_003699927.1	XP_967237.1, XP_008198811.1
OG0004437	XP_012145845.1	XP_971007.1
OG0004438	XP_003702863.1	XP_974054.1, XP_015838263.1, XP_015838262.1
OG0004439	XP_003701855.1	XP_008192095.1
OG0004440	XP_003702862.1, XP_012139854.1, XP_012139853.1	XP_972849.1
OG0004441	XP_003704853.1	XP_015839666.1, XP_970319.1
OG0004442	XP_003703944.2	XP_968337.1
OG0004443	XP_003699433.1	XP_971224.1
OG0004444	XP_012151465.1	XP_008193636.1
OG0004445	XP_003704053.1	XP_008193656.1
OG0004446	XP_012141308.1	XP_968186.1
OG0004447	XP_012139003.1, XP_012138998.1	XP_008196875.1
OG0004448	XP_003700438.1, XP_012154087.1	XP_968140.1
OG0004449	XP_003707245.1	XP_968648.1, XP_015834343.1
OG0004450	XP_003700449.2	XP_008197685.1
OG0004451	XP_003707011.1	XP_001813375.1, XP_015835910.1
OG0004452	XP_012154368.1	NP_001034518.1, XP_008201243.1
OG0004453	XP_012148705.1	XP_008197856.1
OG0004454	XP_012149314.1	XP_015835986.1
OG0004455	XP_012150316.1	XP_974859.1
OG0004456	XP_012146514.1, XP_012146513.1	XP_008194455.1
OG0004457	XP_003704491.2	XP_008194516.1
OG0004458	XP_012137037.1	XP_973234.1
OG0004459	XP_012139978.1	XP_008201155.1, XP_015840642.1
OG0004460	XP_012152928.1, XP_012152929.1	XP_015839542.1
OG0004461	XP_012140462.1	XP_008198493.1
OG0004462	XP_012144354.1	XP_008201181.1
OG0004463	XP_003703736.1	XP_008193392.1
OG0004464	XP_012148269.1	XP_015833887.1, XP_008194021.1
OG0004465	XP_003703807.1	XP_966481.1
OG0004466	XP_003701935.1	XP_015837577.1
OG0004467	XP_012147227.1	XP_967843.1
OG0004468	XP_003703980.2	XP_969039.1
OG0004469	XP_012150929.1	XP_972171.1
OG0004470	XP_003703527.1	XP_971504.1
OG0004471	XP_003705185.1	XP_973117.1, XP_008196349.1
OG0004472	XP_003700819.1	XP_974024.1
OG0004473	XP_003707004.1	XP_015836862.1, XP_015836861.1
OG0004474	XP_012145762.1	XP_008197064.1
OG0004475	XP_003706568.1	XP_015838870.1, NP_001034508.1
OG0004478	XP_003703828.2	XP_975527.1
OG0004479	XP_003708190.1	XP_971071.1
OG0004480	XP_003699475.1	XP_008201326.1
OG0004481	XP_012145027.1	XP_974320.3
OG0004482	XP_003701892.1	XP_008199962.1
OG0004483	XP_003699258.2	XP_971989.2, XP_008198950.1
OG0004484	XP_003705160.1, XP_012144937.1	XP_966953.1
OG0004485	XP_003703258.1	XP_008193405.1
OG0004486	XP_003708008.1	XP_972731.1
OG0004487	XP_012149812.1	XP_015838841.1
OG0004488	XP_003707730.2	XP_008201364.1
OG0004489	XP_003705233.1	XP_969524.1
OG0004490	XP_003701820.1	XP_008200172.1, XP_971121.1
OG0004491	XP_003706083.1	XP_966917.2
OG0004492	XP_003707189.1	XP_972141.2
OG0004493	XP_003704443.1	XP_970342.1
OG0004494	XP_003699733.1	XP_972668.2
OG0004495	XP_003700146.1	XP_974708.1
OG0004496	XP_003703226.1	XP_008200974.1
OG0004497	XP_003708675.1	XP_970200.1
OG0004498	XP_003706945.1	XP_968062.1
OG0004499	XP_012136168.1	XP_008198302.1
OG0004500	XP_012143916.1	XP_966935.2
OG0004501	XP_012143109.1	XP_008197624.1, NP_001034504.1, XP_008197420.2
OG0004502	XP_003703479.1	XP_008201594.1
OG0004503	XP_012150000.1	XP_008193900.1
OG0004504	XP_003699235.1	XP_971712.2
OG0004505	XP_012152188.1	XP_015839540.1
OG0004506	XP_003704493.1	XP_974651.2
OG0004507	XP_012151666.1	XP_008195560.1
OG0004508	XP_012143722.1	XP_967772.1
OG0004509	XP_003703114.1	XP_967885.1
OG0004510	XP_003705980.1	XP_008195623.1
OG0004511	XP_003699442.1	XP_015834663.1
OG0004512	XP_003700429.1	XP_969306.1
OG0004513	XP_012149103.1	XP_015840997.1
OG0004514	XP_003708517.1	XP_967303.1
OG0004515	XP_003699860.1	XP_971562.1
OG0004516	XP_012137778.1	XP_008199814.1
OG0004517	XP_003705768.1	XP_008192854.1
OG0004518	XP_012137145.1	XP_008200602.2
OG0004519	XP_003699375.1	XP_970192.2
OG0004520	XP_003706923.1	XP_967626.1
OG0004521	XP_003705876.1	XP_966717.1
OG0004522	XP_003701811.1	XP_968657.2
OG0004523	XP_003707737.1	XP_966596.1
OG0004524	XP_003699813.2	XP_975254.2
OG0004525	XP_003704967.1	XP_001814158.1
OG0004526	XP_012134614.1	XP_015835575.1
OG0004527	XP_003708080.1	XP_008196861.1
OG0004528	XP_012153246.1	XP_008198942.1
OG0004529	XP_012153484.1	XP_015840796.1, XP_969523.1
OG0004530	XP_012152788.1	XP_008192807.1
OG0004531	XP_003702624.1	XP_008198806.1
OG0004532	XP_012138389.1	XP_008191977.1
OG0004533	XP_003705114.1	XP_975235.1
OG0004534	XP_012145877.1, XP_012145867.1	XP_015837847.1
OG0004535	XP_003706769.1	XP_967479.1
OG0004536	XP_012148778.1, XP_012148776.1	XP_969779.1
OG0004537	XP_012134991.1	XP_008199753.1
OG0004538	XP_003701570.1	XP_008194447.1
OG0004539	XP_003705811.1	XP_008190563.1, XP_015833001.1
OG0004540	XP_003705406.1	XP_974431.1
OG0004541	XP_003708509.1	NP_001161779.1, XP_015837741.1
OG0004542	XP_012143407.1	XP_015833850.1
OG0004543	XP_012143727.1	XP_008199358.1, XP_015834274.1, XP_015834275.1, XP_015834276.1
OG0004544	XP_012139193.1	XP_967831.2
OG0004545	XP_003708051.1	XP_972841.1
OG0004546	XP_003701009.1	XP_008191529.1
OG0004547	XP_003702683.2	XP_973795.3
OG0004548	XP_012152218.1	XP_008194167.1
OG0004549	XP_003707412.1	XP_975544.1
OG0004550	XP_012144472.1	XP_968425.2
OG0004551	XP_003702477.1	XP_008196143.1
OG0004552	XP_003706570.2	XP_966605.1
OG0004553	XP_003707631.1	XP_015835217.1
OG0004556	XP_012150866.1	XP_015834234.1
OG0004557	XP_012136707.1, XP_012136789.1	XP_015835653.1
OG0004558	XP_003700075.1	XP_970509.1
OG0004559	XP_003702474.1	XP_008191113.1
OG0004560	XP_012135956.1	XP_969585.1
OG0004561	XP_012151205.1	XP_973530.1
OG0004562	XP_003702450.1, XP_012138642.1, XP_012138641.1, XP_012138640.1	XP_969491.1
OG0004563	XP_012152233.1	XP_974107.1
OG0004564	XP_003703495.1	XP_967545.1
OG0004565	XP_003706326.1	XP_971305.1, XP_008196679.1, XP_008196678.1, XP_972807.1
OG0004566	XP_003707796.1	XP_975011.1
OG0004567	XP_003703721.1	XP_969501.1
OG0004568	XP_003707587.1	XP_966406.1
OG0004569	XP_012149458.1	XP_971024.1
OG0004570	XP_003700973.1	XP_008190477.2
OG0004571	XP_012137027.1, XP_003706695.2	XP_966419.1
OG0004572	XP_003700784.1	XP_008193653.1
OG0004573	XP_012141152.1	XP_015840900.1
OG0004574	XP_003703263.1	XP_008199514.1, XP_015833543.1
OG0004575	XP_003703212.2	XP_015836016.1
OG0004576	XP_012151343.1	XP_968528.1
OG0004577	XP_012134626.1	XP_008196227.1
OG0004578	XP_003707277.1	XP_015837256.1
OG0004579	XP_003704666.1	XP_015838708.1
OG0004580	XP_012138626.1	XP_968154.2
OG0004581	XP_012144339.1	XP_967342.1, XP_973682.1
OG0004582	XP_003700777.1	XP_008194035.1, XP_970124.1
OG0004583	XP_003705957.1	XP_971242.2
OG0004584	XP_012153358.1	NP_001164208.1, XP_008201001.1
OG0004585	XP_003704641.1	XP_008191121.1
OG0004586	XP_003704599.1, XP_012143567.1	XP_008191139.1
OG0004587	XP_012153758.1	XP_967043.1, XP_976065.1
OG0004588	XP_003700869.1	XP_967472.1
OG0004589	XP_003707458.1, XP_012150296.1	XP_015836849.1
OG0004590	XP_003701463.1	XP_015834749.1
OG0004591	XP_012135362.1	XP_974397.2
OG0004592	XP_012141212.1, XP_003699624.1	XP_015839668.1
OG0004593	XP_003702035.1	XP_001811057.1
OG0004594	XP_003700364.1	XP_969067.1
OG0004595	XP_012145972.1	XP_008196620.1
OG0004596	XP_003701409.1	XP_972191.1
OG0004597	XP_012148566.1	XP_974793.1
OG0004598	XP_003700735.1	XP_972549.2
OG0004599	XP_012138826.1, XP_003702496.2	NP_001096055.1
OG0004600	XP_012150656.1	XP_015837407.1
OG0004601	XP_012149244.1	XP_968373.1
OG0004602	XP_003706937.2	XP_972953.1
OG0004603	XP_012142865.1, XP_012142862.1	XP_008199077.1
OG0004604	XP_003707274.1	XP_970329.1
OG0004605	XP_003700554.1	XP_967701.1
OG0004606	XP_012148255.1	XP_015838055.1
OG0004607	XP_012149200.1, XP_003706888.1	XP_001809949.1, XP_008196929.1
OG0004608	XP_003703026.1	XP_967795.1
OG0004609	XP_012147945.1	XP_008200198.1
OG0004610	XP_003700045.1	XP_008191579.1
OG0004611	XP_003702115.1	XP_008201393.1, XP_001816040.2
OG0004612	XP_003700379.1	XP_970932.1
OG0004613	XP_003708487.1	XP_972782.1
OG0004614	XP_003704082.1	NP_001164247.1
OG0004615	XP_012140179.1, XP_012140180.1	XP_970821.2
OG0004616	XP_003702344.1	XP_008191928.1
OG0004617	XP_012147507.1	XP_970927.1, XP_008196487.1
OG0004618	XP_012151422.1	XP_969029.3
OG0004619	XP_003707557.1	XP_969834.1
OG0004620	XP_003699876.2	XP_968306.2
OG0004621	XP_012147431.1	XP_969038.3
OG0004622	XP_012145289.1	XP_976419.1
OG0004623	XP_012140642.1, XP_012140643.1	XP_008201104.1
OG0004624	XP_003699229.1	XP_975041.1
OG0004625	XP_003701581.1	XP_008201004.2
OG0004626	XP_012148238.1	XP_008192253.1
OG0004627	XP_003706856.1	XP_966974.1
OG0004628	XP_012150603.1, XP_012150601.1	XP_970761.1
OG0004629	XP_012142789.1	XP_973669.1
OG0004630	XP_012148909.1, XP_012148908.1, XP_012148910.1	XP_008197176.1
OG0004631	XP_012146266.1	XP_008191971.1
OG0004632	XP_003706586.1	XP_015837611.1
OG0004633	XP_012147150.1	XP_969967.1
OG0004634	XP_003700605.1	XP_008192347.1
OG0004635	XP_003707694.1	XP_968007.2
OG0004636	XP_003699436.1	XP_970426.1
OG0004637	XP_012140854.1	XP_015834061.1
OG0004639	XP_003699444.1	XP_975277.1
OG0004640	XP_003706330.1	XP_008194883.1
OG0004641	XP_003701119.1	XP_970985.1
OG0004642	XP_003703442.2, XP_012141061.1	XP_008199537.1
OG0004643	XP_003705008.1	XP_008201026.1
OG0004644	XP_012142575.1, XP_003704166.1	XP_973387.1
OG0004645	XP_012147986.1	XP_015837105.1
OG0004646	XP_003701317.1	XP_971306.1
OG0004647	XP_012136301.1	XP_974800.1
OG0004648	XP_012147035.1	XP_015834078.1
OG0004649	XP_012150209.1	XP_008190892.1
OG0004650	XP_012141801.1, XP_003703766.1	XP_972526.2
OG0004651	XP_012137341.1	XP_015837293.1
OG0004652	XP_003702877.2	XP_008194274.1
OG0004653	XP_012143522.1	XP_008198265.1
OG0004654	XP_003705910.1	XP_971898.1
OG0004655	XP_012135444.1	XP_015838399.1
OG0004656	XP_012145676.1	XP_015840067.1
OG0004657	XP_012144944.1	XP_008196324.1
OG0004658	XP_003705670.1, XP_012146207.1	XP_015833404.1
OG0004659	XP_012143255.1	XP_008193793.1, XP_008193792.1
OG0004660	XP_003702031.1	XP_967163.1, XP_008196887.1
OG0004661	XP_003702032.1	XP_008190992.1
OG0004662	XP_003700398.2	XP_008195589.2
OG0004663	XP_003704774.1	XP_008194306.1
OG0004664	XP_003700443.2	XP_015833246.1, NP_001280493.1
OG0004665	XP_003702808.1	XP_008194796.1, XP_971403.3
OG0004666	XP_003704715.1	XP_015833520.1
OG0004667	XP_003700188.1	XP_008198552.1
OG0004668	XP_012143102.1	XP_008201354.1
OG0004669	XP_003700400.1	XP_975792.1
OG0004670	XP_003703090.1	XP_974004.1
OG0004671	XP_003703752.1	XP_008197386.1, XP_975591.1
OG0004673	XP_012143055.1	XP_008194645.1
OG0004674	XP_012146989.1	XP_008201295.1
OG0004675	XP_012148618.1	XP_971518.1, XP_015834496.1
OG0004677	XP_012150907.1, XP_012150903.1	XP_967250.1
OG0004678	XP_012136134.1	XP_973511.1
OG0004679	XP_012153148.1	XP_008196689.2, XP_008196688.2
OG0004681	XP_012137987.1	XP_975668.1
OG0004682	XP_003704061.2	XP_974000.1
OG0004683	XP_012145212.1	XP_966926.1
OG0004684	XP_003706974.1	XP_015836848.1
OG0004685	XP_003701245.1, XP_012135914.1	XP_969282.1
OG0004686	XP_003704562.2	XP_973628.2
OG0004687	XP_012138592.1, XP_003702412.1	XP_969201.1
OG0004688	XP_003706093.1	XP_008199565.1
OG0004689	XP_012136351.1	NP_001164134.1
OG0004690	XP_012152948.1	XP_008200625.1
OG0004691	XP_012139871.1	XP_008194984.1
OG0004692	XP_012139416.1	XP_966819.1
OG0004693	XP_003703810.2	XP_975006.1
OG0004694	XP_003702492.1	XP_015840940.1
OG0004695	XP_003707243.1	XP_969902.1
OG0004696	XP_003704886.1, XP_012144198.1	XP_008193858.1
