Orthogroup	Dufourea_novaeangliae	Anopheles_gambiae
OG0003926	XP_015432101.1	XP_320129.3
OG0003927	XP_015437697.1	XP_320900.3
OG0003928	XP_015439655.1	XP_313769.4
OG0003929	XP_015429992.1	XP_003435903.1, XP_321406.5
OG0003930	XP_015431336.1	XP_001688107.1, XP_001688108.1, XP_308849.3
OG0003931	XP_015437203.1	XP_309977.3
OG0003932	XP_015436058.1	XP_003436142.1
OG0003933	XP_015432002.1	XP_311862.3
OG0003934	XP_015436997.1	XP_316307.1
OG0003935	XP_015437636.1	XP_308886.4
OG0003936	XP_015440086.1	XP_003436329.1, XP_311925.3
OG0003937	XP_015429739.1	XP_315625.4
OG0003938	XP_015437549.1	XP_003436735.1, XP_313067.5, XP_003436734.1
OG0003939	XP_015434190.1	XP_311333.5
OG0003940	XP_015439383.1	XP_307793.5, XP_306070.4
OG0003941	XP_015439430.1, XP_015439429.1	XP_310602.3
OG0003943	XP_015439708.1	XP_312823.5
OG0003944	XP_015429899.1	XP_317195.1
OG0003945	XP_015433721.1	XP_313382.3
OG0003946	XP_015430131.1	XP_308858.4
OG0003947	XP_015436587.1	XP_310464.4, XP_003437045.1
OG0003948	XP_015435173.1	XP_309825.4
OG0003950	XP_015439313.1	XP_310421.4
OG0003951	XP_015437491.1	XP_313109.5
OG0003952	XP_015436592.1	XP_309625.4
OG0003953	XP_015433828.1, XP_015433829.1	XP_310948.4, XP_003436935.1
OG0003954	XP_015437084.1	XP_311994.4
OG0003956	XP_015430618.1	XP_315195.5
OG0003957	XP_015428562.1	XP_320392.4
OG0003958	XP_015437949.1	XP_321015.5
OG0003959	XP_015438278.1, XP_015438277.1	XP_321653.5
OG0003960	XP_015439804.1	XP_003436461.1, XP_314272.5
OG0003961	XP_015433553.1	XP_318614.3
OG0003962	XP_015429129.1	XP_316867.5
OG0003963	XP_015437676.1	XP_317237.3
OG0003964	XP_015438432.1	XP_321179.4
OG0003965	XP_015429966.1	XP_315113.4
OG0003966	XP_015432748.1	XP_311323.4
OG0003967	XP_015435247.1	XP_316857.3
OG0003968	XP_015439825.1, XP_015439826.1, XP_015439827.1	XP_317805.2
OG0003969	XP_015437831.1	XP_320573.1
OG0003970	XP_015433323.1	XP_554210.2
OG0003971	XP_015433622.1	XP_318755.4
OG0003972	XP_015440028.1	XP_001688794.1, XP_316203.2
OG0003973	XP_015429209.1	XP_320234.3
OG0003974	XP_015436572.1	XP_313497.2
OG0003975	XP_015434809.1, XP_015434214.1	XP_554108.3
OG0003976	XP_015439790.1	XP_320294.3
OG0003977	XP_015429108.1	XP_001687837.2
OG0003978	XP_015437561.1	XP_312928.5, XP_003436420.1
OG0003979	XP_015434660.1	XP_320626.2
OG0003980	XP_015437304.1	XP_319759.4
OG0003981	XP_015439328.1	XP_318692.4
OG0003982	XP_015435473.1	XP_319753.4
OG0003983	XP_015429873.1	XP_315737.4
OG0003985	XP_015434859.1	XP_311326.5
OG0003986	XP_015434942.1	XP_316882.5
OG0003987	XP_015432803.1	XP_309555.4, XP_001688197.1
OG0003988	XP_015439838.1	XP_313024.5
OG0003989	XP_015437591.1, XP_015432158.1	XP_001689096.1, XP_318078.2
OG0003990	XP_015437870.1	XP_315228.5
OG0003991	XP_015435665.1	XP_001687756.2
OG0003992	XP_015428803.1	XP_308140.4
OG0003993	XP_015436523.1	XP_310762.5, XP_311031.1
OG0003994	XP_015429683.1	XP_001689408.1
OG0003995	XP_015435779.1	XP_310142.4
OG0003996	XP_015439663.1	XP_317395.4
OG0003997	XP_015429827.1	XP_001689015.1
OG0003998	XP_015428584.1	XP_001688449.2
OG0003999	XP_015428926.1	XP_001238227.1
OG0004000	XP_015437275.1	XP_315213.4
OG0004001	XP_015433587.1	XP_001237062.2
OG0004002	XP_015437677.1	XP_315904.5, XP_003435730.1
OG0004003	XP_015437109.1	XP_553421.2
OG0004004	XP_015434962.1	XP_311855.4
OG0004005	XP_015437081.1	XP_003436736.1, XP_001230869.2
OG0004006	XP_015428617.1	XP_316519.4
OG0004008	XP_015439539.1	XP_318925.4
OG0004009	XP_015433122.1	XP_001230840.3, XP_001230839.3
OG0004010	XP_015433183.1	XP_316790.4
OG0004011	XP_015437074.1	XP_318681.1
OG0004012	XP_015435280.1	XP_001688421.2
OG0004014	XP_015432230.1	XP_003437004.1, XP_310622.3, XP_320348.3
OG0004015	XP_015429054.1	XP_003437092.1, XP_311292.4
OG0004016	XP_015436564.1	XP_311166.5
OG0004017	XP_015435210.1	XP_001688637.1
OG0004018	XP_015437311.1	XP_315551.1
OG0004020	XP_015436221.1	XP_003437151.1
OG0004021	XP_015438095.1	XP_310900.5
OG0004022	XP_015432574.1	XP_316825.5
OG0004023	XP_015438729.1	XP_001689316.2
OG0004024	XP_015429438.1	XP_001688399.2
OG0004026	XP_015440257.1	XP_003436438.1, XP_001231184.3
OG0004027	XP_015434716.1	XP_316189.4
OG0004029	XP_015428490.1	XP_317150.4
OG0004030	XP_015439038.1	XP_003436242.1, XP_003436243.1
OG0004031	XP_015432335.1	XP_554294.3
OG0004033	XP_015429332.1, XP_015429330.1, XP_015429333.1	XP_555381.3
OG0004034	XP_015434076.1	XP_314073.4
OG0004036	XP_015435004.1	XP_307136.4
OG0004037	XP_015434668.1	XP_311349.5
OG0004038	XP_015433497.1	XP_321810.4
OG0004040	XP_015431108.1	XP_307401.4
OG0004041	XP_015438991.1	XP_565006.2
OG0004042	XP_015428758.1	XP_312101.5
OG0004043	XP_015434529.1	XP_314537.4
OG0004044	XP_015430769.1	XP_308352.4
OG0004045	XP_015438261.1	XP_312996.1
OG0004046	XP_015440382.1	XP_312561.3
OG0004047	XP_015432000.1	XP_321168.5
OG0004048	XP_015436580.1	XP_311026.4
OG0004049	XP_015431562.1	XP_001688807.1
OG0004050	XP_015432758.1	XP_001238813.1, XP_001238814.1, XP_001237397.1, XP_001237396.2
OG0004051	XP_015430666.1	XP_321377.4
OG0004052	XP_015432443.1	XP_313802.5
OG0004053	XP_015429097.1	XP_564094.3
OG0004055	XP_015428854.1	XP_551859.3
OG0004056	XP_015440247.1	XP_316308.4
OG0004058	XP_015432469.1	XP_312771.1
OG0004059	XP_015429668.1, XP_015429661.1	XP_317121.2
OG0004060	XP_015439730.1, XP_015440267.1	XP_308010.5
OG0004061	XP_015434781.1	XP_317494.1
OG0004062	XP_015433914.1, XP_015433916.1	XP_003435760.1, XP_551677.4
OG0004063	XP_015435915.1	XP_318961.4, XP_318960.4
OG0004064	XP_015429518.1	XP_001231048.2
OG0004065	XP_015433419.1	XP_321583.5
OG0004066	XP_015432384.1	XP_310825.3
OG0004067	XP_015431660.1	XP_313977.4
OG0004068	XP_015437399.1	XP_320290.4
OG0004069	XP_015428447.1	XP_311616.1
OG0004070	XP_015436020.1	XP_310908.5, XP_310904.5
OG0004071	XP_015439097.1	XP_001688827.1, XP_316281.4
OG0004072	XP_015439101.1	XP_001689139.1
OG0004073	XP_015430743.1	XP_308326.4
OG0004074	XP_015432955.1	XP_314000.3
OG0004075	XP_015439207.1	XP_003436286.1, XP_003436287.1, XP_003436288.1, XP_003436285.1, XP_312021.4
OG0004076	XP_015437345.1	XP_308369.3
OG0004077	XP_015432422.1	XP_313328.4
OG0004078	XP_015432734.1	XP_312472.2
OG0004079	XP_015429296.1	XP_320805.3
OG0004080	XP_015433966.1	XP_315852.4
OG0004082	XP_015432145.1	XP_318628.4
OG0004083	XP_015439169.1	XP_318065.4
OG0004084	XP_015434852.1	XP_310358.7
OG0004085	XP_015431294.1	XP_316356.3
OG0004086	XP_015438001.1	XP_310930.5
OG0004087	XP_015439775.1	XP_311835.5
OG0004088	XP_015432610.1	XP_318883.4
OG0004089	XP_015434779.1	XP_555244.3
OG0004090	XP_015436530.1	XP_001237595.2
OG0004091	XP_015436737.1	XP_319154.4
OG0004092	XP_015434142.1	XP_317242.4
OG0004093	XP_015438854.1	XP_310688.5
OG0004094	XP_015437845.1	XP_311178.4
OG0004095	XP_015435384.1	XP_316020.4
OG0004096	XP_015429082.1	XP_559248.3
OG0004097	XP_015438275.1	XP_318918.2
OG0004098	XP_015431702.1	XP_309835.2
OG0004099	XP_015439609.1	XP_321090.4
OG0004100	XP_015435525.1	XP_313152.3
OG0004101	XP_015435275.1	XP_314837.3
OG0004102	XP_015434370.1	XP_003436465.1, XP_003436464.1
OG0004103	XP_015437459.1	XP_313432.5, XP_003436553.1, XP_003436554.1
OG0004104	XP_015438858.1	XP_312438.5
OG0004105	XP_015428423.1	XP_319178.4
OG0004106	XP_015436805.1	XP_311153.3
OG0004107	XP_015430159.1	XP_001688851.1
OG0004109	XP_015430081.1	XP_563317.4
OG0004110	XP_015440042.1	XP_316345.4
OG0004111	XP_015434571.1	XP_314309.4
OG0004112	XP_015430938.1	XP_321635.1, XP_003435850.1
OG0004113	XP_015433992.1	XP_320525.4
OG0004114	XP_015438576.1	XP_319407.2
OG0004116	XP_015438917.1	XP_001237507.3
OG0004117	XP_015436718.1, XP_015436721.1	XP_001237803.2
OG0004119	XP_015434416.1	XP_319556.5
OG0004120	XP_015439853.1	XP_321666.3
OG0004121	XP_015431350.1	XP_321405.4
OG0004122	XP_015434232.1	XP_309209.5
OG0004123	XP_015430117.1	XP_319749.3
OG0004124	XP_015436241.1, XP_015438250.1	XP_316056.4, XP_556692.3
OG0004125	XP_015436681.1	XP_310876.4
OG0004126	XP_015438945.1	XP_319248.3, XP_001238114.1, XP_553994.2
OG0004128	XP_015434512.1	XP_319393.4
OG0004129	XP_015430926.1	XP_314716.4
OG0004130	XP_015437906.1	XP_312574.4
OG0004131	XP_015439542.1	XP_309504.4
OG0004132	XP_015436813.1	XP_003437037.1, XP_310497.5, XP_003437039.1, XP_003437038.1
OG0004133	XP_015435484.1	XP_003436965.1
OG0004137	XP_015437984.1	XP_312668.4
OG0004138	XP_015429988.1	XP_307877.2
OG0004139	XP_015434161.1	XP_315254.3
OG0004140	XP_015435395.1	XP_001689102.1
OG0004141	XP_015432706.1	XP_316517.4
OG0004142	XP_015434014.1	XP_024667089.1, XP_001231059.2
OG0004144	XP_015430652.1	XP_319864.4
OG0004145	XP_015439834.1	XP_309941.4
OG0004146	XP_015431363.1	XP_315438.3
OG0004147	XP_015430098.1	XP_308817.4
OG0004149	XP_015428870.1, XP_015428871.1	XP_001689259.1
OG0004150	XP_015438018.1	XP_318430.3
OG0004151	XP_015437634.1	XP_316047.4
OG0004153	XP_015439647.1	XP_312247.5
OG0004154	XP_015433956.1	XP_563530.3
OG0004155	XP_015439626.1	XP_003436256.1, XP_312076.2
OG0004158	XP_015439603.1	XP_316619.4
OG0004159	XP_015436258.1	XP_316144.4
OG0004160	XP_015428857.1	XP_316661.5
OG0004162	XP_015434260.1	XP_310156.4
OG0004163	XP_015431256.1	XP_553259.2
OG0004164	XP_015439296.1	XP_003435882.1
OG0004166	XP_015429770.1	XP_316078.4
OG0004167	XP_015428546.1	XP_310420.5, XP_003436638.1, XP_003436637.1
OG0004168	XP_015435903.1	XP_315532.3
OG0004169	XP_015437190.1	XP_003436961.1, XP_310840.5
OG0004170	XP_015439340.1, XP_015439298.1	XP_309924.4
OG0004171	XP_015431548.1	XP_310964.5
OG0004172	XP_015439929.1	XP_003435727.1, XP_315571.4, XP_001688681.1, XP_003435728.1
OG0004174	XP_015431061.1	XP_308670.4
OG0004175	XP_015429705.1	XP_315524.4, XP_001688674.1
OG0004176	XP_015439745.1	XP_001237727.1, XP_315864.4
OG0004177	XP_015429772.1	XP_319569.4
OG0004178	XP_015437670.1	XP_001688110.1, XP_001688111.1, XP_308855.4
OG0004180	XP_015428974.1	XP_311082.5
OG0004181	XP_015432601.1	XP_317116.4, XP_318879.3
OG0004182	XP_015437031.1	XP_001230685.2
OG0004183	XP_015438237.1	XP_001689011.1
OG0004184	XP_015432444.1	XP_320342.4
OG0004186	XP_015435456.1	XP_317615.4
OG0004187	XP_015430771.1	XP_311316.3
OG0004188	XP_015436793.1	XP_319883.4
OG0004189	XP_015437002.1	XP_317522.4
OG0004190	XP_015437468.1	XP_321498.4
OG0004191	XP_015438437.1	XP_308181.4
OG0004192	XP_015438023.1	XP_313788.4
OG0004193	XP_015432489.1	XP_308604.4, XP_001688029.1
OG0004195	XP_015434320.1	XP_315995.1
OG0004196	XP_015435580.1	XP_556213.2, XP_555772.2
OG0004197	XP_015436116.1	XP_315391.4, XP_001688652.1, XP_001688653.1
OG0004198	XP_015429465.1	XP_001238086.1, XP_319104.4
OG0004201	XP_015428889.1	XP_310532.5
OG0004202	XP_015436645.1	XP_320050.4
OG0004203	XP_015438375.1	XP_308842.4
OG0004204	XP_015439512.1	XP_001237405.2, XP_311914.3, XP_001237474.3
OG0004206	XP_015428667.1	XP_308698.4
OG0004207	XP_015430795.1	XP_312766.5
OG0004209	XP_015433119.1	XP_003436488.1, XP_311764.4
OG0004210	XP_015438480.1	XP_316202.4
OG0004211	XP_015434900.1	XP_003436790.1
OG0004212	XP_015432629.1	XP_001689214.1
OG0004213	XP_015439941.1	XP_312547.4
OG0004214	XP_015435703.1	XP_003436169.1, XP_563560.4, XP_312069.3
OG0004215	XP_015438484.1	XP_319187.4
OG0004216	XP_015438049.1	XP_307795.3
OG0004217	XP_015432034.1	XP_001689380.1
OG0004218	XP_015435251.1	XP_001687842.2
OG0004219	XP_015429954.1, XP_015429953.1	XP_314287.3
OG0004220	XP_015438654.1	XP_318886.3
OG0004223	XP_015433378.1	XP_318483.1, XP_003436691.1
OG0004224	XP_015435808.1	XP_309683.5, XP_003436491.1
OG0004225	XP_015434058.1	XP_001687807.1, XP_001688425.2
OG0004227	XP_015430879.1	XP_308443.4
OG0004228	XP_015438856.1	XP_003437021.1
OG0004229	XP_015429264.1	XP_315442.4
OG0004230	XP_015439024.1, XP_015439022.1	XP_315606.4
OG0004231	XP_015434912.1	XP_310950.5
OG0004232	XP_015439385.1	XP_316514.4
OG0004233	XP_015435302.1	XP_001688034.1, XP_308608.3, XP_001688033.1, XP_001688032.1
OG0004234	XP_015440041.1	XP_001688546.1
OG0004235	XP_015439803.1	XP_566098.3
OG0004236	XP_015440286.1	XP_315047.4
OG0004237	XP_015433727.1	XP_318914.4
OG0004238	XP_015435518.1	XP_552873.2, XP_319730.4
OG0004239	XP_015434327.1	XP_319835.4
OG0004240	XP_015433596.1	XP_317196.4
OG0004241	XP_015429331.1	XP_001688994.1
OG0004242	XP_015432855.1	XP_310918.5
OG0004243	XP_015429017.1	XP_552043.1
OG0004245	XP_015429207.1	XP_310404.4
OG0004246	XP_015440319.1	XP_309135.1
OG0004247	XP_015436063.1	XP_312497.5
OG0004248	XP_015440388.1	XP_311402.2
OG0004249	XP_015439983.1	XP_313558.5
OG0004250	XP_015439645.1	XP_003436772.1
OG0004251	XP_015436513.1	XP_311062.5
OG0004252	XP_015429155.1	XP_311836.5
OG0004253	XP_015433082.1	XP_317481.4
OG0004275	XP_015430166.1	XP_321541.4, XP_003435881.1
OG0004276	XP_015432928.1	XP_320252.4
OG0004277	XP_015437141.1	XP_316033.4
OG0004278	XP_015439898.1	XP_313760.4
OG0004279	XP_015430341.1	XP_321619.3
OG0004280	XP_015435151.1	XP_321163.4
OG0004281	XP_015433079.1, XP_015433080.1	XP_315590.3
OG0004282	XP_015431697.1	XP_552798.3
OG0004283	XP_015431518.1	XP_321155.3
OG0004284	XP_015432126.1	XP_313275.3
OG0004285	XP_015429944.1	XP_308285.3
OG0004286	XP_015430135.1	XP_320669.4
OG0004287	XP_015434480.1	XP_310452.5
OG0004288	XP_015428594.1	XP_321802.3
OG0004289	XP_015430367.1, XP_015430366.1, XP_015430365.1	XP_312991.3
OG0004290	XP_015439156.1	XP_308524.4
OG0004291	XP_015440090.1	XP_310934.4
OG0004292	XP_015429338.1	XP_309527.3
OG0004293	XP_015429278.1	XP_309304.3
OG0004294	XP_015435635.1	XP_001689266.1, XP_001689265.1, XP_552180.1
OG0004297	XP_015436333.1	XP_319630.2
OG0004298	XP_015438536.1	XP_563593.1
OG0004299	XP_015437123.1	XP_003437123.1, XP_316835.4
OG0004300	XP_015431664.1	XP_309200.2
OG0004301	XP_015440047.1	XP_307798.4
OG0004302	XP_015434514.1	XP_315417.4
OG0004303	XP_015430787.1	XP_319722.3
OG0004304	XP_015433840.1	XP_317299.3
OG0004305	XP_015432813.1	XP_317138.4
OG0004306	XP_015439040.1	XP_311387.3
OG0004307	XP_015428445.1	XP_320804.4
OG0004308	XP_015430340.1	XP_001689366.2
OG0004309	XP_015429031.1	XP_314243.4
OG0004310	XP_015430484.1	XP_314752.3
OG0004311	XP_015437350.1	XP_317337.3
OG0004312	XP_015435128.1	XP_308769.2
OG0004313	XP_015431192.1	XP_311332.4
OG0004314	XP_015438838.1	XP_310190.3
OG0004315	XP_015431132.1	XP_316499.2
OG0004316	XP_015438989.1	XP_312474.4
OG0004317	XP_015439934.1	XP_317881.2
OG0004318	XP_015429339.1	XP_558148.1, XP_314575.2
OG0004320	XP_015431369.1	XP_003436336.1, XP_003436337.1, XP_003436335.1, XP_003436334.1
OG0004321	XP_015429274.1	XP_320235.4
OG0004322	XP_015428878.1	XP_315390.3
OG0004323	XP_015437767.1	XP_310208.3
OG0004324	XP_015429722.1	XP_003435869.1
OG0004325	XP_015440281.1	XP_321348.3
OG0004326	XP_015433299.1	XP_322016.4
OG0004327	XP_015439719.1	XP_313697.4
OG0004328	XP_015436257.1	XP_321089.4, XP_003435981.1
OG0004329	XP_015428840.1	XP_317780.4
OG0004330	XP_015429304.1	XP_312755.2
OG0004331	XP_015428937.1	XP_311286.5
OG0004332	XP_015429051.1	XP_311310.1
OG0004333	XP_015437351.1	XP_311779.4
OG0004334	XP_015429055.1	XP_314997.3
OG0004335	XP_015435510.1	XP_001238387.2
OG0004336	XP_015433291.1	XP_311750.4
OG0004337	XP_015439202.1	XP_315508.4, XP_001688671.1, XP_001688670.1
OG0004338	XP_015436799.1	XP_318578.3
OG0004339	XP_015435762.1	XP_318431.5
OG0004340	XP_015437638.1	XP_319922.4
OG0004341	XP_015435902.1	XP_318896.3
OG0004343	XP_015428540.1	XP_317435.3
OG0004344	XP_015434269.1	XP_311859.5
OG0004345	XP_015430570.1	XP_307896.3
OG0004346	XP_015436132.1	XP_320535.3
OG0004347	XP_015428590.1	XP_317030.3
OG0004348	XP_015428481.1	XP_312296.5
OG0004349	XP_015429554.1	XP_321407.3
OG0004350	XP_015429611.1	XP_307264.3
OG0004351	XP_015433008.1	XP_313999.2
OG0004352	XP_015439610.1	XP_562238.4
OG0004353	XP_015431346.1	XP_001688044.1
OG0004354	XP_015431970.1	XP_309347.4
OG0004355	XP_015431204.1	XP_312461.3
OG0004356	XP_015433862.1	XP_311025.2
OG0004357	XP_015435428.1	XP_003437031.1, XP_565769.4
OG0004358	XP_015436558.1, XP_015436557.1	XP_314490.4
OG0004359	XP_015430190.1	XP_308962.3
OG0004360	XP_015439885.1	XP_310387.5
OG0004361	XP_015436330.1	XP_321795.2
OG0004362	XP_015433133.1	XP_313003.4
OG0004363	XP_015437314.1	XP_556483.3
OG0004364	XP_015436871.1	XP_315443.3
OG0004365	XP_015434111.1, XP_015438129.1	XP_001688522.1
OG0004366	XP_015433006.1	XP_317046.2
OG0004367	XP_015440291.1	XP_312972.5
OG0004368	XP_015440222.1, XP_015440221.1	XP_311037.3
OG0004369	XP_015435084.1	XP_314876.4
OG0004370	XP_015429052.1	XP_001688524.1, XP_314102.2
OG0004371	XP_015431001.1	XP_316567.4
OG0004372	XP_015435018.1	XP_321106.4, XP_003435977.1
OG0004373	XP_015431930.1	XP_310479.5
OG0004374	XP_015433798.1	XP_319927.3
OG0004375	XP_015433462.1	XP_317168.1
OG0004376	XP_015434374.1	XP_316497.2
OG0004377	XP_015433695.1	XP_310437.4, XP_003436642.1, XP_003436643.1
OG0004378	XP_015429281.1	XP_559130.1
OG0004379	XP_015434618.1	XP_319397.4
OG0004380	XP_015439621.1	XP_003436771.1
OG0004381	XP_015436609.1	XP_313959.3
OG0004382	XP_015435521.1	XP_310797.5
OG0004383	XP_015428792.1	XP_001687889.1, XP_308303.3
OG0004384	XP_015440093.1	XP_560526.4, XP_307660.4, XP_319353.4
OG0004385	XP_015435631.1	XP_562397.3
OG0004386	XP_015433704.1	XP_315624.3
OG0004387	XP_015431195.1	XP_318983.3
OG0004388	XP_015432940.1	XP_316948.4
OG0004389	XP_015439858.1	XP_319206.4
OG0004390	XP_015439358.1	XP_313986.4
OG0004391	XP_015434487.1	XP_315850.3
OG0004392	XP_015429911.1	XP_312031.5, XP_003436278.1
OG0004393	XP_015436542.1	XP_321918.4
OG0004394	XP_015436037.1	XP_321075.3
OG0004395	XP_015437228.1	XP_318420.5
OG0004396	XP_015438501.1, XP_015438500.1	XP_308224.3
OG0004397	XP_015439102.1	XP_308644.4
OG0004398	XP_015440341.1	XP_319908.4
OG0004400	XP_015434980.1	XP_321839.4
OG0004401	XP_015432995.1	XP_309580.4, XP_001237244.2
OG0004402	XP_015435674.1	XP_307863.1
OG0004403	XP_015440067.1, XP_015440101.1	XP_308013.5
OG0004404	XP_015431996.1	XP_320142.3
OG0004406	XP_015438321.1	XP_316876.5
OG0004407	XP_015428831.1	XP_321320.5
OG0004408	XP_015431993.1	XP_320152.4
OG0004409	XP_015431903.1	XP_311589.4
OG0004410	XP_015428987.1	XP_560403.3
OG0004411	XP_015433473.1	XP_308839.2
OG0004412	XP_015438843.1	XP_314028.3
OG0004413	XP_015435818.1	XP_001688479.1, XP_313945.3
OG0004414	XP_015431366.1	XP_316150.4
OG0004415	XP_015431055.1	XP_313866.5
OG0004416	XP_015432005.1	XP_556948.3
OG0004417	XP_015432938.1	XP_313741.5
OG0004418	XP_015437139.1	XP_024667075.1
OG0004419	XP_015430125.1	XP_001237538.3, XP_001688459.2
OG0004420	XP_015430778.1	XP_320432.3
OG0004421	XP_015430206.1	XP_001688688.1, XP_001230832.1, XP_003436476.1
OG0004422	XP_015436184.1, XP_015436185.1	XP_313187.5
OG0004423	XP_015431839.1	XP_319791.4
OG0004424	XP_015439461.1	XP_314342.3
OG0004425	XP_015436705.1	XP_317243.4
OG0004426	XP_015440050.1	XP_317593.4
OG0004427	XP_015437098.1	XP_318657.4
OG0004428	XP_015438561.1	XP_308965.3
OG0004429	XP_015431111.1	XP_003437020.1
OG0004430	XP_015439494.1	XP_003436927.1, XP_310982.3
OG0004431	XP_015437955.1	XP_313450.5
OG0004432	XP_015431072.1, XP_015431073.1	XP_315449.4
OG0004434	XP_015432480.1	XP_001231086.2, XP_554563.3
OG0004436	XP_015433661.1	XP_001237457.2, XP_312362.3
OG0004437	XP_015433723.1	XP_312149.4
OG0004439	XP_015440442.1	XP_308308.4, XP_001687891.1
OG0004440	XP_015439067.1	XP_320387.3
OG0004441	XP_015436143.1	XP_321146.5
OG0004442	XP_015431615.1	XP_316678.1
OG0004443	XP_015430740.1	XP_317854.4
OG0004445	XP_015435772.1	XP_310837.5
OG0004446	XP_015435099.1	XP_001238182.2
OG0004447	XP_015438006.1	XP_566117.4
OG0004448	XP_015430271.1	XP_314928.2
OG0004449	XP_015431832.1	XP_311519.3
OG0004450	XP_015430308.1	XP_310814.5
OG0004451	XP_015431281.1	XP_316391.4, XP_001688854.1, XP_001688853.1
OG0004452	XP_015428451.1	XP_003436887.1, XP_311627.4, XP_003436886.1
OG0004453	XP_015429105.1, XP_015429016.1	XP_308414.4
OG0004454	XP_015428899.1	XP_313307.5
OG0004455	XP_015433262.1	XP_312924.4, XP_312923.4
OG0004457	XP_015435181.1	XP_563061.3
OG0004458	XP_015431152.1	XP_316653.4
OG0004459	XP_015433876.1, XP_015433797.1	XP_322065.3
OG0004460	XP_015436899.1	XP_307583.2, XP_313198.5
OG0004461	XP_015428554.1	XP_310157.4
OG0004462	XP_015432105.1	XP_003436977.1
OG0004463	XP_015435461.1	XP_313387.4
OG0004464	XP_015436043.1	XP_315099.3, XP_003436770.1, XP_001688614.1
OG0004465	XP_015432963.1	XP_003437046.1, XP_310457.5
OG0004466	XP_015438909.1	XP_314849.2
OG0004467	XP_015431539.1	XP_317019.4
OG0004468	XP_015431552.1	XP_317424.4
OG0004469	XP_015438861.1, XP_015438860.1	XP_314026.4
OG0004470	XP_015439339.1	XP_313821.3
OG0004471	XP_015440061.1	XP_314945.1
OG0004472	XP_015436942.1	XP_309363.3
OG0004473	XP_015428860.1	XP_315205.4
OG0004475	XP_015434515.1	XP_313608.5
OG0004478	XP_015429719.1	XP_314540.4
OG0004479	XP_015429320.1	XP_317371.3
OG0004480	XP_015430733.1	XP_315531.3
OG0004481	XP_015434294.1	XP_318161.4
OG0004482	XP_015440265.1	XP_314011.4
OG0004483	XP_015437718.1	XP_310873.5
OG0004484	XP_015440000.1	XP_320042.3
OG0004485	XP_015437217.1	XP_309080.4, XP_001237175.2
OG0004486	XP_015435301.1	XP_312626.4
OG0004487	XP_015438758.1	XP_311891.3, XP_003436345.1, XP_003436344.1
OG0004489	XP_015433282.1	XP_320903.3
OG0004490	XP_015431860.1, XP_015431861.1	XP_561433.2, XP_309710.1
OG0004491	XP_015434219.1	XP_310115.3
OG0004492	XP_015435064.1	XP_320194.4
OG0004493	XP_015428767.1	XP_321936.5, XP_003435780.1, XP_003435779.1
OG0004494	XP_015438545.1	XP_320943.5
OG0004495	XP_015439524.1	XP_308217.4
OG0004496	XP_015430162.1	XP_320863.4
OG0004498	XP_015438340.1	XP_316179.4
OG0004499	XP_015435732.1	XP_321476.5
OG0004500	XP_015430172.1	XP_310935.5, XP_319360.4
OG0004501	XP_015432332.1	XP_319778.4
OG0004502	XP_015429303.1	XP_318274.4
OG0004503	XP_015439696.1	XP_319693.4
OG0004504	XP_015437363.1	XP_320337.3
OG0004505	XP_015429351.1	XP_552411.3
OG0004506	XP_015431109.1	XP_314009.4
OG0004507	XP_015432946.1	XP_317460.3
OG0004508	XP_015435479.1	XP_319580.4
OG0004509	XP_015428551.1, XP_015437614.1	XP_308943.4
OG0004510	XP_015439459.1	XP_003436116.1, XP_312542.5, XP_003436115.1
OG0004511	XP_015430759.1	XP_319901.2
OG0004512	XP_015428473.1	XP_318487.4
OG0004513	XP_015428856.1	XP_314020.2
OG0004514	XP_015437211.1	XP_565448.3
OG0004515	XP_015433635.1	XP_320293.4
OG0004516	XP_015440410.1	XP_320917.3
OG0004517	XP_015436268.1	XP_319699.3
OG0004518	XP_015429391.1	XP_313825.5
OG0004519	XP_015436595.1	XP_312476.5, XP_003436137.1
OG0004520	XP_015438476.1	XP_311560.3
OG0004521	XP_015436786.1	XP_312281.3
OG0004524	XP_015434185.1	XP_311196.5
OG0004525	XP_015432759.1	XP_310396.7
OG0004526	XP_015434680.1	XP_316389.4
OG0004527	XP_015431456.1	XP_317231.4
OG0004528	XP_015439375.1	XP_315562.4
OG0004529	XP_015434799.1	XP_307193.3, XP_309656.4, XP_309429.5
OG0004530	XP_015430768.1	XP_001230510.1, XP_001688268.1
OG0004531	XP_015435664.1	XP_311484.3
OG0004532	XP_015431809.1	XP_001237573.2, XP_001237572.1, XP_558110.3
OG0004533	XP_015430499.1	XP_318516.3
OG0004534	XP_015429362.1	XP_309957.4
OG0004535	XP_015429024.1, XP_015429025.1	XP_564464.3
OG0004536	XP_015437666.1	XP_312266.1
OG0004537	XP_015436875.1	XP_564217.3
OG0004538	XP_015433961.1	XP_001688307.1
OG0004539	XP_015434322.1	XP_314167.4
OG0004540	XP_015428489.1	XP_313854.3
OG0004541	XP_015429797.1	XP_313014.4
OG0004542	XP_015435074.1, XP_015435075.1	XP_319665.4
OG0004543	XP_015435186.1	XP_001230957.2
OG0004544	XP_015433384.1	XP_309636.5
OG0004545	XP_015432735.1	XP_319959.4
OG0004546	XP_015433832.1, XP_015433830.1, XP_015433831.1	XP_311348.4
