Orthogroup	Tribolium_castaneum	Osmia_lignaria
OG0004127	XP_015835835.1, XP_008193893.1	XP_034185855.1
OG0004128	NP_001158279.1, XP_008195076.1	XP_034181244.1, XP_034181243.1
OG0004129	XP_968238.2	XP_034184640.1
OG0004130	XP_015835407.1	XP_034196372.1
OG0004131	XP_015834593.1	XP_034171866.1
OG0004132	XP_008195790.1	XP_034174632.1
OG0004133	XP_008193571.1	XP_034175275.1
OG0004134	XP_966548.1	XP_034195659.1
OG0004135	XP_969395.1	XP_034190669.1
OG0004136	XP_015838557.1, XP_967039.2	XP_034191010.1
OG0004137	XP_972661.2	XP_034193950.1
OG0004138	XP_008199722.1	XP_034179377.1
OG0004139	XP_973779.1, XP_967521.1	XP_034180729.1
OG0004140	XP_971284.1	XP_034173056.1
OG0004141	XP_008195546.1, XP_971815.1	XP_034191035.1
OG0004142	XP_015833163.1, XP_015833173.1	XP_034188892.1
OG0004144	XP_974174.1	XP_034174363.1
OG0004145	XP_966571.1	XP_034192776.1, XP_034192606.1
OG0004146	XP_008193932.1	XP_034190186.1, XP_034190185.1
OG0004147	XP_008199251.1	XP_034196262.1
OG0004148	XP_008191391.1	XP_034175327.1
OG0004149	XP_015833182.1, XP_969301.4	XP_034190104.1
OG0004150	XP_970273.1	XP_034193483.1
OG0004151	XP_008193562.1	XP_034186165.1
OG0004152	XP_015838551.1, XP_015840222.1	XP_034188780.1
OG0004153	XP_008199980.1	XP_034192626.1
OG0004154	XP_975348.1	XP_034189064.1
OG0004155	XP_008199045.1	XP_034184897.1
OG0004157	XP_008200151.1	XP_034194505.1
OG0004158	XP_008194425.1	XP_034185699.1
OG0004160	XP_008199427.1	XP_034183521.1
OG0004161	XP_008195570.1	XP_034180721.1
OG0004162	XP_008196673.1	XP_034187090.1
OG0004163	XP_015835252.1	XP_034170839.1
OG0004164	XP_008201024.2	XP_034185015.1
OG0004165	XP_015838044.1	XP_034194305.1
OG0004166	XP_969892.2	XP_034182290.1
OG0004167	XP_008196156.1	XP_034175620.1
OG0004168	XP_001812912.1	XP_034188552.1
OG0004169	XP_015835091.1, XP_008192376.1	XP_034195729.1
OG0004170	XP_008193690.1	XP_034181705.1
OG0004171	XP_967199.1	XP_034194330.1, XP_034194326.1
OG0004172	XP_015834445.1	XP_034177508.1
OG0004173	XP_968786.2	XP_034181521.1
OG0004174	XP_015837602.1	XP_034180445.1
OG0004175	XP_008193965.1	XP_034189221.1
OG0004176	XP_970249.2	XP_034177413.1
OG0004177	XP_008191243.1	XP_034182292.1
OG0004179	XP_001816025.1	XP_034180208.1, XP_034180207.1
OG0004180	XP_015834995.1	XP_034170964.1
OG0004181	XP_972529.1	XP_034194757.1
OG0004182	XP_001810222.1	XP_034175120.1
OG0004183	XP_970649.1	XP_034172784.1
OG0004184	XP_972898.1	XP_034179379.1, XP_034179378.1
OG0004185	XP_015833808.1	XP_034184074.1
OG0004186	XP_015835671.1	XP_034173020.1
OG0004187	XP_008194310.1	XP_034187417.1
OG0004188	XP_015839343.1	XP_034193898.1
OG0004189	XP_015839172.1, XP_015839173.1	XP_034189065.1
OG0004190	XP_015836315.1	XP_034184697.1
OG0004191	XP_969809.1	XP_034183365.1
OG0004192	XP_972716.1	XP_034177957.1
OG0004193	XP_015837566.1	XP_034171926.1, XP_034171922.1
OG0004194	XP_008192437.1	XP_034170813.1
OG0004195	XP_967373.1	XP_034182656.1
OG0004196	XP_008192634.1	XP_034190141.1
OG0004197	NP_001092318.1, XP_015837050.1	XP_034184108.1
OG0004199	XP_008192661.1	XP_034181770.1, XP_034181771.1, XP_034181769.1
OG0004201	XP_008196254.1, XP_008196255.1	XP_034185843.1, XP_034185844.1
OG0004202	XP_974078.2	XP_034179228.1
OG0004203	XP_008190624.1, XP_973621.2, XP_015832952.1	XP_034183885.1
OG0004204	XP_973451.2	XP_034184177.1
OG0004205	XP_008192300.1, XP_975622.1	XP_034173145.1
OG0004206	XP_008195830.1	XP_034178252.1
OG0004207	XP_973218.1	XP_034173888.1
OG0004209	XP_015839287.1	XP_034179768.1
OG0004210	XP_008196333.1, XP_974885.1	XP_034189764.1
OG0004211	XP_015833688.1	XP_034179359.1
OG0004212	XP_008193851.1	XP_034186233.1
OG0004213	XP_008201519.1	XP_034177145.1
OG0004214	XP_008195745.1	XP_034171628.1
OG0004218	XP_008198657.1	XP_034172905.1, XP_034172904.1
OG0004219	XP_971270.1	XP_034172531.1
OG0004220	XP_015840558.1	XP_034186573.1
OG0004222	XP_969545.1	XP_034190780.1
OG0004223	XP_966506.1, XP_008195125.1, XP_008195126.1	XP_034177211.1
OG0004224	XP_008194757.1	XP_034188444.1
OG0004225	XP_001812890.2	XP_034180049.1
OG0004229	XP_015833830.1	XP_034188012.1
OG0004230	XP_008195350.1	XP_034191893.1
OG0004231	XP_969823.3	XP_034179605.1
OG0004232	XP_008197867.1, XP_972446.1	XP_034179954.1
OG0004234	XP_971060.1	XP_034176789.1
OG0004235	XP_015840768.1	XP_034187662.1
OG0004236	XP_015839515.1, XP_015839514.1	XP_034179541.1, XP_034179547.1
OG0004237	XP_972411.1	XP_034185620.1
OG0004238	NP_001139341.1	XP_034174948.1, XP_034174945.1
OG0004239	XP_008193832.2	XP_034182762.1, XP_034182760.1, XP_034182763.1
OG0004240	XP_966462.1	XP_034178189.1
OG0004241	XP_015835603.1	XP_034172177.1, XP_034172176.1, XP_034172173.1, XP_034172175.1, XP_034172174.1
OG0004242	XP_008190689.1, NP_001034513.1	XP_034172069.1
OG0004243	XP_001809395.1	XP_034171690.1
OG0004244	XP_008190816.1	XP_034195007.1
OG0004245	XP_015832939.1	XP_034187936.1
OG0004247	XP_008192323.1	XP_034183980.1
OG0004248	XP_008191550.1	XP_034170847.1, XP_034170846.1
OG0004249	XP_967213.1	XP_034176863.1
OG0004251	XP_008191695.1	XP_034175526.1, XP_034175525.1
OG0004252	XP_008200798.2, XP_015839628.1	XP_034183160.1
OG0004253	NP_001107838.1, XP_008193910.1	XP_034172998.1
OG0004254	XP_001814021.1	XP_034172972.1, XP_034172973.1
OG0004256	XP_973942.1, NP_001161275.1	XP_034188920.1
OG0004257	XP_975524.1, XP_015836662.1, XP_970452.2	XP_034173935.1, XP_034173936.1, XP_034173937.1, XP_034177844.1
OG0004258	XP_974160.2	XP_034185691.1
OG0004261	XP_015833632.1, XP_015833634.1, XP_015833633.1, XP_015833631.1	XP_034182066.1
OG0004262	XP_008200054.1, XP_008191569.1	XP_034188231.1, XP_034188233.1, XP_034188232.1
OG0004264	XP_973435.1	XP_034174196.1, XP_034174194.1
OG0004266	XP_008192549.1	XP_034183911.1
OG0004267	XP_968461.1, XP_968542.1, XP_968377.1	XP_034191147.1
OG0004269	XP_008191491.1, XP_001807780.1	XP_034184936.1
OG0004275	XP_008201172.1	XP_034179284.1
OG0004276	XP_972907.1	XP_034172961.1
OG0004277	XP_969696.1	XP_034195802.1
OG0004278	XP_975170.2	XP_034176939.1
OG0004279	XP_975179.2	XP_034186737.1
OG0004280	XP_973533.1	XP_034181286.1
OG0004281	XP_008195224.1	XP_034172841.1
OG0004282	XP_974347.1	XP_034174535.1
OG0004283	XP_008192466.1, NP_001165863.1	XP_034170807.1
OG0004284	XP_968064.1	XP_034187156.1
OG0004285	XP_970899.1	XP_034191030.1
OG0004286	XP_968001.1	XP_034188812.1, XP_034188811.1
OG0004287	XP_966498.1	XP_034190605.1
OG0004288	XP_969265.1	XP_034175639.1
OG0004289	XP_008197558.1, XP_015838760.1	XP_034191094.1
OG0004290	XP_971885.1	XP_034191676.1
OG0004291	XP_968374.1	XP_034192864.1
OG0004292	XP_015837941.1	XP_034182671.1
OG0004293	XP_972261.1	XP_034188111.1
OG0004294	XP_974435.1	XP_034193735.1
OG0004295	XP_971412.1	XP_034195665.1, XP_034195664.1
OG0004296	XP_967959.1	XP_034195503.1
OG0004297	XP_966358.1	XP_034184503.1
OG0004298	XP_015834541.1	XP_034189635.1
OG0004299	XP_973645.1	XP_034175321.1
OG0004300	XP_008197771.1	XP_034173891.1
OG0004301	XP_972630.1	XP_034193001.1
OG0004302	XP_971610.1	XP_034189802.1
OG0004303	XP_974854.1	XP_034187619.1
OG0004304	XP_008190996.1	XP_034194975.1
OG0004305	XP_967790.1	XP_034172471.1
OG0004306	XP_972464.1, XP_972413.1	XP_034180170.1
OG0004307	XP_015834916.1	XP_034187089.1
OG0004308	XP_975195.1	XP_034186790.1
OG0004309	XP_969903.1	XP_034171733.1
OG0004310	XP_969714.1	XP_034172600.1
OG0004311	XP_969723.1	XP_034176141.1
OG0004312	XP_969605.1	XP_034192499.1
OG0004313	XP_969250.1	XP_034184075.1
OG0004314	XP_968017.1	XP_034175825.1
OG0004315	XP_015833545.1	XP_034184470.1
OG0004316	XP_967058.1	XP_034180331.1
OG0004317	XP_970777.1	XP_034177261.1
OG0004318	XP_973769.1	XP_034182669.1
OG0004319	XP_008201675.1	XP_034190881.1, XP_034190880.1
OG0004320	XP_008199303.1	XP_034189987.1
OG0004321	XP_971796.1	XP_034181095.1
OG0004322	XP_008195533.1	XP_034183534.1
OG0004323	XP_971760.1	XP_034175966.1
OG0004324	XP_973351.1	XP_034193792.1
OG0004325	NP_001128383.1	XP_034178971.1, XP_034178970.1
OG0004326	XP_001813029.1	XP_034177582.1
OG0004327	XP_015835634.1	XP_034177548.1, XP_034177549.1
OG0004328	XP_969972.1	XP_034183982.1
OG0004329	XP_972456.1	XP_034186244.1
OG0004330	XP_966880.1	XP_034181271.1
OG0004331	XP_967746.1	XP_034186009.1
OG0004332	XP_008192042.1, XP_970786.1	XP_034170828.1
OG0004333	XP_971805.1	XP_034193140.1
OG0004334	XP_970161.2	XP_034196567.1
OG0004335	XP_008195989.1	XP_034188791.1
OG0004336	XP_971226.2	XP_034177390.1
OG0004337	XP_008194680.2	XP_034192039.1
OG0004338	XP_971269.1	XP_034171774.1
OG0004339	XP_968192.1	XP_034193489.1
OG0004340	XP_972358.1	XP_034186085.1
OG0004342	XP_971983.1	XP_034188974.1
OG0004343	XP_975131.1	XP_034178525.1
OG0004344	XP_967314.1	XP_034188323.1
OG0004345	XP_970655.1	XP_034184771.1
OG0004346	XP_974710.1	XP_034184419.1
OG0004347	XP_972970.1	XP_034178801.1
OG0004348	XP_970769.1	XP_034182841.1
OG0004349	XP_971370.1	XP_034196068.1
OG0004350	XP_970528.1	XP_034181088.1
OG0004351	XP_008196327.1, XP_972027.1	XP_034173448.1
OG0004352	XP_968697.1	XP_034186141.1
OG0004353	XP_972343.1	XP_034189977.1
OG0004354	XP_008201302.1	XP_034193561.1
OG0004355	XP_975028.1	XP_034191777.1
OG0004356	XP_968339.1	XP_034174685.1
OG0004357	XP_971110.1	XP_034188794.1
OG0004358	XP_972440.1	XP_034175422.1
OG0004359	XP_008199086.1	XP_034179070.1
OG0004360	XP_974891.1	XP_034177627.1
OG0004361	XP_970915.2	XP_034186433.1
OG0004362	XP_967452.2	XP_034179240.1
OG0004363	XP_001814270.1	XP_034175737.1
OG0004364	XP_968539.1	XP_034174464.1
OG0004365	XP_008195871.1	XP_034191498.1, XP_034191500.1
OG0004366	XP_974948.1	XP_034171571.1
OG0004367	XP_968873.1	XP_034178964.1
OG0004368	XP_971553.2	XP_034177558.1
OG0004369	XP_975322.1	XP_034190059.1
OG0004370	XP_967583.3	XP_034170829.1
OG0004371	XP_008191479.1	XP_034186292.1
OG0004372	XP_008196107.1	XP_034171089.1
OG0004373	XP_008197488.1	XP_034179892.1
OG0004374	XP_966555.1	XP_034184811.1
OG0004375	XP_975428.1	XP_034171660.1
OG0004377	XP_008190408.2	XP_034194285.1
OG0004378	XP_001815752.1	XP_034181016.1, XP_034181017.1
OG0004379	XP_008197126.1	XP_034186975.1
OG0004381	XP_008198837.1	XP_034176094.1
OG0004382	XP_008198502.1	XP_034176499.1
OG0004383	XP_001811897.1, XP_008193872.1	XP_034185584.1
OG0004384	XP_967198.1	XP_034177254.1
OG0004385	XP_001814757.1	XP_034179482.1
OG0004386	XP_968136.1	XP_034184784.1
OG0004387	XP_973540.1	XP_034191776.1
OG0004388	XP_970062.1	XP_034172773.1
OG0004389	XP_008190586.1, XP_974322.1	XP_034177090.1
OG0004390	XP_008198783.1	XP_034187675.1, XP_034187676.1
OG0004391	XP_972110.1	XP_034183550.1
OG0004392	NP_001076793.1	XP_034188803.1
OG0004393	XP_008198968.1	XP_034175583.1, XP_034175582.1
OG0004394	XP_008193615.1	XP_034186404.1
OG0004395	XP_015836706.1, XP_008200618.1	XP_034193023.1
OG0004396	XP_967054.1	XP_034185745.1, XP_034185744.1
OG0004397	XP_973270.1	XP_034192125.1
OG0004398	XP_973691.3, NP_001071091.1	XP_034195535.1
OG0004399	XP_966636.1	XP_034184928.1
OG0004400	XP_008194873.1	XP_034171589.1, XP_034171590.1
OG0004401	XP_015833917.1, XP_015833918.1	XP_034172661.1
OG0004402	XP_015839832.1	XP_034185265.1
OG0004403	XP_974795.3	XP_034192737.1
OG0004404	XP_973343.1, XP_972623.1	XP_034195064.1
OG0004405	XP_973483.1	XP_034188655.1
OG0004406	XP_015838960.1	XP_034188939.1
OG0004407	XP_008193688.1	XP_034186929.1
OG0004409	XP_971897.2	XP_034179094.1
OG0004410	XP_008195992.1	XP_034171148.1
OG0004411	XP_974546.1	XP_034184975.1
OG0004412	XP_008197181.1	XP_034176679.1
OG0004413	XP_972151.1	XP_034194388.1
OG0004414	XP_974522.1	XP_034186279.1
OG0004415	XP_015840578.1, XP_015839944.1	XP_034194780.1
OG0004416	XP_967938.1	XP_034195127.1
OG0004417	XP_008191367.2	XP_034172912.1
OG0004418	XP_967755.1	XP_034195780.1
OG0004419	XP_015837300.1, XP_008195801.1	XP_034173641.1
OG0004420	XP_974700.2	XP_034187641.1
OG0004421	XP_008201446.1	XP_034180085.1
OG0004422	XP_008192303.1	XP_034174004.1
OG0004423	XP_015835652.1, XP_008199577.1	XP_034176459.1
OG0004424	XP_966793.1	XP_034179783.1
OG0004425	XP_975776.2	XP_034196155.1
OG0004426	XP_971988.1	XP_034192741.1
OG0004427	XP_975024.1	XP_034194474.1
OG0004428	XP_008193101.1	XP_034189486.1
OG0004429	NP_001137201.1, XP_015839494.1	XP_034196150.1
OG0004430	XP_001812942.1	XP_034195417.1
OG0004431	XP_008198316.1	XP_034179192.1
OG0004432	XP_968397.1	XP_034191771.1
OG0004433	XP_969112.1	XP_034177326.1
OG0004434	XP_967394.1	XP_034179305.1
OG0004436	XP_967237.1, XP_008198811.1	XP_034194523.1
OG0004437	XP_971007.1	XP_034185503.1
OG0004438	XP_974054.1, XP_015838263.1, XP_015838262.1	XP_034180645.1
OG0004439	XP_008192095.1	XP_034176343.1
OG0004440	XP_972849.1	XP_034180643.1, XP_034180644.1
OG0004441	XP_015839666.1, XP_970319.1	XP_034184384.1
OG0004442	XP_968337.1	XP_034174085.1
OG0004443	XP_971224.1	XP_034174440.1
OG0004444	XP_008193636.1	XP_034173163.1
OG0004445	XP_008193656.1	XP_034188492.1
OG0004446	XP_968186.1	XP_034181737.1
OG0004447	XP_008196875.1	XP_034189284.1
OG0004448	XP_968140.1	XP_034187013.1
OG0004449	XP_968648.1, XP_015834343.1	XP_034175605.1
OG0004450	XP_008197685.1	XP_034191072.1
OG0004451	XP_001813375.1, XP_015835910.1	XP_034190017.1
OG0004452	NP_001034518.1, XP_008201243.1	XP_034182844.1
OG0004453	XP_008197856.1	XP_034171948.1
OG0004454	XP_015835986.1	XP_034186103.1
OG0004455	XP_974859.1	XP_034176867.1
OG0004456	XP_008194455.1	XP_034183509.1
OG0004457	XP_008194516.1	XP_034180512.1, XP_034180511.1
OG0004458	XP_973234.1	XP_034195572.1
OG0004459	XP_008201155.1, XP_015840642.1	XP_034194847.1
OG0004460	XP_015839542.1	XP_034174853.1
OG0004461	XP_008198493.1	XP_034178468.1
OG0004462	XP_008201181.1	XP_034186397.1
OG0004463	XP_008193392.1	XP_034173494.1
OG0004464	XP_015833887.1, XP_008194021.1	XP_034179049.1, XP_034179098.1
OG0004465	XP_966481.1	XP_034172255.1
OG0004466	XP_015837577.1	XP_034180181.1
OG0004467	XP_967843.1	XP_034188605.1
OG0004468	XP_969039.1	XP_034188596.1
OG0004469	XP_972171.1	XP_034176693.1
OG0004470	XP_971504.1	XP_034181894.1
OG0004471	XP_973117.1, XP_008196349.1	XP_034177602.1
OG0004472	XP_974024.1	XP_034174371.1
OG0004473	XP_015836862.1, XP_015836861.1	XP_034189671.1
OG0004475	XP_015838870.1, NP_001034508.1	XP_034187981.1
OG0004478	XP_975527.1	XP_034172304.1
OG0004479	XP_971071.1	XP_034182667.1
OG0004480	XP_008201326.1	XP_034187244.1
OG0004481	XP_974320.3	XP_034188301.1
OG0004482	XP_008199962.1	XP_034177255.1
OG0004483	XP_971989.2, XP_008198950.1	XP_034175335.1
OG0004484	XP_966953.1	XP_034192919.1
OG0004485	XP_008193405.1	XP_034192636.1
OG0004486	XP_972731.1	XP_034173360.1
OG0004487	XP_015838841.1	XP_034176637.1
OG0004488	XP_008201364.1	XP_034176025.1
OG0004489	XP_969524.1	XP_034177914.1
OG0004490	XP_008200172.1, XP_971121.1	XP_034170874.1
OG0004491	XP_966917.2	XP_034182816.1
OG0004492	XP_972141.2	XP_034170834.1
OG0004493	XP_970342.1	XP_034187266.1
OG0004494	XP_972668.2	XP_034183367.1
OG0004495	XP_974708.1	XP_034184566.1
OG0004496	XP_008200974.1	XP_034193144.1
OG0004497	XP_970200.1	XP_034195087.1
OG0004498	XP_968062.1	XP_034183464.1
OG0004499	XP_008198302.1	XP_034178940.1
OG0004500	XP_966935.2	XP_034178882.1
OG0004501	XP_008197624.1, NP_001034504.1, XP_008197420.2	XP_034178348.1
OG0004502	XP_008201594.1	XP_034181264.1
OG0004503	XP_008193900.1	XP_034176748.1, XP_034176750.1
OG0004504	XP_971712.2	XP_034176283.1
OG0004505	XP_015839540.1	XP_034194345.1
OG0004506	XP_974651.2	XP_034191709.1, XP_034191708.1
OG0004507	XP_008195560.1	XP_034172991.1
OG0004508	XP_967772.1	XP_034176005.1
OG0004509	XP_967885.1	XP_034172678.1
OG0004510	XP_008195623.1	XP_034179703.1
OG0004511	XP_015834663.1	XP_034174087.1
OG0004512	XP_969306.1	XP_034191210.1
OG0004513	XP_015840997.1	XP_034190140.1
OG0004514	XP_967303.1	XP_034189517.1
OG0004515	XP_971562.1	XP_034182343.1
OG0004516	XP_008199814.1	XP_034175844.1
OG0004517	XP_008192854.1	XP_034183631.1
OG0004518	XP_008200602.2	XP_034185590.1, XP_034185587.1
OG0004519	XP_970192.2	XP_034175576.1
OG0004520	XP_967626.1	XP_034185731.1
OG0004521	XP_966717.1	XP_034196185.1
OG0004522	XP_968657.2	XP_034185210.1
OG0004523	XP_966596.1	XP_034175406.1
OG0004524	XP_975254.2	XP_034191775.1
OG0004525	XP_001814158.1	XP_034186689.1
OG0004526	XP_015835575.1	XP_034183188.1
OG0004527	XP_008196861.1	XP_034188287.1
OG0004528	XP_008198942.1	XP_034193753.1
OG0004529	XP_015840796.1, XP_969523.1	XP_034179938.1
OG0004530	XP_008192807.1	XP_034173670.1
OG0004531	XP_008198806.1	XP_034171102.1
OG0004532	XP_008191977.1	XP_034171355.1
OG0004533	XP_975235.1	XP_034184974.1, XP_034184973.1
OG0004534	XP_015837847.1	XP_034188166.1
OG0004535	XP_967479.1	XP_034171940.1
OG0004536	XP_969779.1	XP_034183755.1
OG0004537	XP_008199753.1	XP_034174368.1
OG0004538	XP_008194447.1	XP_034196503.1
OG0004539	XP_008190563.1, XP_015833001.1	XP_034182371.1
OG0004540	XP_974431.1	XP_034186865.1
OG0004541	NP_001161779.1, XP_015837741.1	XP_034181033.1
OG0004542	XP_015833850.1	XP_034171791.1
OG0004543	XP_008199358.1, XP_015834274.1, XP_015834275.1, XP_015834276.1	XP_034189483.1
OG0004544	XP_967831.2	XP_034177655.1
OG0004545	XP_972841.1	XP_034187189.1, XP_034187187.1
OG0004546	XP_008191529.1	XP_034171447.1
OG0004547	XP_973795.3	XP_034192633.1
OG0004548	XP_008194167.1	XP_034194498.1
OG0004549	XP_975544.1	XP_034177303.1
OG0004550	XP_968425.2	XP_034183252.1
OG0004551	XP_008196143.1	XP_034190288.1
OG0004552	XP_966605.1	XP_034187993.1
OG0004553	XP_015835217.1	XP_034173991.1
OG0004556	XP_015834234.1	XP_034184325.1
OG0004557	XP_015835653.1	XP_034171586.1
OG0004558	XP_970509.1	XP_034173545.1
OG0004559	XP_008191113.1	XP_034175288.1, XP_034175289.1, XP_034175290.1
OG0004560	XP_969585.1	XP_034185467.1
OG0004561	XP_973530.1	XP_034176564.1
OG0004562	XP_969491.1	XP_034175090.1
OG0004563	XP_974107.1	XP_034194395.1
OG0004564	XP_967545.1	XP_034181724.1
OG0004565	XP_971305.1, XP_008196679.1, XP_008196678.1, XP_972807.1	XP_034188815.1
OG0004566	XP_975011.1	XP_034175808.1
OG0004567	XP_969501.1	XP_034172869.1
OG0004568	XP_966406.1	XP_034184524.1, XP_034184523.1
OG0004569	XP_971024.1	XP_034186168.1
OG0004570	XP_008190477.2	XP_034171731.1
OG0004571	XP_966419.1	XP_034185934.1
OG0004572	XP_008193653.1	XP_034184594.1
OG0004573	XP_015840900.1	XP_034181143.1
OG0004574	XP_008199514.1, XP_015833543.1	XP_034195279.1
OG0004575	XP_015836016.1	XP_034178243.1
OG0004576	XP_968528.1	XP_034183010.1
OG0004577	XP_008196227.1	XP_034182941.1
OG0004578	XP_015837256.1	XP_034192707.1
OG0004579	XP_015838708.1	XP_034190191.1
OG0004580	XP_968154.2	XP_034176386.1
OG0004581	XP_967342.1, XP_973682.1	XP_034182523.1
OG0004582	XP_008194035.1, XP_970124.1	XP_034183176.1
OG0004583	XP_971242.2	XP_034193715.1
OG0004584	NP_001164208.1, XP_008201001.1	XP_034193566.1
OG0004585	XP_008191121.1	XP_034189498.1
OG0004586	XP_008191139.1	XP_034189983.1
OG0004587	XP_967043.1, XP_976065.1	XP_034175991.1
OG0004588	XP_967472.1	XP_034196692.1
OG0004589	XP_015836849.1	XP_034176879.1
OG0004590	XP_015834749.1	XP_034171328.1
OG0004591	XP_974397.2	XP_034189582.1
OG0004592	XP_015839668.1	XP_034179689.1
OG0004593	XP_001811057.1	XP_034177606.1
OG0004594	XP_969067.1	XP_034193044.1
OG0004595	XP_008196620.1	XP_034193157.1
OG0004596	XP_972191.1	XP_034179447.1
OG0004597	XP_974793.1	XP_034175442.1
OG0004598	XP_972549.2	XP_034186532.1
OG0004599	NP_001096055.1	XP_034185551.1
OG0004600	XP_015837407.1	XP_034184519.1
OG0004601	XP_968373.1	XP_034189597.1
OG0004602	XP_972953.1	XP_034189500.1
OG0004603	XP_008199077.1	XP_034178762.1
OG0004604	XP_970329.1	XP_034192669.1
OG0004605	XP_967701.1	XP_034175166.1
OG0004606	XP_015838055.1	XP_034181738.1
OG0004607	XP_001809949.1, XP_008196929.1	XP_034189969.1
OG0004608	XP_967795.1	XP_034173879.1
OG0004609	XP_008200198.1	XP_034175150.1
OG0004610	XP_008191579.1	XP_034186958.1, XP_034187043.1
OG0004611	XP_008201393.1, XP_001816040.2	XP_034184709.1
OG0004612	XP_970932.1	XP_034193064.1
OG0004613	XP_972782.1	XP_034174147.1
OG0004614	NP_001164247.1	XP_034188423.1
OG0004615	XP_970821.2	XP_034176088.1
OG0004616	XP_008191928.1	XP_034171697.1
OG0004617	XP_970927.1, XP_008196487.1	XP_034181344.1
OG0004618	XP_969029.3	XP_034172942.1
OG0004619	XP_969834.1	XP_034184133.1
OG0004620	XP_968306.2	XP_034182180.1
OG0004621	XP_969038.3	XP_034187706.1
OG0004622	XP_976419.1	XP_034185011.1, XP_034185012.1, XP_034185010.1
OG0004623	XP_008201104.1	XP_034195824.1
OG0004624	XP_975041.1	XP_034175521.1
OG0004625	XP_008201004.2	XP_034188683.1
OG0004626	XP_008192253.1	XP_034181616.1
OG0004627	XP_966974.1	XP_034190116.1, XP_034190115.1
OG0004628	XP_970761.1	XP_034178686.1
OG0004629	XP_973669.1	XP_034178241.1
OG0004630	XP_008197176.1	XP_034183689.1
OG0004631	XP_008191971.1	XP_034185987.1
OG0004632	XP_015837611.1	XP_034179209.1
OG0004633	XP_969967.1	XP_034196263.1
OG0004634	XP_008192347.1	XP_034175299.1
OG0004635	XP_968007.2	XP_034185706.1
OG0004636	XP_970426.1	XP_034174263.1
OG0004637	XP_015834061.1	XP_034196224.1
OG0004639	XP_975277.1	XP_034174736.1
OG0004640	XP_008194883.1	XP_034182198.1, XP_034182196.1
OG0004641	XP_970985.1	XP_034190625.1, XP_034190624.1, XP_034190623.1
OG0004642	XP_008199537.1	XP_034181597.1, XP_034181596.1
OG0004643	XP_008201026.1	XP_034173809.1
OG0004644	XP_973387.1	XP_034179774.1
OG0004645	XP_015837105.1	XP_034173279.1
OG0004646	XP_971306.1	XP_034183193.1
OG0004647	XP_974800.1	XP_034179633.1
OG0004648	XP_015834078.1	XP_034196340.1
OG0004649	XP_008190892.1	XP_034192810.1
OG0004650	XP_972526.2	XP_034173234.1
OG0004651	XP_015837293.1	XP_034177170.1, XP_034177169.1
OG0004652	XP_008194274.1	XP_034180175.1, XP_034180173.1
OG0004653	XP_008198265.1	XP_034171164.1
OG0004654	XP_971898.1	XP_034179736.1
OG0004655	XP_015838399.1	XP_034193270.1
OG0004656	XP_015840067.1	XP_034175252.1
OG0004657	XP_008196324.1	XP_034192729.1
OG0004658	XP_015833404.1	XP_034174563.1, XP_034174556.1
OG0004659	XP_008193793.1, XP_008193792.1	XP_034180452.1
OG0004660	XP_967163.1, XP_008196887.1	XP_034183994.1
OG0004661	XP_008190992.1	XP_034196705.1
OG0004662	XP_008195589.2	XP_034193043.1, XP_034193042.1, XP_034193041.1
OG0004663	XP_008194306.1	XP_034179530.1
OG0004664	XP_015833246.1, NP_001280493.1	XP_034183091.1
OG0004665	XP_008194796.1, XP_971403.3	XP_034192121.1
OG0004666	XP_015833520.1	XP_034177045.1
OG0004667	XP_008198552.1	XP_034190923.1
OG0004668	XP_008201354.1	XP_034174545.1
OG0004669	XP_975792.1	XP_034192652.1
OG0004670	XP_974004.1	XP_034184471.1
OG0004671	XP_008197386.1, XP_975591.1	XP_034172584.1
OG0004673	XP_008194645.1	XP_034178105.1
OG0004674	XP_008201295.1	XP_034178930.1
OG0004675	XP_971518.1, XP_015834496.1	XP_034171790.1
OG0004677	XP_967250.1	XP_034172054.1, XP_034172018.1
OG0004678	XP_973511.1	XP_034191362.1
OG0004679	XP_008196689.2, XP_008196688.2	XP_034188845.1
OG0004680	XP_970818.1	XP_034175830.1
OG0004681	XP_975668.1	XP_034174094.1
OG0004682	XP_974000.1	XP_034188425.1
OG0004683	XP_966926.1	XP_034177399.1
OG0004684	XP_015836848.1	XP_034183577.1
OG0004685	XP_969282.1	XP_034185225.1, XP_034185224.1
OG0004686	XP_973628.2	XP_034180055.1
OG0004687	XP_969201.1	XP_034196178.1
OG0004688	XP_008199565.1	XP_034186976.1
OG0004689	NP_001164134.1	XP_034189389.1, XP_034189388.1
OG0004690	XP_008200625.1	XP_034187428.1
OG0004691	XP_008194984.1	XP_034180035.1
OG0004692	XP_966819.1	XP_034180041.1
OG0004693	XP_975006.1	XP_034172249.1, XP_034172248.1
OG0004694	XP_015840940.1	XP_034190513.1, XP_034190514.1, XP_034190515.1
OG0004695	XP_969902.1	XP_034176180.1
OG0004696	XP_008193858.1	XP_034184352.1
OG0004698	XP_008199055.1	XP_034172459.1
OG0004699	XP_015835523.1	XP_034189920.1
OG0004700	XP_973680.3	XP_034192706.1
OG0004701	XP_971673.1	XP_034180956.1
OG0004702	XP_974709.1	XP_034179190.1
