Orthogroup	Megalopta_genalis	Acyrthosiphon_pisum
OG0003970	XP_033332735.1	XP_001952292.1
OG0003971	XP_033334640.1	XP_001952327.2
OG0003972	XP_033338359.1	XP_029348232.1, XP_001952345.1
OG0003973	XP_033333951.1	XP_001952355.1
OG0003974	XP_033334431.1	XP_001952405.1
OG0003975	XP_033330375.1	XP_029342158.1, XP_001952469.1
OG0003976	XP_033328036.1	XP_001952484.1, XP_029345704.1, XP_029344829.1
OG0003977	XP_033321575.1	XP_001952504.1
OG0003978	XP_033331373.1	XP_001952564.1
OG0003979	XP_033322472.1	XP_001952579.3
OG0003980	XP_033342446.1	XP_001952581.1
OG0003981	XP_033322359.1, XP_033322360.1	XP_001952625.2
OG0003982	XP_033335070.1, XP_033335071.1	XP_003245839.1, XP_001952627.2
OG0003983	XP_033328374.1	XP_001952666.2
OG0003984	XP_033330727.1	XP_001952756.2, XP_003244750.1, XP_008183410.1
OG0003985	XP_033324776.1, XP_033324777.1	XP_001952858.2
OG0003986	XP_033325651.1	XP_001952875.2, XP_008182754.1, XP_008182755.1
OG0003987	XP_033340170.1	XP_003240357.1
OG0003988	XP_033327814.1	XP_003240647.1
OG0003989	XP_033326381.1	XP_003240969.1
OG0003990	XP_033326400.1	XP_003242527.1
OG0003991	XP_033324566.1	XP_003241415.1
OG0003992	XP_033329944.1	XP_003241580.1
OG0003994	XP_033333503.1	XP_003241685.1, XP_008178832.1
OG0003995	XP_033328141.1	XP_003241698.3, XP_029347519.1, XP_016656548.1
OG0003996	XP_033321174.1	XP_003242191.1
OG0003997	XP_033340204.1	XP_003242276.1, XP_003247927.1
OG0003998	XP_033335568.1	XP_003242376.1
OG0003999	XP_033325146.1	XP_003242605.1
OG0004000	XP_033341965.1	XP_008183189.1, XP_029342808.1, XP_003242619.1
OG0004001	XP_033329934.1	XP_003242784.1
OG0004002	XP_033325413.1	XP_003242837.1
OG0004003	XP_033321641.1	XP_003242877.1
OG0004005	XP_033330045.1	XP_003243356.1
OG0004006	XP_033339994.1, XP_033330286.1	XP_003243499.1
OG0004007	XP_033341324.1, XP_033341318.1, XP_033341321.1, XP_033341322.1, XP_033341326.1, XP_033341325.1, XP_033341323.1, XP_033341319.1	XP_003243833.1, XP_029341369.1, XP_003243722.1, XP_029341122.1
OG0004008	XP_033339181.1, XP_033339180.1	XP_003243801.2
OG0004009	XP_033340485.1	XP_003244002.1, XP_003244010.1
OG0004010	XP_033341593.1	XP_003244233.1
OG0004011	XP_033339693.1	XP_003244402.1
OG0004012	XP_033341110.1	XP_003245275.1
OG0004013	XP_033340241.1	XP_003245365.1
OG0004014	XP_033326339.1	XP_029344034.1, XP_003245369.1
OG0004015	XP_033330754.1	XP_016663354.1, XP_029343300.1, XP_029342121.1, XP_003245777.1
OG0004016	XP_033324486.1	XP_029342325.1
OG0004017	XP_033323931.1, XP_033323930.1	XP_003246135.1
OG0004018	XP_033342253.1	XP_003246201.1
OG0004019	XP_033321424.1	XP_003246415.1, XP_029342049.1
OG0004020	XP_033333013.1	XP_003246485.2
OG0004021	XP_033327767.1	XP_003246496.1
OG0004022	XP_033331233.1	XP_003246762.1
OG0004023	XP_033330831.1	XP_003246871.2, XP_008186541.1
OG0004025	XP_033327766.1, XP_033327768.1	XP_003246983.1
OG0004026	XP_033324249.1	XP_003247003.1
OG0004027	XP_033324437.1	XP_003247146.1
OG0004028	XP_033325730.1, XP_033325731.1	XP_003247231.1
OG0004029	XP_033338687.1	XP_003247295.1
OG0004030	XP_033335801.1	XP_003247407.1
OG0004032	XP_033341547.1	XP_003247672.1, XP_008187693.1, XP_003248934.3
OG0004033	XP_033322157.1	XP_003247913.1
OG0004035	XP_033327249.1	XP_003248194.1
OG0004037	XP_033337835.1	XP_003248335.1
OG0004038	XP_033337753.1	XP_003248689.1, XP_029343673.1
OG0004040	XP_033322755.1, XP_033322756.1	XP_008178620.1
OG0004041	XP_033335715.1, XP_033335716.1, XP_033335717.1	XP_008178679.1
OG0004042	XP_033337660.1, XP_033337659.1	XP_008178680.1, XP_008178681.1, XP_016656432.1
OG0004043	XP_033332946.1	XP_008178865.1, XP_029346647.1
OG0004044	XP_033336871.1	XP_029341758.1, XP_008178965.1
OG0004045	XP_033324814.1	XP_008178980.2
OG0004046	XP_033327715.1	XP_008179028.1
OG0004047	XP_033321040.1	XP_008179453.1, XP_008179452.1, XP_016656998.1
OG0004048	XP_033324426.1	XP_008188917.1, XP_008179528.1
OG0004049	XP_033326432.1	XP_008179642.1
OG0004050	XP_033326245.1	XP_008179692.1
OG0004051	XP_033327131.1	XP_008180014.1
OG0004052	XP_033324904.1	XP_008180268.1
OG0004053	XP_033327841.1	XP_008180418.1
OG0004054	XP_033326246.1	XP_008180420.1
OG0004055	XP_033325854.1	XP_008180435.1
OG0004056	XP_033333689.1, XP_033328139.1	XP_008180588.1
OG0004058	XP_033341641.1	XP_008180684.1
OG0004059	XP_033332597.1	XP_008181328.1
OG0004060	XP_033338322.1	XP_008181545.1
OG0004061	XP_033328494.1	XP_029345940.1, XP_029345941.1, XP_008181672.1, XP_016658831.1
OG0004062	XP_033323338.1	XP_008181730.1
OG0004063	XP_033322038.1, XP_033322039.1	XP_008181930.1
OG0004064	XP_033332807.1	XP_008181977.1, XP_029342434.1, XP_008188948.2
OG0004065	XP_033320927.1	XP_008181995.1
OG0004066	XP_033330174.1	XP_008182047.1
OG0004067	XP_033329753.1	XP_008182186.2
OG0004068	XP_033342699.1	XP_008182193.1, XP_008182195.1
OG0004069	XP_033325137.1	XP_008182528.1
OG0004071	XP_033335772.1	XP_008183264.1
OG0004072	XP_033335919.1	XP_029345811.1, XP_008183519.1
OG0004073	XP_033324274.1	XP_016660272.1, XP_016660273.1, XP_016660271.1, XP_008183569.1
OG0004074	XP_033340142.1	XP_008183932.1
OG0004075	XP_033336268.1	XP_008184012.1
OG0004076	XP_033334884.1	XP_008184022.1, XP_016660688.1
OG0004077	XP_033341566.1	XP_008184230.1
OG0004078	XP_033335262.1	XP_029341311.1, XP_008184314.1
OG0004079	XP_033329424.1	XP_008184399.1, XP_008184398.1
OG0004080	XP_033341960.1	XP_008184464.1
OG0004081	XP_033342953.1	XP_008184572.1
OG0004082	XP_033332512.1	XP_008184682.1
OG0004083	XP_033335654.1	XP_016661276.1, XP_008184685.1, XP_008184687.1, XP_008184686.1, XP_008184688.1
OG0004084	XP_033342397.1, XP_033342388.1	XP_008184763.1, XP_008184762.1
OG0004085	XP_033339320.1	XP_008185211.1
OG0004086	XP_033321036.1	XP_008185337.1
OG0004087	XP_033324112.1	XP_008185477.1
OG0004088	XP_033323181.1	XP_008185509.1, XP_008185510.1
OG0004089	XP_033320950.1	XP_008185580.2
OG0004090	XP_033324499.1	XP_008185774.1
OG0004091	XP_033332255.1	XP_008185869.1
OG0004092	XP_033336393.1	XP_008185914.1, XP_008185915.1, XP_008185911.1, XP_008185912.1
OG0004093	XP_033342664.1	XP_008185942.1
OG0004094	XP_033331815.1	XP_008186104.1
OG0004095	XP_033341435.1	XP_008186144.1
OG0004096	XP_033321533.1	XP_008186216.1, XP_016662530.1
OG0004097	XP_033340611.1	XP_008186301.1
OG0004098	XP_033333787.1, XP_033333788.1	XP_008186356.1
OG0004099	XP_033324147.1	XP_008186674.2, XP_029342134.1
OG0004100	XP_033335103.1	XP_008186784.1
OG0004101	XP_033327938.1	XP_008186841.3
OG0004102	XP_033322058.1, XP_033322059.1	XP_008186987.1
OG0004103	XP_033327481.1	XP_008187264.1
OG0004105	XP_033332502.1	XP_029342366.1, XP_016663422.1, XP_008187402.1, XP_008189494.1
OG0004106	XP_033323152.1	XP_008187471.2
OG0004107	XP_033328648.1	XP_008187818.1
OG0004108	XP_033325537.1	XP_029348485.1
OG0004109	XP_033328562.1	XP_008188046.1
OG0004110	XP_033336066.1	XP_008188174.1
OG0004111	XP_033322659.1	XP_008188458.1
OG0004112	XP_033330519.1	XP_008188705.1, XP_029344888.1, XP_016664397.1, XP_016664396.1
OG0004113	XP_033321509.1	XP_008189347.1
OG0004114	XP_033331692.1, XP_033331693.1	XP_008189922.1
OG0004116	XP_033336069.1	XP_008190066.1, XP_008190060.1
OG0004117	XP_033331084.1	XP_008190109.1
OG0004118	XP_033339383.1	XP_016665180.1, XP_029346464.1, XP_016662627.1, XP_016663589.1, XP_029347904.1, XP_016659725.1, XP_016655904.1
OG0004119	XP_033332971.1	XP_016656390.1
OG0004120	XP_033327992.1	XP_016656621.1
OG0004121	XP_033325373.1	XP_016657144.1
OG0004122	XP_033323224.1, XP_033323311.1	XP_016657495.1
OG0004123	XP_033341538.1	XP_016657568.1
OG0004124	XP_033330652.1	XP_016657918.1
OG0004126	XP_033336424.1	XP_016658066.2, XP_029346841.1
OG0004127	XP_033331460.1	XP_016658291.2
OG0004128	XP_033332862.1	XP_016658616.1
OG0004129	XP_033327284.1	XP_016658659.1
OG0004130	XP_033341534.1	XP_016658715.1, XP_016664816.2
OG0004131	XP_033339252.1	XP_016658986.1
OG0004132	XP_033332977.1	XP_016659474.1
OG0004133	XP_033334852.1	XP_016659528.1, XP_029346876.1, XP_029346875.1
OG0004135	XP_033333126.1	XP_016660899.1
OG0004136	XP_033322746.1	XP_016660932.1
OG0004137	XP_033327692.1	XP_016661121.1
OG0004138	XP_033329264.1	XP_029346179.1, XP_016661925.1, XP_029346175.1
OG0004139	XP_033336654.1	XP_029341281.1, XP_016662172.1
OG0004140	XP_033341252.1, XP_033341254.1, XP_033341253.1	XP_016662222.1
OG0004141	XP_033326239.1	XP_016662254.1
OG0004142	XP_033321553.1	XP_016662508.1
OG0004143	XP_033325693.1	XP_016662795.1
OG0004144	XP_033326961.1	XP_016662974.1, XP_029347110.1
OG0004145	XP_033328108.1	XP_016662981.1
OG0004146	XP_033330379.1	XP_016663028.1
OG0004147	XP_033328598.1	XP_016663111.1
OG0004148	XP_033342917.1	XP_016663378.1, XP_029343202.1
OG0004149	XP_033325842.1	XP_016663551.1
OG0004150	XP_033322991.1	XP_016663581.1
OG0004151	XP_033325564.1, XP_033325563.1	XP_016664428.2
OG0004152	XP_033330510.1, XP_033330509.1	XP_029341078.1
OG0004153	XP_033339152.1	XP_029342218.1, XP_029342690.1, XP_029341112.1
OG0004154	XP_033341975.1	XP_029342092.1, XP_029341636.1, XP_029341319.1
OG0004155	XP_033332973.1	XP_029341322.1, XP_029346747.1
OG0004156	XP_033324608.1, XP_033324609.1	XP_029342052.1, XP_029344956.1, XP_029342053.1
OG0004157	XP_033321879.1	XP_029343043.1, XP_029342091.1
OG0004158	XP_033325435.1	XP_029342204.1
OG0004159	XP_033333750.1	XP_029342205.1
OG0004160	XP_033339597.1	XP_029342691.1, XP_029342301.1
OG0004161	XP_033332337.1, XP_033332338.1	XP_029342448.1
OG0004162	XP_033338315.1	XP_029342837.1
OG0004164	XP_033332171.1	XP_029343021.1
OG0004165	XP_033321829.1, XP_033321830.1	XP_029343076.1
OG0004166	XP_033321585.1	XP_029343121.1
OG0004167	XP_033341915.1	XP_029343235.1
OG0004168	XP_033321754.1	XP_029343310.1
OG0004169	XP_033323733.1, XP_033323732.1	XP_029343407.1
OG0004170	XP_033329247.1	XP_029343522.1
OG0004171	XP_033326185.1	XP_029343676.1
OG0004172	XP_033338968.1	XP_029343776.1
OG0004173	XP_033340073.1	XP_029343802.1
OG0004174	XP_033337674.1, XP_033337539.1	XP_029343807.1
OG0004175	XP_033334279.1	XP_029348508.1, XP_029343944.1
OG0004176	XP_033338337.1	XP_029344143.1
OG0004177	XP_033321658.1	XP_029344209.1
OG0004178	XP_033325923.1	XP_029344308.1
OG0004179	XP_033336144.1	XP_029344504.1
OG0004181	XP_033334981.1	XP_029345230.1
OG0004182	XP_033334942.1	XP_029345607.1
OG0004183	XP_033340541.1	XP_029345661.1
OG0004184	XP_033324905.1	XP_029345863.1
OG0004185	XP_033324161.1	XP_029346652.1, XP_029346840.1
OG0004186	XP_033328832.1	XP_029346787.1
OG0004187	XP_033336933.1, XP_033336932.1	XP_029346864.1
OG0004188	XP_033322770.1, XP_033322768.1	XP_029346923.1
OG0004189	XP_033330454.1	XP_029347172.1
OG0004190	XP_033337490.1	XP_029347231.1
OG0004191	XP_033331591.1	XP_029347281.1
OG0004192	XP_033330114.1, XP_033330116.1, XP_033330115.1	XP_029347357.1
OG0004194	XP_033334126.1	XP_029347499.1, XP_029347497.1, XP_029347498.1, XP_029347495.1, XP_029347496.1
OG0004195	XP_033327217.1	XP_029348100.1
OG0004275	XP_033339474.1	NP_001119626.1, NP_001129462.1
OG0004276	XP_033333698.1, XP_033333646.1	NP_001119646.1
OG0004277	XP_033325536.1	NP_001119657.1
OG0004278	XP_033333964.1	NP_001119663.1, NP_001119662.1
OG0004279	XP_033338941.1	NP_001119666.1, XP_003245465.1
OG0004280	XP_033333228.1	NP_001119675.1
OG0004281	XP_033328869.1	NP_001123921.1, XP_008188986.1
OG0004282	XP_033329712.1	NP_001129370.1
OG0004283	XP_033339802.1	NP_001129413.1
OG0004284	XP_033326365.1, XP_033325326.1	NP_001129593.1
OG0004285	XP_033328338.1	NP_001153870.1, XP_008186968.1
OG0004286	XP_033341008.1	NP_001155369.1
OG0004287	XP_033332933.1	NP_001155370.1
OG0004288	XP_033341849.1	XP_008185319.1, NP_001155384.1
OG0004289	XP_033335283.1	NP_001155415.1
OG0004290	XP_033336139.1	NP_001155423.1, XP_016660884.1
OG0004291	XP_033322467.1	NP_001155441.1, XP_008179388.1
OG0004292	XP_033331203.1	NP_001155465.1
OG0004293	XP_033329412.1	NP_001155480.1, XP_029341890.1
OG0004294	XP_033341494.1	XP_003241876.1, NP_001155483.1
OG0004296	XP_033339350.1	NP_001155531.1
OG0004297	XP_033321441.1	NP_001155558.1
OG0004298	XP_033325440.1	NP_001155571.1
OG0004299	XP_033332259.1	NP_001155591.1
OG0004300	XP_033322577.1	NP_001155595.1
OG0004301	XP_033324328.1	NP_001155605.1
OG0004302	XP_033325251.1, XP_033325252.1, XP_033325250.1	NP_001155613.1
OG0004303	XP_033338153.1	XP_008189671.2, NP_001155616.1, XP_003248238.1, XP_001944808.1
OG0004304	XP_033327167.1	XP_008181535.1, NP_001155617.1
OG0004306	XP_033336559.1	NP_001155673.1
OG0004307	XP_033332554.1, XP_033332553.1	NP_001155698.1
OG0004308	XP_033338882.1, XP_033338883.1	NP_001155704.1
OG0004309	XP_033321502.1, XP_033321501.1	NP_001155716.1
OG0004310	XP_033340181.1, XP_033340180.1	NP_001155728.1
OG0004311	XP_033342951.1	NP_001155739.1
OG0004312	XP_033333144.1	NP_001155750.1
OG0004313	XP_033334336.1	NP_001155761.1
OG0004314	XP_033334921.1	XP_016664301.1, NP_001155778.1
OG0004315	XP_033323797.1	XP_001948896.1, NP_001155788.1
OG0004316	XP_033323977.1	NP_001155797.1
OG0004317	XP_033321198.1, XP_033330901.1	NP_001155817.1
OG0004318	XP_033331201.1, XP_033331202.1	NP_001155818.1
OG0004319	XP_033338827.1	NP_001155824.1
OG0004320	XP_033325664.1	NP_001155919.1
OG0004321	XP_033334017.1	NP_001155926.1, NP_001155925.1, XP_016662234.1
OG0004322	XP_033331586.1	XP_008178254.1, NP_001156062.1
OG0004324	XP_033331702.1	NP_001156067.1
OG0004325	XP_033343107.1, XP_033320760.1	NP_001156081.1
OG0004326	XP_033324072.1	NP_001156083.1, XP_008179689.1
OG0004327	XP_033328072.1	NP_001156085.1
OG0004328	XP_033336349.1	XP_001950162.1, XP_001945150.1, NP_001156106.1
OG0004329	XP_033340657.1	XP_001949539.1, NP_001156127.1, XP_001948464.1
OG0004330	XP_033329413.1	XP_001943288.1, NP_001156150.1, XP_016664124.1
OG0004331	XP_033325613.1, XP_033325614.1	NP_001156159.1
OG0004332	XP_033321551.1	NP_001156166.1
OG0004333	XP_033342753.1	NP_001156179.1
OG0004334	XP_033321536.1	NP_001156180.1
OG0004335	XP_033340866.1	NP_001156214.1
OG0004336	XP_033337215.1	NP_001156225.1
OG0004337	XP_033336294.1	NP_001156248.1
OG0004338	XP_033332711.1	NP_001156273.1, XP_008182807.1
OG0004339	XP_033341728.1	XP_016660093.1, NP_001156282.1
OG0004340	XP_033325903.1	NP_001156293.1, XP_008182896.1
OG0004341	XP_033321766.1	NP_001156295.1
OG0004342	XP_033326824.1	NP_001156298.1, XP_008188552.1
OG0004343	XP_033333847.1	NP_001156302.1
OG0004344	XP_033321625.1	NP_001156317.1
OG0004345	XP_033337449.1	XP_029346854.1, NP_001156581.1
OG0004346	XP_033325794.1	NP_001156584.1
OG0004347	XP_033333696.1	NP_001156680.1
OG0004348	XP_033332506.1	NP_001156824.1, XP_029344173.1
OG0004349	XP_033340220.1	NP_001156840.1
OG0004350	XP_033329270.1	XP_001952462.1, NP_001162110.1
OG0004351	XP_033340144.1	XP_016659609.1, NP_001162111.1
OG0004352	XP_033325784.1	NP_001162146.1
OG0004353	XP_033340970.1	XP_001946329.1, NP_001165433.1
OG0004354	XP_033327727.1, XP_033327736.1	NP_001191881.1, NP_001191880.1, XP_008181799.1
OG0004355	XP_033338010.1, XP_033338011.1	NP_001232933.1
OG0004356	XP_033332919.1	NP_001232946.1, XP_008181957.1
OG0004357	XP_033340869.1	NP_001232948.1
OG0004358	XP_033335005.1	NP_001232977.1
OG0004359	XP_033322427.1	XP_008179668.1, NP_001232981.1
OG0004360	XP_033327986.1	NP_001233002.1
OG0004361	XP_033333459.1	NP_001233005.1, XP_008182399.1
OG0004362	XP_033341633.1	XP_008182477.1, NP_001233009.1
OG0004363	XP_033342782.1	NP_001233011.1
OG0004364	XP_033326968.1, XP_033326966.1	XP_008186748.1, NP_001233039.1, XP_003245528.1
OG0004365	XP_033336399.1, XP_033336400.1	NP_001233068.1
OG0004366	XP_033334262.1	NP_001233069.1
OG0004367	XP_033321366.1	XP_008184711.2, NP_001233074.1
OG0004368	XP_033328073.1	NP_001233080.1
OG0004369	XP_033323577.1	XP_008180360.1, NP_001233086.1
OG0004370	XP_033321552.1	XP_008186743.1, NP_001233108.1, XP_003244935.1
OG0004371	XP_033322761.1, XP_033322758.1, XP_033322759.1	XP_016656763.1, NP_001233118.1
OG0004372	XP_033341848.1	XP_008189554.1, NP_001233119.1
OG0004373	XP_033333658.1	NP_001280257.1
OG0004374	XP_033329922.1	XP_008189941.1, NP_001280267.1
OG0004375	XP_033322586.1	NP_001280276.1
OG0004376	XP_033331267.1	NP_001280280.2
OG0004377	XP_033340909.1	NP_001280292.1
OG0004378	XP_033329642.1	NP_001280293.1
OG0004379	XP_033322541.1	XP_008184941.1, NP_001280303.1
OG0004380	XP_033325338.1	XP_001951121.2, NP_001280305.1
OG0004381	XP_033334437.1	XP_008186861.1, NP_001280306.1
OG0004382	XP_033334606.1	NP_001280307.1, XP_016658111.1
OG0004383	XP_033327476.1	NP_001280311.1
OG0004384	XP_033321125.1	NP_001280313.1
OG0004385	XP_033341596.1	NP_001280324.1
OG0004386	XP_033332560.1, XP_033332558.1	NP_001280359.1, XP_016659217.1
OG0004387	XP_033337641.1	NP_001280371.1, XP_001945195.1
OG0004388	XP_033328560.1, XP_033328559.1	XP_029341939.1, NP_001280385.1
OG0004389	XP_033323330.1	NP_001280387.1
OG0004390	XP_033325323.1	NP_001280416.1
OG0004391	XP_033340296.1	NP_001280457.1
OG0004392	XP_033329118.1	XP_016661080.1, NP_001306891.1
OG0004393	XP_033334833.1, XP_033334679.1, XP_033334678.1	NP_001313566.1
OG0004394	XP_033333448.1	NP_001313573.1
OG0004395	XP_033326847.1	XP_001942582.1, NP_001313581.1
OG0004396	XP_033331513.1	NP_001313594.1
OG0004397	XP_033336670.1, XP_033336671.1	XP_001942562.1
OG0004398	XP_033326441.1	XP_001942631.1
OG0004399	XP_033327563.1	XP_001942682.1
OG0004401	XP_033328952.1	XP_001942738.2
OG0004402	XP_033334541.1	XP_001942800.2, XP_016662605.1, XP_001946709.1
OG0004403	XP_033324497.1	XP_001942801.2
OG0004404	XP_033320775.1	XP_001942828.2
OG0004405	XP_033329846.1	XP_001942849.3
OG0004406	XP_033325886.1, XP_033325889.1, XP_033325885.1	XP_001942859.2
OG0004407	XP_033321914.1	XP_001942878.2
OG0004408	XP_033321072.1	XP_001942883.2, XP_029342951.1, XP_029341050.1
OG0004409	XP_033326786.1	XP_001942888.2
OG0004410	XP_033334243.1	XP_001942892.2
OG0004411	XP_033337393.1	XP_001942986.1
OG0004412	XP_033342511.1	XP_001942989.1
OG0004413	XP_033331250.1	XP_029343312.1, XP_001943077.1, XP_008180725.1, XP_003242941.1
OG0004414	XP_033325661.1	XP_001943160.2
OG0004415	XP_033334082.1	XP_001943213.1
OG0004416	XP_033339799.1, XP_033323450.1, XP_033322558.1, XP_033339347.1	XP_001943233.4
OG0004417	XP_033325241.1	XP_001943396.2
OG0004418	XP_033325600.1	XP_001943475.2
OG0004419	XP_033340085.1	XP_001943478.2
OG0004420	XP_033327110.1	XP_001943508.1
OG0004421	XP_033336105.1	XP_001943509.2
OG0004422	XP_033339233.1	XP_001943554.1, XP_008186319.1
OG0004423	XP_033341905.1	XP_001943587.5
OG0004424	XP_033322280.1	XP_029340954.1, XP_001943599.2
OG0004425	XP_033322790.1	XP_001945523.1, XP_001944221.1, XP_001943616.1
OG0004426	XP_033327972.1	XP_003245197.1, XP_008184049.1, XP_001943642.1
OG0004427	XP_033321650.1	XP_001943645.1
OG0004428	XP_033325737.1	XP_008181198.1, XP_008181202.1, XP_001951793.2, XP_001943671.1
OG0004429	XP_033331101.1	XP_001943718.2
OG0004430	XP_033339275.1	XP_001943735.2
OG0004431	XP_033324709.1	XP_001943793.2
OG0004432	XP_033333014.1	XP_001943865.1
OG0004433	XP_033324204.1	XP_001943879.1
OG0004434	XP_033324643.1	XP_016663093.1, XP_001943914.1, XP_008186950.1
OG0004436	XP_033326626.1	XP_001943937.1
OG0004437	XP_033336741.1	XP_029348693.1, XP_001943962.1
OG0004438	XP_033336225.1	XP_029343495.1, XP_001943964.1
OG0004439	XP_033342142.1	XP_001944027.1
OG0004440	XP_033336223.1	XP_001944064.2
OG0004441	XP_033333292.1	XP_001944082.2, XP_029345734.1
OG0004442	XP_033336786.1, XP_033336785.1	XP_001944089.1
OG0004443	XP_033336924.1	XP_001944118.2
OG0004444	XP_033323018.1	XP_029341716.1
OG0004445	XP_033322148.1	XP_001944183.2
OG0004446	XP_033333193.1	XP_001944292.2
OG0004447	XP_033332273.1	XP_001944300.1
OG0004448	XP_033338635.1	XP_001944310.1
OG0004449	XP_033341987.1	XP_016659859.2, XP_001944313.3
OG0004450	XP_033335516.1	XP_001944556.1
OG0004451	XP_033326039.1	XP_001944606.2
OG0004452	XP_033332415.1	XP_001944629.2
OG0004453	XP_033334142.1	XP_001944662.2
OG0004454	XP_033331396.1	XP_016661451.1, XP_001944699.1
OG0004455	XP_033328184.1	XP_001948523.1, XP_001944737.2
OG0004456	XP_033322647.1	XP_001944774.2
OG0004457	XP_033330646.1	XP_001944802.2
OG0004458	XP_033329068.1	XP_001944870.2
OG0004459	XP_033327036.1	XP_001944872.2
OG0004460	XP_033335181.1	XP_001944886.1
OG0004461	XP_033323374.1	XP_016656729.1, XP_001944925.1
OG0004462	XP_033330081.1	XP_001944996.2
OG0004463	XP_033328990.1, XP_033328988.1	XP_001945032.2
OG0004464	XP_033330332.1	XP_001945033.2
OG0004465	XP_033328514.1	XP_001945049.1
OG0004466	XP_033323921.1	XP_008189854.1, XP_001945051.1
OG0004467	XP_033331223.1	XP_001945056.2
OG0004468	XP_033331176.1, XP_033339890.1	XP_001945090.2
OG0004469	XP_033342601.1	XP_001945261.1
OG0004470	XP_033333260.1	XP_001945274.1, XP_029341042.1, XP_029342514.1, XP_003248987.2
OG0004471	XP_033324187.1	XP_001945383.1
OG0004472	XP_033326965.1	XP_001945447.1
OG0004473	XP_033325674.1	XP_001945457.2
OG0004474	XP_033324013.1	XP_001945470.2
OG0004475	XP_033333069.1	XP_001945482.1, XP_008189702.1, XP_001947050.2
OG0004476	XP_033342786.1, XP_033342785.1, XP_033342784.1	XP_001945544.2, XP_001950823.1
OG0004477	XP_033341615.1, XP_033341616.1	XP_001945548.1
OG0004478	XP_033340090.1	XP_001945618.1
OG0004479	XP_033331199.1, XP_033331200.1, XP_033331197.1	XP_001945676.2
OG0004480	XP_033337052.1	XP_001945718.1
OG0004481	XP_033321624.1	XP_001945726.2
OG0004482	XP_033321129.1	XP_001945751.3
OG0004483	XP_033342606.1, XP_033342607.1, XP_033342608.1	XP_001945759.1
OG0004484	XP_033324084.1, XP_033324076.1	XP_001945839.1
OG0004485	XP_033326938.1	XP_001945877.2, XP_016657808.1
OG0004486	XP_033341555.1	XP_001948728.2, XP_001945904.1
OG0004487	XP_033342098.1	XP_001945912.1
OG0004488	XP_033334595.1	XP_001945971.2, XP_016661154.1
OG0004489	XP_033332893.1	XP_001945984.1
OG0004490	XP_033330574.1	XP_001945987.1, XP_008178353.1
OG0004491	XP_033321876.1, XP_033321873.1, XP_033321875.1, XP_033321874.1	XP_001946105.2
OG0004492	XP_033337836.1	XP_001946109.2
OG0004493	XP_033336764.1	XP_001946171.1
OG0004494	XP_033331593.1	XP_001946175.2
OG0004495	XP_033338410.1	XP_001946218.2
OG0004496	XP_033322515.1	XP_001946436.2
OG0004497	XP_033339605.1	XP_001946491.1
OG0004498	XP_033331696.1	XP_008187865.1, XP_001946525.1, XP_008187864.1
OG0004499	XP_033326514.1	XP_008182021.1, XP_008182022.1, XP_001946549.2, XP_016659092.1
OG0004501	XP_033330150.1	XP_001946631.2
OG0004502	XP_033329364.1	XP_001946649.1
OG0004503	XP_033324256.1	XP_001946726.2
OG0004505	XP_033339026.1, XP_033339027.1	XP_001946768.2
OG0004506	XP_033333002.1	XP_029341774.1, XP_008185035.1, XP_001946792.1
OG0004507	XP_033341488.1	XP_001946821.2
OG0004508	XP_033334596.1	XP_001946885.2
OG0004509	XP_033331063.1	XP_001946907.2
OG0004510	XP_033322329.1	XP_001946924.1
OG0004511	XP_033337077.1	XP_001946953.1
OG0004512	XP_033338698.1	XP_001946991.1
OG0004513	XP_033341076.1	XP_001946996.1
OG0004514	XP_033329899.1	XP_001952270.1, XP_001947021.1
OG0004515	XP_033326967.1	XP_001947037.1, XP_008183032.2
OG0004516	XP_033337129.1, XP_033337128.1	XP_001947060.1
OG0004517	XP_033341850.1, XP_033342108.1	XP_001947065.1
OG0004518	XP_033327435.1	XP_001947126.2
OG0004519	XP_033334834.1	XP_001947166.2, XP_029344483.1
OG0004520	XP_033331409.1	XP_029341575.1, XP_001947273.1
OG0004521	XP_033322669.1	XP_001947328.1
OG0004522	XP_033334974.1, XP_033334975.1	XP_001947387.1
OG0004523	XP_033334826.1	XP_001947388.1
OG0004524	XP_033340222.1, XP_033333527.1	XP_001947398.3
OG0004525	XP_033332457.1	XP_001947645.2, XP_016660277.1
OG0004526	XP_033335449.1	XP_001947732.1
OG0004527	XP_033322028.1	XP_001947767.2
OG0004528	XP_033322381.1, XP_033322382.1, XP_033322380.1, XP_033322379.1	XP_001947772.2
OG0004529	XP_033328395.1	XP_001947809.2
OG0004530	XP_033337030.1	XP_001947817.2
OG0004531	XP_033339700.1	XP_001947872.2
OG0004532	XP_033337495.1	XP_001947945.1
OG0004533	XP_033337914.1, XP_033337913.1	XP_001948072.2
OG0004534	XP_033322132.1, XP_033322133.1, XP_033322134.1	XP_001948138.2
OG0004535	XP_033334112.1	XP_001948145.1
OG0004536	XP_033320977.1	XP_001948152.1
OG0004537	XP_033326963.1	XP_001948157.1
OG0004538	XP_033341948.1	XP_001948198.2
OG0004540	XP_033338742.1	XP_001948335.1
OG0004541	XP_033340389.1	XP_001948479.1
OG0004542	XP_033326918.1	XP_001948540.2
OG0004543	XP_033340245.1	XP_001948606.2, XP_008181239.1
