Orthogroup	Osmia_bicornis	Eufriesea_mexicana
OG0003727	XP_029036929.1	XP_017753793.1, XP_017753792.1
OG0003728	XP_029034812.1	XP_017765772.1
OG0003729	XP_029040910.1	XP_017758130.1
OG0003730	XP_029045784.1, XP_029045783.1	XP_017753740.1
OG0003731	XP_029048645.1	XP_017763336.1
OG0003732	XP_029043266.1	XP_017766883.1
OG0003733	XP_029051566.1, XP_029051574.1	XP_017762402.1
OG0003734	XP_029049600.1	XP_017753585.1
OG0003735	XP_029042381.1, XP_029042382.1	XP_017759633.1
OG0003736	XP_029050986.1	XP_017764397.1
OG0003737	XP_029032583.1	XP_017761109.1
OG0003738	XP_029032466.1, XP_029032464.1, XP_029032465.1	XP_017753260.1
OG0003739	XP_029040284.1	XP_017759067.1
OG0003741	XP_029050248.1	XP_017764862.1
OG0003742	XP_029042883.1	XP_017761898.1
OG0003743	XP_029044425.1	XP_017753044.1
OG0003744	XP_029053576.1	XP_017759105.1, XP_017759104.1
OG0003745	XP_029031937.1	XP_017761281.1
OG0003746	XP_029043207.1, XP_029043204.1	XP_017755437.1
OG0003747	XP_029042752.1	XP_017760356.1
OG0003748	XP_029035442.1	XP_017766981.1
OG0003749	XP_029036098.1	XP_017766596.1, XP_017766594.1
OG0003750	XP_029042597.1	XP_017757766.1
OG0003751	XP_029050624.1	XP_017761545.1
OG0003752	XP_029036874.1	XP_017765037.1
OG0003753	XP_029046029.1	XP_017763702.1
OG0003754	XP_029034201.1	XP_017755482.1
OG0003755	XP_029036194.1	XP_017756348.1, XP_017754702.1
OG0003756	XP_029041516.1, XP_029041517.1	XP_017765718.1
OG0003757	XP_029055947.1	XP_017754517.1, XP_017754473.1
OG0003758	XP_029036400.1, XP_029036399.1	XP_017757486.1
OG0003759	XP_029045510.1	XP_017758736.1
OG0003760	XP_029039227.1	XP_017765645.1
OG0003761	XP_029053904.1, XP_029054228.1	XP_017759435.1
OG0003762	XP_029056665.1, XP_029056667.1, XP_029056668.1	XP_017761072.1
OG0003763	XP_029055794.1	XP_017755503.1
OG0003764	XP_029035705.1	XP_017752228.1
OG0003765	XP_029031951.1	XP_017756304.1
OG0003766	XP_029034109.1	XP_017756345.1
OG0003767	XP_029044366.1	XP_017762657.1
OG0003768	XP_029052660.1	XP_017752363.1
OG0003769	XP_029036585.1	XP_017757464.1
OG0003771	XP_029055381.1	XP_017762781.1
OG0003772	XP_029052802.1	XP_017759628.1
OG0003773	XP_029033717.1, XP_029033496.1	XP_017767359.1
OG0003774	XP_029035230.1, XP_029035231.1	XP_017753177.1
OG0003775	XP_029037879.1	XP_017763269.1
OG0003776	XP_029051007.1	XP_017764401.1
OG0003777	XP_029032805.1	XP_017757078.1
OG0003778	XP_029034895.1	XP_017763634.1
OG0003779	XP_029051028.1	XP_017764419.1
OG0003780	XP_029037175.1	XP_017762372.1
OG0003781	XP_029039981.1, XP_029039982.1	XP_017767382.1
OG0003782	XP_029039497.1	XP_017752362.1
OG0003783	XP_029040056.1	XP_017760514.1
OG0003784	XP_029044165.1	XP_017762278.1
OG0003785	XP_029044014.1, XP_029043982.1	XP_017752594.1
OG0003786	XP_029038918.1	XP_017762476.1, XP_017762477.1
OG0003787	XP_029032176.1	XP_017755166.1
OG0003788	XP_029049301.1	XP_017766948.1
OG0003789	XP_029056346.1	XP_017753964.1
OG0003790	XP_029035677.1	XP_017752224.1
OG0003791	XP_029056142.1, XP_029056140.1	XP_017756245.1
OG0003792	XP_029039715.1	XP_017764762.1
OG0003793	XP_029033515.1, XP_029033559.1	XP_017767506.1
OG0003794	XP_029035415.1	XP_017760725.1
OG0003795	XP_029055627.1	XP_017762774.1
OG0003796	XP_029047243.1, XP_029047242.1	XP_017759825.1
OG0003797	XP_029042717.1	XP_017761928.1
OG0003798	XP_029052414.1, XP_029052415.1	XP_017764627.1
OG0003799	XP_029044487.1	XP_017766514.1
OG0003800	XP_029049255.1, XP_029049256.1	XP_017766652.1
OG0003801	XP_029045418.1	XP_017762873.1
OG0003802	XP_029055670.1, XP_029055671.1	XP_017763862.1
OG0003803	XP_029048758.1	XP_017760982.1
OG0003804	XP_029054827.1	XP_017756366.1
OG0003805	XP_029039750.1	XP_017767012.1
OG0003806	XP_029042921.1	XP_017760099.1
OG0003807	XP_029035967.1	XP_017757144.1
OG0003808	XP_029046350.1	XP_017755869.1
OG0003809	XP_029042200.1	XP_017758738.1
OG0003810	XP_029044248.1, XP_029044156.1	XP_017758926.1
OG0003811	XP_029055244.1	XP_017764364.1
OG0003812	XP_029042220.1	XP_017760281.1
OG0003813	XP_029037138.1	XP_017762374.1
OG0003814	XP_029049498.1	XP_017754228.1
OG0003815	XP_029034588.1	XP_017757182.1
OG0003816	XP_029050574.1	XP_017767361.1
OG0003817	XP_029051157.1	XP_017763484.1
OG0003818	XP_029044271.1	XP_017764181.1
OG0003819	XP_029047482.1	XP_017760322.1
OG0003820	XP_029050746.1	XP_017754634.1
OG0003821	XP_029036249.1	XP_017755991.1
OG0003822	XP_029043662.1	XP_017754703.1
OG0003823	XP_029041543.1, XP_029041824.1	XP_017755567.1
OG0003824	XP_029047974.1	XP_017758585.1
OG0003825	XP_029042450.1	XP_017764783.1
OG0003826	XP_029040582.1	XP_017758005.1
OG0003827	XP_029047253.1	XP_017763756.1
OG0003828	XP_029047406.1	XP_017758578.1
OG0003829	XP_029032898.1	XP_017767114.1
OG0003830	XP_029053929.1	XP_017765431.1
OG0003831	XP_029044806.1	XP_017755822.1, XP_017755824.1
OG0003832	XP_029054310.1, XP_029054309.1	XP_017758258.1
OG0003833	XP_029056369.1, XP_029032006.1	XP_017752130.1
OG0003834	XP_029037639.1	XP_017760595.1
OG0003835	XP_029046587.1	XP_017760835.1
OG0003836	XP_029046814.1	XP_017758985.1
OG0003837	XP_029036230.1	XP_017760988.1
OG0003838	XP_029049523.1, XP_029049524.1	XP_017754044.1
OG0003839	XP_029048430.1	XP_017763386.1
OG0003840	XP_029036711.1	XP_017758168.1
OG0003841	XP_029043401.1	XP_017759407.1
OG0003842	XP_029035401.1	XP_017754802.1
OG0003843	XP_029053804.1, XP_029053111.1	XP_017752456.1
OG0003844	XP_029052812.1	XP_017758229.1
OG0003845	XP_029050367.1, XP_029050365.1, XP_029050366.1	XP_017766671.1
OG0003846	XP_029036671.1	XP_017765927.1
OG0003847	XP_029046527.1	XP_017760739.1
OG0003848	XP_029050114.1	XP_017755383.1, XP_017755384.1, XP_017755385.1
OG0003849	XP_029047343.1	XP_017765411.1
OG0003850	XP_029053032.1	XP_017753677.1
OG0003851	XP_029037653.1	XP_017760591.1
OG0003852	XP_029036523.1	XP_017758716.1
OG0003853	XP_029043389.1	XP_017757900.1
OG0003854	XP_029033527.1, XP_029033571.1	XP_017767351.1
OG0003855	XP_029046565.1	XP_017762274.1
OG0003856	XP_029037124.1	XP_017755744.1, XP_017755516.1, XP_017755539.1
OG0003857	XP_029055540.1	XP_017766126.1
OG0003858	XP_029055386.1	XP_017762801.1
OG0003859	XP_029050921.1	XP_017754025.1
OG0003860	XP_029046999.1	XP_017764503.1
OG0003861	XP_029031877.1, XP_029031944.1	XP_017759427.1, XP_017759396.1
OG0003862	XP_029036759.1, XP_029036760.1	XP_017756233.1
OG0003863	XP_029039264.1	XP_017757821.1
OG0003864	XP_029052291.1	XP_017754445.1
OG0003865	XP_029055807.1	XP_017757429.1
OG0003866	XP_029047624.1	XP_017763667.1
OG0003867	XP_029034784.1	XP_017765783.1
OG0003868	XP_029044771.1, XP_029045157.1	XP_017764272.1
OG0003869	XP_029032619.1, XP_029032620.1	XP_017761689.1
OG0003870	XP_029052285.1, XP_029052284.1	XP_017754244.1
OG0003871	XP_029053561.1	XP_017767459.1
OG0003872	XP_029049052.1	XP_017760778.1
OG0003873	XP_029047616.1, XP_029047617.1	XP_017764814.1
OG0003874	XP_029047317.1	XP_017753113.1
OG0003875	XP_029055755.1	XP_017757599.1
OG0003876	XP_029040310.1	XP_017756153.1
OG0003877	XP_029056166.1	XP_017752935.1, XP_017752934.1
OG0003878	XP_029038010.1, XP_029038630.1	XP_017752123.1
OG0003879	XP_029043688.1	XP_017760469.1
OG0003880	XP_029049362.1	XP_017760140.1
OG0003881	XP_029041307.1, XP_029041306.1	XP_017752251.1
OG0003882	XP_029042264.1	XP_017753576.1
OG0003883	XP_029055707.1	XP_017764925.1
OG0003884	XP_029040555.1, XP_029040554.1	XP_017767422.1
OG0003885	XP_029054349.1	XP_017764490.1
OG0003886	XP_029048105.1	XP_017757086.1
OG0003887	XP_029046313.1	XP_017763446.1
OG0003888	XP_029042781.1	XP_017755636.1
OG0003889	XP_029056608.1	XP_017758666.1, XP_017758665.1
OG0003890	XP_029050326.1	XP_017759513.1
OG0003891	XP_029035620.1	XP_017761220.1
OG0003892	XP_029036602.1	XP_017757417.1
OG0003893	XP_029056638.1, XP_029056636.1	XP_017753308.1
OG0003894	XP_029055610.1	XP_017760179.1
OG0003895	XP_029044158.1	XP_017759213.1
OG0003896	XP_029053737.1	XP_017762047.1
OG0003897	XP_029036915.1	XP_017753803.1
OG0003898	XP_029049483.1	XP_017764665.1
OG0003899	XP_029031943.1	XP_017756359.1
OG0003900	XP_029043557.1	XP_017759338.1
OG0003901	XP_029045516.1, XP_029045515.1	XP_017758737.1
OG0003902	XP_029032170.1	XP_017759578.1
OG0003903	XP_029050153.1	XP_017759997.1, XP_017759998.1
OG0003904	XP_029053374.1, XP_029053375.1	XP_017754481.1
OG0003905	XP_029050855.1	XP_017761648.1
OG0003907	XP_029047524.1, XP_029047523.1	XP_017763836.1
OG0003908	XP_029048241.1, XP_029048239.1, XP_029048240.1	XP_017761353.1
OG0003909	XP_029050457.1	XP_017766086.1
OG0003910	XP_029053274.1	XP_017765257.1
OG0003911	XP_029047268.1	XP_017764910.1
OG0003912	XP_029044095.1	XP_017762329.1, XP_017762330.1
OG0003913	XP_029051873.1	XP_017755450.1
OG0003914	XP_029034532.1, XP_029034533.1	XP_017763677.1
OG0003915	XP_029050078.1	XP_017755386.1
OG0003916	XP_029041460.1, XP_029041456.1	XP_017764062.1
OG0003917	XP_029051008.1	XP_017764410.1
OG0003918	XP_029050237.1	XP_017757278.1, XP_017757279.1, XP_017757280.1
OG0003919	XP_029047154.1	XP_017754948.1
OG0003920	XP_029052140.1	XP_017767543.1
OG0003921	XP_029049919.1	XP_017757356.1
OG0003922	XP_029034503.1, XP_029034523.1, XP_029034513.1	XP_017757191.1
OG0003923	XP_029053630.1	XP_017763068.1
OG0003924	XP_029045432.1	XP_017759326.1
OG0003925	XP_029036468.1	XP_017757587.1
OG0003926	XP_029032758.1	XP_017757826.1
OG0003927	XP_029047352.1, XP_029047353.1	XP_017762573.1
OG0003928	XP_029053540.1, XP_029053536.1	XP_017765483.1
OG0003929	XP_029034392.1	XP_017757052.1, XP_017757054.1
OG0003931	XP_029038961.1	XP_017759257.1
OG0003932	XP_029048928.1	XP_017754820.1
OG0003933	XP_029043329.1	XP_017752568.1
OG0003935	XP_029034993.1	XP_017754470.1
OG0003936	XP_029038052.1, XP_029038051.1	XP_017757651.1, XP_017757652.1
OG0003937	XP_029033550.1	XP_017767467.1
OG0003938	XP_029042767.1	XP_017762293.1
OG0003939	XP_029039562.1	XP_017756243.1
OG0003941	XP_029034240.1, XP_029034260.1	XP_017756300.1
OG0003946	XP_029032173.1	XP_017753167.1
OG0003950	XP_029047723.1	XP_017754765.1
OG0003951	XP_029046102.1	XP_017760627.1
OG0003952	XP_029035514.1	XP_017765923.1
OG0003954	XP_029055084.1	XP_017756389.1, XP_017754774.1
OG0003955	XP_029036718.1	XP_017758089.1
OG0003956	XP_029034634.1	XP_017763818.1
OG0003957	XP_029042576.1	XP_017752232.1
OG0003958	XP_029052454.1	XP_017758468.1
OG0003959	XP_029041874.1	XP_017767215.1
OG0003960	XP_029052977.1, XP_029052971.1, XP_029052748.1, XP_029052758.1	XP_017764026.1
OG0003961	XP_029039135.1	XP_017759922.1
OG0003962	XP_029037254.1	XP_017765275.1
OG0003963	XP_029034924.1	XP_017766158.1
OG0003964	XP_029044654.1	XP_017755015.1
OG0003965	XP_029043978.1	XP_017752609.1
OG0003966	XP_029034624.1	XP_017766101.1
OG0003968	XP_029036763.1	XP_017759648.1
OG0003969	XP_029033772.1	XP_017756078.1
OG0003970	XP_029031917.1	XP_017761280.1
OG0003972	XP_029037867.1	XP_017756894.1
OG0003973	XP_029036435.1	XP_017765429.1
OG0003974	XP_029039495.1	XP_017761848.1
OG0003976	XP_029037391.1	XP_017754354.1
OG0003977	XP_029052575.1	XP_017755251.1
OG0003978	XP_029052020.1	XP_017765301.1
OG0003979	XP_029041934.1	XP_017767173.1
OG0003980	XP_029035441.1	XP_017766990.1
OG0003981	XP_029042860.1	XP_017760488.1
OG0003982	XP_029039063.1	XP_017759902.1
OG0003983	XP_029040569.1	XP_017758817.1
OG0003984	XP_029038126.1	XP_017765446.1
OG0003985	XP_029037525.1	XP_017757872.1
OG0003986	XP_029052678.1	XP_017755374.1
OG0003987	XP_029036869.1	XP_017758056.1
OG0003988	XP_029032788.1	XP_017762075.1
OG0003989	XP_029033360.1	XP_017752508.1
OG0003990	XP_029044922.1	XP_017759603.1
OG0003991	XP_029035080.1	XP_017760661.1
OG0003992	XP_029041386.1, XP_029041373.1	XP_017758780.1
OG0003993	XP_029040654.1	XP_017756790.1
OG0003994	XP_029032061.1	XP_017756319.1
OG0003995	XP_029033305.1	XP_017754466.1
OG0003996	XP_029049215.1	XP_017766816.1
OG0003997	XP_029053347.1	XP_017766281.1
OG0003998	XP_029042732.1	XP_017762303.1
OG0003999	XP_029053308.1	XP_017765949.1
OG0004000	XP_029046037.1	XP_017763705.1
OG0004001	XP_029052174.1	XP_017766744.1
OG0004002	XP_029044620.1	XP_017755013.1
OG0004003	XP_029046271.1	XP_017757339.1
OG0004004	XP_029047035.1	XP_017763546.1
OG0004005	XP_029037210.1	XP_017755669.1
OG0004006	XP_029047849.1	XP_017755817.1
OG0004007	XP_029051076.1	XP_017756762.1
OG0004008	XP_029048847.1	XP_017761448.1
OG0004009	XP_029049869.1	XP_017753582.1
OG0004010	XP_029040623.1	XP_017764344.1
OG0004011	XP_029044837.1	XP_017758821.1
OG0004012	XP_029036758.1	XP_017752716.1
OG0004014	XP_029040819.1	XP_017762603.1
OG0004015	XP_029049157.1	XP_017754816.1
OG0004016	XP_029040258.1	XP_017761017.1
OG0004017	XP_029049939.1	XP_017766842.1
OG0004018	XP_029053844.1	XP_017767766.1
OG0004019	XP_029046932.1	XP_017757116.1, XP_017757115.1
OG0004020	XP_029051944.1	XP_017754072.1
OG0004022	XP_029037325.1	XP_017762850.1
OG0004023	XP_029050288.1	XP_017762665.1, XP_017762740.1, XP_017762691.1
OG0004024	XP_029033300.1	XP_017756648.1
OG0004025	XP_029048718.1	XP_017755331.1
OG0004026	XP_029050532.1	XP_017762939.1
OG0004027	XP_029034147.1, XP_029034146.1	XP_017755505.1
OG0004028	XP_029048301.1	XP_017758669.1
OG0004029	XP_029034769.1	XP_017762069.1
OG0004030	XP_029035902.1	XP_017765754.1
OG0004031	XP_029037892.1	XP_017764845.1
OG0004032	XP_029034061.1	XP_017754232.1
OG0004033	XP_029045162.1	XP_017762137.1
OG0004034	XP_029036045.1	XP_017759612.1
OG0004035	XP_029050642.1	XP_017761551.1
OG0004036	XP_029040725.1	XP_017765981.1
OG0004037	XP_029041351.1	XP_017761824.1
OG0004038	XP_029034277.1	XP_017759809.1
OG0004039	XP_029039475.1	XP_017765237.1
OG0004040	XP_029032655.1	XP_017763790.1
OG0004041	XP_029051592.1	XP_017763738.1
OG0004042	XP_029042705.1	XP_017761473.1
OG0004043	XP_029038094.1	XP_017764856.1
OG0004044	XP_029056380.1	XP_017757677.1
OG0004045	XP_029044973.1	XP_017766643.1
OG0004046	XP_029037963.1	XP_017757644.1
OG0004047	XP_029040483.1	XP_017758366.1
OG0004048	XP_029044337.1	XP_017765834.1
OG0004049	XP_029054882.1	XP_017755888.1, XP_017759019.1
OG0004050	XP_029056125.1, XP_029056094.1	XP_017753443.1
OG0004051	XP_029050055.1	XP_017764951.1
OG0004052	XP_029042881.1	XP_017762040.1
OG0004053	XP_029045199.1	XP_017752183.1
OG0004054	XP_029043747.1	XP_017753929.1
OG0004055	XP_029043446.1	XP_017759347.1
OG0004056	XP_029042338.1	XP_017754658.1
OG0004057	XP_029055463.1	XP_017753126.1
OG0004058	XP_029033194.1	XP_017756165.1
OG0004059	XP_029036164.1	XP_017766615.1
OG0004060	XP_029039591.1	XP_017758126.1, XP_017758442.1
OG0004061	XP_029039274.1	XP_017756718.1
OG0004062	XP_029051986.1, XP_029051983.1	XP_017753993.1
OG0004063	XP_029036172.1	XP_017766621.1, XP_017766622.1
OG0004064	XP_029038547.1	XP_017762397.1
OG0004065	XP_029045758.1	XP_017761364.1
OG0004066	XP_029048053.1	XP_017766141.1
OG0004067	XP_029041260.1	XP_017752290.1
OG0004068	XP_029037706.1	XP_017759252.1
OG0004069	XP_029045888.1	XP_017753839.1
OG0004070	XP_029042492.1	XP_017759173.1
OG0004071	XP_029036642.1	XP_017761359.1
OG0004072	XP_029040360.1, XP_029040359.1	XP_017753423.1
OG0004074	XP_029056434.1	XP_017759478.1, XP_017759552.1
OG0004075	XP_029051714.1	XP_017764552.1
OG0004076	XP_029042810.1, XP_029042809.1	XP_017762039.1
OG0004077	XP_029049122.1	XP_017755557.1
OG0004078	XP_029033874.1	XP_017753078.1, XP_017753079.1
OG0004079	XP_029048276.1, XP_029048277.1	XP_017765704.1
OG0004080	XP_029042553.1	XP_017759132.1
OG0004081	XP_029035290.1	XP_017759521.1
OG0004082	XP_029049490.1	XP_017764672.1
OG0004083	XP_029046203.1	XP_017756286.1
OG0004084	XP_029051160.1	XP_017763503.1
OG0004085	XP_029039156.1	XP_017759887.1
OG0004086	XP_029049464.1	XP_017754131.1
OG0004087	XP_029050534.1	XP_017757453.1
OG0004088	XP_029034767.1	XP_017765782.1
OG0004089	XP_029049172.1	XP_017760759.1
OG0004090	XP_029035695.1	XP_017753001.1
OG0004091	XP_029046754.1	XP_017758987.1
OG0004092	XP_029052847.1	XP_017757259.1
OG0004093	XP_029035394.1	XP_017759031.1
OG0004094	XP_029042812.1, XP_029042811.1	XP_017763584.1
OG0004095	XP_029041768.1	XP_017756181.1
OG0004096	XP_029042548.1	XP_017758019.1
OG0004097	XP_029042906.1	XP_017760076.1
OG0004099	XP_029055213.1	XP_017764363.1
OG0004100	XP_029048261.1	XP_017756607.1
OG0004101	XP_029055802.1, XP_029055803.1	XP_017755507.1
OG0004102	XP_029048066.1	XP_017761737.1
OG0004103	XP_029048918.1	XP_017754789.1
OG0004104	XP_029052742.1, XP_029052741.1	XP_017765509.1
OG0004105	XP_029043230.1	XP_017764228.1
OG0004106	XP_029033784.1	XP_017756066.1
OG0004107	XP_029043024.1, XP_029042715.1	XP_017752167.1
OG0004108	XP_029034363.1	XP_017756332.1
OG0004109	XP_029037094.1	XP_017759488.1
OG0004110	XP_029055553.1	XP_017753243.1
OG0004111	XP_029032743.1, XP_029034274.1	XP_017761887.1
OG0004112	XP_029039040.1	XP_017759940.1
OG0004113	XP_029035061.1	XP_017754506.1
OG0004114	XP_029036784.1	XP_017765089.1
OG0004115	XP_029044480.1, XP_029044359.1	XP_017752459.1
OG0004116	XP_029045938.1	XP_017763010.1
OG0004117	XP_029056585.1	XP_017766378.1
OG0004118	XP_029035900.1	XP_017757218.1
OG0004119	XP_029050011.1	XP_017752434.1, XP_017752399.1
OG0004120	XP_029047408.1	XP_017753191.1
OG0004121	XP_029032416.1	XP_017765855.1
OG0004122	XP_029038826.1	XP_017753560.1
OG0004123	XP_029049562.1	XP_017761415.1
OG0004124	XP_029040893.1	XP_017765085.1
OG0004125	XP_029045688.1	XP_017767424.1
OG0004126	XP_029039188.1	XP_017756671.1
OG0004127	XP_029048293.1	XP_017766379.1
OG0004128	XP_029038618.1	XP_017766210.1
OG0004129	XP_029041161.1	XP_017763365.1
OG0004130	XP_029033317.1	XP_017756627.1
OG0004131	XP_029038615.1	XP_017766187.1
OG0004132	XP_029033836.1	XP_017762680.1
OG0004133	XP_029052692.1	XP_017752390.1
OG0004134	XP_029035383.1, XP_029035382.1	XP_017754838.1
OG0004135	XP_029036589.1	XP_017757514.1
OG0004136	XP_029039503.1, XP_029037232.1	XP_017752464.1
OG0004137	XP_029055408.1	XP_017762804.1
OG0004138	XP_029049291.1	XP_017752408.1
OG0004139	XP_029036234.1	XP_017766361.1, XP_017766362.1
OG0004140	XP_029053221.1	XP_017752367.1
OG0004141	XP_029055958.1	XP_017754540.1
OG0004142	XP_029052340.1	XP_017754920.1
OG0004143	XP_029044688.1	XP_017760443.1
OG0004144	XP_029051226.1	XP_017764598.1
OG0004145	XP_029050984.1	XP_017764484.1
OG0004146	XP_029046757.1	XP_017758982.1
OG0004147	XP_029049283.1	XP_017764945.1
OG0004148	XP_029043037.1	XP_017752764.1
OG0004149	XP_029040501.1	XP_017757870.1
OG0004150	XP_029053067.1	XP_017753674.1
OG0004151	XP_029050970.1	XP_017764434.1
OG0004152	XP_029053040.1	XP_017753682.1
OG0004153	XP_029043684.1	XP_017760466.1
OG0004154	XP_029044413.1	XP_017752810.1
OG0004155	XP_029039282.1	XP_017758798.1
OG0004156	XP_029051323.1	XP_017760831.1
OG0004157	XP_029049036.1	XP_017758349.1
OG0004158	XP_029039143.1	XP_017761819.1
OG0004159	XP_029044198.1	XP_017764316.1
OG0004160	XP_029045678.1	XP_017765400.1
OG0004161	XP_029049962.1	XP_017766645.1
OG0004162	XP_029032591.1	XP_017761300.1
OG0004163	XP_029036002.1	XP_017762655.1
OG0004164	XP_029046078.1	XP_017758575.1
OG0004165	XP_029040219.1	XP_017756498.1
OG0004166	XP_029045390.1	XP_017762877.1
OG0004167	XP_029034108.1	XP_017760768.1
OG0004168	XP_029044969.1	XP_017766497.1
OG0004169	XP_029046291.1	XP_017761744.1
OG0004170	XP_029039641.1	XP_017754367.1
OG0004171	XP_029051471.1	XP_017763623.1
OG0004172	XP_029040467.1	XP_017760442.1
OG0004173	XP_029053563.1	XP_017767462.1
OG0004174	XP_029040461.1	XP_017760676.1
OG0004175	XP_029041803.1	XP_017767193.1
OG0004176	XP_029032791.1	XP_017765843.1, XP_017765842.1
OG0004177	XP_029051548.1	XP_017753466.1
OG0004178	XP_029039947.1	XP_017754431.1
OG0004179	XP_029043316.1	XP_017757960.1
OG0004180	XP_029050821.1	XP_017761623.1
OG0004181	XP_029051814.1	XP_017760314.1
OG0004182	XP_029051921.1	XP_017753457.1
OG0004183	XP_029053471.1, XP_029053518.1	XP_017761723.1, XP_017761722.1
OG0004184	XP_029032968.1	XP_017767111.1
OG0004185	XP_029047640.1	XP_017753811.1, XP_017753813.1
OG0004186	XP_029038561.1	XP_017759152.1
OG0004187	XP_029044955.1	XP_017766822.1
OG0004188	XP_029032122.1	XP_017765848.1
OG0004189	XP_029032136.1	XP_017765876.1
OG0004190	XP_029035646.1	XP_017765858.1
OG0004191	XP_029041836.1	XP_017755473.1
OG0004192	XP_029041076.1	XP_017754286.1
OG0004193	XP_029034683.1	XP_017762006.1, XP_017762007.1
OG0004194	XP_029038189.1	XP_017763506.1
OG0004195	XP_029044181.1	XP_017764199.1
OG0004196	XP_029036679.1	XP_017765829.1
OG0004197	XP_029038212.1	XP_017763052.1
OG0004198	XP_029048889.1	XP_017755577.1
OG0004199	XP_029035462.1, XP_029035460.1	XP_017764934.1
OG0004200	XP_029039370.1	XP_017753732.1
OG0004201	XP_029037411.1	XP_017760613.1
OG0004202	XP_029052173.1	XP_017766639.1
OG0004203	XP_029053968.1, XP_029053910.1	XP_017761181.1
OG0004204	XP_029041262.1	XP_017752283.1
OG0004205	XP_029042293.1	XP_017759748.1
OG0004206	XP_029044595.1	XP_017765808.1
OG0004207	XP_029044788.1	XP_017759228.1
OG0004208	XP_029037784.1	XP_017762651.1
OG0004209	XP_029040504.1	XP_017758150.1
OG0004210	XP_029043918.1	XP_017753665.1
OG0004211	XP_029045500.1, XP_029045501.1	XP_017758746.1
OG0004212	XP_029036536.1	XP_017758740.1
OG0004213	XP_029055349.1, XP_029055348.1	XP_017760182.1
OG0004214	XP_029039504.1	XP_017760178.1
OG0004215	XP_029041263.1, XP_029041270.1	XP_017766096.1
OG0004216	XP_029039625.1	XP_017766117.1
OG0004217	XP_029039295.1	XP_017759971.1
OG0004218	XP_029039312.1	XP_017753099.1
OG0004219	XP_029043269.1	XP_017766889.1
OG0004220	XP_029040025.1	XP_017754433.1
OG0004221	XP_029036743.1	XP_017756231.1
OG0004222	XP_029036738.1	XP_017756227.1
OG0004223	XP_029035037.1	XP_017763661.1
OG0004224	XP_029044853.1	XP_017764371.1
OG0004225	XP_029048082.1	XP_017761736.1
OG0004226	XP_029042184.1	XP_017767660.1
OG0004227	XP_029053556.1	XP_017767457.1
OG0004228	XP_029039976.1	XP_017767340.1
OG0004229	XP_029049627.1	XP_017762396.1
OG0004230	XP_029055781.1	XP_017757511.1
OG0004231	XP_029035608.1	XP_017762671.1
OG0004232	XP_029041711.1	XP_017756146.1
OG0004233	XP_029039651.1	XP_017759683.1
OG0004234	XP_029046720.1	XP_017757491.1
OG0004235	XP_029041859.1	XP_017767200.1
OG0004236	XP_029055914.1	XP_017765205.1
OG0004237	XP_029051331.1	XP_017760826.1
OG0004238	XP_029037338.1	XP_017760862.1
OG0004239	XP_029035377.1	XP_017754869.1
OG0004240	XP_029051731.1	XP_017754319.1
OG0004241	XP_029050070.1	XP_017754346.1
OG0004242	XP_029041719.1	XP_017764289.1
OG0004243	XP_029033511.1	XP_017767134.1
OG0004244	XP_029046401.1	XP_017756069.1
OG0004245	XP_029036390.1	XP_017764054.1
OG0004246	XP_029036334.1	XP_017757478.1
OG0004247	XP_029045717.1	XP_017761344.1
OG0004248	XP_029040648.1	XP_017759498.1
OG0004249	XP_029037098.1	XP_017759502.1
OG0004250	XP_029033318.1	XP_017752504.1
OG0004251	XP_029041648.1	XP_017757061.1
OG0004252	XP_029041606.1	XP_017757060.1
OG0004253	XP_029040525.1, XP_029040018.1	XP_017766107.1
OG0004254	XP_029053103.1	XP_017762702.1
OG0004255	XP_029032215.1	XP_017765134.1
OG0004256	XP_029036239.1	XP_017766491.1
OG0004257	XP_029054962.1	XP_017766371.1
OG0004258	XP_029043021.1	XP_017755348.1
OG0004259	XP_029032950.1	XP_017766173.1
OG0004260	XP_029047607.1	XP_017764349.1
OG0004261	XP_029038872.1	XP_017753527.1
OG0004262	XP_029038985.1	XP_017758697.1
OG0004263	XP_029053345.1, XP_029054128.1	XP_017758242.1
OG0004265	XP_029047392.1, XP_029047394.1	XP_017762574.1
OG0004266	XP_029047391.1	XP_017753516.1
OG0004267	XP_029040268.1	XP_017759066.1
OG0004268	XP_029040389.1	XP_017759059.1
OG0004269	XP_029041265.1	XP_017755111.1
OG0004270	XP_029036681.1	XP_017755661.1
OG0004271	XP_029042443.1	XP_017763550.1
OG0004272	XP_029037541.1	XP_017757958.1
OG0004273	XP_029037509.1	XP_017757917.1
OG0004274	XP_029046185.1	XP_017757396.1
OG0004275	XP_029043752.1	XP_017753932.1
OG0004276	XP_029045079.1	XP_017763152.1
OG0004277	XP_029047744.1	XP_017763696.1
OG0004278	XP_029052006.1	XP_017759673.1
OG0004279	XP_029044636.1	XP_017763760.1, XP_017763759.1
OG0004280	XP_029038372.1	XP_017763135.1, XP_017763127.1
OG0004281	XP_029053394.1, XP_029053176.1	XP_017761711.1
OG0004282	XP_029050584.1	XP_017763989.1
OG0004283	XP_029053714.1, XP_029053585.1	XP_017763996.1
OG0004284	XP_029043322.1	XP_017763194.1
OG0004285	XP_029039107.1	XP_017752579.1
