Orthogroup	Habropoda_laboriosa	Aedes_aegypti
OG0002763	XP_017790343.1	XP_021707249.1
OG0002764	XP_017799325.1	XP_021704660.1, XP_021704649.1
OG0002765	XP_017788378.1	XP_021705311.1, XP_021705310.1, XP_021705312.1, XP_021706136.1, XP_021712484.1
OG0002766	XP_017789310.1	XP_021702904.1, XP_021702909.1, XP_021702916.1
OG0002767	XP_017793692.1	XP_001662086.2
OG0002769	XP_017798437.1	XP_021700587.1
OG0002770	XP_017788314.1	XP_021708098.1
OG0002771	XP_017787926.1	XP_021704980.1, XP_001651135.1, XP_011493291.2
OG0002772	XP_017796872.1	XP_021696240.1
OG0002773	XP_017795553.1	XP_021701498.1, XP_021701497.1
OG0002774	XP_017789013.1	XP_021702808.1, XP_021702807.1, XP_021708992.1, XP_021704526.1, XP_001662707.2, XP_021694225.1, XP_001654682.2, XP_021701587.1
OG0002775	XP_017790087.1	XP_021700856.1, XP_021700860.1, XP_021700865.1
OG0002776	XP_017787893.1	XP_021695953.1
OG0002777	XP_017793894.1	XP_001657588.2
OG0002778	XP_017790078.1	XP_001651292.1
OG0002779	XP_017793596.1	XP_021693695.1
OG0002780	XP_017790145.1	XP_001661733.1
OG0002781	XP_017789459.1	XP_021707587.1
OG0002782	XP_017791180.1	XP_001652616.2
OG0002784	XP_017798431.1, XP_017798432.1	XP_001648704.1
OG0002785	XP_017795081.1	XP_021702018.1, XP_021702011.1, XP_021694251.1
OG0002786	XP_017789864.1	XP_021712189.1, XP_021710169.1, XP_021710165.1
OG0002787	XP_017794369.1	XP_021693474.1, XP_021693473.1
OG0002788	XP_017797441.1	XP_001660904.2
OG0002789	XP_017792647.1	XP_021704341.1
OG0002790	XP_017792034.1	XP_021694213.1
OG0002791	XP_017793306.1	XP_001660923.1, XP_001660924.2
OG0002792	XP_017797345.1, XP_017797346.1	XP_021708832.1, XP_001663964.2
OG0002793	XP_017795501.1	XP_001656042.2
OG0002794	XP_017797585.1, XP_017795615.1	XP_021695141.1
OG0002795	XP_017795040.1	XP_001653551.1, XP_021712949.1, XP_021712948.1, XP_021712951.1, XP_021712950.1
OG0002796	XP_017797571.1	XP_021698017.1, XP_021698018.1
OG0002798	XP_017791665.1	XP_021698327.1, XP_021698328.1
OG0002799	XP_017793127.1	XP_021695759.1
OG0002800	XP_017787847.1	XP_021696073.1
OG0002801	XP_017788555.1, XP_017795220.1	XP_001659280.2
OG0002802	XP_017798731.1	XP_021696189.1
OG0002803	XP_017797027.1	XP_021697601.1, XP_021697597.1
OG0002805	XP_017797493.1	XP_021696624.1, XP_021696625.1, XP_021696626.1, XP_021696622.1, XP_021696623.1
OG0002806	XP_017793233.1	XP_021704982.1
OG0002807	XP_017791856.1	XP_021693230.1, XP_001656898.2, XP_001653091.2, XP_001647579.2, XP_021699500.1
OG0002809	XP_017795024.1	XP_021695748.1, XP_001647758.2
OG0002810	XP_017787702.1	XP_001653277.2, XP_021709145.1, XP_021709151.1, XP_021709130.1, XP_021709159.1, XP_021709137.1, XP_021709166.1
OG0002811	XP_017789179.1	XP_001654167.1
OG0002812	XP_017793867.1	XP_001654342.2
OG0002813	XP_017791873.1	XP_021706245.1, XP_001662071.2, XP_021708581.1, XP_021709412.1, XP_021704333.1, XP_021712408.1, XP_001654425.1
OG0002814	XP_017797900.1	XP_001654915.1
OG0002815	XP_017789205.1, XP_017789005.1	XP_001655769.1
OG0002816	XP_017794332.1	XP_001656933.2, XP_021700527.1
OG0002817	XP_017789661.1	XP_001657178.1, XP_011493755.1
OG0002818	XP_017796866.1	XP_001657765.2
OG0002819	XP_017793524.1	XP_001658569.2
OG0002820	XP_017794157.1	XP_001658624.2
OG0002821	XP_017792732.1	XP_001660411.1
OG0002822	XP_017789286.1	XP_001660798.1, XP_021702915.1
OG0002823	XP_017787795.1, XP_017787794.1	XP_001661649.2
OG0002824	XP_017791700.1	XP_021711249.1, XP_021711248.1, XP_021711247.1, XP_001663224.2, XP_001663226.2
OG0002825	XP_017792442.1	XP_001664007.2
OG0002826	XP_017796031.1	XP_021693761.1
OG0002827	XP_017788575.1	XP_021694937.1, XP_021694936.1
OG0002828	XP_017798860.1	XP_021702735.1, XP_021702734.1, XP_021702733.1, XP_021702736.1, XP_021702738.1, XP_021695552.1
OG0002829	XP_017788574.1	XP_021695637.1, XP_021695641.1
OG0002831	XP_017790558.1	XP_021701595.1, XP_021701530.1, XP_021701470.1, XP_021701743.1, XP_021701798.1, XP_021701690.1, XP_021701634.1
OG0002832	XP_017793858.1	XP_021702545.1, XP_021701544.1, XP_021702540.1
OG0002833	XP_017792232.1	XP_021703791.1
OG0002834	XP_017797927.1	XP_021703870.1
OG0002835	XP_017793107.1	XP_021705343.1
OG0002836	XP_017789610.1	XP_021705541.1
OG0002837	XP_017797405.1	XP_021707267.1
OG0002838	XP_017788865.1	XP_021710734.1
OG0002856	XP_017791760.1	XP_001650522.1, XP_021706249.1, XP_021706247.1
OG0002857	XP_017797632.1	XP_001654435.1, XP_021704310.1
OG0002858	XP_017790262.1	XP_001656734.1
OG0002859	XP_017791052.1	XP_021694264.1, XP_021703904.1, XP_021710164.1, XP_001662678.2, XP_021707251.1
OG0002860	XP_017791558.1	XP_001660129.1
OG0002861	XP_017797715.1	XP_001655621.1
OG0002862	XP_017792199.1, XP_017792201.1, XP_017792200.1, XP_017792203.1	XP_021701226.1, XP_001655803.1
OG0002863	XP_017798395.1	XP_001662785.1
OG0002864	XP_017791271.1	XP_021705591.1, XP_001653216.2
OG0002865	XP_017791906.1	XP_001659059.1
OG0002866	XP_017798945.1	XP_001654990.2
OG0002867	XP_017791116.1	XP_001651576.2, XP_001651575.2
OG0002868	XP_017797868.1	XP_001647931.1
OG0002869	XP_017792427.1	XP_021700839.1
OG0002870	XP_017793425.1	XP_001660865.1
OG0002871	XP_017792079.1	XP_001651924.1
OG0002872	XP_017793913.1	XP_021699134.1, XP_021699133.1, XP_021699132.1
OG0002873	XP_017799264.1	XP_001663631.1
OG0002874	XP_017788838.1	XP_001659193.1
OG0002875	XP_017788357.1	XP_021694849.1
OG0002876	XP_017789787.1	XP_001663714.2
OG0002877	XP_017795348.1	XP_001648086.1
OG0002878	XP_017797778.1	XP_001654319.1, XP_021712244.1
OG0002879	XP_017795479.1	XP_001655467.1
OG0002881	XP_017792951.1	XP_001658325.1
OG0002882	XP_017795860.1	XP_021693756.1, XP_021693753.1
OG0002883	XP_017791126.1	XP_001663452.1, XP_021707516.1
OG0002884	XP_017799184.1	XP_001662256.1
OG0002885	XP_017787601.1	XP_011493321.1
OG0002886	XP_017796403.1	XP_021708202.1
OG0002887	XP_017789308.1	XP_001663823.1
OG0002888	XP_017798501.1	XP_001648870.2
OG0002889	XP_017788346.1	XP_021709395.1, XP_001661632.1
OG0002890	XP_017791136.1	XP_021709561.1
OG0002891	XP_017791222.1	XP_021711779.1, XP_001650410.2
OG0002892	XP_017789434.1	XP_001661209.1
OG0002893	XP_017793478.1	XP_001657928.1
OG0002894	XP_017798663.1, XP_017798664.1	XP_021705544.1
OG0002895	XP_017794750.1	XP_001663417.2
OG0002896	XP_017796365.1	XP_011493451.1
OG0002897	XP_017790119.1	XP_021709147.1
OG0002898	XP_017797016.1	XP_001652258.1, XP_011493355.1
OG0002899	XP_017798720.1	XP_001658667.1
OG0002900	XP_017791854.1	XP_001655580.2
OG0002901	XP_017795218.1	XP_001653664.1
OG0002902	XP_017795539.1	XP_021696697.1, XP_001653611.1
OG0002903	XP_017792564.1	XP_001654849.2
OG0002904	XP_017788563.1	XP_001652813.2
OG0002905	XP_017789708.1	XP_021692943.1, XP_021692942.1, XP_021692941.1, XP_021692940.1
OG0002906	XP_017788980.1	XP_001655255.1
OG0002907	XP_017788355.1	XP_001649231.1, XP_011493246.1
OG0002908	XP_017797333.1	XP_001648566.1
OG0002909	XP_017798274.1	XP_021713392.1, XP_021713391.1, XP_001657572.1
OG0002910	XP_017791689.1	XP_021698929.1, XP_021698927.1, XP_021698928.1, XP_021698925.1, XP_021698926.1
OG0002911	XP_017798687.1	XP_001650689.2
OG0002912	XP_017795407.1	XP_001658357.1
OG0002913	XP_017799477.1	XP_001654463.1
OG0002914	XP_017796367.1	XP_001649644.1
OG0002915	XP_017788584.1	XP_001656850.1
OG0002916	XP_017791787.1	XP_001660542.1
OG0002917	XP_017795673.1	XP_021708901.1
OG0002918	XP_017791941.1	XP_001655038.2
OG0002919	XP_017793872.1	XP_021712732.1, XP_001657254.1
OG0002920	XP_017791156.1	XP_001653121.1
OG0002922	XP_017794764.1	XP_021695496.1
OG0002923	XP_017789025.1	XP_001649589.1
OG0002924	XP_017793057.1	XP_021694797.1
OG0002925	XP_017790051.1	XP_021700318.1, XP_021700321.1
OG0002926	XP_017793242.1	XP_021700829.1, XP_021700830.1, XP_021700827.1, XP_021700828.1, XP_021700826.1
OG0002927	XP_017792544.1	XP_001650318.1
OG0002928	XP_017795734.1	XP_021706022.1, XP_021706020.1
OG0002929	XP_017794147.1	XP_021693240.1
OG0002930	XP_017796162.1	XP_021702419.1, XP_021702420.1
OG0002931	XP_017795963.1	XP_021705805.1, XP_021705803.1
OG0002932	XP_017790544.1	XP_021694150.1
OG0002933	XP_017795282.1	XP_001662261.1
OG0002934	XP_017795591.1	XP_001655974.1
OG0002935	XP_017798207.1	XP_001653736.1
OG0002936	XP_017796648.1	XP_001656914.2
OG0002938	XP_017787726.1	XP_001663600.1
OG0002939	XP_017793399.1	XP_001654471.1
OG0002940	XP_017797383.1	XP_001655770.1, XP_001655771.1, XP_001655772.1, XP_021707063.1
OG0002941	XP_017789134.1	XP_021712016.1, XP_001652005.2
OG0002942	XP_017793225.1	XP_001654157.2
OG0002943	XP_017791655.1	XP_001656979.1
OG0002944	XP_017790932.1	XP_021699031.1, XP_001654489.1
OG0002945	XP_017788617.1	XP_021704634.1, XP_021701608.1, XP_001651497.2
OG0002946	XP_017789150.1	XP_001648943.2, XP_021708728.1, XP_021708729.1
OG0002947	XP_017787802.1	XP_001650503.2, XP_021695352.1, XP_021695353.1
OG0002949	XP_017793885.1	XP_021707785.1, XP_021707786.1
OG0002950	XP_017795880.1	XP_021710704.1
OG0002951	XP_017797762.1	XP_001662210.1, XP_021693476.1, XP_021712456.1, XP_021712457.1
OG0002952	XP_017793551.1	XP_021698924.1, XP_021694283.1
OG0002953	XP_017790275.1	XP_021702564.1
OG0002955	XP_017791188.1	XP_021701597.1, XP_001653396.1
OG0002956	XP_017787800.1	XP_021697363.1, XP_021697364.1, XP_021697362.1
OG0002957	XP_017788905.1	XP_021696339.1
OG0002958	XP_017789236.1	XP_021694472.1
OG0002959	XP_017789135.1	XP_001648345.1
OG0002960	XP_017796479.1	XP_021699171.1, XP_021699172.1
OG0002961	XP_017795644.1	XP_001663138.2
OG0002962	XP_017791023.1	XP_021710722.1
OG0002963	XP_017789009.1	XP_021712546.1
OG0002964	XP_017794033.1	XP_001649816.2
OG0002965	XP_017790778.1	XP_021710829.1, XP_021710822.1, XP_021710843.1, XP_021710852.1, XP_021710834.1
OG0002966	XP_017798637.1	XP_001648476.1
OG0002967	XP_017794087.1	XP_001654136.1
OG0002968	XP_017797344.1	XP_001658243.1
OG0002969	XP_017795135.1	XP_021699838.1
OG0002970	XP_017795116.1	XP_001650321.1, XP_001650319.2
OG0002971	XP_017794112.1	XP_021709087.1
OG0002972	XP_017793442.1	XP_001652819.2
OG0002973	XP_017792384.1	XP_021697895.1
OG0002974	XP_017794084.1	XP_021709691.1
OG0002975	XP_017793890.1	XP_001664275.2
OG0002976	XP_017792758.1	XP_021704796.1
OG0002977	XP_017798899.1	XP_021705094.1
OG0002978	XP_017787435.1	XP_021694302.1
OG0002979	XP_017792405.1	XP_001662127.2
OG0002981	XP_017796003.1	XP_021695402.1
OG0002982	XP_017796123.1	XP_001661964.1
OG0002983	XP_017795138.1	XP_021696008.1
OG0002984	XP_017790953.1	XP_001648596.1
OG0002985	XP_017790441.1	XP_001649413.2
OG0002986	XP_017789412.1, XP_017789411.1	XP_001662893.1
OG0002987	XP_017798167.1, XP_017798168.1	XP_001652998.2
OG0002988	XP_017789635.1	XP_021704304.1
OG0002990	XP_017794646.1, XP_017794645.1	XP_021692999.1, XP_021692995.1, XP_021693009.1
OG0002991	XP_017794960.1	XP_021704596.1
OG0002992	XP_017787521.1	XP_021700251.1, XP_021700248.1
OG0002993	XP_017799384.1	XP_021702020.1, XP_021702016.1, XP_021702017.1
OG0002994	XP_017796052.1	XP_001659697.2
OG0002995	XP_017795902.1	XP_001652267.1
OG0002996	XP_017787500.1	XP_001661654.2
OG0002997	XP_017793366.1	XP_001653469.1
OG0002998	XP_017789965.1	XP_001650499.1
OG0002999	XP_017790022.1	XP_021700502.1
OG0003000	XP_017789698.1	XP_021704144.1
OG0003001	XP_017794927.1	XP_001658089.1
OG0003002	XP_017795858.1	XP_021699672.1
OG0003003	XP_017788583.1	XP_021695580.1, XP_001657712.2, XP_021695579.1, XP_021695578.1
OG0003004	XP_017790005.1	XP_001655157.2
OG0003005	XP_017792132.1	XP_001657342.1
OG0003006	XP_017798820.1	XP_001663675.1, XP_021695959.1, XP_021695958.1
OG0003007	XP_017792295.1	XP_021704778.1, XP_021704777.1
OG0003008	XP_017796029.1	XP_001649961.1, XP_001649960.1, XP_001657568.1
OG0003009	XP_017794004.1	XP_021710034.1
OG0003010	XP_017794083.1	XP_021708078.1, XP_021708074.1
OG0003011	XP_017796788.1	XP_001657398.1
OG0003012	XP_017797782.1	XP_001655239.2
OG0003013	XP_017787806.1	XP_001655514.1
OG0003014	XP_017789607.1	XP_021702261.1, XP_021702258.1, XP_021702256.1, XP_021702259.1, XP_021702260.1, XP_021702257.1
OG0003015	XP_017796036.1	XP_021707890.1
OG0003016	XP_017797271.1	XP_021700099.1, XP_001661425.2
OG0003017	XP_017793104.1	XP_021709597.1
OG0003018	XP_017789384.1, XP_017789313.1	XP_021702143.1
OG0003019	XP_017791219.1	XP_001662950.2
OG0003020	XP_017788149.1	XP_001660022.2
OG0003021	XP_017793655.1	XP_021713226.1, XP_001663157.1, XP_021713227.1
OG0003022	XP_017790515.1	XP_021704773.1, XP_021704771.1, XP_021704774.1
OG0003023	XP_017794626.1	XP_001654970.1
OG0003024	XP_017798604.1	XP_001653637.1
OG0003025	XP_017788143.1	XP_001656861.1
OG0003026	XP_017793912.1	XP_001649617.2
OG0003027	XP_017787501.1	XP_021711641.1
OG0003028	XP_017790725.1	XP_001650482.1
OG0003029	XP_017799105.1	XP_021701567.1, XP_021711714.1, XP_001650812.2, XP_021700541.1, XP_021700540.1
OG0003030	XP_017799397.1	XP_021713167.1
OG0003031	XP_017796767.1	XP_001657555.2
OG0003032	XP_017794777.1	XP_021706801.1, XP_021706802.1
OG0003033	XP_017792373.1	XP_001656285.1
OG0003034	XP_017799222.1	XP_021712000.1, XP_001660556.1
OG0003035	XP_017792464.1, XP_017792466.1, XP_017792465.1	XP_021699692.1, XP_001663834.1
OG0003036	XP_017797727.1	XP_021710813.1, XP_021710814.1
OG0003037	XP_017788088.1	XP_021705513.1, XP_021705514.1, XP_021711859.1
OG0003038	XP_017788855.1	XP_001652939.1
OG0003039	XP_017794812.1	XP_001654109.2
OG0003040	XP_017796232.1	XP_001654178.2
OG0003041	XP_017799282.1	XP_011493398.1, XP_001652914.1, XP_021712917.1, XP_021712918.1
OG0003042	XP_017794973.1	XP_001651507.1
OG0003043	XP_017791272.1	XP_021710721.1
OG0003044	XP_017788312.1	XP_021701984.1, XP_021702001.1, XP_021701993.1
OG0003045	XP_017788874.1	XP_001664294.2
OG0003046	XP_017794227.1	XP_001663141.2
OG0003047	XP_017795147.1	XP_001661052.1
OG0003048	XP_017795816.1	XP_001661930.2
OG0003050	XP_017794356.1	XP_021705483.1, XP_001657866.1
OG0003051	XP_017798261.1, XP_017798262.1	XP_021708868.1, XP_021712747.1
OG0003052	XP_017791803.1, XP_017791876.1	XP_021710984.1, XP_021694277.1
OG0003053	XP_017789986.1	XP_001656084.1, XP_011493203.2, XP_021706410.1, XP_021712571.1
OG0003054	XP_017789703.1	XP_021699458.1, XP_021699459.1, XP_021699460.1, XP_021699461.1, XP_021699462.1, XP_001653179.2
OG0003055	XP_017789329.1	XP_001652904.2
OG0003056	XP_017789032.1	XP_021710918.1
OG0003057	XP_017796163.1	XP_001657135.1
OG0003058	XP_017796586.1	XP_021706925.1, XP_021712243.1
OG0003059	XP_017790761.1	XP_001653775.1
OG0003060	XP_017798555.1	XP_001660862.1
OG0003061	XP_017789433.1	XP_001654080.1, XP_001654079.1
OG0003062	XP_017788231.1	XP_021697867.1, XP_021697866.1, XP_021697865.1, XP_021697864.1, XP_021697863.1
OG0003063	XP_017796224.1	XP_001653721.2
OG0003064	XP_017796891.1	XP_001650360.2
OG0003065	XP_017789097.1	XP_021702009.1, XP_021702013.1
OG0003066	XP_017792061.1	XP_001648811.1
OG0003067	XP_017793108.1	XP_021699835.1
OG0003068	XP_017792903.1	XP_001662911.1, XP_021713094.1
OG0003069	XP_017790295.1, XP_017790294.1, XP_017790293.1	XP_021697067.1, XP_001652201.1
OG0003070	XP_017796004.1	XP_021705785.1
OG0003071	XP_017794391.1	XP_021705142.1
OG0003072	XP_017796710.1	XP_021693629.1, XP_001648534.2, XP_021693628.1, XP_021693627.1, XP_021693630.1
OG0003073	XP_017789573.1	XP_001663577.1
OG0003074	XP_017792370.1	XP_021700801.1
OG0003075	XP_017799388.1	XP_021696817.1
OG0003076	XP_017796407.1	XP_001661902.2
OG0003077	XP_017798301.1	XP_001649414.2
OG0003078	XP_017798298.1	XP_021693122.1
OG0003079	XP_017798715.1	XP_021709596.1
OG0003080	XP_017790897.1	XP_001658918.2
OG0003081	XP_017799289.1	XP_011492962.1
OG0003083	XP_017797624.1	XP_021704911.1, XP_021704899.1
OG0003084	XP_017789928.1	XP_001661437.2
OG0003085	XP_017798072.1	XP_021703848.1, XP_021703847.1
OG0003086	XP_017798495.1	XP_001661772.2
OG0003087	XP_017797399.1	XP_021708844.1
OG0003088	XP_017795995.1	XP_001656471.2
OG0003089	XP_017798762.1	XP_001654180.1
OG0003090	XP_017794709.1	XP_021699042.1, XP_021699045.1, XP_021699044.1, XP_021699047.1, XP_021699043.1, XP_021699046.1
OG0003091	XP_017795791.1	XP_021708950.1, XP_021708951.1, XP_021708952.1, XP_001664208.1
OG0003092	XP_017790993.1	XP_001653748.2
OG0003094	XP_017794517.1	XP_021709182.1, XP_001660056.1
OG0003095	XP_017797469.1	XP_021712379.1, XP_001664217.2
OG0003097	XP_017794012.1	XP_001648219.1
OG0003098	XP_017790760.1	XP_001663730.1
OG0003099	XP_017797910.1, XP_017797911.1	XP_021710115.1
OG0003100	XP_017792713.1	XP_001650674.2
OG0003101	XP_017798875.1	XP_001657869.2
OG0003102	XP_017796352.1, XP_017791494.1	XP_021697770.1
OG0003103	XP_017787867.1	XP_001655135.2, XP_021699621.1, XP_021699622.1, XP_021699623.1, XP_021699624.1, XP_021699625.1
OG0003104	XP_017791519.1	XP_021697514.1
OG0003105	XP_017796634.1	XP_021713325.1
OG0003106	XP_017793752.1	XP_021709502.1, XP_021709501.1, XP_021709500.1, XP_021709499.1, XP_021709498.1, XP_021709497.1
OG0003107	XP_017792880.1, XP_017792881.1	XP_001653245.1
OG0003108	XP_017792945.1	XP_021703474.1, XP_021703475.1, XP_021703473.1
OG0003109	XP_017792809.1	XP_021705763.1, XP_021701162.1, XP_021701163.1
OG0003110	XP_017792262.1	XP_021705270.1
OG0003111	XP_017791654.1	XP_021705886.1, XP_001656836.1, XP_021705885.1, XP_021705884.1
OG0003112	XP_017791227.1	XP_001651861.1
OG0003113	XP_017792015.1	XP_001649950.2
OG0003114	XP_017799420.1	XP_021699654.1
OG0003115	XP_017797263.1	XP_021712430.1, XP_021708814.1
OG0003116	XP_017790195.1	XP_011493309.1, XP_021707230.1
OG0003118	XP_017793028.1	XP_021709995.1
OG0003119	XP_017790937.1	XP_001654472.1
OG0003120	XP_017796468.1	XP_021704197.1, XP_021704189.1, XP_021704194.1
OG0003121	XP_017796691.1	XP_021711937.1, XP_021710334.1
OG0003122	XP_017795247.1	XP_021702962.1
OG0003123	XP_017798353.1	XP_001661764.1
OG0003124	XP_017788824.1	XP_001652156.1
OG0003125	XP_017795428.1	XP_001653815.1
OG0003126	XP_017799052.1	XP_021700881.1
OG0003127	XP_017795997.1	XP_021701923.1, XP_021701924.1, XP_021701928.1, XP_021710811.1
OG0003128	XP_017799059.1	XP_021695478.1
OG0003129	XP_017791634.1	XP_021701462.1, XP_021701461.1
OG0003130	XP_017795115.1	XP_021704243.1
OG0003131	XP_017790783.1	XP_021702884.1
OG0003132	XP_017791274.1	XP_021710481.1
OG0003133	XP_017791318.1	XP_021702613.1
OG0003134	XP_017794624.1	XP_001661906.1
OG0003135	XP_017790093.1	XP_021709994.1
OG0003136	XP_017798640.1	XP_021695249.1
OG0003137	XP_017798175.1	XP_001655068.1, XP_011493570.1
OG0003138	XP_017789499.1	XP_021709304.1, XP_001651515.2, XP_021712754.1
OG0003139	XP_017794457.1	XP_021693199.1, XP_021693219.1, XP_021693208.1, XP_021693213.1, XP_021693207.1
OG0003140	XP_017788359.1	XP_021709430.1
OG0003142	XP_017790857.1, XP_017790853.1	XP_021699177.1
OG0003143	XP_017790018.1	XP_021698784.1
OG0003144	XP_017791624.1	XP_021704577.1
OG0003145	XP_017790103.1	XP_021712979.1
OG0003146	XP_017797258.1	XP_001656515.2
OG0003147	XP_017790251.1	XP_021711895.1, XP_021703191.1
OG0003148	XP_017791141.1	XP_021700145.1
OG0003149	XP_017799213.1	XP_001654230.1
OG0003150	XP_017793708.1	XP_001652881.1
OG0003151	XP_017796009.1	XP_021698374.1, XP_021698373.1
OG0003152	XP_017792273.1	XP_021694662.1
OG0003153	XP_017794995.1	XP_011493480.1, XP_021701209.1
OG0003154	XP_017792697.1	XP_021711955.1, XP_021700332.1, XP_021694752.1, XP_021694754.1
OG0003155	XP_017790727.1	XP_021693763.1
OG0003156	XP_017797668.1	XP_021693658.1, XP_021693085.1, XP_021693084.1
OG0003157	XP_017799534.1	XP_021704525.1
OG0003158	XP_017797491.1	XP_001651370.2
OG0003159	XP_017798951.1	XP_001660477.2
OG0003160	XP_017797732.1	XP_001651369.1
OG0003162	XP_017789489.1	XP_001661213.2
OG0003163	XP_017799128.1	XP_001651051.1
OG0003164	XP_017797091.1	XP_021692950.1, XP_021692954.1, XP_021692944.1
OG0003165	XP_017788124.1	XP_001659733.2
OG0003166	XP_017797903.1	XP_021701100.1
OG0003167	XP_017796969.1	XP_001654672.2, XP_021693954.1, XP_021700118.1
OG0003168	XP_017792119.1	XP_021705431.1, XP_021712048.1
OG0003169	XP_017794469.1	XP_001647884.1
OG0003171	XP_017795170.1	XP_021696762.1
OG0003172	XP_017793177.1	XP_001658550.2
OG0003173	XP_017788608.1	XP_001650495.1
OG0003174	XP_017787910.1	XP_001659882.2
OG0003175	XP_017797384.1	XP_021709481.1
OG0003176	XP_017794601.1	XP_001661658.2, XP_021699842.1, XP_021699843.1
OG0003177	XP_017794484.1	XP_021713352.1, XP_001653897.2
OG0003178	XP_017797402.1	XP_021710084.1
OG0003179	XP_017792308.1	XP_021713408.1
OG0003180	XP_017790341.1	XP_001648485.2
OG0003181	XP_017789082.1	XP_021712515.1
OG0003182	XP_017788317.1	XP_021707793.1, XP_001661094.2
OG0003183	XP_017787575.1	XP_021709444.1
OG0003184	XP_017787996.1	XP_021707166.1
OG0003185	XP_017794219.1	XP_021694887.1
OG0003186	XP_017796991.1	XP_021712397.1
OG0003186	XP_017796805.1	XP_021693585.1
OG0003187	XP_017794359.1	XP_001650263.1
OG0003188	XP_017795409.1	XP_021696110.1, XP_021696108.1
OG0003189	XP_017788728.1	XP_001656813.2
OG0003190	XP_017788411.1	XP_021704722.1
OG0003191	XP_017793817.1	XP_021709646.1, XP_021709645.1, XP_021709647.1, XP_021709642.1, XP_021709644.1, XP_021709643.1
OG0003192	XP_017792678.1	XP_001648319.1
OG0003193	XP_017795492.1	XP_021698787.1, XP_021698792.1
OG0003194	XP_017791979.1	XP_001649120.1
OG0003195	XP_017796668.1	XP_021707680.1
OG0003196	XP_017794721.1	XP_021700718.1, XP_021700719.1, XP_021700717.1, XP_021700720.1, XP_021700721.1, XP_021697174.1, XP_021697173.1, XP_021697172.1
OG0003197	XP_017789665.1	XP_021698462.1, XP_021698463.1
OG0003199	XP_017797629.1	XP_021696884.1, XP_001650013.1, XP_001660590.2
OG0003201	XP_017795676.1	XP_001648853.2, XP_021700846.1, XP_021711840.1, XP_021711841.1
OG0003202	XP_017797299.1	XP_021701420.1
OG0003203	XP_017788663.1	XP_001660508.1
OG0003206	XP_017794781.1	XP_021695040.1
OG0003207	XP_017795193.1	XP_021693144.1
OG0003208	XP_017794471.1	XP_021707547.1, XP_001656425.2, XP_001651933.1, XP_021710627.1, XP_001651935.1
OG0003209	XP_017794908.1	XP_021697678.1
OG0003210	XP_017788327.1	XP_021697024.1, XP_021697022.1
OG0003211	XP_017795283.1	XP_021705914.1
OG0003212	XP_017790471.1	XP_021703710.1, XP_021703689.1
OG0003213	XP_017788733.1, XP_017788736.1	XP_021704041.1, XP_021695181.1
OG0003214	XP_017793156.1	XP_001660127.1
OG0003215	XP_017793444.1	XP_001657974.1
OG0003217	XP_017793718.1	XP_001649918.2
OG0003218	XP_017787406.1	XP_001651793.1
OG0003219	XP_017788798.1	XP_001653279.1, XP_011492951.1, XP_021709200.1
OG0003220	XP_017793010.1, XP_017793011.1	XP_001654632.1
OG0003221	XP_017790948.1	XP_001655338.2
OG0003222	XP_017795333.1	XP_001656130.2, XP_021701742.1, XP_001656134.1, XP_001656132.1, XP_011493673.1
OG0003223	XP_017788861.1	XP_001656812.2
OG0003224	XP_017795679.1	XP_021701655.1, XP_021699448.1, XP_021699446.1, XP_001657700.2
OG0003225	XP_017790840.1, XP_017790839.1	XP_001658286.1
OG0003226	XP_017798494.1	XP_001659469.1
OG0003227	XP_017788000.1	XP_001659857.1
OG0003228	XP_017794495.1	XP_001659934.2, XP_021709524.1
OG0003229	XP_017798387.1	XP_001660384.1
OG0003230	XP_017795470.1	XP_021704533.1, XP_021704536.1, XP_021704535.1, XP_021704534.1, XP_001661442.2
OG0003231	XP_017794718.1	XP_001662901.1
OG0003232	XP_017793019.1	XP_001663269.2
OG0003234	XP_017788970.1	XP_021694489.1
OG0003235	XP_017793911.1	XP_021694883.1
OG0003236	XP_017799146.1	XP_021695288.1
OG0003237	XP_017795281.1	XP_021695492.1
OG0003238	XP_017795240.1	XP_021695716.1
OG0003239	XP_017798515.1	XP_021696264.1
OG0003240	XP_017788606.1	XP_021698445.1, XP_021698443.1, XP_021698444.1, XP_021698440.1, XP_021698441.1, XP_021698442.1
OG0003241	XP_017796543.1	XP_021698481.1
OG0003242	XP_017791365.1	XP_021699228.1
OG0003243	XP_017792271.1	XP_021700220.1, XP_021712523.1
OG0003244	XP_017799001.1	XP_021700639.1
OG0003245	XP_017790265.1	XP_021701692.1
OG0003246	XP_017787627.1	XP_021702005.1
OG0003247	XP_017789861.1	XP_021703034.1, XP_021703033.1, XP_021703032.1
OG0003248	XP_017794123.1	XP_021705381.1, XP_021708886.1
OG0003249	XP_017790632.1	XP_021710976.1
OG0003262	XP_017795660.1	XP_001650445.1
OG0003263	XP_017789984.1	XP_021700500.1, XP_021700499.1, XP_001663281.1
OG0003264	XP_017798580.1	XP_001656737.2, XP_001655991.1
OG0003265	XP_017798438.1	XP_021694723.1
OG0003266	XP_017798182.1	XP_001649556.1, XP_021705653.1
OG0003267	XP_017790826.1	XP_021699636.1
OG0003268	XP_017793730.1	XP_021698485.1
OG0003269	XP_017799210.1	XP_021703649.1
