Orthogroup	Eufriesea_mexicana	Megalopta_genalis
OG0004009	XP_017753582.1	XP_033332461.1
OG0004010	XP_017764344.1	XP_033323114.1
OG0004011	XP_017758821.1	XP_033334007.1
OG0004012	XP_017752716.1	XP_033324862.1
OG0004014	XP_017762603.1	XP_033326188.1
OG0004015	XP_017754816.1	XP_033335005.1
OG0004016	XP_017761017.1	XP_033335262.1
OG0004017	XP_017766842.1	XP_033330179.1
OG0004018	XP_017767766.1	XP_033320820.1
OG0004019	XP_017757116.1, XP_017757115.1	XP_033325239.1
OG0004020	XP_017754072.1	XP_033328633.1
OG0004021	XP_017756596.1	XP_033338039.1
OG0004022	XP_017762850.1	XP_033339660.1
OG0004024	XP_017756648.1	XP_033327617.1
OG0004025	XP_017755331.1	XP_033324173.1
OG0004026	XP_017762939.1	XP_033340629.1
OG0004027	XP_017755505.1	XP_033342084.1
OG0004028	XP_017758669.1	XP_033342006.1
OG0004029	XP_017762069.1	XP_033324689.1
OG0004030	XP_017765754.1	XP_033336731.1
OG0004031	XP_017764845.1	XP_033341304.1
OG0004032	XP_017754232.1	XP_033328524.1
OG0004033	XP_017762137.1	XP_033338476.1
OG0004034	XP_017759612.1	XP_033339693.1
OG0004035	XP_017761551.1	XP_033336185.1
OG0004036	XP_017765981.1	XP_033328816.1, XP_033328817.1
OG0004038	XP_017759809.1	XP_033339406.1, XP_033339407.1
OG0004039	XP_017765237.1	XP_033322390.1
OG0004040	XP_017763790.1	XP_033322983.1
OG0004041	XP_017763738.1	XP_033330380.1
OG0004042	XP_017761473.1	XP_033334790.1
OG0004043	XP_017764856.1	XP_033328836.1
OG0004044	XP_017757677.1	XP_033321321.1
OG0004045	XP_017766643.1	XP_033330262.1
OG0004046	XP_017757644.1	XP_033341367.1
OG0004047	XP_017758366.1	XP_033339591.1
OG0004048	XP_017765834.1	XP_033335631.1, XP_033335621.1
OG0004049	XP_017755888.1, XP_017759019.1	XP_033321097.1
OG0004050	XP_017753443.1	XP_033335250.1
OG0004051	XP_017764951.1	XP_033324642.1
OG0004052	XP_017762040.1	XP_033324014.1
OG0004053	XP_017752183.1	XP_033335458.1, XP_033335459.1
OG0004054	XP_017753929.1	XP_033329531.1, XP_033329530.1
OG0004055	XP_017759347.1	XP_033335980.1
OG0004056	XP_017754658.1	XP_033338886.1
OG0004057	XP_017753126.1	XP_033331063.1
OG0004058	XP_017756165.1	XP_033330899.1, XP_033340887.1
OG0004059	XP_017766615.1	XP_033332248.1
OG0004060	XP_017758126.1, XP_017758442.1	XP_033325440.1
OG0004061	XP_017756718.1	XP_033326496.1
OG0004062	XP_017753993.1	XP_033328961.1
OG0004063	XP_017766621.1, XP_017766622.1	XP_033332018.1
OG0004064	XP_017762397.1	XP_033332081.1
OG0004065	XP_017761364.1	XP_033339869.1, XP_033324366.1
OG0004066	XP_017766141.1	XP_033339339.1
OG0004067	XP_017752290.1	XP_033329342.1, XP_033329343.1
OG0004068	XP_017759252.1	XP_033323352.1
OG0004069	XP_017753839.1	XP_033324666.1
OG0004070	XP_017759173.1	XP_033328651.1
OG0004071	XP_017761359.1	XP_033328042.1
OG0004072	XP_017753423.1	XP_033330087.1
OG0004074	XP_017759478.1, XP_017759552.1	XP_033327411.1
OG0004075	XP_017764552.1	XP_033328988.1, XP_033328990.1
OG0004076	XP_017762039.1	XP_033323881.1
OG0004077	XP_017755557.1	XP_033335559.1
OG0004078	XP_017753078.1, XP_017753079.1	XP_033321814.1
OG0004080	XP_017759132.1	XP_033322941.1
OG0004081	XP_017759521.1	XP_033329429.1
OG0004082	XP_017764672.1	XP_033328560.1, XP_033328559.1
OG0004083	XP_017756286.1	XP_033337036.1
OG0004084	XP_017763503.1	XP_033329642.1
OG0004085	XP_017759887.1	XP_033336674.1
OG0004086	XP_017754131.1	XP_033328557.1, XP_033328556.1
OG0004087	XP_017757453.1	XP_033325463.1
OG0004088	XP_017765782.1	XP_033322252.1
OG0004089	XP_017760759.1	XP_033342782.1
OG0004090	XP_017753001.1	XP_033334358.1
OG0004091	XP_017758987.1	XP_033332602.1
OG0004092	XP_017757259.1	XP_033328141.1
OG0004093	XP_017759031.1	XP_033334837.1, XP_033334838.1
OG0004094	XP_017763584.1	XP_033335041.1
OG0004095	XP_017756181.1	XP_033335356.1
OG0004096	XP_017758019.1	XP_033341175.1
OG0004097	XP_017760076.1	XP_033336913.1
OG0004098	XP_017767771.1	XP_033329133.1
OG0004099	XP_017764363.1	XP_033340344.1
OG0004100	XP_017756607.1	XP_033320952.1
OG0004101	XP_017755507.1	XP_033322475.1
OG0004102	XP_017761737.1	XP_033343116.1
OG0004103	XP_017754789.1	XP_033335127.1
OG0004104	XP_017765509.1	XP_033336423.1
OG0004105	XP_017764228.1	XP_033331704.1
OG0004106	XP_017756066.1	XP_033329892.1
OG0004107	XP_017752167.1	XP_033329110.1
OG0004108	XP_017756332.1	XP_033342058.1
OG0004109	XP_017759488.1	XP_033322175.1
OG0004110	XP_017753243.1	XP_033331778.1
OG0004111	XP_017761887.1	XP_033341537.1
OG0004112	XP_017759940.1	XP_033335783.1
OG0004113	XP_017754506.1	XP_033337739.1, XP_033337738.1
OG0004114	XP_017765089.1	XP_033324794.1
OG0004115	XP_017752459.1	XP_033331049.1
OG0004116	XP_017763010.1	XP_033322202.1
OG0004117	XP_017766378.1	XP_033341748.1
OG0004118	XP_017757218.1	XP_033327118.1
OG0004119	XP_017752434.1, XP_017752399.1	XP_033340275.1
OG0004120	XP_017753191.1	XP_033329276.1, XP_033329285.1
OG0004121	XP_017765855.1	XP_033336792.1
OG0004122	XP_017753560.1	XP_033321654.1
OG0004123	XP_017761415.1	XP_033338411.1
OG0004124	XP_017765085.1	XP_033324850.1
OG0004125	XP_017767424.1	XP_033331446.1
OG0004126	XP_017756671.1	XP_033333547.1
OG0004127	XP_017766379.1	XP_033334146.1, XP_033334145.1
OG0004128	XP_017766210.1	XP_033325841.1
OG0004129	XP_017763365.1	XP_033322468.1
OG0004130	XP_017756627.1	XP_033327620.1
OG0004131	XP_017766187.1	XP_033331242.1
OG0004132	XP_017762680.1	XP_033323212.1, XP_033323211.1
OG0004133	XP_017752390.1	XP_033331271.1, XP_033331185.1
OG0004134	XP_017754838.1	XP_033335034.1
OG0004135	XP_017757514.1	XP_033328194.1, XP_033328195.1
OG0004136	XP_017752464.1	XP_033322689.1
OG0004137	XP_017762804.1	XP_033340218.1, XP_033340219.1
OG0004138	XP_017752408.1	XP_033340432.1
OG0004139	XP_017766361.1, XP_017766362.1	XP_033323568.1
OG0004140	XP_017752367.1	XP_033331268.1, XP_033331184.1
OG0004141	XP_017754540.1	XP_033323565.1
OG0004142	XP_017754920.1	XP_033337991.1, XP_033337987.1
OG0004143	XP_017760443.1	XP_033329725.1
OG0004144	XP_017764598.1	XP_033337341.1, XP_033337544.1
OG0004145	XP_017764484.1	XP_033338553.1
OG0004146	XP_017758982.1	XP_033321680.1, XP_033321669.1
OG0004147	XP_017764945.1	XP_033341025.1
OG0004148	XP_017752764.1	XP_033324537.1
OG0004149	XP_017757870.1	XP_033339615.1, XP_033339616.1
OG0004150	XP_017753674.1	XP_033321198.1, XP_033330901.1
OG0004151	XP_017764434.1	XP_033338638.1
OG0004152	XP_017753682.1	XP_033321180.1
OG0004153	XP_017760466.1	XP_033339706.1
OG0004154	XP_017752810.1	XP_033324626.1, XP_033324625.1
OG0004155	XP_017758798.1	XP_033338244.1, XP_033338257.1
OG0004156	XP_017760831.1	XP_033342871.1
OG0004157	XP_017758349.1	XP_033325422.1
OG0004158	XP_017761819.1	XP_033333015.1
OG0004159	XP_017764316.1	XP_033337360.1
OG0004160	XP_017765400.1	XP_033325745.1, XP_033325738.1
OG0004161	XP_017766645.1	XP_033330176.1
OG0004162	XP_017761300.1	XP_033340611.1
OG0004163	XP_017762655.1	XP_033339769.1
OG0004164	XP_017758575.1	XP_033332161.1
OG0004165	XP_017756498.1	XP_033330000.1
OG0004166	XP_017762877.1	XP_033335798.1
OG0004167	XP_017760768.1	XP_033339466.1
OG0004168	XP_017766497.1	XP_033331252.1
OG0004169	XP_017761744.1	XP_033332807.1
OG0004170	XP_017754367.1	XP_033337856.1
OG0004171	XP_017763623.1	XP_033337915.1
OG0004172	XP_017760442.1	XP_033331696.1
OG0004173	XP_017767462.1	XP_033335405.1, XP_033331481.1
OG0004174	XP_017760676.1	XP_033331693.1, XP_033331692.1
OG0004175	XP_017767193.1	XP_033335940.1
OG0004176	XP_017765843.1, XP_017765842.1	XP_033327034.1, XP_033327033.1
OG0004177	XP_017753466.1	XP_033340885.1
OG0004178	XP_017754431.1	XP_033327769.1
OG0004179	XP_017757960.1	XP_033337697.1
OG0004180	XP_017761623.1	XP_033327406.1
OG0004181	XP_017760314.1	XP_033337225.1, XP_033331638.1
OG0004182	XP_017753457.1	XP_033323772.1
OG0004184	XP_017767111.1	XP_033326757.1, XP_033326728.1
OG0004185	XP_017753811.1, XP_017753813.1	XP_033341979.1
OG0004186	XP_017759152.1	XP_033337536.1
OG0004187	XP_017766822.1	XP_033330126.1
OG0004188	XP_017765848.1	XP_033327193.1
OG0004189	XP_017765876.1	XP_033327195.1
OG0004190	XP_017765858.1	XP_033336759.1
OG0004191	XP_017755473.1	XP_033331598.1, XP_033331599.1
OG0004192	XP_017754286.1	XP_033329529.1
OG0004193	XP_017762006.1, XP_017762007.1	XP_033322429.1
OG0004194	XP_017763506.1	XP_033329562.1
OG0004195	XP_017764199.1	XP_033330328.1, XP_033330327.1
OG0004196	XP_017765829.1	XP_033322467.1
OG0004197	XP_017763052.1	XP_033332944.1
OG0004198	XP_017755577.1	XP_033331659.1, XP_033331658.1, XP_033331657.1
OG0004199	XP_017764934.1	XP_033335583.1
OG0004200	XP_017753732.1	XP_033324008.1
OG0004201	XP_017760613.1	XP_033336617.1, XP_033336244.1
OG0004202	XP_017766639.1	XP_033334640.1
OG0004204	XP_017752283.1	XP_033333267.1
OG0004205	XP_017759748.1	XP_033338935.1
OG0004206	XP_017765808.1	XP_033332915.1
OG0004207	XP_017759228.1	XP_033333375.1
OG0004208	XP_017762651.1	XP_033339168.1
OG0004209	XP_017758150.1	XP_033339617.1
OG0004210	XP_017753665.1	XP_033337119.1
OG0004211	XP_017758746.1	XP_033326714.1
OG0004212	XP_017758740.1	XP_033324347.1
OG0004213	XP_017760182.1	XP_033326926.1
OG0004214	XP_017760178.1	XP_033321078.1, XP_033321077.1
OG0004215	XP_017766096.1	XP_033326841.1
OG0004216	XP_017766117.1	XP_033320816.1
OG0004217	XP_017759971.1	XP_033335170.1
OG0004218	XP_017753099.1	XP_033322934.1
OG0004219	XP_017766889.1	XP_033330066.1
OG0004220	XP_017754433.1	XP_033327850.1
OG0004221	XP_017756231.1	XP_033326572.1
OG0004222	XP_017756227.1	XP_033322991.1
OG0004223	XP_017763661.1	XP_033337753.1
OG0004224	XP_017764371.1	XP_033334431.1
OG0004225	XP_017761736.1	XP_033320761.1, XP_033320762.1
OG0004226	XP_017767660.1	XP_033337229.1
OG0004227	XP_017767457.1	XP_033331460.1
OG0004228	XP_017767340.1	XP_033325842.1
OG0004229	XP_017762396.1	XP_033327281.1
OG0004230	XP_017757511.1	XP_033323854.1
OG0004231	XP_017762671.1	XP_033326727.1
OG0004232	XP_017756146.1	XP_033331327.1
OG0004233	XP_017759683.1	XP_033328370.1
OG0004234	XP_017757491.1	XP_033324360.1
OG0004235	XP_017767200.1	XP_033336124.1
OG0004236	XP_017765205.1	XP_033321511.1
OG0004237	XP_017760826.1	XP_033342867.1
OG0004238	XP_017760862.1	XP_033342512.1
OG0004239	XP_017754869.1	XP_033334595.1
OG0004240	XP_017754319.1	XP_033329853.1
OG0004241	XP_017754346.1	XP_033322056.1, XP_033322057.1
OG0004242	XP_017764289.1	XP_033331361.1
OG0004243	XP_017767134.1	XP_033336925.1
OG0004244	XP_017756069.1	XP_033336895.1
OG0004245	XP_017764054.1	XP_033333774.1
OG0004246	XP_017757478.1	XP_033327942.1
OG0004247	XP_017761344.1	XP_033324160.1
OG0004248	XP_017759498.1	XP_033321738.1
OG0004249	XP_017759502.1	XP_033322178.1
OG0004250	XP_017752504.1	XP_033336681.1
OG0004251	XP_017757061.1	XP_033321546.1, XP_033321547.1
OG0004252	XP_017757060.1	XP_033321468.1, XP_033321469.1
OG0004253	XP_017766107.1	XP_033323737.1
OG0004254	XP_017762702.1	XP_033340913.1
OG0004255	XP_017765134.1	XP_033321385.1
OG0004256	XP_017766491.1	XP_033337159.1
OG0004257	XP_017766371.1	XP_033334126.1
OG0004258	XP_017755348.1	XP_033324538.1
OG0004259	XP_017766173.1	XP_033338380.1
OG0004260	XP_017764349.1	XP_033339788.1
OG0004261	XP_017753527.1	XP_033322482.1
OG0004262	XP_017758697.1	XP_033322541.1
OG0004263	XP_017758242.1	XP_033333569.1
OG0004264	XP_017753989.1	XP_033328806.1
OG0004265	XP_017762574.1	XP_033328652.1
OG0004266	XP_017753516.1	XP_033326147.1
OG0004267	XP_017759066.1	XP_033340209.1, XP_033340792.1
OG0004268	XP_017759059.1	XP_033328721.1
OG0004269	XP_017755111.1	XP_033327611.1
OG0004270	XP_017755661.1	XP_033325990.1
OG0004271	XP_017763550.1	XP_033341905.1
OG0004272	XP_017757958.1	XP_033338005.1
OG0004273	XP_017757917.1	XP_033333002.1
OG0004274	XP_017757396.1	XP_033321809.1
OG0004275	XP_017753932.1	XP_033329367.1
OG0004276	XP_017763152.1	XP_033332946.1
OG0004277	XP_017763696.1	XP_033326715.1
OG0004278	XP_017759673.1	XP_033323825.1
OG0004279	XP_017763760.1, XP_017763759.1	XP_033340234.1
OG0004281	XP_017761711.1	XP_033322814.1
OG0004282	XP_017763989.1	XP_033330984.1
OG0004283	XP_017763996.1	XP_033330959.1
OG0004284	XP_017763194.1	XP_033335949.1
OG0004285	XP_017752579.1	XP_033336160.1
OG0004286	XP_017767120.1	XP_033339410.1
OG0004289	XP_017764412.1	XP_033338574.1
OG0004290	XP_017764416.1	XP_033338587.1, XP_033338576.1
OG0004291	XP_017764637.1	XP_033339331.1
OG0004293	XP_017755733.1	XP_033326288.1
OG0004295	XP_017759204.1	XP_033324929.1
OG0004296	XP_017752969.1	XP_033329660.1
OG0004297	XP_017764769.1	XP_033321984.1
OG0004298	XP_017764966.1	XP_033340628.1
OG0004299	XP_017766767.1, XP_017766766.1	XP_033323431.1
OG0004301	XP_017761850.1	XP_033334337.1
OG0004302	XP_017762857.1	XP_033339675.1
OG0004304	XP_017765826.1, XP_017765933.1	XP_033327174.1
OG0004305	XP_017755455.1	XP_033321543.1
OG0004306	XP_017763635.1	XP_033337909.1
OG0004307	XP_017763479.1	XP_033329362.1
OG0004308	XP_017763504.1, XP_017763489.1	XP_033333145.1
OG0004309	XP_017756997.1	XP_033340471.1
OG0004310	XP_017752638.1	XP_033329899.1
OG0004311	XP_017753893.1	XP_033341608.1
OG0004312	XP_017753895.1, XP_017753894.1	XP_033339643.1
OG0004313	XP_017761283.1	XP_033330619.1, XP_033330618.1
OG0004314	XP_017761288.1, XP_017761289.1	XP_033330656.1
OG0004315	XP_017761284.1	XP_033330570.1
OG0004316	XP_017761287.1	XP_033330572.1, XP_033330573.1
OG0004317	XP_017761285.1	XP_033334279.1
OG0004318	XP_017755975.1, XP_017755969.1	XP_033330712.1
OG0004319	XP_017754258.1	XP_033329601.1
OG0004320	XP_017754289.1	XP_033329468.1
OG0004321	XP_017762022.1	XP_033322403.1
OG0004322	XP_017762008.1	XP_033322427.1
OG0004323	XP_017762014.1	XP_033322326.1
OG0004324	XP_017766773.1	XP_033323400.1
OG0004325	XP_017766674.1	XP_033330288.1
OG0004326	XP_017766588.1	XP_033340001.1
OG0004327	XP_017753600.1	XP_033332473.1
OG0004328	XP_017754606.1	XP_033330766.1, XP_033338464.1
OG0004329	XP_017754680.1	XP_033338429.1, XP_033338430.1
OG0004331	XP_017758988.1	XP_033330359.1
OG0004332	XP_017764159.1	XP_033332605.1
OG0004333	XP_017764178.1, XP_017764179.1	XP_033332642.1
OG0004334	XP_017756021.1	XP_033337490.1
OG0004335	XP_017753109.1	XP_033333988.1
OG0004336	XP_017753118.1	XP_033333986.1
OG0004337	XP_017761749.1	XP_033329424.1
OG0004338	XP_017752679.1	XP_033333975.1
OG0004339	XP_017763516.1	XP_033329540.1, XP_033329621.1
OG0004340	XP_017763440.1	XP_033329623.1, XP_033329624.1
OG0004341	XP_017752668.1	XP_033333977.1
OG0004342	XP_017752321.1	XP_033331159.1
OG0004343	XP_017752338.1	XP_033329832.1, XP_033329830.1
OG0004344	XP_017767100.1	XP_033321802.1
OG0004345	XP_017755942.1	XP_033333227.1
OG0004346	XP_017755925.1, XP_017755924.1	XP_033333231.1
OG0004347	XP_017764232.1	XP_033341831.1
OG0004348	XP_017755561.1, XP_017755562.1	XP_033335566.1
OG0004349	XP_017753731.1	XP_033324969.1
OG0004350	XP_017755506.1	XP_033322568.1
OG0004351	XP_017761969.1, XP_017758607.1	XP_033320832.1
OG0004352	XP_017754861.1	XP_033333682.1
OG0004353	XP_017766644.1	XP_033332245.1
OG0004354	XP_017766653.1	XP_033332250.1
OG0004355	XP_017762613.1, XP_017762612.1	XP_033329582.1
OG0004356	XP_017752268.1	XP_033329224.1, XP_033329226.1
OG0004357	XP_017760580.1	XP_033336251.1
OG0004358	XP_017766534.1	XP_033333835.1
OG0004359	XP_017766782.1	XP_033334832.1
OG0004360	XP_017766659.1	XP_033334857.1
OG0004361	XP_017766738.1	XP_033334727.1
OG0004362	XP_017766526.1	XP_033332033.1
OG0004363	XP_017766750.1	XP_033332005.1
OG0004364	XP_017752427.1	XP_033323094.1
OG0004365	XP_017765868.1	XP_033336752.1
OG0004366	XP_017765871.1	XP_033337079.1
OG0004367	XP_017765857.1	XP_033336869.1
OG0004368	XP_017752807.1	XP_033324578.1
OG0004369	XP_017762689.1, XP_017762690.1	XP_033337294.1
OG0004370	XP_017752276.1	XP_033332746.1
OG0004371	XP_017766684.1	XP_033321755.1
OG0004372	XP_017752265.1	XP_033340392.1
OG0004373	XP_017752158.1	XP_033341558.1
OG0004374	XP_017752143.1	XP_033341521.1
OG0004375	XP_017764947.1	XP_033324931.1
OG0004376	XP_017764981.1	XP_033324640.1
OG0004377	XP_017765481.1	XP_033342176.1
OG0004378	XP_017761059.1	XP_033324118.1
OG0004379	XP_017761676.1	XP_033322690.1
OG0004380	XP_017761329.1, XP_017761328.1	XP_033342098.1
OG0004381	XP_017762499.1	XP_033329760.1
OG0004382	XP_017760005.1	XP_033338936.1
OG0004383	XP_017760038.1, XP_017760044.1	XP_033338505.1
OG0004384	XP_017753586.1	XP_033338695.1
OG0004385	XP_017765631.1, XP_017760280.1	XP_033332822.1
OG0004386	XP_017755717.1	XP_033329783.1
OG0004387	XP_017755726.1	XP_033321360.1
OG0004388	XP_017755709.1	XP_033321351.1
OG0004389	XP_017755738.1	XP_033321355.1
OG0004390	XP_017755743.1	XP_033321352.1
OG0004391	XP_017755848.1	XP_033321296.1
OG0004392	XP_017755805.1	XP_033333393.1
OG0004393	XP_017758873.1	XP_033323818.1
OG0004394	XP_017758888.1	XP_033334311.1
OG0004395	XP_017755069.1	XP_033321244.1
OG0004396	XP_017762649.1	XP_033339280.1
OG0004397	XP_017756829.1	XP_033339308.1
OG0004398	XP_017756915.1	XP_033339148.1, XP_033339146.1
OG0004399	XP_017760855.1	XP_033343093.1
OG0004400	XP_017764265.1	XP_033331614.1
OG0004401	XP_017763328.1	XP_033325863.1
OG0004402	XP_017756657.1	XP_033331571.1
OG0004403	XP_017753676.1	XP_033337127.1, XP_033337126.1
OG0004404	XP_017758715.1	XP_033326713.1
OG0004405	XP_017758730.1	XP_033324169.1
OG0004406	XP_017766964.1	XP_033339714.1
OG0004407	XP_017766960.1	XP_033339699.1
OG0004408	XP_017766962.1	XP_033339695.1
OG0004409	XP_017753411.1	XP_033335355.1
OG0004410	XP_017756095.1	XP_033335470.1
OG0004411	XP_017757334.1	XP_033340956.1
OG0004412	XP_017760027.1	XP_033327167.1
OG0004413	XP_017760041.1	XP_033324426.1
OG0004414	XP_017764509.1	XP_033321454.1
OG0004415	XP_017766284.1	XP_033327937.1
OG0004416	XP_017763697.1	XP_033327778.1
OG0004417	XP_017757845.1	XP_033325650.1
OG0004418	XP_017766233.1	XP_033326060.1
OG0004419	XP_017766229.1	XP_033332601.1, XP_033325987.1
OG0004421	XP_017761825.1	XP_033320971.1, XP_033320972.1
OG0004422	XP_017758481.1, XP_017758289.1	XP_033331741.1
OG0004423	XP_017759334.1	XP_033336479.1, XP_033336477.1
OG0004424	XP_017759295.1	XP_033336393.1
OG0004425	XP_017767122.1	XP_033325062.1, XP_033325063.1
OG0004426	XP_017766878.1	XP_033330068.1
OG0004427	XP_017760244.1	XP_033327786.1, XP_033327785.1
OG0004428	XP_017760249.1	XP_033322586.1
OG0004429	XP_017760241.1	XP_033322585.1
OG0004430	XP_017763821.1	XP_033338946.1
OG0004432	XP_017763916.1	XP_033334487.1
OG0004433	XP_017763005.1	XP_033341320.1
OG0004434	XP_017762990.1	XP_033339973.1
OG0004435	XP_017758050.1	XP_033341679.1
OG0004436	XP_017758091.1	XP_033331025.1
OG0004437	XP_017758048.1	XP_033331035.1
OG0004438	XP_017758102.1	XP_033331044.1
OG0004439	XP_017765099.1	XP_033324786.1, XP_033324787.1
OG0004440	XP_017765227.1	XP_033342690.1, XP_033342698.1
OG0004441	XP_017765220.1	XP_033322274.1
OG0004442	XP_017760505.1	XP_033330589.1
OG0004443	XP_017760968.1	XP_033327663.1
OG0004444	XP_017764566.1, XP_017764565.1	XP_033337972.1
OG0004445	XP_017760494.1	XP_033327367.1
OG0004446	XP_017764520.1	XP_033327420.1
OG0004447	XP_017763508.1	XP_033329408.1
OG0004448	XP_017767027.1	XP_033323185.1
OG0004449	XP_017767099.1	XP_033322135.1, XP_033322136.1
OG0004450	XP_017755358.1	XP_033321702.1
OG0004451	XP_017765290.1	XP_033343078.1
OG0004452	XP_017767652.1	XP_033337249.1
OG0004453	XP_017767701.1	XP_033337135.1
OG0004455	XP_017758818.1	XP_033335039.1
OG0004456	XP_017764329.1	XP_033332303.1, XP_033337354.1
OG0004457	XP_017764308.1	XP_033327284.1
OG0004458	XP_017764321.1	XP_033327486.1, XP_033327489.1
OG0004459	XP_017764325.1	XP_033337635.1
OG0004460	XP_017756248.1	XP_033337614.1, XP_033337615.1
OG0004461	XP_017752535.1	XP_033337447.1, XP_033337448.1
OG0004462	XP_017752560.1	XP_033337442.1
OG0004463	XP_017762968.1	XP_033342199.1
OG0004464	XP_017766963.1	XP_033338332.1
OG0004465	XP_017757540.1	XP_033334038.1
OG0004466	XP_017759900.1	XP_033336145.1
OG0004467	XP_017759865.1	XP_033336259.1, XP_033335794.1
OG0004468	XP_017759864.1	XP_033335795.1
OG0004469	XP_017759894.1	XP_033336670.1, XP_033336671.1
OG0004471	XP_017762888.1	XP_033335777.1
OG0004473	XP_017760609.1	XP_033335696.1
OG0004474	XP_017764624.1	XP_033329038.1
OG0004475	XP_017757783.1	XP_033331301.1, XP_033331297.1
OG0004476	XP_017757805.1	XP_033328351.1
OG0004477	XP_017757777.1	XP_033328604.1, XP_033328722.1
OG0004478	XP_017752219.1	XP_033339251.1
OG0004479	XP_017752237.1	XP_033323460.1, XP_033339917.1
OG0004480	XP_017755019.1	XP_033340073.1
OG0004481	XP_017756105.1	XP_033325019.1
OG0004482	XP_017755587.1	XP_033325105.1
OG0004483	XP_017756819.1	XP_033325088.1
OG0004484	XP_017761404.1	XP_033338618.1
OG0004485	XP_017752903.1	XP_033338840.1
OG0004486	XP_017752866.1	XP_033338839.1
OG0004487	XP_017752943.1	XP_033325136.1
OG0004488	XP_017752905.1	XP_033325102.1
OG0004489	XP_017764613.1	XP_033330693.1
OG0004490	XP_017766116.1	XP_033327715.1
OG0004491	XP_017752444.1	XP_033331088.1
OG0004492	XP_017755023.1	XP_033328712.1, XP_033328709.1
OG0004493	XP_017759658.1	XP_033331941.1
OG0004494	XP_017767511.1	XP_033325412.1
OG0004495	XP_017757497.1	XP_033324365.1, XP_033324364.1
OG0004496	XP_017757496.1	XP_033333964.1
OG0004497	XP_017767174.1	XP_033335929.1, XP_033335928.1
OG0004498	XP_017767176.1	XP_033335747.1
OG0004499	XP_017759741.1	XP_033321533.1
OG0004500	XP_017758656.1	XP_033334142.1
OG0004502	XP_017763204.1	XP_033336077.1, XP_033336078.1
OG0004503	XP_017763235.1	XP_033335884.1
OG0004504	XP_017767479.1	XP_033325801.1
OG0004505	XP_017765395.1	XP_033325935.1
OG0004506	XP_017765373.1	XP_033339891.1
OG0004507	XP_017764728.1	XP_033331510.1
OG0004508	XP_017758545.1	XP_033340930.1
OG0004509	XP_017758439.1	XP_033340618.1
OG0004510	XP_017763174.1	XP_033335658.1, XP_033335657.1
OG0004511	XP_017754824.1	XP_033334852.1
OG0004512	XP_017761907.1	XP_033342801.1
OG0004514	XP_017761465.1	XP_033342876.1
OG0004515	XP_017760952.1	XP_033343053.1
OG0004516	XP_017760857.1	XP_033342291.1
OG0004517	XP_017760673.1	XP_033342712.1
OG0004518	XP_017760792.1	XP_033342262.1
OG0004519	XP_017760946.1	XP_033342846.1
OG0004520	XP_017760677.1	XP_033342787.1
OG0004521	XP_017764214.1	XP_033325129.1
OG0004522	XP_017760071.1	XP_033337022.1, XP_033337023.1
OG0004523	XP_017757208.1	XP_033338087.1, XP_033338088.1
OG0004524	XP_017757192.1	XP_033327141.1
OG0004525	XP_017765633.1	XP_033333752.1
OG0004526	XP_017765502.1	XP_033333747.1
OG0004527	XP_017764081.1	XP_033333766.1
OG0004528	XP_017764061.1, XP_017764060.1	XP_033333773.1
OG0004529	XP_017753184.1	XP_033336292.1, XP_033335540.1
OG0004530	XP_017761356.1	XP_033328052.1, XP_033328051.1
OG0004532	XP_017757428.1	XP_033331142.1
OG0004533	XP_017757503.1	XP_033328133.1
OG0004534	XP_017757438.1	XP_033328108.1
OG0004535	XP_017757520.1	XP_033328110.1
OG0004536	XP_017757508.1	XP_033339203.1
OG0004537	XP_017757594.1	XP_033328151.1
OG0004538	XP_017757772.1	XP_033326437.1
OG0004539	XP_017757800.1	XP_033326381.1
OG0004540	XP_017765553.1	XP_033339539.1
OG0004542	XP_017765720.1	XP_033321577.1
OG0004543	XP_017758676.1	XP_033321537.1
OG0004544	XP_017759564.1	XP_033329084.1, XP_033329098.1
OG0004545	XP_017762131.1	XP_033326310.1
OG0004546	XP_017756649.1	XP_033327612.1
OG0004547	XP_017757101.1	XP_033328899.1
OG0004549	XP_017764829.1	XP_033339055.1
OG0004550	XP_017757281.1	XP_033325812.1
OG0004551	XP_017753355.1	XP_033329451.1
OG0004553	XP_017753345.1	XP_033328867.1
OG0004554	XP_017764359.1	XP_033328410.1
OG0004555	XP_017755130.1	XP_033334251.1
OG0004556	XP_017762722.1	XP_033321583.1, XP_033321582.1
OG0004557	XP_017756418.1	XP_033334186.1
OG0004558	XP_017756378.1	XP_033342020.1
OG0004561	XP_017766451.1	XP_033334118.1, XP_033334117.1
OG0004563	XP_017756472.1	XP_033325475.1
OG0004564	XP_017758348.1	XP_033325672.1
OG0004565	XP_017765008.1, XP_017765007.1	XP_033339246.1
OG0004566	XP_017759796.1	XP_033340809.1
OG0004567	XP_017764383.1	XP_033331850.1
OG0004568	XP_017753277.1	XP_033328469.1
OG0004569	XP_017762793.1	XP_033340543.1
OG0004570	XP_017753529.1	XP_033322445.1
OG0004571	XP_017753547.1	XP_033321643.1
OG0004572	XP_017761795.1, XP_017759665.1	XP_033338609.1
OG0004573	XP_017753220.1	XP_033331860.1
OG0004574	XP_017753210.1	XP_033331818.1, XP_033331817.1
OG0004575	XP_017753218.1	XP_033341054.1
