Orthogroup	Anopheles_gambiae	Bombus_terrestris
OG0003179	XP_311735.5	XP_012165532.1
OG0003180	XP_310880.4	XP_012165456.1, XP_012165455.1
OG0003181	XP_313812.5, XP_003436832.1	XP_012164782.1
OG0003182	XP_001689293.1	XP_003393150.1
OG0003183	XP_313147.4	XP_012170448.1
OG0003184	XP_003436022.1, XP_003436021.1, XP_320962.5	XP_003400667.1
OG0003185	XP_001237254.3	XP_003397346.1
OG0003187	XP_317536.4	XP_003397890.1
OG0003188	XP_315981.4	XP_003398479.2
OG0003189	XP_320584.4	XP_020721986.1, XP_020721987.1
OG0003190	XP_320372.4	XP_020724135.1
OG0003191	XP_001689075.1, XP_554547.3	XP_012174582.1
OG0003192	XP_309823.2	XP_012172198.1, XP_012172190.1, XP_012172177.1, XP_020724038.1, XP_012172215.1
OG0003193	XP_315955.4	XP_012168066.1
OG0003194	XP_314999.4	XP_012167923.1
OG0003195	XP_311450.4	XP_003401207.1
OG0003196	XP_317756.4, XP_313942.4, XP_313943.4	XP_012171928.1
OG0003197	XP_001688545.1	XP_012168859.1
OG0003198	XP_317688.3	XP_012175802.1
OG0003199	XP_001688114.1, XP_308861.4, XP_317197.4	XP_012163427.1
OG0003200	XP_318928.4	XP_020721835.1
OG0003200	XP_553694.2	XP_020721823.1
OG0003201	XP_314834.4	XP_020719548.1
OG0003202	XP_555870.4, XP_001688969.2	XP_020722436.1
OG0003203	XP_308871.4	XP_020718870.1
OG0003206	XP_003436899.1, XP_311113.4	XP_012172321.1
OG0003207	XP_003436580.1, XP_313505.5, XP_003436579.1, XP_003436581.1, XP_003436577.1, XP_003436578.1	XP_020720394.1
OG0003208	XP_313285.3, XP_320562.4, XP_320560.3	XP_003394032.1
OG0003209	XP_315027.4	XP_012173683.1
OG0003210	XP_316339.4	XP_003393282.1, XP_012166843.1
OG0003211	XP_562412.4	XP_012167383.1
OG0003212	XP_310916.5, XP_310917.4	XP_012175311.1
OG0003213	XP_315420.4	XP_012171117.1
OG0003214	XP_310746.5	XP_012169509.1
OG0003215	XP_317640.3	XP_003399045.1
OG0003217	XP_308958.4, XP_001688143.1	XP_012164565.1
OG0003218	XP_321055.5	XP_003401718.1
OG0003219	XP_312652.3	XP_003400241.1
OG0003220	XP_565432.2	XP_003399377.1, XP_012169758.1
OG0003221	XP_320214.4	XP_012166942.1, XP_003397454.1
OG0003222	XP_318690.4, XP_314744.3	XP_012173316.1, XP_003403389.2
OG0003223	XP_320583.3	XP_003400270.1
OG0003225	XP_315125.4	XP_003395707.1
OG0003226	XP_001689111.1	XP_020722064.1
OG0003227	XP_315662.4	XP_020722194.1
OG0003228	XP_314980.3	XP_012168474.1
OG0003229	XP_317053.4	XP_003399948.1
OG0003230	XP_001230616.1, XP_308126.3	XP_012168183.1
OG0003231	XP_003436460.1	XP_003400916.1
OG0003232	XP_317336.3	XP_012169730.1
OG0003234	XP_003437033.1, XP_565765.4	XP_012170688.1, XP_003400076.2
OG0003235	XP_554332.1	XP_020720842.1
OG0003236	XP_319145.3	XP_003393190.1
OG0003237	XP_308538.4	XP_012163641.1
OG0003238	XP_003436959.1, XP_310854.5	XP_020723630.1
OG0003239	XP_556672.3	XP_020722240.1, XP_012171331.1
OG0003240	XP_314330.2	XP_020723041.1, XP_012173345.1, XP_012173338.1, XP_012173342.1, XP_020723042.1
OG0003241	XP_003435738.1, XP_001689401.2	XP_012172510.1
OG0003242	XP_316331.2	XP_003399683.1
OG0003243	XP_318944.4	XP_012167873.1
OG0003244	XP_317158.4	XP_020720806.1
OG0003246	XP_319982.4	XP_020721711.1
OG0003247	XP_317656.3	XP_003400037.3
OG0003248	XP_321046.3	XP_020720004.1, XP_020720003.1
OG0003249	XP_312339.5	XP_012164068.1
OG0003250	XP_001688432.1, XP_003435959.1	XP_003401476.1
OG0003262	XP_321390.3, XP_316822.4	XP_003396975.1
OG0003263	XP_319345.3	XP_003394796.1
OG0003264	XP_320423.4, XP_320446.2	XP_003400614.1
OG0003265	XP_310576.1, XP_001237270.1	XP_003396232.1
OG0003266	XP_309973.2	XP_003402411.1
OG0003267	XP_315778.3	XP_003395308.1
OG0003268	XP_001688693.1, XP_315621.4	XP_003395962.1
OG0003269	XP_310009.4	XP_003393065.1
OG0003270	XP_312828.3, XP_306495.4	XP_003398424.1
OG0003271	XP_317835.4	XP_012166255.1
OG0003272	XP_003437026.1, XP_565801.1, XP_318584.1	XP_003394721.1
OG0003273	XP_003435863.1, XP_003435862.1	XP_003399020.1
OG0003274	XP_313042.4	XP_003395627.1
OG0003275	XP_312392.3	XP_012163102.1
OG0003276	XP_311226.4, XP_003437066.1	XP_020724051.1
OG0003277	XP_310263.2	XP_012174522.1
OG0003279	XP_320407.3	XP_003396570.1
OG0003280	XP_003436744.1, XP_313133.4	XP_003395540.2
OG0003281	XP_321175.4	XP_003400289.1, XP_020721778.1
OG0003282	XP_316942.3	XP_012169609.1
OG0003284	XP_315433.4	XP_012174283.1, XP_003402591.1
OG0003285	XP_001687888.1, XP_308294.3	XP_012170222.1
OG0003286	XP_309296.4	XP_003399167.1
OG0003287	XP_001237951.2	XP_003394981.1
OG0003288	XP_321824.3	XP_003395604.1
OG0003289	XP_319374.4	XP_003403165.1
OG0003290	XP_318603.3	XP_012164907.1
OG0003291	XP_313371.4	XP_012171025.1
OG0003292	XP_001688930.1, XP_316636.4	XP_012165932.1
OG0003293	XP_317118.4	XP_012164077.1
OG0003294	XP_315834.2	XP_003394464.2, XP_012176399.1
OG0003295	XP_308794.4	XP_012165323.1
OG0003296	XP_317344.4	XP_003398169.1
OG0003297	XP_317216.2	XP_012165288.1, XP_012165287.1
OG0003298	XP_318711.4	XP_020719091.1, XP_020719092.1, XP_012164920.1, XP_012164919.1, XP_003396079.1
OG0003299	XP_313420.3, XP_307038.2, XP_307097.4	XP_012163246.1
OG0003300	XP_313921.3	XP_003402401.1
OG0003302	XP_314088.2	XP_020722174.1, XP_003400746.1, XP_012171666.1
OG0003303	XP_321212.4	XP_012170608.1
OG0003304	XP_317916.4	XP_012169521.1
OG0003305	XP_310401.2	XP_003401716.1
OG0003306	XP_320267.2	XP_012175654.1
OG0003307	XP_313704.5	XP_003398200.1
OG0003308	XP_565967.3	XP_003402121.1
OG0003309	XP_003436748.1, XP_003436749.1, XP_313149.3	XP_012167060.1
OG0003311	XP_003435864.1	XP_003402825.1
OG0003312	XP_312017.5	XP_003396836.1
OG0003313	XP_317079.2	XP_003400267.1, XP_003400266.1
OG0003314	XP_308920.4	XP_003399004.1
OG0003315	XP_319072.4	XP_020721944.1, XP_012171026.1, XP_003400257.1
OG0003316	XP_311176.4	XP_003398472.3
OG0003317	XP_316971.2	XP_003399346.1
OG0003318	XP_318434.3	XP_012165037.1
OG0003319	XP_312024.3	XP_003402973.1
OG0003320	XP_320405.4	XP_012168219.1, XP_003398487.1
OG0003321	XP_316723.3	XP_003394413.1
OG0003322	XP_312231.1	XP_012169824.1
OG0003323	XP_315088.4	XP_003398367.2
OG0003324	XP_315064.3, XP_001688609.1	XP_003394516.1
OG0003325	XP_318425.5	XP_003393834.1
OG0003327	XP_310836.5	XP_003394613.1
OG0003328	XP_310258.5	XP_012170302.2
OG0003329	XP_317947.4	XP_003402522.2
OG0003330	XP_551760.3	XP_020722379.1
OG0003331	XP_001688585.1, XP_001688583.1	XP_012163342.1
OG0003332	XP_312581.4	XP_003397236.1
OG0003333	XP_559658.3	XP_012165599.1
OG0003334	XP_308938.4	XP_012168221.1
OG0003335	XP_315401.4	XP_003399725.1
OG0003336	XP_309138.3	XP_012173983.1
OG0003337	XP_313869.5, XP_313871.5	XP_003397616.1
OG0003339	XP_316791.5	XP_003397378.2
OG0003340	XP_315706.4	XP_020720961.1
OG0003341	XP_319696.4	XP_012175821.1
OG0003342	XP_562694.4	XP_012171940.2
OG0003343	XP_321721.5	XP_020722536.1, XP_012172667.1, XP_020722535.1
OG0003344	XP_317877.3	XP_003402169.1, XP_012173723.1
OG0003345	XP_308557.2	XP_003398987.1
OG0003346	XP_311628.4	XP_020723225.1
OG0003347	XP_321371.3	XP_012163635.1
OG0003348	XP_315400.4	XP_012166030.1
OG0003349	XP_312193.4	XP_012166175.1, XP_020719519.1
OG0003350	XP_309608.4, XP_003436700.1	XP_003395818.1
OG0003351	XP_313396.5	XP_003403358.1
OG0003352	XP_317997.3	XP_012171186.1
OG0003353	XP_311155.4	XP_012176447.1
OG0003354	XP_321621.5	XP_012168185.1
OG0003355	XP_554113.3	XP_012167676.1
OG0003356	XP_312148.3	XP_003402210.1
OG0003357	XP_003436690.1, XP_318484.5	XP_012163819.1
OG0003358	XP_311877.3, XP_001237398.2	XP_012176186.1
OG0003360	XP_562993.2	XP_012175935.1
OG0003361	XP_317535.4	XP_003402702.1
OG0003362	XP_310522.2	XP_012169143.1
OG0003363	XP_559661.3, XP_003436641.1, XP_003436640.1	XP_003394031.1
OG0003364	XP_309214.2, XP_003437170.1	XP_003398503.1
OG0003365	XP_314885.3	XP_003394552.1
OG0003366	XP_001687820.2	XP_003397827.1
OG0003367	XP_311999.4	XP_003401083.1
OG0003368	XP_312831.5, XP_003436405.1	XP_020721065.1
OG0003370	XP_311530.4	XP_012172730.1, XP_012172744.1, XP_012172738.1
OG0003371	XP_321691.5, XP_003435832.1	XP_012170915.1, XP_003400168.1
OG0003372	XP_317806.4	XP_003394694.1
OG0003373	XP_311969.5	XP_012173294.1, XP_003401873.1
OG0003374	XP_003436801.1, XP_313675.5	XP_003395675.1
OG0003375	XP_001237161.2	XP_003403093.1
OG0003376	XP_321875.3	XP_003393800.1
OG0003377	XP_307961.5	XP_020724121.1
OG0003378	XP_563746.4, XP_003436124.1	XP_003402130.1
OG0003379	XP_552892.3	XP_012171119.1
OG0003380	XP_321784.3	XP_012170032.1
OG0003382	XP_564289.3	XP_003401411.1
OG0003383	XP_315952.3	XP_003400839.1
OG0003384	XP_553424.2, XP_318581.1	XP_003400187.1, XP_012170937.1
OG0003385	XP_314634.4	XP_003393271.1
OG0003386	XP_319747.4, XP_319748.4	XP_020722228.1, XP_003400574.1
OG0003387	XP_319398.3	XP_012174698.1, XP_003393798.1
OG0003388	XP_317696.4	XP_012171064.1
OG0003389	XP_315821.2, XP_312174.4	XP_012166547.1
OG0003390	XP_024667087.1, XP_314897.4	XP_012170451.1
OG0003392	XP_312997.5	XP_020722516.1
OG0003393	XP_319666.2	XP_003396408.1, XP_012165441.1
OG0003394	XP_312870.1	XP_003394195.1
OG0003395	XP_319244.3	XP_012170429.1
OG0003396	XP_563533.3	XP_003400093.1
OG0003397	XP_310658.4	XP_012170199.1
OG0003399	XP_557716.2, XP_314679.4	XP_003395681.1
OG0003400	XP_315928.3	XP_003394203.1
OG0003401	XP_321165.5	XP_012174733.1
OG0003402	XP_311544.3	XP_003400904.1
OG0003403	XP_311141.5	XP_003398686.1
OG0003404	XP_001689173.1	XP_012175889.1
OG0003405	XP_317815.4	XP_003402674.1
OG0003406	XP_562353.4	XP_020718332.1
OG0003407	XP_313762.5	XP_012174891.2, XP_012171230.1
OG0003408	XP_310525.5, XP_001688291.2	XP_012163653.1
OG0003409	XP_310125.4	XP_003397420.1
OG0003410	XP_319290.3	XP_003397456.1
OG0003411	XP_565108.3	XP_003393003.1
OG0003412	XP_003436241.1	XP_012165317.1, XP_020719328.1
OG0003413	XP_001237047.2	XP_003393951.1, XP_012175666.1
OG0003414	XP_320309.4	XP_003402116.1
OG0003416	XP_314563.4	XP_003400888.1
OG0003417	XP_318119.3	XP_012163159.1, XP_003394872.1
OG0003418	XP_553774.3	XP_012174546.1
OG0003419	XP_321964.4	XP_003398727.1
OG0003420	XP_312410.3	XP_003397430.1
OG0003421	XP_316663.4	XP_003397388.1
OG0003422	XP_320576.3, XP_001238263.2	XP_020718945.1, XP_020718838.1, XP_020718951.1
OG0003423	XP_308518.4	XP_003394231.1
OG0003424	XP_310372.3	XP_003398125.1
OG0003425	XP_312411.4	XP_003397438.1
OG0003426	XP_307932.5	XP_012166342.1
OG0003427	XP_311930.4	XP_012174792.1
OG0003428	XP_309328.3	XP_012173657.1
OG0003429	XP_564510.2	XP_020723827.1
OG0003430	XP_309319.4	XP_020719803.1
OG0003431	XP_322064.4	XP_003398714.1
OG0003432	XP_308098.4	XP_012166277.1
OG0003433	XP_001230474.2, XP_319216.4	XP_020719223.1, XP_012165947.1
OG0003435	XP_315335.4	XP_003396357.1
OG0003436	XP_311022.5	XP_003396482.1
OG0003437	XP_318197.4	XP_020723885.1
OG0003438	XP_311140.4	XP_020718677.1
OG0003439	XP_313565.4	XP_020722958.1, XP_020722959.1, XP_012172931.1, XP_012172932.1, XP_020722957.1
OG0003441	XP_558128.3	XP_003394510.1
OG0003442	XP_309769.4	XP_003398932.1
OG0003444	XP_319704.4	XP_012170821.2
OG0003445	XP_318322.5	XP_003393575.1
OG0003446	XP_001688970.1	XP_003394673.1
OG0003447	XP_312147.2	XP_003400493.1
OG0003448	XP_314324.4	XP_020719521.1
OG0003449	XP_308386.4, XP_001687912.1	XP_012166095.2
OG0003450	XP_003436452.1, XP_314250.3	XP_003394524.1
OG0003451	XP_003436706.1, XP_003436705.1, XP_309626.4	XP_012175637.1
OG0003452	XP_312883.4	XP_012167551.1, XP_003397866.1
OG0003453	XP_321941.1	XP_012164659.1, XP_003395902.1, XP_012164658.1, XP_020719088.1
OG0003454	XP_309748.2	XP_003402092.1, XP_012173374.1
OG0003455	XP_311362.3	XP_012166419.1, XP_012166418.1, XP_012166420.1
OG0003456	XP_315565.3	XP_003393586.1
OG0003457	XP_310262.5	XP_003397544.1
OG0003458	XP_312562.2	XP_020722383.1
OG0003460	XP_312517.5	XP_003393593.2
OG0003462	XP_001237307.3	XP_012169183.1
OG0003463	XP_311826.5, XP_003436365.1, XP_003436364.1, XP_003436366.1	XP_003398065.1
OG0003464	XP_564835.2, XP_001687942.1, XP_001687943.1	XP_003393068.1, XP_012163643.1
OG0003465	XP_309088.3	XP_012170130.1
OG0003466	XP_318583.4	XP_003403100.1
OG0003467	XP_310425.3	XP_003397188.1
OG0003468	XP_559078.3	XP_012170491.1
OG0003470	XP_315949.4	XP_003401292.1
OG0003471	XP_310537.4	XP_012166543.1, XP_003397209.1
OG0003472	XP_320187.4	XP_020724289.1
OG0003473	XP_003436944.1, XP_003436943.1, XP_310894.3	XP_003399117.1
OG0003474	XP_311945.4	XP_003395173.1
OG0003475	XP_309774.1, XP_313699.3	XP_012167161.1
OG0003476	XP_318503.4	XP_012172672.1
OG0003477	XP_311197.3	XP_012168386.1, XP_012168385.1
OG0003478	XP_309517.4	XP_012175129.1
OG0003479	XP_001688790.1, XP_556823.3	XP_003402562.1
OG0003480	XP_319052.4	XP_020719042.1, XP_020719041.1
OG0003481	XP_315378.2	XP_020720651.1
OG0003482	XP_320641.4	XP_012164772.1
OG0003483	XP_313029.4	XP_003395520.1
OG0003484	XP_003436225.1, XP_312198.5	XP_012164591.1
OG0003485	XP_309073.4	XP_012164420.1, XP_020718869.1
OG0003486	XP_308636.2	XP_003393625.1
OG0003487	XP_310540.4	XP_003401921.1
OG0003488	XP_320250.2	XP_003395652.1
OG0003489	XP_308845.4, XP_308847.4, XP_308846.4	XP_003393033.1
OG0003490	XP_562476.3	XP_003403029.1
OG0003491	XP_001237042.2	XP_020721001.1
OG0003493	XP_320679.4	XP_003399033.1
OG0003494	XP_307158.4, XP_313252.5	XP_003396915.1
OG0003495	XP_313693.4	XP_003401073.1
OG0003496	XP_001237693.2	XP_003396707.1
OG0003497	XP_314491.4	XP_012163541.1
OG0003498	XP_311461.2	XP_003392871.1
OG0003499	XP_562878.4, XP_003436398.1, XP_001687785.1	XP_012171291.1
OG0003500	XP_314038.3	XP_012168790.1, XP_012168789.1
OG0003501	XP_320714.4	XP_003402365.1
OG0003502	XP_321885.2	XP_003396994.1
OG0003503	XP_311469.2	XP_003394479.1
OG0003504	XP_310766.5	XP_003402180.1
OG0003506	XP_001689027.1	XP_012175765.1
OG0003507	XP_001238161.2	XP_020722171.1
OG0003508	XP_311745.5	XP_003398733.1
OG0003509	XP_319358.4	XP_012174478.1
OG0003510	XP_308385.3	XP_003393502.1
OG0003511	XP_307786.5	XP_003398635.2, XP_020723871.1, XP_003403409.2
OG0003512	XP_321806.4	XP_012164666.1
OG0003513	XP_315976.4, XP_001688759.1	XP_012167836.1
OG0003515	XP_312912.4, XP_003436419.1	XP_020718715.1, XP_012164209.1
OG0003517	XP_003437144.1, XP_309129.3	XP_003399368.1
OG0003518	XP_313155.3	XP_003399079.1
OG0003519	XP_320238.3	XP_012172952.1, XP_012172951.1, XP_003401684.1, XP_012172954.1
OG0003520	XP_309330.4	XP_003402231.1
OG0003521	XP_563719.3	XP_012167293.1
OG0003523	XP_001238576.3	XP_012166747.1
OG0003524	XP_003436809.1, XP_003436810.1, XP_562185.3, XP_003436808.1	XP_020722814.1
OG0003525	XP_308856.3	XP_003395919.1
OG0003526	XP_311682.5	XP_012171650.1
OG0003527	XP_315176.5	XP_020718438.1
OG0003529	XP_001689044.1	XP_020718265.1, XP_012175898.1
OG0003530	XP_312550.4	XP_020722430.1
OG0003531	XP_308708.3	XP_012170751.1
OG0003532	XP_310402.4	XP_003399690.1
OG0003533	XP_318087.2	XP_003397508.1
OG0003534	XP_309452.4	XP_012172617.1
OG0003535	XP_321605.3	XP_003393281.1
OG0003536	XP_310984.4	XP_003397936.1
OG0003538	XP_309785.4	XP_003397552.1
OG0003539	XP_317509.1	XP_003393064.1
OG0003540	XP_001230805.1	XP_012163734.1
OG0003541	XP_001231185.2, XP_322031.4	XP_003399070.1
OG0003542	XP_319866.3	XP_003402488.1
OG0003543	XP_310644.5	XP_020723476.1
OG0003544	XP_314872.1	XP_003399716.1
OG0003545	XP_311200.5	XP_020721827.1
OG0003546	XP_312093.1	XP_003393420.1
OG0003547	XP_001688509.1	XP_012173687.1
OG0003549	XP_311520.4	XP_003398377.1
OG0003550	XP_319614.4	XP_020723417.1, XP_012174091.1
OG0003551	XP_316718.4, XP_001688953.1	XP_003400833.1, XP_012171880.1
OG0003552	XP_313737.5, XP_313738.5	XP_012173753.1
OG0003553	XP_316537.2	XP_003398337.1
OG0003554	XP_311415.4	XP_003401774.2
OG0003555	XP_309758.4	XP_003394162.1
OG0003556	XP_310923.4, XP_310922.4	XP_003401624.1
OG0003557	XP_311985.4	XP_003395315.1
OG0003558	XP_314485.3	XP_003398951.1
OG0003559	XP_003435902.1	XP_020720445.1
OG0003560	XP_313036.4	XP_020718562.1
OG0003561	XP_307342.3, XP_308525.2	XP_020722374.1, XP_003400946.1
OG0003563	XP_319213.4, XP_311311.5	XP_012176123.1
OG0003564	XP_319845.3	XP_012170707.1
OG0003565	XP_319973.4	XP_003396666.1
OG0003566	XP_308378.4	XP_012171759.1, XP_003400894.1
OG0003567	XP_312637.2	XP_020718824.1
OG0003568	XP_309374.4	XP_012169593.1
OG0003569	XP_001237363.3, XP_003436903.1	XP_012169599.2
OG0003570	XP_309978.4, XP_307032.4	XP_020722373.1, XP_012171932.1
OG0003571	XP_311699.2	XP_003401325.1
OG0003572	XP_313023.4	XP_012172795.1
OG0003573	XP_311104.5	XP_012163535.1
OG0003574	XP_322008.3	XP_003397736.1
OG0003575	XP_312432.3	XP_012173751.1
OG0003576	XP_319369.4	XP_012167998.2
OG0003577	XP_557912.3	XP_012167897.1
OG0003578	XP_315000.4	XP_003402630.1
OG0003579	XP_321252.4, XP_003435950.1	XP_012168001.1
OG0003580	XP_309104.5, XP_315349.3	XP_003401655.1
OG0003581	XP_308306.4	XP_003395903.1
OG0003583	XP_320622.4	XP_012176544.1
OG0003584	XP_311553.4	XP_003401911.1
OG0003585	XP_313499.5	XP_003397704.1
OG0003586	XP_317995.1, XP_306327.2	XP_003395092.1
OG0003587	XP_318827.4	XP_012173353.1
OG0003588	XP_312083.5	XP_020718806.1
OG0003589	XP_310394.5, XP_001230761.2	XP_003402285.1
OG0003591	XP_003437209.1, XP_317975.4	XP_012176698.1
OG0003592	XP_313912.4	XP_012164576.1
OG0003593	XP_311537.4	XP_012164855.1
OG0003595	XP_315665.3	XP_020720894.1, XP_003398697.1, XP_012168705.1
OG0003596	XP_320759.4	XP_003397233.1
OG0003597	XP_552630.3	XP_012175919.2, XP_012175918.1
OG0003598	XP_317960.1	XP_012167375.1
OG0003599	XP_311172.4	XP_012166821.1
OG0003600	XP_313714.5	XP_020723269.1, XP_020723268.1, XP_012173861.1
OG0003601	XP_312365.4	XP_003395629.1
OG0003602	XP_320881.2	XP_012170769.1, XP_003403387.2
OG0003603	XP_310386.6	XP_003399042.1, XP_012169235.1
OG0003604	XP_315742.4	XP_012169956.1
OG0003605	XP_308485.4, XP_308486.4	XP_012166042.1
OG0003606	XP_316034.4	XP_020718317.1
OG0003607	XP_315620.4	XP_012165162.1
OG0003608	XP_317283.4	XP_012163239.1
OG0003609	XP_559710.2	XP_012166936.2
OG0003610	XP_321483.5	XP_003394611.2
OG0003611	XP_001689268.1	XP_003398763.1
OG0003612	XP_315055.2	XP_012172194.1
OG0003613	XP_003435961.1, XP_321193.4	XP_003394301.1
OG0003614	XP_317213.1	XP_003394584.1
OG0003615	XP_317361.4	XP_003395483.1
OG0003616	XP_321876.5	XP_012169719.1
OG0003617	XP_314940.4	XP_020723165.1
OG0003618	XP_319406.3	XP_003400995.1
OG0003619	XP_312335.5	XP_003398224.1
OG0003620	XP_317920.4	XP_020723368.1
OG0003621	XP_314366.4	XP_012173204.1
OG0003623	XP_564580.2	XP_020719351.1
OG0003624	XP_318735.4	XP_012174115.1
OG0003625	XP_564385.3	XP_012171227.1
OG0003626	XP_308578.4, XP_001688008.1, XP_001237106.2, XP_308569.3, XP_001238323.2	XP_012172164.1
OG0003627	XP_314244.5, XP_306267.4, XP_314239.5	XP_012172938.2
OG0003628	XP_003437158.1, XP_003437161.1, XP_309162.5, XP_003437159.1, XP_003437160.1	XP_003397605.1
OG0003629	XP_313294.4, XP_003436523.1	XP_003401146.1
OG0003630	XP_312434.5	XP_012168911.2
OG0003631	XP_564645.3	XP_012176565.1, XP_012176564.1
OG0003632	XP_313744.4, XP_003436820.1, XP_003436821.1	XP_020720474.1
OG0003634	XP_321890.5	XP_003399197.1
OG0003635	XP_001689043.1	XP_012164787.1
OG0003636	XP_317123.4	XP_020721799.1, XP_003400090.1
OG0003637	XP_307928.5	XP_012174947.1
OG0003638	XP_320852.4	XP_012167857.1
OG0003639	XP_320598.4	XP_003398728.1
OG0003640	XP_553651.3, XP_318890.3	XP_020721121.1
OG0003641	XP_318401.5	XP_020722906.1
OG0003642	XP_318405.4	XP_012172877.1
OG0003643	XP_308696.4	XP_020721960.1
OG0003644	XP_556667.3, XP_316031.4	XP_012171534.1
OG0003645	XP_309180.5	XP_012176334.1
OG0003647	XP_558004.3, XP_001688580.1	XP_012176133.2
OG0003648	XP_320564.3	XP_020722335.1
OG0003649	XP_318373.5	XP_012170372.1, XP_012170367.1
OG0003650	XP_001689174.1	XP_020724206.1
OG0003655	XP_310507.4, XP_001687772.2, XP_310506.4	XP_003393295.1
OG0003656	XP_318882.4	XP_012175963.1
OG0003657	XP_320823.3	XP_012170011.1
OG0003658	XP_556056.3, XP_001688660.1	XP_012175099.1
OG0003660	XP_001230753.3, XP_003436601.1	XP_020720578.1
OG0003661	XP_306307.3, XP_320390.3	XP_012167107.1
OG0003662	XP_001688380.1	XP_020723661.1
OG0003664	XP_553055.2	XP_012164618.1
OG0003665	XP_320788.4	XP_012164802.1
OG0003666	XP_320648.4	XP_003396069.1
OG0003667	XP_310547.4	XP_012173324.1
OG0003668	XP_554420.4	XP_012169584.1
OG0003669	XP_001238012.1	XP_003400215.1
OG0003670	XP_317334.3	XP_003399292.1, XP_020721304.1, XP_020721303.1
OG0003671	XP_316312.3	XP_003394632.1
OG0003673	XP_563488.3	XP_020721729.1, XP_012169850.1, XP_012169851.1
OG0003674	XP_312671.5	XP_012169014.1, XP_012169013.1
OG0003675	XP_003436492.1, XP_560016.3	XP_003393766.1
OG0003676	XP_001688341.2	XP_012174448.1
OG0003677	XP_310669.5	XP_012163989.1
OG0003679	XP_308358.4	XP_012165818.1
OG0003680	XP_308150.3, XP_001687844.1	XP_020720724.1, XP_020720727.1
OG0003681	XP_316151.4	XP_003397161.1
OG0003682	XP_309044.4, XP_001688156.1	XP_012168180.1
OG0003683	XP_320854.3, XP_310757.4	XP_020723372.1, XP_003393709.1
OG0003684	XP_001238181.1	XP_003400693.1
OG0003685	XP_314511.4	XP_012171647.1
OG0003686	XP_322050.5	XP_020723680.1
OG0003687	XP_320808.3	XP_012164237.1
OG0003688	XP_309435.4, XP_309436.3	XP_020722732.1
OG0003690	XP_003435818.1	XP_003395748.1
OG0003691	XP_564133.3	XP_012173978.1
OG0003692	XP_321211.4	XP_020723394.1
OG0003693	XP_316336.4	XP_020720757.1
OG0003694	XP_565666.4	XP_003400326.1
OG0003709	XP_321230.2	XP_003394858.1
OG0003710	XP_318556.2	XP_012176347.1
OG0003711	XP_307724.4	XP_003399787.1
OG0003712	XP_313349.1, XP_003436533.1	XP_003398378.1
OG0003713	XP_554781.3	XP_012176145.1
OG0003714	XP_307878.4	XP_003397274.1
OG0003715	XP_315691.3	XP_012165426.1
OG0003716	XP_320365.2	XP_012173401.1, XP_012173402.1
OG0003719	XP_316101.4	XP_003398188.1
OG0003720	XP_310460.5	XP_012170722.1
OG0003721	XP_307784.1, XP_003436431.1, XP_003436430.1, XP_003436432.1	XP_012175060.1
OG0003722	XP_309926.3	XP_003392860.1
OG0003723	XP_314780.3	XP_003402655.1
OG0003724	XP_552242.3	XP_003403107.1
OG0003726	XP_316550.3	XP_012164471.1, XP_012164472.1, XP_003395340.1
OG0003727	XP_001230831.2	XP_003394476.1, XP_012176414.1
OG0003728	XP_313192.3, XP_001230317.2	XP_012164327.1
OG0003729	XP_315204.2	XP_003398256.1
OG0003730	XP_313569.5	XP_003403345.1
OG0003731	XP_316185.3	XP_003394616.1
OG0003732	XP_320086.3	XP_003402554.1
OG0003733	XP_307339.3, XP_319298.3	XP_003398287.1
OG0003734	XP_312238.3	XP_003400687.1
OG0003735	XP_313782.3	XP_003401424.1
OG0003736	XP_559757.1	XP_012175878.1
OG0003737	XP_315094.1	XP_003396800.1
OG0003738	XP_314068.2	XP_003395291.1
OG0003739	XP_314469.4	XP_003401518.1
OG0003740	XP_317396.3	XP_003401553.1
OG0003741	XP_308810.3	XP_003396719.1
OG0003742	XP_320195.4	XP_012163334.1
OG0003743	XP_001689074.1, XP_317989.3, XP_001689073.1	XP_012165953.1
OG0003744	XP_321378.5	XP_003400991.1
OG0003745	XP_307637.2	XP_003394350.1
OG0003746	XP_320161.2	XP_012163881.1
OG0003747	XP_312468.5	XP_020718372.1
OG0003749	XP_321468.5	XP_003400317.1
OG0003750	XP_321339.5	XP_012168130.1
OG0003751	XP_318530.4	XP_012175469.1, XP_012168014.1
OG0003752	XP_314839.4	XP_012164661.1
OG0003753	XP_308054.4	XP_012172907.1
OG0003754	XP_317313.4	XP_012171814.1
OG0003755	XP_308572.1	XP_003398815.1
OG0003756	XP_003436266.1, XP_312060.3	XP_003395667.1
OG0003757	XP_320869.2	XP_003401545.1
OG0003758	XP_313585.4	XP_003394907.1
OG0003759	XP_003436070.1, XP_307924.5	XP_003398720.2
OG0003760	XP_003437010.1, XP_310595.2, XP_308748.2	XP_003394717.1
OG0003761	XP_320415.2	XP_012166085.1
OG0003762	XP_311723.4	XP_003394458.1
OG0003763	XP_003436301.1	XP_003401036.1
OG0003765	XP_003436025.1, XP_003436024.1, XP_320958.3	XP_003399812.1
OG0003766	XP_310502.5	XP_003394009.1, XP_012174123.1
OG0003767	XP_315982.2	XP_003395306.1
OG0003768	XP_312630.2	XP_003402853.1
