Orthogroup	Anopheles_gambiae	Drosophila_melanogaster
OG0004408	XP_320152.4	NP_001287062.1
OG0004409	XP_311589.4	NP_524182.3
OG0004410	XP_560403.3	NP_651927.1
OG0004411	XP_308839.2	NP_001163296.1
OG0004412	XP_314028.3	NP_609399.1
OG0004413	XP_001688479.1, XP_313945.3	NP_001137696.1
OG0004414	XP_316150.4	NP_001261930.1
OG0004415	XP_313866.5	NP_001036718.1, NP_650551.1
OG0004416	XP_556948.3	NP_001261410.1
OG0004417	XP_313741.5	NP_001260142.1
OG0004418	XP_024667075.1	NP_610327.1, NP_724615.1
OG0004419	XP_001237538.3, XP_001688459.2	NP_001097352.1
OG0004420	XP_320432.3	NP_477283.1
OG0004421	XP_001230832.1, XP_003436476.1	NP_650270.1
OG0004422	XP_313187.5	NP_651243.1
OG0004423	XP_319791.4	NP_001285908.1
OG0004424	XP_314342.3	NP_001262473.1
OG0004425	XP_317243.4	NP_608827.1
OG0004426	XP_317593.4	NP_609783.1
OG0004427	XP_318657.4	NP_001285801.1, NP_609721.1
OG0004428	XP_308965.3	NP_648239.1
OG0004429	XP_003437020.1	NP_001259068.1
OG0004430	XP_003436927.1, XP_310982.3	NP_001259372.1
OG0004431	XP_313450.5	NP_996303.1
OG0004432	XP_315449.4	NP_001261247.1, NP_001261517.1
OG0004434	XP_001231086.2, XP_554563.3	NP_001285891.1
OG0004436	XP_001237457.2, XP_312362.3	NP_001259475.1
OG0004437	XP_312149.4	NP_001287385.1
OG0004438	XP_312262.4	NP_650751.3
OG0004439	XP_308308.4, XP_001687891.1	NP_995932.1
OG0004440	XP_320387.3	NP_611228.1
OG0004441	XP_321146.5	NP_523951.1
OG0004442	XP_316678.1	NP_650942.1
OG0004443	XP_317854.4	NP_611162.2
OG0004445	XP_310837.5	NP_650123.1
OG0004446	XP_001238182.2	NP_573142.1
OG0004447	XP_566117.4	NP_001284739.1
OG0004448	XP_314928.2	NP_608704.2, NP_001259956.1
OG0004449	XP_311519.3	NP_788342.1
OG0004450	XP_310814.5	NP_001285397.1
OG0004451	XP_316391.4, XP_001688854.1, XP_001688853.1	NP_728642.2
OG0004452	XP_003436887.1, XP_311627.4, XP_003436886.1	NP_732176.1
OG0004453	XP_308414.4	NP_610921.1
OG0004454	XP_313307.5	NP_524151.2
OG0004455	XP_312924.4, XP_312923.4	NP_001287493.1
OG0004457	XP_563061.3	NP_573232.1
OG0004458	XP_316653.4	NP_608825.2
OG0004459	XP_322065.3	NP_001162710.2
OG0004460	XP_307583.2, XP_313198.5	NP_477121.1
OG0004461	XP_310157.4	NP_608740.2
OG0004462	XP_003436977.1	NP_651528.2
OG0004463	XP_313387.4	NP_001027435.2
OG0004464	XP_315099.3, XP_003436770.1, XP_001688614.1	NP_001097493.1
OG0004465	XP_003437046.1, XP_310457.5	NP_649466.1
OG0004466	XP_314849.2	NP_608999.2
OG0004467	XP_317019.4	NP_608883.1
OG0004469	XP_314026.4	NP_572952.1
OG0004470	XP_313821.3	NP_001259370.1
OG0004471	XP_314945.1	NP_477202.2
OG0004472	XP_309363.3	NP_001137613.1
OG0004473	XP_315205.4	NP_524462.2
OG0004475	XP_313608.5	NP_001262708.1
OG0004478	XP_314540.4	NP_524183.2
OG0004479	XP_317371.3	NP_610333.1
OG0004480	XP_315531.3	NP_651582.1
OG0004481	XP_318161.4	NP_001259161.1
OG0004482	XP_314011.4	NP_733068.2, NP_001261049.1
OG0004483	XP_310873.5	NP_651314.1
OG0004484	XP_320042.3	NP_608777.1
OG0004485	XP_309080.4, XP_001237175.2	NP_001247347.1
OG0004486	XP_312626.4	NP_608781.2
OG0004487	XP_311891.3, XP_003436345.1, XP_003436344.1	NP_726358.2
OG0004489	XP_320903.3	NP_651251.3
OG0004490	XP_561433.2, XP_309710.1	NP_648780.1
OG0004491	XP_310115.3	NP_650248.1
OG0004492	XP_320194.4	NP_611300.2
OG0004493	XP_321936.5, XP_003435780.1, XP_003435779.1	NP_651664.2
OG0004494	XP_320943.5	NP_476901.1
OG0004495	XP_308217.4	NP_724769.2
OG0004496	XP_320863.4	NP_651349.1
OG0004498	XP_316179.4	NP_001246734.1
OG0004499	XP_321476.5	NP_733352.3
OG0004500	XP_310935.5, XP_319360.4	NP_651635.2
OG0004501	XP_319778.4	NP_523615.2, NP_001260679.1
OG0004502	XP_318274.4	NP_001247091.1
OG0004503	XP_319693.4	NP_001027230.1
OG0004504	XP_320337.3	NP_001286484.1
OG0004505	XP_552411.3	NP_608388.2
OG0004506	XP_314009.4	NP_001286174.1
OG0004507	XP_317460.3	NP_001263099.1, NP_001303460.1
OG0004508	XP_319580.4	NP_569873.1
OG0004509	XP_308943.4	NP_001286999.1
OG0004510	XP_003436116.1, XP_312542.5, XP_003436115.1	NP_732773.1
OG0004511	XP_319901.2	NP_650686.1
OG0004512	XP_318487.4	NP_476975.1
OG0004513	XP_314020.2	NP_648570.1
OG0004514	XP_565448.3	NP_001260173.1
OG0004515	XP_320293.4	NP_001285130.1
OG0004516	XP_320917.3	NP_650432.1
OG0004517	XP_319699.3	NP_787963.2
OG0004518	XP_313825.5	NP_650939.2
OG0004519	XP_312476.5, XP_003436137.1	NP_001262894.1
OG0004520	XP_311560.3	NP_001245456.1
OG0004521	XP_312281.3	NP_511044.1
OG0004524	XP_311196.5	NP_572945.1
OG0004526	XP_316389.4	NP_001163323.1
OG0004527	XP_317231.4	NP_001260639.1
OG0004528	XP_315562.4	NP_001262168.1
OG0004529	XP_307193.3, XP_309656.4, XP_309429.5	NP_651081.1
OG0004530	XP_001230510.1, XP_001688268.1	NP_001260420.1
OG0004531	XP_311484.3	NP_001261906.1
OG0004532	XP_001237573.2, XP_001237572.1, XP_558110.3	NP_523465.2
OG0004533	XP_318516.3	NP_001262116.1
OG0004534	XP_309957.4	NP_001286215.1
OG0004535	XP_564464.3	NP_612103.1
OG0004536	XP_312266.1	NP_523708.2
OG0004537	XP_564217.3	NP_610279.3
OG0004538	XP_001688307.1	NP_572638.1
OG0004539	XP_314167.4	NP_001260821.1
OG0004540	XP_313854.3	NP_476979.1
OG0004541	XP_313014.4	NP_524344.1
OG0004542	XP_319665.4	NP_001260580.1
OG0004544	XP_309636.5	NP_524673.3
OG0004545	XP_319959.4	NP_001284713.1
OG0004547	XP_003436710.1, XP_003436709.1	NP_001015473.1
OG0004548	XP_316385.4	NP_001246804.1
OG0004549	XP_316811.4	NP_651718.1
OG0004550	XP_001230842.3	NP_573230.1
OG0004551	XP_559429.3, XP_001688873.1, XP_559379.4	NP_001245759.1
OG0004552	XP_313610.2	NP_733044.1
OG0004553	XP_309945.3	NP_001261278.1
OG0004554	XP_310544.5	NP_573190.1
OG0004555	XP_313770.4	NP_725632.1
OG0004556	XP_564818.3	NP_001163123.1
OG0004557	XP_003436255.1, XP_312081.5, XP_001688397.2	NP_651691.4
OG0004558	XP_550843.2	NP_649079.2
OG0004559	XP_307963.4	NP_649911.1
OG0004560	XP_562083.2	NP_650253.1
OG0004561	XP_317731.4	NP_609299.1
OG0004563	XP_316944.3	NP_732527.1
OG0004564	XP_314232.5	NP_001262636.1
OG0004565	XP_309189.4	NP_001260630.1
OG0004566	XP_319071.3	NP_608995.2
OG0004567	XP_001238474.3	NP_609446.1
OG0004568	XP_314893.4	NP_001286611.1
OG0004569	XP_001237618.1	NP_723811.1
OG0004570	XP_557691.3	NP_477431.1, NP_001285857.1
OG0004571	XP_321340.5	NP_001263057.1
OG0004572	XP_320014.4	NP_001260556.1
OG0004573	XP_308537.4	NP_523947.2
OG0004574	XP_308118.2	NP_649784.1
OG0004575	XP_319131.4	NP_476656.1
OG0004576	XP_311261.5	NP_572694.1
OG0004577	XP_314788.4	NP_001286657.1
OG0004578	XP_321742.4, XP_003435817.1	NP_001036641.1
OG0004579	XP_310685.5	NP_572353.1
OG0004580	XP_003436733.1, XP_313065.4	NP_650835.1
OG0004581	XP_001237968.1	NP_001260163.1
OG0004582	XP_320478.4	NP_727091.1
OG0004583	XP_321745.4	NP_524429.1
OG0004584	XP_321118.5	NP_001262802.1
OG0004585	XP_001687966.1	NP_573352.2
OG0004586	XP_317781.4	NP_477329.1
OG0004587	XP_319371.2	NP_001260046.1
OG0004588	XP_319442.1	NP_477395.1
OG0004589	XP_313694.2	NP_524308.2
OG0004590	XP_314012.3	NP_476927.1
OG0004591	XP_321123.4	NP_572160.1
OG0004592	XP_320908.2	NP_524331.2
OG0004593	XP_557186.3	NP_729802.1
OG0004594	XP_311940.5, XP_003436325.1	NP_476995.1
OG0004596	XP_310885.4	NP_001262598.1
OG0004597	XP_553165.2	NP_001188830.1
OG0004598	XP_308574.4	NP_611335.1
OG0004599	XP_319650.4	NP_001246025.1
OG0004600	XP_564500.3	NP_610172.1
OG0004601	XP_308924.2	NP_523528.1
OG0004602	XP_315959.4	NP_996031.1
OG0004603	XP_321133.5, XP_003435970.1	NP_001162897.1
OG0004605	XP_317491.2	NP_001286057.1
OG0004606	XP_317789.4	NP_609535.1
OG0004607	XP_319914.2	NP_001286102.1
OG0004608	XP_316863.5	NP_648294.1, NP_650191.1
OG0004609	XP_310512.4, XP_003437032.1	NP_001259382.1
OG0004610	XP_314998.4	NP_001259243.1
OG0004611	XP_316945.3	NP_648486.1
OG0004612	XP_314130.3	NP_572303.4
OG0004613	XP_319727.3	NP_611943.1
OG0004614	XP_317943.2	NP_001261836.1
OG0004615	XP_320644.4	NP_648669.1
OG0004616	XP_315285.3	NP_001189103.1
OG0004617	XP_550827.4	NP_651407.3
OG0004618	XP_559924.1, XP_321393.5, XP_310699.5	NP_001097000.1
OG0004619	XP_316314.2	NP_001261931.1
OG0004620	XP_315108.4	NP_523782.1
OG0004621	XP_306103.4, XP_003436418.1	NP_608544.1
OG0004623	XP_311499.3, XP_311497.4	NP_730435.2
OG0004624	XP_315883.4	NP_511165.1
OG0004625	XP_316123.4	NP_788494.1
OG0004627	XP_001689246.1	NP_648657.1
OG0004628	XP_316484.4	NP_524190.2
OG0004629	XP_316373.4	NP_001259964.1
OG0004630	XP_556128.2	NP_648838.3
OG0004631	XP_310341.7, XP_307299.3, XP_003436617.1, XP_003436616.1	NP_001259553.1
OG0004632	XP_319742.3	NP_610605.1
OG0004633	XP_308812.2	NP_477385.1
OG0004634	XP_003436011.1, XP_321009.5	NP_609085.1, NP_001096868.3
OG0004635	XP_316671.4	NP_001246458.1
OG0004636	XP_316886.4	NP_610311.1
OG0004637	XP_557244.3	NP_001246862.1
OG0004638	XP_320928.4	NP_001285788.1
OG0004639	XP_308335.3	NP_610589.2
OG0004640	XP_312415.5	NP_001097639.2
OG0004641	XP_562226.4	NP_611248.3
OG0004642	XP_001230745.3	NP_001097280.2
OG0004643	XP_561285.1, XP_318587.4	NP_001260109.1
OG0004644	XP_311294.5	NP_001263138.1
OG0004645	XP_319750.4	NP_001334718.1
OG0004646	XP_319545.5	NP_001262454.1
OG0004647	XP_312591.4, XP_003436101.1	NP_001262819.1
OG0004648	XP_316599.4, XP_001688911.1	NP_001246859.1
OG0004649	XP_311028.4	NP_001284963.1
OG0004650	XP_310169.4	NP_001162873.1, NP_001261505.1
OG0004652	XP_321819.4	NP_649555.1
OG0004653	XP_314138.4	NP_610683.1
OG0004654	XP_313344.3	NP_001262170.1, NP_001097499.1
OG0004655	XP_316109.4	NP_788538.2
OG0004656	XP_317249.2	NP_609111.1
OG0004657	XP_001230990.3	NP_524994.2
OG0004658	XP_308727.4	NP_001260879.1
OG0004659	XP_317385.4	NP_001097336.1
OG0004660	XP_315026.4	NP_001137912.1
OG0004661	XP_316155.4, XP_316154.4	NP_648315.1
OG0004662	XP_312336.5	NP_001163512.1
OG0004663	XP_312665.4	NP_524538.2
OG0004664	XP_001230465.1, XP_319506.4	NP_524129.1, NP_001027281.1
OG0004666	XP_316502.4	NP_649137.3
OG0004667	XP_308366.3	NP_612028.4
OG0004668	XP_314700.4	NP_001287459.1
OG0004669	XP_319231.4	NP_610850.1
OG0004670	XP_316831.5	NP_608450.1
OG0004671	XP_316423.3	NP_001036433.1
OG0004672	XP_321817.5	NP_001262765.1
OG0004673	XP_001688170.2, XP_003437163.1	NP_001284934.1
OG0004674	XP_312818.4	NP_001285279.1
OG0004675	XP_311209.3	NP_001284969.1
OG0004676	XP_317734.4	NP_001260366.1
OG0004676	XP_307207.3	NP_572675.1
OG0004677	XP_316633.4	NP_001286952.1
OG0004678	XP_320425.3	NP_650002.1
OG0004679	XP_001237899.1	NP_725520.3
OG0004680	XP_317754.2	NP_001097824.1
OG0004681	XP_003435813.1, XP_321767.5, XP_003435812.1	NP_731599.1
OG0004682	XP_554918.3	NP_608573.1
OG0004683	XP_321734.4	NP_001262946.1
OG0004684	XP_313777.5	NP_001027422.1
OG0004685	XP_318396.5	NP_524302.1
OG0004686	XP_317295.4	NP_477339.1
OG0004687	XP_317601.4	NP_611382.1
OG0004688	XP_307903.2	NP_648505.1, NP_001036344.1
OG0004689	XP_319366.4	NP_001162848.1
OG0004691	XP_566038.3	NP_651942.2
OG0004692	XP_309077.3	NP_726604.1
OG0004693	XP_001230938.3	NP_524435.2, NP_001262805.1
OG0004694	XP_560174.3	NP_651794.2
OG0004695	XP_315923.3	NP_001246231.1
OG0004696	XP_313383.2, XP_003436541.1, XP_003436540.1	NP_001260810.1
OG0004697	XP_317483.2	NP_001286201.1
OG0004699	XP_314265.4	NP_650451.1
OG0004700	XP_310116.4	NP_726032.4
OG0004701	XP_315668.4	NP_648950.1
OG0004702	XP_318858.4	NP_610854.1
OG0004704	XP_321623.2	NP_569971.3
OG0004705	XP_563412.4	NP_001284818.1
OG0004706	XP_308141.2	NP_572323.1
OG0004707	XP_319850.2	NP_609174.1
OG0004708	XP_315475.4	NP_001097440.1
OG0004710	XP_318438.3	NP_725706.1, NP_725705.2
OG0004711	XP_001688167.2	NP_611009.1
OG0004712	XP_319309.3	NP_001162991.1
OG0004713	XP_308137.4, XP_003436656.1	NP_609942.1, NP_001188537.1
OG0004714	XP_320202.4	NP_001262192.1
OG0004715	XP_313817.5	NP_524221.1
OG0004716	XP_315872.3	NP_001286488.1
OG0004717	XP_316666.4	NP_477507.1
OG0004717	XP_316667.4	NP_001261024.1
OG0004718	XP_308549.3, XP_001687981.1	NP_001097489.1
OG0004719	XP_001688747.1, XP_315931.4, XP_001688748.1	NP_001246662.1
OG0004720	XP_313856.5	NP_729020.2, NP_651191.1
OG0004722	XP_557484.2	NP_652046.1
OG0004723	XP_321199.5	NP_001368982.1
OG0004724	XP_308435.3	NP_001027444.1
OG0004726	XP_315879.4	NP_523674.1
OG0004728	XP_001688634.1, XP_315337.2	NP_001286292.1
OG0004729	XP_321700.5, XP_003435827.1	NP_650353.1
OG0004730	XP_315718.3	NP_001261351.1, NP_001334707.1
OG0004731	XP_001238550.1	NP_001262744.1, NP_001138182.3
OG0004732	XP_314335.3	NP_651539.3
OG0004733	XP_313034.5	NP_524707.1, NP_524947.1, NP_001036602.1, NP_001262433.1
OG0004735	XP_319468.3	NP_001097240.1
OG0004736	XP_310348.6	NP_647832.1
OG0004737	XP_001237163.2	NP_650534.2
OG0004738	XP_313302.4	NP_511055.1
OG0004739	XP_319389.3, XP_319392.3	NP_609917.2
OG0004740	XP_316141.4	NP_660192.1
OG0004741	XP_311032.5	NP_001162673.1
OG0004743	XP_308648.3	NP_001261451.1
OG0004744	XP_311989.5	NP_727963.1
OG0004745	XP_317571.4	NP_609922.2
OG0004746	XP_309599.4, XP_024667079.1	NP_001260464.1
OG0004747	XP_321656.5	NP_001260155.1
OG0004748	XP_311569.4	NP_611410.1
OG0004751	XP_565317.3	NP_001097342.1
OG0004752	XP_312590.5	NP_650299.1
OG0004753	XP_321615.4	NP_523720.2
OG0004754	XP_320978.5, XP_565746.4	NP_001287619.1
OG0004755	XP_319476.4	NP_001014482.2
OG0004756	XP_317927.4	NP_648352.2
OG0004757	XP_318031.4	NP_608648.1
OG0004758	XP_003435867.1, XP_003435868.1, XP_321574.1	NP_728830.1
OG0004760	XP_001688871.1, XP_316486.4, XP_001688872.1	NP_001189150.1
OG0004761	XP_310462.5	NP_573316.1
OG0004762	XP_321129.5, XP_003435971.1, XP_001238435.3	NP_001284762.1
OG0004763	XP_311720.5	NP_651709.1
OG0004764	XP_308950.4	NP_523547.1
OG0004765	XP_309373.3	NP_001286547.1
OG0004766	XP_314001.3	NP_610283.1
OG0004767	XP_319173.1	NP_001245953.1
OG0004768	XP_319361.4	NP_001137784.1
OG0004769	XP_307772.4	NP_647830.1
OG0004771	XP_311396.4	NP_001259563.2
OG0004772	XP_312303.4	NP_001286324.1
OG0004773	XP_312241.4	NP_611139.1
OG0004774	XP_319458.3	NP_524841.1
OG0004775	XP_314472.4	NP_524310.1
OG0004777	XP_563710.4	NP_477165.1
OG0004778	XP_307883.5, XP_311269.5, XP_003437081.1	NP_573305.2
OG0004779	XP_311434.3	NP_609318.1
OG0004780	XP_320097.4	NP_001260600.1
OG0004781	XP_320404.2	NP_648498.1
OG0004782	XP_001688117.1	NP_001097696.1, NP_732055.1, NP_001097807.1, NP_651289.1
OG0004784	XP_312757.5	NP_609957.2
OG0004784	XP_309337.3	NP_611428.1
OG0004785	XP_321923.5	NP_651731.1
OG0004786	XP_317896.4	NP_001287041.1
OG0004788	XP_307926.5	NP_001262468.1, NP_001245504.1
OG0004789	XP_558222.3	NP_648346.1
OG0004791	XP_321122.4	NP_650898.1
OG0004792	XP_316194.4	NP_729053.2
OG0004793	XP_562342.4	NP_001163666.1
OG0004794	XP_318747.4	NP_611091.2
OG0004795	XP_001238158.2, XP_319448.3	NP_001163629.2
OG0004796	XP_312609.5	NP_001262885.1
OG0004797	XP_003435773.1, XP_003435774.1, XP_321948.5	NP_573034.1
OG0004799	XP_321599.4	NP_651365.1
OG0004800	XP_001688095.1, XP_308791.4	NP_001163479.1
OG0004801	XP_309099.4	NP_524622.1
OG0004802	XP_320079.4	NP_608878.1
OG0004802	XP_320080.3	NP_001285607.1
OG0004803	XP_320946.3	NP_723224.2
OG0004804	XP_316173.2	NP_611850.1
OG0004805	XP_314106.3	NP_001369043.1
OG0004807	XP_308576.3, XP_001688007.1, XP_001688005.1, XP_001688004.1, XP_001688006.1	NP_001260753.1, NP_525012.2
OG0004808	XP_309076.5, XP_003435722.1, XP_001688162.2	NP_001247109.1
OG0004809	XP_555753.3, XP_555752.3	NP_001260292.1, NP_609302.1
OG0004810	XP_317379.4	NP_001137822.1
OG0004813	XP_318923.2	NP_001259963.1
OG0004814	XP_320711.4	NP_477481.1
OG0004815	XP_313426.5	NP_001245501.1
OG0004816	XP_309754.4	NP_788296.1
OG0004817	XP_563794.3	NP_650016.1
OG0004818	XP_321157.5	NP_001262957.1
OG0004819	XP_320797.3	NP_524870.1
OG0004820	XP_319937.4	NP_724223.4
OG0004821	XP_001689070.2, XP_003437210.1, XP_003437211.1, XP_317976.4	NP_651832.3
OG0004822	XP_308080.4	NP_649251.2
OG0004823	XP_003435795.1, XP_321881.5	NP_610999.4
OG0004824	XP_311030.5	NP_573313.2
OG0004825	XP_321672.3	NP_611585.1
OG0004826	XP_312525.4	NP_729680.1
OG0004827	XP_311466.3	NP_524888.1, NP_611455.1
OG0004828	XP_307920.5	NP_001261664.1
OG0004829	XP_316573.2	NP_001286982.1
OG0004830	XP_321931.5	NP_729045.1, NP_573030.2
OG0004831	XP_003437088.1, XP_003437089.1, XP_311281.5	NP_477089.3
OG0004832	XP_312462.5	NP_001286934.1
OG0004833	XP_003435879.1	NP_648573.2
OG0004834	XP_308258.2	NP_001286810.1
OG0004835	XP_316961.4	NP_001137761.1
OG0004836	XP_001688076.1, XP_308766.4	NP_001261140.1
OG0004837	XP_319370.4	NP_608489.2
OG0004838	XP_317282.4	NP_609180.3
OG0004839	XP_310807.5, XP_003436966.1	NP_001356949.1
OG0004841	XP_309403.3	NP_001261061.1
OG0004842	XP_317333.3	NP_608562.4
OG0004843	XP_561137.5, XP_320324.3	NP_723087.1
OG0004844	XP_310591.5	NP_650787.1
OG0004845	XP_310812.3	NP_650203.3
OG0004846	XP_001687885.2	NP_001097259.2
OG0004847	XP_001237046.2	NP_788403.2
OG0004848	XP_310721.5, XP_003436981.1, XP_003436982.1, XP_003436980.1	NP_572427.1, NP_001356905.1
OG0004851	XP_316449.4	NP_001261455.1
OG0004852	XP_001238145.2	NP_788073.1
OG0004853	XP_315680.4, XP_556310.2	NP_524143.2
OG0004854	XP_313098.5	NP_996218.1
OG0004857	XP_316779.4	NP_788423.1
OG0004858	XP_312249.5	NP_001259102.1
OG0004859	XP_565734.4	NP_001262715.1
OG0004861	XP_003436684.1, XP_003436683.1, XP_003436682.1, XP_318454.5	NP_001262624.1
OG0004862	XP_309939.3	NP_572571.1
OG0004863	XP_321630.2	NP_572372.1
OG0004864	XP_001688003.1	NP_611336.1
OG0004865	XP_003437195.1	NP_733162.2
OG0004866	XP_316929.4	NP_722590.2
OG0004867	XP_308052.4	NP_572445.1
OG0004868	XP_001237316.2	NP_572437.2
OG0004869	XP_309361.4	NP_647717.1
OG0004870	XP_003436732.1, XP_313056.4	NP_001189234.1
OG0004871	XP_310862.5	NP_650924.3
OG0004872	XP_315556.4	NP_612093.1
OG0004873	XP_309441.4	NP_609731.1, NP_001096967.1
OG0004874	XP_314669.4	NP_523483.2
OG0004875	XP_321618.5	NP_523935.1
OG0004876	XP_321018.5	NP_732076.1
OG0004877	XP_311879.5	NP_511080.2
OG0004878	XP_317328.3	NP_609608.1
OG0004879	XP_001687955.1, XP_564896.3	NP_001014590.1
OG0004880	XP_319404.4	NP_001260114.1
OG0004883	XP_311229.5, XP_003437067.1, XP_311228.5	NP_610523.2
OG0004884	XP_315925.4, XP_315924.3	NP_648282.1, NP_648283.1, NP_648280.1
OG0004885	XP_311043.5	NP_612015.1
OG0004886	XP_320454.4, XP_320453.4	NP_610270.1
OG0004887	XP_312361.5, XP_003436160.1	NP_572771.1
OG0004888	XP_318108.3	NP_610872.1, NP_725289.1
OG0004889	XP_001689353.2	NP_001285269.1
OG0004892	XP_001688279.2	NP_477493.2
OG0004893	XP_552165.3	NP_001097380.1
OG0004894	XP_317236.4	NP_611833.1
OG0004895	XP_308075.2	NP_731339.1
OG0004896	XP_311463.4	NP_611836.2
OG0004897	XP_001238090.1	NP_608633.1
OG0004898	XP_552182.3	NP_001262184.1
OG0004899	XP_001237878.2	NP_001286031.1
OG0004900	XP_553095.3	NP_524751.3
OG0004901	XP_309078.4	NP_731570.2
OG0004902	XP_003436936.1, XP_310936.5	NP_001286117.1, NP_001036372.2
OG0004903	XP_309537.3	NP_001261903.1
OG0004904	XP_314561.4	NP_524601.2
OG0004905	XP_312645.4	NP_524454.2
OG0004905	XP_320464.4	NP_477404.1
OG0004907	XP_311256.5	NP_001285434.1, NP_573367.1, NP_001285435.1
OG0004908	XP_313574.5	NP_001137693.2
OG0004909	XP_316199.4	NP_572382.1
OG0004910	XP_001688373.2	NP_995623.2, NP_726097.1
OG0004911	XP_001237115.2	NP_726092.1
OG0004912	XP_320606.4	NP_524031.2
OG0004913	XP_001238156.1	NP_722687.1
OG0004914	XP_319902.4	NP_001260318.1
OG0004917	XP_309215.4, XP_001237203.1	NP_001097023.1, NP_001097021.1
OG0004918	XP_321421.5	NP_001247334.1
OG0004920	XP_311045.2	NP_001096958.1
OG0004921	XP_308536.4	NP_648828.3
OG0004922	XP_308184.4	NP_001286802.1
OG0004924	XP_308204.3	NP_788664.2, NP_731744.1
OG0004925	XP_315978.4, XP_315979.4, XP_001688760.1	NP_611822.1, NP_001261330.1
OG0004926	XP_308978.4	NP_001260818.1
OG0004927	XP_315649.4	NP_001356973.1
OG0004928	XP_309015.4	NP_001286365.1
OG0004930	XP_001688806.1	NP_611973.2
OG0004931	XP_309097.4	NP_001163196.1
OG0004932	XP_552951.2	NP_001137851.1
OG0004934	XP_319036.4	NP_001369081.1
OG0004935	XP_314793.4	NP_611533.2
OG0004938	XP_314826.4	NP_723202.2
OG0004939	XP_317037.4	NP_609371.2
OG0004941	XP_001688319.1	NP_001259695.1
OG0004943	XP_322017.4	NP_573360.1
OG0004944	XP_309494.3	NP_001286319.1
OG0004945	XP_309824.4	NP_573331.1
OG0004947	XP_321853.5	NP_649494.1
OG0004948	XP_003436756.1	NP_647808.1
OG0004949	XP_309934.4	NP_612032.1, NP_609430.1
OG0004951	XP_001238569.3	NP_001262918.1
OG0004952	XP_001230402.1, XP_001230719.2	NP_610720.1
OG0004976	XP_310377.7	NP_001260550.2
OG0004977	XP_317357.3	NP_611074.1
OG0004978	XP_319948.4	NP_001285674.1
OG0004979	XP_321710.2	NP_001034075.1, NP_652041.2
OG0004980	XP_307933.4	NP_650309.1, NP_001036640.1
OG0004981	XP_311268.5	NP_001259052.1, NP_651212.1
OG0004982	XP_318202.3	NP_651987.1
OG0004983	XP_558423.2, XP_313917.3	NP_477134.1
OG0004984	XP_320984.4	NP_651040.3
OG0004985	XP_320323.4	NP_001163061.1
OG0004986	XP_321892.3, XP_003435790.1	NP_648300.3
OG0004987	XP_001237358.3	NP_650726.1
OG0004988	XP_320347.4	NP_651614.1, NP_573110.1
OG0004989	XP_314882.4	NP_609363.1
OG0004990	XP_003435782.1, XP_321930.4	NP_001014633.2
OG0004991	XP_314225.5, XP_306101.3	NP_001260877.1
OG0004992	XP_313027.3	NP_608387.1
OG0004993	XP_321578.2	NP_650073.1
OG0004994	XP_320676.4	NP_001285124.1
OG0004995	XP_315947.2	NP_001261567.1
OG0004996	XP_315057.4	NP_651843.1, NP_476691.1
OG0004997	XP_318689.1	NP_001284943.1
OG0004998	XP_322009.2	NP_732309.1
OG0004999	XP_003435908.1, XP_321394.2	NP_649858.1
OG0005000	XP_312812.4	NP_001287236.1
OG0005001	XP_317991.3	NP_523737.1
OG0005002	XP_318538.3	NP_001263081.1
OG0005003	XP_317025.4	NP_652574.3, NP_001285734.1
OG0005004	XP_320916.2	NP_731983.1
OG0005005	XP_312806.2	NP_001287386.1
OG0005006	XP_310779.4	NP_609992.1
OG0005007	XP_318964.4	NP_001137607.1
OG0005008	XP_308155.2	NP_523836.2
OG0005009	XP_003437136.1, XP_309109.2	NP_001284928.1
OG0005010	XP_003436316.1	NP_001284908.1
OG0005011	XP_320662.3	NP_001286464.1
OG0005012	XP_320483.3	NP_723362.1
OG0005013	XP_314749.4	NP_523466.2
OG0005014	XP_564390.3	NP_523831.1
OG0005016	XP_309011.3	NP_651968.1
OG0005017	XP_311967.3	NP_610210.2, NP_649489.1
OG0005018	XP_321725.2	NP_001284900.1
OG0005019	XP_554644.2	NP_610818.1
OG0005020	XP_318826.3	NP_001188794.1
OG0005021	XP_312440.3	NP_572974.1
OG0005022	XP_315431.3	NP_525092.1, NP_650910.1
OG0005023	XP_001688508.1, XP_314041.4	NP_001246409.1
OG0005024	XP_317574.3	NP_477240.1
OG0005025	XP_001238360.1	NP_610676.2
OG0005026	XP_309913.4	NP_648456.2, NP_648470.2
OG0005027	XP_001238183.2	NP_609895.2
OG0005028	XP_001689018.1	NP_722835.1
OG0005029	XP_564060.2	NP_001262519.1
OG0005030	XP_315366.3	NP_648427.1
OG0005031	XP_313492.5	NP_651281.1
OG0005032	XP_321546.3	NP_001285823.1
OG0005033	XP_316586.4	NP_524197.1
OG0005034	XP_314797.4	NP_001260103.1
OG0005035	XP_320690.3	NP_523683.1, NP_724931.1, NP_610584.2
OG0005036	XP_001230272.1, XP_307508.3, XP_309497.4	NP_610886.2
OG0005037	XP_318468.4	NP_001261954.1
OG0005038	XP_314835.2	NP_001285678.1
OG0005041	XP_319221.1	NP_001260878.1
OG0005042	XP_313114.4	NP_651200.1
OG0005043	XP_310426.4	NP_651397.1
OG0005044	XP_317882.3	NP_572267.1, NP_524076.2
OG0005045	XP_320771.1	NP_725975.2
