Orthogroup	Polistes_dominula	Bombus_terrestris
OG0002923	XP_015187404.1	XP_012164789.1
OG0002924	XP_015191333.1	XP_012169344.1
OG0002925	XP_015180210.1	XP_003402338.1
OG0002926	XP_015182883.1	XP_012174462.1
OG0002927	XP_015188948.1	XP_012174258.1
OG0002928	XP_015185278.1, XP_015185280.1	XP_003397854.1
OG0002929	XP_015171726.1	XP_003396587.1, XP_012165601.1, XP_012165600.1
OG0002930	XP_015191166.1	XP_003394588.1
OG0002931	XP_015173623.1	XP_012175624.1
OG0002932	XP_015179506.1	XP_012174893.1, XP_003393812.1
OG0002933	XP_015187085.1	XP_020718761.1, XP_012164465.1, XP_012164464.1
OG0002934	XP_015184500.1	XP_012164412.1
OG0002935	XP_015179747.1	XP_003402417.1
OG0002936	XP_015179952.1	XP_003401063.1
OG0002938	XP_015184581.1	XP_012164574.1
OG0002940	XP_015191304.1	XP_003402302.2
OG0002941	XP_015187403.1	XP_003396165.1
OG0002942	XP_015182879.1	XP_020723517.1
OG0002943	XP_015189255.1	XP_020720490.1
OG0002944	XP_015183905.1	XP_003398275.1
OG0002945	XP_015181599.1	XP_012164184.1
OG0002946	XP_015186923.1	XP_003396063.1
OG0002947	XP_015175490.1	XP_003396946.1
OG0002948	XP_015180100.1	XP_003394562.1
OG0002949	XP_015175214.1	XP_003398587.1, XP_020720830.1, XP_020720831.1
OG0002950	XP_015175651.1	XP_003401468.1
OG0002951	XP_015175959.1	XP_003400807.1
OG0002952	XP_015184915.1	XP_003401504.1, XP_012172757.1
OG0002953	XP_015191169.1	XP_020721007.1
OG0002955	XP_015191146.1	XP_012174967.1
OG0002956	XP_015178823.1	XP_003396661.1
OG0002957	XP_015187549.1	XP_012171091.1
OG0002958	XP_015178100.1	XP_012169677.1
OG0002959	XP_015176827.1	XP_003396016.1
OG0002960	XP_015184813.1, XP_015184812.1	XP_003393694.2
OG0002961	XP_015188452.1	XP_003396881.1
OG0002962	XP_015175583.1	XP_003394506.1
OG0002963	XP_015186047.1	XP_003396049.1
OG0002964	XP_015176795.1	XP_012172996.1, XP_003401922.1
OG0002965	XP_015182612.1	XP_003395840.1, XP_012164371.1
OG0002966	XP_015172785.1	XP_012171935.1
OG0002967	XP_015182197.1	XP_003401693.1
OG0002968	XP_015187562.1	XP_003397961.1, XP_012167678.1
OG0002969	XP_015171506.1	XP_003400197.1
OG0002970	XP_015187114.1	XP_003401395.3
OG0002971	XP_015188939.1	XP_012174977.1
OG0002972	XP_015182102.1	XP_003398787.1
OG0002973	XP_015185109.1	XP_003396964.1
OG0002974	XP_015173159.1	XP_003401708.1
OG0002975	XP_015175160.1	XP_003398586.1
OG0002976	XP_015172461.1	XP_012169457.1
OG0002977	XP_015185372.1	XP_020719837.1, XP_020719834.1, XP_003397147.1, XP_020719835.1, XP_020719836.1
OG0002978	XP_015175241.1, XP_015175240.1	XP_003401713.1
OG0002979	XP_015183676.1	XP_003396579.1
OG0002980	XP_015178852.1	XP_020719383.1
OG0002981	XP_015175671.1, XP_015175670.1	XP_020718831.1
OG0002982	XP_015179302.1	XP_003393227.2
OG0002983	XP_015171568.1, XP_015171567.1	XP_012176693.1
OG0002984	XP_015177677.1	XP_003397467.1
OG0002985	XP_015186094.1, XP_015186093.1	XP_020723318.1
OG0002986	XP_015179621.1, XP_015179622.1	XP_003394370.1
OG0002987	XP_015181017.1	XP_020723409.1, XP_003402491.1, XP_012174097.1, XP_012174095.1
OG0002988	XP_015176719.1	XP_003398844.2
OG0002989	XP_015177527.1	XP_003393721.2
OG0002990	XP_015172712.1	XP_020722122.1
OG0002991	XP_015188131.1, XP_015188130.1	XP_012170308.1, XP_003399755.1, XP_020721630.1
OG0002992	XP_015176861.1	XP_020723005.1, XP_020723001.1
OG0002993	XP_015190854.1	XP_012166118.1, XP_012166113.1
OG0002994	XP_015171572.1, XP_015171574.1, XP_015171573.1	XP_003395130.1, XP_012163575.1
OG0002995	XP_015179528.1	XP_003402520.1
OG0002996	XP_015189243.1	XP_020723006.1, XP_012173239.1
OG0002997	XP_015191283.1	XP_003399460.2
OG0002998	XP_015178216.1	XP_003398405.1
OG0002999	XP_015183404.1, XP_015183401.1	XP_012168095.1
OG0003000	XP_015182616.1	XP_012166762.1
OG0003001	XP_015184884.1	XP_003399558.1
OG0003002	XP_015175130.1, XP_015175132.1	XP_003397872.1
OG0003003	XP_015174102.1, XP_015174110.1	XP_003393778.1
OG0003004	XP_015182424.1	XP_012175823.1
OG0003005	XP_015184550.1	XP_020718888.1
OG0003006	XP_015173534.1	XP_003400388.1
OG0003007	XP_015188849.1	XP_003396554.1
OG0003008	XP_015178184.1	XP_012163822.1
OG0003009	XP_015185504.1	XP_020723780.1
OG0003010	XP_015182169.1, XP_015182170.1	XP_003401698.1
OG0003011	XP_015190838.1, XP_015190837.1	XP_012164281.1
OG0003012	XP_015186470.1	XP_020722313.1, XP_012174843.1
OG0003013	XP_015178359.1, XP_015178360.1, XP_015178358.1	XP_003396909.1
OG0003014	XP_015172773.1	XP_012168851.1
OG0003015	XP_015189357.1	XP_012163887.1, XP_012163884.1, XP_012163886.1, XP_012163885.1
OG0003016	XP_015183262.1	XP_012163072.1
OG0003017	XP_015191438.1	XP_012169750.1
OG0003018	XP_015174990.1	XP_003402816.1, XP_012174653.1
OG0003019	XP_015180033.1	XP_003403033.1
OG0003020	XP_015191202.1	XP_003394620.1
OG0003021	XP_015185368.1	XP_012164268.1
OG0003022	XP_015187763.1	XP_020719753.1, XP_012166333.1
OG0003023	XP_015172807.1	XP_020722032.1, XP_012171377.1, XP_012171376.1
OG0003024	XP_015172780.1	XP_003400924.1
OG0003025	XP_015177163.1, XP_015177164.1	XP_003394230.2
OG0003026	XP_015172225.1, XP_015172226.1	XP_003398461.1
OG0003027	XP_015186145.1	XP_012173107.1
OG0003028	XP_015180288.1	XP_012163944.1
OG0003029	XP_015186055.1, XP_015188859.1	XP_012176628.1
OG0003030	XP_015183835.1	XP_012172870.1
OG0003031	XP_015187312.1	XP_003400893.1
OG0003032	XP_015186339.1, XP_015186347.1	XP_003401298.1
OG0003033	XP_015175499.1	XP_003396389.1
OG0003034	XP_015184357.1	XP_003392963.1
OG0003036	XP_015191043.1	XP_003400722.1, XP_012171638.1
OG0003037	XP_015173505.1	XP_012176397.1
OG0003038	XP_015177810.1	XP_003400089.1
OG0003039	XP_015171234.1	XP_003399535.1
OG0003040	XP_015183449.1	XP_012163391.2
OG0003041	XP_015175775.1	XP_012164476.1
OG0003042	XP_015174410.1	XP_003402127.1
OG0003043	XP_015182665.1	XP_012175004.1
OG0003044	XP_015182608.1	XP_003393287.1
OG0003045	XP_015180741.1	XP_012171052.1
OG0003046	XP_015171504.1	XP_012165224.1, XP_012165225.1, XP_012165222.1, XP_012165223.1, XP_012165221.1
OG0003047	XP_015182070.1	XP_012165799.1
OG0003048	XP_015191428.1	XP_003402894.2
OG0003049	XP_015172671.1	XP_020719210.1, XP_012165919.1
OG0003050	XP_015180143.1	XP_012166917.1
OG0003051	XP_015173498.1	XP_012163063.1
OG0003052	XP_015174765.1	XP_003401572.1
OG0003053	XP_015187509.1	XP_003402687.1
OG0003054	XP_015172944.1	XP_012168855.1
OG0003055	XP_015177299.1	XP_003394352.1
OG0003056	XP_015175916.1	XP_003395990.1
OG0003057	XP_015191645.1	XP_003394585.1
OG0003058	XP_015186476.1, XP_015186475.1	XP_003401054.1
OG0003059	XP_015188116.1	XP_020724234.1, XP_003395691.1
OG0003060	XP_015191432.1	XP_003400396.1
OG0003061	XP_015177671.1	XP_003394115.1
OG0003062	XP_015187426.1	XP_003396791.1
OG0003063	XP_015191626.1	XP_003394859.1
OG0003064	XP_015180874.1	XP_012169523.1, XP_003399319.1
OG0003065	XP_015175201.1	XP_003394197.1
OG0003066	XP_015174225.1	XP_012165634.1
OG0003067	XP_015182205.1	XP_012169408.1, XP_020721086.1, XP_012169404.1, XP_003399138.1
OG0003068	XP_015191543.1	XP_012172373.1
OG0003069	XP_015191200.1, XP_015191201.1	XP_003398923.1
OG0003070	XP_015178068.1	XP_003395416.3
OG0003071	XP_015184840.1	XP_012167070.1, XP_012167069.1, XP_012167071.1, XP_012167072.1
OG0003072	XP_015190305.1	XP_003401079.1
OG0003073	XP_015174672.1	XP_003401439.1
OG0003074	XP_015173780.1	XP_012165403.1
OG0003075	XP_015190121.1	XP_003393104.1
OG0003076	XP_015189293.1	XP_020718402.1
OG0003077	XP_015174945.1	XP_012170159.1
OG0003078	XP_015180442.1	XP_012170144.1
OG0003079	XP_015184802.1	XP_003400612.1
OG0003080	XP_015179767.1	XP_003402552.1
OG0003081	XP_015186601.1, XP_015186609.1	XP_012176317.1
OG0003082	XP_015189412.1	XP_020724191.1, XP_012176184.1
OG0003083	XP_015191579.1	XP_020719174.1
OG0003084	XP_015181451.1	XP_003402692.1, XP_020723497.1
OG0003085	XP_015176207.1	XP_020723393.1
OG0003086	XP_015189475.1, XP_015183360.1, XP_015183358.1, XP_015183359.1, XP_015183357.1	XP_020722251.1
OG0003087	XP_015176254.1	XP_003403296.2
OG0003088	XP_015178130.1	XP_003395481.3
OG0003089	XP_015181889.1	XP_012171591.1
OG0003090	XP_015182283.1	XP_003400918.1
OG0003091	XP_015176690.1	XP_012174721.1
OG0003092	XP_015179859.1	XP_003397482.2
OG0003093	XP_015178696.1	XP_003394493.2, XP_012176320.1
OG0003094	XP_015179109.1, XP_015179110.1, XP_015179111.1	XP_003397937.1
OG0003095	XP_015174390.1	XP_020718978.1
OG0003096	XP_015176279.1	XP_012175080.1
OG0003097	XP_015184835.1	XP_012174974.1
OG0003098	XP_015179966.1	XP_003395699.1
OG0003099	XP_015182621.1	XP_012174189.1
OG0003100	XP_015187097.1, XP_015186857.1	XP_020724016.1
OG0003101	XP_015175941.1	XP_012166396.1
OG0003102	XP_015182475.1	XP_012169981.1
OG0003103	XP_015174492.1	XP_020719339.1
OG0003105	XP_015179291.1	XP_012172223.1, XP_020722679.1, XP_003401100.1
OG0003106	XP_015186342.1, XP_015186341.1	XP_012166629.1
OG0003107	XP_015189167.1, XP_015189166.1	XP_003399203.1
OG0003108	XP_015174853.1	XP_020722551.1
OG0003109	XP_015189009.1	XP_020719157.1
OG0003110	XP_015180213.1, XP_015180214.1	XP_003396358.1, XP_020719271.1, XP_012165342.1, XP_012165341.1
OG0003111	XP_015182062.1, XP_015182061.1, XP_015182060.1	XP_012165661.1, XP_012165660.1
OG0003112	XP_015182512.1	XP_012175062.1
OG0003113	XP_015172624.1	XP_003396750.1
OG0003114	XP_015187843.1	XP_012166789.1
OG0003115	XP_015172262.1	XP_012163341.1
OG0003116	XP_015174905.1	XP_003398381.1, XP_012168101.1, XP_012168100.1, XP_012168099.1
OG0003117	XP_015172131.1	XP_020720718.1, XP_020720792.1
OG0003118	XP_015189189.1	XP_003399123.1
OG0003119	XP_015182637.1	XP_012166972.1, XP_012166974.1, XP_012166973.1, XP_012166975.1
OG0003120	XP_015184293.1	XP_003402633.1
OG0003121	XP_015182598.1	XP_012172171.1, XP_012172170.1
OG0003122	XP_015189161.1	XP_012174572.1
OG0003123	XP_015174949.1	XP_003399629.1
OG0003124	XP_015182712.1	XP_003394189.1, XP_012175968.1, XP_020724189.1
OG0003125	XP_015176609.1	XP_012175372.1
OG0003126	XP_015173208.1, XP_015173199.1	XP_012166055.1
OG0003127	XP_015178275.1	XP_003395513.1
OG0003128	XP_015186539.1	XP_012168807.1, XP_012168921.1, XP_003392885.1
OG0003129	XP_015182000.1	XP_020719319.1, XP_020719320.1
OG0003130	XP_015171422.1	XP_003393558.1
OG0003131	XP_015179931.1	XP_003395711.1
OG0003132	XP_015176261.1, XP_015176260.1, XP_015176259.1	XP_020723785.1
OG0003133	XP_015173779.1	XP_003399751.2
OG0003134	XP_015187630.1	XP_020724054.1
OG0003135	XP_015183810.1	XP_012166489.1
OG0003136	XP_015172205.1	XP_012171268.1
OG0003137	XP_015185845.1	XP_003398753.1
OG0003138	XP_015176465.1	XP_003402595.2, XP_012175849.2
OG0003139	XP_015187808.1	XP_012175769.1
OG0003140	XP_015190332.1	XP_003393316.1
OG0003141	XP_015173717.1, XP_015173716.1, XP_015173715.1	XP_003393931.1
OG0003142	XP_015188107.1	XP_012163945.1
OG0003143	XP_015187685.1	XP_012166532.1
OG0003144	XP_015182431.1	XP_020723911.1
OG0003146	XP_015174245.1	XP_003395087.1
OG0003147	XP_015185446.1	XP_003397289.2
OG0003148	XP_015177845.1	XP_012174993.1
OG0003149	XP_015184441.1, XP_015184440.1	XP_020720694.1
OG0003150	XP_015187854.1, XP_015187853.1, XP_015187855.1	XP_003395583.1
OG0003151	XP_015180985.1	XP_020718638.1
OG0003152	XP_015178886.1	XP_012165388.1
OG0003153	XP_015177948.1	XP_003399779.1
OG0003154	XP_015188206.1	XP_012171817.1
OG0003155	XP_015178197.1	XP_003395610.1
OG0003156	XP_015172614.1	XP_020720106.1
OG0003157	XP_015177197.1	XP_003403175.1
OG0003158	XP_015184207.1	XP_012173863.1
OG0003159	XP_015171686.1	XP_003393062.1
OG0003160	XP_015175964.1, XP_015175963.1	XP_012171757.1, XP_020722280.1
OG0003161	XP_015174278.1, XP_015174279.1	XP_012175868.1
OG0003162	XP_015174414.1, XP_015174412.1, XP_015174413.1	XP_020724227.1
OG0003163	XP_015190622.1	XP_003393197.1
OG0003164	XP_015176415.1	XP_003395098.1, XP_012163531.1
OG0003165	XP_015191074.1	XP_003394554.3
OG0003166	XP_015174570.1, XP_015174569.1, XP_015174568.1	XP_020718393.1, XP_012176761.1, XP_003394848.1
OG0003167	XP_015191470.1	XP_003394942.1
OG0003168	XP_015189246.1	XP_003398261.1
OG0003169	XP_015182981.1	XP_003394029.1
OG0003170	XP_015190938.1	XP_012176639.1
OG0003171	XP_015174123.1	XP_012165782.1, XP_020719235.1
OG0003172	XP_015186769.1	XP_003402703.1
OG0003173	XP_015177553.1	XP_003401927.1, XP_003402101.1, XP_012173400.1
OG0003174	XP_015171628.1, XP_015171627.1	XP_012171061.1, XP_012171050.1
OG0003175	XP_015191303.1	XP_003402300.1
OG0003176	XP_015178251.1	XP_020721991.1
OG0003177	XP_015187693.1	XP_003393551.1, XP_012170409.1
OG0003178	XP_015191248.1	XP_003398916.1, XP_020721317.1
OG0003179	XP_015185155.1	XP_012165532.1
OG0003180	XP_015184412.1, XP_015184411.1, XP_015184413.1	XP_012165456.1, XP_012165455.1
OG0003181	XP_015180822.1	XP_012164782.1
OG0003182	XP_015172626.1	XP_003393150.1
OG0003183	XP_015179209.1	XP_012170448.1
OG0003184	XP_015179794.1	XP_003400667.1
OG0003185	XP_015173354.1	XP_003397346.1
OG0003186	XP_015172668.1	XP_020720116.1
OG0003187	XP_015180688.1, XP_015180687.1	XP_003397890.1
OG0003188	XP_015186528.1	XP_003398479.2
OG0003189	XP_015187605.1, XP_015187604.1	XP_020721986.1, XP_020721987.1
OG0003190	XP_015172075.1	XP_020724135.1
OG0003191	XP_015189422.1	XP_012174582.1
OG0003193	XP_015176753.1	XP_012168066.1
OG0003194	XP_015180475.1	XP_012167923.1
OG0003195	XP_015174876.1	XP_003401207.1
OG0003197	XP_015172936.1	XP_012168859.1
OG0003198	XP_015187947.1	XP_012175802.1
OG0003199	XP_015190385.1	XP_012163427.1
OG0003200	XP_015185822.1	XP_020721823.1
OG0003201	XP_015184633.1	XP_020719548.1
OG0003202	XP_015175559.1, XP_015175556.1	XP_020722436.1
OG0003203	XP_015172467.1	XP_020718870.1
OG0003204	XP_015178733.1, XP_015178734.1	XP_012173555.1
OG0003205	XP_015181172.1	XP_020721967.1, XP_003400228.1
OG0003206	XP_015182035.1	XP_012172321.1
OG0003207	XP_015189835.1	XP_020720394.1
OG0003208	XP_015182954.1	XP_003394032.1
OG0003209	XP_015176641.1, XP_015176589.1	XP_012173683.1
OG0003210	XP_015189990.1	XP_003393282.1, XP_012166843.1
OG0003211	XP_015185161.1	XP_012167383.1
OG0003212	XP_015186954.1	XP_012175311.1
OG0003213	XP_015180557.1	XP_012171117.1
OG0003214	XP_015182199.1	XP_012169509.1
OG0003215	XP_015180795.1	XP_003399045.1
OG0003217	XP_015181224.1	XP_012164565.1
OG0003218	XP_015175243.1	XP_003401718.1
OG0003219	XP_015182015.1	XP_003400241.1
OG0003220	XP_015188336.1	XP_003399377.1, XP_012169758.1
OG0003221	XP_015175039.1	XP_012166942.1, XP_003397454.1
OG0003222	XP_015177460.1	XP_012173316.1, XP_003403389.2
OG0003223	XP_015187699.1	XP_003400270.1
OG0003224	XP_015182489.1, XP_015182490.1, XP_015182491.1	XP_012166157.1, XP_003396998.1, XP_020719468.1
OG0003225	XP_015179841.1	XP_003395707.1
OG0003226	XP_015189474.1	XP_020722064.1
OG0003227	XP_015180493.1, XP_015180490.1, XP_015180491.1	XP_020722194.1
OG0003228	XP_015186380.1	XP_012168474.1
OG0003229	XP_015175410.1	XP_003399948.1
OG0003230	XP_015184361.1	XP_012168183.1
OG0003231	XP_015180115.1, XP_015180119.1	XP_003400916.1
OG0003232	XP_015181923.1	XP_012169730.1
OG0003234	XP_015187354.1	XP_012170688.1, XP_003400076.2
OG0003236	XP_015186081.1	XP_003393190.1
OG0003237	XP_015188897.1	XP_012163641.1
OG0003238	XP_015187070.1, XP_015187068.1	XP_020723630.1
OG0003239	XP_015172153.1	XP_020722240.1
OG0003239	XP_015172154.1, XP_015172155.1	XP_012171331.1
OG0003240	XP_015189432.1	XP_020723041.1, XP_012173345.1, XP_012173338.1, XP_012173342.1, XP_020723042.1
OG0003241	XP_015188124.1	XP_012172510.1
OG0003242	XP_015173551.1, XP_015173550.1, XP_015173552.1	XP_003399683.1
OG0003243	XP_015188134.1, XP_015188136.1	XP_012167873.1
OG0003244	XP_015180244.1	XP_020720806.1
OG0003245	XP_015191221.1	XP_012169030.1
OG0003246	XP_015179093.1	XP_020721711.1
OG0003247	XP_015177111.1	XP_003400037.3
OG0003248	XP_015187754.1	XP_020720004.1, XP_020720003.1
OG0003249	XP_015178192.1	XP_012164068.1
OG0003250	XP_015175613.1	XP_003401476.1
OG0003251	XP_015173068.1, XP_015173069.1, XP_015173067.1	XP_012175335.1, XP_003393855.1, XP_012175339.1
OG0003252	XP_015191279.1, XP_015191280.1	XP_003399281.1, XP_020721078.1, XP_020721079.1, XP_020721080.1, XP_012169585.1, XP_012169587.1, XP_020721081.1
OG0003254	XP_015173892.1, XP_015173893.1	XP_020721294.1
OG0003255	XP_015173889.1	XP_012168042.1
OG0003256	XP_015174135.1	XP_012172989.1, XP_003401913.1
OG0003257	XP_015178370.1	XP_012176591.1
OG0003258	XP_015182188.1, XP_015182191.1, XP_015182189.1	XP_003401696.1
OG0003261	XP_015179397.1	XP_003396410.1, XP_012165445.1
OG0003262	XP_015174605.1	XP_003396975.1
OG0003263	XP_015174256.1	XP_003394796.1
OG0003264	XP_015176975.1	XP_003400614.1
OG0003265	XP_015185890.1	XP_003396232.1
OG0003266	XP_015171934.1	XP_003402411.1
OG0003267	XP_015171790.1	XP_003395308.1
OG0003268	XP_015171926.1, XP_015181220.1	XP_003395962.1
OG0003269	XP_015188503.1	XP_003393065.1
OG0003270	XP_015174370.1	XP_003398424.1
OG0003271	XP_015175802.1	XP_012166255.1
OG0003272	XP_015175460.1	XP_003394721.1
OG0003273	XP_015186611.1	XP_003399020.1
OG0003274	XP_015175687.1	XP_003395627.1
OG0003275	XP_015174709.1	XP_012163102.1
OG0003276	XP_015181499.1	XP_020724051.1
OG0003277	XP_015190768.1, XP_015190770.1	XP_012174522.1
OG0003278	XP_015182542.1	XP_003397471.1
OG0003279	XP_015188857.1	XP_003396570.1
OG0003280	XP_015171870.1	XP_003395540.2
OG0003281	XP_015180726.1, XP_015180727.1	XP_003400289.1, XP_020721778.1
OG0003282	XP_015188811.1	XP_012169609.1
OG0003283	XP_015173584.1	XP_003401934.1, XP_003401935.1, XP_012173413.1, XP_012173412.1
OG0003284	XP_015180745.1	XP_012174283.1, XP_003402591.1
OG0003285	XP_015172337.1, XP_015172325.1	XP_012170222.1
OG0003286	XP_015185800.1	XP_003399167.1
OG0003287	XP_015172520.1	XP_003394981.1
OG0003288	XP_015191656.1	XP_003395604.1
OG0003289	XP_015185298.1	XP_003403165.1
OG0003290	XP_015182865.1	XP_012164907.1
OG0003291	XP_015179786.1	XP_012171025.1
OG0003292	XP_015184103.1	XP_012165932.1
OG0003293	XP_015183532.1	XP_012164077.1
OG0003294	XP_015176029.1	XP_003394464.2, XP_012176399.1
OG0003295	XP_015171611.1, XP_015171613.1, XP_015171614.1, XP_015171615.1	XP_012165323.1
OG0003296	XP_015178530.1	XP_003398169.1
OG0003297	XP_015177865.1	XP_012165288.1, XP_012165287.1
OG0003298	XP_015186616.1	XP_020719091.1, XP_020719092.1, XP_012164920.1, XP_012164919.1, XP_003396079.1
OG0003299	XP_015182677.1	XP_012163246.1
OG0003300	XP_015172834.1	XP_003402401.1
OG0003301	XP_015174163.1	XP_003403026.3
OG0003302	XP_015179769.1	XP_020722174.1, XP_003400746.1, XP_012171666.1
OG0003303	XP_015189235.1	XP_012170608.1
OG0003304	XP_015180127.1	XP_012169521.1
OG0003305	XP_015190255.1	XP_003401716.1
OG0003306	XP_015173675.1	XP_012175654.1
OG0003307	XP_015173144.1	XP_003398200.1
OG0003308	XP_015177208.1	XP_003402121.1
OG0003309	XP_015180107.1	XP_012167060.1
OG0003311	XP_015178143.1	XP_003402825.1
OG0003312	XP_015180203.1	XP_003396836.1
OG0003313	XP_015176312.1	XP_003400267.1, XP_003400266.1
OG0003314	XP_015175786.1	XP_003399004.1
OG0003315	XP_015179654.1	XP_020721944.1, XP_012171026.1, XP_003400257.1
OG0003316	XP_015171729.1	XP_003398472.3
OG0003317	XP_015183265.1	XP_003399346.1
OG0003318	XP_015191776.1	XP_012165037.1
OG0003319	XP_015181953.1, XP_015181952.1	XP_003402973.1
OG0003320	XP_015191527.1	XP_012168219.1, XP_003398487.1
OG0003321	XP_015173693.1	XP_003394413.1
OG0003322	XP_015171323.1, XP_015171332.1	XP_012169824.1
OG0003323	XP_015190930.1	XP_003398367.2
OG0003324	XP_015171336.1, XP_015171337.1	XP_003394516.1
OG0003325	XP_015190563.1	XP_003393834.1
OG0003326	XP_015173640.1, XP_015173638.1	XP_003393945.1
OG0003327	XP_015185982.1	XP_003394613.1
OG0003328	XP_015177229.1	XP_012170302.2
OG0003329	XP_015186292.1	XP_003402522.2
OG0003330	XP_015190577.1	XP_020722379.1
OG0003331	XP_015172251.1, XP_015172246.1	XP_012163342.1
OG0003332	XP_015185305.1	XP_003397236.1
OG0003333	XP_015171492.1	XP_012165599.1
OG0003334	XP_015191505.1	XP_012168221.1
OG0003335	XP_015182204.1	XP_003399725.1
OG0003336	XP_015191570.1	XP_012173983.1
OG0003337	XP_015172521.1	XP_003397616.1
OG0003339	XP_015184708.1	XP_003397378.2
OG0003340	XP_015174248.1	XP_020720961.1
OG0003341	XP_015185260.1	XP_012175821.1
OG0003342	XP_015185634.1	XP_012171940.2
OG0003343	XP_015176685.1	XP_020722536.1, XP_012172667.1, XP_020722535.1
OG0003345	XP_015189133.1	XP_003398987.1
OG0003346	XP_015174791.1	XP_020723225.1
OG0003347	XP_015188927.1	XP_012163635.1
OG0003348	XP_015188423.1	XP_012166030.1
OG0003349	XP_015180546.1	XP_012166175.1, XP_020719519.1
OG0003350	XP_015187959.1	XP_003395818.1
OG0003351	XP_015185215.1	XP_003403358.1
OG0003352	XP_015173570.1	XP_012171186.1
OG0003353	XP_015175425.1	XP_012176447.1
OG0003354	XP_015176997.1	XP_012168185.1
OG0003355	XP_015176857.1	XP_012167676.1
OG0003356	XP_015190488.1	XP_003402210.1
OG0003357	XP_015178153.1	XP_012163819.1
OG0003358	XP_015189411.1, XP_015189410.1, XP_015189409.1, XP_015189408.1	XP_012176186.1
OG0003359	XP_015173362.1	XP_003396029.1
OG0003360	XP_015173198.1	XP_012175935.1
OG0003361	XP_015182881.1	XP_003402702.1
OG0003362	XP_015174549.1, XP_015174547.1, XP_015174546.1, XP_015174550.1, XP_015174548.1	XP_012169143.1
OG0003363	XP_015182988.1	XP_003394031.1
OG0003364	XP_015184267.1	XP_003398503.1
OG0003365	XP_015188555.1	XP_003394552.1
OG0003366	XP_015179176.1	XP_003397827.1
OG0003367	XP_015187582.1	XP_003401083.1
OG0003368	XP_015175064.1	XP_020721065.1
OG0003369	XP_015188097.1	XP_012164497.1
OG0003370	XP_015173212.1	XP_012172730.1, XP_012172744.1, XP_012172738.1
OG0003371	XP_015181102.1	XP_012170915.1, XP_003400168.1
OG0003372	XP_015172014.1	XP_003394694.1
OG0003373	XP_015177231.1	XP_012173294.1, XP_003401873.1
OG0003374	XP_015171689.1	XP_003395675.1
OG0003375	XP_015189034.1	XP_003403093.1
OG0003376	XP_015187912.1	XP_003393800.1
OG0003377	XP_015175119.1	XP_020724121.1
OG0003378	XP_015184218.1	XP_003402130.1
OG0003379	XP_015180558.1	XP_012171119.1
OG0003380	XP_015172013.1	XP_012170032.1
OG0003381	XP_015172653.1	XP_012175066.1
OG0003382	XP_015176634.1	XP_003401411.1
OG0003383	XP_015172040.1	XP_003400839.1
OG0003384	XP_015188758.1	XP_003400187.1, XP_012170937.1
OG0003385	XP_015179032.1	XP_003393271.1
OG0003386	XP_015179539.1	XP_020722228.1, XP_003400574.1
OG0003387	XP_015190698.1	XP_012174698.1, XP_003393798.1
OG0003388	XP_015180752.1	XP_012171064.1
OG0003389	XP_015187416.1	XP_012166547.1
OG0003390	XP_015184298.1	XP_012170451.1
OG0003391	XP_015181603.1	XP_012173395.2
OG0003392	XP_015176349.1	XP_020722516.1
OG0003393	XP_015190186.1, XP_015190187.1	XP_003396408.1, XP_012165441.1
OG0003394	XP_015174395.1	XP_003394195.1
OG0003395	XP_015187652.1	XP_012170429.1
OG0003396	XP_015176610.1	XP_003400093.1
OG0003397	XP_015171189.1	XP_012170199.1
OG0003398	XP_015187552.1	XP_012167281.1
OG0003399	XP_015179993.1	XP_003395681.1
OG0003400	XP_015175012.1	XP_003394203.1
OG0003401	XP_015180348.1	XP_012174733.1
OG0003402	XP_015187324.1, XP_015187331.1	XP_003400904.1
OG0003403	XP_015181948.1	XP_003398686.1
OG0003404	XP_015186459.1	XP_012175889.1
OG0003405	XP_015178809.1, XP_015178810.1	XP_003402674.1
OG0003406	XP_015191703.1	XP_020718332.1
OG0003407	XP_015189000.1	XP_012174891.2, XP_012171230.1
OG0003408	XP_015175908.1	XP_012163653.1
OG0003409	XP_015179204.1	XP_003397420.1
OG0003410	XP_015186287.1	XP_003397456.1
OG0003411	XP_015190416.1, XP_015190419.1, XP_015190418.1	XP_003393003.1
OG0003412	XP_015171375.1	XP_012165317.1, XP_020719328.1
OG0003413	XP_015182958.1, XP_015182959.1	XP_003393951.1, XP_012175666.1
OG0003414	XP_015176127.1	XP_003402116.1
OG0003415	XP_015190410.1	XP_020723273.1, XP_003402321.1
OG0003416	XP_015180668.1, XP_015180667.1	XP_003400888.1
OG0003417	XP_015177477.1	XP_012163159.1, XP_003394872.1
OG0003418	XP_015184817.1	XP_012174546.1
OG0003419	XP_015177958.1	XP_003398727.1
OG0003420	XP_015180202.1	XP_003397430.1
OG0003421	XP_015187248.1, XP_015187247.1	XP_003397388.1
OG0003422	XP_015186465.1	XP_020718945.1, XP_020718838.1, XP_020718951.1
OG0003423	XP_015177165.1, XP_015177166.1	XP_003394231.1
OG0003424	XP_015184782.1	XP_003398125.1
OG0003425	XP_015179943.1	XP_003397438.1
OG0003426	XP_015174788.1, XP_015174786.1	XP_012166342.1
OG0003427	XP_015186898.1	XP_012174792.1
OG0003428	XP_015171325.1, XP_015171324.1, XP_015171322.1, XP_015171327.1, XP_015171326.1	XP_012173657.1
