Orthogroup	Habropoda_laboriosa	Dufourea_novaeangliae
OG0004943	XP_017787442.1	XP_015437491.1
OG0004944	XP_017798842.1	XP_015429505.1
OG0004945	XP_017798824.1	XP_015438049.1
OG0004946	XP_017795333.1	XP_015433743.1
OG0004947	XP_017788565.1	XP_015440409.1
OG0004948	XP_017797936.1	XP_015430266.1
OG0004949	XP_017798868.1	XP_015435112.1
OG0004951	XP_017788542.1	XP_015431022.1
OG0004952	XP_017794101.1	XP_015429588.1
OG0004953	XP_017790525.1	XP_015429517.1
OG0004954	XP_017787395.1	XP_015430546.1
OG0004955	XP_017788532.1	XP_015435309.1
OG0004956	XP_017787418.1	XP_015437461.1
OG0004957	XP_017798860.1	XP_015435104.1
OG0004958	XP_017790563.1	XP_015429625.1
OG0004959	XP_017797963.1	XP_015428820.1
OG0004960	XP_017787501.1	XP_015430575.1
OG0004961	XP_017798931.1	XP_015435145.1
OG0004962	XP_017799577.1	XP_015430532.1
OG0004963	XP_017791236.1	XP_015433848.1
OG0004964	XP_017791097.1	XP_015433277.1
OG0004965	XP_017798888.1	XP_015429278.1
OG0004966	XP_017799429.1	XP_015439492.1
OG0004967	XP_017797319.1	XP_015436037.1
OG0004968	XP_017797347.1	XP_015436379.1
OG0004969	XP_017791075.1	XP_015429391.1
OG0004970	XP_017791273.1	XP_015429404.1
OG0004971	XP_017795093.1	XP_015431103.1
OG0004972	XP_017797317.1	XP_015436097.1
OG0004974	XP_017791074.1	XP_015433716.1, XP_015430946.1
OG0004975	XP_017787398.1	XP_015439523.1
OG0004976	XP_017794134.1	XP_015436234.1
OG0004977	XP_017797328.1	XP_015436240.1, XP_015436242.1
OG0004978	XP_017799426.1	XP_015439544.1
OG0004979	XP_017794393.1	XP_015436338.1
OG0004980	XP_017789579.1	XP_015434225.1
OG0004981	XP_017799151.1	XP_015432851.1
OG0004982	XP_017791618.1	XP_015431055.1
OG0004983	XP_017795185.1	XP_015440111.1
OG0004984	XP_017795735.1	XP_015436233.1
OG0004985	XP_017797938.1	XP_015430105.1
OG0004986	XP_017799576.1	XP_015436414.1
OG0004987	XP_017791438.1	XP_015431179.1
OG0004988	XP_017788549.1	XP_015431137.1
OG0004989	XP_017793918.1	XP_015431354.1
OG0004990	XP_017790149.1	XP_015438523.1
OG0004991	XP_017796729.1	XP_015438887.1
OG0004992	XP_017791564.1	XP_015431251.1
OG0004993	XP_017789621.1	XP_015428898.1
OG0004994	XP_017791477.1	XP_015438452.1
OG0004995	XP_017790787.1	XP_015438595.1
OG0004996	XP_017791600.1	XP_015431304.1
OG0004997	XP_017795412.1	XP_015438376.1
OG0004998	XP_017791624.1	XP_015431405.1
OG0004999	XP_017792452.1	XP_015431383.1
OG0005000	XP_017791546.1	XP_015431263.1
OG0005001	XP_017789471.1	XP_015435904.1
OG0005003	XP_017790910.1	XP_015438341.1
OG0005005	XP_017789327.1	XP_015439569.1
OG0005006	XP_017789830.1	XP_015430593.1
OG0005007	XP_017789802.1	XP_015438397.1
OG0005008	XP_017791234.1	XP_015438582.1
OG0005009	XP_017791951.1	XP_015437142.1
OG0005010	XP_017793152.1	XP_015438884.1
OG0005012	XP_017794161.1	XP_015429805.1
OG0005013	XP_017793411.1	XP_015437033.1
OG0005014	XP_017792523.1	XP_015436829.1
OG0005015	XP_017787515.1	XP_015428752.1
OG0005016	XP_017792973.1	XP_015437801.1
OG0005017	XP_017790334.1	XP_015437910.1, XP_015437909.1
OG0005018	XP_017794191.1	XP_015437027.1
OG0005019	XP_017794222.1	XP_015437389.1
OG0005020	XP_017792856.1	XP_015440427.1
OG0005022	XP_017795588.1	XP_015435479.1
OG0005023	XP_017792660.1	XP_015428680.1
OG0005024	XP_017789680.1	XP_015433803.1
OG0005025	XP_017792662.1, XP_017787425.1	XP_015428771.1
OG0005026	XP_017795841.1	XP_015440294.1
OG0005027	XP_017792962.1	XP_015437780.1
OG0005028	XP_017793037.1	XP_015437417.1
OG0005029	XP_017795539.1	XP_015435538.1
OG0005030	XP_017789613.1	XP_015428730.1
OG0005031	XP_017795037.1	XP_015432105.1
OG0005032	XP_017789653.1	XP_015430127.1
OG0005033	XP_017789568.1, XP_017789567.1	XP_015431903.1
OG0005034	XP_017787525.1	XP_015432098.1
OG0005035	XP_017787550.1	XP_015432124.1
OG0005036	XP_017787592.1	XP_015432243.1
OG0005037	XP_017794947.1	XP_015428431.1
OG0005038	XP_017791499.1	XP_015438707.1
OG0005040	XP_017791336.1	XP_015434595.1
OG0005041	XP_017791502.1	XP_015432151.1
OG0005042	XP_017788772.1	XP_015432370.1
OG0005043	XP_017796215.1	XP_015436656.1
OG0005044	XP_017788979.1	XP_015432348.1
OG0005045	XP_017788839.1	XP_015433602.1
OG0005046	XP_017788844.1	XP_015433619.1
OG0005047	XP_017797718.1	XP_015436474.1
OG0005048	XP_017799015.1	XP_015432809.1
OG0005049	XP_017787994.1	XP_015430219.1
OG0005050	XP_017798543.1	XP_015434188.1
OG0005051	XP_017798946.1, XP_017798705.1	XP_015434117.1
OG0005052	XP_017798535.1	XP_015434096.1
OG0005053	XP_017798525.1	XP_015438977.1
OG0005054	XP_017798562.1	XP_015439202.1
OG0005055	XP_017797736.1	XP_015439092.1
OG0005056	XP_017794610.1	XP_015437420.1
OG0005057	XP_017797796.1	XP_015439223.1
OG0005059	XP_017794540.1	XP_015430091.1
OG0005060	XP_017787408.1	XP_015435601.1
OG0005061	XP_017795883.1	XP_015434794.1
OG0005062	XP_017792926.1	XP_015428673.1
OG0005063	XP_017791818.1	XP_015439372.1
OG0005064	XP_017791812.1	XP_015439337.1
OG0005065	XP_017794752.1	XP_015439402.1
OG0005066	XP_017793552.1	XP_015434785.1
OG0005067	XP_017792903.1	XP_015435600.1
OG0005068	XP_017791800.1	XP_015439345.1
OG0005069	XP_017789633.1	XP_015435762.1
OG0005070	XP_017794751.1	XP_015434893.1
OG0005071	XP_017796338.1	XP_015437936.1
OG0005072	XP_017796302.1	XP_015437999.1
OG0005073	XP_017793523.1	XP_015432500.1
OG0005074	XP_017793031.1	XP_015428710.1
OG0005075	XP_017792918.1	XP_015435614.1
OG0005076	XP_017796669.1	XP_015437941.1
OG0005077	XP_017789555.1	XP_015434822.1
OG0005078	XP_017795915.1	XP_015434896.1
OG0005079	XP_017796839.1	XP_015434874.1
OG0005080	XP_017794897.1	XP_015428436.1
OG0005081	XP_017792780.1	XP_015428447.1
OG0005082	XP_017794912.1	XP_015432753.1
OG0005083	XP_017794911.1	XP_015428419.1
OG0005084	XP_017791520.1	XP_015434707.1
OG0005085	XP_017796740.1	XP_015430142.1
OG0005086	XP_017792599.1	XP_015438679.1
OG0005087	XP_017798425.1	XP_015432667.1
OG0005088	XP_017798449.1	XP_015430370.1
OG0005089	XP_017798301.1	XP_015430258.1
OG0005090	XP_017797700.1	XP_015438917.1
OG0005091	XP_017795424.1	XP_015434402.1
OG0005092	XP_017797048.1	XP_015431735.1
OG0005094	XP_017790998.1	XP_015434059.1
OG0005095	XP_017791010.1	XP_015434668.1
OG0005096	XP_017797909.1	XP_015429656.1
OG0005097	XP_017799006.1	XP_015432865.1
OG0005098	XP_017799099.1	XP_015432953.1
OG0005099	XP_017799124.1	XP_015435363.1
OG0005100	XP_017797927.1	XP_015430080.1
OG0005101	XP_017792760.1	XP_015435657.1
OG0005102	XP_017796722.1	XP_015434380.1
OG0005103	XP_017799182.1	XP_015433044.1
OG0005104	XP_017794307.1	XP_015436253.1
OG0005105	XP_017796123.1	XP_015429689.1
OG0005107	XP_017797879.1	XP_015429734.1
OG0005108	XP_017792819.1	XP_015433570.1
OG0005109	XP_017799310.1	XP_015433027.1
OG0005110	XP_017796416.1	XP_015434947.1
OG0005111	XP_017788262.1	XP_015431542.1
OG0005112	XP_017797299.1	XP_015429120.1
OG0005113	XP_017788277.1	XP_015431482.1
OG0005114	XP_017794624.1	XP_015431868.1
OG0005115	XP_017796548.1	XP_015435065.1
OG0005116	XP_017791580.1	XP_015438570.1
OG0005117	XP_017789436.1	XP_015437642.1
OG0005118	XP_017789269.1	XP_015438841.1
OG0005119	XP_017793471.1	XP_015437046.1
OG0005120	XP_017792050.1	XP_015429829.1
OG0005121	XP_017792518.1	XP_015439296.1
OG0005122	XP_017790341.1	XP_015435567.1
OG0005123	XP_017788934.1	XP_015433617.1
OG0005124	XP_017797762.1	XP_015434113.1
OG0005125	XP_017796618.1	XP_015437942.1
OG0005126	XP_017792061.1	XP_015429930.1
OG0005127	XP_017788310.1	XP_015432918.1
OG0005128	XP_017794564.1	XP_015430102.1
OG0005129	XP_017789658.1	XP_015434809.1, XP_015434214.1
OG0005130	XP_017789707.1	XP_015434706.1
OG0005131	XP_017797305.1	XP_015430203.1
OG0005132	XP_017796542.1	XP_015435063.1
OG0005133	XP_017787759.1	XP_015429083.1
OG0005134	XP_017787902.1	XP_015429773.1
OG0005135	XP_017788682.1	XP_015434311.1
OG0005136	XP_017797282.1	XP_015436890.1, XP_015436892.1
OG0005137	XP_017798154.1	XP_015430721.1
OG0005138	XP_017797052.1	XP_015431720.1
OG0005139	XP_017790715.1	XP_015439858.1
OG0005140	XP_017791938.1	XP_015439891.1
OG0005141	XP_017793656.1	XP_015439928.1
OG0005142	XP_017793601.1	XP_015431911.1
OG0005143	XP_017794966.1	XP_015432660.1
OG0005144	XP_017792124.1	XP_015439695.1
OG0005145	XP_017792312.1	XP_015437488.1
OG0005146	XP_017792335.1	XP_015438021.1
OG0005147	XP_017793898.1	XP_015435992.1
OG0005148	XP_017787438.1	XP_015430476.1
OG0005149	XP_017794381.1	XP_015436075.1
OG0005150	XP_017799184.1	XP_015433072.1
OG0005151	XP_017797181.1	XP_015439609.1
OG0005152	XP_017788303.1	XP_015436839.1
OG0005153	XP_017788101.1	XP_015434293.1
OG0005154	XP_017792934.1	XP_015432491.1
OG0005155	XP_017792446.1	XP_015432225.1
OG0005156	XP_017795727.1	XP_015436270.1
OG0005157	XP_017794052.1	XP_015430945.1
OG0005158	XP_017799544.1	XP_015430548.1, XP_015430547.1
OG0005159	XP_017788145.1	XP_015435879.1
OG0005160	XP_017789114.1	XP_015431120.1
OG0005161	XP_017796970.1	XP_015431721.1
OG0005162	XP_017791735.1	XP_015431554.1
OG0005163	XP_017791807.1	XP_015430185.1, XP_015434308.1
OG0005164	XP_017799597.1, XP_017799596.1	XP_015430453.1
OG0005165	XP_017791389.1	XP_015437561.1
OG0005166	XP_017787818.1	XP_015434542.1
OG0005167	XP_017794232.1, XP_017794229.1	XP_015437671.1
OG0005168	XP_017797486.1	XP_015430113.1
OG0005169	XP_017797986.1	XP_015428758.1
OG0005170	XP_017787485.1	XP_015433510.1
OG0005171	XP_017797323.1	XP_015436330.1
OG0005172	XP_017796239.1	XP_015437579.1
OG0005173	XP_017794643.1	XP_015431897.1
OG0005174	XP_017799144.1	XP_015432928.1
OG0005175	XP_017792375.1	XP_015437808.1
OG0005176	XP_017787825.1	XP_015434503.1
OG0005177	XP_017790778.1	XP_015440119.1
OG0005178	XP_017795496.1	XP_015433416.1
OG0005179	XP_017796245.1	XP_015439498.1, XP_015439553.1
OG0005180	XP_017791052.1	XP_015435222.1
OG0005181	XP_017791053.1	XP_015435859.1
OG0005182	XP_017790096.1	XP_015431912.1
OG0005183	XP_017798743.1	XP_015434131.1
OG0005184	XP_017793973.1	XP_015430953.1
OG0005185	XP_017788079.1, XP_017788080.1	XP_015435853.1
OG0005186	XP_017788028.1	XP_015431463.1
OG0005187	XP_017789406.1	XP_015433695.1
OG0005188	XP_017792209.1	XP_015440035.1
OG0005189	XP_017788837.1	XP_015438029.1
OG0005190	XP_017791601.1	XP_015431264.1
OG0005191	XP_017796831.1	XP_015440425.1
OG0005192	XP_017790137.1	XP_015437633.1
OG0005193	XP_017792071.1	XP_015428891.1
OG0005194	XP_017789545.1	XP_015431338.1
OG0005195	XP_017789276.1	XP_015440485.1
OG0005196	XP_017789282.1	XP_015440508.1
OG0005197	XP_017796282.1	XP_015437945.1
OG0005198	XP_017791511.1	XP_015438714.1
OG0005199	XP_017787583.1	XP_015434615.1
OG0005200	XP_017787710.1	XP_015432206.1
OG0005201	XP_017788798.1	XP_015428661.1, XP_015428660.1
OG0005202	XP_017788845.1	XP_015428573.1
OG0005203	XP_017789870.1	XP_015428590.1
OG0005204	XP_017789842.1	XP_015436855.1
OG0005205	XP_017789874.1	XP_015437436.1
OG0005206	XP_017797823.1	XP_015434069.1
OG0005207	XP_017798738.1	XP_015439112.1
OG0005208	XP_017798753.1	XP_015439185.1
OG0005209	XP_017798722.1	XP_015438968.1
OG0005210	XP_017798572.1	XP_015439263.1
OG0005211	XP_017798630.1	XP_015434057.1
OG0005212	XP_017788354.1	XP_015432977.1
OG0005213	XP_017796470.1	XP_015433983.1
OG0005214	XP_017790537.1	XP_015435045.1
OG0005215	XP_017795947.1	XP_015439617.1
OG0005216	XP_017795309.1	XP_015434269.1
OG0005217	XP_017788062.1	XP_015431455.1
OG0005218	XP_017794838.1	XP_015432659.1
OG0005219	XP_017789202.1	XP_015440387.1
OG0005220	XP_017789153.1	XP_015432035.1
OG0005221	XP_017787767.1	XP_015429417.1
OG0005222	XP_017790928.1	XP_015437883.1
OG0005223	XP_017794078.1	XP_015429258.1
OG0005224	XP_017794636.1	XP_015428810.1
OG0005225	XP_017791117.1	XP_015433491.1
OG0005226	XP_017789449.1	XP_015433711.1
OG0005227	XP_017793259.1	XP_015432536.1
OG0005228	XP_017788126.1	XP_015434374.1
OG0005229	XP_017794053.1	XP_015430940.1
OG0005230	XP_017798948.1	XP_015432853.1
OG0005231	XP_017788892.1	XP_015431556.1
OG0005232	XP_017787538.1	XP_015438644.1
OG0005233	XP_017790742.1	XP_015440113.1
OG0005234	XP_017795684.1	XP_015440410.1
OG0005235	XP_017795353.1	XP_015433865.1
OG0005236	XP_017792063.1	XP_015429929.1
OG0005237	XP_017798462.1	XP_015430271.1
OG0005238	XP_017790252.1, XP_017790253.1	XP_015429604.1
OG0005239	XP_017796127.1	XP_015430065.1
OG0005240	XP_017791981.1	XP_015436899.1
OG0005241	XP_017790635.1	XP_015434660.1
OG0005242	XP_017794057.1	XP_015430928.1
OG0005243	XP_017791188.1	XP_015433609.1
OG0005244	XP_017790750.1	XP_015439638.1
OG0005245	XP_017789375.1	XP_015437653.1
OG0005246	XP_017787528.1	XP_015438652.1
OG0005247	XP_017789149.1	XP_015436785.1
OG0005248	XP_017798835.1	XP_015429202.1
OG0005249	XP_017795670.1	XP_015433849.1
OG0005250	XP_017795964.1	XP_015431899.1
OG0005251	XP_017787918.1	XP_015431861.1, XP_015431860.1
OG0005252	XP_017789729.1	XP_015429746.1
OG0005253	XP_017788263.1	XP_015432108.1
OG0005254	XP_017798395.1	XP_015430344.1
OG0005255	XP_017792803.1	XP_015430354.1
OG0005256	XP_017797329.1	XP_015436103.1
OG0005257	XP_017799185.1	XP_015435301.1
OG0005258	XP_017793151.1	XP_015428802.1
OG0005259	XP_017788655.1	XP_015439984.1
OG0005260	XP_017795271.1	XP_015431689.1
OG0005261	XP_017796439.1	XP_015435033.1
OG0005262	XP_017791155.1	XP_015433476.1
OG0005263	XP_017789687.1	XP_015428783.1
OG0005264	XP_017789925.1	XP_015431930.1
OG0005265	XP_017791123.1	XP_015437483.1
OG0005266	XP_017796892.1	XP_015433565.1
OG0005267	XP_017793628.1	XP_015433240.1
OG0005268	XP_017790789.1	XP_015433397.1, XP_015433398.1
OG0005269	XP_017788582.1	XP_015431018.1
OG0005270	XP_017792010.1	XP_015438214.1
OG0005271	XP_017789165.1	XP_015437154.1
OG0005272	XP_017792914.1	XP_015435631.1
OG0005273	XP_017791626.1	XP_015428889.1
OG0005274	XP_017789311.1	XP_015433663.1
OG0005275	XP_017795965.1	XP_015431655.1
OG0005276	XP_017792214.1	XP_015431402.1
OG0005277	XP_017788581.1	XP_015436382.1
OG0005278	XP_017795661.1	XP_015433864.1
OG0005279	XP_017797354.1	XP_015436038.1
OG0005280	XP_017798898.1	XP_015429285.1
OG0005281	XP_017793304.1	XP_015438155.1, XP_015436606.1
OG0005282	XP_017788136.1	XP_015435861.1
OG0005284	XP_017793303.1	XP_015436555.1
OG0005285	XP_017789103.1	XP_015437200.1
OG0005286	XP_017798199.1	XP_015430786.1
OG0005287	XP_017793310.1	XP_015436518.1
OG0005288	XP_017787720.1	XP_015431110.1
OG0005289	XP_017789796.1	XP_015433241.1
OG0005290	XP_017793352.1, XP_017793351.1	XP_015437738.1
OG0005291	XP_017793853.1	XP_015429500.1
OG0005292	XP_017789169.1	XP_015437204.1
OG0005293	XP_017797353.1	XP_015436301.1
OG0005294	XP_017794450.1	XP_015429055.1
OG0005295	XP_017793722.1	XP_015431970.1
OG0005296	XP_017790956.1	XP_015438150.1, XP_015438149.1
OG0005297	XP_017791952.1	XP_015435264.1
OG0005298	XP_017793897.1	XP_015433420.1
OG0005299	XP_017793003.1	XP_015440519.1
OG0005300	XP_017790793.1	XP_015439950.1
OG0005301	XP_017796254.1	XP_015439840.1
OG0005302	XP_017789330.1	XP_015433674.1, XP_015433673.1
OG0005303	XP_017796289.1	XP_015439373.1, XP_015439374.1
OG0005304	XP_017790796.1	XP_015433267.1
OG0005305	XP_017794638.1	XP_015430131.1
OG0005306	XP_017789435.1	XP_015435901.1
OG0005307	XP_017799207.1	XP_015432968.1
OG0005308	XP_017798390.1	XP_015430257.1
OG0005309	XP_017795459.1	XP_015438416.1
OG0005310	XP_017787487.1	XP_015430934.1
OG0005311	XP_017791505.1	XP_015438615.1
OG0005312	XP_017797764.1	XP_015439119.1
OG0005313	XP_017788115.1	XP_015434875.1
OG0005314	XP_017790445.1	XP_015429251.1
OG0005315	XP_017787535.1	XP_015438665.1
OG0005316	XP_017792730.1	XP_015428767.1
OG0005317	XP_017793191.1	XP_015436498.1
OG0005318	XP_017795365.1	XP_015433340.1
OG0005319	XP_017798175.1	XP_015438016.1
OG0005320	XP_017793426.1	XP_015437351.1
OG0005321	XP_017789174.1	XP_015436793.1
OG0005322	XP_017796793.1	XP_015439977.1
OG0005323	XP_017796653.1	XP_015432469.1
OG0005324	XP_017789289.1	XP_015438860.1, XP_015438861.1
OG0005325	XP_017793689.1	XP_015439843.1, XP_015439844.1
OG0005326	XP_017790896.1	XP_015430165.1
OG0005327	XP_017795391.1	XP_015438451.1
OG0005328	XP_017798696.1	XP_015438967.1
OG0005329	XP_017796257.1	XP_015439676.1, XP_015439323.1
OG0005330	XP_017798027.1	XP_015428800.1
OG0005331	XP_017789984.1	XP_015435192.1
OG0005332	XP_017789970.1	XP_015438413.1
OG0005333	XP_017787763.1	XP_015429148.1
OG0005334	XP_017796496.1	XP_015435021.1
OG0005335	XP_017795085.1	XP_015431138.1
OG0005336	XP_017791627.1	XP_015431343.1
OG0005337	XP_017789146.1	XP_015438641.1
OG0005338	XP_017790375.1	XP_015429185.1
OG0005339	XP_017797505.1	XP_015432009.1
OG0005340	XP_017792327.1	XP_015437629.1
OG0005341	XP_017789635.1	XP_015435670.1
OG0005342	XP_017788289.1	XP_015433008.1
OG0005343	XP_017796287.1	XP_015439315.1
OG0005344	XP_017794959.1	XP_015432740.1, XP_015432739.1
OG0005345	XP_017791057.1	XP_015434319.1
OG0005346	XP_017794820.1	XP_015432750.1
OG0005347	XP_017797935.1	XP_015430100.1
OG0005348	XP_017792729.1	XP_015429463.1
OG0005349	XP_017796140.1	XP_015431540.1
OG0005350	XP_017797695.1	XP_015439065.1
OG0005351	XP_017792864.1	XP_015438144.1
OG0005352	XP_017788264.1	XP_015431518.1
OG0005353	XP_017796158.1	XP_015434843.1
OG0005354	XP_017794817.1	XP_015432227.1
OG0005355	XP_017793425.1	XP_015437770.1
OG0005356	XP_017795442.1	XP_015438530.1
OG0005357	XP_017792388.1	XP_015438204.1
OG0005358	XP_017799518.1	XP_015436280.1
OG0005359	XP_017789486.1	XP_015433669.1
OG0005360	XP_017790181.1	XP_015429611.1
OG0005361	XP_017792585.1	XP_015429038.1
OG0005362	XP_017794748.1	XP_015433191.1
OG0005363	XP_017790075.1	XP_015436604.1, XP_015436603.1
OG0005364	XP_017799405.1	XP_015439329.1
OG0005365	XP_017791023.1	XP_015434633.1
OG0005366	XP_017795385.1	XP_015439655.1
OG0005367	XP_017791725.1	XP_015434317.1
OG0005368	XP_017797946.1	XP_015429659.1
OG0005369	XP_017792079.1	XP_015429957.1
OG0005370	XP_017788556.1	XP_015431073.1, XP_015431072.1
OG0005371	XP_017788358.1	XP_015432997.1
OG0005372	XP_017798981.1	XP_015435284.1
OG0005373	XP_017797161.1	XP_015438079.1
OG0005374	XP_017792667.1	XP_015429007.1
OG0005375	XP_017794337.1	XP_015436113.1
OG0005376	XP_017798975.1	XP_015435268.1
OG0005377	XP_017787469.1	XP_015430904.1, XP_015430903.1
OG0005378	XP_017792459.1	XP_015432246.1
OG0005379	XP_017792770.1	XP_015428473.1
OG0005380	XP_017792798.1	XP_015430608.1
OG0005381	XP_017788729.1	XP_015428568.1
OG0005382	XP_017791689.1	XP_015434350.1
OG0005383	XP_017789518.1	XP_015429377.1
OG0005384	XP_017787460.1	XP_015430889.1
OG0005385	XP_017791554.1	XP_015431371.1
OG0005386	XP_017792367.1	XP_015436928.1
OG0005387	XP_017795470.1	XP_015433427.1
OG0005388	XP_017790073.1	XP_015429728.1
OG0005389	XP_017787499.1	XP_015437489.1
OG0005390	XP_017793559.1	XP_015432488.1
OG0005391	XP_017791720.1	XP_015428936.1
OG0005392	XP_017792902.1	XP_015432494.1
OG0005393	XP_017794558.1	XP_015429652.1
OG0005394	XP_017788109.1	XP_015434306.1
OG0005395	XP_017795258.1	XP_015432601.1
OG0005396	XP_017792917.1	XP_015433161.1
OG0005397	XP_017791922.1, XP_017791923.1	XP_015435748.1
OG0005398	XP_017798963.1	XP_015435466.1
OG0005399	XP_017791621.1, XP_017791545.1	XP_015431404.1
OG0005400	XP_017789388.1	XP_015437638.1
OG0005401	XP_017791116.1	XP_015436697.1
OG0005402	XP_017788578.1	XP_015431148.1
OG0005403	XP_017788322.1	XP_015429926.1
OG0005404	XP_017790159.1	XP_015437663.1
OG0005405	XP_017797883.1	XP_015438730.1
OG0005406	XP_017797871.1	XP_015429684.1
OG0005407	XP_017798291.1	XP_015435084.1
OG0005408	XP_017789322.1	XP_015435897.1
OG0005409	XP_017789272.1	XP_015440506.1, XP_015440505.1
OG0005410	XP_017792302.1	XP_015438010.1
OG0005411	XP_017793988.1	XP_015430931.1
OG0005412	XP_017794796.1	XP_015434886.1
OG0005413	XP_017790779.1	XP_015433342.1
OG0005414	XP_017789526.1	XP_015432031.1
OG0005415	XP_017795534.1, XP_017795449.1	XP_015440034.1
OG0005416	XP_017791758.1	XP_015431172.1
OG0005417	XP_017789389.1	XP_015429322.1
OG0005418	XP_017787798.1	XP_015434528.1
OG0005419	XP_017797710.1	XP_015439274.1, XP_015439273.1
OG0005420	XP_017790074.1	XP_015429722.1
OG0005421	XP_017791186.1	XP_015432046.1
OG0005422	XP_017798926.1, XP_017796864.1	XP_015437040.1
OG0005423	XP_017795197.1	XP_015431089.1
OG0005424	XP_017792450.1	XP_015432215.1
OG0005425	XP_017799115.1	XP_015432946.1
OG0005426	XP_017789858.1	XP_015428540.1
OG0005427	XP_017791231.1	XP_015436336.1
OG0005428	XP_017794613.1	XP_015431833.1
OG0005429	XP_017796929.1	XP_015440340.1
OG0005430	XP_017794712.1	XP_015436735.1
OG0005431	XP_017792878.1	XP_015437039.1
OG0005432	XP_017788692.1	XP_015440293.1
OG0005433	XP_017790183.1	XP_015432631.1
OG0005434	XP_017795079.1	XP_015431153.1
OG0005435	XP_017795715.1	XP_015436291.1
OG0005436	XP_017794090.1	XP_015430939.1
OG0005437	XP_017798376.1	XP_015430351.1
OG0005438	XP_017791794.1	XP_015438342.1
OG0005439	XP_017788075.1	XP_015435847.1
OG0005440	XP_017794854.1	XP_015432748.1
OG0005441	XP_017793126.1	XP_015436312.1
OG0005442	XP_017796405.1	XP_015438008.1
OG0005443	XP_017795265.1	XP_015429796.1
OG0005444	XP_017794946.1	XP_015432751.1
OG0005445	XP_017795863.1	XP_015436311.1
OG0005446	XP_017794924.1	XP_015432724.1
OG0005447	XP_017798210.1	XP_015430761.1
OG0005448	XP_017797061.1	XP_015428865.1
OG0005449	XP_017796038.1	XP_015440265.1
OG0005450	XP_017793107.1	XP_015440436.1
OG0005451	XP_017788398.1	XP_015437275.1
OG0005452	XP_017797361.1	XP_015436380.1
OG0005453	XP_017792211.1, XP_017792210.1	XP_015440164.1
OG0005454	XP_017792156.1	XP_015439885.1
OG0005455	XP_017791865.1	XP_015437984.1
OG0005456	XP_017788055.1	XP_015434335.1
OG0005457	XP_017787883.1	XP_015429737.1
OG0005458	XP_017790810.1	XP_015439723.1
OG0005459	XP_017796867.1	XP_015429774.1
OG0005460	XP_017798965.1	XP_015435252.1
OG0005461	XP_017790539.1	XP_015429179.1
OG0005462	XP_017790339.1	XP_015436682.1
OG0005463	XP_017788243.1	XP_015435626.1, XP_015437775.1
OG0005464	XP_017795476.1	XP_015438446.1, XP_015438445.1
OG0005465	XP_017787712.1	XP_015429740.1
OG0005466	XP_017792989.1	XP_015438792.1
OG0005467	XP_017792593.1	XP_015437081.1
OG0005468	XP_017787557.1	XP_015432121.1
OG0005469	XP_017798367.1	XP_015430322.1, XP_015430323.1
OG0005470	XP_017796463.1	XP_015434954.1
OG0005471	XP_017793193.1	XP_015434566.1
OG0005472	XP_017793576.1	XP_015439769.1
OG0005474	XP_017797576.1	XP_015431966.1
OG0005475	XP_017798846.1	XP_015429501.1
OG0005476	XP_017793944.1, XP_017793852.1	XP_015431272.1
OG0005478	XP_017789688.1	XP_015428933.1
OG0005479	XP_017790264.1	XP_015436542.1
OG0005480	XP_017787723.1	XP_015431108.1
OG0005481	XP_017792116.1	XP_015430132.1
OG0005482	XP_017795835.1	XP_015437169.1, XP_015437170.1
OG0005483	XP_017788063.1	XP_015431555.1
OG0005484	XP_017789473.1	XP_015433658.1
OG0005485	XP_017796795.1	XP_015440105.1
OG0005486	XP_017799295.1	XP_015432947.1
OG0005489	XP_017789963.1	XP_015438552.1
OG0005490	XP_017794991.1	XP_015438686.1
OG0005492	XP_017793553.1	XP_015432424.1
OG0005495	XP_017799320.1	XP_015435423.1
OG0005496	XP_017798137.1	XP_015430738.1
OG0005497	XP_017796105.1	XP_015429448.1
OG0005498	XP_017797130.1	XP_015440313.1, XP_015435191.1
OG0005499	XP_017795187.1	XP_015430007.1
OG0005503	XP_017791641.1	XP_015429852.1
OG0005504	XP_017794781.1	XP_015433182.1
OG0005505	XP_017789024.1	XP_015438958.1
OG0005506	XP_017796706.1	XP_015433221.1
OG0005508	XP_017795524.1	XP_015436406.1
OG0005509	XP_017797444.1	XP_015432639.1
OG0005510	XP_017796690.1	XP_015437991.1
OG0005511	XP_017791391.1	XP_015431134.1
OG0005512	XP_017790969.1	XP_015435644.1
OG0005513	XP_017790136.1	XP_015429556.1
OG0005514	XP_017793798.1	XP_015435115.1
OG0005515	XP_017791361.1	XP_015434683.1
OG0005516	XP_017789227.1	XP_015438823.1
OG0005517	XP_017799606.1	XP_015430407.1
OG0005519	XP_017792958.1	XP_015428388.1
OG0005520	XP_017789629.1	XP_015428903.1
OG0005521	XP_017794096.1	XP_015430892.1
OG0005522	XP_017788432.1	XP_015432545.1
OG0005523	XP_017796466.1	XP_015433984.1
OG0005525	XP_017797225.1	XP_015436911.1
OG0005526	XP_017798406.1	XP_015430345.1
OG0005527	XP_017789941.1	XP_015434700.1
OG0005528	XP_017797462.1	XP_015438190.1
OG0005529	XP_017789184.1	XP_015437209.1
OG0005530	XP_017796539.1	XP_015435055.1
OG0005531	XP_017796303.1	XP_015439360.1
