Orthogroup	Vespa_mandarinia	Tribolium_castaneum
OG0003029	XP_035741993.1	XP_008190328.1
OG0003030	XP_035737992.1, XP_035737993.1	XP_975125.2
OG0003031	XP_035729388.1	XP_008196999.1
OG0003032	XP_035742893.1, XP_035729397.1	XP_015839253.1
OG0003033	XP_035735560.1	XP_968535.1
OG0003034	XP_035726677.1	XP_974218.2
OG0003035	XP_035738068.1	XP_970251.1, XP_968530.1, XP_001811309.1, XP_970916.1, XP_015836312.1
OG0003036	XP_035740988.1	XP_008194592.1, XP_970862.2
OG0003037	XP_035721845.1	XP_015839026.1
OG0003038	XP_035736702.1	XP_008193747.1
OG0003039	XP_035719353.1, XP_035719354.1	XP_971048.1
OG0003040	XP_035743662.1	XP_015839356.1
OG0003041	XP_035737397.1	XP_008191372.1
OG0003042	XP_035738406.1	XP_971724.1
OG0003043	XP_035724350.1	XP_967869.2
OG0003044	XP_035724312.1	XP_001807073.1
OG0003045	XP_035718652.1	XP_008200038.1, XP_008200039.1
OG0003046	XP_035741802.1	XP_015833349.1
OG0003047	XP_035722543.1	XP_015838534.1, XP_008197381.1
OG0003048	XP_035743355.1	XP_967403.1
OG0003049	XP_035734652.1, XP_035734653.1	XP_973522.1
OG0003050	XP_035717654.1	XP_008193695.1
OG0003051	XP_035721827.1	XP_015837348.1
OG0003052	XP_035729115.1	XP_008201218.1
OG0003053	XP_035740611.1	XP_967643.1
OG0003054	XP_035743012.1	XP_969567.1
OG0003055	XP_035722891.1	XP_008196693.1
OG0003056	XP_035732992.1	XP_008198127.1
OG0003057	XP_035732301.1, XP_035732300.1	XP_974835.2
OG0003058	XP_035730650.1	XP_968713.1
OG0003059	XP_035724803.1	XP_966518.1
OG0003060	XP_035736088.1	XP_008200870.2, XP_968936.1
OG0003061	XP_035735506.1	XP_973479.1
OG0003062	XP_035718130.1	XP_972999.1
OG0003063	XP_035729650.1	XP_015836272.1
OG0003064	XP_035743523.1	XP_969590.2
OG0003065	XP_035739488.1, XP_035739487.1, XP_035739486.1	XP_966833.1
OG0003066	XP_035738460.1	XP_970506.1, XP_974092.1, XP_015832971.1, XP_974064.1
OG0003067	XP_035729532.1	XP_008192697.1
OG0003068	XP_035743526.1	XP_008200645.1, XP_969017.1
OG0003069	XP_035738664.1	XP_015834280.1
OG0003070	XP_035724206.1	XP_008192180.1
OG0003071	XP_035721308.1	XP_969975.2
OG0003072	XP_035723048.1	XP_008199895.1
OG0003073	XP_035729252.1	XP_008201513.1
OG0003074	XP_035741351.1	XP_969137.2, XP_015839029.1, XP_015839030.1
OG0003075	XP_035717159.1, XP_035717162.1	XP_015833074.1
OG0003076	XP_035722959.1	XP_967512.2, XP_008193532.1
OG0003077	XP_035739388.1, XP_035739389.1, XP_035739390.1, XP_035739391.1, XP_035739393.1	XP_974817.2
OG0003078	XP_035730961.1	XP_971651.1
OG0003079	XP_035739179.1	XP_968302.2
OG0003080	XP_035734417.1, XP_035734421.1	XP_001813975.1
OG0003081	XP_035729790.1	XP_974175.1
OG0003082	XP_035722485.1	XP_015832945.1
OG0003083	XP_035732162.1	XP_008190400.1
OG0003084	XP_035728606.1	XP_015838142.1, XP_015838143.1, XP_015838144.1
OG0003085	XP_035721155.1	XP_015834790.1
OG0003086	XP_035723100.1, XP_035720232.1	XP_008194448.1
OG0003088	XP_035724519.1	XP_008195799.1
OG0003089	XP_035729131.1, XP_035729130.1	XP_008196791.1, XP_008196792.1
OG0003090	XP_035726981.1	XP_008197061.1
OG0003091	XP_035722584.1	XP_008200962.1
OG0003092	XP_035730022.1	XP_968011.1
OG0003093	XP_035727972.1, XP_035727973.1	XP_008196860.1
OG0003094	XP_035739529.1, XP_035739528.1, XP_035739530.1	XP_008192299.1, XP_975619.1
OG0003095	XP_035738386.1	XP_008201525.1
OG0003096	XP_035729702.1	XP_008192841.1
OG0003097	XP_035721617.1	XP_971757.2
OG0003098	XP_035732607.1, XP_035732608.1	XP_972614.1
OG0003099	XP_035724956.1	NP_001280512.1
OG0003101	XP_035718153.1	XP_970736.2
OG0003102	XP_035730737.1	XP_015835515.1, XP_015835514.1, XP_015835516.1
OG0003103	XP_035733856.1	XP_971115.1
OG0003104	XP_035719100.1, XP_035719103.1	XP_967714.1
OG0003105	XP_035739653.1	XP_008195881.1
OG0003106	XP_035719860.1	XP_015840972.1
OG0003107	XP_035733991.1	XP_008194345.1
OG0003108	XP_035729322.1	XP_966868.1
OG0003109	XP_035722707.1	XP_015840711.1
OG0003110	XP_035723181.1	XP_001807591.1
OG0003111	XP_035721020.1	XP_008190934.1
OG0003112	XP_035730168.1	XP_974678.1
OG0003113	XP_035723466.1	XP_008195004.1
OG0003114	XP_035721168.1	XP_966739.2
OG0003115	XP_035731533.1, XP_035731543.1	XP_008196359.1
OG0003116	XP_035717549.1	XP_973172.1
OG0003118	XP_035743780.1	XP_970590.1, XP_008192966.1
OG0003119	XP_035724308.1	XP_974896.1, XP_008195850.1
OG0003120	XP_035726218.1	XP_972872.1
OG0003121	XP_035724881.1	XP_001812334.1
OG0003122	XP_035718113.1	XP_971739.1
OG0003123	XP_035739386.1	XP_971630.1
OG0003124	XP_035738726.1	XP_968473.1
OG0003125	XP_035728497.1	XP_972454.1
OG0003126	XP_035725881.1	XP_008200566.1
OG0003127	XP_035724528.1	XP_015837413.1
OG0003128	XP_035736175.1	XP_970842.1
OG0003129	XP_035718044.1, XP_035718054.1	XP_008192563.1, XP_008192567.1
OG0003130	XP_035728780.1	XP_015833761.1
OG0003131	XP_035732650.1	XP_015840602.1
OG0003132	XP_035729515.1, XP_035729527.1	XP_015836476.1
OG0003133	XP_035741348.1	XP_015833828.1
OG0003134	XP_035720061.1	XP_008190997.1
OG0003135	XP_035728138.1	XP_971031.1
OG0003136	XP_035720162.1	XP_970142.1
OG0003137	XP_035730345.1	XP_967733.1
OG0003138	XP_035717363.1	XP_015840286.1
OG0003139	XP_035720769.1	XP_966439.1
OG0003140	XP_035717442.1	XP_972507.2
OG0003141	XP_035728759.1	XP_015840515.1
OG0003142	XP_035724740.1, XP_035724746.1	XP_008195449.1, XP_008195448.1, XP_974516.2
OG0003144	XP_035738144.1, XP_035738143.1, XP_035738142.1	XP_015835152.1, NP_001164096.1
OG0003145	XP_035743773.1	XP_008194838.1
OG0003146	XP_035739816.1	XP_008200813.1
OG0003147	XP_035739881.1, XP_035739905.1	XP_008200559.1
OG0003148	XP_035740587.1	XP_975051.1, XP_008192151.1, XP_008192150.1
OG0003149	XP_035721803.1, XP_035721804.1	XP_008195930.1
OG0003150	XP_035721681.1	XP_971373.1
OG0003151	XP_035730845.1	XP_008193476.1
OG0003152	XP_035722675.1	XP_015840198.1
OG0003153	XP_035731794.1	XP_015836700.1
OG0003154	XP_035717806.1	XP_015834456.1
OG0003155	XP_035725045.1	XP_015836826.1, XP_015836827.1
OG0003156	XP_035723116.1	XP_970628.2, XP_008192816.1
OG0003157	XP_035722710.1	XP_008193555.1
OG0003158	XP_035727596.1, XP_035727597.1	XP_008192943.1
OG0003159	XP_035743513.1	XP_008192439.1
OG0003160	XP_035733208.1	XP_015838465.1
OG0003161	XP_035738561.1	XP_015832940.1
OG0003162	XP_035742435.1	XP_008199099.1
OG0003163	XP_035725850.1	XP_008199839.1
OG0003164	XP_035717219.1	XP_015839860.1
OG0003165	XP_035740868.1, XP_035740859.1	XP_972219.1
OG0003166	XP_035726721.1	XP_972918.1
OG0003167	XP_035731967.1	XP_969621.2
OG0003168	XP_035729716.1	XP_008194089.1
OG0003169	XP_035720821.1	XP_974447.1
OG0003170	XP_035726074.1	XP_008195512.1
OG0003171	XP_035733635.1	XP_008196499.1
OG0003172	XP_035730371.1, XP_035730372.1	XP_015837722.1
OG0003173	XP_035735272.1	XP_974657.1
OG0003174	XP_035738845.1	XP_015834210.1
OG0003175	XP_035734197.1	XP_015839667.1, XP_008195361.2
OG0003176	XP_035725380.1	XP_008197063.1
OG0003177	XP_035720528.1	XP_972573.1
OG0003178	XP_035740207.1	XP_008191209.1
OG0003179	XP_035738061.1, XP_035738062.1	XP_015833277.1, XP_974036.1
OG0003180	XP_035721188.1	XP_971969.2
OG0003181	XP_035738939.1	XP_008195655.1
OG0003182	XP_035723388.1	XP_015833524.1
OG0003183	XP_035739782.1	XP_008195336.1
OG0003184	XP_035735969.1	XP_015840386.1
OG0003185	XP_035725168.1, XP_035725160.1	XP_015840845.1
OG0003186	XP_035734664.1	XP_015836813.1
OG0003187	XP_035718757.1, XP_035718758.1	XP_974457.2
OG0003188	XP_035733772.1, XP_035733754.1	XP_008200077.1
OG0003189	XP_035720611.1	XP_015835756.1, XP_015835757.1, XP_008193949.1
OG0003190	XP_035734350.1	XP_015839153.1
OG0003191	XP_035740710.1	XP_015839270.1
OG0003193	XP_035726997.1, XP_035727038.1	XP_015837056.1
OG0003194	XP_035732788.1	XP_015834747.1
OG0003195	XP_035719921.1, XP_035719911.1	XP_008194574.1
OG0003197	XP_035743003.1	XP_008199987.1, XP_008199986.1
OG0003198	XP_035728056.1	XP_974582.1
OG0003199	XP_035744181.1	XP_015840449.1
OG0003200	XP_035730190.1	XP_015838961.1
OG0003201	XP_035725568.1	XP_008200292.1
OG0003203	XP_035742243.1	XP_967293.1
OG0003204	XP_035737978.1, XP_035737976.1, XP_035737977.1, XP_035737974.1, XP_035737975.1	XP_969356.1, XP_008197981.1
OG0003205	XP_035736340.1	XP_971933.1, XP_008198232.1
OG0003206	XP_035740849.1	XP_008198470.1, NP_001280520.1
OG0003207	XP_035717491.1	XP_015839421.1
OG0003208	XP_035720212.1	XP_975099.1
OG0003209	XP_035734588.1	XP_015839890.1
OG0003211	XP_035729202.1, XP_035729201.1	XP_001810887.1, XP_015835565.1
OG0003212	XP_035717961.1	XP_008191000.1
OG0003213	XP_035718465.1	XP_015837493.1
OG0003214	XP_035729460.1	XP_968279.3
OG0003215	XP_035738960.1, XP_035738962.1, XP_035738959.1	XP_008199287.1
OG0003218	XP_035738815.1	XP_008192192.1, XP_015834693.1
OG0003220	XP_035726253.1, XP_035726254.1	XP_008199225.1
OG0003221	XP_035739503.1, XP_035739504.1	XP_972306.2
OG0003222	XP_035736230.1	XP_969428.1
OG0003225	XP_035732666.1, XP_035732667.1	XP_976228.2
OG0003226	XP_035723101.1	XP_008201510.1
OG0003227	XP_035732916.1	XP_008191710.1
OG0003228	XP_035731210.1	XP_008201374.1, XP_971186.1, XP_015837578.1, XP_015840779.1
OG0003229	XP_035736448.1	XP_976341.1
OG0003230	XP_035742903.1	XP_015834670.1, XP_968051.2
OG0003231	XP_035723023.1, XP_035723038.1	XP_015837752.1
OG0003232	XP_035738321.1	NP_001104011.1
OG0003234	XP_035719420.1	XP_015836118.1
OG0003237	XP_035723597.1, XP_035723596.1, XP_035723599.1, XP_035723598.1	XP_008201440.1
OG0003238	XP_035723443.1	XP_969297.1
OG0003239	XP_035720563.1	XP_970663.1, XP_008193938.1
OG0003240	XP_035743699.1	XP_008198889.1
OG0003241	XP_035740857.1	XP_975837.2, XP_015833070.1
OG0003242	XP_035721921.1	XP_008199325.1, XP_970274.2, XP_008199324.1
OG0003243	XP_035740901.1, XP_035740904.1	XP_008200437.1
OG0003244	XP_035723224.1, XP_035723222.1, XP_035723223.1	XP_008197607.2
OG0003245	XP_035743592.1	XP_008194155.1
OG0003246	XP_035739588.1	XP_015835535.1
OG0003247	XP_035727831.1	XP_975142.1
OG0003248	XP_035742638.1	XP_015835083.1, XP_015835086.1
OG0003249	XP_035725044.1	XP_008193783.1
OG0003250	XP_035735197.1	XP_008197205.1, XP_008201356.1
OG0003252	XP_035739731.1	XP_008200606.1
OG0003256	XP_035740230.1	XP_001810875.1
OG0003257	XP_035718494.1	XP_008195048.1
OG0003258	XP_035726741.1, XP_035726742.1	XP_008200973.1
OG0003259	XP_035719642.1	XP_008191018.2, XP_966599.2
OG0003261	XP_035735048.1	XP_015838182.1, XP_015838180.1, XP_015838181.1, XP_008196714.1, XP_008196715.1, XP_008196711.1, XP_008196712.1, XP_015838179.1
OG0003262	XP_035718628.1, XP_035718638.1	XP_970781.1
OG0003263	XP_035738705.1, XP_035738706.1	XP_973546.1
OG0003264	XP_035728111.1	NP_001164361.1
OG0003265	XP_035724031.1	XP_008201651.1
OG0003266	XP_035731454.1	XP_015837390.1
OG0003267	XP_035742865.1	NP_001128195.1, XP_008195704.1
OG0003268	XP_035742161.1	XP_974659.1
OG0003269	XP_035726610.1	XP_969612.1
OG0003270	XP_035738651.1	XP_969846.1, XP_008193934.1
OG0003271	XP_035734515.1	XP_968889.1
OG0003272	XP_035728469.1	XP_968917.1
OG0003273	XP_035729187.1	XP_973278.2
OG0003274	XP_035737352.1, XP_035737353.1	XP_015836483.1, XP_015834685.1
OG0003275	XP_035724285.1	XP_975066.2
OG0003276	XP_035737487.1	XP_008192336.1
OG0003277	XP_035732970.1	XP_973249.1
OG0003279	XP_035743705.1	XP_971430.1, XP_008199556.1
OG0003280	XP_035734371.1	XP_008198200.1
OG0003281	XP_035718063.1	XP_974741.2
OG0003282	XP_035718327.1, XP_035718326.1	XP_015835098.1, XP_971662.1, XP_015835095.1
OG0003283	XP_035741166.1, XP_035741165.1, XP_035741170.1, XP_035741169.1, XP_035741168.1	XP_970867.1, XP_972271.1
OG0003284	XP_035718654.1	XP_008190551.1
OG0003285	XP_035741164.1, XP_035741163.1	XP_968042.1
OG0003286	XP_035718630.1, XP_035718629.1	XP_970538.1
OG0003287	XP_035731424.1	XP_008192103.1, XP_008192102.1
OG0003288	XP_035732216.1	XP_975411.1
OG0003289	XP_035729298.1	NP_001164139.1, XP_008200420.1
OG0003290	XP_035727552.1	XP_967987.1
OG0003291	XP_035732120.1	XP_008195736.1
OG0003292	XP_035733518.1	XP_967415.1
OG0003293	XP_035718330.1	XP_008196397.1
OG0003294	XP_035739275.1	XP_975631.1
OG0003295	XP_035732410.1	XP_967504.2
OG0003296	XP_035733153.1	XP_008197505.1
OG0003297	XP_035735798.1	XP_973895.1
OG0003298	XP_035726311.1	XP_008192926.1
OG0003299	XP_035739810.1	XP_971498.1
OG0003300	XP_035725357.1	XP_973654.2
OG0003301	XP_035738509.1	XP_008192687.1, XP_967031.1
OG0003302	XP_035735804.1	XP_968462.1
OG0003303	XP_035730093.1	NP_001106933.1, XP_008194040.1
OG0003304	XP_035723209.1, XP_035723208.1	XP_008191927.1, XP_008191926.1
OG0003305	XP_035741062.1	XP_966576.1
OG0003306	XP_035741320.1	XP_969661.1
OG0003307	XP_035717540.1	XP_008192922.1
OG0003308	XP_035722530.1	XP_972659.1
OG0003309	XP_035731693.1	XP_008199043.1, XP_968923.1
OG0003310	XP_035729941.1, XP_035729946.1	XP_008198915.1
OG0003311	XP_035724561.1	XP_973274.1
OG0003312	XP_035744115.1, XP_035744113.1, XP_035744114.1	XP_008197403.1
OG0003313	XP_035732310.1	XP_974197.1
OG0003314	XP_035737276.1	XP_008195843.1
OG0003315	XP_035732121.1	XP_970389.1, XP_008195730.1
OG0003316	XP_035738863.1	XP_015835823.1
OG0003317	XP_035727167.1	XP_015835675.1
OG0003318	XP_035732012.1	XP_972119.1
OG0003319	XP_035733870.1	XP_970045.1
OG0003320	XP_035743483.1, XP_035743482.1	XP_969230.1
OG0003321	XP_035741235.1, XP_035741236.1	XP_972780.1
OG0003322	XP_035729026.1, XP_035729027.1	XP_008199414.1
OG0003323	XP_035728786.1	XP_974433.1
OG0003324	XP_035719720.1	XP_015840379.1
OG0003325	XP_035718690.1	XP_008196032.1
OG0003326	XP_035728527.1, XP_035728522.1	XP_972459.1
OG0003327	XP_035723794.1	NP_001153782.1, XP_968093.1
OG0003328	XP_035736788.1	XP_973113.1
OG0003329	XP_035728919.1, XP_035731780.1	XP_968639.1
OG0003330	XP_035718836.1	XP_015837793.1
OG0003331	XP_035731361.1	XP_008197836.1
OG0003332	XP_035729221.1, XP_035729220.1	XP_967369.1
OG0003333	XP_035741779.1	XP_008191503.1
OG0003334	XP_035743484.1	XP_971340.1
OG0003335	XP_035727168.1	XP_008198099.1
OG0003336	XP_035728871.1	XP_969755.2
OG0003337	XP_035723562.1	XP_974141.2
OG0003339	XP_035741663.1	XP_015833860.1
OG0003340	XP_035738602.1	XP_015839037.1
OG0003341	XP_035721880.1	XP_008199407.1
OG0003342	XP_035725102.1	XP_008196629.1
OG0003343	XP_035723889.1	NP_001107837.1, XP_015832928.1
OG0003344	XP_035725686.1	XP_969878.1
OG0003345	XP_035718124.1	XP_015839239.1
OG0003346	XP_035731959.1	XP_008201244.1, NP_001034519.1
OG0003347	XP_035723668.1	XP_974775.1
OG0003348	XP_035721843.1	XP_008191111.1
OG0003349	XP_035732552.1, XP_035732553.1, XP_035732554.1	XP_015833913.1
OG0003350	XP_035727967.1	XP_008192723.1
OG0003351	XP_035724391.1	XP_973079.1
OG0003352	XP_035721624.1, XP_035721623.1, XP_035721625.1	XP_015833132.1
OG0003353	XP_035735740.1	XP_973934.2
OG0003354	XP_035718365.1	XP_969841.1
OG0003355	XP_035728055.1	XP_970925.2
OG0003356	XP_035722726.1	XP_008194232.2
OG0003357	XP_035724204.1	XP_008195128.1
OG0003358	XP_035722483.1, XP_035722484.1	XP_008198689.1
OG0003359	XP_035724812.1	XP_008192494.1
OG0003360	XP_035728885.1	XP_970407.1
OG0003361	XP_035727479.1	NP_001139384.1, XP_008192465.1
OG0003362	XP_035720015.1	XP_008198521.1
OG0003363	XP_035720403.1	NP_001106938.1
OG0003364	XP_035740889.1	XP_008198964.1, XP_015833996.1
OG0003365	XP_035717297.1	XP_970914.1, XP_008194272.1
OG0003366	XP_035739617.1	XP_008199508.1, XP_008199509.1, XP_008192806.1
OG0003367	XP_035718967.1	XP_008199394.1
OG0003368	XP_035739305.1	XP_008194972.1, NP_001164129.1
OG0003369	XP_035724767.1	XP_008195982.2
OG0003370	XP_035717656.1	XP_008199447.2
OG0003371	XP_035736333.1	XP_974687.2
OG0003372	XP_035726938.1	XP_969973.1
OG0003373	XP_035722659.1	XP_015835659.1
OG0003374	XP_035720667.1	XP_001807778.1
OG0003375	XP_035723483.1, XP_035723481.1, XP_035723482.1	XP_008197761.1
OG0003376	XP_035722990.1	XP_008192548.1
OG0003377	XP_035738674.1	XP_008201154.1
OG0003378	XP_035727593.1	XP_008200229.1, XP_008200223.1
OG0003380	XP_035726937.1	XP_974999.1
OG0003381	XP_035741813.1, XP_035741814.1	XP_008192168.1
OG0003382	XP_035725909.1	XP_008201713.1
OG0003383	XP_035727252.1	XP_974028.1
OG0003384	XP_035734296.1, XP_035734295.1	XP_008198245.1, XP_972815.1, XP_008198246.1
OG0003385	XP_035736855.1	XP_015837239.1
OG0003387	XP_035722998.1	XP_970657.1
OG0003388	XP_035718223.1, XP_035718221.1	XP_008193982.1
OG0003389	XP_035717111.1	XP_974088.2, XP_008194193.2
OG0003390	XP_035726519.1	XP_008193784.1
OG0003391	XP_035729229.1	XP_008199553.1, XP_008190888.1
OG0003392	XP_035732084.1, XP_035732086.1	XP_015839127.1
OG0003393	XP_035717916.1	XP_968690.1
OG0003395	XP_035720392.1	XP_015833637.1
OG0003396	XP_035717748.1, XP_035717750.1, XP_035717749.1	XP_968898.1
OG0003397	XP_035719266.1	XP_970604.1
OG0003398	XP_035719951.1	XP_969016.3
OG0003399	XP_035744144.1	XP_008193699.1
OG0003400	XP_035739357.1	XP_008198207.1
OG0003401	XP_035738196.1	XP_974608.1
OG0003402	XP_035729389.1, XP_035729390.1	XP_001807559.1
OG0003403	XP_035738309.1	XP_015839241.1, XP_015839240.1
OG0003404	XP_035730589.1	XP_008196762.1
OG0003405	XP_035722368.1	XP_008192210.1
OG0003406	XP_035729691.1, XP_035729689.1	XP_015840297.1
OG0003407	XP_035726440.1, XP_035726441.1	XP_971021.1
OG0003408	XP_035731927.1	XP_970226.1, XP_008198773.1
OG0003410	XP_035725212.1	XP_008193017.1
OG0003411	XP_035743732.1	XP_970605.2
OG0003412	XP_035719157.1	XP_008200696.2
OG0003413	XP_035720341.1, XP_035720342.1	XP_968721.1
OG0003414	XP_035721820.1	XP_968431.1
OG0003415	XP_035723163.1	XP_974414.1
OG0003416	XP_035718744.1	XP_008192111.1
OG0003417	XP_035733678.1	XP_975392.1
OG0003419	XP_035721055.1	XP_008201106.1
OG0003420	XP_035717779.1	XP_975311.2
OG0003421	XP_035733630.1	XP_015836663.1, XP_008195097.1
OG0003422	XP_035730649.1	XP_969858.1
OG0003423	XP_035730539.1, XP_035730540.1	XP_008191170.2
OG0003424	XP_035721506.1	XP_008193894.1
OG0003425	XP_035732435.1	XP_970165.1
OG0003426	XP_035743362.1	XP_967164.2
OG0003428	XP_035719989.1	XP_969482.1
OG0003429	XP_035723467.1	XP_008194420.1
OG0003430	XP_035724172.1, XP_035724163.1	XP_015838000.1, XP_967233.2
OG0003431	XP_035733301.1	XP_973216.2
OG0003432	XP_035725437.1	XP_008198745.1
OG0003433	XP_035741120.1, XP_035741121.1	XP_008195123.1
OG0003434	XP_035735513.1	XP_008198501.1
OG0003435	XP_035740650.1, XP_035725169.1	XP_969028.1
OG0003436	XP_035727257.1	XP_015833550.1
OG0003437	XP_035719949.1, XP_035719945.1, XP_035719957.1	XP_971616.1
OG0003438	XP_035742845.1	XP_015837111.1
OG0003439	XP_035743413.1	XP_967669.1
OG0003441	XP_035735648.1	XP_008192116.1
OG0003442	XP_035739149.1, XP_035739233.1	XP_001813222.2
OG0003443	XP_035741581.1	XP_008194507.1, XP_001810308.1
OG0003444	XP_035735680.1	XP_972944.2
OG0003445	XP_035724660.1	XP_008191608.1
OG0003446	XP_035725082.1	XP_008191716.1, NP_001034533.1
OG0003447	XP_035744102.1	XP_972185.1
OG0003448	XP_035720707.1, XP_035720709.1, XP_035720708.1	XP_968783.3
OG0003449	XP_035719816.1	XP_008199221.1
OG0003450	XP_035735266.1	XP_975997.1
OG0003451	XP_035728590.1	NP_001164283.1, XP_008198999.1
OG0003452	XP_035721502.1	XP_972065.2
OG0003453	XP_035734224.1	XP_966562.1
OG0003454	XP_035735593.1, XP_035735594.1	XP_969326.1
OG0003455	XP_035722544.1	XP_967436.1
OG0003456	XP_035720055.1, XP_035720058.1, XP_035720056.1, XP_035720060.1, XP_035720059.1	XP_967297.1
OG0003457	XP_035738969.1	XP_971915.1
OG0003458	XP_035733700.1	XP_967192.2
OG0003459	XP_035739605.1	XP_975621.1
OG0003460	XP_035732966.1	XP_971025.2
OG0003461	XP_035735651.1, XP_035735652.1, XP_035735655.1	XP_008196927.2
OG0003463	XP_035719502.1	NP_001153721.1
OG0003464	XP_035717463.1	XP_971685.1
OG0003465	XP_035730976.1, XP_035730988.1	XP_008197705.1
OG0003466	XP_035722097.1	XP_008198199.1
OG0003467	XP_035739108.1	XP_971784.1
OG0003468	XP_035731548.1	XP_974962.1
OG0003470	XP_035718829.1	XP_015834687.1
OG0003471	XP_035724488.1	XP_973735.1
OG0003472	XP_035718671.1	XP_968085.1
OG0003473	XP_035740031.1	XP_008201210.1
OG0003474	XP_035722625.1	XP_969684.1
OG0003475	XP_035737256.1	XP_015839694.1
OG0003476	XP_035735088.1	XP_015839296.1, XP_015839299.1, XP_015839297.1
OG0003477	XP_035738717.1, XP_035738718.1	XP_015833317.1, XP_975225.1
OG0003478	XP_035723090.1	XP_971851.1
OG0003479	XP_035727087.1	XP_970344.2
OG0003480	XP_035730689.1, XP_035730708.1	XP_973347.1
OG0003481	XP_035738941.1, XP_035738952.1, XP_035738931.1, XP_035738961.1	XP_015835781.1
OG0003482	XP_035723792.1, XP_035723791.1	XP_974350.1
OG0003483	XP_035724112.1	XP_975150.1
OG0003484	XP_035720488.1	XP_015838763.1
OG0003485	XP_035719203.1	XP_008197724.1
OG0003486	XP_035729809.1, XP_035729810.1, XP_035729808.1	XP_974924.1
OG0003487	XP_035717432.1	XP_973866.2
OG0003488	XP_035719078.1	XP_971607.2
OG0003489	XP_035725986.1	XP_969874.1
OG0003490	XP_035723257.1	XP_015834660.1
OG0003491	XP_035734012.1	XP_015839807.1
OG0003492	XP_035722321.1, XP_035722319.1	XP_008194887.1
OG0003493	XP_035725217.1	XP_008196190.1
OG0003494	XP_035728926.1, XP_035728925.1	XP_970578.1
OG0003495	XP_035739750.1	XP_973445.1
OG0003496	XP_035727473.1	XP_970303.1
OG0003497	XP_035717989.1	XP_967550.1
OG0003498	XP_035732560.1, XP_035732559.1, XP_035732561.1, XP_035732558.1	XP_008191163.1
OG0003499	XP_035737779.1, XP_035737771.1	XP_968497.2
OG0003500	XP_035737356.1, XP_035737354.1, XP_035737355.1	XP_008190862.1, XP_968956.1
OG0003501	XP_035740613.1	XP_008192902.2
OG0003502	XP_035738145.1	XP_970521.1
OG0003503	XP_035731958.1	XP_008191516.2, XP_015840697.1
OG0003504	XP_035742148.1	XP_015835000.1
OG0003506	XP_035720775.1	XP_968980.1
OG0003507	XP_035726875.1	NP_001034538.1, XP_008195064.1
OG0003508	XP_035738765.1, XP_035738767.1, XP_035738766.1	XP_972877.1
OG0003509	XP_035722353.1	XP_008192430.1
OG0003510	XP_035718282.1	XP_015837770.1
OG0003511	XP_035741063.1	XP_008195456.1
OG0003512	XP_035720217.1	XP_973569.2
OG0003513	XP_035718942.1	XP_008191010.1
OG0003514	XP_035729687.1, XP_035729686.1	XP_966918.1
OG0003515	XP_035732586.1, XP_035732590.1	XP_008190306.1
OG0003516	XP_035732681.1, XP_035732683.1, XP_035732682.1	XP_001808987.1
OG0003517	XP_035738336.1	XP_970071.1
OG0003518	XP_035718417.1	XP_972118.2
OG0003519	XP_035734592.1	XP_008192483.1
OG0003520	XP_035743414.1	XP_966993.2
OG0003521	XP_035734073.1	XP_973057.1, XP_008201589.1
OG0003522	XP_035732365.1	XP_001812550.1
OG0003523	XP_035742503.1	XP_008195146.1
OG0003524	XP_035722043.1	XP_008194241.1
OG0003525	XP_035720476.1, XP_035720475.1	XP_008199510.2
OG0003526	XP_035743557.1	XP_008197506.1
OG0003527	XP_035718095.1	XP_015833512.1
OG0003528	XP_035720996.1, XP_035720997.1, XP_035720994.1, XP_035720995.1	XP_008200525.1, XP_008200526.1
OG0003529	XP_035743257.1	XP_008196635.1
OG0003530	XP_035729917.1, XP_035729918.1, XP_035729916.1	XP_974944.1
OG0003532	XP_035742315.1	XP_008197690.1, XP_008197691.1
OG0003533	XP_035724094.1, XP_035723847.1	XP_001813387.1
OG0003534	XP_035736183.1	XP_015840564.1
OG0003535	XP_035737568.1	XP_970554.1
OG0003536	XP_035739524.1	XP_008191826.1
OG0003537	XP_035735664.1	XP_008197469.1
OG0003538	XP_035732596.1, XP_035732595.1	XP_971862.1
OG0003539	XP_035718047.1	XP_970892.1
OG0003541	XP_035717964.1	XP_008200928.1
OG0003542	XP_035723678.1, XP_035723677.1, XP_035723676.1	XP_968817.1
OG0003543	XP_035742292.1	XP_974555.1
OG0003544	XP_035728278.1	XP_975490.1
OG0003545	XP_035719835.1	XP_974369.1, NP_001107792.1
OG0003546	XP_035736975.1	XP_015834035.1
OG0003547	XP_035730562.1	XP_008196287.1
OG0003548	XP_035732987.1	XP_015835777.1
OG0003549	XP_035738447.1	XP_972796.1, XP_972842.1
OG0003550	XP_035732609.1	XP_008191653.2
OG0003551	XP_035727353.1	XP_969418.2
OG0003552	XP_035729972.1	XP_001816051.2
OG0003553	XP_035738616.1	XP_966414.1, XP_015834040.1, XP_015834041.1
OG0003554	XP_035721413.1, XP_035721411.1, XP_035721412.1	XP_008191338.1
OG0003555	XP_035734856.1, XP_035734860.1, XP_035734859.1, XP_035734857.1	XP_969359.1
OG0003556	XP_035739412.1	XP_008197977.1
OG0003557	XP_035742101.1	XP_008194275.1
OG0003558	XP_035732785.1	XP_008200863.1, NP_001139383.1
OG0003559	XP_035717241.1	XP_015833739.1
