Orthogroup	Vespa_mandarinia	Acyrthosiphon_pisum
OG0003811	XP_035728879.1	NP_001313587.1
OG0003812	XP_035728413.1	XP_001942516.1
OG0003813	XP_035742745.1, XP_035742744.1	XP_001942529.1
OG0003814	XP_035720868.1	XP_001942581.2
OG0003815	XP_035735905.1, XP_035735904.1	XP_001942587.2
OG0003816	XP_035731093.1	XP_001942659.2
OG0003817	XP_035738918.1	XP_001942949.2
OG0003818	XP_035719142.1	XP_001943236.2
OG0003819	XP_035735161.1	XP_001943025.1
OG0003820	XP_035743778.1	XP_001943038.2
OG0003821	XP_035718217.1	XP_001943062.1
OG0003822	XP_035743460.1	XP_008180230.1, XP_008180228.1, XP_008180229.1, XP_001943247.2
OG0003823	XP_035729097.1	XP_001943258.2
OG0003824	XP_035721941.1, XP_035721940.1	XP_001943284.1
OG0003825	XP_035737088.1	XP_001943304.2
OG0003826	XP_035725871.1	XP_001943326.3
OG0003827	XP_035726669.1	XP_001943330.2
OG0003828	XP_035740971.1	XP_001943357.1
OG0003829	XP_035728371.1	XP_001943381.2
OG0003830	XP_035726771.1	XP_001943388.2
OG0003831	XP_035735598.1, XP_035735599.1	XP_001943455.1
OG0003832	XP_035730088.1	XP_001943486.1
OG0003833	XP_035731786.1	XP_001943692.1, XP_016663218.1
OG0003834	XP_035731104.1	XP_001943697.1, XP_016658916.1
OG0003835	XP_035727550.1	XP_001943742.1
OG0003836	XP_035742747.1, XP_035742754.1	XP_001943750.1
OG0003837	XP_035734909.1	XP_001943759.2
OG0003838	XP_035739876.1	XP_001943900.1, XP_016665102.1
OG0003839	XP_035717427.1	XP_001943978.1
OG0003840	XP_035728110.1, XP_035728109.1	XP_001949223.2, XP_001944018.1
OG0003841	XP_035718343.1, XP_035718344.1	XP_001946480.1, XP_001944026.1
OG0003842	XP_035729846.1	XP_001944141.1
OG0003843	XP_035717944.1	XP_001944151.1
OG0003844	XP_035735128.1	XP_016663934.1, XP_001944167.2, XP_008188086.1, XP_008188087.1
OG0003845	XP_035739934.1	XP_016656589.1, XP_016656588.1, XP_016656587.1, XP_001944222.1
OG0003846	XP_035743352.1	XP_001944514.2, XP_029342616.1
OG0003847	XP_035722162.1	XP_001944548.2
OG0003848	XP_035727970.1, XP_035727969.1	XP_001944559.1
OG0003849	XP_035734278.1	XP_001944574.2
OG0003850	XP_035736696.1	XP_001944577.1
OG0003851	XP_035734667.1	XP_001944657.2
OG0003852	XP_035724992.1	XP_001944765.1
OG0003853	XP_035721416.1	XP_001944785.3
OG0003854	XP_035731886.1	XP_001944817.2
OG0003855	XP_035738009.1	XP_001944835.2, XP_029348623.1, XP_029348618.1
OG0003856	XP_035733799.1, XP_035733797.1, XP_035733796.1	XP_001944890.1
OG0003857	XP_035730798.1	XP_001944974.2, XP_008185306.2
OG0003858	XP_035726436.1, XP_035726438.1, XP_035726437.1	XP_001945183.2
OG0003859	XP_035723901.1	XP_001945207.2
OG0003860	XP_035717409.1	XP_001951861.2, XP_029347656.1, XP_001945243.1, XP_029341380.1
OG0003861	XP_035740311.1, XP_035740310.1	XP_001945258.1
OG0003862	XP_035731852.1	XP_001945273.1
OG0003863	XP_035728957.1	XP_001945307.2, XP_016663223.1
OG0003864	XP_035742818.1	XP_001945341.1
OG0003865	XP_035735177.1	XP_001945587.2
OG0003866	XP_035729570.1	XP_001945589.1
OG0003867	XP_035723875.1	XP_001945644.2
OG0003868	XP_035733187.1	XP_029347890.1, XP_001945758.1, XP_003244583.1
OG0003869	XP_035723122.1	XP_001945969.1, XP_029343747.1, XP_029343748.1, XP_008184637.1
OG0003870	XP_035740870.1	XP_001946018.2, XP_029344724.1, XP_029344725.1
OG0003871	XP_035724594.1	XP_001946053.3, XP_008178793.1
OG0003872	XP_035738828.1, XP_035738827.1	XP_003240388.2, XP_029341196.1, XP_001946108.2
OG0003873	XP_035726635.1	XP_001946132.1
OG0003874	XP_035728688.1	XP_001946140.1
OG0003875	XP_035726108.1	XP_001946199.1
OG0003876	XP_035738388.1	XP_001946205.5
OG0003877	XP_035727676.1, XP_035727677.1, XP_035727675.1	XP_001946225.1, XP_008179331.1
OG0003878	XP_035720369.1	XP_001946282.3
OG0003879	XP_035723050.1	XP_001946595.2, XP_001946324.2, XP_029341656.1, XP_029348658.1
OG0003880	XP_035721142.1	XP_001946327.2
OG0003881	XP_035717227.1	XP_001946547.1, XP_008189573.1
OG0003882	XP_035722477.1, XP_035722479.1	XP_001946627.2
OG0003883	XP_035721277.1	XP_029346499.1, XP_029346500.1, XP_003242089.1, XP_001946706.1
OG0003884	XP_035724247.1	XP_001946729.2
OG0003885	XP_035741602.1, XP_035741601.1	XP_001946730.1
OG0003886	XP_035743684.1	XP_001946793.1
OG0003887	XP_035740302.1, XP_035740303.1	XP_001946898.1
OG0003888	XP_035737789.1	XP_001946943.2
OG0003889	XP_035742474.1, XP_035742475.1, XP_035733598.1	XP_001947064.1, XP_001950350.1
OG0003890	XP_035734065.1, XP_035734063.1	XP_001947073.1
OG0003891	XP_035736151.1	XP_001947218.2
OG0003892	XP_035743337.1	XP_003246046.1, XP_003240667.1, XP_001947246.1
OG0003893	XP_035742324.1	XP_001947253.1
OG0003894	XP_035738443.1	XP_003242316.1, XP_029348614.1, XP_001947347.2
OG0003895	XP_035726725.1, XP_035726724.1, XP_035726723.1	XP_001947487.1
OG0003896	XP_035727124.1	XP_003244016.1, XP_001950659.1, XP_001947545.2
OG0003897	XP_035739094.1	XP_001947564.2
OG0003898	XP_035741665.1	XP_001947588.2
OG0003899	XP_035725468.1	XP_001947595.2
OG0003900	XP_035724330.1	XP_016657440.1, XP_001947713.3
OG0003901	XP_035717672.1	XP_001947756.1
OG0003902	XP_035731275.1	XP_001947769.2
OG0003903	XP_035718088.1	XP_001947783.3
OG0003904	XP_035730598.1, XP_035730600.1, XP_035730599.1	XP_001947910.1
OG0003905	XP_035737153.1	XP_001947991.1
OG0003906	XP_035730548.1	XP_001948005.1
OG0003907	XP_035739183.1	XP_001948184.2
OG0003908	XP_035726411.1	XP_001948190.2
OG0003909	XP_035743286.1	XP_008188131.1, XP_001948205.2, XP_029346791.1
OG0003910	XP_035726258.1, XP_035726257.1	XP_001948398.2
OG0003911	XP_035725054.1	XP_001948475.2
OG0003912	XP_035721017.1	XP_001948509.2
OG0003913	XP_035740890.1	XP_008189865.1, XP_001948669.2
OG0003914	XP_035737812.1	XP_001948813.1
OG0003915	XP_035738805.1, XP_035738804.1	XP_001948850.2, XP_016664457.1
OG0003916	XP_035736861.1	XP_001948870.2
OG0003917	XP_035729612.1	XP_001948879.2
OG0003918	XP_035727577.1	XP_001948892.2, XP_029342874.1, XP_029342875.1
OG0003919	XP_035717224.1, XP_035717223.1	XP_001948898.1
OG0003920	XP_035730515.1	XP_001948976.1
OG0003921	XP_035740875.1	XP_001948985.1
OG0003922	XP_035723258.1, XP_035723259.1	XP_001949071.2
OG0003923	XP_035722871.1, XP_035722872.1	XP_001949183.2
OG0003924	XP_035740268.1	XP_001949258.2
OG0003925	XP_035720346.1	XP_001949278.1
OG0003926	XP_035738103.1	XP_008178997.1, XP_001949288.2
OG0003927	XP_035720710.1	XP_001949298.1
OG0003928	XP_035729501.1	XP_003246652.1, XP_001949388.2, XP_008186215.1
OG0003929	XP_035737732.1	XP_001949455.1
OG0003930	XP_035724600.1	XP_003248224.1, XP_001949484.2
OG0003931	XP_035735006.1	XP_001949495.1
OG0003932	XP_035741680.1	XP_001949508.2
OG0003933	XP_035738414.1	XP_001949541.1
OG0003934	XP_035730344.1	XP_001950920.2, XP_001949592.2, XP_029343888.1, XP_029342436.1
OG0003935	XP_035722585.1	XP_001949785.1
OG0003936	XP_035737650.1	XP_001950018.1
OG0003937	XP_035719140.1, XP_035719138.1	XP_001950019.2
OG0003938	XP_035724446.1	XP_001950061.2
OG0003939	XP_035723858.1	XP_001950067.2
OG0003940	XP_035727976.1	XP_001950086.2
OG0003941	XP_035732011.1	XP_001950247.1
OG0003942	XP_035718538.1	XP_001950298.2
OG0003943	XP_035744238.1	XP_001950368.3
OG0003944	XP_035731900.1	XP_029342219.1, XP_001950375.1, XP_029344247.1
OG0003945	XP_035726780.1	XP_016656392.1, XP_001950376.1, XP_016656393.1
OG0003946	XP_035740564.1	XP_001950380.1
OG0003947	XP_035725105.1	XP_001950488.2
OG0003948	XP_035728655.1, XP_035728647.1, XP_035728640.1	XP_001950499.3
OG0003950	XP_035728307.1, XP_035728308.1	XP_001950597.1
OG0003951	XP_035741587.1	XP_001950703.1
OG0003952	XP_035729498.1	XP_029348172.1, XP_016660810.1, XP_001950767.2, XP_029341293.1, XP_029348171.1
OG0003953	XP_035740232.1	XP_001950785.1
OG0003954	XP_035735045.1	XP_008187234.1, XP_008187235.1, XP_008187236.1, XP_008187237.1, XP_001950852.1
OG0003955	XP_035731385.1	XP_001950884.1
OG0003956	XP_035729488.1	XP_001950982.1
OG0003957	XP_035720866.1	XP_001950987.1
OG0003958	XP_035722542.1	XP_008187611.1, XP_001951009.2
OG0003959	XP_035735302.1	XP_001951019.2
OG0003960	XP_035725349.1	XP_001951100.1, XP_008182492.1
OG0003961	XP_035729470.1	XP_001951227.2
OG0003962	XP_035732961.1	XP_001951372.2
OG0003963	XP_035731686.1	XP_001951429.1
OG0003964	XP_035730442.1, XP_035730431.1	XP_001951601.1
OG0003965	XP_035732470.1	XP_001951710.1, XP_016662434.1, XP_008186106.1
OG0003966	XP_035741154.1	XP_001951807.1
OG0003967	XP_035735200.1	XP_001951859.1
OG0003968	XP_035730862.1	XP_001952043.1
OG0003969	XP_035743294.1	XP_016660998.1, XP_001952289.1, XP_029347568.1, XP_008189366.2
OG0003970	XP_035721059.1	XP_001952292.1
OG0003971	XP_035739064.1	XP_001952327.2
OG0003972	XP_035730853.1	XP_029348232.1, XP_001952345.1
OG0003973	XP_035717559.1	XP_001952355.1
OG0003974	XP_035730852.1	XP_001952405.1
OG0003975	XP_035724857.1	XP_029342158.1, XP_001952469.1
OG0003976	XP_035728148.1	XP_001952484.1, XP_029345704.1, XP_029344829.1
OG0003977	XP_035718687.1	XP_001952504.1
OG0003978	XP_035738462.1	XP_001952564.1
OG0003979	XP_035739671.1	XP_001952579.3
OG0003980	XP_035739757.1	XP_001952581.1
OG0003981	XP_035734974.1, XP_035734968.1	XP_001952625.2
OG0003982	XP_035743591.1	XP_003245839.1, XP_001952627.2
OG0003983	XP_035721291.1	XP_001952666.2
OG0003984	XP_035718571.1	XP_001952756.2, XP_003244750.1, XP_008183410.1
OG0003985	XP_035728130.1	XP_001952858.2
OG0003986	XP_035724336.1	XP_001952875.2, XP_008182754.1, XP_008182755.1
OG0003987	XP_035744210.1	XP_003240357.1
OG0003988	XP_035724570.1, XP_035724562.1	XP_003240647.1
OG0003989	XP_035732054.1	XP_003240969.1
OG0003990	XP_035724405.1	XP_003242527.1
OG0003991	XP_035734801.1	XP_003241415.1
OG0003992	XP_035742085.1	XP_003241580.1
OG0003994	XP_035739544.1	XP_003241685.1, XP_008178832.1
OG0003995	XP_035731443.1	XP_003241698.3, XP_029347519.1, XP_016656548.1
OG0003996	XP_035732664.1	XP_003242191.1
OG0003997	XP_035728931.1	XP_003242276.1, XP_003247927.1
OG0003998	XP_035723077.1	XP_003242376.1
OG0003999	XP_035721916.1	XP_003242605.1
OG0004000	XP_035733367.1	XP_008183189.1, XP_029342808.1, XP_003242619.1
OG0004001	XP_035718133.1	XP_003242784.1
OG0004002	XP_035733605.1	XP_003242837.1
OG0004003	XP_035739471.1	XP_003242877.1
OG0004004	XP_035733374.1	XP_003242949.1
OG0004005	XP_035724095.1	XP_003243356.1
OG0004006	XP_035717929.1, XP_035717928.1	XP_003243499.1
OG0004007	XP_035720625.1	XP_003243833.1, XP_029341369.1, XP_003243722.1, XP_029341122.1
OG0004008	XP_035728446.1	XP_003243801.2
OG0004009	XP_035729440.1	XP_003244002.1, XP_003244010.1
OG0004010	XP_035728881.1	XP_003244233.1
OG0004011	XP_035733862.1	XP_003244402.1
OG0004012	XP_035736804.1	XP_003245275.1
OG0004013	XP_035725465.1, XP_035725462.1	XP_003245365.1
OG0004014	XP_035735369.1	XP_029344034.1, XP_003245369.1
OG0004016	XP_035734386.1	XP_003245852.1
OG0004016	XP_035729441.1	XP_029342325.1
OG0004017	XP_035723806.1	XP_003246135.1
OG0004018	XP_035731393.1	XP_003246201.1
OG0004019	XP_035724458.1	XP_003246415.1, XP_029342049.1
OG0004020	XP_035731783.1	XP_003246485.2
OG0004021	XP_035721210.1	XP_003246496.1
OG0004022	XP_035737401.1	XP_003246762.1
OG0004023	XP_035740389.1	XP_003246871.2, XP_008186541.1
OG0004025	XP_035719371.1, XP_035719373.1, XP_035719370.1	XP_003246983.1
OG0004026	XP_035732181.1	XP_003247003.1
OG0004027	XP_035722201.1, XP_035722199.1	XP_003247146.1
OG0004028	XP_035736761.1, XP_035736764.1	XP_003247231.1
OG0004029	XP_035730803.1	XP_003247295.1
OG0004030	XP_035740912.1	XP_003247407.1
OG0004031	XP_035728618.1	XP_003247630.1
OG0004033	XP_035739824.1	XP_003247913.1
OG0004034	XP_035733213.1	XP_003248165.1
OG0004035	XP_035738641.1	XP_003248194.1
OG0004036	XP_035733409.1	XP_003248254.1
OG0004037	XP_035744271.1	XP_003248335.1
OG0004038	XP_035732499.1	XP_003248689.1, XP_029343673.1
OG0004040	XP_035720761.1	XP_008178620.1
OG0004042	XP_035742856.1	XP_008178680.1, XP_008178681.1, XP_016656432.1
OG0004043	XP_035736668.1	XP_008178865.1, XP_029346647.1
OG0004044	XP_035735054.1, XP_035735057.1	XP_029341758.1, XP_008178965.1
OG0004045	XP_035732093.1	XP_008178980.2
OG0004046	XP_035720290.1, XP_035720281.1, XP_035720301.1	XP_008179028.1
OG0004047	XP_035737864.1, XP_035737856.1	XP_008179453.1, XP_008179452.1, XP_016656998.1
OG0004048	XP_035734390.1	XP_008188917.1, XP_008179528.1
OG0004049	XP_035738694.1	XP_008179642.1
OG0004050	XP_035741161.1	XP_008179692.1
OG0004051	XP_035731634.1	XP_008180014.1
OG0004052	XP_035722510.1	XP_008180268.1
OG0004053	XP_035742586.1	XP_008180418.1
OG0004054	XP_035722839.1	XP_008180420.1
OG0004055	XP_035737011.1, XP_035737067.1	XP_008180435.1
OG0004056	XP_035742556.1, XP_035742555.1	XP_008180588.1
OG0004058	XP_035730639.1	XP_008180684.1
OG0004059	XP_035728869.1	XP_008181328.1
OG0004060	XP_035723583.1	XP_008181545.1
OG0004061	XP_035736892.1, XP_035736893.1	XP_029345940.1, XP_029345941.1, XP_008181672.1, XP_016658831.1
OG0004062	XP_035730239.1	XP_008181730.1
OG0004063	XP_035734463.1	XP_008181930.1
OG0004064	XP_035718783.1	XP_008181977.1, XP_029342434.1, XP_008188948.2
OG0004065	XP_035728980.1, XP_035728982.1	XP_008181995.1
OG0004066	XP_035736379.1	XP_008182047.1
OG0004067	XP_035723608.1	XP_008182186.2
OG0004068	XP_035723988.1	XP_008182193.1, XP_008182195.1
OG0004069	XP_035731934.1	XP_008182528.1
OG0004070	XP_035729983.1	XP_008183001.1
OG0004071	XP_035724626.1	XP_008183264.1
OG0004072	XP_035741311.1	XP_029345811.1, XP_008183519.1
OG0004073	XP_035732673.1	XP_016660272.1, XP_016660273.1, XP_016660271.1, XP_008183569.1
OG0004074	XP_035740733.1	XP_008183932.1
OG0004075	XP_035735660.1	XP_008184012.1
OG0004076	XP_035731134.1	XP_008184022.1, XP_016660688.1
OG0004077	XP_035728076.1, XP_035728078.1	XP_008184230.1
OG0004078	XP_035718984.1	XP_029341311.1, XP_008184314.1
OG0004079	XP_035740056.1	XP_008184399.1, XP_008184398.1
OG0004080	XP_035733503.1	XP_008184464.1
OG0004081	XP_035739709.1, XP_035739717.1	XP_008184572.1
OG0004082	XP_035734984.1	XP_008184682.1
OG0004083	XP_035734731.1	XP_016661276.1, XP_008184685.1, XP_008184687.1, XP_008184686.1, XP_008184688.1
OG0004085	XP_035730173.1	XP_008185211.1
OG0004086	XP_035739570.1	XP_008185337.1
OG0004087	XP_035732052.1	XP_008185477.1
OG0004088	XP_035734587.1	XP_008185509.1, XP_008185510.1
OG0004089	XP_035743579.1	XP_008185580.2
OG0004090	XP_035734598.1, XP_035734599.1, XP_035734600.1	XP_008185774.1
OG0004091	XP_035732055.1	XP_008185869.1
OG0004092	XP_035735811.1	XP_008185914.1, XP_008185915.1, XP_008185911.1, XP_008185912.1
OG0004093	XP_035722822.1	XP_008185942.1
OG0004094	XP_035720188.1	XP_008186104.1
OG0004095	XP_035738075.1	XP_008186144.1
OG0004096	XP_035720249.1	XP_008186216.1, XP_016662530.1
OG0004097	XP_035731266.1	XP_008186301.1
OG0004099	XP_035722522.1	XP_008186674.2, XP_029342134.1
OG0004100	XP_035738349.1	XP_008186784.1
OG0004101	XP_035727444.1	XP_008186841.3
OG0004102	XP_035727231.1	XP_008186987.1
OG0004103	XP_035741524.1	XP_008187264.1
OG0004104	XP_035744037.1	XP_008187276.1
OG0004105	XP_035741443.1	XP_029342366.1, XP_016663422.1, XP_008187402.1, XP_008189494.1
OG0004106	XP_035736722.1	XP_008187471.2
OG0004107	XP_035729761.1, XP_035729760.1	XP_008187818.1
OG0004108	XP_035724162.1	XP_008188019.1
OG0004109	XP_035736981.1	XP_008188046.1
OG0004110	XP_035742862.1	XP_008188174.1
OG0004111	XP_035734205.1, XP_035734206.1	XP_008188458.1
OG0004112	XP_035737666.1	XP_008188705.1, XP_029344888.1, XP_016664397.1, XP_016664396.1
OG0004113	XP_035739124.1, XP_035739123.1	XP_008189347.1
OG0004114	XP_035738465.1, XP_035738464.1	XP_008189922.1
OG0004116	XP_035731895.1	XP_008190066.1, XP_008190060.1
OG0004117	XP_035732283.1, XP_035732284.1, XP_035732287.1	XP_008190109.1
OG0004119	XP_035735994.1, XP_035735818.1, XP_035735911.1	XP_016656390.1
OG0004120	XP_035742838.1	XP_016656621.1
OG0004121	XP_035717536.1	XP_016657144.1
OG0004122	XP_035734137.1	XP_016657495.1
OG0004123	XP_035726648.1	XP_016657568.1
OG0004124	XP_035743002.1	XP_016657918.1
OG0004125	XP_035742806.1	XP_016658011.1
OG0004126	XP_035721947.1	XP_016658066.2, XP_029346841.1
OG0004127	XP_035738378.1	XP_016658291.2
OG0004128	XP_035744133.1	XP_016658616.1
OG0004129	XP_035717419.1, XP_035717418.1, XP_035717420.1, XP_035717417.1	XP_016658659.1
OG0004130	XP_035733718.1	XP_016658715.1, XP_016664816.2
OG0004131	XP_035739715.1	XP_016658986.1
OG0004132	XP_035737227.1	XP_016659474.1
OG0004133	XP_035739242.1	XP_016659528.1, XP_029346876.1, XP_029346875.1
OG0004134	XP_035727169.1, XP_035727178.1	XP_016660001.1, XP_029342773.1
OG0004135	XP_035731909.1, XP_035731907.1, XP_035731908.1	XP_016660899.1
OG0004136	XP_035733960.1	XP_016660932.1
OG0004137	XP_035729638.1, XP_035729636.1, XP_035729637.1	XP_016661121.1
OG0004138	XP_035723449.1	XP_029346179.1, XP_016661925.1, XP_029346175.1
OG0004139	XP_035741841.1	XP_029341281.1, XP_016662172.1
OG0004141	XP_035741127.1	XP_016662254.1
OG0004142	XP_035739033.1	XP_016662508.1
OG0004143	XP_035732269.1	XP_016662795.1
OG0004144	XP_035742935.1	XP_016662974.1, XP_029347110.1
OG0004145	XP_035724100.1	XP_016662981.1
OG0004146	XP_035728347.1	XP_016663028.1
OG0004147	XP_035741514.1	XP_016663111.1
OG0004148	XP_035743559.1	XP_016663378.1, XP_029343202.1
OG0004149	XP_035743892.1	XP_016663551.1
OG0004150	XP_035734499.1, XP_035734497.1, XP_035734498.1	XP_016663581.1
OG0004151	XP_035736769.1	XP_016664428.2
OG0004152	XP_035735258.1, XP_035735259.1, XP_035735518.1	XP_029341078.1
OG0004153	XP_035723985.1	XP_029342218.1, XP_029342690.1, XP_029341112.1
OG0004154	XP_035730364.1	XP_029342092.1, XP_029341636.1, XP_029341319.1
OG0004155	XP_035741937.1	XP_029341322.1, XP_029346747.1
OG0004157	XP_035727222.1	XP_029343043.1, XP_029342091.1
OG0004158	XP_035743063.1	XP_029342204.1
OG0004159	XP_035729994.1	XP_029342205.1
OG0004160	XP_035744269.1	XP_029342691.1, XP_029342301.1
OG0004161	XP_035717907.1, XP_035717915.1	XP_029342448.1
OG0004162	XP_035725411.1	XP_029342837.1
OG0004163	XP_035726235.1	XP_029342878.1
OG0004164	XP_035722211.1, XP_035722212.1, XP_035722213.1	XP_029343021.1
OG0004165	XP_035738420.1	XP_029343076.1
OG0004166	XP_035737609.1, XP_035737610.1	XP_029343121.1
OG0004167	XP_035720534.1	XP_029343235.1
OG0004168	XP_035734484.1	XP_029343310.1
OG0004169	XP_035724798.1	XP_029343407.1
OG0004170	XP_035729232.1	XP_029343522.1
OG0004171	XP_035744276.1	XP_029343676.1
OG0004172	XP_035730777.1, XP_035730775.1	XP_029343776.1
OG0004173	XP_035718583.1	XP_029343802.1
OG0004174	XP_035744171.1, XP_035744117.1	XP_029343807.1
OG0004175	XP_035738839.1	XP_029348508.1, XP_029343944.1
OG0004176	XP_035730765.1, XP_035730771.1	XP_029344143.1
OG0004177	XP_035733606.1, XP_035733617.1	XP_029344209.1
OG0004178	XP_035722587.1	XP_029344308.1
OG0004179	XP_035725627.1	XP_029344504.1
OG0004180	XP_035737312.1	XP_029344585.1
OG0004181	XP_035730027.1, XP_035730028.1	XP_029345230.1
OG0004182	XP_035740117.1	XP_029345607.1
OG0004183	XP_035719791.1, XP_035719792.1	XP_029345661.1
OG0004184	XP_035728549.1	XP_029345863.1
OG0004185	XP_035744067.1	XP_029346652.1, XP_029346840.1
OG0004186	XP_035718296.1	XP_029346787.1
OG0004187	XP_035738826.1	XP_029346864.1
OG0004188	XP_035738124.1	XP_029346923.1
OG0004189	XP_035734845.1	XP_029347172.1
OG0004190	XP_035722618.1	XP_029347231.1
OG0004191	XP_035741700.1	XP_029347281.1
OG0004192	XP_035732056.1	XP_029347357.1
OG0004193	XP_035737284.1	XP_029347372.1
OG0004194	XP_035722501.1	XP_029347499.1, XP_029347497.1, XP_029347498.1, XP_029347495.1, XP_029347496.1
OG0004195	XP_035725698.1, XP_035725696.1, XP_035725699.1, XP_035725697.1	XP_029348100.1
OG0004275	XP_035727960.1	NP_001119626.1, NP_001129462.1
OG0004276	XP_035726615.1	NP_001119646.1
OG0004277	XP_035737110.1	NP_001119657.1
OG0004278	XP_035717356.1	NP_001119663.1, NP_001119662.1
OG0004279	XP_035739348.1	NP_001119666.1, XP_003245465.1
OG0004280	XP_035741808.1	NP_001119675.1
OG0004281	XP_035729783.1	NP_001123921.1, XP_008188986.1
OG0004282	XP_035730957.1	NP_001129370.1
OG0004283	XP_035722999.1	NP_001129413.1
OG0004284	XP_035738067.1	NP_001129593.1
OG0004285	XP_035727761.1	NP_001153870.1, XP_008186968.1
OG0004286	XP_035730538.1	NP_001155369.1
OG0004287	XP_035741042.1	NP_001155370.1
OG0004288	XP_035720808.1, XP_035720826.1	XP_008185319.1, NP_001155384.1
OG0004289	XP_035727551.1	NP_001155415.1
OG0004290	XP_035720101.1	NP_001155423.1, XP_016660884.1
OG0004291	XP_035726119.1	NP_001155441.1, XP_008179388.1
OG0004292	XP_035725596.1	NP_001155465.1
OG0004293	XP_035736655.1	NP_001155480.1, XP_029341890.1
OG0004294	XP_035738185.1	XP_003241876.1, NP_001155483.1
OG0004295	XP_035727192.1	NP_001155521.1, XP_008185893.1
OG0004296	XP_035733883.1	NP_001155531.1
OG0004297	XP_035723241.1	NP_001155558.1
OG0004298	XP_035718206.1, XP_035718208.1	NP_001155571.1
OG0004299	XP_035743342.1	NP_001155591.1
OG0004300	XP_035723863.1, XP_035723864.1	NP_001155595.1
OG0004301	XP_035732070.1	NP_001155605.1
OG0004302	XP_035720276.1	NP_001155613.1
OG0004303	XP_035744082.1	XP_008189671.2, NP_001155616.1, XP_003248238.1, XP_001944808.1
OG0004304	XP_035725524.1, XP_035734512.1	XP_008181535.1, NP_001155617.1
OG0004305	XP_035743709.1	NP_001155670.1, XP_008183760.1
OG0004306	XP_035722333.1	NP_001155673.1
OG0004307	XP_035734525.1	NP_001155698.1
OG0004308	XP_035739345.1	NP_001155704.1
OG0004309	XP_035734934.1	NP_001155716.1
OG0004310	XP_035740428.1	NP_001155728.1
OG0004311	XP_035738344.1	NP_001155739.1
OG0004312	XP_035723092.1	NP_001155750.1
OG0004313	XP_035723192.1	NP_001155761.1
OG0004314	XP_035740078.1	XP_016664301.1, NP_001155778.1
OG0004315	XP_035717558.1	XP_001948896.1, NP_001155788.1
OG0004316	XP_035719056.1	NP_001155797.1
OG0004317	XP_035730712.1, XP_035730359.1	NP_001155817.1
OG0004318	XP_035743742.1	NP_001155818.1
OG0004319	XP_035731619.1	NP_001155824.1
OG0004320	XP_035719797.1	NP_001155919.1
OG0004321	XP_035717572.1, XP_035717573.1	NP_001155926.1, NP_001155925.1, XP_016662234.1
OG0004322	XP_035741521.1	XP_008178254.1, NP_001156062.1
OG0004323	XP_035743440.1	NP_001156066.1, XP_008185270.1
OG0004324	XP_035737538.1, XP_035737529.1	NP_001156067.1
OG0004325	XP_035728019.1	NP_001156081.1
OG0004326	XP_035730703.1, XP_035730701.1, XP_035730702.1	NP_001156083.1, XP_008179689.1
OG0004327	XP_035743997.1	NP_001156085.1
OG0004328	XP_035730001.1	XP_001950162.1, XP_001945150.1, NP_001156106.1
OG0004329	XP_035718212.1	XP_001949539.1, NP_001156127.1, XP_001948464.1
OG0004330	XP_035719235.1	XP_001943288.1, NP_001156150.1, XP_016664124.1
OG0004331	XP_035738981.1, XP_035738973.1	NP_001156159.1
OG0004332	XP_035737341.1	NP_001156166.1
OG0004333	XP_035738992.1	NP_001156179.1
OG0004334	XP_035720278.1	NP_001156180.1
OG0004335	XP_035735736.1	NP_001156214.1
OG0004336	XP_035718626.1, XP_035718627.1	NP_001156225.1
OG0004337	XP_035735630.1	NP_001156248.1
OG0004338	XP_035729419.1	NP_001156273.1, XP_008182807.1
OG0004339	XP_035734501.1	XP_016660093.1, NP_001156282.1
OG0004340	XP_035722582.1, XP_035722583.1	NP_001156293.1, XP_008182896.1
OG0004341	XP_035734660.1	NP_001156295.1
OG0004342	XP_035725064.1, XP_035725063.1, XP_035725065.1, XP_035725061.1, XP_035725062.1	NP_001156298.1, XP_008188552.1
OG0004343	XP_035727573.1	NP_001156302.1
OG0004344	XP_035737638.1	NP_001156317.1
OG0004345	XP_035742721.1	XP_029346854.1, NP_001156581.1
OG0004346	XP_035728115.1	NP_001156584.1
OG0004347	XP_035727554.1	NP_001156680.1
OG0004348	XP_035741454.1	NP_001156824.1, XP_029344173.1
OG0004349	XP_035737735.1	NP_001156840.1
OG0004351	XP_035740789.1	XP_016659609.1, NP_001162111.1
OG0004352	XP_035734849.1	NP_001162146.1
OG0004353	XP_035728821.1, XP_035728822.1	XP_001946329.1, NP_001165433.1
OG0004354	XP_035723908.1	NP_001191881.1, NP_001191880.1, XP_008181799.1
OG0004355	XP_035736519.1	NP_001232933.1
OG0004356	XP_035733235.1	NP_001232946.1, XP_008181957.1
OG0004357	XP_035735529.1	NP_001232948.1
OG0004358	XP_035734762.1	NP_001232977.1
OG0004359	XP_035736150.1, XP_035736149.1	XP_008179668.1, NP_001232981.1
OG0004360	XP_035723047.1	NP_001233002.1
OG0004361	XP_035728805.1	NP_001233005.1, XP_008182399.1
OG0004362	XP_035729464.1	XP_008182477.1, NP_001233009.1
OG0004363	XP_035725378.1	NP_001233011.1
OG0004364	XP_035742523.1	XP_008186748.1, NP_001233039.1, XP_003245528.1
OG0004365	XP_035735989.1	NP_001233068.1
OG0004366	XP_035730413.1, XP_035730414.1	NP_001233069.1
