Orthogroup	Nomia_melanderi	Acyrthosiphon_pisum
OG0002557	XP_031844910.1	NP_001288278.1
OG0002558	XP_031825855.1, XP_031825856.1	NP_001313597.1
OG0002559	XP_031843005.1	NP_001313607.1, XP_016659326.1
OG0002560	XP_031842141.1	XP_001942579.2
OG0002561	XP_031834650.1	XP_001942615.2
OG0002562	XP_031827678.1	XP_008187082.1, XP_008187081.1, XP_008187078.1, XP_029341831.1, XP_029341830.1, XP_001942630.2, XP_029341832.1, XP_008187077.1
OG0002563	XP_031845768.1	XP_029344975.1, XP_001942639.1
OG0002564	XP_031826079.1	XP_001952027.2, XP_001942668.1
OG0002565	XP_031844384.1, XP_031844383.1	XP_001942686.2
OG0002566	XP_031845588.1	XP_016657659.1, XP_001942690.1, XP_003242614.1, XP_003242615.1
OG0002567	XP_031844514.1	XP_001942744.1
OG0002568	XP_031833033.1	XP_001942774.1
OG0002569	XP_031828397.1	XP_001942802.1
OG0002570	XP_031844992.1	XP_001942844.1, XP_003242785.1, XP_008180501.1
OG0002571	XP_031842984.1, XP_031842990.1	XP_001942971.2
OG0002572	XP_031846271.1	XP_001943042.1
OG0002573	XP_031840617.1	XP_001943076.2, XP_008179302.1
OG0002574	XP_031837131.1	XP_001943127.1
OG0002575	XP_031832972.1	XP_001943269.2
OG0002576	XP_031832673.1	XP_003247634.1, XP_003247631.1, XP_001943603.2, XP_008189472.1, XP_008189473.1, XP_008189474.1
OG0002577	XP_031833795.1	XP_001943644.2, XP_008181381.1, XP_003249011.1
OG0002578	XP_031838662.1, XP_031838652.1	XP_001943657.2
OG0002579	XP_031841619.1	XP_001943683.1
OG0002580	XP_031832316.1, XP_031832317.1	XP_001943756.1
OG0002581	XP_031830629.1	XP_001943950.2
OG0002582	XP_031828233.1, XP_031828235.1, XP_031828234.1, XP_031828236.1	XP_001944224.1
OG0002583	XP_031832021.1	XP_001944268.2
OG0002584	XP_031849630.1, XP_031849627.1	XP_001944274.2
OG0002585	XP_031846391.1, XP_031846392.1	XP_001944320.1
OG0002586	XP_031828405.1	XP_008178323.1, XP_001944525.2, XP_008187529.1
OG0002587	XP_031833899.1	XP_001944673.1
OG0002588	XP_031840463.1	XP_001944684.2
OG0002589	XP_031827872.1	XP_001944701.2, XP_008181669.2
OG0002590	XP_031839993.1	XP_008179492.1, XP_001944715.2
OG0002591	XP_031833456.1	XP_001944733.2
OG0002592	XP_031837824.1	XP_001944769.1
OG0002593	XP_031826928.1	XP_001944775.1
OG0002594	XP_031849500.1, XP_031848790.1	XP_001944783.1
OG0002595	XP_031833016.1	XP_001944790.2
OG0002596	XP_031841043.1	XP_008183744.1
OG0002597	XP_031847385.1	XP_001944918.2
OG0002598	XP_031841019.1	XP_001945054.1, XP_016661615.1, XP_008185141.1
OG0002599	XP_031840414.1	XP_001945058.2
OG0002600	XP_031840310.1	XP_001945089.1
OG0002601	XP_031849738.1	XP_001945152.1
OG0002602	XP_031829763.1	XP_001945312.1
OG0002603	XP_031828931.1	XP_001945394.2
OG0002604	XP_031845997.1	XP_001945406.1, XP_008181114.1
OG0002605	XP_031835582.1	XP_001945495.1, XP_008180043.1, XP_008180044.1, XP_003242469.1
OG0002606	XP_031827519.1	XP_016664787.1, XP_001945595.1
OG0002607	XP_031850311.1	XP_001945615.2
OG0002608	XP_031847070.1, XP_031847072.1, XP_031847071.1	XP_001945772.2
OG0002609	XP_031843783.1, XP_031843784.1	XP_001946662.2, XP_001945782.1
OG0002610	XP_031837305.1, XP_031837306.1, XP_031837304.1	XP_001945816.1
OG0002611	XP_031832482.1	XP_001945956.2, XP_016658872.1, XP_008181734.1
OG0002612	XP_031827304.1	XP_001946065.2
OG0002613	XP_031834224.1	XP_029344810.1, XP_001946115.1
OG0002614	XP_031849428.1, XP_031849427.1	XP_029345970.1, XP_029345969.1, XP_016660747.1, XP_001946198.1
OG0002615	XP_031833000.1	XP_003247373.1, XP_001946232.2, XP_003248917.3
OG0002616	XP_031840145.1	XP_001946648.1, XP_008183507.1
OG0002617	XP_031833153.1, XP_031833151.1	XP_001946770.2
OG0002618	XP_031832019.1, XP_031832018.1, XP_031832020.1	XP_001946860.2
OG0002619	XP_031829728.1	XP_001946892.1
OG0002620	XP_031846035.1	XP_008185777.1, XP_001946932.3
OG0002621	XP_031834849.1, XP_031834851.1	XP_003242938.2, XP_001946942.3
OG0002622	XP_031834174.1	XP_001946980.2
OG0002623	XP_031833844.1	XP_001947009.2
OG0002624	XP_031837264.1, XP_031837263.1	XP_001947022.2, XP_003246518.1
OG0002625	XP_031849553.1, XP_031849499.1	XP_001947053.1
OG0002626	XP_031842018.1, XP_031842021.1, XP_031842020.1, XP_031842019.1	XP_001947116.1
OG0002627	XP_031843980.1	XP_001947199.1
OG0002628	XP_031836789.1	XP_001947208.1
OG0002629	XP_031843066.1, XP_031843067.1	XP_003247167.1, XP_001947229.3, XP_029342542.1, XP_016663087.1, XP_001947423.2
OG0002630	XP_031841951.1	XP_008183383.1, XP_001947260.1
OG0002631	XP_031836591.1	XP_001947389.1, XP_008189978.1
OG0002632	XP_031847861.1	XP_029341777.1, XP_001947443.1
OG0002633	XP_031844138.1	XP_001947461.3
OG0002634	XP_031846151.1, XP_031846150.1, XP_031846149.1	XP_001947657.1
OG0002635	XP_031833642.1	XP_001947838.2
OG0002636	XP_031840634.1, XP_031840633.1	XP_001947845.2
OG0002637	XP_031845554.1	XP_016662453.1, XP_008186117.1, XP_016662454.1, XP_001947925.2
OG0002638	XP_031844079.1, XP_031844080.1	XP_001947938.2
OG0002639	XP_031848856.1, XP_031835951.1	XP_001948042.1
OG0002640	XP_031843987.1, XP_031843988.1	XP_001948105.1
OG0002641	XP_031846384.1	XP_008188156.1, XP_008188154.1, XP_003247957.1, XP_029345415.1, XP_001948343.1
OG0002642	XP_031848528.1, XP_031848527.1, XP_031848530.1, XP_031848529.1	XP_001948368.2
OG0002643	XP_031831550.1	XP_001948541.2
OG0002644	XP_031839713.1, XP_031839710.1	XP_001948572.2
OG0002645	XP_031840499.1	XP_001948718.2
OG0002646	XP_031829799.1	XP_001948837.2, XP_029341776.1, XP_029345739.1
OG0002647	XP_031839039.1	XP_029342774.1, XP_001948918.2
OG0002648	XP_031834344.1	XP_029345881.1, XP_001948948.1, XP_001949287.2, XP_003241916.2
OG0002649	XP_031850582.1	XP_016663683.1, XP_001948970.1
OG0002650	XP_031841521.1	XP_001948990.1
OG0002651	XP_031835868.1	XP_008181521.1, XP_001949052.1
OG0002652	XP_031834407.1, XP_031834405.1	XP_001949110.1
OG0002653	XP_031835195.1	XP_001949180.1
OG0002654	XP_031832429.1	XP_001949185.2
OG0002655	XP_031847220.1	XP_001949264.5
OG0002656	XP_031841570.1	XP_001949306.2
OG0002657	XP_031849878.1	XP_008189536.1, XP_008181712.1, XP_001949543.1
OG0002658	XP_031834350.1, XP_031834351.1	XP_001950388.1
OG0002659	XP_031834117.1, XP_031834116.1	XP_016659145.1, XP_001950397.2
OG0002660	XP_031848476.1	XP_001950463.1
OG0002662	XP_031841867.1	XP_029344377.1, XP_029344376.1, XP_001950627.2
OG0002663	XP_031841216.1, XP_031841219.1, XP_031841218.1	XP_001950634.1
OG0002664	XP_031842868.1, XP_031842866.1, XP_031842865.1, XP_031842864.1, XP_031842863.1	XP_001950685.1
OG0002665	XP_031846041.1	XP_001950723.2
OG0002666	XP_031838469.1, XP_031838458.1	XP_001950748.2
OG0002667	XP_031832970.1	XP_001950830.1
OG0002668	XP_031833212.1	XP_001950956.1
OG0002669	XP_031839590.1	XP_001951127.1, XP_029344184.1, XP_029344185.1, XP_029344186.1, XP_008183437.1
OG0002670	XP_031849047.1	XP_001951186.2
OG0002671	XP_031850369.1	XP_001951325.2
OG0002672	XP_031846728.1, XP_031846729.1, XP_031846727.1	XP_001951332.2
OG0002673	XP_031850334.1	XP_001951376.2, XP_008179726.1
OG0002674	XP_031830480.1	XP_003243230.1, XP_001951421.1
OG0002675	XP_031847438.1	XP_001951665.2, XP_008180925.1
OG0002676	XP_031841795.1	XP_003243534.1, XP_008181554.1, XP_001951753.1
OG0002677	XP_031831893.1	XP_001952038.2
OG0002678	XP_031848979.1	XP_001952262.1
OG0002679	XP_031831460.1, XP_031831462.1, XP_031831461.1	XP_001952264.1
OG0002680	XP_031849172.1, XP_031849171.1	XP_001952449.1
OG0002681	XP_031825495.1, XP_031825506.1, XP_031825486.1, XP_031825515.1	XP_001952660.1
OG0002682	XP_031841673.1, XP_031841670.1	XP_001952670.2
OG0002683	XP_031834056.1	XP_008181145.1, XP_001952712.1
OG0002684	XP_031846566.1, XP_031846565.1, XP_031846569.1, XP_031846567.1	XP_003240106.1
OG0002686	XP_031838100.1	XP_016656992.1, XP_003240217.1, XP_008179039.1, XP_008179036.1
OG0002687	XP_031831828.1, XP_031831832.1	XP_003240226.1
OG0002689	XP_031833038.1	XP_003240329.1
OG0002690	XP_031833840.1	XP_008181870.1, XP_003240498.1
OG0002691	XP_031826943.1	XP_003240523.1, XP_029341471.1
OG0002692	XP_031829618.1, XP_031829619.1	XP_003240704.1
OG0002694	XP_031828409.1	XP_003241674.1
OG0002695	XP_031827991.1	XP_003241740.1
OG0002696	XP_031846311.1	XP_003241882.1, XP_008179180.1
OG0002697	XP_031826398.1	XP_003242348.1, XP_016657346.1, XP_029346165.1, XP_029346166.1
OG0002699	XP_031845853.1	XP_003242897.1
OG0002700	XP_031847470.1	XP_003242956.1, XP_003242955.1, XP_008180738.1
OG0002701	XP_031828751.1	XP_003243046.1
OG0002702	XP_031834109.1, XP_031834107.1	XP_003243129.1
OG0002703	XP_031828017.1, XP_031828016.1, XP_031848967.1	XP_003243389.2
OG0002704	XP_031842421.1	XP_008181989.1, XP_003243817.1
OG0002705	XP_031839088.1	XP_003243820.1
OG0002708	XP_031848526.1, XP_031848525.1, XP_031848524.1	XP_003245596.1
OG0002709	XP_031841917.1, XP_031841916.1, XP_031841919.1, XP_031841915.1, XP_031841914.1, XP_031841921.1, XP_031841920.1	XP_003245749.1
OG0002710	XP_031841095.1	XP_003245943.1
OG0002711	XP_031833340.1, XP_031833341.1	XP_003246199.1
OG0002712	XP_031830630.1	XP_003246275.1
OG0002713	XP_031833185.1	XP_003246361.1, XP_029344286.1, XP_016664551.1, XP_029344287.1, XP_008185819.1, XP_016662158.1
OG0002714	XP_031837657.1	XP_003246364.1
OG0002715	XP_031833617.1	XP_003246668.1
OG0002716	XP_031845697.1, XP_031845696.1	XP_003247344.1
OG0002717	XP_031828467.1	XP_008178746.1, XP_003247444.1
OG0002718	XP_031842217.1	XP_016664264.1, XP_003248219.1
OG0002719	XP_031835194.1, XP_031835192.1	XP_008185170.1, XP_016661642.1, XP_003248825.1
OG0002720	XP_031828937.1	XP_003248936.3, XP_016658203.1
OG0002721	XP_031833980.1, XP_031833981.1	XP_008178260.1
OG0002722	XP_031838753.1	XP_029345199.1, XP_008178362.1
OG0002723	XP_031843894.1	XP_008179147.1
OG0002724	XP_031826916.1	XP_008179151.1
OG0002725	XP_031844007.1	XP_008179282.1
OG0002726	XP_031826220.1	XP_008179550.1, XP_008184491.1
OG0002728	XP_031848832.1	XP_008179745.1
OG0002729	XP_031833831.1, XP_031833830.1	XP_008179929.1
OG0002730	XP_031825344.1	XP_029341346.1, XP_008179941.1
OG0002731	XP_031844506.1	XP_008180214.1
OG0002732	XP_031846495.1, XP_031846514.1, XP_031846485.1, XP_031846503.1	XP_008180639.2
OG0002733	XP_031828091.1	XP_008180868.1
OG0002734	XP_031834207.1	XP_008181304.1, XP_029343417.1
OG0002735	XP_031841862.1	XP_008181443.1
OG0002736	XP_031829205.1	XP_008181682.1
OG0002737	XP_031835600.1, XP_031835601.1	XP_008181818.1
OG0002738	XP_031850151.1	XP_008182002.1
OG0002739	XP_031828791.1	XP_008182337.1
OG0002740	XP_031832561.1	XP_008182579.1
OG0002741	XP_031849978.1	XP_008182895.1
OG0002742	XP_031842629.1, XP_031842628.1	XP_008182957.1
OG0002743	XP_031830760.1	XP_008183165.1
OG0002744	XP_031827015.1	XP_008183244.1
OG0002745	XP_031840355.1	XP_008183289.1
OG0002746	XP_031830356.1, XP_031830358.1, XP_031830357.1	XP_008183333.1, XP_029345143.1
OG0002747	XP_031847141.1	XP_008183536.1
OG0002748	XP_031829746.1	XP_008183609.1
OG0002749	XP_031841586.1	XP_008183724.1, XP_008187463.1
OG0002750	XP_031829304.1	XP_008184105.1
OG0002751	XP_031831300.1	XP_008184262.1
OG0002752	XP_031828964.1, XP_031828963.1, XP_031828967.1	XP_008184915.1
OG0002753	XP_031848570.1, XP_031848572.1, XP_031848569.1, XP_031848571.1	XP_008184974.1
OG0002754	XP_031828535.1	XP_008185261.1
OG0002755	XP_031833066.1	XP_008186018.1
OG0002756	XP_031833773.1	XP_008186241.1
OG0002757	XP_031847430.1, XP_031847429.1	XP_029343806.1, XP_016662651.1, XP_016662652.1, XP_008186388.1, XP_008186387.1, XP_008186389.1, XP_029345305.1
OG0002758	XP_031834411.1	XP_016662949.1, XP_008186746.1
OG0002759	XP_031850238.1	XP_008186752.1
OG0002760	XP_031849032.1, XP_031849033.1	XP_029342069.1, XP_008186811.1
OG0002761	XP_031836062.1, XP_031836061.1	XP_029341551.1, XP_016663114.1, XP_008186986.1
OG0002762	XP_031846564.1	XP_016663146.1, XP_008187028.1
OG0002763	XP_031831681.1, XP_031831680.1	XP_029343525.1, XP_008187238.1
OG0002764	XP_031846801.1	XP_016663500.1, XP_008187491.1, XP_008187488.1
OG0002765	XP_031833536.1	XP_008187574.1
OG0002766	XP_031844137.1	XP_008187804.2
OG0002767	XP_031833527.1	XP_008188779.1
OG0002768	XP_031827635.1	XP_008189231.1, XP_016664717.1, XP_029344231.1
OG0002769	XP_031827227.1	XP_008189879.2
OG0002770	XP_031837617.1	XP_016655752.1
OG0002771	XP_031836143.1	XP_016656433.1
OG0002772	XP_031834758.1	XP_016663379.1, XP_016657272.1
OG0002773	XP_031829025.1, XP_031829029.1	XP_016660396.1, XP_016657757.1
OG0002774	XP_031839920.1	XP_016657812.1
OG0002775	XP_031832181.1, XP_031832182.1	XP_016659666.1
OG0002776	XP_031836273.1, XP_031836275.1	XP_016659675.1, XP_029347396.1, XP_029347398.1, XP_029347400.1
OG0002777	XP_031825881.1	XP_016659998.1
OG0002778	XP_031847894.1	XP_016660100.1
OG0002779	XP_031831707.1	XP_016661064.1
OG0002780	XP_031847022.1, XP_031847021.1	XP_016661082.1
OG0002781	XP_031844245.1	XP_016661853.2
OG0002782	XP_031835273.1, XP_031835276.1	XP_016664578.1
OG0002783	XP_031835373.1	XP_029341052.1, XP_029341340.1
OG0002784	XP_031827248.1	XP_029341216.1
OG0002785	XP_031840069.1	XP_029343661.1, XP_029342148.1, XP_029343663.1
OG0002786	XP_031844349.1, XP_031844348.1	XP_029342747.1
OG0002787	XP_031832291.1, XP_031832289.1	XP_029342758.1
OG0002788	XP_031836502.1	XP_029342823.1, XP_029342841.1, XP_029342842.1
OG0002789	XP_031847261.1	XP_029342857.1
OG0002791	XP_031829043.1	XP_029343163.1
OG0002792	XP_031839726.1, XP_031839736.1	XP_029343276.1
OG0002793	XP_031848199.1	XP_029343426.1
OG0002794	XP_031842052.1, XP_031848805.1	XP_029343581.1
OG0002795	XP_031835041.1	XP_029343700.1
OG0002796	XP_031848766.1, XP_031848846.1, XP_031836800.1, XP_031849045.1, XP_031848735.1	XP_029344097.1
OG0002797	XP_031838278.1, XP_031838279.1, XP_031838280.1	XP_029344321.1
OG0002798	XP_031826327.1, XP_031826328.1, XP_031826329.1	XP_029344653.1, XP_029344654.1, XP_029344655.1
OG0002799	XP_031835432.1	XP_029344779.1
OG0002800	XP_031846701.1	XP_029345599.1
OG0002801	XP_031837958.1	XP_029346226.1, XP_029346656.1
OG0002802	XP_031829605.1	XP_029346649.1
OG0002803	XP_031833343.1	XP_029346812.1
OG0002804	XP_031825331.1, XP_031825330.1, XP_031825328.1	XP_029347071.1
OG0002805	XP_031838830.1	XP_029347446.1
OG0002806	XP_031843605.1, XP_031843621.1	XP_029347462.1, XP_029347464.1
OG0002856	XP_031847860.1	NP_001119622.1
OG0002857	XP_031838972.1	NP_001119659.1
OG0002858	XP_031838579.1, XP_031838578.1	NP_001119682.1
OG0002859	XP_031846217.1	NP_001119683.1, XP_003240133.1
OG0002860	XP_031835814.1, XP_031835813.1, XP_031835812.1	XP_008179545.1, NP_001128325.1
OG0002861	XP_031837301.1, XP_031837300.1, XP_031837303.1	NP_001129197.1
OG0002863	XP_031826848.1	XP_008178922.1, NP_001155389.1
OG0002864	XP_031847868.1	NP_001155440.1, XP_008180490.1
OG0002865	XP_031825910.1	NP_001155443.1, XP_008185524.1
OG0002866	XP_031846942.1	NP_001155498.1, XP_029341895.1
OG0002867	XP_031834466.1	NP_001155499.1, XP_029341896.1
OG0002868	XP_031837079.1	NP_001155518.1
OG0002869	XP_031845712.1	NP_001155526.1
OG0002870	XP_031835628.1	XP_008185525.1, NP_001155538.1
OG0002871	XP_031828285.1	XP_008183869.1, NP_001155550.1
OG0002872	XP_031830781.1	XP_008185746.1, NP_001155562.1
OG0002873	XP_031847136.1	NP_001155572.1
OG0002874	XP_031844445.1, XP_031844444.1	NP_001155597.1, XP_003248915.1
OG0002875	XP_031832573.1, XP_031832575.1, XP_031832572.1, XP_031832574.1	NP_001155598.1
OG0002876	XP_031831601.1, XP_031831600.1, XP_031831599.1	NP_001155620.1
OG0002877	XP_031849282.1	XP_029344774.1, NP_001155621.1
OG0002878	XP_031832979.1	XP_003244323.1, NP_001155626.1
OG0002879	XP_031830490.1	NP_001155633.1
OG0002880	XP_031850442.1	XP_029341943.1, NP_001155652.1, NP_001156211.1, XP_008178320.1
OG0002881	XP_031830223.1	NP_001155657.1
OG0002882	XP_031838182.1	NP_001155660.1
OG0002883	XP_031830031.1	NP_001155666.1
OG0002884	XP_031846893.1, XP_031846894.1	NP_001155679.1
OG0002885	XP_031826162.1, XP_031826155.1	NP_001155727.1
OG0002886	XP_031834470.1	NP_001155731.1
OG0002887	XP_031848434.1	NP_001155796.1
OG0002888	XP_031829640.1	NP_001155813.1, XP_029344814.1
OG0002889	XP_031832559.1	NP_001155819.1
OG0002890	XP_031838093.1	NP_001155833.1
OG0002891	XP_031830316.1, XP_031830317.1, XP_031830319.1, XP_031830320.1, XP_031830321.1	NP_001155980.1
OG0002892	XP_031844120.1, XP_031844122.1, XP_031844121.1, XP_031844123.1, XP_031844119.1	NP_001156076.1, XP_016659720.1
OG0002893	XP_031849173.1	XP_008190005.1, NP_001156122.1
OG0002894	XP_031829569.1, XP_031829568.1	NP_001156206.1, XP_008187640.1
OG0002895	XP_031842695.1	XP_029341999.1, NP_001156309.1
OG0002896	XP_031848431.1, XP_031848425.1, XP_031848424.1, XP_031848428.1, XP_031848429.1, XP_031848430.1	NP_001156443.1
OG0002897	XP_031831143.1	NP_001156513.1, XP_001946154.2
OG0002898	XP_031842241.1	NP_001156571.1
OG0002899	XP_031845876.1	NP_001161425.1, XP_001946798.1
OG0002900	XP_031842941.1	NP_001162140.1
OG0002901	XP_031834314.1	XP_001945441.1, NP_001191887.1, XP_008188414.1
OG0002902	XP_031838521.1	XP_003246729.1, NP_001280413.1, XP_016663408.1, NP_001191914.1
OG0002903	XP_031843831.1, XP_031843832.1	NP_001191915.1, XP_008184588.1
OG0002904	XP_031831587.1	NP_001232950.1, XP_003240897.1
OG0002905	XP_031842316.1	XP_016660735.1, NP_001233040.1
OG0002906	XP_031844443.1	NP_001233058.1, XP_029344753.1
OG0002907	XP_031832567.1	XP_008185182.1, NP_001233096.1
OG0002908	XP_031838421.1	XP_008180491.1, NP_001233102.1
OG0002909	XP_031845420.1	NP_001280271.1, XP_016656540.1
OG0002910	XP_031844690.1	NP_001280283.1, XP_003245621.1
OG0002911	XP_031832762.1	XP_029344048.1, XP_029343340.1, NP_001280298.1
OG0002913	XP_031835207.1	NP_001280336.1
OG0002914	XP_031840997.1	NP_001280351.1
OG0002915	XP_031841035.1	NP_001280365.1, XP_008179253.1
OG0002916	XP_031843279.1	NP_001280388.1, XP_003247827.1, XP_001946421.1
OG0002917	XP_031831327.1	XP_003244314.3, NP_001280450.1
OG0002918	XP_031828453.1	XP_029345892.1, XP_016664897.1, XP_029346586.1, NP_001280458.1
OG0002919	XP_031830416.1	XP_029341964.1, NP_001280482.1
OG0002920	XP_031835297.1	NP_001313547.1, XP_008186029.1
OG0002921	XP_031846498.1	NP_001313561.1, XP_008178551.1
OG0002922	XP_031842888.1	XP_029346296.1, XP_001942552.2, XP_016663913.1
OG0002923	XP_031848039.1, XP_031848028.1	XP_016663733.1, XP_016663732.1, XP_008187801.1, XP_001942556.2
OG0002924	XP_031835395.1	XP_001942655.2
OG0002925	XP_031847024.1	XP_003243381.1, XP_001942750.2
OG0002926	XP_031846209.1	XP_016664149.1, XP_001942756.2
OG0002927	XP_031831824.1	XP_029343298.1, XP_016659991.1, XP_016659988.1, XP_008183057.1, XP_008183045.1, XP_008183062.1, XP_001942822.1
OG0002928	XP_031840338.1	XP_001942850.2, XP_029347017.1
OG0002929	XP_031827892.1	XP_001942873.2
OG0002930	XP_031849621.1	XP_001942881.1, XP_003245280.1
OG0002931	XP_031834855.1	XP_003242790.1, XP_001943023.1
OG0002932	XP_031839655.1, XP_031839653.1	XP_001943220.1
OG0002933	XP_031831455.1	XP_001943276.1
OG0002934	XP_031831230.1	XP_001943301.1
OG0002935	XP_031829366.1, XP_031829365.1	XP_001943424.1
OG0002936	XP_031847403.1, XP_031847404.1, XP_031847406.1, XP_031847402.1, XP_031847401.1	XP_001943542.1
OG0002937	XP_031847655.1	XP_001943624.2
OG0002938	XP_031836757.1	XP_001943641.1
OG0002939	XP_031835606.1, XP_031835607.1, XP_031835608.1	XP_016664713.1, XP_001943738.1
OG0002940	XP_031836625.1	XP_001943801.2
OG0002941	XP_031848066.1, XP_031848082.1, XP_031848087.1	XP_001943918.1
OG0002942	XP_031846204.1	XP_008188609.1, XP_008188351.1, XP_001943932.2
OG0002943	XP_031835867.1	XP_001944048.2
OG0002944	XP_031847738.1	XP_001944112.1, XP_003244403.1
OG0002945	XP_031833414.1	XP_001944145.2, XP_003247376.1, XP_029343186.1
OG0002946	XP_031840162.1	XP_001944249.2
OG0002947	XP_031846743.1	XP_001944333.2
OG0002948	XP_031836825.1	XP_016657472.1, XP_001944364.1
OG0002949	XP_031830543.1, XP_031830541.1, XP_031830542.1	XP_001944379.2, XP_029344124.1
OG0002950	XP_031843113.1	XP_001944399.2
OG0002951	XP_031848542.1, XP_031848543.1	XP_029348696.1, XP_029348697.1, XP_001944403.2
OG0002952	XP_031842786.1	XP_016663556.2, XP_001944536.2
OG0002953	XP_031838580.1	XP_001944754.1, XP_008187460.1
OG0002954	XP_031848934.1, XP_031838097.1, XP_031838096.1	XP_001944892.2, XP_008182820.1
OG0002955	XP_031830347.1	XP_001944972.1, XP_008181317.1
OG0002956	XP_031826206.1	XP_008187424.1
OG0002957	XP_031827761.1	XP_001944980.2
OG0002958	XP_031835316.1	XP_001945039.2, XP_008181932.1
OG0002959	XP_031838739.1	XP_008178684.1, XP_001945167.1
OG0002960	XP_031834212.1	XP_001945272.1
OG0002961	XP_031846658.1	XP_001945290.2, XP_008184601.2, XP_003247506.1
OG0002962	XP_031826241.1	XP_001945318.2
OG0002963	XP_031840212.1	XP_008183598.1, XP_001945351.2
OG0002964	XP_031846368.1	XP_001945373.2
OG0002965	XP_031831338.1	XP_001945404.1, XP_029346253.1
OG0002966	XP_031845855.1, XP_031845854.1, XP_031845856.1	XP_001945478.1
OG0002967	XP_031830198.1	XP_001945483.1
OG0002968	XP_031838007.1	XP_001945492.1, XP_016663308.1, XP_008187044.1, XP_001950928.1
OG0002969	XP_031843379.1	XP_008185989.1, XP_008185987.1, XP_029345635.1, XP_001945556.2
OG0002970	XP_031843037.1	XP_001947686.1, XP_001945575.1
OG0002971	XP_031830332.1	XP_008182663.1, XP_003244249.1, XP_001945700.4, XP_003248669.3
OG0002972	XP_031849204.1, XP_031849205.1, XP_031849206.1	XP_003243447.1, XP_016658624.1, XP_001945702.2, XP_029346260.1
OG0002973	XP_031826550.1, XP_031826551.1	XP_001945711.2
OG0002974	XP_031830017.1, XP_031830018.1	XP_001945812.1, XP_029347160.1
OG0002975	XP_031831037.1, XP_031831036.1	XP_001945863.1
OG0002976	XP_031829666.1, XP_031829665.1	XP_001945968.1
OG0002977	XP_031838302.1	XP_001946008.2
OG0002978	XP_031830199.1	XP_001946070.2
OG0002979	XP_031825991.1, XP_031825990.1	XP_001946100.1
OG0002980	XP_031826137.1	XP_029345546.1, XP_003245467.1, XP_001946166.2, XP_029345545.1
OG0002981	XP_031843367.1	XP_008181338.1, XP_001946227.1
OG0002982	XP_031844045.1	XP_001946268.1
OG0002983	XP_031849339.1	XP_003246717.1, XP_001946372.1
OG0002984	XP_031846081.1, XP_031846094.1	XP_001949267.1, XP_001946419.2
OG0002985	XP_031833965.1	XP_016659448.1, XP_029345264.1, XP_001946451.2, XP_029344842.1
OG0002986	XP_031844113.1	XP_001946552.2, XP_029345867.1
OG0002987	XP_031845557.1	XP_001946628.1, XP_029341228.1
OG0002988	XP_031846985.1	XP_008178581.1, XP_016658529.1, XP_016658505.1, XP_001946698.1
OG0002989	XP_031834606.1	XP_001946851.1
OG0002990	XP_031828683.1	XP_001946853.2
OG0002991	XP_031826723.1	XP_008180055.1, XP_001946880.1
OG0002992	XP_031830300.1	XP_008189858.1, XP_008189859.1, XP_001947099.2
OG0002993	XP_031846945.1	XP_001947101.2
OG0002994	XP_031834444.1, XP_031834445.1	XP_001947133.2
OG0002995	XP_031843207.1	XP_001947143.1
OG0002997	XP_031850103.1	XP_001947297.1
OG0002998	XP_031830566.1	XP_001947384.1
OG0002999	XP_031830881.1	XP_001947404.1
OG0003000	XP_031828895.1, XP_031828898.1, XP_031828903.1	XP_001947411.2
OG0003001	XP_031841412.1	XP_001947473.1
OG0003002	XP_031838180.1	XP_001949916.1, XP_001947556.1
OG0003003	XP_031839635.1	XP_001947592.1
OG0003004	XP_031833288.1	XP_001947624.3
OG0003005	XP_031825432.1	XP_001947637.4, XP_008189574.2
OG0003006	XP_031837165.1	XP_001947659.2, XP_003245300.2
OG0003007	XP_031826628.1, XP_031826627.1, XP_031826626.1, XP_031826625.1	XP_001947671.1
OG0003008	XP_031833554.1	XP_001947674.2
OG0003009	XP_031829513.1, XP_031829502.1, XP_031829520.1, XP_031829530.1	XP_001947746.1
OG0003010	XP_031830197.1	XP_001947758.1, XP_008179265.1
OG0003011	XP_031833832.1, XP_031833833.1	XP_001947856.1
OG0003012	XP_031832705.1	XP_008189070.2, XP_001947885.1
OG0003013	XP_031826288.1	XP_001947936.1
OG0003014	XP_031846976.1	XP_001948017.2
OG0003015	XP_031831546.1	XP_001948018.4
OG0003016	XP_031844991.1	XP_001948054.2
OG0003017	XP_031835446.1, XP_031835450.1, XP_031835449.1, XP_031835445.1, XP_031835451.1, XP_031835448.1	XP_001948100.1
OG0003018	XP_031849658.1	XP_016664296.1, XP_001950099.1, XP_001948323.1
OG0003019	XP_031830110.1	XP_001948378.1
OG0003020	XP_031844276.1, XP_031844275.1, XP_031844274.1	XP_001948397.1, XP_008182960.1
OG0003021	XP_031831724.1	XP_003243551.1, XP_003243550.1, XP_029344484.1, XP_001948755.2
OG0003022	XP_031841883.1	XP_001948814.1
OG0003023	XP_031837673.1	XP_008181645.1, XP_001948831.1
OG0003024	XP_031845942.1	XP_001948904.2
OG0003025	XP_031841027.1	XP_001948941.2
OG0003026	XP_031825852.1, XP_031825851.1, XP_031825853.1	XP_001949031.1
