Orthogroup	Drosophila_melanogaster	Habropoda_laboriosa
OG0003971	NP_001285692.1	XP_017788859.1
OG0003972	NP_611539.1	XP_017790701.1
OG0003973	NP_001286341.1, NP_725128.2, NP_610757.1	XP_017790383.1
OG0003974	NP_651278.2	XP_017797548.1
OG0003975	NP_649552.1	XP_017789658.1
OG0003976	NP_001246589.1	XP_017788647.1
OG0003977	NP_570081.2	XP_017790532.1
OG0003978	NP_001285330.1, NP_001263122.1	XP_017791389.1
OG0003979	NP_611690.2	XP_017790635.1
OG0003980	NP_572722.2	XP_017793013.1
OG0003981	NP_610429.2	XP_017796628.1
OG0003982	NP_609079.2	XP_017790273.1
OG0003983	NP_001137958.1	XP_017791651.1
OG0003984	NP_611900.1	XP_017792742.1
OG0003985	NP_572747.1	XP_017791619.1
OG0003986	NP_511064.2	XP_017790934.1
OG0003987	NP_001286391.1	XP_017788315.1
OG0003988	NP_001163748.1	XP_017795998.1
OG0003989	NP_001163103.1	XP_017791304.1
OG0003990	NP_524448.3	XP_017796842.1
OG0003991	NP_524623.2	XP_017789766.1
OG0003992	NP_573116.2	XP_017798023.1
OG0003993	NP_001287552.1	XP_017793286.1
OG0003994	NP_001286707.1	XP_017796126.1
OG0003995	NP_001284866.1	XP_017789448.1
OG0003996	NP_001259362.1, NP_650489.1	XP_017790659.1
OG0003997	NP_001246522.1, NP_722917.2, NP_608787.1	XP_017792008.1
OG0003998	NP_001162829.1	XP_017797908.1
OG0003999	NP_523723.1	XP_017791327.1
OG0004000	NP_001246063.1	XP_017788398.1
OG0004002	NP_001303384.1	XP_017789711.1
OG0004003	NP_001162933.1	XP_017797147.1, XP_017789312.1
OG0004004	NP_609954.1, NP_001286084.1	XP_017790549.1
OG0004005	NP_732452.1	XP_017792594.1, XP_017792593.1
OG0004006	NP_724569.1	XP_017788949.1, XP_017788734.1
OG0004008	NP_001097360.1	XP_017787360.1
OG0004009	NP_731065.1	XP_017787838.1
OG0004010	NP_572391.1	XP_017792931.1
OG0004011	NP_001260641.1	XP_017791895.1
OG0004012	NP_001096948.2	XP_017798937.1
OG0004014	NP_572951.1	XP_017787526.1
OG0004015	NP_001138211.1	XP_017792666.1
OG0004016	NP_001189283.1	XP_017793296.1
OG0004017	NP_001286893.1	XP_017794723.1
OG0004018	NP_728546.1	XP_017793375.1
OG0004020	NP_001287463.1	XP_017794385.1
OG0004021	NP_001259691.1	XP_017790907.1
OG0004022	NP_001285276.1	XP_017791746.1
OG0004023	NP_001285665.1	XP_017794621.1
OG0004024	NP_001263051.1	XP_017787870.1
OG0004026	NP_524473.2	XP_017796786.1, XP_017793780.1
OG0004027	NP_648926.3	XP_017796859.1
OG0004029	NP_001097121.1	XP_017794896.1
OG0004030	NP_001262385.1, NP_001189194.1	XP_017797728.1
OG0004031	NP_524815.1	XP_017795977.1
OG0004033	NP_477436.1	XP_017789365.1
OG0004034	NP_609890.2	XP_017797790.1
OG0004035	NP_001285328.1	XP_017794009.1, XP_017794008.1, XP_017794005.1, XP_017794007.1, XP_017794010.1
OG0004036	NP_649324.1	XP_017790559.1
OG0004037	NP_001262772.1	XP_017791010.1
OG0004038	NP_001245836.1	XP_017791257.1, XP_017791256.1
OG0004040	NP_001285092.1, NP_572658.2	XP_017787723.1
OG0004041	NP_647718.1	XP_017797680.1
OG0004042	NP_523917.2	XP_017797986.1
OG0004043	NP_001259062.1	XP_017790582.1
OG0004044	NP_572373.1	XP_017797215.1
OG0004045	NP_523806.2, NP_524607.1	XP_017787357.1
OG0004046	NP_001189212.1	XP_017789021.1
OG0004047	NP_649701.2	XP_017789163.1
OG0004048	NP_001097680.1	XP_017789695.1
OG0004049	NP_610466.2	XP_017788051.1
OG0004050	NP_573088.1	XP_017794825.1
OG0004051	NP_573193.1, NP_650498.3	XP_017798241.1
OG0004052	NP_001262451.1	XP_017796666.1
OG0004053	NP_001260958.1	XP_017792574.1
OG0004054	NP_001260969.1	XP_017794880.1
OG0004055	NP_649411.1	XP_017789537.1
OG0004056	NP_001259979.1	XP_017790728.1
OG0004058	NP_477114.1	XP_017796653.1
OG0004059	NP_001261609.1	XP_017794559.1
OG0004060	NP_476576.1	XP_017791932.1
OG0004061	NP_001285590.1	XP_017795766.1
OG0004062	NP_001245607.1	XP_017794127.1
OG0004063	NP_001162975.1	XP_017788374.1
OG0004064	NP_001259152.1	XP_017790498.1
OG0004065	NP_001286823.1, NP_001259234.1	XP_017793919.1
OG0004066	NP_573146.1	XP_017788888.1
OG0004067	NP_001261227.1	XP_017796967.1
OG0004068	NP_725626.1, NP_476863.1	XP_017793000.1
OG0004069	NP_001368995.1	XP_017792780.1
OG0004070	NP_001162753.1, NP_001285243.1	XP_017792645.1
OG0004071	NP_996010.2	XP_017797701.1
OG0004072	NP_572759.1	XP_017797816.1
OG0004073	NP_648318.2	XP_017798270.1
OG0004074	NP_001286846.1	XP_017788336.1
OG0004075	NP_788639.1	XP_017798784.1
OG0004076	NP_608550.1	XP_017793456.1
OG0004077	NP_650693.1	XP_017793525.1
OG0004078	NP_649890.1	XP_017794813.1
OG0004079	NP_001137777.1	XP_017790442.1
OG0004080	NP_523890.2	XP_017788410.1
OG0004081	NP_001188938.1	XP_017793387.1
OG0004082	NP_001260586.1	XP_017794986.1
OG0004083	NP_569978.1	XP_017797784.1
OG0004084	NP_001163332.2	XP_017795893.1
OG0004085	NP_001246647.1	XP_017793958.1
OG0004086	NP_001138108.1	XP_017796600.1
OG0004087	NP_001259779.1	XP_017790703.1
OG0004088	NP_723510.1	XP_017796853.1
OG0004089	NP_001260005.1	XP_017795757.1, XP_017796106.1
OG0004090	NP_609643.2	XP_017789932.1
OG0004091	NP_609204.2	XP_017797831.1, XP_017797832.1
OG0004092	NP_001285421.1	XP_017798710.1
OG0004093	NP_001259507.1	XP_017792992.1
OG0004094	NP_511152.2	XP_017794240.1
OG0004095	NP_477374.1	XP_017799180.1
OG0004096	NP_725637.1	XP_017794472.1
OG0004097	NP_001286067.1	XP_017792361.1
OG0004098	NP_726437.2	XP_017798143.1
OG0004099	NP_650205.1	XP_017797181.1
OG0004100	NP_609183.1	XP_017792843.1
OG0004101	NP_723188.1	XP_017793188.1
OG0004102	NP_001262443.1	XP_017791743.1
OG0004103	NP_001027038.3	XP_017794097.1
OG0004105	NP_001260476.1	XP_017792783.1
OG0004106	NP_649461.2	XP_017790367.1
OG0004107	NP_647638.1	XP_017799242.1
OG0004110	NP_611023.1	XP_017793593.1
OG0004111	NP_523982.2	XP_017797512.1, XP_017797513.1, XP_017797514.1
OG0004112	NP_608410.2	XP_017790242.1
OG0004113	NP_524712.1	XP_017796552.1
OG0004114	NP_476905.1	XP_017793906.1
OG0004116	NP_651973.4	XP_017797700.1
OG0004117	NP_648367.1	XP_017797604.1
OG0004119	NP_651939.4	XP_017790395.1
OG0004120	NP_001263153.1	XP_017793682.1
OG0004122	NP_648520.1	XP_017795299.1
OG0004123	NP_001260855.1	XP_017794539.1
OG0004124	NP_523879.2, NP_728565.1	XP_017794308.1
OG0004125	NP_573215.1	XP_017790326.1
OG0004126	NP_001260594.1	XP_017798536.1
OG0004128	NP_001286068.1	XP_017790508.1
OG0004129	NP_001245829.1	XP_017794034.1
OG0004131	NP_001284898.1, NP_001284897.1	XP_017787362.1
OG0004132	NP_001285233.1	XP_017793645.1
OG0004133	NP_001259348.1	XP_017795580.1
OG0004137	NP_610611.1	XP_017791865.1
OG0004138	NP_001027221.1	XP_017794202.1
OG0004139	NP_001262795.1	XP_017797800.1
OG0004140	NP_476985.1	XP_017799280.1
OG0004141	NP_524372.1, NP_525036.2	XP_017794885.1
OG0004142	NP_723952.2	XP_017796537.1
OG0004143	NP_523942.2	XP_017789290.1, XP_017790248.1, XP_017790240.1
OG0004144	NP_001259820.1	XP_017797172.1
OG0004145	NP_001097306.2	XP_017790707.1
OG0004146	NP_648847.3	XP_017791610.1
OG0004147	NP_001014556.1	XP_017797933.1
OG0004148	NP_001245598.1	XP_017792970.1
OG0004149	NP_572236.3	XP_017789538.1
OG0004150	NP_649909.1	XP_017789576.1
OG0004151	NP_648032.1	XP_017790228.1
OG0004153	NP_001036757.1	XP_017790645.1
OG0004154	NP_611433.3, NP_651549.1	XP_017796423.1
OG0004155	NP_524453.1	XP_017788557.1
OG0004157	NP_610845.1	XP_017789302.1
OG0004158	NP_001261442.1	XP_017789961.1
OG0004159	NP_609541.1	XP_017795400.1
OG0004160	NP_610297.2	XP_017789542.1
OG0004161	NP_610792.2	XP_017795723.1
OG0004162	NP_001097114.2	XP_017790237.1
OG0004163	NP_001260044.1	XP_017796392.1
OG0004164	NP_001097850.3	XP_017792518.1
OG0004166	NP_610783.1	XP_017789510.1
OG0004167	NP_001245796.1	XP_017797865.1
OG0004168	NP_651717.1	XP_017788879.1
OG0004169	NP_477088.2	XP_017789121.1
OG0004170	NP_001097606.1	XP_017790014.1
OG0004171	NP_611857.3	XP_017789346.1
OG0004172	NP_476845.2	XP_017796025.1
OG0004173	NP_001261621.2, NP_476855.1	XP_017787792.1
OG0004174	NP_001261172.1	XP_017788547.1
OG0004175	NP_001369072.1	XP_017787882.1
OG0004176	NP_001246184.1	XP_017790830.1, XP_017790829.1
OG0004177	NP_001260615.1	XP_017789450.1
OG0004178	NP_001027420.2	XP_017790321.1, XP_017790306.1
OG0004180	NP_001162639.2	XP_017795978.1
OG0004181	NP_477219.1	XP_017795258.1
OG0004182	NP_610116.2	XP_017792882.1
OG0004183	NP_001260578.1	XP_017792318.1
OG0004184	NP_477022.1	XP_017792928.1
OG0004186	NP_001097184.2	XP_017799032.1
OG0004187	NP_651004.1	XP_017798280.1
OG0004188	NP_608524.1	XP_017789174.1
OG0004190	NP_001096996.1	XP_017787494.1
OG0004191	NP_001261503.1	XP_017795439.1
OG0004192	NP_651851.1	XP_017788714.1
OG0004193	NP_001163275.2	XP_017795960.1
OG0004194	NP_001261636.1	XP_017788119.1
OG0004195	NP_001303365.1	XP_017796147.1
OG0004196	NP_572860.2, NP_608430.2, NP_650728.1	XP_017793260.1
OG0004197	NP_523924.1	XP_017791261.1
OG0004198	NP_652562.2	XP_017787648.1, XP_017787647.1
OG0004199	NP_001259983.1	XP_017790060.1
OG0004201	NP_651849.1	XP_017791626.1
OG0004202	NP_001260133.1	XP_017792350.1
OG0004203	NP_648267.1	XP_017795413.1
OG0004205	NP_608637.1	XP_017799600.1
OG0004206	NP_610556.1	XP_017788954.1
OG0004207	NP_001286287.1, NP_001247263.1	XP_017796098.1
OG0004209	NP_001287316.1	XP_017798977.1
OG0004210	NP_611540.1, NP_723119.1	XP_017791918.1
OG0004211	NP_726630.2	XP_017795120.1
OG0004212	NP_001260087.1	XP_017792104.1
OG0004213	NP_649590.1	XP_017790817.1
OG0004214	NP_524783.1, NP_001262446.1	XP_017791457.1
OG0004215	NP_001260417.1	XP_017789804.1, XP_017789813.1
OG0004216	NP_651298.1, NP_001097988.2, NP_001097987.1, NP_001287620.1, NP_001262833.1, NP_651535.1	XP_017798824.1
OG0004219	NP_648343.1	XP_017792072.1
OG0004220	NP_477041.1	XP_017791500.1
OG0004222	NP_611021.1	XP_017787661.1
OG0004224	NP_001189250.2	XP_017788082.1
OG0004225	NP_650989.6	XP_017798538.1
OG0004226	NP_001286529.1, NP_650027.1	XP_017790058.1, XP_017797029.1, XP_017795873.1, XP_017795853.1, XP_017796556.1, XP_017795396.1, XP_017792768.1, XP_017792767.1, XP_017792766.1, XP_017795924.1
OG0004228	NP_001284939.1	XP_017792991.1
OG0004229	NP_001163414.1	XP_017798900.1
OG0004230	NP_001261376.1	XP_017798581.1
OG0004231	NP_001368969.1	XP_017791813.1
OG0004232	NP_001262107.1	XP_017799555.1, XP_017799547.1
OG0004234	NP_610253.1	XP_017793674.1
OG0004236	NP_001369050.1	XP_017789599.1
OG0004237	NP_001285677.1, NP_609042.1	XP_017799586.1
OG0004238	NP_724428.1	XP_017797448.1
OG0004239	NP_001260558.1	XP_017791732.1
OG0004240	NP_476601.1, NP_476732.1, NP_476600.1	XP_017789877.1
OG0004241	NP_001303313.1	XP_017797563.1
OG0004242	NP_001356934.1	XP_017798958.1
OG0004243	NP_648724.1	XP_017790560.1
OG0004244	NP_727768.1	XP_017788964.1
OG0004245	NP_001097964.1	XP_017790387.1
OG0004246	NP_001014610.1	XP_017796905.1, XP_017796904.1, XP_017796906.1
OG0004247	NP_001260710.1	XP_017795397.1
OG0004248	NP_001137610.1	XP_017794602.1
OG0004249	NP_610325.1	XP_017790764.1
OG0004251	NP_001259575.1	XP_017790270.1
OG0004253	NP_722629.1	XP_017799136.1
OG0004257	NP_572166.1, NP_572616.1	XP_017789797.1
OG0004258	NP_001286256.1	XP_017797960.1
OG0004264	NP_001188568.1	XP_017798212.1
OG0004275	NP_001287569.1	XP_017789638.1
OG0004276	NP_523774.1	XP_017799144.1
OG0004277	NP_523975.1	XP_017790230.1
OG0004278	NP_524315.2	XP_017790757.1
OG0004279	NP_650333.1, NP_648622.1	XP_017798389.1
OG0004280	NP_650696.1, NP_648616.1, NP_648615.1	XP_017789894.1
OG0004281	NP_001188972.1	XP_017799016.1
OG0004282	NP_001097151.1, NP_001285794.1	XP_017796448.1
OG0004283	NP_001287481.1	XP_017788264.1
OG0004284	NP_001245404.1	XP_017792477.1
OG0004285	NP_724783.1	XP_017791478.1
OG0004286	NP_001246362.1	XP_017790865.1
OG0004287	NP_001188682.1, NP_570087.1	XP_017787844.1
OG0004288	NP_572478.1	XP_017797904.1
OG0004289	NP_650780.1	XP_017792813.1, XP_017792814.1
OG0004290	NP_001261742.1	XP_017798522.1
OG0004291	NP_650301.1	XP_017796797.1
OG0004292	NP_652048.2, NP_611164.3, NP_611165.2, NP_611163.2	XP_017789409.1
OG0004293	NP_730662.2	XP_017798888.1
OG0004294	NP_001262039.1	XP_017794769.1
OG0004295	NP_001287206.1	XP_017797527.1
OG0004296	NP_476801.1, NP_001189086.1, NP_729707.1, NP_611169.1, NP_609447.1	XP_017789024.1
OG0004297	NP_524938.1	XP_017790964.1
OG0004298	NP_524779.1	XP_017795485.1
OG0004299	NP_001137795.2	XP_017794256.1
OG0004300	NP_001287572.1	XP_017795264.1
OG0004301	NP_001285193.1	XP_017795001.1
OG0004302	NP_648377.1	XP_017791049.1
OG0004303	NP_001260495.1	XP_017798214.1
OG0004304	NP_001260293.1	XP_017789649.1
OG0004305	NP_001259881.1	XP_017799018.1
OG0004306	NP_001262472.1	XP_017798810.1
OG0004307	NP_001188689.2	XP_017798371.1
OG0004308	NP_524051.1	XP_017798391.1
OG0004309	NP_001245541.1	XP_017792563.1
OG0004310	NP_001137770.1	XP_017797442.1
OG0004311	NP_001246045.1	XP_017792975.1
OG0004312	NP_001261435.1	XP_017798880.1
OG0004313	NP_001285137.1	XP_017797673.1
OG0004314	NP_001285543.1	XP_017789277.1
OG0004315	NP_647792.1	XP_017795094.1
OG0004316	NP_001263104.1	XP_017794634.1, XP_017794635.1, XP_017794637.1
OG0004317	NP_001286731.1	XP_017796035.1
OG0004318	NP_001286506.1	XP_017789416.1, XP_017789415.1
OG0004320	NP_731523.1	XP_017791544.1
OG0004321	NP_611092.2	XP_017790499.1
OG0004322	NP_001163347.1	XP_017791783.1
OG0004323	NP_001260233.1, NP_609197.2, NP_001260232.1	XP_017793330.1
OG0004324	NP_001286410.1	XP_017790074.1
OG0004325	NP_524275.1	XP_017789752.1
OG0004326	NP_610463.2	XP_017790791.1
OG0004327	NP_524452.4	XP_017792144.1
OG0004328	NP_724834.1	XP_017795130.1
OG0004329	NP_001259822.1	XP_017792112.1
OG0004330	NP_649676.1	XP_017794044.1
OG0004331	NP_647991.1	XP_017790125.1
OG0004332	NP_650987.1	XP_017790451.1
OG0004333	NP_524260.1, NP_477414.1	XP_017793426.1
OG0004334	NP_001163571.1, NP_649912.1	XP_017794450.1
OG0004335	NP_610220.1	XP_017790967.1
OG0004336	NP_650322.1, NP_001285600.1, NP_001287079.2, NP_650017.1	XP_017796012.1
OG0004337	NP_001261269.1	XP_017798562.1
OG0004338	NP_609845.1	XP_017790368.1
OG0004339	NP_649908.1	XP_017789633.1
OG0004340	NP_001286348.1	XP_017789388.1
OG0004341	NP_609351.1	XP_017788904.1
OG0004342	NP_001097058.1	XP_017795180.1
OG0004343	NP_001097094.1	XP_017789858.1
OG0004344	NP_001259272.1	XP_017795309.1
OG0004345	NP_649252.1	XP_017791125.1
OG0004346	NP_609805.1	XP_017791092.1
OG0004347	NP_524207.1	XP_017789870.1
OG0004348	NP_001163845.1, NP_001015476.1	XP_017792784.1
OG0004349	NP_611559.1	XP_017797523.1
OG0004350	NP_001285449.1	XP_017790181.1
OG0004351	NP_525119.1	XP_017788289.1
OG0004352	NP_649028.3	XP_017790045.1
OG0004353	NP_001285310.1	XP_017791559.1
OG0004354	NP_001287035.1	XP_017793722.1
OG0004355	NP_536744.2	XP_017788526.1
OG0004356	NP_611425.1	XP_017788519.1
OG0004357	NP_572562.1	XP_017790963.1
OG0004358	NP_001286503.1	XP_017795566.1
OG0004359	NP_001189211.1	XP_017796316.1
OG0004360	NP_650056.1	XP_017792156.1
OG0004361	NP_650673.1	XP_017797323.1
OG0004362	NP_001262304.1	XP_017787760.1, XP_017799083.1
OG0004363	NP_001261322.1	XP_017793462.1
OG0004365	NP_648494.2	XP_017798609.1
OG0004366	NP_523476.1	XP_017788429.1, XP_017788430.1
OG0004367	NP_732020.2	XP_017789751.1
OG0004368	NP_524318.1	XP_017792217.1
OG0004369	NP_523582.4	XP_017798291.1
OG0004370	NP_001138143.2	XP_017790452.1
OG0004371	NP_648188.2	XP_017787725.1
OG0004372	NP_001262726.1	XP_017796505.1
OG0004373	NP_728447.2, NP_996529.1, NP_728443.1	XP_017789925.1
OG0004374	NP_001303568.1	XP_017798035.1
OG0004375	NP_608830.3	XP_017798103.1
OG0004376	NP_647775.1	XP_017788126.1
OG0004377	NP_001138105.1	XP_017789406.1
OG0004378	NP_001137873.1	XP_017798897.1
OG0004379	NP_001285662.1	XP_017796739.1
OG0004381	NP_001260780.1	XP_017797543.1
OG0004382	NP_996490.1	XP_017795584.1
OG0004383	NP_610545.1	XP_017797959.1
OG0004384	NP_609443.1	XP_017796043.1
OG0004385	NP_788616.1, NP_001189205.1	XP_017792914.1
OG0004386	NP_611691.1	XP_017797966.1
OG0004387	NP_001285889.1	XP_017788512.1
OG0004388	NP_723505.2	XP_017799240.1
OG0004389	NP_523561.1	XP_017790715.1
OG0004390	NP_001286516.1, NP_001260386.1, NP_001259422.1, NP_648983.1	XP_017796233.1
OG0004391	NP_001260317.1	XP_017787832.1
OG0004392	NP_001287439.1	XP_017788226.1
OG0004393	NP_610677.1	XP_017790264.1
OG0004394	NP_650976.1	XP_017797319.1
OG0004395	NP_651456.1	XP_017789084.1
OG0004396	NP_610554.1	XP_017790032.1
OG0004397	NP_726779.1	XP_017798638.1
OG0004398	NP_476730.1, NP_476834.1	XP_017796927.1
OG0004399	NP_001246624.1	XP_017799513.1
OG0004400	NP_729935.1	XP_017790461.1
OG0004401	NP_649256.1	XP_017799263.1
OG0004402	NP_524923.1	XP_017798870.1
OG0004403	NP_651498.1	XP_017796792.1
OG0004404	NP_524030.2	XP_017789007.1
OG0004405	NP_649570.1	XP_017791678.1
OG0004406	NP_733063.1	XP_017790903.1
OG0004407	NP_001162940.3, NP_995925.2	XP_017791332.1
OG0004408	NP_001287062.1	XP_017789011.1
OG0004409	NP_524182.3	XP_017789568.1, XP_017789567.1
OG0004410	NP_651927.1	XP_017787756.1
OG0004411	NP_001163296.1	XP_017791204.1
OG0004412	NP_609399.1	XP_017793327.1
OG0004413	NP_001137696.1	XP_017788113.1
OG0004414	NP_001261930.1	XP_017793914.1
OG0004415	NP_001036718.1, NP_650551.1	XP_017791618.1
OG0004416	NP_001261410.1	XP_017789168.1
OG0004417	NP_001260142.1	XP_017799171.1, XP_017799172.1
OG0004418	NP_610327.1, NP_724615.1	XP_017791953.1
OG0004419	NP_001097352.1	XP_017797574.1
OG0004420	NP_477283.1	XP_017798193.1
OG0004421	NP_650270.1	XP_017798514.1
OG0004422	NP_651243.1	XP_017794133.1
OG0004423	NP_001285908.1	XP_017795985.1
OG0004424	NP_001262473.1	XP_017796346.1
OG0004425	NP_608827.1	XP_017797659.1
OG0004426	NP_609783.1	XP_017790651.1
OG0004427	NP_001285801.1, NP_609721.1	XP_017789401.1
OG0004428	NP_648239.1	XP_017789916.1
OG0004429	NP_001259068.1	XP_017797646.1
OG0004430	NP_001259372.1	XP_017799424.1
OG0004431	NP_996303.1	XP_017796708.1
OG0004432	NP_001261247.1, NP_001261517.1	XP_017788556.1
OG0004433	NP_001287204.1, NP_524846.1	XP_017792165.1
OG0004434	NP_001285891.1	XP_017796649.1
OG0004436	NP_001259475.1	XP_017789487.1
OG0004437	NP_001287385.1	XP_017798008.1
OG0004438	NP_650751.3	XP_017797774.1
OG0004439	NP_995932.1	XP_017789651.1
OG0004440	NP_611228.1	XP_017797743.1
OG0004441	NP_523951.1	XP_017797339.1
OG0004442	NP_650942.1	XP_017797269.1
OG0004443	NP_611162.2	XP_017796370.1
OG0004444	NP_001260777.1	XP_017798947.1
OG0004445	NP_650123.1	XP_017788078.1
OG0004446	NP_001260104.1, NP_573142.1	XP_017793463.1, XP_017796221.1, XP_017791628.1
OG0004447	NP_001284739.1	XP_017788695.1
OG0004448	NP_608704.2, NP_001259956.1	XP_017798462.1
OG0004449	NP_788342.1	XP_017792703.1
OG0004450	NP_001285397.1	XP_017792811.1
OG0004451	NP_728642.2	XP_017792411.1
OG0004452	NP_732176.1	XP_017792795.1
OG0004453	NP_610921.1	XP_017794451.1
OG0004454	NP_524151.2	XP_017790611.1
OG0004455	NP_001287493.1	XP_017790682.1
OG0004457	NP_573232.1	XP_017795468.1
OG0004458	NP_608825.2	XP_017797495.1
OG0004459	NP_001162710.2	XP_017796903.1
OG0004460	NP_477121.1	XP_017791981.1
OG0004461	NP_608740.2	XP_017789840.1
OG0004462	NP_651528.2	XP_017795037.1
OG0004463	NP_001027435.2	XP_017799357.1
OG0004464	NP_001097493.1	XP_017794238.1
OG0004465	NP_649466.1	XP_017799224.1
OG0004466	NP_608999.2	XP_017794611.1
OG0004467	NP_608883.1	XP_017788133.1
OG0004469	NP_572952.1	XP_017789289.1
OG0004470	NP_001259370.1	XP_017790112.1
OG0004471	NP_477202.2	XP_017793629.1
OG0004472	NP_001137613.1	XP_017796952.1
OG0004473	NP_524462.2	XP_017790966.1
OG0004475	NP_001262708.1	XP_017790521.1
OG0004478	NP_524183.2	XP_017797337.1
OG0004479	NP_610333.1	XP_017789442.1
OG0004480	NP_651582.1	XP_017796977.1
OG0004481	NP_001259161.1	XP_017795310.1
OG0004482	NP_733068.2, NP_001261049.1	XP_017796038.1
OG0004483	NP_651314.1	XP_017793085.1
OG0004484	NP_608777.1	XP_017788562.1
OG0004485	NP_001247347.1	XP_017789206.1
OG0004486	NP_608781.2	XP_017799185.1
OG0004487	NP_726358.2	XP_017797415.1
OG0004489	NP_651251.3	XP_017794956.1
OG0004490	NP_648780.1	XP_017787918.1
OG0004491	NP_650248.1	XP_017796168.1
OG0004492	NP_611300.2	XP_017791009.1
OG0004493	NP_651664.2	XP_017792730.1
OG0004494	NP_476901.1	XP_017795440.1
OG0004495	NP_724769.2	XP_017794404.1
OG0004496	NP_651349.1	XP_017792520.1
OG0004498	NP_001246734.1	XP_017793868.1, XP_017793917.1
OG0004499	NP_733352.3	XP_017789570.1
OG0004500	NP_651635.2	XP_017796654.1
OG0004501	NP_523615.2, NP_001260679.1	XP_017788758.1
OG0004502	NP_001247091.1	XP_017793654.1
OG0004503	NP_001027230.1	XP_017792129.1
OG0004504	NP_001286484.1	XP_017792982.1
OG0004505	NP_608388.2	XP_017789305.1
OG0004506	NP_001286174.1	XP_017788573.1
OG0004507	NP_001263099.1, NP_001303460.1	XP_017799115.1
OG0004508	NP_569873.1	XP_017795588.1
OG0004509	NP_001286999.1	XP_017794265.1
OG0004510	NP_732773.1	XP_017796711.1
OG0004511	NP_650686.1	XP_017797159.1
OG0004512	NP_476975.1	XP_017792770.1
OG0004513	NP_648570.1	XP_017789540.1
OG0004514	NP_001260173.1	XP_017794189.1
OG0004515	NP_001285130.1	XP_017789426.1
OG0004516	NP_650432.1	XP_017795684.1
OG0004517	NP_787963.2	XP_017793206.1
OG0004518	NP_650939.2	XP_017791075.1
OG0004519	NP_001262894.1	XP_017790296.1
OG0004520	NP_001245456.1	XP_017795417.1
OG0004521	NP_511044.1	XP_017797644.1
OG0004523	NP_001259649.1	XP_017793040.1
OG0004524	NP_572945.1	XP_017788024.1
OG0004526	NP_001163323.1	XP_017791406.1
OG0004527	NP_001260639.1	XP_017788044.1
OG0004528	NP_001262168.1	XP_017796558.1
OG0004529	NP_651081.1	XP_017799166.1
OG0004530	NP_001260420.1	XP_017798156.1
OG0004531	NP_001261906.1	XP_017790214.1
OG0004532	NP_523465.2	XP_017788235.1
OG0004533	NP_001262116.1	XP_017791144.1
OG0004534	NP_001286215.1	XP_017789347.1
OG0004535	NP_612103.1	XP_017794461.1
OG0004536	NP_523708.2	XP_017793930.1
OG0004537	NP_610279.3	XP_017796944.1
OG0004538	NP_572638.1	XP_017796411.1
OG0004539	NP_001260821.1	XP_017789085.1
OG0004540	NP_476979.1	XP_017798392.1
OG0004541	NP_524344.1	XP_017795141.1
OG0004542	NP_001260580.1	XP_017797949.1
OG0004544	NP_524673.3	XP_017790845.1
OG0004545	NP_001284713.1	XP_017794965.1
OG0004547	NP_001015473.1	XP_017790808.1
OG0004549	NP_651718.1	XP_017793684.1
OG0004550	NP_573230.1	XP_017791401.1
OG0004551	NP_001245759.1	XP_017794061.1
OG0004552	NP_733044.1	XP_017790505.1
OG0004553	NP_001261278.1	XP_017794368.1
OG0004554	NP_573190.1	XP_017788792.1
OG0004555	NP_725632.1	XP_017792162.1, XP_017792161.1
OG0004556	NP_001163123.1	XP_017791090.1
OG0004557	NP_651691.4	XP_017790607.1
OG0004558	NP_649079.2	XP_017799425.1
OG0004559	NP_649911.1	XP_017793292.1
OG0004560	NP_650253.1	XP_017794035.1
OG0004561	NP_609299.1	XP_017792818.1
OG0004563	NP_732527.1	XP_017789456.1
OG0004564	NP_001262636.1	XP_017794006.1
OG0004565	NP_001260630.1	XP_017787880.1
OG0004566	NP_608995.2	XP_017792896.1
OG0004567	NP_609446.1	XP_017799251.1
OG0004568	NP_001286611.1	XP_017794357.1
OG0004569	NP_723811.1	XP_017789875.1
OG0004570	NP_477431.1, NP_001285857.1	XP_017792585.1
OG0004571	NP_001263057.1	XP_017790223.1
OG0004572	NP_001260556.1	XP_017788689.1, XP_017788690.1
OG0004573	NP_523947.2	XP_017798842.1
OG0004574	NP_649784.1	XP_017789169.1
OG0004575	NP_476656.1	XP_017788934.1
OG0004576	NP_572694.1	XP_017791602.1
OG0004577	NP_001286657.1	XP_017791394.1
OG0004578	NP_001036641.1	XP_017788673.1
OG0004579	NP_572353.1	XP_017798463.1
OG0004580	NP_650835.1	XP_017793313.1
OG0004581	NP_001260163.1	XP_017795244.1
OG0004582	NP_650152.1, NP_727091.1	XP_017791333.1
OG0004583	NP_524429.1	XP_017796659.1
OG0004584	NP_001262802.1	XP_017791841.1
OG0004585	NP_573352.2, NP_001261744.1	XP_017787808.1
OG0004586	NP_477329.1	XP_017791601.1
OG0004587	NP_001260046.1	XP_017789628.1, XP_017789630.1
OG0004588	NP_477395.1	XP_017794452.1
OG0004589	NP_524308.2	XP_017790782.1
OG0004590	NP_476927.1	XP_017796473.1
OG0004591	NP_572160.1	XP_017795353.1
OG0004592	NP_524331.2	XP_017799405.1
OG0004593	NP_729802.1	XP_017792337.1
OG0004594	NP_476995.1	XP_017795293.1
