Orthogroup	Drosophila_melanogaster	Nasonia_vitripennis
OG0003314	NP_001097432.1	XP_003426081.1
OG0003315	NP_001286864.1	XP_001605663.3
OG0003318	NP_651363.1	XP_031779959.1
OG0003319	NP_001259991.1	NP_001165797.1
OG0003320	NP_001261719.1	XP_001599074.2
OG0003321	NP_647661.1	XP_008216489.1, XP_003424030.1
OG0003322	NP_001163303.1	XP_001604921.2
OG0003323	NP_649996.1	XP_001604434.2, XP_008211404.1
OG0003324	NP_001163253.1	XP_001599547.1
OG0003325	NP_650947.1, NP_650590.1	XP_032452651.1, XP_003425169.1
OG0003326	NP_001097318.1	XP_032455973.1, NP_001127800.1
OG0003327	NP_001245509.1	XP_001607631.1
OG0003328	NP_001303425.1	XP_001600626.2
OG0003329	NP_649906.1	XP_003428199.1, XP_031786691.1
OG0003330	NP_001262171.2	XP_016845882.1, XP_008203053.1
OG0003331	NP_477153.1	XP_031782365.1, XP_031782347.1
OG0003332	NP_524439.1	XP_001603724.1
OG0003333	NP_001033857.1	XP_008212766.1, XP_008212765.1, XP_016837504.1
OG0003334	NP_001189058.1	XP_008215008.1
OG0003335	NP_610223.1	XP_001607194.2
OG0003336	NP_001259465.1	XP_016843002.1
OG0003337	NP_611611.1, NP_995920.1, NP_652645.1	NP_001166078.1
OG0003339	NP_001284851.1	XP_001606646.2
OG0003340	NP_610249.2	XP_001607630.2
OG0003341	NP_608833.1	XP_031785381.1
OG0003342	NP_001097839.1	XP_001607831.2
OG0003343	NP_001034065.1	XP_001605475.3
OG0003344	NP_001260981.1	NP_001123317.1, XP_032452220.1
OG0003345	NP_608447.1	XP_001608055.1
OG0003346	NP_001303472.1	XP_031784752.1
OG0003349	NP_001285787.1	XP_008211064.3
OG0003350	NP_650064.1	XP_001605023.1
OG0003351	NP_648781.1	XP_008217410.1
OG0003352	NP_729565.2	XP_031782364.1, XP_001604975.1
OG0003353	NP_001138203.1	XP_031783402.1
OG0003355	NP_001260531.1	XP_031786464.1
OG0003356	NP_651883.1	XP_031777254.1
OG0003357	NP_996198.2	XP_016840528.1
OG0003358	NP_524408.1	XP_001604974.2
OG0003360	NP_001246623.1	XP_008213719.1, XP_032453669.1, XP_008213720.1, XP_016839069.1, XP_032453668.1
OG0003361	NP_523460.2	NP_001165865.1, XP_008207920.1
OG0003362	NP_651309.2, NP_476590.1	XP_031787772.1
OG0003363	NP_001260793.1	XP_016844987.1, XP_016844988.1
OG0003364	NP_727320.1	XP_001604620.1
OG0003365	NP_001162923.1	XP_008212795.1, XP_001607615.2
OG0003366	NP_001284772.1	XP_008208142.1
OG0003367	NP_524610.1	XP_016841681.1
OG0003368	NP_728961.2	XP_001608198.2
OG0003371	NP_725412.2	NP_001153446.1, NP_001153445.1, XP_008216731.1
OG0003372	NP_609404.2	XP_031780932.1
OG0003373	NP_733060.1	XP_031786772.1
OG0003374	NP_733206.3	XP_032455255.1
OG0003376	NP_611176.1	XP_001605382.1
OG0003377	NP_649759.1	XP_031780716.1
OG0003378	NP_477131.1	XP_032458173.1, XP_031785909.1
OG0003379	NP_001246213.1	XP_031786925.1
OG0003380	NP_001260886.1	XP_031781487.1
OG0003381	NP_610355.1	XP_001605201.1, XP_008203868.1
OG0003382	NP_733151.2, NP_788744.1, NP_524674.1, NP_524848.1	XP_016841191.1
OG0003383	NP_524192.2	XP_001600399.1
OG0003385	NP_001284784.1	XP_032454531.1, XP_001605068.2
OG0003387	NP_001162894.1	XP_001599757.1, XP_032458190.1, XP_003424837.1
OG0003388	NP_001097271.1	XP_003426564.1
OG0003389	NP_001286225.1, NP_650641.2	XP_008213769.1
OG0003390	NP_608885.1	XP_003426918.1
OG0003391	NP_477494.2, NP_649430.1, NP_001245959.1	XP_008202154.1, XP_008202153.1
OG0003392	NP_001262566.1	XP_016845870.1
OG0003393	NP_477441.1	XP_001605405.1
OG0003394	NP_001262459.1	XP_001606771.1, XP_031778844.1
OG0003395	NP_001262351.1	XP_001604101.2
OG0003396	NP_651892.1	XP_001607425.1
OG0003399	NP_001260176.1	XP_001601933.1
OG0003400	NP_001356976.1	XP_003424747.1, XP_032456842.1
OG0003401	NP_524784.1	XP_001606651.2, XP_016845402.1
OG0003402	NP_001286639.1	XP_001599713.1
OG0003403	NP_001262770.1	XP_001600431.1
OG0003404	NP_722615.1	XP_031779080.1
OG0003405	NP_523776.1	XP_008204009.1, XP_008204002.1
OG0003406	NP_001247280.1	XP_031786071.1, XP_031786069.1
OG0003407	NP_650488.1	XP_003425749.1
OG0003408	NP_727408.2, NP_733331.1	XP_003424314.1, XP_003424316.1
OG0003409	NP_001285650.1	XP_016838223.1, XP_031778820.1
OG0003410	NP_001259845.1	XP_031778589.1
OG0003411	NP_001286978.1	XP_031780505.1
OG0003412	NP_649538.1	XP_001604278.2
OG0003413	NP_572216.1	XP_001602662.1
OG0003414	NP_511051.1, NP_651620.1	XP_031781506.1
OG0003416	NP_477246.2	XP_001601753.2
OG0003417	NP_573081.1	XP_016839394.1, XP_016839393.2
OG0003418	NP_608528.1	XP_016842407.1
OG0003419	NP_001097860.1, NP_524750.2	XP_008208739.1
OG0003420	NP_648841.1	XP_001606185.1
OG0003421	NP_610477.2	XP_031783183.1, XP_032453897.1, XP_001604630.2, XP_031783184.1
OG0003424	NP_610179.2	XP_001603235.1
OG0003425	NP_647780.1	XP_016840848.1, XP_031784522.1, XP_031784523.1
OG0003426	NP_001259879.1	XP_008214857.1
OG0003427	NP_524319.2	XP_008211497.1, XP_008210070.1, XP_016843858.1, XP_016843857.1
OG0003428	NP_001262182.1	XP_032453976.1
OG0003429	NP_001260935.1	XP_016843938.1
OG0003430	NP_001188988.1	XP_032454860.1
OG0003431	NP_511098.1	XP_016837400.1, XP_031780764.1
OG0003432	NP_524087.3	XP_003425676.1
OG0003433	NP_001262205.1	XP_003428173.1, XP_031786429.1, XP_031786428.1
OG0003435	NP_001286451.1	XP_001603997.1
OG0003436	NP_001096984.1	XP_008217342.2
OG0003437	NP_730525.2	XP_032456914.1, XP_031787382.1
OG0003438	NP_001262354.2	XP_003426457.1
OG0003439	NP_001284867.1	XP_008215167.1
OG0003441	NP_001286822.1	XP_031783384.1, XP_031783382.1, XP_031783385.1
OG0003442	NP_652016.1	XP_031786717.1, XP_008210116.1
OG0003444	NP_611495.1	XP_031778018.1
OG0003445	NP_001368979.1	XP_001603193.2, XP_031783259.1, XP_031783260.1, XP_032453916.1
OG0003446	NP_476803.1, NP_476694.1	XP_016837091.1
OG0003447	NP_524380.1	XP_003424583.1
OG0003448	NP_524858.1	XP_008210748.1
OG0003449	NP_610548.2	XP_031776669.1, XP_008216799.1
OG0003450	NP_611341.1, NP_523784.2	XP_001600227.1
OG0003451	NP_728074.1	XP_008210372.1
OG0003452	NP_001245766.1	XP_001604611.1
OG0003453	NP_650076.1	XP_001600949.1
OG0003454	NP_523805.1	NP_001153317.1
OG0003455	NP_524075.2	XP_001603352.1
OG0003456	NP_609365.3	XP_001599918.1
OG0003457	NP_001246926.1	XP_031783417.1
OG0003458	NP_649782.1	XP_001605099.3, XP_016843767.1
OG0003459	NP_001285450.1, NP_610738.1	XP_001606506.1
OG0003460	NP_523934.1	NP_001177680.1, NP_001177681.1, NP_001177679.1
OG0003461	NP_001259747.1	XP_016841560.1
OG0003462	NP_727769.3	XP_031786713.1, XP_031786712.1
OG0003463	NP_001262379.1	XP_008217787.1
OG0003464	NP_725084.2, NP_650032.1	XP_001599732.2
OG0003465	NP_730815.2	XP_016842301.1, XP_008218131.1
OG0003466	NP_001262696.1	XP_003423892.1
OG0003467	NP_001033895.1	XP_032454489.1, XP_008213509.1, XP_008213508.1
OG0003468	NP_608936.1, NP_001163143.1	XP_003424108.1
OG0003470	NP_001261364.1	XP_031785314.1
OG0003471	NP_609186.1	XP_001606370.1
OG0003472	NP_610891.1	XP_008208020.1
OG0003473	NP_001245516.1	XP_001603735.1, XP_032456774.1
OG0003474	NP_001163313.1	XP_001604289.1
OG0003475	NP_477453.1	XP_016836743.1
OG0003476	NP_611547.2	XP_031787014.1
OG0003477	NP_523419.1	XP_001606644.2
OG0003478	NP_001262821.1	NP_001161245.1
OG0003479	NP_476701.1, NP_524411.1	XP_016838281.1, XP_001608074.2
OG0003480	NP_001260252.1	XP_008213190.1
OG0003481	NP_001036603.1	XP_001602033.3
OG0003482	NP_611955.2	XP_008206391.1
OG0003483	NP_732610.1	XP_001607208.1
OG0003484	NP_729420.1, NP_001259705.1	XP_031781718.1
OG0003485	NP_572915.1	XP_001606752.1
OG0003486	NP_001260713.1	XP_031785060.1, XP_001601526.1
OG0003487	NP_001285522.1	XP_001601422.2, XP_008216833.1
OG0003488	NP_001286851.1	XP_032455534.1, XP_031785678.1
OG0003489	NP_001260143.1	XP_008207605.3
OG0003491	NP_001163420.1	XP_016845917.1
OG0003493	NP_995847.1	XP_008205208.1, XP_001602461.2
OG0003494	NP_001097740.1	XP_016845528.1
OG0003495	NP_651224.1	XP_008206040.1
OG0003497	NP_001262426.1	XP_016839365.1, XP_016839364.1
OG0003498	NP_725517.2	XP_031784333.1, XP_032455716.1, XP_001601196.1
OG0003499	NP_001262755.1	XP_008207430.1
OG0003500	NP_610612.1	XP_016845591.1
OG0003501	NP_648929.1	XP_001601626.1
OG0003502	NP_001259726.1	XP_031782821.1
OG0003503	NP_648536.1	XP_031778425.1
OG0003504	NP_476768.1	XP_016840248.1
OG0003506	NP_001261171.1	XP_008203801.2
OG0003507	NP_523670.2	NP_001128395.1
OG0003508	NP_650404.1, NP_572929.1	XP_001607183.1
OG0003510	NP_001097013.2	XP_003423865.1
OG0003511	NP_610452.2	NP_001153421.1, XP_031787438.1
OG0003512	NP_001285437.1	XP_001604407.2
OG0003513	NP_001246578.1	XP_031788089.1, XP_031788057.1
OG0003514	NP_001262535.1	XP_016845576.1
OG0003515	NP_001286894.1	XP_031784403.1, XP_031784402.1
OG0003516	NP_001015402.3, NP_652484.1	XP_001606215.1
OG0003517	NP_572927.1	XP_031783413.1
OG0003518	NP_001014592.1	XP_031787356.1
OG0003519	NP_523834.1	XP_031783548.1
OG0003520	NP_001284712.1	XP_016843257.1
OG0003521	NP_651327.1	XP_008201792.1
OG0003522	NP_650487.1	XP_001603530.1
OG0003523	NP_572207.1, NP_649390.1	XP_008216446.1, XP_008216445.1, XP_032453319.1
OG0003524	NP_610295.1, NP_609667.2, NP_001097332.1	XP_031784246.1
OG0003525	NP_001246660.1	XP_031778520.1
OG0003526	NP_001285323.1	XP_008202585.1
OG0003527	NP_524617.3	XP_031783323.1
OG0003528	NP_001162835.1	XP_001604169.2
OG0003529	NP_609803.1	XP_001606994.1
OG0003530	NP_001189224.1	XP_016840860.1, XP_032454871.1
OG0003531	NP_001246496.1	NP_001161182.1
OG0003532	NP_524775.1	XP_008208296.1
OG0003533	NP_572804.1	XP_008206432.1
OG0003534	NP_726773.2	XP_032456323.1
OG0003535	NP_648818.3	XP_001599298.1
OG0003536	NP_001334682.1	XP_032455043.1, XP_032455042.1, XP_031785690.1, XP_031785689.1
OG0003537	NP_725599.2	XP_031780057.1
OG0003538	NP_001286840.1	XP_031784692.1, XP_008205604.1, XP_008205602.1, XP_001603565.1
OG0003539	NP_001259679.1	XP_032456302.1, XP_008201811.1, XP_008201810.1
OG0003540	NP_001262668.1	XP_031785670.1, XP_016840768.1
OG0003541	NP_001285144.1, NP_001262829.1	XP_001605928.2
OG0003542	NP_608745.1	XP_001604514.1
OG0003543	NP_572639.2	XP_001606527.1
OG0003544	NP_001260220.1	XP_001601780.1, XP_003425099.1
OG0003545	NP_611861.1, NP_511100.1	XP_016839924.1
OG0003546	NP_652335.1	XP_016839621.2
OG0003547	NP_788434.1	XP_016845143.1
OG0003548	NP_001285168.1	XP_016843603.1
OG0003549	NP_610842.1	XP_032455347.1, XP_032455348.1, XP_001605383.2
OG0003550	NP_608792.1	XP_008217705.1
OG0003551	NP_001287595.1	XP_008216441.1, XP_032453324.1, XP_032453323.1, XP_001603466.2
OG0003552	NP_001245771.1	XP_008213958.1
OG0003553	NP_001286937.1	XP_031788513.1
OG0003554	NP_610421.1	XP_001604509.1
OG0003555	NP_569948.3	XP_031780576.1, XP_031780577.1
OG0003556	NP_572286.1	XP_031789464.1
OG0003557	NP_652054.1	XP_001606774.1
OG0003558	NP_001286837.1	NP_001139382.1
OG0003560	NP_649937.1	XP_031780747.1
OG0003561	NP_648551.3	XP_001608240.1
OG0003562	NP_726776.1	XP_032457342.1, XP_031778246.1, XP_008210242.1, XP_008210240.1, XP_008210241.1, XP_032457343.1, XP_016843969.1
OG0003563	NP_524340.2	XP_001601655.2, XP_016840163.2
OG0003564	NP_001260401.1, NP_609533.1	XP_008217835.1, XP_031780762.1, XP_032452760.1, XP_032452759.1, XP_032452761.1
OG0003565	NP_611962.2	XP_016837936.1
OG0003566	NP_610798.1	XP_003425578.1
OG0003567	NP_524351.1	XP_016841642.1
OG0003568	NP_001036444.1	XP_032456719.1
OG0003569	NP_001259065.1	XP_031786908.1, XP_031786914.1
OG0003570	NP_650256.2	XP_016842394.1
OG0003571	NP_609641.1	XP_001606689.1
OG0003572	NP_725534.1	XP_008209070.1, XP_008209071.1
OG0003573	NP_001163746.1	XP_016840689.1, XP_032455636.1
OG0003574	NP_649699.1	XP_031779724.1
OG0003575	NP_001261871.1	XP_031778981.1, XP_003424038.1
OG0003576	NP_001162879.1	XP_001603566.1
OG0003577	NP_001245936.1	XP_008209435.1
OG0003578	NP_650054.2	XP_001600721.1
OG0003579	NP_733115.1, NP_001285192.1	XP_032457733.1, XP_031782634.1
OG0003580	NP_511143.2	XP_001601313.1
OG0003581	NP_001286265.1	XP_031783353.1
OG0003582	NP_569947.2	XP_008204887.1
OG0003583	NP_652189.1	XP_001607092.1
OG0003584	NP_001246145.1	XP_032453115.1
OG0003585	NP_733027.2	XP_001605871.2
OG0003587	NP_724916.1	XP_008206062.1
OG0003588	NP_001014614.1	XP_031785536.1
OG0003589	NP_996132.1	XP_016845558.1
OG0003591	NP_524597.1	XP_001603446.1
OG0003592	NP_524652.1	XP_016843466.1, XP_016843464.1
OG0003593	NP_001286401.1	XP_031786731.1
OG0003596	NP_648348.1	XP_001601721.1, XP_032453867.1, XP_032453863.1
OG0003597	NP_001261943.1	XP_031781204.1, XP_031781209.1
OG0003598	NP_001247400.1	XP_031787334.1
OG0003599	NP_610813.3	XP_031786415.1
OG0003600	NP_652069.2	XP_008213320.2
OG0003601	NP_001247153.1	XP_001599843.1
OG0003602	NP_996141.2	XP_001604641.1, XP_008211414.1
OG0003603	NP_524366.1	XP_001604062.2
OG0003604	NP_647677.2	XP_016842123.1
OG0003605	NP_612073.2	XP_016841953.1
OG0003606	NP_524810.2	XP_001601675.1
OG0003607	NP_649008.2	XP_008210721.1
OG0003608	NP_609634.1	XP_016838050.1, XP_008204324.1
OG0003609	NP_608886.1	XP_032456540.1
OG0003610	NP_651726.1	XP_032454947.1, XP_003424119.1
OG0003611	NP_523583.2	XP_031783754.1
OG0003612	NP_477303.1	XP_016845369.1
OG0003613	NP_570069.1	XP_031778710.1
OG0003614	NP_523541.2	NP_001161704.1, XP_032457098.1
OG0003615	NP_611687.1	XP_016840844.1, XP_031785639.1
OG0003617	NP_001260440.1	XP_031783760.1
OG0003618	NP_511065.1	XP_003425529.1
OG0003619	NP_523898.1	XP_008214801.1, XP_032455207.1
OG0003620	NP_611053.1	XP_008203192.1
OG0003623	NP_001261078.1	XP_008213341.1
OG0003624	NP_001260192.1	XP_001602789.1
OG0003625	NP_732109.2	XP_008210437.1
OG0003626	NP_476722.1	XP_031787526.1
OG0003627	NP_725451.1	XP_008211772.1
OG0003628	NP_001247372.1	XP_031777623.1
OG0003629	NP_649520.1	XP_031788231.1
OG0003630	NP_001259267.1	XP_031788005.1, XP_031788013.1
OG0003631	NP_611946.2	XP_003426793.1, XP_001602782.2
OG0003632	NP_001014758.2	XP_016842903.1
OG0003633	NP_648604.2	XP_008204988.2
OG0003634	NP_608349.1	XP_031788053.1
OG0003635	NP_608498.3	XP_008204408.2
OG0003637	NP_477440.1	XP_031782351.1, XP_016838743.1
OG0003638	NP_649194.1	XP_016842838.1
OG0003639	NP_001262035.1	XP_016843917.1
OG0003640	NP_001097136.2	XP_031787767.1
OG0003641	NP_001247023.2	XP_016841041.1
OG0003642	NP_001247399.1	XP_008212870.1
OG0003643	NP_611345.1	XP_016840304.1, NP_001135424.1
OG0003644	NP_610446.1, NP_610447.2	XP_001601110.2, XP_031786979.1
OG0003645	NP_001014722.1	XP_031777257.1
OG0003646	NP_001285636.1	XP_016836730.1, XP_016836726.1, XP_032452107.1
OG0003647	NP_572814.1, NP_722953.1	XP_008209641.3
OG0003648	NP_649176.1	XP_008203431.1
OG0003649	NP_001096981.2	XP_031783195.1, XP_001604943.1
OG0003650	NP_001260032.1	XP_032453400.1
OG0003653	NP_572704.1	XP_001605902.2
OG0003654	NP_001096928.1	XP_016840172.2
OG0003655	NP_001162707.1, NP_573297.1, NP_001097020.1	XP_001599554.4
OG0003656	NP_609092.1	XP_001602711.2, XP_008216883.1, XP_032456016.1
OG0003657	NP_724708.1	XP_008205248.1
OG0003658	NP_001262034.1	XP_001600147.1
OG0003661	NP_001285240.1	XP_001604239.2
OG0003663	NP_001261019.1	XP_031789477.1
OG0003665	NP_001261794.1	XP_008203602.2
OG0003666	NP_611750.1	XP_008205795.1
OG0003667	NP_001285128.1	XP_031778837.1
OG0003669	NP_569851.2	XP_032457043.1, XP_031788778.1, XP_031788779.1, XP_032457044.1, XP_032457042.1
OG0003670	NP_608859.1	XP_001606597.1
OG0003671	NP_610592.1	XP_031778505.1, XP_032452920.1, XP_031778506.1
OG0003672	NP_001287600.1, NP_001287601.1	XP_032455606.1
OG0003673	NP_608377.1	XP_001601371.1, XP_008203420.1
OG0003674	NP_611267.1	XP_031784852.1
OG0003675	NP_001284923.1	XP_001604405.1
OG0003676	NP_651213.1	XP_001603136.1, XP_008208967.1
OG0003677	NP_001262249.1	XP_008211629.1, XP_031784461.1
OG0003678	NP_651899.2	XP_031786381.1, XP_031783458.1
OG0003680	NP_001014504.1	XP_016837989.1
OG0003681	NP_001261697.1	XP_016839265.1, XP_016839264.1
OG0003682	NP_001137924.1	XP_008208529.1, XP_031786616.1, XP_008208528.1, XP_001602138.1
OG0003683	NP_649055.1, NP_572970.1, NP_572969.1, NP_001246867.1	XP_001606052.2
OG0003684	NP_001260326.1	XP_003425585.1
OG0003686	NP_572247.2	XP_008204829.1
OG0003687	NP_001286701.1	XP_016839408.1, XP_016839409.1
OG0003689	NP_001285690.1	XP_008213355.1
OG0003690	NP_650943.1	XP_003428224.1
OG0003691	NP_647620.1	XP_031781795.1, XP_031781797.1
OG0003692	NP_001097079.1	XP_001602329.2
OG0003703	NP_001263091.1	XP_016845443.1, XP_032455191.1, XP_032455192.1
OG0003709	NP_001287407.1	XP_008215767.1
OG0003710	NP_476636.1	XP_008212787.1, XP_001608006.1
OG0003711	NP_001260887.1	NP_001177967.1, XP_031783900.1
OG0003712	NP_001262202.1	XP_032455349.1, XP_001607606.1
OG0003713	NP_477407.1, NP_996415.1	XP_032453328.1
OG0003714	NP_476797.1	XP_008213292.1, NP_001154933.1
OG0003715	NP_001261198.1, NP_001261197.1	XP_008210922.1
OG0003716	NP_001262080.1	XP_031787570.1, XP_031787573.1
OG0003717	NP_001247301.1	XP_016839650.1
OG0003719	NP_647949.1	XP_001606749.1
OG0003720	NP_572259.1, NP_572260.2, NP_572262.1	XP_016841764.1, XP_008202288.1
OG0003721	NP_001334713.1, NP_610961.1	XP_001600543.1
OG0003722	NP_649059.1	XP_032453526.1, XP_001601099.1
OG0003723	NP_648783.4	XP_008212951.1
OG0003724	NP_001033967.1	XP_001605817.1
OG0003726	NP_001287108.1	XP_001607950.1
OG0003727	NP_611407.1	XP_001604648.1
OG0003728	NP_001097742.1	XP_032455840.1, XP_032455839.1, XP_016843542.1, XP_032455841.1
OG0003729	NP_001247264.1, NP_647942.1	NP_001165817.1
OG0003730	NP_001189310.1	XP_031779611.1
OG0003731	NP_001259630.1	NP_001136338.1, XP_032452207.1
OG0003732	NP_001188553.1, NP_001262481.1	XP_001605620.1
OG0003734	NP_001303480.1, NP_727447.1	XP_003426810.1
OG0003735	NP_651684.1	XP_001603196.1
OG0003736	NP_649702.2	XP_016837945.1, XP_008207768.1
OG0003737	NP_001261952.1	XP_001605527.1
OG0003738	NP_610343.1	XP_031785779.1
OG0003739	NP_001247139.1	XP_001605411.1
OG0003740	NP_609492.1	XP_001605472.1
OG0003741	NP_647961.1	XP_001599576.1, XP_032455086.1, XP_032455087.1, XP_032455085.1
OG0003742	NP_610417.1	XP_016840917.1
OG0003743	NP_001188928.1, NP_001287533.1	XP_001606968.1
OG0003744	NP_524719.1	XP_032455966.1, NP_001165784.1
OG0003745	NP_001259103.1	NP_001153403.1
OG0003746	NP_649352.1	XP_001599582.1
OG0003747	NP_001260028.1	XP_032455406.1, XP_001606518.1, XP_032455407.1
OG0003748	NP_611632.3	XP_003425664.1
OG0003749	NP_732419.1, NP_609366.2	XP_003425452.1
OG0003750	NP_726111.1	XP_031785797.1
OG0003751	NP_731267.1	NP_001128392.1
OG0003752	NP_610168.1, NP_001260612.1	NP_001165811.1
OG0003754	NP_001285266.1, NP_649161.1	XP_031779547.1
OG0003755	NP_001137699.1	XP_001605487.1
OG0003756	NP_650331.1	XP_001601418.1
OG0003757	NP_511045.1	XP_032456308.1
OG0003758	NP_650784.3	XP_031783741.1
OG0003759	NP_001246908.1	XP_001600819.1
OG0003760	NP_609878.1, NP_001259750.1	XP_001601236.1
OG0003761	NP_001188681.1	XP_001601009.1, XP_003427438.1, XP_032456977.1
OG0003762	NP_650214.1	XP_031788281.1
OG0003763	NP_001287349.1	XP_003426274.1, XP_001602965.1, XP_008206041.1
OG0003764	NP_649241.1	XP_016837609.1, XP_001604540.1
OG0003765	NP_001284709.1	XP_001604071.1
OG0003766	NP_523407.1	XP_016839508.1, XP_032454577.1
OG0003767	NP_001033885.1	XP_031778143.1
OG0003768	NP_608575.1	XP_001604061.2
OG0003769	NP_608619.1	XP_001607961.1
OG0003770	NP_001285352.1	XP_031783415.1
OG0003771	NP_651296.1	XP_031780016.1, XP_008209166.1
OG0003772	NP_609822.1, NP_650473.1	XP_031780634.1
OG0003773	NP_001259808.1	NP_001123227.2, XP_032452231.1
OG0003774	NP_569980.1	XP_008206451.1
OG0003775	NP_648527.1	NP_001165855.1
OG0003776	NP_649048.1	XP_016842149.1, NP_001122572.1
OG0003777	NP_001260520.2	XP_001604266.2
OG0003778	NP_788548.1	XP_008213457.1
OG0003779	NP_609918.1	NP_001193394.1
OG0003780	NP_611446.3, NP_647716.1	XP_001601189.1
OG0003781	NP_001261879.1	XP_031777711.1
OG0003782	NP_649399.1, NP_001284805.1	NP_001165798.1, XP_031776863.1
OG0003783	NP_001262846.1	XP_003424590.1
OG0003784	NP_733061.1	XP_031784916.1, XP_031784915.1
OG0003785	NP_610974.1, NP_001285320.1	XP_001601340.1
OG0003786	NP_001097074.1	XP_016840948.1
OG0003787	NP_648037.1	XP_031787275.1, XP_031787276.1, XP_001600639.1
OG0003788	NP_511106.1	XP_001607821.1
OG0003789	NP_732338.1	XP_001601517.1
OG0003790	NP_001262023.1	XP_001603914.1
OG0003791	NP_001246448.1	XP_008213933.1
OG0003792	NP_001188815.1	XP_001605413.2
OG0003793	NP_650317.3	XP_001602925.1
OG0003794	NP_001285058.1	NP_001153353.1
OG0003795	NP_524134.1	XP_032456539.1
OG0003796	NP_001285371.1	XP_031783809.1
OG0003797	NP_651340.1	XP_001602197.2
OG0003798	NP_001188780.1	XP_031783017.1
OG0003799	NP_610451.1	XP_032457711.1, XP_003424698.1
OG0003800	NP_651825.4, NP_610916.1	XP_032452282.1, XP_032452283.1
OG0003801	NP_572526.1	XP_001599319.1
OG0003802	NP_001262901.1, NP_611191.1	XP_001604230.2
OG0003803	NP_648168.1	XP_031788140.1
OG0003804	NP_648144.3	XP_003426743.1
OG0003805	NP_649541.1	XP_001607288.1
OG0003806	NP_524537.1	XP_032456718.1, XP_032456720.1
OG0003807	NP_001286908.1	XP_031778623.1, XP_008216419.1
OG0003808	NP_001259814.1	XP_001606160.1
OG0003809	NP_001286673.1	XP_001607792.1, XP_001606291.2
OG0003810	NP_001260063.1	XP_001604861.1
OG0003811	NP_649212.2	XP_008207078.1
OG0003812	NP_001162723.1	XP_031783154.1
OG0003813	NP_525073.1	XP_001606928.1
OG0003814	NP_001261853.1	XP_016841804.1
OG0003815	NP_649455.1	XP_001602322.2
OG0003817	NP_001350858.1	XP_008214103.1, XP_008214102.1, XP_008214101.1
OG0003818	NP_650328.1	XP_008206442.3
OG0003818	NP_001260752.1	XP_001607383.2
OG0003819	NP_001263095.1	XP_032454738.1, XP_032454739.1, XP_031786274.1, XP_031786275.1
OG0003820	NP_001036422.1	XP_031787655.1
OG0003821	NP_609946.1	XP_001601553.2
OG0003824	NP_652145.1	NP_001153434.1
OG0003825	NP_001262701.1	XP_003424194.1
OG0003826	NP_001247206.1	XP_032451675.1
OG0003827	NP_611986.2	XP_016841753.1
OG0003828	NP_001261195.1	NP_001153329.1, XP_008211060.1
OG0003829	NP_001245409.1	XP_032456794.1, XP_032456795.1, XP_032456793.1
OG0003830	NP_001245983.1, NP_723670.2	XP_016837820.1
OG0003831	NP_001260897.1	XP_031779324.1
OG0003832	NP_001137905.1, NP_001261534.1	XP_031778420.1
OG0003833	NP_511048.2	XP_001600494.1
OG0003834	NP_001260368.1	XP_008212721.1
OG0003835	NP_001262920.1	XP_001599351.1, XP_032454859.1
OG0003836	NP_001260135.1	XP_032456101.1
OG0003837	NP_610913.1	XP_008214220.1
OG0003838	NP_610522.1	XP_001606444.1
OG0003839	NP_001262031.1	XP_003423935.1
OG0003840	NP_650660.2	XP_003427139.1
OG0003841	NP_570012.1	XP_003425269.1
OG0003842	NP_573371.1	XP_016844354.1
OG0003843	NP_001261596.1	XP_031787780.1, XP_032456469.1
OG0003844	NP_476904.1	XP_008202890.1
OG0003845	NP_610201.1	XP_001601725.1
OG0003846	NP_001163433.1	XP_001607390.1, XP_003424105.1
OG0003847	NP_732393.1	XP_008212895.1
OG0003848	NP_001247237.1	XP_001604309.1
OG0003849	NP_610044.2	XP_008207753.1, XP_016839440.1
OG0003850	NP_609358.1	XP_031777197.1
OG0003851	NP_001259490.1	XP_001599033.2
OG0003852	NP_001259707.1	XP_031781569.1
OG0003853	NP_609495.1	XP_016845278.2
OG0003854	NP_608657.1	XP_031778526.1
OG0003855	NP_001260765.1	NP_001177677.1, XP_016836656.1
OG0003856	NP_647660.1	XP_001604291.1
OG0003857	NP_788641.1	XP_032457012.1, XP_016845745.1
OG0003859	NP_611549.2	XP_008206455.1, XP_031783403.1
OG0003860	NP_612094.2	XP_001607032.1
OG0003861	NP_001259663.1	XP_031785665.1, XP_016840333.2
OG0003862	NP_001286393.1	XP_031783263.1
OG0003863	NP_569972.1	XP_008207066.1
OG0003864	NP_650951.1, NP_650952.2, NP_001260990.1	XP_001605947.2
OG0003866	NP_001261542.1	XP_001600555.1
OG0003867	NP_609864.1, NP_573096.1	XP_001605238.1
OG0003868	NP_610357.1	XP_003425216.1, XP_003425540.1
OG0003869	NP_788357.1	XP_031781068.1
OG0003870	NP_001368936.1	NP_001153419.1
OG0003871	NP_611535.1	NP_001153375.1, XP_031784172.1
OG0003872	NP_610876.1	XP_016837907.1
OG0003873	NP_001334735.1	XP_016841745.1
OG0003874	NP_001163577.1	XP_016840546.1
OG0003875	NP_572532.1	XP_008211218.1
OG0003876	NP_001259823.1	XP_001604896.4
OG0003877	NP_001285642.1	XP_001601710.2
OG0003878	NP_001097890.1	XP_008208477.1
