Orthogroup	Drosophila_melanogaster	Tribolium_castaneum
OG0003180	NP_608470.1	XP_971969.2
OG0003181	NP_649789.1	XP_008195655.1
OG0003182	NP_001261125.2	XP_015833524.1
OG0003183	NP_001262663.1	XP_008195336.1
OG0003184	NP_001262343.1	XP_015840386.1
OG0003185	NP_651854.2, NP_651855.1	XP_015840845.1
OG0003186	NP_524541.3	XP_015836813.1
OG0003187	NP_001285957.1	XP_974457.2
OG0003188	NP_001189143.1	XP_008200077.1
OG0003189	NP_001262113.1	XP_015835756.1, XP_015835757.1, XP_008193949.1
OG0003190	NP_729905.2	XP_015839153.1
OG0003191	NP_729954.2	XP_015839270.1
OG0003192	NP_523728.1	XP_008196202.1
OG0003193	NP_001189037.1	XP_015837056.1
OG0003194	NP_572176.2	XP_015834747.1
OG0003195	NP_610423.3, NP_001303490.1	XP_008194574.1
OG0003196	NP_001286645.1	XP_015837650.1
OG0003197	NP_001261066.1	XP_008199987.1, XP_008199986.1
OG0003198	NP_611071.1	XP_974582.1
OG0003199	NP_001033991.1, NP_729124.1, NP_001261458.1	XP_015840449.1
OG0003200	NP_611720.3, NP_726252.1	XP_015838961.1
OG0003201	NP_610097.2	XP_008200292.1
OG0003202	NP_001259230.1	XP_015838571.1, XP_015838562.1, XP_015838568.1
OG0003203	NP_610599.3	XP_967293.1
OG0003206	NP_001262774.1	XP_008198470.1, NP_001280520.1
OG0003207	NP_001262924.1	XP_015839421.1
OG0003209	NP_001286264.1, NP_611197.1	XP_015839890.1
OG0003210	NP_652462.3	XP_015837008.1, XP_015837009.1, XP_015837010.1, XP_015837011.1
OG0003211	NP_001036685.2	XP_001810887.1, XP_015835565.1
OG0003212	NP_001245505.1, NP_001284835.1	XP_008191000.1
OG0003213	NP_612000.3, NP_001097472.3	XP_015837493.1
OG0003214	NP_001036318.2, NP_001036316.1	XP_968279.3
OG0003215	NP_477336.1	XP_008199287.1
OG0003218	NP_524111.3	XP_008192192.1, XP_015834693.1
OG0003220	NP_001189021.1	XP_008199225.1
OG0003221	NP_001027416.2	XP_972306.2
OG0003222	NP_001137809.1	XP_969428.1
OG0003225	NP_610305.1	XP_976228.2
OG0003226	NP_650499.1	XP_008201510.1
OG0003227	NP_001189121.1	XP_008191710.1
OG0003228	NP_001287267.1	XP_008201374.1, XP_971186.1, XP_015837578.1, XP_015840779.1
OG0003229	NP_001260538.1	XP_976341.1
OG0003230	NP_001027087.1	XP_015834670.1, XP_968051.2
OG0003231	NP_001027082.1	XP_015837752.1
OG0003232	NP_609806.1	NP_001104011.1
OG0003233	NP_523543.3, NP_524027.2, NP_724330.1	XP_015834650.1, XP_015840060.1, XP_015840061.1, XP_015832946.1, XP_015833608.1, XP_015837601.1
OG0003234	NP_001247011.1	XP_015836118.1
OG0003235	NP_001259996.1	XP_969309.1
OG0003237	NP_001368945.1	XP_008201440.1
OG0003238	NP_610049.1	XP_969297.1
OG0003239	NP_729143.2	XP_970663.1, XP_008193938.1
OG0003240	NP_523985.1	XP_008198889.1
OG0003241	NP_001245436.1	XP_975837.2, XP_015833070.1
OG0003242	NP_001246866.1	XP_008199325.1, XP_970274.2, XP_008199324.1
OG0003243	NP_723827.1	XP_008200437.1
OG0003246	NP_608901.1, NP_001033874.2	XP_015835535.1
OG0003247	NP_609813.1	XP_975142.1
OG0003248	NP_001369039.1	XP_015835083.1, XP_015835086.1
OG0003250	NP_001247041.1	XP_008197205.1
OG0003250	NP_001259169.1	XP_008201356.1
OG0003252	NP_001259076.1	XP_008200606.1
OG0003257	NP_651928.1	XP_008195048.1
OG0003259	NP_608581.2	XP_008191018.2, XP_966599.2
OG0003262	NP_001303312.1	XP_970781.1
OG0003263	NP_001285724.1	XP_973546.1
OG0003264	NP_001259081.1	NP_001164361.1
OG0003265	NP_001259363.1	XP_008201651.1
OG0003266	NP_523794.1	XP_015837390.1
OG0003267	NP_001027396.1	NP_001128195.1, XP_008195704.1
OG0003268	NP_001097664.2	XP_974659.1
OG0003269	NP_477501.1	XP_969612.1
OG0003270	NP_650427.1, NP_524954.2	XP_969846.1, XP_008193934.1
OG0003271	NP_001284779.1	XP_968889.1
OG0003272	NP_610616.1, NP_001162738.1	XP_968917.1
OG0003273	NP_649579.2	XP_973278.2
OG0003274	NP_001189301.1, NP_001303547.1	XP_015836483.1, XP_015834685.1
OG0003275	NP_524396.1	XP_975066.2
OG0003276	NP_727383.1	XP_008192336.1
OG0003277	NP_573209.1	XP_973249.1
OG0003279	NP_001261720.1	XP_971430.1, XP_008199556.1
OG0003280	NP_649768.2	XP_008198200.1
OG0003281	NP_725401.2	XP_974741.2
OG0003282	NP_609040.1	XP_015835098.1, XP_971662.1, XP_015835095.1
OG0003284	NP_001163336.1	XP_008190551.1
OG0003285	NP_001261501.1	XP_968042.1
OG0003286	NP_610805.1	XP_970538.1
OG0003287	NP_609445.1, NP_001261393.1	XP_008192103.1, XP_008192102.1
OG0003288	NP_001097729.1	XP_975411.1
OG0003289	NP_001260199.1	NP_001164139.1, XP_008200420.1
OG0003290	NP_523526.1, NP_001284881.1, NP_001284882.1, NP_648717.1	XP_967987.1
OG0003291	NP_726501.1	XP_008195736.1
OG0003292	NP_523478.1	XP_967415.1
OG0003293	NP_650896.2	XP_008196397.1
OG0003294	NP_649840.1	XP_975631.1
OG0003295	NP_572408.2, NP_001246525.1	XP_967504.2
OG0003296	NP_001285745.1	XP_008197505.1
OG0003297	NP_001137813.1	XP_973895.1
OG0003298	NP_001260279.1	XP_008192926.1
OG0003299	NP_651752.1	XP_971498.1
OG0003300	NP_609178.1	XP_973654.2
OG0003301	NP_609038.1	XP_008192687.1, XP_967031.1
OG0003302	NP_569965.1	XP_968462.1
OG0003303	NP_001259194.1	NP_001106933.1, XP_008194040.1
OG0003304	NP_477204.1	XP_008191927.1, XP_008191926.1
OG0003305	NP_001262820.1	XP_966576.1
OG0003306	NP_649096.1	XP_969661.1
OG0003307	NP_001246770.1	XP_008192922.1
OG0003308	NP_001259857.1	XP_972659.1
OG0003309	NP_609361.1	XP_008199043.1, XP_968923.1
OG0003311	NP_001163707.1	XP_973274.1
OG0003312	NP_723847.1	XP_008197403.1
OG0003313	NP_608890.1	XP_974197.1
OG0003314	NP_001097432.1	XP_008195843.1
OG0003315	NP_001286864.1	XP_970389.1, XP_008195730.1
OG0003318	NP_651363.1	XP_972119.1
OG0003319	NP_001259991.1	XP_970045.1
OG0003320	NP_001261719.1	XP_969230.1
OG0003321	NP_647661.1	XP_972780.1
OG0003322	NP_001163303.1	XP_008199414.1
OG0003323	NP_649996.1	XP_974433.1
OG0003324	NP_001163253.1	XP_015840379.1
OG0003325	NP_650947.1, NP_650590.1	XP_008196032.1
OG0003326	NP_001097318.1	XP_972459.1
OG0003327	NP_001245509.1	NP_001153782.1, XP_968093.1
OG0003328	NP_001303425.1	XP_973113.1
OG0003329	NP_649906.1	XP_968639.1
OG0003330	NP_001262171.2	XP_015837793.1
OG0003331	NP_477153.1	XP_008197836.1
OG0003332	NP_524439.1	XP_967369.1
OG0003333	NP_001033857.1	XP_008191503.1
OG0003334	NP_001189058.1	XP_971340.1
OG0003335	NP_610223.1	XP_008198099.1
OG0003336	NP_001259465.1	XP_969755.2
OG0003337	NP_611611.1, NP_995920.1, NP_652645.1	XP_974141.2
OG0003339	NP_001284851.1	XP_015833860.1
OG0003340	NP_610249.2	XP_015839037.1
OG0003341	NP_608833.1	XP_008199407.1
OG0003342	NP_001097839.1	XP_008196629.1
OG0003343	NP_001034065.1	NP_001107837.1, XP_015832928.1
OG0003344	NP_001260981.1	XP_969878.1
OG0003345	NP_651811.1, NP_608447.1	XP_015839239.1
OG0003346	NP_001303472.1	XP_008201244.1, NP_001034519.1
OG0003347	NP_650199.1, NP_001263016.2	XP_974775.1
OG0003349	NP_001285787.1	XP_015833913.1
OG0003350	NP_650064.1	XP_008192723.1
OG0003351	NP_648781.1	XP_973079.1
OG0003352	NP_729565.2	XP_015833132.1
OG0003353	NP_001138203.1	XP_973934.2
OG0003354	NP_569973.1	XP_969841.1
OG0003355	NP_001260531.1	XP_970925.2
OG0003356	NP_651883.1	XP_008194232.2
OG0003357	NP_996198.2	XP_008195128.1
OG0003358	NP_524408.1	XP_008198689.1
OG0003360	NP_001246623.1	XP_970407.1
OG0003361	NP_523460.2	NP_001139384.1, XP_008192465.1
OG0003362	NP_476590.1	XP_008198521.1
OG0003363	NP_001260793.1	NP_001106938.1
OG0003364	NP_727320.1	XP_008198964.1, XP_015833996.1
OG0003365	NP_001162923.1	XP_970914.1, XP_008194272.1
OG0003366	NP_001284772.1	XP_008199508.1, XP_008199509.1, XP_008192806.1
OG0003367	NP_524610.1	XP_008199394.1
OG0003368	NP_728961.2	XP_008194972.1, NP_001164129.1
OG0003371	NP_725412.2	XP_974687.2
OG0003372	NP_609404.2	XP_969973.1
OG0003373	NP_733060.1	XP_015835659.1
OG0003374	NP_733206.3	XP_001807778.1
OG0003375	NP_001036466.2	XP_008197761.1
OG0003376	NP_611176.1	XP_008192548.1
OG0003377	NP_649759.1	XP_008201154.1
OG0003378	NP_477131.1	XP_008200229.1, XP_008200223.1
OG0003380	NP_001260886.1	XP_974999.1
OG0003381	NP_610355.1	XP_008192168.1
OG0003382	NP_733151.2, NP_788744.1, NP_524674.1, NP_524848.1	XP_008201713.1
OG0003383	NP_524192.2	XP_974028.1
OG0003385	NP_001284784.1	XP_015837239.1
OG0003387	NP_001162894.1	XP_970657.1
OG0003388	NP_001097271.1	XP_008193982.1
OG0003389	NP_650641.2	XP_974088.2, XP_008194193.2
OG0003390	NP_608885.1	XP_008193784.1
OG0003391	NP_477494.2, NP_649430.1, NP_001245959.1	XP_008199553.1, XP_008190888.1
OG0003392	NP_001262566.1	XP_015839127.1
OG0003393	NP_477441.1	XP_968690.1
OG0003395	NP_001262351.1	XP_015833637.1
OG0003396	NP_651892.1	XP_968898.1
OG0003397	NP_477360.2	XP_970604.1
OG0003399	NP_001260176.1	XP_008193699.1
OG0003400	NP_001356976.1	XP_008198207.1
OG0003401	NP_524784.1	XP_974608.1
OG0003402	NP_001286639.1	XP_001807559.1
OG0003403	NP_001262770.1	XP_015839241.1, XP_015839240.1
OG0003404	NP_722615.1	XP_008196762.1
OG0003405	NP_523776.1	XP_008192210.1
OG0003406	NP_001247280.1	XP_015840297.1
OG0003407	NP_650488.1	XP_971021.1
OG0003408	NP_727408.2, NP_733331.1	XP_970226.1, XP_008198773.1
OG0003409	NP_001285650.1	XP_008198454.1
OG0003410	NP_001259845.1	XP_008193017.1
OG0003411	NP_001286978.1	XP_970605.2
OG0003412	NP_649538.1	XP_008200696.2
OG0003413	NP_572216.1	XP_968721.1
OG0003414	NP_511051.1, NP_651620.1	XP_968431.1
OG0003416	NP_477246.2	XP_008192111.1
OG0003417	NP_573081.1	XP_975392.1
OG0003418	NP_608528.1	XP_008193262.1
OG0003419	NP_001097860.1, NP_524750.2	XP_008201106.1
OG0003420	NP_648841.1	XP_975311.2
OG0003421	NP_610477.2	XP_015836663.1, XP_008195097.1
OG0003423	NP_001246150.1	XP_008191170.2
OG0003424	NP_610179.2	XP_008193894.1
OG0003425	NP_647780.1	XP_970165.1
OG0003426	NP_001259879.1	XP_967164.2
OG0003428	NP_001262182.1	XP_969482.1
OG0003429	NP_001260935.1	XP_008194420.1
OG0003430	NP_001188988.1	XP_015838000.1, XP_967233.2
OG0003431	NP_511098.1	XP_973216.2
OG0003432	NP_524087.3	XP_008198745.1
OG0003433	NP_001262205.1	XP_008195123.1
OG0003435	NP_001286451.1	XP_969028.1
OG0003436	NP_001096984.1	XP_015833550.1
OG0003437	NP_730525.2	XP_971616.1
OG0003438	NP_001262354.2	XP_015837111.1
OG0003439	NP_001284867.1	XP_967669.1
OG0003441	NP_001286822.1	XP_008192116.1
OG0003442	NP_652016.1	XP_001813222.2
OG0003443	NP_001247055.1	XP_008194507.1, XP_001810308.1
OG0003444	NP_611495.1	XP_972944.2
OG0003445	NP_001368979.1	XP_008191608.1
OG0003446	NP_476694.1	NP_001034533.1
OG0003447	NP_524380.1	XP_972185.1
OG0003448	NP_524858.1	XP_968783.3
OG0003449	NP_610548.2	XP_008199221.1
OG0003450	NP_611341.1, NP_523784.2	XP_975997.1
OG0003451	NP_728074.1	NP_001164283.1, XP_008198999.1
OG0003452	NP_001245766.1	XP_972065.2
OG0003453	NP_650076.1	XP_966562.1
OG0003454	NP_523805.1	XP_969326.1
OG0003455	NP_524075.2	XP_967436.1
OG0003456	NP_609365.3	XP_967297.1
OG0003457	NP_001246926.1	XP_971915.1
OG0003458	NP_649782.1	XP_967192.2
OG0003459	NP_001285450.1, NP_610738.1	XP_975621.1
OG0003460	NP_523934.1	XP_971025.2
OG0003461	NP_001259747.1	XP_008196927.2
OG0003462	NP_727769.3	XP_008196051.1
OG0003463	NP_001262379.1	NP_001153721.1
OG0003464	NP_725084.2, NP_650032.1	XP_971685.1
OG0003465	NP_730815.2	XP_008197705.1
OG0003466	NP_001262696.1	XP_008198199.1
OG0003467	NP_001033895.1	XP_971784.1
OG0003468	NP_608936.1, NP_001163143.1	XP_974962.1
OG0003470	NP_001261364.1	XP_015834687.1
OG0003471	NP_609186.1	XP_973735.1
OG0003472	NP_610891.1	XP_968085.1
OG0003473	NP_001245516.1	XP_008201210.1
OG0003474	NP_001163313.1	XP_969684.1
OG0003475	NP_477453.1	XP_015839694.1
OG0003476	NP_611547.2	XP_015839296.1, XP_015839299.1, XP_015839297.1
OG0003477	NP_523419.1	XP_015833317.1, XP_975225.1
OG0003478	NP_001262821.1	XP_971851.1
OG0003479	NP_476701.1, NP_524411.1	XP_970344.2
OG0003480	NP_001260252.1	XP_973347.1
OG0003481	NP_001036603.1	XP_015835781.1
OG0003482	NP_611955.2	XP_974350.1
OG0003483	NP_732610.1	XP_975150.1
OG0003484	NP_729420.1, NP_001259705.1	XP_015838763.1
OG0003485	NP_572915.1	XP_008197724.1
OG0003486	NP_001260713.1	XP_974924.1
OG0003487	NP_001285522.1	XP_973866.2
OG0003488	NP_001286851.1	XP_971607.2
OG0003489	NP_001260143.1	XP_969874.1
OG0003491	NP_001163420.1	XP_015839807.1
OG0003493	NP_995847.1	XP_008196190.1
OG0003494	NP_001097740.1	XP_970578.1
OG0003495	NP_651224.1	XP_973445.1
OG0003497	NP_001262426.1	XP_967550.1
OG0003498	NP_725517.2	XP_008191163.1
OG0003499	NP_001262755.1	XP_968497.2
OG0003500	NP_610612.1	XP_008190862.1, XP_968956.1
OG0003501	NP_648929.1	XP_008192902.2
OG0003502	NP_001259726.1	XP_970521.1
OG0003503	NP_648536.1	XP_008191516.2, XP_015840697.1
OG0003504	NP_476768.1	XP_015835000.1
OG0003506	NP_001261171.1	XP_968980.1
OG0003507	NP_523670.2	NP_001034538.1, XP_008195064.1
OG0003508	NP_650404.1, NP_572929.1	XP_972877.1
OG0003509	NP_608811.2	XP_008192430.1
OG0003510	NP_001097013.2	XP_015837770.1
OG0003511	NP_610452.2	XP_008195456.1
OG0003512	NP_001285437.1	XP_973569.2
OG0003513	NP_001246578.1	XP_008191010.1
OG0003514	NP_001262535.1	XP_966918.1
OG0003515	NP_001286894.1	XP_008190306.1
OG0003516	NP_001015402.3, NP_652484.1	XP_001808987.1
OG0003517	NP_572927.1	XP_970071.1
OG0003518	NP_001014592.1	XP_972118.2
OG0003519	NP_523834.1	XP_008192483.1
OG0003520	NP_001284712.1	XP_966993.2
OG0003521	NP_651327.1	XP_973057.1, XP_008201589.1
OG0003522	NP_650487.1	XP_001812550.1
OG0003523	NP_572207.1, NP_649390.1	XP_008195146.1
OG0003524	NP_610295.1, NP_609667.2, NP_001097332.1	XP_008194241.1
OG0003525	NP_001246660.1	XP_008199510.2
OG0003526	NP_001285323.1	XP_008197506.1
OG0003527	NP_524617.3	XP_015833512.1
OG0003528	NP_001162835.1	XP_008200525.1, XP_008200526.1
OG0003529	NP_609803.1	XP_008196635.1
OG0003530	NP_001189224.1	XP_974944.1
OG0003531	NP_001246496.1	XP_001814498.1
OG0003532	NP_524775.1	XP_008197690.1, XP_008197691.1
OG0003533	NP_572804.1	XP_001813387.1
OG0003534	NP_726773.2	XP_015840564.1
OG0003535	NP_648818.3	XP_970554.1
OG0003536	NP_001334682.1	XP_008191826.1
OG0003537	NP_725599.2	XP_008197469.1
OG0003538	NP_001286840.1	XP_971862.1
OG0003539	NP_001259679.1	XP_970892.1
OG0003540	NP_001262668.1	XP_015838085.1, XP_008190384.1
OG0003541	NP_001285144.1, NP_001262829.1	XP_008200928.1
OG0003542	NP_608745.1	XP_968817.1
OG0003543	NP_572639.2	XP_974555.1
OG0003544	NP_001260220.1	XP_975490.1
OG0003545	NP_611861.1	XP_974369.1
OG0003545	NP_511100.1	NP_001107792.1
OG0003545	NP_001262902.1	XP_015833716.1
OG0003546	NP_652335.1	XP_015834035.1
OG0003547	NP_788434.1	XP_008196287.1
OG0003548	NP_001285168.1	XP_015835777.1
OG0003549	NP_610842.1	XP_972796.1, XP_972842.1
OG0003550	NP_608792.1	XP_008191653.2
OG0003551	NP_001287595.1	XP_969418.2
OG0003552	NP_001245771.1	XP_001816051.2
OG0003553	NP_001286937.1	XP_966414.1, XP_015834040.1, XP_015834041.1
OG0003554	NP_610421.1	XP_008191338.1
OG0003555	NP_569948.3	XP_969359.1
OG0003556	NP_572286.1	XP_008197977.1
OG0003557	NP_652054.1	XP_008194275.1
OG0003558	NP_001286837.1	XP_008200863.1, NP_001139383.1
OG0003559	NP_001262811.1	XP_015833739.1
OG0003560	NP_649937.1	XP_008201481.1
OG0003561	NP_648551.3	XP_966722.1
OG0003562	NP_726776.1	XP_008197720.1
OG0003563	NP_524340.2	XP_008199095.1
OG0003564	NP_001260401.1, NP_609533.1	XP_974591.1
OG0003565	NP_611962.2	XP_008195579.1
OG0003566	NP_610798.1	XP_008197508.1
OG0003567	NP_524351.1	XP_972971.1
OG0003568	NP_001036444.1	XP_008199840.1
OG0003569	NP_001259065.1	XP_008200019.1, XP_008200021.1
OG0003570	NP_650256.2	XP_970689.1
OG0003571	NP_609641.1	XP_972466.1
OG0003572	NP_725534.1	XP_969549.2
OG0003573	NP_001163746.1	XP_015839835.1
OG0003574	NP_649699.1	XP_001813297.1
OG0003575	NP_001261871.1	XP_970039.1
OG0003576	NP_001162879.1	XP_970591.1
OG0003577	NP_001245936.1	XP_008191870.1
OG0003578	NP_650054.2	XP_967572.1
OG0003579	NP_733115.1, NP_001285192.1	XP_008194949.2, XP_015836565.1
OG0003580	NP_511143.2	XP_008198520.1
OG0003581	NP_001286265.1	XP_008201126.1
OG0003582	NP_569947.2	XP_008200259.1
OG0003583	NP_652189.1	XP_015837609.1
OG0003584	NP_001246145.1	XP_008197704.1, XP_008197703.1
OG0003585	NP_733027.2	XP_001809489.2
OG0003586	NP_649134.3	XP_968904.1
OG0003587	NP_724916.1	XP_968692.2
OG0003588	NP_001014614.1	XP_008192717.2, XP_966870.1
OG0003589	NP_996132.1	XP_015835994.1
OG0003591	NP_524597.1	XP_966852.1
OG0003592	NP_524652.1	XP_008190560.1
OG0003593	NP_001286401.1	XP_008201260.2
OG0003594	NP_610243.4, NP_650495.1	XP_008200185.2, XP_008192449.1
OG0003596	NP_648348.1	XP_008192521.1
OG0003597	NP_001261943.1	XP_008199159.1
OG0003598	NP_001247400.1	XP_015834381.1, XP_015834358.1
OG0003599	NP_610813.3	XP_008191160.1, XP_008191161.1, XP_001807381.1, XP_015833638.1
OG0003600	NP_652069.2	XP_001814012.1
OG0003601	NP_001247153.1	XP_008200160.1
OG0003602	NP_996141.2	XP_975667.1
OG0003603	NP_524366.1	XP_973896.2
OG0003604	NP_647677.2	XP_008190706.2
OG0003605	NP_612073.2	XP_015833448.1
OG0003606	NP_524810.2	XP_974252.1
OG0003607	NP_649008.2	XP_968511.2
OG0003608	NP_609634.1	NP_001153717.1, XP_008195553.1
OG0003609	NP_608886.1	XP_974525.1
OG0003610	NP_651726.1	XP_008191498.2
OG0003611	NP_523583.2	XP_008197892.1, XP_008197891.1, XP_008197888.1, XP_008197889.1, XP_008197890.1
OG0003612	NP_477303.1	XP_015837280.1
OG0003613	NP_570069.1	XP_015838584.1
OG0003614	NP_523541.2	XP_015839061.1
OG0003615	NP_611687.1	XP_015837963.1
OG0003616	NP_001262982.1	XP_975040.2
OG0003617	NP_001260440.1	XP_015838318.1, XP_015838395.1
OG0003618	NP_511065.1	XP_969603.1
OG0003619	NP_523898.1	XP_008195521.2
OG0003620	NP_611053.1	XP_015837557.1, XP_015837556.1, XP_015837555.1
OG0003621	NP_725799.1	XP_008200747.1
OG0003623	NP_001261078.1	XP_008193820.1
OG0003624	NP_001260192.1	XP_008197990.1
OG0003625	NP_732109.2	XP_008194565.1, XP_015836260.1
OG0003626	NP_476722.1	XP_001814885.2
OG0003627	NP_725451.1	XP_975547.1, XP_015837353.1
OG0003628	NP_001247372.1	XP_015833795.1
OG0003629	NP_649520.1	XP_015839804.1, XP_015839805.1, XP_015839803.1, XP_972357.1
OG0003630	NP_001259267.1	XP_015838483.1
OG0003632	NP_001014758.2	NP_001280515.1
OG0003633	NP_648604.2	XP_008194372.1
OG0003634	NP_608349.1	XP_968761.1
OG0003635	NP_608498.3	XP_015835053.1
OG0003636	NP_477119.1	XP_008194320.1
OG0003637	NP_477440.1	XP_969960.1
OG0003638	NP_649194.1	XP_008200898.1
OG0003639	NP_001262035.1	XP_015835594.1, XP_015835593.1, XP_015835596.1, XP_015835595.1, XP_969188.2, XP_015835592.1
OG0003640	NP_001097136.2	XP_015839248.1
OG0003641	NP_001247023.2	XP_015839097.1
OG0003642	NP_001247399.1	XP_008198362.1
OG0003643	NP_611345.1	XP_974513.1
OG0003644	NP_610446.1, NP_610447.2	XP_971690.1
OG0003645	NP_001014722.1	XP_015836973.1
OG0003646	NP_001285636.1	NP_001073624.1, XP_008192741.1
OG0003647	NP_572814.1, NP_722953.1	XP_008201144.2
OG0003648	NP_649176.1	XP_975120.1
OG0003649	NP_001096981.2	XP_008190452.1
OG0003650	NP_001260032.1	XP_015839066.1
OG0003653	NP_572704.1	XP_008201133.1, XP_008201132.1, XP_008201131.1
OG0003654	NP_001096928.1	XP_008192330.1, XP_015835030.1, XP_015835031.1
OG0003655	NP_001162707.1, NP_573297.1, NP_001097020.1	XP_008196209.2
OG0003656	NP_609092.1	XP_972851.1
OG0003657	NP_724708.1	XP_967783.1
OG0003658	NP_001262034.1	XP_015838852.1
OG0003661	NP_001285240.1	XP_008191219.1
OG0003665	NP_001261794.1	XP_973359.1
OG0003666	NP_611750.1	XP_001814402.1
OG0003667	NP_001285128.1	XP_008192927.1
OG0003668	NP_650452.1	XP_971091.2
OG0003669	NP_569851.2	XP_967180.2
OG0003670	NP_608859.1	XP_971706.1
OG0003671	NP_610592.1	XP_008200590.1
OG0003672	NP_001287600.1, NP_001287601.1	XP_008195407.1
OG0003673	NP_608377.1	XP_008192092.1, XP_015835049.1
OG0003674	NP_611267.1	XP_008193661.1
OG0003675	NP_001284923.1	XP_969225.3
OG0003676	NP_651213.1	XP_968591.1
OG0003677	NP_001262249.1	XP_973912.1
OG0003678	NP_651899.2	XP_008198169.1
OG0003679	NP_001246615.1	XP_971751.1
OG0003680	NP_001014504.1	XP_015833438.1
OG0003681	NP_001261697.1	XP_970085.1
OG0003682	NP_001137924.1	XP_970044.2
OG0003683	NP_649055.1, NP_572970.1, NP_572969.1, NP_001246867.1	XP_968322.2
OG0003684	NP_001260326.1	XP_001812551.2
OG0003686	NP_572247.2	XP_008201118.1
OG0003687	NP_001286701.1	XP_967964.1
OG0003689	NP_723220.2	XP_015838754.1, XP_008191112.1
OG0003690	NP_650943.1	XP_008196048.2
OG0003691	NP_647620.1	XP_008191606.1
OG0003692	NP_001097079.1	XP_973458.1, XP_008192597.1
OG0003709	NP_001287407.1	XP_973974.1
OG0003710	NP_476636.1	XP_967704.1
OG0003711	NP_001260887.1	XP_974658.1
OG0003712	NP_001262202.1	XP_975936.1
OG0003713	NP_477407.1, NP_996415.1	XP_966313.1, XP_008190429.1
OG0003714	NP_476797.1	XP_967826.1
OG0003715	NP_001261198.1, NP_001261197.1	XP_008196247.1, XP_971390.1
OG0003716	NP_001262080.1	XP_015838480.1
OG0003717	NP_001247301.1	XP_972883.1
OG0003719	NP_647949.1	XP_971079.1
OG0003720	NP_572259.1, NP_572260.2, NP_572262.1	XP_015837881.1, XP_015837882.1
OG0003721	NP_001334713.1, NP_610961.1	XP_966517.1
OG0003722	NP_649059.1	XP_008199299.1
OG0003723	NP_648783.4	XP_015836676.1
OG0003724	NP_001033967.1	NP_001034496.1
OG0003726	NP_001287108.1	XP_971148.1
OG0003727	NP_611407.1	XP_971046.2
OG0003728	NP_001097742.1	XP_971145.1
OG0003729	NP_001247264.1, NP_647942.1	XP_008195395.1, XP_008195396.1
OG0003730	NP_001189310.1	XP_015833603.1
OG0003731	NP_001259630.1	XP_971296.1
OG0003732	NP_001188553.1, NP_001262481.1	XP_001814293.1
OG0003733	NP_731777.1, NP_523840.1	XP_008192304.1
OG0003734	NP_001303480.1, NP_727447.1	XP_973073.2
OG0003735	NP_651684.1	XP_969459.1
OG0003736	NP_649702.2	XP_008196776.2
OG0003737	NP_001261952.1	XP_008199529.1, XP_966347.1
OG0003738	NP_610343.1	XP_973035.1
OG0003739	NP_001247139.1	XP_967263.1
OG0003740	NP_609492.1	XP_971155.1
OG0003741	NP_647961.1	XP_972645.1
OG0003742	NP_610417.1	XP_970923.1
OG0003743	NP_001188928.1, NP_001287533.1	XP_971918.2
OG0003744	NP_524719.1	NP_001164315.1
OG0003745	NP_001259103.1	XP_975087.1
OG0003746	NP_649352.1	XP_970133.1
OG0003748	NP_611632.3	NP_001107798.1, XP_015839662.1
OG0003749	NP_732419.1, NP_609366.2	XP_970254.1
OG0003750	NP_726111.1	XP_967824.1
OG0003751	NP_731267.1	NP_001038093.1, XP_008193594.1
OG0003752	NP_610168.1, NP_001260612.1	NP_001164085.1, XP_008195258.1
OG0003753	NP_572396.1, NP_651724.1, NP_001261261.1	XP_970929.1
OG0003754	NP_001285266.1, NP_649161.1	XP_015836702.1
OG0003755	NP_001137699.1	XP_967919.1
OG0003756	NP_650331.1	XP_968405.1
OG0003757	NP_511045.1	XP_968271.1
OG0003758	NP_650784.3	XP_971436.1
OG0003759	NP_001246908.1	XP_008194469.1
OG0003760	NP_609878.1, NP_001259750.1	XP_015839092.1
OG0003761	NP_001188681.1	XP_966886.1, XP_015835099.1
OG0003762	NP_650214.1	XP_974293.1
OG0003763	NP_001287349.1	XP_971695.1
OG0003764	NP_649241.1	XP_008197510.1, XP_975144.1
OG0003765	NP_001284709.1	XP_967519.1
OG0003766	NP_523407.1	XP_001814264.2
OG0003767	NP_001033885.1	XP_967936.1, XP_972909.1
OG0003768	NP_608575.1	XP_969121.2
OG0003769	NP_608619.1	XP_015833490.1
OG0003770	NP_001285352.1	XP_974119.1
OG0003771	NP_651296.1	XP_971558.1
OG0003772	NP_609822.1, NP_650473.1	XP_008193987.2
OG0003773	NP_001259808.1	XP_008193663.1
OG0003774	NP_569980.1	XP_008195033.1
OG0003775	NP_001245778.1	NP_001161910.1
OG0003776	NP_649048.1	XP_008198197.1
OG0003777	NP_001260520.2	XP_008194045.1
OG0003778	NP_788548.1	XP_975075.1
OG0003779	NP_609918.1	NP_001193392.1
OG0003780	NP_611446.3, NP_647716.1	XP_970884.1
OG0003781	NP_001261879.1	XP_967272.1
OG0003782	NP_001284805.1	XP_975169.1
OG0003783	NP_001262846.1	XP_008201233.2, NP_001280497.1
OG0003784	NP_733061.1	XP_001812198.1
OG0003785	NP_610974.1, NP_001285320.1	XP_966504.1
OG0003786	NP_001097074.1	XP_966803.1
OG0003787	NP_648037.1	XP_969863.1
