Orthogroup	Drosophila_melanogaster	Ceratina_calcarata
OG0004061	NP_001285590.1	XP_026674505.1
OG0004062	NP_001245607.1	XP_017881438.1
OG0004063	NP_001162975.1	XP_017880652.1
OG0004064	NP_001259152.1	XP_017877355.1
OG0004065	NP_001286823.1, NP_001259234.1	XP_017879141.1
OG0004066	NP_573146.1	XP_017891867.1
OG0004067	NP_001261227.1	XP_026666548.1, XP_017893114.1, XP_026666547.1, XP_026666549.1
OG0004068	NP_725626.1, NP_476863.1	XP_017886234.1
OG0004069	NP_001368995.1	XP_017890683.1
OG0004070	NP_001162753.1, NP_001285243.1	XP_026675386.1
OG0004071	NP_996010.2	XP_017882268.1
OG0004072	NP_572759.1	XP_017888128.1
OG0004073	NP_648318.2	XP_017878264.1
OG0004074	NP_001286846.1	XP_017883327.1
OG0004075	NP_788639.1	XP_017875447.1
OG0004076	NP_608550.1	XP_017878695.1
OG0004077	NP_650693.1	XP_017889805.1
OG0004078	NP_649890.1	XP_017877189.1, XP_017877188.1
OG0004079	NP_001137777.1	XP_026675420.1
OG0004080	NP_523890.2	XP_026668914.1
OG0004081	NP_001188938.1	XP_017876749.2
OG0004082	NP_001260586.1	XP_017877205.1
OG0004083	NP_569978.1	XP_017884977.1
OG0004084	NP_001163332.2	XP_026675503.1
OG0004085	NP_001246647.1	XP_017876585.1
OG0004086	NP_001138108.1	XP_017892581.1
OG0004087	NP_001259779.1	XP_017877845.1
OG0004088	NP_723510.1	XP_017886011.1, XP_017891844.2
OG0004089	NP_001260005.1	XP_017891006.2, XP_017876437.1
OG0004090	NP_609643.2	XP_026668057.1, XP_026668053.1
OG0004091	NP_609204.2	XP_017875460.1
OG0004092	NP_001285421.1	XP_017884969.1
OG0004093	NP_001259507.1	XP_017879934.1
OG0004094	NP_511152.2	XP_026666910.1, XP_017893238.1, XP_017893248.1
OG0004095	NP_477374.1	XP_017879915.1, XP_017879906.1
OG0004096	NP_725637.1	XP_017884242.1
OG0004097	NP_001286067.1	XP_017893142.1
OG0004098	NP_726437.2	XP_017878771.2
OG0004099	NP_650205.1	XP_017881782.1
OG0004100	NP_609183.1	XP_017878980.1, XP_017878981.1, XP_017878983.1
OG0004101	NP_723188.1	XP_017887968.1
OG0004102	NP_001262443.1	XP_017880869.1
OG0004103	NP_001027038.3	XP_026667401.1, XP_026667400.1, XP_026667403.1
OG0004105	NP_001260476.1	XP_017883711.1
OG0004106	NP_649461.2	XP_017890879.1, XP_017890877.1, XP_017877438.1
OG0004107	NP_647638.1	XP_017889118.1
OG0004108	NP_788735.1	XP_017889255.1
OG0004109	NP_523920.1	XP_017888013.1
OG0004110	NP_611023.1	XP_026674921.1
OG0004111	NP_523982.2	XP_017892715.1
OG0004112	NP_608410.2	XP_017892708.1
OG0004113	NP_524712.1	XP_017879191.1
OG0004114	NP_476905.1	XP_017888685.1, XP_017876691.1
OG0004116	NP_651973.4	XP_017882303.1
OG0004117	NP_648367.1	XP_017893044.1, XP_017893046.1
OG0004119	NP_651939.4	XP_017881491.1
OG0004120	NP_001263153.1	XP_017883066.1
OG0004121	NP_523790.1	XP_026667639.1, XP_017876503.1, XP_017876502.1, XP_017876504.1, XP_017876501.1
OG0004122	NP_648520.1	XP_026672956.1, XP_026672957.1
OG0004123	NP_001260855.1	XP_017881210.1
OG0004125	NP_573215.1	XP_017887625.1
OG0004126	NP_001260594.1	XP_017884547.1
OG0004128	NP_001286068.1	XP_026670906.1, XP_017883270.1, XP_026670907.1
OG0004129	NP_001245829.1	XP_017880052.1
OG0004130	NP_001245938.1	XP_026667857.1
OG0004131	NP_001284898.1, NP_001284897.1	XP_017887836.1
OG0004132	NP_001285233.1	XP_017887421.1
OG0004133	NP_001259348.1	XP_017876260.1
OG0004137	NP_610611.1	XP_017889721.1
OG0004138	NP_001027221.1	XP_017882753.1
OG0004139	NP_001262795.1	XP_026671698.1
OG0004140	NP_476985.1	XP_026673845.1
OG0004141	NP_524372.1, NP_525036.2	XP_026672712.1
OG0004142	NP_723952.2	XP_026668921.1
OG0004143	NP_523942.2	XP_017883879.1
OG0004144	NP_001259820.1	XP_017878809.1
OG0004145	NP_001097306.2	XP_017890243.1, XP_026674302.1
OG0004146	NP_648847.3	XP_017877375.1
OG0004147	NP_001014556.1	XP_026673868.1
OG0004148	NP_001245598.1	XP_026668174.1, XP_026671885.1
OG0004149	NP_572236.3	XP_017875738.1
OG0004150	NP_649909.1	XP_017889562.1
OG0004151	NP_648032.1	XP_026672271.1, XP_017876451.1
OG0004153	NP_001036757.1	XP_026674293.1
OG0004154	NP_611433.3, NP_651549.1	XP_017879258.2
OG0004155	NP_524453.1	XP_017892073.1
OG0004157	NP_610845.1	XP_026672865.1
OG0004158	NP_001261442.1	XP_017883832.1
OG0004159	NP_609541.1	XP_026670201.1
OG0004160	NP_610297.2	XP_017876695.1
OG0004161	NP_610792.2	XP_017880945.1
OG0004162	NP_001097114.2	XP_017889997.1
OG0004163	NP_001260044.1	XP_017880497.1
OG0004164	NP_001097850.3	XP_017889618.1
OG0004166	NP_610783.1	XP_017882476.1
OG0004167	NP_001245796.1	XP_017890945.1
OG0004168	NP_651717.1	XP_017880675.1
OG0004169	NP_477088.2	XP_017878622.1
OG0004170	NP_001097606.1	XP_017885601.1
OG0004171	NP_611857.3	XP_017887300.1, XP_017887301.1
OG0004172	NP_476845.2	XP_017879848.1
OG0004173	NP_001261621.2, NP_476855.1	XP_017877809.2, XP_026673207.1
OG0004174	NP_001261172.1	XP_017892196.1
OG0004175	NP_001369072.1	XP_017892906.1
OG0004176	NP_001246184.1	XP_026674368.1, XP_026674316.1
OG0004177	NP_001260615.1	XP_026670522.1
OG0004178	NP_001027420.2	XP_026667211.1, XP_026667216.1
OG0004180	NP_001162639.2	XP_026674956.1
OG0004181	NP_477219.1	XP_017886039.1
OG0004182	NP_610116.2	XP_026670452.1
OG0004183	NP_001260578.1	XP_026666829.1
OG0004184	NP_477022.1	XP_026674137.1
OG0004186	NP_001097184.2	XP_026668377.1
OG0004187	NP_651004.1	XP_017878252.1
OG0004188	NP_608524.1	XP_017893034.1
OG0004189	NP_648455.2	XP_026670641.1
OG0004190	NP_001096996.1	XP_026673732.1
OG0004191	NP_001261503.1	XP_017883912.1
OG0004192	NP_651851.1	XP_017879470.1
OG0004194	NP_001261636.1	XP_017880486.1, XP_017880488.1
OG0004195	NP_001303365.1	XP_017886088.1
OG0004196	NP_572860.2, NP_608430.2, NP_650728.1	XP_017877005.1
OG0004197	NP_523924.1	XP_017890303.1
OG0004198	NP_652562.2	XP_026674929.1
OG0004199	NP_001259983.1	XP_017893319.1
OG0004201	NP_651849.1	XP_017891896.2
OG0004202	NP_001260133.1	XP_017885897.1
OG0004203	NP_648267.1	XP_026670406.1
OG0004205	NP_608637.1	XP_017879804.1
OG0004206	NP_610556.1	XP_017893399.1
OG0004207	NP_001286287.1, NP_001247263.1	XP_017893583.1
OG0004209	NP_001287316.1	XP_017891464.1
OG0004211	NP_726630.2	XP_017886399.1
OG0004212	NP_001260087.1	XP_017875744.1
OG0004213	NP_649590.1	XP_017877855.1
OG0004214	NP_524783.1, NP_001262446.1	XP_017890108.1
OG0004215	NP_001260417.1	XP_026672597.1, XP_017886608.1
OG0004216	NP_651298.1, NP_001097988.2, NP_001097987.1, NP_001287620.1, NP_001262833.1, NP_651535.1	XP_026674809.1
OG0004219	NP_648343.1	XP_026669467.1
OG0004220	NP_477041.1	XP_026673519.1
OG0004222	NP_611021.1	XP_026672762.1
OG0004224	NP_001189250.2	XP_026672372.1
OG0004225	NP_650989.6	XP_017884794.1
OG0004226	NP_001286529.1, NP_650027.1	XP_026671896.1
OG0004228	NP_001284939.1	XP_017879957.1
OG0004229	NP_001163414.1	XP_017893220.1
OG0004230	NP_001261376.1	XP_026671727.1
OG0004231	NP_001368969.1	XP_017889629.1
OG0004232	NP_001262107.1	XP_026672535.1, XP_026672541.1
OG0004234	NP_610253.1	XP_026674324.1, XP_017890040.1
OG0004236	NP_001369050.1	XP_017882823.1, XP_017882859.1
OG0004237	NP_001285677.1, NP_609042.1	XP_017878288.1
OG0004238	NP_724428.1	XP_017876306.1
OG0004239	NP_001260558.1	XP_026670665.1, XP_026667032.1, XP_017875246.2
OG0004240	NP_476601.1, NP_476732.1, NP_476600.1	XP_017883444.1
OG0004241	NP_001303313.1	XP_017882946.1
OG0004242	NP_001356934.1	XP_026673769.1
OG0004243	NP_648724.1	XP_026669519.1
OG0004244	NP_727768.1	XP_026670474.1
OG0004245	NP_001097964.1	XP_017892245.1
OG0004246	NP_001014610.1	XP_017889227.1, XP_017885719.1
OG0004247	NP_001260710.1	XP_017884309.1
OG0004248	NP_001137610.1	XP_026672608.1
OG0004249	NP_610325.1	XP_017882373.1, XP_026670505.1
OG0004251	NP_001259575.1	XP_026668835.1
OG0004252	NP_001246441.1	XP_026666972.1, XP_026669811.1
OG0004253	NP_722629.1	XP_017888944.1
OG0004257	NP_572166.1, NP_572616.1	XP_017875386.1
OG0004258	NP_001286256.1	XP_026669308.1
OG0004264	NP_001188568.1	XP_017878843.1, XP_026668733.1
OG0004275	NP_001287569.1	XP_017891647.1
OG0004276	NP_523774.1	XP_017888969.1
OG0004277	NP_523975.1	XP_017889206.1
OG0004278	NP_524315.2	XP_017882377.1, XP_017882881.1
OG0004279	NP_650333.1, NP_648622.1	XP_017876915.1
OG0004280	NP_650696.1, NP_648616.1, NP_648615.1	XP_017885504.1
OG0004281	NP_001188972.1	XP_017890810.1
OG0004282	NP_001097151.1, NP_001285794.1	XP_017878496.1
OG0004283	NP_001287481.1	XP_017892782.1
OG0004284	NP_001245404.1	XP_017888327.1, XP_017877104.1
OG0004285	NP_724783.1	XP_017881532.1
OG0004286	NP_001246362.1	XP_017891172.1
OG0004287	NP_001188682.1, NP_570087.1	XP_017885220.1
OG0004288	NP_572478.1	XP_017890899.1
OG0004289	NP_650780.1	XP_017883735.1
OG0004290	NP_001261742.1	XP_017884485.1
OG0004291	NP_650301.1	XP_026669193.1
OG0004292	NP_652048.2, NP_611164.3, NP_611165.2, NP_611163.2	XP_017887289.1
OG0004293	NP_730662.2	XP_017893157.1, XP_017893178.1
OG0004294	NP_001262039.1	XP_017889790.1
OG0004295	NP_001287206.1	XP_026674739.1
OG0004296	NP_476801.1, NP_001189086.1, NP_729707.1, NP_611169.1, NP_609447.1	XP_017879751.1
OG0004297	NP_524938.1	XP_017885406.1, XP_017883980.1
OG0004298	NP_524779.1	XP_026667642.1
OG0004299	NP_001137795.2	XP_017893528.1
OG0004300	NP_001287572.1	XP_017878425.1
OG0004301	NP_001285193.1	XP_017891382.1, XP_017891383.1, XP_017891379.1
OG0004302	NP_648377.1	XP_017887422.1
OG0004303	NP_001260495.1	XP_017885344.1
OG0004304	NP_001260293.1	XP_017890622.2, XP_026673043.1
OG0004305	NP_001259881.1	XP_017888977.1
OG0004306	NP_001262472.1	XP_017884826.1
OG0004307	NP_001188689.2	XP_017886895.1
OG0004308	NP_524051.1	XP_017890666.1
OG0004309	NP_001245541.1	XP_017891147.1
OG0004310	NP_001137770.1	XP_017882950.1, XP_026670812.1
OG0004311	NP_001246045.1	XP_017880002.1
OG0004312	NP_001261435.1	XP_017891210.1
OG0004313	NP_001285137.1	XP_017881955.1
OG0004314	NP_001285543.1	XP_017887516.1
OG0004315	NP_647792.1	XP_017876702.1
OG0004316	NP_001263104.1	XP_017887149.1
OG0004317	NP_001286731.1	XP_017891801.1
OG0004318	NP_001286506.1	XP_017887283.1
OG0004320	NP_731523.1	XP_017876569.1
OG0004321	NP_611092.2	XP_017877345.1
OG0004322	NP_001163347.1	XP_017876523.1
OG0004323	NP_001260233.1, NP_609197.2, NP_001260232.1	XP_017890508.1
OG0004324	NP_001286410.1	XP_017890996.1
OG0004325	NP_524275.1	XP_017882817.1
OG0004326	NP_610463.2	XP_017884281.1
OG0004327	NP_524452.4	XP_026669043.1
OG0004328	NP_724834.1	XP_017875237.2
OG0004329	NP_001259822.1	XP_017876609.1
OG0004330	NP_649676.1	XP_017885500.1
OG0004331	NP_647991.1	XP_017883910.1
OG0004332	NP_650987.1	XP_017891742.1
OG0004333	NP_524260.1, NP_477414.1	XP_017890490.1, XP_017890492.1
OG0004334	NP_001163571.1, NP_649912.1	XP_017884241.1
OG0004335	NP_610220.1	XP_017883234.1
OG0004336	NP_650322.1, NP_001285600.1, NP_001287079.2, NP_650017.1	XP_017883157.1
OG0004337	NP_001261269.1	XP_017875434.1
OG0004338	NP_609845.1	XP_017883366.1
OG0004339	NP_649908.1	XP_017889572.1
OG0004340	NP_001286348.1	XP_017875663.1
OG0004341	NP_609351.1	XP_017886607.1
OG0004342	NP_001097058.1	XP_017887609.1
OG0004343	NP_001097094.1	XP_017883523.1
OG0004344	NP_001259272.1	XP_017887130.1
OG0004345	NP_649252.1	XP_017883415.1
OG0004346	NP_609805.1	XP_017877501.1, XP_017877502.1, XP_017877500.1
OG0004347	NP_524207.1	XP_017888559.1
OG0004348	NP_001163845.1, NP_001015476.1	XP_017883713.1
OG0004349	NP_611559.1	XP_017890261.2, XP_017888252.1
OG0004350	NP_001285449.1	XP_017880095.1, XP_017880181.1
OG0004351	NP_525119.1	XP_017883354.1
OG0004352	NP_649028.3	XP_017883884.1
OG0004353	NP_001285310.1	XP_017891865.1
OG0004354	NP_001287035.1	XP_017883286.1
OG0004355	NP_536744.2	XP_017885726.1
OG0004356	NP_611425.1	XP_017885672.1
OG0004357	NP_572562.1	XP_017883235.1
OG0004358	NP_001286503.1	XP_017892641.1
OG0004359	NP_001189211.1	XP_017883310.1
OG0004360	NP_650056.1	XP_017883129.1
OG0004361	NP_650673.1	XP_017892816.1, XP_017884079.1
OG0004362	NP_001262304.1	XP_017891455.1
OG0004363	NP_001261322.1	XP_017878370.1, XP_017878434.1
OG0004365	NP_648494.2	XP_017884645.1
OG0004366	NP_523476.1	XP_017878215.1
OG0004367	NP_732020.2	XP_026670784.1
OG0004368	NP_524318.1	XP_017879606.1
OG0004369	NP_523582.4	XP_017877101.1
OG0004370	NP_001138143.2	XP_026674912.1
OG0004371	NP_648188.2	XP_017888274.1
OG0004372	NP_001262726.1	XP_017879251.1
OG0004373	NP_728447.2, NP_996529.1, NP_728443.1	XP_017876974.1
OG0004374	NP_001303568.1	XP_017887679.1
OG0004375	NP_608830.3	XP_017890835.1
OG0004376	NP_647775.1	XP_017884035.2, XP_026671335.1
OG0004377	NP_001138105.1	XP_017880760.1
OG0004378	NP_001137873.1	XP_017891050.1
OG0004379	NP_001285662.1	XP_017880144.1, XP_026669379.1
OG0004381	NP_001260780.1	XP_017883958.1
OG0004382	NP_996490.1	XP_017888333.1
OG0004383	NP_610545.1	XP_017880101.1
OG0004384	NP_609443.1	XP_017891779.1
OG0004385	NP_788616.1, NP_001189205.1	XP_017887412.1
OG0004386	NP_611691.1	XP_017882362.1, XP_017886217.1
OG0004387	NP_001285889.1	XP_017879509.1
OG0004388	NP_723505.2	XP_026667435.1
OG0004389	NP_523561.1	XP_017891795.1
OG0004390	NP_001286516.1, NP_001260386.1, NP_001259422.1, NP_648983.1	XP_017882895.1
OG0004391	NP_001260317.1	XP_017885164.1
OG0004392	NP_001287439.1	XP_017887710.1
OG0004393	NP_610677.1	XP_026666452.1, XP_026666453.1
OG0004394	NP_650976.1	XP_017887811.1, XP_017892811.1
OG0004395	NP_651456.1	XP_017888972.1
OG0004396	NP_610554.1	XP_017891881.1
OG0004397	NP_726779.1	XP_017885008.1
OG0004398	NP_476730.1, NP_476834.1	XP_017893365.1
OG0004399	NP_001246624.1	XP_026674495.1, XP_026674497.1
OG0004400	NP_729935.1	XP_026671449.1
OG0004401	NP_649256.1	XP_017876057.1
OG0004402	NP_524923.1	XP_017887349.1
OG0004403	NP_651498.1	XP_017888042.1
OG0004404	NP_524030.2	XP_017881629.1
OG0004405	NP_649570.1	XP_017877492.1
OG0004406	NP_733063.1	XP_017875053.1
OG0004407	NP_001162940.3, NP_995925.2	XP_026669358.1
OG0004409	NP_524182.3	XP_017891517.1
OG0004410	NP_651927.1	XP_026668957.1
OG0004411	NP_001163296.1	XP_017888759.1, XP_017888760.1
OG0004412	NP_609399.1	XP_017882167.1
OG0004413	NP_001137696.1	XP_026672412.1
OG0004414	NP_001261930.1	XP_017882511.1, XP_026670565.1, XP_026670562.1, XP_026670557.1
OG0004415	NP_001036718.1, NP_650551.1	XP_017882224.1
OG0004416	NP_001261410.1	XP_017875201.1
OG0004417	NP_001260142.1	XP_017875779.1
OG0004418	NP_610327.1, NP_724615.1	XP_017879425.1
OG0004419	NP_001097352.1	XP_017882967.1
OG0004420	NP_477283.1	XP_017893622.1
OG0004421	NP_650270.1	XP_017884383.2
OG0004422	NP_651243.1	XP_026669909.1
OG0004423	NP_001285908.1	XP_026667906.1, XP_026667380.1, XP_017876940.2
OG0004424	NP_001262473.1	XP_017886465.1
OG0004425	NP_608827.1	XP_026674160.1
OG0004426	NP_609783.1	XP_017890223.1
OG0004427	NP_001285801.1, NP_609721.1	XP_017887327.1
OG0004428	NP_648239.1	XP_017882248.1
OG0004429	NP_001259068.1	XP_017887408.1
OG0004430	NP_001259372.1	XP_017877321.1
OG0004431	NP_996303.1	XP_026674202.1
OG0004432	NP_001261247.1, NP_001261517.1	XP_017892111.1
OG0004433	NP_001287204.1, NP_524846.1	XP_017876426.1
OG0004434	NP_001285891.1	XP_017889923.1
OG0004436	NP_001259475.1	XP_017880780.1
OG0004437	NP_001287385.1	XP_017888892.1, XP_026673670.1
OG0004438	NP_650751.3	XP_017884471.1
OG0004439	NP_995932.1	XP_017886250.2
OG0004440	NP_611228.1	XP_017884454.1
OG0004441	NP_523951.1	XP_017875933.1
OG0004443	NP_611162.2	XP_026668357.1
OG0004444	NP_001260777.1	XP_017876088.1
OG0004445	NP_650123.1	XP_017887309.1
OG0004446	NP_001260104.1, NP_573142.1	XP_026675371.1
OG0004447	NP_001284739.1	XP_017884715.1
OG0004448	NP_608704.2, NP_001259956.1	XP_017883685.1
OG0004449	NP_788342.1	XP_017884300.1
OG0004450	NP_001285397.1	XP_017883705.1
OG0004451	NP_728642.2	XP_017876685.1
OG0004452	NP_732176.1	XP_017883646.1
OG0004453	NP_610921.1	XP_026668986.1
OG0004454	NP_524151.2	XP_017891943.1
OG0004455	NP_001287493.1	XP_017891631.1
OG0004457	NP_573232.1	XP_017888912.1
OG0004458	NP_608825.2	XP_017892760.1
OG0004459	NP_001162710.2	XP_026667587.1
OG0004460	NP_477121.1	XP_017881783.1
OG0004461	NP_608740.2	XP_017886199.1, XP_017886137.1
OG0004462	NP_651528.2	XP_017880141.1, XP_026669377.1
OG0004463	NP_001027435.2	XP_017875223.1
OG0004464	NP_001097493.1	XP_026670718.1
OG0004465	NP_649466.1	XP_017875310.1
OG0004466	NP_608999.2	XP_017875012.1
OG0004467	NP_608883.1	XP_026674587.1, XP_017886089.1
OG0004469	NP_572952.1	XP_017876546.1
OG0004470	NP_001259370.1	XP_017883225.1
OG0004471	NP_477202.2	XP_017883501.1
OG0004472	NP_001137613.1	XP_017877793.1
OG0004473	NP_524462.2	XP_017892120.1
OG0004475	NP_001262708.1	XP_017881804.1
OG0004478	NP_524183.2	XP_017889224.1
OG0004479	NP_610333.1	XP_017887325.1
OG0004480	NP_651582.1	XP_017877925.1, XP_026668389.1
OG0004481	NP_001259161.1	XP_026672791.1
OG0004482	NP_733068.2, NP_001261049.1	XP_026675154.1
OG0004483	NP_651314.1	XP_017878961.1
OG0004484	NP_608777.1	XP_017883589.1
OG0004485	NP_001247347.1	XP_017875881.1
OG0004486	NP_608781.2	XP_026673399.1, XP_017888169.2
OG0004487	NP_726358.2	XP_017877043.2
OG0004489	NP_651251.3	XP_017891356.1
OG0004490	NP_648780.1	XP_017884077.1
OG0004491	NP_650248.1	XP_017884054.1
OG0004492	NP_611300.2	XP_026672254.1, XP_026672255.1, XP_017885657.1
OG0004493	NP_651664.2	XP_017887506.1
OG0004494	NP_476901.1	XP_017883800.1
OG0004495	NP_724769.2	XP_017882725.2
OG0004496	NP_651349.1	XP_017889384.1
OG0004498	NP_001246734.1	XP_017876659.1
OG0004499	NP_733352.3	XP_017889745.1
OG0004500	NP_651635.2	XP_017889816.1
OG0004501	NP_523615.2, NP_001260679.1	XP_017892115.1
OG0004502	NP_001247091.1	XP_017885546.1
OG0004503	NP_001027230.1	XP_026669037.1
OG0004504	NP_001286484.1	XP_017892859.1
OG0004505	NP_608388.2	XP_017887257.1
OG0004506	NP_001286174.1	XP_017892021.1
OG0004507	NP_001263099.1, NP_001303460.1	XP_017879888.1, XP_026674493.1
OG0004508	NP_569873.1	XP_026674529.1, XP_017890439.1
OG0004509	NP_001286999.1	XP_017892310.1
OG0004510	NP_732773.1	XP_017886378.1
OG0004511	NP_650686.1	XP_017877795.1
OG0004512	NP_476975.1	XP_017886641.1
OG0004513	NP_648570.1	XP_026667223.1, XP_026667222.1, XP_017875740.1
OG0004514	NP_001260173.1	XP_017881520.1
OG0004515	NP_001285130.1	XP_017877465.1
OG0004516	NP_650432.1	XP_017887563.1
OG0004517	NP_787963.2	XP_017888636.1, XP_017883937.1
OG0004518	NP_650939.2	XP_017892960.1
OG0004519	NP_001262894.1	XP_017892862.1
OG0004520	NP_001245456.1	XP_017892122.1
OG0004521	NP_511044.1	XP_017889794.1
OG0004523	NP_001259649.1	XP_017878515.1
OG0004524	NP_572945.1	XP_017892594.1
OG0004526	NP_001163323.1	XP_017875588.1
OG0004527	NP_001260639.1	XP_017885729.1
OG0004528	NP_001262168.1	XP_017886419.1
OG0004529	NP_651081.1	XP_017886410.1
OG0004530	NP_001260420.1	XP_026668310.1
OG0004531	NP_001261906.1	XP_017885061.2
OG0004532	NP_523465.2	XP_017884001.1
OG0004533	NP_001262116.1	XP_017883426.2
OG0004534	NP_001286215.1	XP_017886159.1
OG0004535	NP_612103.1	XP_017879379.1
OG0004536	NP_523708.2	XP_017881935.1
OG0004537	NP_610279.3	XP_026668276.1
OG0004538	NP_572638.1	XP_017879394.1
OG0004539	NP_001260821.1	XP_017875108.1
OG0004540	NP_476979.1	XP_026667072.1, XP_017875361.1
OG0004541	NP_524344.1	XP_026673130.1
OG0004542	NP_001260580.1	XP_017879097.1
OG0004544	NP_524673.3	XP_017890193.1
OG0004545	NP_001284713.1	XP_017886820.1
OG0004547	NP_001015473.1	XP_017883600.1
OG0004549	NP_651718.1	XP_017883153.1
OG0004550	NP_573230.1	XP_017888498.1
OG0004551	NP_001245759.1	XP_017881475.1
OG0004552	NP_733044.1	XP_017882606.1
OG0004553	NP_001261278.1	XP_017881235.1
OG0004554	NP_573190.1	XP_017891839.1
OG0004555	NP_725632.1	XP_017876233.1
OG0004556	NP_001163123.1	XP_026672523.1, XP_026672354.1
OG0004557	NP_651691.4	XP_017876858.1
OG0004558	NP_649079.2	XP_017877322.1
OG0004559	NP_649911.1	XP_017880396.1
OG0004560	NP_650253.1	XP_017893097.1
OG0004561	NP_609299.1	XP_017878390.1
OG0004563	NP_732527.1	XP_017883939.1, XP_017887282.1
OG0004564	NP_001262636.1	XP_017893186.1
OG0004565	NP_001260630.1	XP_017889844.1
OG0004566	NP_608995.2	XP_017878967.1, XP_017878977.1, XP_026668850.1, XP_017878985.1
OG0004567	NP_609446.1	XP_017881019.1
OG0004568	NP_001286611.1	XP_017892033.1
OG0004569	NP_723811.1	XP_017882569.1
OG0004570	NP_477431.1, NP_001285857.1	XP_017891134.1
OG0004571	NP_001263057.1	XP_017891592.1
OG0004572	NP_001260556.1	XP_017886138.1
OG0004573	NP_523947.2	XP_026666587.1, XP_017888674.1
OG0004574	NP_649784.1	XP_026666509.1, XP_017893016.1
OG0004575	NP_476656.1	XP_017891840.1
OG0004576	NP_572694.1	XP_017884083.2
OG0004577	NP_001286657.1	XP_026669003.1
OG0004578	NP_001036641.1	XP_017890076.1
OG0004579	NP_572353.1	XP_026667864.1, XP_017877000.1
OG0004580	NP_650835.1	XP_026669445.1
OG0004581	NP_001260163.1	XP_017880936.1
OG0004582	NP_650152.1, NP_727091.1	XP_017875364.1
OG0004583	NP_524429.1	XP_017889399.1
OG0004584	NP_001262802.1	XP_017889651.1
OG0004585	NP_573352.2, NP_001261744.1	XP_026671954.1, XP_017885173.1
OG0004586	NP_477329.1	XP_017877386.1
OG0004587	NP_001260046.1	XP_017878631.1
OG0004588	NP_477395.1	XP_017884275.1
OG0004589	NP_524308.2	XP_017891576.1
OG0004590	NP_476927.1	XP_017879245.1, XP_026668948.1
OG0004591	NP_572160.1	XP_017878753.1
OG0004592	NP_524331.2	XP_017886383.1
OG0004593	NP_729802.1	XP_017892530.1
OG0004594	NP_476995.1	XP_017883607.1
OG0004596	NP_001262598.1	XP_017878136.1
OG0004597	NP_001188830.1	XP_017878697.1
OG0004598	NP_611335.1	XP_017886759.1
OG0004599	NP_001246025.1	XP_017877131.1
OG0004600	NP_610172.1	XP_026668463.1
OG0004601	NP_523528.1	XP_017875703.1
OG0004602	NP_996031.1	XP_017890804.1
OG0004603	NP_001162897.1	XP_017893408.1
OG0004604	NP_733256.2	XP_026674295.1
OG0004605	NP_001286057.1	XP_017890444.1
OG0004606	NP_609535.1	XP_017887166.1
OG0004607	NP_001286102.1	XP_017875733.1
OG0004608	NP_648294.1, NP_650191.1	XP_017878724.1, XP_017878725.1
OG0004609	NP_001259382.1	XP_017876870.1
OG0004610	NP_001259243.1	XP_017880803.1
OG0004611	NP_648486.1	XP_017892492.1, XP_017892493.1
OG0004612	NP_572303.4	XP_017883534.1
OG0004613	NP_611943.1	XP_017885623.1, XP_026670034.1, XP_017881401.1
OG0004614	NP_001261836.1	XP_017886984.1
OG0004615	NP_648669.1	XP_017885935.1
OG0004616	NP_001189103.1	XP_026675627.1
OG0004617	NP_651407.3	XP_017878933.1
OG0004618	NP_001097000.1	XP_017889178.1
OG0004619	NP_001261931.1	XP_017891651.1, XP_017890305.1
OG0004620	NP_523782.1	XP_017886799.1
OG0004621	NP_608544.1	XP_017881727.1, XP_026670152.1
OG0004623	NP_730435.2	XP_026672007.1
OG0004624	NP_511165.1	XP_026673028.1, XP_026673029.1, XP_017887464.1
OG0004625	NP_788494.1	XP_026667796.1
OG0004627	NP_648657.1	XP_017875739.1
OG0004628	NP_524190.2	XP_017875016.1, XP_017891015.1
OG0004629	NP_001259964.1	XP_017893522.1
OG0004630	NP_648838.3	XP_017882013.1
OG0004631	NP_001259553.1	XP_017891702.1
OG0004632	NP_610605.1	XP_017885852.1
OG0004633	NP_477385.1	XP_017889222.1
OG0004634	NP_609085.1, NP_001096868.3	XP_017879077.1
OG0004635	NP_001246458.1	XP_017886573.1
OG0004636	NP_610311.1	XP_017881698.1
OG0004637	NP_001246862.1	XP_017883295.2, XP_017888256.1
OG0004638	NP_001285788.1	XP_017884031.1
OG0004639	NP_610589.2	XP_017877926.1
OG0004640	NP_001097639.2	XP_017881654.1
OG0004641	NP_611248.3	XP_017881879.1
OG0004642	NP_001097280.2	XP_017880925.1
OG0004644	NP_001263138.1	XP_017886483.1, XP_026672491.1
OG0004645	NP_001334718.1	XP_017881271.1
OG0004646	NP_001262454.1	XP_017888024.1
OG0004647	NP_001262819.1	XP_017878171.1
OG0004648	NP_001246859.1	XP_017876055.1
OG0004649	NP_001284963.1	XP_026674366.1, XP_026674364.1, XP_017890119.2
OG0004650	NP_001162873.1, NP_001261505.1	XP_026674298.1
OG0004651	NP_611869.1	XP_017890081.1
OG0004652	NP_649555.1	XP_017884995.1
OG0004653	NP_610683.1	XP_017875906.1
OG0004654	NP_001262170.1, NP_001097499.1	XP_017889408.1
OG0004655	NP_788538.2	XP_017890582.1
OG0004656	NP_609111.1	XP_017879578.1
OG0004657	NP_524994.2	XP_017879639.1
OG0004658	NP_001260879.1	XP_017892113.1
