Orthogroup	Nasonia_vitripennis	Tribolium_castaneum
OG0003271	XP_031780417.1, XP_031780418.1, XP_031780419.1	XP_968889.1
OG0003272	XP_001607263.1	XP_968917.1
OG0003273	XP_008209399.1	XP_973278.2
OG0003274	XP_001601408.1	XP_015836483.1, XP_015834685.1
OG0003275	XP_001600470.2, XP_001608109.1	XP_975066.2
OG0003276	XP_031782013.1, XP_032453804.1	XP_008192336.1
OG0003277	XP_008210681.1	XP_973249.1
OG0003279	XP_008213455.1, XP_008213456.1	XP_971430.1, XP_008199556.1
OG0003280	XP_032455797.1, XP_016840634.1	XP_008198200.1
OG0003281	XP_001601076.1	XP_974741.2
OG0003282	XP_031786890.1	XP_015835098.1, XP_971662.1, XP_015835095.1
OG0003283	XP_003427328.1	XP_970867.1, XP_972271.1
OG0003284	XP_031777212.1	XP_008190551.1
OG0003285	XP_008201914.1	XP_968042.1
OG0003286	XP_008209152.1, XP_001605063.1	XP_970538.1
OG0003287	XP_032456754.1, XP_032456753.1, XP_001604997.1, XP_031782736.1	XP_008192103.1, XP_008192102.1
OG0003288	XP_001599389.1	XP_975411.1
OG0003289	NP_001162016.1, XP_008209312.1	NP_001164139.1, XP_008200420.1
OG0003290	XP_001602650.3	XP_967987.1
OG0003291	XP_001605693.1	XP_008195736.1
OG0003292	XP_031783034.1	XP_967415.1
OG0003293	XP_032454915.1, XP_032454916.1, XP_032454914.1, XP_016842012.1, XP_016842010.1, XP_016842013.1	XP_008196397.1
OG0003294	XP_001608255.1	XP_975631.1
OG0003295	XP_001601545.1	XP_967504.2
OG0003296	NP_001135841.1	XP_008197505.1
OG0003297	XP_016837342.1, XP_001606741.1	XP_973895.1
OG0003298	XP_001605181.1	XP_008192926.1
OG0003299	XP_001605558.1	XP_971498.1
OG0003300	XP_001605980.1	XP_973654.2
OG0003301	XP_001599584.1	XP_008192687.1, XP_967031.1
OG0003302	XP_016837680.1	XP_968462.1
OG0003303	XP_008209243.1	NP_001106933.1, XP_008194040.1
OG0003304	XP_008210018.1	XP_008191927.1, XP_008191926.1
OG0003305	XP_008205307.1, XP_001604167.1	XP_966576.1
OG0003306	XP_016841637.1	XP_969661.1
OG0003307	XP_001601855.2	XP_008192922.1
OG0003308	XP_016845748.1, XP_032457019.1	XP_972659.1
OG0003309	XP_001600525.1	XP_008199043.1, XP_968923.1
OG0003311	XP_031778533.1, XP_032452624.1, XP_032452623.1, XP_032452620.1, XP_032452621.1	XP_973274.1
OG0003312	XP_003425757.1, XP_008203965.1, XP_001606448.1	XP_008197403.1
OG0003313	XP_003426633.1	XP_974197.1
OG0003314	XP_003426081.1	XP_008195843.1
OG0003315	XP_001605663.3	XP_970389.1, XP_008195730.1
OG0003316	XP_031780051.1, XP_032452312.1	XP_015835823.1
OG0003317	XP_016842468.1, XP_001600535.1	XP_015835675.1
OG0003318	XP_031779959.1	XP_972119.1
OG0003319	NP_001165797.1	XP_970045.1
OG0003320	XP_001599074.2	XP_969230.1
OG0003321	XP_008216489.1, XP_003424030.1	XP_972780.1
OG0003322	XP_001604921.2	XP_008199414.1
OG0003323	XP_001604434.2, XP_008211404.1	XP_974433.1
OG0003324	XP_001599547.1	XP_015840379.1
OG0003325	XP_032452651.1, XP_003425169.1	XP_008196032.1
OG0003326	XP_032455973.1, NP_001127800.1	XP_972459.1
OG0003327	XP_001607631.1	NP_001153782.1, XP_968093.1
OG0003328	XP_001600626.2	XP_973113.1
OG0003329	XP_003428199.1, XP_031786691.1	XP_968639.1
OG0003330	XP_016845882.1, XP_008203053.1	XP_015837793.1
OG0003331	XP_031782365.1, XP_031782347.1	XP_008197836.1
OG0003332	XP_001603724.1	XP_967369.1
OG0003333	XP_008212766.1, XP_008212765.1, XP_016837504.1	XP_008191503.1
OG0003334	XP_008215008.1	XP_971340.1
OG0003335	XP_001607194.2	XP_008198099.1
OG0003336	XP_016843002.1	XP_969755.2
OG0003337	NP_001166078.1	XP_974141.2
OG0003339	XP_001606646.2	XP_015833860.1
OG0003340	XP_001607630.2	XP_015839037.1
OG0003341	XP_031785381.1	XP_008199407.1
OG0003342	XP_001607831.2	XP_008196629.1
OG0003343	XP_001605475.3	NP_001107837.1, XP_015832928.1
OG0003344	NP_001123317.1, XP_032452220.1	XP_969878.1
OG0003345	XP_001608055.1	XP_015839239.1
OG0003346	XP_031784752.1	XP_008201244.1, NP_001034519.1
OG0003348	XP_016840535.1	XP_008191111.1
OG0003349	XP_008211064.3	XP_015833913.1
OG0003350	XP_001605023.1	XP_008192723.1
OG0003351	XP_008217410.1	XP_973079.1
OG0003352	XP_031782364.1, XP_001604975.1	XP_015833132.1
OG0003353	XP_031783402.1	XP_973934.2
OG0003355	XP_031786464.1	XP_970925.2
OG0003356	XP_031777254.1	XP_008194232.2
OG0003357	XP_016840528.1	XP_008195128.1
OG0003358	XP_001604974.2	XP_008198689.1
OG0003359	XP_031781617.1	XP_008192494.1
OG0003360	XP_008213719.1, XP_032453669.1, XP_008213720.1, XP_016839069.1, XP_032453668.1	XP_970407.1
OG0003361	NP_001165865.1, XP_008207920.1	NP_001139384.1, XP_008192465.1
OG0003362	XP_031787772.1	XP_008198521.1
OG0003363	XP_016844987.1, XP_016844988.1	NP_001106938.1
OG0003364	XP_001604620.1	XP_008198964.1, XP_015833996.1
OG0003365	XP_008212795.1, XP_001607615.2	XP_970914.1, XP_008194272.1
OG0003366	XP_008208142.1	XP_008199508.1, XP_008199509.1, XP_008192806.1
OG0003367	XP_016841681.1	XP_008199394.1
OG0003368	XP_001608198.2	XP_008194972.1, NP_001164129.1
OG0003369	XP_016840979.1	XP_008195982.2
OG0003370	NP_001153334.1, XP_031777498.1	XP_008199447.2
OG0003371	NP_001153446.1, NP_001153445.1, XP_008216731.1	XP_974687.2
OG0003372	XP_031780932.1	XP_969973.1
OG0003373	XP_031786772.1	XP_015835659.1
OG0003374	XP_032455255.1	XP_001807778.1
OG0003376	XP_001605382.1	XP_008192548.1
OG0003377	XP_031780716.1	XP_008201154.1
OG0003378	XP_032458173.1, XP_031785909.1	XP_008200229.1, XP_008200223.1
OG0003380	XP_031781487.1	XP_974999.1
OG0003381	XP_001605201.1, XP_008203868.1	XP_008192168.1
OG0003382	XP_016841191.1	XP_008201713.1
OG0003383	XP_001600399.1	XP_974028.1
OG0003385	XP_032454531.1, XP_001605068.2	XP_015837239.1
OG0003387	XP_001599757.1, XP_032458190.1, XP_003424837.1	XP_970657.1
OG0003388	XP_003426564.1	XP_008193982.1
OG0003389	XP_008213769.1	XP_974088.2, XP_008194193.2
OG0003390	XP_003426918.1	XP_008193784.1
OG0003391	XP_008202154.1, XP_008202153.1	XP_008199553.1, XP_008190888.1
OG0003392	XP_016845870.1	XP_015839127.1
OG0003393	XP_001605405.1	XP_968690.1
OG0003395	XP_001604101.2	XP_015833637.1
OG0003396	XP_001607425.1	XP_968898.1
OG0003398	XP_001607355.1	XP_969016.3
OG0003399	XP_001601933.1	XP_008193699.1
OG0003400	XP_003424747.1, XP_032456842.1	XP_008198207.1
OG0003401	XP_001606651.2, XP_016845402.1	XP_974608.1
OG0003402	XP_001599713.1	XP_001807559.1
OG0003403	XP_001600431.1	XP_015839241.1, XP_015839240.1
OG0003404	XP_031779080.1	XP_008196762.1
OG0003405	XP_008204009.1, XP_008204002.1	XP_008192210.1
OG0003406	XP_031786071.1, XP_031786069.1	XP_015840297.1
OG0003407	XP_003425749.1	XP_971021.1
OG0003408	XP_003424314.1, XP_003424316.1	XP_970226.1, XP_008198773.1
OG0003409	XP_016838223.1, XP_031778820.1	XP_008198454.1
OG0003410	XP_031778589.1	XP_008193017.1
OG0003411	XP_031780505.1	XP_970605.2
OG0003412	XP_001604278.2	XP_008200696.2
OG0003413	XP_001602662.1	XP_968721.1
OG0003414	XP_031781506.1	XP_968431.1
OG0003416	XP_001601753.2	XP_008192111.1
OG0003417	XP_016839394.1, XP_016839393.2	XP_975392.1
OG0003418	XP_016842407.1	XP_008193262.1
OG0003419	XP_008208739.1	XP_008201106.1
OG0003420	XP_001606185.1	XP_975311.2
OG0003421	XP_031783183.1, XP_032453897.1, XP_001604630.2, XP_031783184.1	XP_015836663.1, XP_008195097.1
OG0003422	XP_001606351.1	XP_969858.1
OG0003424	XP_001603235.1	XP_008193894.1
OG0003425	XP_016840848.1, XP_031784522.1, XP_031784523.1	XP_970165.1
OG0003426	XP_008214857.1	XP_967164.2
OG0003428	XP_032453976.1	XP_969482.1
OG0003429	XP_016843938.1	XP_008194420.1
OG0003430	XP_032454860.1	XP_015838000.1, XP_967233.2
OG0003431	XP_016837400.1, XP_031780764.1	XP_973216.2
OG0003432	XP_003425676.1	XP_008198745.1
OG0003433	XP_003428173.1, XP_031786429.1, XP_031786428.1	XP_008195123.1
OG0003434	XP_008202235.1	XP_008198501.1
OG0003435	XP_001603997.1	XP_969028.1
OG0003436	XP_008217342.2	XP_015833550.1
OG0003437	XP_032456914.1, XP_031787382.1	XP_971616.1
OG0003438	XP_003426457.1	XP_015837111.1
OG0003439	XP_008215167.1	XP_967669.1
OG0003441	XP_031783384.1, XP_031783382.1, XP_031783385.1	XP_008192116.1
OG0003442	XP_031786717.1, XP_008210116.1	XP_001813222.2
OG0003444	XP_031778018.1	XP_972944.2
OG0003445	XP_001603193.2, XP_031783259.1, XP_031783260.1, XP_032453916.1	XP_008191608.1
OG0003446	XP_016837091.1	XP_008191716.1, NP_001034533.1
OG0003447	XP_003424583.1	XP_972185.1
OG0003448	XP_008210748.1	XP_968783.3
OG0003449	XP_031776669.1, XP_008216799.1	XP_008199221.1
OG0003450	XP_001600227.1	XP_975997.1
OG0003451	XP_008210372.1	NP_001164283.1, XP_008198999.1
OG0003452	XP_001604611.1	XP_972065.2
OG0003453	XP_001600949.1	XP_966562.1
OG0003454	NP_001153317.1	XP_969326.1
OG0003455	XP_001603352.1	XP_967436.1
OG0003456	XP_001599918.1	XP_967297.1
OG0003457	XP_031783417.1	XP_971915.1
OG0003458	XP_001605099.3, XP_016843767.1	XP_967192.2
OG0003459	XP_001606506.1	XP_975621.1
OG0003460	NP_001177680.1, NP_001177681.1, NP_001177679.1	XP_971025.2
OG0003461	XP_016841560.1	XP_008196927.2
OG0003462	XP_031786713.1, XP_031786712.1	XP_008196051.1
OG0003463	XP_008217787.1	NP_001153721.1
OG0003464	XP_001599732.2	XP_971685.1
OG0003465	XP_016842301.1, XP_008218131.1	XP_008197705.1
OG0003466	XP_003423892.1	XP_008198199.1
OG0003467	XP_032454489.1, XP_008213509.1, XP_008213508.1	XP_971784.1
OG0003468	XP_003424108.1	XP_974962.1
OG0003470	XP_031785314.1	XP_015834687.1
OG0003471	XP_001606370.1	XP_973735.1
OG0003472	XP_008208020.1	XP_968085.1
OG0003473	XP_001603735.1, XP_032456774.1	XP_008201210.1
OG0003474	XP_001604289.1	XP_969684.1
OG0003475	XP_016836743.1	XP_015839694.1
OG0003476	XP_031787014.1	XP_015839296.1, XP_015839299.1, XP_015839297.1
OG0003477	XP_001606644.2	XP_015833317.1, XP_975225.1
OG0003478	NP_001161245.1	XP_971851.1
OG0003479	XP_016838281.1, XP_001608074.2	XP_970344.2
OG0003480	XP_008213190.1	XP_973347.1
OG0003481	XP_001602033.3	XP_015835781.1
OG0003482	XP_008206391.1	XP_974350.1
OG0003483	XP_001607208.1	XP_975150.1
OG0003484	XP_031781718.1	XP_015838763.1
OG0003485	XP_001606752.1	XP_008197724.1
OG0003486	XP_031785060.1, XP_001601526.1	XP_974924.1
OG0003487	XP_001601422.2, XP_008216833.1	XP_973866.2
OG0003488	XP_032455534.1, XP_031785678.1	XP_971607.2
OG0003489	XP_008207605.3	XP_969874.1
OG0003490	XP_008213196.1, XP_008213197.1, XP_016844513.1	XP_015834660.1
OG0003491	XP_016845917.1	XP_015839807.1
OG0003492	XP_001603619.1	XP_008194887.1
OG0003493	XP_008205208.1, XP_001602461.2	XP_008196190.1
OG0003494	XP_016845528.1	XP_970578.1
OG0003495	XP_008206040.1	XP_973445.1
OG0003496	XP_001605585.1	XP_970303.1
OG0003497	XP_016839365.1, XP_016839364.1	XP_967550.1
OG0003498	XP_031784333.1, XP_032455716.1, XP_001601196.1	XP_008191163.1
OG0003499	XP_008207430.1	XP_968497.2
OG0003500	XP_016845591.1	XP_008190862.1, XP_968956.1
OG0003501	XP_001601626.1	XP_008192902.2
OG0003502	XP_031782821.1	XP_970521.1
OG0003503	XP_031778425.1	XP_008191516.2, XP_015840697.1
OG0003504	XP_016840248.1	XP_015835000.1
OG0003506	XP_008203801.2	XP_968980.1
OG0003507	NP_001128395.1	NP_001034538.1, XP_008195064.1
OG0003508	XP_001607183.1	XP_972877.1
OG0003510	XP_003423865.1	XP_015837770.1
OG0003511	NP_001153421.1, XP_031787438.1	XP_008195456.1
OG0003512	XP_001604407.2	XP_973569.2
OG0003513	XP_031788089.1, XP_031788057.1	XP_008191010.1
OG0003514	XP_016845576.1	XP_966918.1
OG0003515	XP_031784403.1, XP_031784402.1	XP_008190306.1
OG0003516	XP_001606215.1	XP_001808987.1
OG0003517	XP_031783413.1	XP_970071.1
OG0003518	XP_031787356.1	XP_972118.2
OG0003519	XP_031783548.1	XP_008192483.1
OG0003520	XP_016843257.1	XP_966993.2
OG0003521	XP_008201792.1	XP_973057.1, XP_008201589.1
OG0003522	XP_001603530.1	XP_001812550.1
OG0003523	XP_008216446.1, XP_008216445.1, XP_032453319.1	XP_008195146.1
OG0003524	XP_031784246.1	XP_008194241.1
OG0003525	XP_031778520.1	XP_008199510.2
OG0003526	XP_008202585.1	XP_008197506.1
OG0003527	XP_031783323.1	XP_015833512.1
OG0003528	XP_001604169.2	XP_008200525.1, XP_008200526.1
OG0003529	XP_001606994.1	XP_008196635.1
OG0003530	XP_016840860.1, XP_032454871.1	XP_974944.1
OG0003531	NP_001161182.1	XP_001814498.1
OG0003532	XP_008208296.1	XP_008197690.1, XP_008197691.1
OG0003533	XP_008206432.1	XP_001813387.1
OG0003534	XP_032456323.1	XP_015840564.1
OG0003535	XP_001599298.1	XP_970554.1
OG0003536	XP_032455043.1, XP_032455042.1, XP_031785690.1, XP_031785689.1	XP_008191826.1
OG0003537	XP_031780057.1	XP_008197469.1
OG0003538	XP_031784692.1, XP_008205604.1, XP_008205602.1, XP_001603565.1	XP_971862.1
OG0003539	XP_032456302.1, XP_008201811.1, XP_008201810.1	XP_970892.1
OG0003540	XP_031785670.1, XP_016840768.1	XP_015838085.1, XP_008190384.1
OG0003541	XP_001605928.2	XP_008200928.1
OG0003542	XP_001604514.1	XP_968817.1
OG0003543	XP_001606527.1	XP_974555.1
OG0003544	XP_001601780.1, XP_003425099.1	XP_975490.1
OG0003545	XP_016839924.1	XP_974369.1, NP_001107792.1
OG0003546	XP_016839621.2	XP_015834035.1
OG0003547	XP_016845143.1	XP_008196287.1
OG0003548	XP_016843603.1	XP_015835777.1
OG0003549	XP_032455347.1, XP_032455348.1, XP_001605383.2	XP_972796.1, XP_972842.1
OG0003550	XP_008217705.1	XP_008191653.2
OG0003551	XP_008216441.1, XP_032453324.1, XP_032453323.1, XP_001603466.2	XP_969418.2
OG0003552	XP_008213958.1	XP_001816051.2
OG0003553	XP_031788513.1	XP_966414.1, XP_015834040.1, XP_015834041.1
OG0003554	XP_001604509.1	XP_008191338.1
OG0003555	XP_031780576.1, XP_031780577.1	XP_969359.1
OG0003556	XP_031789464.1	XP_008197977.1
OG0003557	XP_001606774.1	XP_008194275.1
OG0003558	NP_001139382.1	XP_008200863.1, NP_001139383.1
OG0003559	XP_031787804.1	XP_015833739.1
OG0003560	XP_031780747.1	XP_008201481.1
OG0003561	XP_001608240.1	XP_966722.1
OG0003562	XP_032457342.1, XP_031778246.1, XP_008210242.1, XP_008210240.1, XP_008210241.1, XP_032457343.1, XP_016843969.1	XP_008197720.1
OG0003563	XP_001601655.2, XP_016840163.2	XP_008199095.1
OG0003564	XP_008217835.1, XP_031780762.1, XP_032452760.1, XP_032452759.1, XP_032452761.1	XP_974591.1
OG0003565	XP_016837936.1	XP_008195579.1
OG0003566	XP_003425578.1	XP_008197508.1
OG0003567	XP_016841642.1	XP_972971.1
OG0003568	XP_032456719.1	XP_008199840.1
OG0003569	XP_031786908.1, XP_031786914.1	XP_008200019.1, XP_008200021.1
OG0003570	XP_016842394.1	XP_970689.1
OG0003571	XP_001606689.1	XP_972466.1
OG0003572	XP_008209070.1, XP_008209071.1	XP_969549.2
OG0003573	XP_016840689.1, XP_032455636.1	XP_015839835.1
OG0003574	XP_031779724.1	XP_001813297.1
OG0003575	XP_031778981.1, XP_003424038.1	XP_970039.1
OG0003576	XP_001603566.1	XP_970591.1
OG0003577	XP_008209435.1	XP_008191870.1
OG0003578	XP_001600721.1	XP_967572.1
OG0003579	XP_032457733.1, XP_031782634.1	XP_008194949.2, XP_015836565.1
OG0003580	XP_001601313.1	XP_008198520.1
OG0003581	XP_031783353.1	XP_008201126.1
OG0003582	XP_008204887.1	XP_008200259.1
OG0003583	XP_001607092.1	XP_015837609.1
OG0003584	XP_032453115.1	XP_008197704.1, XP_008197703.1
OG0003585	XP_001605871.2	XP_001809489.2
OG0003587	XP_008206062.1	XP_968692.2
OG0003588	XP_031785536.1	XP_008192717.2, XP_966870.1
OG0003589	XP_016845558.1	XP_015835994.1
OG0003590	XP_008214159.1, XP_031780638.1, XP_031789023.1, XP_031789027.1, NP_001164407.1, XP_016841608.1	XP_008191146.1, XP_015840028.1, XP_015834829.1
OG0003591	XP_001603446.1	XP_966852.1
OG0003592	XP_016843466.1, XP_016843464.1	XP_008190560.1
OG0003593	XP_031786731.1	XP_008201260.2
OG0003596	XP_001601721.1, XP_032453867.1, XP_032453863.1	XP_008192521.1
OG0003597	XP_031781204.1, XP_031781209.1	XP_008199159.1
OG0003598	XP_031787334.1	XP_015834381.1, XP_015834358.1
OG0003599	XP_031786415.1	XP_008191160.1, XP_008191161.1, XP_001807381.1, XP_015833638.1
OG0003600	XP_008213320.2	XP_001814012.1
OG0003601	XP_001599843.1	XP_008200160.1
OG0003602	XP_001604641.1, XP_008211414.1	XP_975667.1
OG0003603	XP_001604062.2	XP_973896.2
OG0003604	XP_016842123.1	XP_008190706.2
OG0003605	XP_016841953.1	XP_015833448.1
OG0003606	XP_001601675.1	XP_974252.1
OG0003607	XP_008210721.1	XP_968511.2
OG0003608	XP_016838050.1, XP_008204324.1	NP_001153717.1, XP_008195553.1
OG0003609	XP_032456540.1	XP_974525.1
OG0003610	XP_032454947.1, XP_003424119.1	XP_008191498.2
OG0003611	XP_031783754.1	XP_008197892.1, XP_008197891.1, XP_008197888.1, XP_008197889.1, XP_008197890.1
OG0003612	XP_016845369.1	XP_015837280.1
OG0003613	XP_031778710.1	XP_015838584.1
OG0003614	NP_001161704.1, XP_032457098.1	XP_015839061.1
OG0003615	XP_016840844.1, XP_031785639.1	XP_015837963.1
OG0003617	XP_031783760.1	XP_015838318.1
OG0003618	XP_003425529.1	XP_969603.1
OG0003619	XP_008214801.1, XP_032455207.1	XP_008195521.2
OG0003620	XP_008203192.1	XP_015837557.1, XP_015837556.1, XP_015837555.1
OG0003622	XP_031776921.1	XP_015835258.1
OG0003623	XP_008213341.1	XP_008193820.1
OG0003624	XP_001602789.1	XP_008197990.1
OG0003625	XP_008210437.1	XP_015836260.1
OG0003626	XP_031787526.1	XP_001814885.2
OG0003627	XP_008211772.1	XP_975547.1, XP_015837353.1
OG0003628	XP_031777623.1	XP_015833795.1
OG0003629	XP_031788231.1	XP_015839804.1, XP_015839805.1, XP_015839803.1, XP_972357.1
OG0003630	XP_031788005.1, XP_031788013.1	XP_015838483.1
OG0003632	XP_016842903.1	NP_001280515.1
OG0003633	XP_008204988.2	XP_008194372.1
OG0003634	XP_031788053.1	XP_968761.1
OG0003635	XP_008204408.2	XP_015835053.1
OG0003637	XP_031782351.1, XP_016838743.1	XP_969960.1
OG0003638	XP_016842838.1	XP_008200898.1
OG0003639	XP_016843917.1	XP_015835594.1, XP_015835593.1, XP_015835596.1, XP_015835595.1, XP_969188.2, XP_015835592.1
OG0003640	XP_031787767.1	XP_015839248.1
OG0003641	XP_016841041.1	XP_015839097.1
OG0003642	XP_008212870.1	XP_008198362.1
OG0003643	XP_016840304.1, NP_001135424.1	XP_974513.1
OG0003644	XP_001601110.2, XP_031786979.1	XP_971690.1
OG0003645	XP_031777257.1	XP_015836973.1
OG0003646	XP_016836730.1, XP_016836726.1, XP_032452107.1	NP_001073624.1, XP_008192741.1
OG0003647	XP_008209641.3	XP_008201144.2
OG0003648	XP_008203431.1	XP_975120.1
OG0003649	XP_031783195.1, XP_001604943.1	XP_008190452.1
OG0003650	XP_032453400.1	XP_015839066.1
OG0003652	XP_016839387.1, XP_031778113.1, XP_031778114.1	XP_015837327.1
OG0003653	XP_001605902.2	XP_008201133.1, XP_008201132.1, XP_008201131.1
OG0003654	XP_016840172.2	XP_008192330.1, XP_015835030.1, XP_015835031.1
OG0003655	XP_001599554.4	XP_008196209.2
OG0003656	XP_001602711.2, XP_008216883.1, XP_032456016.1	XP_972851.1
OG0003657	XP_008205248.1	XP_967783.1
OG0003658	XP_001600147.1	XP_015838852.1
OG0003660	XP_031779510.1, XP_031787052.1, XP_001602043.2, XP_008206276.1, XP_031784909.1	XP_974248.2
OG0003661	XP_001604239.2	XP_008191219.1
OG0003662	XP_001608011.2	XP_008191788.1
OG0003664	XP_016837856.1, XP_001604982.1, XP_008217715.1, XP_032452962.1	XP_001811274.1
OG0003665	XP_008203602.2	XP_973359.1
OG0003666	XP_008205795.1	XP_001814402.1
OG0003667	XP_031778837.1	XP_008192927.1
OG0003669	XP_032457043.1, XP_031788778.1, XP_031788779.1, XP_032457044.1, XP_032457042.1	XP_967180.2
OG0003670	XP_001606597.1	XP_971706.1
OG0003671	XP_031778505.1, XP_032452920.1, XP_031778506.1	XP_008200590.1
OG0003672	XP_032455606.1	XP_008195407.1
OG0003673	XP_001601371.1, XP_008203420.1	XP_008192092.1, XP_015835049.1
OG0003674	XP_031784852.1	XP_008193661.1
OG0003675	XP_001604405.1	XP_969225.3
OG0003676	XP_001603136.1, XP_008208967.1	XP_968591.1
OG0003677	XP_008211629.1, XP_031784461.1	XP_973912.1
OG0003678	XP_031786381.1, XP_031783458.1	XP_008198169.1
OG0003680	XP_016837989.1	XP_015833438.1
OG0003681	XP_016839265.1, XP_016839264.1	XP_970085.1
OG0003682	XP_008208529.1, XP_031786616.1, XP_008208528.1, XP_001602138.1	XP_970044.2
OG0003683	XP_001606052.2	XP_968322.2
OG0003684	XP_003425585.1	XP_001812551.2
OG0003685	XP_003425569.1, NP_001154990.1, XP_031777739.1, NP_001155026.1	NP_001161783.1
OG0003686	XP_008204829.1	XP_008201118.1
OG0003687	XP_016839408.1, XP_016839409.1	XP_967964.1
OG0003688	XP_001602253.2, XP_031787393.1	XP_008200815.1, XP_008200816.1
OG0003690	XP_003428224.1	XP_008196048.2
OG0003691	XP_031781795.1, XP_031781797.1	XP_008191606.1
OG0003692	XP_001602329.2	XP_973458.1, XP_008192597.1
OG0003694	XP_031783708.1	NP_001104734.1
OG0003700	XP_032456747.1, XP_016841261.1	XP_008193466.1
OG0003706	XP_031780243.1, XP_001601519.3	XP_008193015.1
OG0003709	XP_008215767.1	XP_973974.1
OG0003710	XP_008212787.1, XP_001608006.1	XP_967704.1
OG0003711	NP_001177967.1, XP_031783900.1	XP_974658.1
OG0003712	XP_032455349.1, XP_001607606.1	XP_975936.1
OG0003713	XP_032453328.1	XP_966313.1, XP_008190429.1
OG0003714	XP_008213292.1, NP_001154933.1	XP_967826.1
OG0003715	XP_008210922.1	XP_008196247.1, XP_971390.1
OG0003716	XP_031787570.1, XP_031787573.1	XP_015838480.1
OG0003717	XP_016839650.1	XP_972883.1
OG0003718	XP_001603068.1	XP_008195096.1
OG0003719	XP_001606749.1	XP_971079.1
OG0003720	XP_016841764.1, XP_008202288.1	XP_015837881.1, XP_015837882.1
OG0003721	XP_001600543.1	XP_966517.1
OG0003722	XP_032453526.1, XP_001601099.1	XP_008199299.1
OG0003723	XP_008212951.1	XP_015836676.1
OG0003724	XP_001605817.1	NP_001034496.1
OG0003726	XP_001607950.1	XP_971148.1
OG0003727	XP_001604648.1	XP_971046.2
OG0003728	XP_032455840.1, XP_032455839.1, XP_016843542.1, XP_032455841.1	XP_971145.1
OG0003729	NP_001165817.1	XP_008195395.1, XP_008195396.1
OG0003730	XP_031779611.1	XP_015833603.1
OG0003731	NP_001136338.1, XP_032452207.1	XP_971296.1
OG0003732	XP_001605620.1	XP_001814293.1
OG0003734	XP_003426810.1	XP_973073.2
OG0003735	XP_001603196.1	XP_969459.1
OG0003736	XP_016837945.1, XP_008207768.1	XP_008196776.2
OG0003737	XP_001605527.1	XP_008199529.1, XP_966347.1
OG0003738	XP_031785779.1	XP_973035.1
OG0003739	XP_001605411.1	XP_967263.1
OG0003740	XP_001605472.1	XP_971155.1
OG0003741	XP_001599576.1, XP_032455086.1, XP_032455087.1, XP_032455085.1	XP_972645.1
OG0003742	XP_016840917.1	XP_970923.1
OG0003743	XP_001606968.1	XP_971918.2
OG0003744	XP_032455966.1, NP_001165784.1	NP_001164315.1
OG0003745	NP_001153403.1	XP_975087.1
OG0003746	XP_001599582.1	XP_970133.1
OG0003748	XP_003425664.1	NP_001107798.1, XP_015839662.1
OG0003749	XP_003425452.1	XP_970254.1
OG0003750	XP_031785797.1	XP_967824.1
OG0003751	NP_001128392.1	NP_001038093.1, XP_008193594.1
OG0003752	NP_001165811.1	NP_001164085.1, XP_008195258.1
OG0003754	XP_031779547.1	XP_015836702.1
OG0003755	XP_001605487.1	XP_967919.1
OG0003756	XP_001601418.1	XP_968405.1
OG0003757	XP_032456308.1	XP_968271.1
OG0003758	XP_031783741.1	XP_971436.1
OG0003759	XP_001600819.1	XP_008194469.1
OG0003760	XP_001601236.1	XP_015839092.1
OG0003761	XP_001601009.1, XP_003427438.1, XP_032456977.1	XP_966886.1, XP_015835099.1
OG0003762	XP_031788281.1	XP_974293.1
OG0003763	XP_003426274.1, XP_001602965.1, XP_008206041.1	XP_971695.1
OG0003764	XP_016837609.1, XP_001604540.1	XP_008197510.1, XP_975144.1
OG0003765	XP_001604071.1	XP_967519.1
OG0003766	XP_016839508.1, XP_032454577.1	XP_001814264.2
OG0003767	XP_031778143.1	XP_967936.1, XP_972909.1
OG0003768	XP_001604061.2	XP_969121.2
OG0003769	XP_001607961.1	XP_015833490.1
OG0003770	XP_031783415.1	XP_974119.1
OG0003771	XP_031780016.1, XP_008209166.1	XP_971558.1
OG0003772	XP_031780634.1	XP_008193987.2
OG0003773	NP_001123227.2, XP_032452231.1	XP_008193663.1
OG0003774	XP_008206451.1	XP_008195033.1
OG0003776	XP_016842149.1, NP_001122572.1	XP_008198197.1
OG0003777	XP_001604266.2	XP_008194045.1
OG0003778	XP_008213457.1	XP_975075.1
OG0003779	NP_001193394.1	NP_001193392.1
OG0003780	XP_001601189.1	XP_970884.1
OG0003781	XP_031777711.1	XP_967272.1
OG0003782	NP_001165798.1, XP_031776863.1	XP_975169.1
OG0003783	XP_003424590.1	XP_008201233.2, NP_001280497.1
OG0003784	XP_031784916.1, XP_031784915.1	XP_001812198.1
OG0003785	XP_001601340.1	XP_966504.1
OG0003786	XP_016840948.1	XP_966803.1
OG0003787	XP_031787275.1, XP_031787276.1, XP_001600639.1	XP_969863.1
OG0003788	XP_001607821.1	XP_008192173.1, XP_001813051.2
OG0003789	XP_001601517.1	XP_972384.1
OG0003790	XP_001603914.1	XP_976168.1
OG0003791	XP_008213933.1	XP_008191487.1
OG0003792	XP_001605413.2	XP_974895.2
OG0003793	XP_001602925.1	XP_974264.1
OG0003794	NP_001153353.1	XP_975256.1
OG0003795	XP_032456539.1	XP_974439.3
