Orthogroup	Megachile_rotundata	Dufourea_novaeangliae
OG0004778	XP_003701399.1	XP_015437952.1
OG0004779	XP_012153502.1	XP_015433104.1
OG0004780	XP_012146941.1	XP_015433223.1
OG0004781	XP_012143955.1, XP_012143956.1	XP_015439307.1
OG0004782	XP_012143952.1	XP_015439435.1
OG0004783	XP_012136308.1	XP_015439436.1
OG0004784	XP_012136297.1	XP_015433167.1, XP_015433168.1
OG0004785	XP_003706711.1	XP_015434821.1
OG0004786	XP_012154155.1	XP_015430383.1
OG0004788	XP_003700733.2	XP_015434701.1
OG0004789	XP_012143785.1	XP_015437549.1
OG0004790	XP_012148282.1	XP_015438173.1
OG0004791	XP_003702019.1	XP_015434455.1
OG0004792	XP_012137865.1	XP_015434487.1
OG0004793	XP_012151707.1	XP_015435262.1
OG0004794	XP_003699827.2	XP_015438949.1
OG0004795	XP_003708476.1	XP_015429966.1
OG0004796	XP_012153096.1	XP_015436012.1
OG0004797	XP_003708064.1	XP_015429825.1
OG0004798	XP_003705768.1	XP_015436268.1
OG0004799	XP_012148326.1	XP_015429943.1
OG0004800	XP_003705639.2	XP_015436496.1
OG0004801	XP_003703810.2	XP_015433010.1
OG0004802	XP_003700241.1	XP_015428556.1
OG0004803	XP_012152302.1	XP_015431558.1, XP_015436456.1
OG0004804	XP_012136698.1	XP_015431616.1
OG0004805	XP_012136733.1	XP_015431494.1
OG0004806	XP_012135232.1	XP_015432489.1
OG0004807	XP_012138396.1	XP_015432509.1, XP_015438134.1
OG0004808	XP_012135120.1	XP_015433055.1
OG0004810	XP_003701494.1	XP_015433989.1
OG0004811	XP_003701824.1	XP_015429467.1
OG0004813	XP_012136553.1	XP_015437273.1
OG0004814	XP_003701463.1	XP_015434966.1
OG0004815	XP_012135162.1	XP_015429014.1
OG0004816	XP_003701607.1	XP_015428985.1
OG0004817	XP_012136771.1	XP_015428987.1
OG0004818	XP_003702368.1	XP_015429747.1
OG0004819	XP_012136787.1	XP_015434958.1
OG0004820	XP_012138288.1	XP_015435057.1
OG0004821	XP_012138317.1	XP_015434964.1
OG0004822	XP_012145337.1, XP_012145333.1	XP_015430145.1
OG0004823	XP_003706777.1, XP_012148712.1, XP_012148714.1	XP_015429132.1
OG0004824	XP_012147304.1	XP_015435828.1
OG0004825	XP_012145027.1	XP_015434294.1
OG0004826	XP_012141811.1, XP_012141812.1	XP_015429277.1
OG0004827	XP_003704016.1	XP_015431545.1
OG0004828	XP_012149295.1	XP_015438487.1
OG0004829	XP_012147189.1	XP_015431541.1
OG0004830	XP_012152342.1	XP_015435780.1
OG0004831	XP_012142353.1	XP_015439282.1
OG0004832	XP_012146577.1	XP_015431462.1
OG0004833	XP_012143407.1	XP_015435075.1, XP_015435074.1
OG0004834	XP_012152166.1	XP_015429341.1
OG0004835	XP_012152255.1	XP_015429334.1
OG0004836	XP_012152188.1	XP_015429351.1
OG0004837	XP_012136888.1	XP_015432578.1
OG0004838	XP_012145022.1	XP_015434326.1
OG0004839	XP_012136922.1	XP_015434270.1
OG0004840	XP_012146553.1	XP_015438040.1, XP_015428764.1
OG0004841	XP_012146208.1	XP_015433657.1
OG0004842	XP_012143749.1	XP_015434155.1
OG0004843	XP_012147225.1	XP_015434275.1
OG0004844	XP_012134978.1	XP_015431627.1
OG0004845	XP_012142075.1	XP_015430833.1
OG0004846	XP_003699434.1	XP_015430620.1
OG0004847	XP_012141978.1	XP_015438309.1
OG0004848	XP_012143166.1	XP_015440322.1
OG0004849	XP_012139916.1, XP_012139917.1	XP_015439217.1
OG0004850	XP_012152860.1	XP_015438091.1
OG0004851	XP_003703962.2, XP_012142134.1	XP_015431779.1, XP_015431650.1, XP_015431773.1, XP_015431770.1
OG0004852	XP_012152943.1, XP_003708397.1	XP_015430743.1
OG0004853	XP_012152753.1	XP_015436912.1
OG0004854	XP_012143349.1	XP_015434400.1
OG0004855	XP_003706209.1	XP_015430745.1
OG0004856	XP_012136882.1	XP_015436915.1
OG0004857	XP_012137356.1	XP_015431695.1
OG0004858	XP_012135002.1	XP_015430627.1
OG0004859	XP_003703919.1	XP_015430742.1
OG0004860	XP_012139793.1	XP_015434356.1
OG0004861	XP_012147620.1	XP_015431668.1
OG0004862	XP_012147839.1	XP_015429195.1
OG0004863	XP_012150068.1	XP_015440214.1
OG0004864	XP_012139117.1	XP_015440275.1
OG0004865	XP_012150007.1	XP_015439697.1
OG0004866	XP_012142418.1	XP_015432702.1
OG0004867	XP_003700369.1	XP_015439804.1
OG0004868	XP_003705200.1	XP_015433291.1
OG0004869	XP_003705199.1	XP_015433356.1
OG0004870	XP_012145146.1	XP_015433370.1
OG0004871	XP_012145511.1	XP_015428452.1
OG0004873	XP_003701877.1	XP_015439743.1
OG0004874	XP_012151813.1	XP_015435470.1
OG0004875	XP_003701725.1	XP_015435653.1
OG0004876	XP_003707313.1	XP_015439909.1
OG0004877	XP_012150210.1	XP_015439778.1
OG0004878	XP_012149948.1, XP_012149945.1	XP_015439711.1
OG0004879	XP_012153958.1	XP_015439726.1
OG0004880	XP_012144997.1, XP_012144994.1	XP_015440244.1
OG0004881	XP_003707317.1	XP_015439775.1
OG0004882	XP_003700400.1	XP_015439653.1
OG0004883	XP_012149958.1	XP_015440097.1
OG0004884	XP_012150337.1	XP_015440063.1
OG0004885	XP_012145096.1, XP_012145097.1	XP_015439650.1
OG0004887	XP_003707351.1	XP_015433374.1
OG0004888	XP_003702653.2	XP_015439649.1
OG0004889	XP_012145622.1	XP_015439793.1
OG0004890	XP_003707436.1, XP_012150189.1	XP_015439667.1
OG0004891	XP_012143548.1, XP_012143550.1	XP_015429683.1
OG0004892	XP_012140846.1	XP_015431164.1
OG0004893	XP_012139051.1	XP_015433987.1
OG0004894	XP_012140621.1	XP_015437218.1
OG0004895	XP_012140522.1	XP_015438795.1
OG0004896	XP_012139010.1, XP_003702609.2	XP_015437001.1
OG0004897	XP_003703302.1	XP_015432027.1
OG0004898	XP_003706656.1	XP_015438746.1
OG0004899	XP_003701745.1	XP_015432032.1
OG0004900	XP_012138613.1	XP_015432543.1
OG0004901	XP_012140585.1	XP_015440355.1
OG0004902	XP_003705466.1	XP_015431007.1
OG0004903	XP_012140759.1	XP_015431990.1
OG0004904	XP_003706437.1	XP_015430412.1
OG0004905	XP_003705616.2	XP_015429709.1
OG0004906	XP_012140095.1, XP_012140094.1	XP_015437564.1
OG0004907	XP_012151848.1	XP_015438270.1
OG0004908	XP_012140614.1	XP_015440352.1
OG0004910	XP_003705876.1	XP_015436786.1
OG0004911	XP_012136994.1	XP_015430373.1
OG0004912	XP_003702415.2, XP_012138593.1	XP_015436705.1
OG0004913	XP_003702427.1	XP_015436727.1
OG0004914	XP_012143827.1	XP_015429835.1
OG0004915	XP_003702429.1	XP_015431082.1
OG0004916	XP_003705895.2	XP_015431964.1
OG0004917	XP_012137207.1	XP_015440297.1
OG0004918	XP_012138974.1	XP_015435661.1
OG0004919	XP_012144083.1	XP_015434469.1
OG0004920	XP_003705309.1	XP_015434735.1
OG0004921	XP_012141575.1	XP_015435080.1
OG0004922	XP_003702135.1	XP_015434412.1
OG0004923	XP_012143868.1	XP_015429947.1
OG0004924	XP_012145283.1	XP_015435679.1
OG0004925	XP_012144103.1	XP_015434425.1
OG0004926	XP_012145676.1	XP_015434387.1
OG0004928	XP_012140178.1, XP_012140171.1	XP_015438243.1
OG0004929	XP_012143669.1	XP_015434549.1
OG0004930	XP_012144046.1	XP_015434460.1
OG0004931	XP_003701191.1	XP_015430426.1, XP_015428861.1
OG0004932	XP_012145894.1	XP_015428690.1
OG0004933	XP_003706407.1	XP_015430086.1
OG0004934	XP_012141261.1	XP_015435953.1
OG0004935	XP_012139277.1	XP_015437261.1
OG0004936	XP_012147802.1	XP_015438335.1
OG0004937	XP_003705127.2	XP_015433492.1
OG0004938	XP_003705083.1	XP_015433525.1
OG0004939	XP_012141553.1	XP_015429183.1
OG0004941	XP_012141213.1	XP_015429191.1
OG0004942	XP_012135846.1	XP_015437462.1
OG0004943	XP_003701134.1	XP_015437491.1
OG0004944	XP_012141152.1	XP_015429505.1
OG0004945	XP_003703583.1, XP_012140982.1	XP_015438049.1
OG0004946	XP_003704552.1	XP_015433743.1
OG0004947	XP_012143496.1	XP_015440409.1
OG0004948	XP_012147127.1, XP_012147128.1	XP_015430266.1
OG0004949	XP_012140879.1	XP_015435112.1
OG0004950	XP_012147126.1	XP_015429454.1
OG0004951	XP_012143283.1, XP_012143282.1	XP_015431022.1
OG0004952	XP_012141224.1	XP_015429588.1
OG0004953	XP_012148150.1, XP_012148149.1	XP_015429517.1
OG0004954	XP_012138860.1	XP_015430546.1
OG0004955	XP_012143489.1	XP_015435309.1
OG0004956	XP_012135812.1	XP_015437461.1
OG0004957	XP_003703566.1	XP_015435104.1
OG0004958	XP_012148156.1	XP_015429625.1
OG0004959	XP_012135538.1	XP_015428820.1
OG0004960	XP_012135915.1	XP_015430575.1
OG0004961	XP_012140996.1	XP_015435145.1
OG0004962	XP_003702501.1	XP_015430532.1
OG0004963	XP_003701118.1	XP_015433848.1
OG0004964	XP_012135754.1	XP_015433277.1
OG0004965	XP_003703708.1	XP_015429278.1
OG0004966	XP_012152248.1	XP_015439492.1
OG0004967	XP_012140394.1	XP_015436037.1
OG0004968	XP_003699596.1	XP_015436379.1
OG0004969	XP_012137145.1	XP_015429391.1
OG0004970	XP_012137141.1	XP_015429404.1
OG0004971	XP_012144240.1, XP_012144244.1	XP_015431103.1
OG0004974	XP_003707507.1	XP_015433716.1, XP_015430946.1
OG0004975	XP_012150237.1	XP_015439523.1
OG0004976	XP_003707630.1, XP_012150620.1	XP_015436234.1
OG0004977	XP_003704831.1	XP_015436240.1, XP_015436242.1
OG0004978	XP_012152226.1	XP_015439544.1
OG0004979	XP_012149769.1	XP_015436338.1
OG0004980	XP_012146077.1	XP_015434225.1
OG0004981	XP_012151441.1	XP_015432851.1
OG0004982	XP_003704883.1	XP_015431055.1
OG0004983	XP_012154012.1	XP_015440111.1
OG0004984	XP_012150601.1, XP_012150603.1	XP_015436233.1
OG0004985	XP_003706054.1	XP_015430105.1
OG0004986	XP_003707549.1	XP_015436414.1
OG0004987	XP_012135999.1	XP_015431179.1
OG0004988	XP_003704499.1	XP_015431137.1
OG0004989	XP_003699704.1	XP_015431354.1
OG0004990	XP_003706694.1	XP_015438523.1
OG0004991	XP_012135420.1	XP_015438887.1
OG0004992	XP_012149172.1	XP_015431251.1
OG0004993	XP_012149427.1	XP_015428898.1
OG0004994	XP_012142792.1	XP_015438452.1
OG0004995	XP_012149348.1	XP_015438595.1
OG0004996	XP_012149185.1	XP_015431304.1
OG0004997	XP_012149170.1, XP_003707028.1	XP_015438376.1
OG0004998	XP_003704605.1	XP_015431405.1
OG0004999	XP_003707019.2	XP_015431383.1
OG0005000	XP_012149214.1	XP_015431263.1
OG0005001	XP_012152179.1	XP_015435904.1
OG0005003	XP_003699724.2	XP_015438341.1
OG0005005	XP_012138544.1	XP_015439569.1
OG0005006	XP_003701078.2	XP_015430593.1
OG0005007	XP_012137029.1	XP_015438397.1
OG0005008	XP_012149033.1	XP_015438582.1
OG0005009	XP_012140035.1	XP_015437142.1
OG0005010	XP_012134782.1	XP_015438884.1
OG0005011	XP_003705295.1, XP_012145307.1	XP_015428716.1
OG0005012	XP_012153184.1	XP_015429805.1
OG0005013	XP_012146478.1	XP_015437033.1
OG0005014	XP_012140339.1	XP_015436829.1
OG0005015	XP_003705296.2	XP_015428752.1
OG0005016	XP_012153869.1	XP_015437801.1
OG0005017	XP_003700328.1	XP_015437910.1, XP_015437909.1
OG0005018	XP_012153067.1, XP_003708489.1	XP_015437027.1
OG0005019	XP_003708534.1	XP_015437389.1
OG0005020	XP_003699310.1	XP_015440427.1
OG0005021	XP_003700585.1	XP_015435553.1
OG0005022	XP_012143722.1	XP_015435479.1
OG0005023	XP_003705294.1	XP_015428680.1
OG0005024	XP_012142553.1	XP_015433803.1
OG0005025	XP_012145326.1	XP_015428771.1
OG0005026	XP_012145362.1	XP_015440294.1
OG0005027	XP_012154542.1	XP_015437780.1
OG0005028	XP_003699234.1	XP_015437417.1
OG0005029	XP_003699316.2	XP_015435538.1
OG0005030	XP_012148191.1	XP_015428730.1
OG0005031	XP_012144354.1	XP_015432105.1
OG0005032	XP_012136204.1	XP_015430127.1
OG0005033	XP_003701355.1	XP_015431903.1
OG0005034	XP_012144425.1	XP_015432098.1
OG0005035	XP_012152425.1	XP_015432124.1
OG0005036	XP_003708246.1	XP_015432243.1
OG0005037	XP_012142528.1	XP_015428431.1
OG0005038	XP_012153103.1	XP_015438707.1
OG0005040	XP_012136055.1	XP_015434595.1
OG0005041	XP_003704910.1	XP_015432151.1
OG0005042	XP_003704195.1	XP_015432370.1
OG0005043	XP_012145252.1	XP_015436656.1
OG0005044	XP_003704199.1	XP_015432348.1
OG0005045	XP_003703237.1	XP_015433602.1
OG0005046	XP_003703207.1, XP_012140381.1	XP_015433619.1
OG0005047	XP_012152650.1	XP_015436474.1
OG0005048	XP_003705031.1, XP_012144662.1	XP_015432809.1
OG0005049	XP_012139375.1	XP_015430219.1
OG0005050	XP_012145153.1	XP_015434188.1
OG0005051	XP_012139416.1	XP_015434117.1
OG0005052	XP_012139481.1	XP_015434096.1
OG0005053	XP_012147708.1	XP_015438977.1
OG0005054	XP_012139692.1	XP_015439202.1
OG0005055	XP_003702849.1	XP_015439092.1
OG0005056	XP_012137465.1	XP_015437420.1
OG0005057	XP_012152634.1, XP_003708278.1	XP_015439223.1
OG0005058	XP_012142103.1, XP_003699641.1	XP_015435623.1
OG0005059	XP_012147986.1	XP_015430091.1
OG0005060	XP_003701393.2	XP_015435601.1
OG0005061	XP_012136269.1	XP_015434794.1
OG0005062	XP_012147777.1, XP_012147749.1	XP_015428673.1
OG0005063	XP_012143945.1	XP_015439372.1
OG0005064	XP_003704774.1	XP_015439337.1
OG0005065	XP_012141507.1	XP_015439402.1
OG0005066	XP_003699684.2	XP_015434785.1
OG0005067	XP_003708598.1	XP_015435600.1
OG0005068	XP_012153355.1	XP_015439345.1
OG0005069	XP_003701385.1	XP_015435762.1
OG0005070	XP_003699631.1	XP_015434893.1
OG0005071	XP_012140762.1	XP_015437936.1
OG0005072	XP_012140784.1	XP_015437999.1
OG0005073	XP_012146873.1	XP_015432500.1
OG0005075	XP_012146768.1	XP_015435614.1
OG0005076	XP_003701398.1	XP_015437941.1
OG0005077	XP_012148569.1	XP_015434822.1
OG0005078	XP_003708545.1	XP_015434896.1
OG0005079	XP_012146970.1	XP_015434874.1
OG0005080	XP_012145483.1	XP_015428436.1
OG0005081	XP_003700436.1	XP_015428447.1
OG0005082	XP_003705400.1	XP_015432753.1
OG0005083	XP_012145487.1	XP_015428419.1
OG0005084	XP_012144544.1	XP_015434707.1
OG0005085	XP_003700331.2, XP_012153931.1	XP_015430142.1
OG0005086	XP_012143774.1	XP_015438679.1
OG0005087	XP_012145477.1	XP_015432667.1
OG0005088	XP_012154123.1	XP_015430370.1
OG0005089	XP_003700542.1	XP_015430258.1
OG0005090	XP_012144529.1	XP_015438917.1
OG0005091	XP_012142571.1	XP_015434402.1
OG0005092	XP_003703930.1	XP_015431735.1
OG0005094	XP_003707182.1	XP_015434059.1
OG0005095	XP_003707191.1	XP_015434668.1
OG0005096	XP_003706554.2	XP_015429656.1
OG0005097	XP_012144645.1	XP_015432865.1
OG0005098	XP_012144641.1	XP_015432953.1
OG0005099	XP_012141724.1	XP_015435363.1
OG0005100	XP_012147140.1	XP_015430080.1
OG0005102	XP_003700317.1	XP_015434380.1
OG0005104	XP_012151901.1, XP_012151899.1	XP_015436253.1
OG0005105	XP_012147038.1	XP_015429689.1
OG0005106	XP_012141885.1	XP_015429228.1
OG0005107	XP_012153798.1	XP_015429734.1
OG0005108	XP_012146602.1	XP_015433570.1
OG0005110	XP_003701577.2	XP_015434947.1
OG0005111	XP_003702321.1	XP_015431542.1
OG0005112	XP_012140005.1	XP_015429120.1
OG0005113	XP_012136746.1	XP_015431482.1
OG0005114	XP_003700897.1	XP_015431868.1
OG0005115	XP_012136439.1	XP_015435065.1
OG0005116	XP_012138468.1, XP_003699498.1	XP_015438570.1
OG0005117	XP_012149244.1	XP_015437642.1
OG0005118	XP_003700553.1	XP_015438841.1
OG0005119	XP_012146371.1	XP_015437046.1
OG0005120	XP_012138144.1	XP_015429829.1
OG0005121	XP_012145280.1	XP_015439296.1
OG0005122	XP_012145974.1, XP_003705575.1	XP_015435567.1
OG0005123	XP_003703212.2	XP_015433617.1
OG0005124	XP_003708084.1	XP_015434113.1
OG0005125	XP_003701427.1	XP_015437942.1
OG0005126	XP_003702202.1, XP_012138163.1	XP_015429930.1
OG0005127	XP_012148457.1	XP_015432918.1
OG0005128	XP_003706365.1	XP_015430102.1
OG0005129	XP_012146078.1	XP_015434809.1, XP_015434214.1
OG0005130	XP_003705596.1	XP_015434706.1
OG0005131	XP_012141801.1, XP_003703766.1	XP_015430203.1
OG0005132	XP_012136418.1	XP_015435063.1
OG0005133	XP_003701521.1	XP_015429083.1
OG0005134	XP_003701712.1	XP_015429773.1
OG0005135	XP_012136936.1	XP_015434311.1
OG0005136	XP_003699462.1	XP_015436890.1, XP_015436892.1
OG0005137	XP_003708410.1	XP_015430721.1
OG0005138	XP_012152878.1	XP_015431720.1
OG0005139	XP_012153971.1	XP_015439858.1
OG0005140	XP_003701905.1	XP_015439891.1
OG0005141	XP_003705197.1	XP_015439928.1
OG0005142	XP_012139391.1, XP_012139406.1, XP_012139398.1	XP_015431911.1
OG0005143	XP_003704105.1	XP_015432660.1
OG0005144	XP_003707466.1	XP_015439695.1
OG0005145	XP_012140167.1	XP_015437488.1
OG0005146	XP_003706596.1	XP_015438021.1
OG0005147	XP_003703499.1, XP_012141307.1	XP_015435992.1
OG0005148	XP_012135922.1	XP_015430476.1
OG0005149	XP_003700165.1	XP_015436075.1
OG0005151	XP_003699437.1	XP_015439609.1
OG0005152	XP_003703769.1	XP_015436839.1
OG0005153	XP_003706089.1	XP_015434293.1
OG0005154	XP_003708627.2	XP_015432491.1
OG0005155	XP_003704970.1	XP_015432225.1
OG0005156	XP_003707577.1	XP_015436270.1
OG0005157	XP_003701193.1	XP_015430945.1
OG0005158	XP_003702489.1	XP_015430548.1, XP_015430547.1
OG0005159	XP_003704054.1	XP_015435879.1
OG0005160	XP_003702713.1	XP_015431120.1
OG0005161	XP_003706268.1	XP_015431721.1
OG0005162	XP_003704042.1	XP_015431554.1
OG0005163	XP_003704766.1	XP_015430185.1, XP_015434308.1
OG0005164	XP_003702495.1	XP_015430453.1
OG0005165	XP_012144420.1	XP_015437561.1
OG0005166	XP_003704784.1	XP_015434542.1
OG0005167	XP_003708532.1	XP_015437671.1
OG0005168	XP_003703762.1	XP_015430113.1
OG0005169	XP_003706454.1	XP_015428758.1
OG0005170	XP_012135941.1, XP_012135940.1	XP_015433510.1
OG0005171	XP_003699588.1	XP_015436330.1
OG0005172	XP_003703894.2	XP_015437579.1
OG0005173	XP_003701967.1	XP_015431897.1
OG0005174	XP_003707868.1	XP_015432928.1
OG0005175	XP_003703106.1	XP_015437808.1
OG0005176	XP_003704624.1, XP_012143709.1	XP_015434503.1
OG0005177	XP_012139133.1	XP_015440119.1
OG0005178	XP_003706875.1	XP_015433416.1
OG0005179	XP_003699544.1	XP_015439498.1
OG0005180	XP_003704793.1	XP_015435222.1
OG0005181	XP_003704792.1	XP_015435859.1
OG0005182	XP_003700687.1	XP_015431912.1
OG0005184	XP_003702478.1	XP_015430953.1
OG0005185	XP_003704073.1	XP_015435853.1
OG0005186	XP_012145699.1	XP_015431463.1
OG0005187	XP_003699931.1	XP_015433695.1
OG0005188	XP_003707470.1	XP_015440035.1
OG0005189	XP_003704231.1	XP_015438029.1
OG0005190	XP_012143567.1, XP_003704599.1	XP_015431264.1
OG0005191	XP_012135419.1	XP_015440425.1
OG0005192	XP_003706939.1	XP_015437633.1
OG0005193	XP_003699722.1	XP_015428891.1
OG0005194	XP_003706795.1	XP_015431338.1
OG0005195	XP_003707755.2	XP_015440485.1
OG0005196	XP_003699960.1	XP_015440508.1
OG0005197	XP_003706722.1	XP_015437945.1
OG0005198	XP_003700190.1	XP_015438714.1
OG0005199	XP_003707161.1	XP_015434615.1
OG0005200	XP_003701280.1	XP_015432206.1
OG0005201	XP_003704192.1	XP_015428661.1, XP_015428660.1
OG0005202	XP_003703154.1	XP_015428573.1
OG0005203	XP_012143022.1	XP_015428590.1
OG0005204	XP_003703174.1	XP_015436855.1
OG0005205	XP_003703176.1	XP_015437436.1
OG0005206	XP_012151969.1	XP_015434069.1
OG0005207	XP_003702792.1, XP_012139662.1	XP_015439112.1
OG0005208	XP_003702821.1	XP_015439185.1
OG0005209	XP_003702825.1	XP_015438968.1
OG0005210	XP_003702781.1	XP_015439263.1
OG0005211	XP_012139434.1	XP_015434057.1
OG0005212	XP_003703792.2	XP_015432977.1
OG0005213	XP_003701539.1	XP_015433983.1
OG0005214	XP_003702222.1	XP_015435045.1
OG0005215	XP_012135207.1	XP_015439617.1
OG0005216	XP_012145028.1	XP_015434269.1
OG0005217	XP_003706522.2	XP_015431455.1
OG0005218	XP_012142486.1	XP_015432659.1
OG0005219	XP_003703292.1	XP_015440387.1
OG0005220	XP_003705835.1	XP_015432035.1
OG0005221	XP_012137896.1	XP_015429417.1
OG0005222	XP_003704480.1	XP_015437883.1
OG0005223	XP_012141214.1	XP_015429258.1
OG0005224	XP_012151835.1	XP_015428810.1
OG0005225	XP_003705093.1	XP_015433491.1
OG0005226	XP_003699933.1	XP_015433711.1
OG0005227	XP_012146509.1, XP_003705789.1	XP_015432536.1
OG0005228	XP_003706071.1	XP_015434374.1
OG0005229	XP_012138786.1	XP_015430940.1
OG0005230	XP_003707949.1	XP_015432853.1
OG0005231	XP_003699899.1	XP_015431556.1
OG0005232	XP_012134819.1	XP_015438644.1
OG0005233	XP_003702677.1	XP_015440113.1
OG0005234	XP_012137778.1	XP_015440410.1
OG0005235	XP_012135362.1	XP_015433865.1
OG0005236	XP_003705647.1	XP_015429929.1
OG0005237	XP_012154087.1, XP_003700438.1	XP_015430271.1
OG0005238	XP_012141432.1	XP_015429604.1
OG0005239	XP_012134724.1, XP_003700653.1	XP_015430065.1
OG0005240	XP_012152929.1, XP_012152928.1	XP_015436899.1
OG0005241	XP_003704573.1	XP_015434660.1
OG0005242	XP_012150510.1	XP_015430928.1
OG0005243	XP_003701112.1	XP_015433609.1
OG0005244	XP_003707356.1, XP_012150321.1	XP_015439638.1
OG0005245	XP_003699200.1	XP_015437653.1
OG0005246	XP_003700664.1, XP_012134781.1	XP_015438652.1
OG0005247	XP_003703373.1	XP_015436785.1
OG0005248	XP_012140998.1	XP_015429202.1
OG0005249	XP_003702115.1	XP_015433849.1
OG0005250	XP_003702260.1	XP_015431899.1
OG0005251	XP_003701820.1	XP_015431861.1, XP_015431860.1
OG0005252	XP_003705592.1	XP_015429746.1
OG0005253	XP_003701518.1, XP_012136762.1	XP_015432108.1
OG0005254	XP_003700455.1	XP_015430344.1
OG0005255	XP_003700527.1	XP_015430354.1
OG0005256	XP_003704842.1	XP_015436103.1
OG0005257	XP_003708008.1	XP_015435301.1
OG0005258	XP_012147738.1, XP_003706341.1	XP_015428802.1
OG0005259	XP_003707368.1	XP_015439984.1
OG0005260	XP_003703034.1	XP_015431689.1
OG0005261	XP_003701470.1	XP_015435033.1
OG0005262	XP_012144912.1	XP_015433476.1
OG0005263	XP_003705329.1	XP_015428783.1
OG0005264	XP_012137002.1, XP_003701722.1	XP_015431930.1
OG0005265	XP_003705099.1, XP_012144873.1	XP_015437483.1
OG0005266	XP_012143210.1, XP_003704458.1	XP_015433565.1
OG0005267	XP_003705146.1	XP_015433240.1
OG0005268	XP_003702631.1	XP_015433397.1, XP_015433398.1
OG0005269	XP_003704464.2	XP_015431018.1
OG0005270	XP_012137964.1	XP_015438214.1
OG0005271	XP_003703262.1	XP_015437154.1
OG0005272	XP_003705905.1	XP_015435631.1
OG0005273	XP_003706992.1	XP_015428889.1
OG0005274	XP_012152287.1	XP_015433663.1
OG0005275	XP_003703026.1	XP_015431655.1
OG0005276	XP_003707029.1	XP_015431402.1
OG0005277	XP_003704547.1	XP_015436382.1
OG0005278	XP_003702083.1	XP_015433864.1
OG0005279	XP_003699595.1	XP_015436038.1
OG0005280	XP_012141494.1	XP_015429285.1
OG0005281	XP_012138627.1	XP_015438155.1, XP_015436606.1
OG0005282	XP_003706131.1	XP_015435861.1
OG0005283	XP_012148919.1	XP_015438593.1
OG0005284	XP_003701780.1	XP_015436555.1
OG0005285	XP_003703249.1	XP_015437200.1
OG0005286	XP_012147443.1, XP_003706192.1	XP_015430786.1
OG0005287	XP_003702463.1	XP_015436518.1
OG0005288	XP_003702697.1	XP_015431110.1
OG0005289	XP_003701897.2	XP_015433241.1
OG0005290	XP_003700572.1	XP_015437738.1
OG0005291	XP_003703507.1	XP_015429500.1
OG0005292	XP_003703263.1	XP_015437204.1
OG0005293	XP_003699592.1	XP_015436301.1
OG0005294	XP_003700864.1	XP_015429055.1
OG0005295	XP_003701759.1	XP_015431970.1
OG0005296	XP_003702617.1	XP_015438150.1, XP_015438149.1
OG0005297	XP_003703058.1	XP_015435264.1
OG0005298	XP_012143767.1	XP_015433420.1
OG0005299	XP_012151303.1	XP_015440519.1
OG0005300	XP_003701876.1	XP_015439950.1
OG0005301	XP_003699559.2	XP_015439840.1
OG0005302	XP_003699863.1	XP_015433674.1, XP_015433673.1
OG0005303	XP_003704148.1	XP_015439373.1, XP_015439374.1
OG0005304	XP_003707457.1	XP_015433267.1
OG0005305	XP_012137534.1	XP_015430131.1
OG0005306	XP_003708174.1	XP_015435901.1
OG0005307	XP_003707888.1	XP_015432968.1
OG0005308	XP_003700533.1	XP_015430257.1
OG0005309	XP_003701040.1	XP_015438416.1
OG0005310	XP_003701153.1	XP_015430934.1
OG0005311	XP_003700188.1	XP_015438615.1
OG0005312	XP_003702985.2	XP_015439119.1
OG0005313	XP_003704031.2	XP_015434875.1
OG0005314	XP_003706543.1	XP_015429251.1
OG0005315	XP_012134814.1	XP_015438665.1
OG0005316	XP_003704443.1	XP_015428767.1
OG0005317	XP_003705785.1	XP_015436498.1
OG0005318	XP_003705183.1	XP_015433340.1
OG0005319	XP_003705680.1, XP_012146276.1	XP_015438016.1
OG0005320	XP_012154539.1	XP_015437351.1
OG0005321	XP_012140679.1	XP_015436793.1
OG0005322	XP_012153632.1	XP_015439977.1
OG0005323	XP_003705991.1	XP_015432469.1
OG0005324	XP_012150929.1	XP_015438860.1, XP_015438861.1
OG0005325	XP_012150120.1	XP_015439843.1, XP_015439844.1
OG0005326	XP_003699392.1, XP_012136223.1	XP_015430165.1
OG0005327	XP_003699770.2	XP_015438451.1
OG0005328	XP_003702962.1	XP_015438967.1
OG0005329	XP_003705010.2	XP_015439676.1, XP_015439323.1
OG0005330	XP_012147998.1	XP_015428800.1
OG0005331	XP_003700689.1, XP_012134918.1	XP_015435192.1
OG0005332	XP_012149223.1	XP_015438413.1
OG0005334	XP_012136611.1	XP_015435021.1
OG0005335	XP_003705587.1, XP_012146043.1	XP_015431138.1
OG0005336	XP_003706882.1	XP_015431343.1
OG0005337	XP_003703380.1	XP_015438641.1
OG0005338	XP_003701994.1	XP_015429185.1
OG0005339	XP_003701768.1	XP_015432009.1
OG0005340	XP_003703131.2	XP_015437629.1
OG0005341	XP_012152446.1	XP_015435670.1
OG0005342	XP_003705056.1	XP_015433008.1
OG0005343	XP_003704154.1, XP_012142598.1	XP_015439315.1
OG0005344	XP_003704926.1	XP_015432740.1, XP_015432739.1
OG0005345	XP_012143998.1, XP_012143999.1	XP_015434319.1
OG0005346	XP_012144539.1	XP_015432750.1
