Orthogroup	Megachile_rotundata	Ceratina_calcarata
OG0004363	XP_012142862.1, XP_012142865.1	XP_017893408.1
OG0004364	XP_003706129.1, XP_012147324.1	XP_026669656.1
OG0004365	XP_003703035.1	XP_017880351.2
OG0004366	XP_003699443.1	XP_017877800.1, XP_017875419.1
OG0004368	XP_003699621.1	XP_017891519.1
OG0004369	XP_003701700.1	XP_017892672.1
OG0004370	XP_003703495.1	XP_017893186.1
OG0004371	XP_012147455.1	XP_017880679.1
OG0004372	XP_012145816.1	XP_017891486.1
OG0004373	XP_003705497.1	XP_026674972.1, XP_017891503.1
OG0004374	XP_003705495.1	XP_017891460.2
OG0004375	XP_012153283.1	XP_017889544.2
OG0004376	XP_012153303.1	XP_026674142.1
OG0004378	XP_012150428.1	XP_017877335.1, XP_017884365.1
OG0004379	XP_012146606.1	XP_017888546.1, XP_017885414.1
OG0004380	XP_012149812.1	XP_017877043.2
OG0004381	XP_012149475.1	XP_017888421.1
OG0004382	XP_003705374.1	XP_017877286.1
OG0004383	XP_003705378.1	XP_017877306.1
OG0004384	XP_003700528.1	XP_017886741.1
OG0004385	XP_012137697.1	XP_026669059.1
OG0004386	XP_003704875.1, XP_012144132.1	XP_017885767.1
OG0004387	XP_003704862.2, XP_012144318.1	XP_017886219.1
OG0004388	XP_003704861.1	XP_026672444.1
OG0004389	XP_012144214.1	XP_017887887.1, XP_017886212.1
OG0004390	XP_012144210.1	XP_017887899.1, XP_017886214.1
OG0004391	XP_003704886.1, XP_012144198.1	XP_017875966.2
OG0004392	XP_003699581.1	XP_017887820.1
OG0004393	XP_012150645.1	XP_017890553.1
OG0004394	XP_003707587.1	XP_017892033.1
OG0004395	XP_012151986.1	XP_017876216.1
OG0004396	XP_012150130.1	XP_017890646.1
OG0004397	XP_012152450.1	XP_017881014.1
OG0004398	XP_012152461.1	XP_017881027.1
OG0004399	XP_012138946.1, XP_003702579.1	XP_017884982.1
OG0004400	XP_012146091.1	XP_026672125.1, XP_017875236.2
OG0004401	XP_012136174.1	XP_017891044.1
OG0004402	XP_012149575.1	XP_026670989.1
OG0004403	XP_012150153.1	XP_026675155.1
OG0004404	XP_003700346.1	XP_017885368.1, XP_017885367.1
OG0004405	XP_012150155.1	XP_026668306.1
OG0004406	XP_012137341.1	XP_017890081.1
OG0004407	XP_012137421.1	XP_026674382.1
OG0004408	XP_003701864.1	XP_017890054.1
OG0004409	XP_003704955.1	XP_026672672.1
OG0004410	XP_012134937.1	XP_017892561.1, XP_026672982.1
OG0004411	XP_012148487.1	XP_017876608.1
OG0004412	XP_012143153.1	XP_017890622.2, XP_026673043.1
OG0004413	XP_003708126.1	XP_017881119.1
OG0004414	XP_012148201.1, XP_012148200.1	XP_026672913.1
OG0004415	XP_003705787.1, XP_012146502.1	XP_017887967.1
OG0004416	XP_003705774.1	XP_017888359.1, XP_017887881.1
OG0004417	XP_012149450.1	XP_026667665.1
OG0004418	XP_012148888.1	XP_026667658.1, XP_017876562.2
OG0004419	XP_003707053.1	XP_017882080.1
OG0004420	XP_003706959.2, XP_012148822.1	XP_017882083.1, XP_026670368.1
OG0004421	XP_003706955.1	XP_017876540.1
OG0004422	XP_012149147.1	XP_017881305.1
OG0004423	XP_012152674.1	XP_017892162.1
OG0004424	XP_003708359.2	XP_017884969.1
OG0004425	XP_012149715.1	XP_017893337.1
OG0004426	XP_012143771.1	XP_017886845.1
OG0004427	XP_003706459.1	XP_017875799.1
OG0004428	XP_003706461.1	XP_017890835.1
OG0004429	XP_003706493.1	XP_017886539.1, XP_017875142.1
OG0004430	XP_003704655.1	XP_026667284.1
OG0004431	XP_012147475.1	XP_017890951.1
OG0004432	XP_012138742.1	XP_026669108.1, XP_017879674.1
OG0004433	XP_012153347.1	XP_017886346.1
OG0004434	XP_012153365.1	XP_017889718.2
OG0004435	XP_012143969.1, XP_012143967.1	XP_017889344.1
OG0004436	XP_003704771.1	XP_017889389.1
OG0004437	XP_003704769.1	XP_017889821.1
OG0004438	XP_003704764.1, XP_012143934.1	XP_017889833.1
OG0004439	XP_003705957.1	XP_017889399.1
OG0004440	XP_003705971.1	XP_017889406.1
OG0004441	XP_003705919.1	XP_017886386.1
OG0004442	XP_003706715.2	XP_026670786.1
OG0004443	XP_003706727.1	XP_026668438.1, XP_017882719.2
OG0004444	XP_012138748.1	XP_017880063.1
OG0004445	XP_003705135.1, XP_012144880.1	XP_017883456.1
OG0004446	XP_012144874.1	XP_026671025.1
OG0004448	XP_012145802.1	XP_026672404.1
OG0004449	XP_003699884.1	XP_017886161.1
OG0004450	XP_012142349.1, XP_012142348.1	XP_017887320.1
OG0004451	XP_012146641.1	XP_026669155.1
OG0004452	XP_003705420.1	XP_017891324.1
OG0004453	XP_012145178.1	XP_026675150.1, XP_017891761.1
OG0004454	XP_003699562.1	XP_026669533.1, XP_017880576.1
OG0004455	XP_012138681.1, XP_003699377.1	XP_017887498.1
OG0004456	XP_012150505.1	XP_017880090.1
OG0004457	XP_012150481.1, XP_003707510.1	XP_017880052.1
OG0004458	XP_003701141.1	XP_017880057.1
OG0004459	XP_012135595.1, XP_003701159.1	XP_017877248.1
OG0004460	XP_012135635.1	XP_017888353.1
OG0004461	XP_003701174.1	XP_017893091.1
OG0004462	XP_012135946.1	XP_017893090.1
OG0004463	XP_003706762.1	XP_017883320.1
OG0004464	XP_012137322.1, XP_003701893.1	XP_017890063.1
OG0004465	XP_003705213.1	XP_017879510.1
OG0004467	XP_012139728.1	XP_026667155.1
OG0004468	XP_003702820.1	XP_017875508.1
OG0004469	XP_003702807.1	XP_017885008.1
OG0004470	XP_003708317.1	XP_017881606.1
OG0004471	XP_012152591.1	XP_017875534.1
OG0004472	XP_012152011.1	XP_017885006.1, XP_026671509.1
OG0004473	XP_012152025.1	XP_017884674.1
OG0004474	XP_003705695.2	XP_017891721.1
OG0004475	XP_003703235.1	XP_017888035.2
OG0004476	XP_003704271.1	XP_017891798.1
OG0004477	XP_003704411.1	XP_017878750.1
OG0004478	XP_003704433.1, XP_012143235.1	XP_017880789.1
OG0004479	XP_012143240.1	XP_017880935.1
OG0004480	XP_012143663.1	XP_026673207.1
OG0004481	XP_003704971.2	XP_026673633.1, XP_017888453.1
OG0004482	XP_003700695.2	XP_026672704.1
OG0004483	XP_012134575.1	XP_017886655.1
OG0004484	XP_003704939.2	XP_017880186.1
OG0004485	XP_012152439.1, XP_003708245.1	XP_017886824.1
OG0004486	XP_003708244.1	XP_017886822.1
OG0004487	XP_012134944.1	XP_017886693.1
OG0004488	XP_012134801.1	XP_017886690.1
OG0004489	XP_012153880.1, XP_012153881.1	XP_017888539.1
OG0004490	XP_003703384.2	XP_017892612.2
OG0004491	XP_012146645.1	XP_017892996.1
OG0004492	XP_012138167.1	XP_017887916.1
OG0004493	XP_012138537.1	XP_017887869.1
OG0004494	XP_003706853.1	XP_026675286.1
OG0004495	XP_012139204.1	XP_017882379.1
OG0004496	XP_012145243.1	XP_017882881.1
OG0004497	XP_012139871.1	XP_017885000.1
OG0004498	XP_012139507.1	XP_026671587.1
OG0004499	XP_003700960.1	XP_017884242.1
OG0004500	XP_012148705.1	XP_026668986.1
OG0004501	XP_012135217.1	XP_026667738.1, XP_026667740.1
OG0004502	XP_012139819.1	XP_017884526.1
OG0004503	XP_012139825.1	XP_026671671.1
OG0004504	XP_012136606.1	XP_017883795.1
OG0004505	XP_003706932.1	XP_017882047.1
OG0004506	XP_012149363.1	XP_017882158.1
OG0004507	XP_012149354.1	XP_017891878.1
OG0004508	XP_012135434.1, XP_003701087.1	XP_017876600.1
OG0004509	XP_012135390.1	XP_017876488.1
OG0004510	XP_012139804.1	XP_017884975.1
OG0004511	XP_003707785.1	XP_017876260.1
OG0004512	XP_012151204.1	XP_026668589.1
OG0004514	XP_012148373.1	XP_026668549.1
OG0004515	XP_012146471.1	XP_017876583.1
OG0004516	XP_012147646.1	XP_017878650.1
OG0004517	XP_012147991.1, XP_003699973.2	XP_017878503.1
OG0004518	XP_003699313.1	XP_017890496.1, XP_017890497.1
OG0004519	XP_012154430.1, XP_012154434.1	XP_017879069.1
OG0004520	XP_003699989.1	XP_026668544.1
OG0004521	XP_012134641.1	XP_017875351.1
OG0004522	XP_003706194.1	XP_017878728.1
OG0004523	XP_003706223.1	XP_017893619.1
OG0004524	XP_003706208.1	XP_017893643.1
OG0004525	XP_012150591.1	XP_017889302.1
OG0004526	XP_012151020.1	XP_017881482.1
OG0004527	XP_012151456.1	XP_017893069.1
OG0004528	XP_012151650.1	XP_017878251.1
OG0004529	XP_003700049.2	XP_017881642.1
OG0004530	XP_012139082.1	XP_017890103.1
OG0004531	XP_012139209.1	XP_017883020.1
OG0004532	XP_012150347.1	XP_026671352.1, XP_026667472.1
OG0004533	XP_003707442.2	XP_017890145.1
OG0004534	XP_012150348.1	XP_026674302.1, XP_017890243.1
OG0004535	XP_012150272.1	XP_026674303.1
OG0004536	XP_012139143.1	XP_017883518.1
OG0004537	XP_012150306.1, XP_003707460.2	XP_017891579.1
OG0004538	XP_003704420.2	XP_017884293.1
OG0004539	XP_003704283.1	XP_026666834.1, XP_026668283.1
OG0004540	XP_012153897.1	XP_026667923.1, XP_026671291.1
OG0004541	XP_003700277.1	XP_026667916.1
OG0004542	XP_003702346.1	XP_017884363.1
OG0004543	XP_012135161.1	XP_017884264.1
OG0004544	XP_012140829.1	XP_017878681.1
OG0004545	XP_003707699.1	XP_017886933.1
OG0004546	XP_012139329.1	XP_017876130.2, XP_026671647.1
OG0004547	XP_012138165.1, XP_003702013.1	XP_017887570.1
OG0004548	XP_012141592.1	XP_017890630.1
OG0004549	XP_003704082.1	XP_017886984.1
OG0004550	XP_012152305.1	XP_017887295.1, XP_017887294.1
OG0004551	XP_003706615.1	XP_017875073.1, XP_017882755.1
OG0004552	XP_012140187.1	XP_017885143.2
OG0004553	XP_012140203.1, XP_012140202.1	XP_017892390.1
OG0004554	XP_003702159.2	XP_026672004.1
OG0004555	XP_003701535.1	XP_017878211.1
OG0004556	XP_003701619.1	XP_017879183.1
OG0004557	XP_003701493.1	XP_026667750.1, XP_026667747.1
OG0004558	XP_012136562.1	XP_026668889.1
OG0004559	XP_012135109.1, XP_003700937.1, XP_012135110.1	XP_017876748.1
OG0004560	XP_012135100.1	XP_026667798.1
OG0004561	XP_003702316.1	XP_026669504.1
OG0004562	XP_003700947.2	XP_017880565.1
OG0004563	XP_012138574.1	XP_017876706.1
OG0004564	XP_003699721.1	XP_017886606.1
OG0004565	XP_003701715.1	XP_017890342.1
OG0004566	XP_003705633.1	XP_017881405.1
OG0004567	XP_012140170.1	XP_017885836.1
OG0004568	XP_012148300.1, XP_003706595.1	XP_017885986.1
OG0004569	XP_003702057.1	XP_017885250.1, XP_017885252.1
OG0004570	XP_012143532.1	XP_017884119.1, XP_026671381.1
OG0004571	XP_012153293.1, XP_003700195.1	XP_017880241.1
OG0004572	XP_012142423.1	XP_017880160.1
OG0004573	XP_012140097.1	XP_017885997.1
OG0004574	XP_012140100.1	XP_017885948.1
OG0004575	XP_003706592.2	XP_017885864.1
OG0004576	XP_012137665.1	XP_017876867.1
OG0004577	XP_012137635.1	XP_026673846.1
OG0004578	XP_012145899.1, XP_012145898.1	XP_026673702.1
OG0004579	XP_012147691.1	XP_017881656.1, XP_017880702.1
OG0004580	XP_003706317.1	XP_017881655.1
OG0004581	XP_003704898.1	XP_017880937.1, XP_017880939.1
OG0004582	XP_012147250.1, XP_012147249.1	XP_017877097.1, XP_017881007.1
OG0004583	XP_003705369.1	XP_017880213.1
OG0004584	XP_003705367.1	XP_017880257.1
OG0004585	XP_003705362.1	XP_026672928.1, XP_026672018.1
OG0004586	XP_003706597.1	XP_017887710.1
OG0004587	XP_003707667.1	XP_017887657.1
OG0004588	XP_003707668.1, XP_012150874.1	XP_017875060.2
OG0004589	XP_012146225.1	XP_026666914.1, XP_017875065.2
OG0004590	XP_003704094.1	XP_017886946.1
OG0004591	XP_012142443.1	XP_017886835.1
OG0004592	XP_012151301.1, XP_003707784.1	XP_017877589.1
OG0004593	XP_003707783.1	XP_017877580.1
OG0004594	XP_012151307.1	XP_026668582.1, XP_017878521.1
OG0004595	XP_012151240.1	XP_026667825.1
OG0004596	XP_012153886.1	XP_017880010.1
OG0004597	XP_003699325.1	XP_017879985.1
OG0004598	XP_012140524.1	XP_017875234.1
OG0004599	XP_012151459.1, XP_012151453.1	XP_026667415.1
OG0004600	XP_012141707.1, XP_012141708.1	XP_017881036.1
OG0004601	XP_003706411.1	XP_017881212.1
OG0004602	XP_012147916.1	XP_017881210.1
OG0004603	XP_003700646.1	XP_017887988.1
OG0004604	XP_003700784.1	XP_017886138.1
OG0004605	XP_012146741.1	XP_017876976.1
OG0004606	XP_003701754.2	XP_017883934.1
OG0004607	XP_003706442.1	XP_017875298.1
OG0004608	XP_012144659.1	XP_017891199.1
OG0004609	XP_003705042.1	XP_017888977.1
OG0004610	XP_012151820.1	XP_017888944.1
OG0004611	XP_012151673.1	XP_017889172.1
OG0004612	XP_003707902.1	XP_017882951.1
OG0004613	XP_012147883.1, XP_012147879.1	XP_017890795.1
OG0004614	XP_012141878.1	XP_017888930.1, XP_017887298.1
OG0004615	XP_003706685.1	XP_017883325.1
OG0004616	XP_003706370.1	XP_026671286.1
OG0004617	XP_012141809.1	XP_017889265.1, XP_017889313.1
OG0004618	XP_003703836.1	XP_017878075.1
OG0004619	XP_012147148.1	XP_026673868.1
OG0004620	XP_003706387.1	XP_017878865.1
OG0004621	XP_012146243.1	XP_017878861.1, XP_017878859.1
OG0004622	XP_012139250.1	XP_017876989.1
OG0004623	XP_012151872.1	XP_017888244.2, XP_017888247.1
OG0004624	XP_012152395.1	XP_017890847.1, XP_026674734.1
OG0004625	XP_012148613.1	XP_026675549.1
OG0004626	XP_003706906.1	XP_017883875.1
OG0004627	XP_012152240.1	XP_017887031.1
OG0004628	XP_003701042.1	XP_026672900.1
OG0004629	XP_012145945.1	XP_017879043.1
OG0004630	XP_012152172.1, XP_012152171.1	XP_026669724.1
OG0004631	XP_012154047.1	XP_017890027.1
OG0004632	XP_012143312.1	XP_017892230.1
OG0004633	XP_012143310.1	XP_017892196.1
OG0004634	XP_012153858.1	XP_017875516.1
OG0004635	XP_012154008.1, XP_012154004.1	XP_017891386.1
OG0004636	XP_012154015.1	XP_026674887.1
OG0004637	XP_003708053.1	XP_017886817.1
OG0004638	XP_003706847.1	XP_017876550.1
OG0004639	XP_012135447.1	XP_017888043.1
OG0004640	XP_003702025.1	XP_017885153.1
OG0004641	XP_003701830.1	XP_017877606.1
OG0004642	XP_012137879.1	XP_017885828.1
OG0004643	XP_012137871.1	XP_026671952.1
OG0004644	XP_012142473.1	XP_017881112.1
OG0004645	XP_003706877.1	XP_017882208.1
OG0004646	XP_012135483.1	XP_026675213.1
OG0004647	XP_012143194.1	XP_017878986.1, XP_017878989.1
OG0004648	XP_012143193.1	XP_017878997.1
OG0004649	XP_003701835.2	XP_026673795.1
OG0004650	XP_012152234.1	XP_017881196.1
OG0004651	XP_003707857.1	XP_017877978.1
OG0004652	XP_003700294.1	XP_017881074.1
OG0004653	XP_003705233.1	XP_017891356.1
OG0004654	XP_012145148.1	XP_017891363.1
OG0004655	XP_012145168.1	XP_017883551.1
OG0004656	XP_003700045.1	XP_017880803.1
OG0004657	XP_012136509.1	XP_026668457.1
OG0004658	XP_012138306.1, XP_012138304.1	XP_026669515.1
OG0004659	XP_012138431.1	XP_017876885.1
OG0004660	XP_003702304.1	XP_017884256.1
OG0004661	XP_012136844.1	XP_026666833.1, XP_017874998.1
OG0004662	XP_003706312.2	XP_026667716.1, XP_017876866.1
OG0004663	XP_003700971.1	XP_026674885.1, XP_017890852.1
OG0004664	XP_003706751.1	XP_017887126.1
OG0004665	XP_012152269.1	XP_017885408.1
OG0004666	XP_003704026.1, XP_012142197.1	XP_017886193.1
OG0004667	XP_012142169.1	XP_017875251.1
OG0004668	XP_012142371.1	XP_026672818.1
OG0004669	XP_003704040.1	XP_017886092.1
OG0004671	XP_003705800.1	XP_017888609.1
OG0004672	XP_012145819.1	XP_017886067.1
OG0004673	XP_012137414.1	XP_026668699.1, XP_017878769.1
OG0004674	XP_003699425.2	XP_017878796.1, XP_026668726.1
OG0004675	XP_003703848.1	XP_017875943.1
OG0004676	XP_003706635.1	XP_017893545.1
OG0004677	XP_012152787.1, XP_003708405.1	XP_017878078.1
OG0004679	XP_012137816.1	XP_017891681.1
OG0004680	XP_012141900.1	XP_026667443.1, XP_026670722.1
OG0004681	XP_012142084.1	XP_017893651.1
OG0004682	XP_003699217.2	XP_026666693.1
OG0004683	XP_012147431.1	XP_026670152.1, XP_017881727.1
OG0004685	XP_012150097.1, XP_012150098.1	XP_017883141.1
OG0004686	XP_003705396.2	XP_026669378.1
OG0004687	XP_012145101.1	XP_017883569.1
OG0004688	XP_012139129.1	XP_026674293.1
OG0004689	XP_003700196.1	XP_017880243.1
OG0004690	XP_012139169.1, XP_012139167.1	XP_017883023.1
OG0004691	XP_012150183.1	XP_017879614.1, XP_026669068.1
OG0004692	XP_012151411.1	XP_026669363.1
OG0004693	XP_012153626.1	XP_026669217.1, XP_026673301.1
OG0004695	XP_003705864.1, XP_012146723.1	XP_017880703.1
OG0004696	XP_003705842.1	XP_026674704.1
OG0004697	XP_012146701.1	XP_017881624.1
OG0004698	XP_012138985.1	XP_017877555.1
OG0004699	XP_003702590.1	XP_017875107.1, XP_026666942.1
OG0004700	XP_003703329.2	XP_017888985.1
OG0004701	XP_012140687.1, XP_012140685.1	XP_026668156.1
OG0004702	XP_003705843.1	XP_017890369.1, XP_026674716.1
OG0004703	XP_003702404.1	XP_017888007.1
OG0004704	XP_012150364.1	XP_017882808.1
OG0004705	XP_003702031.1	XP_017892359.1
OG0004706	XP_012138538.1	XP_026673256.1
OG0004708	XP_003702363.1	XP_017877594.1
OG0004709	XP_003703493.1	XP_017891196.1
OG0004710	XP_012143487.1	XP_017885923.1
OG0004711	XP_012135636.1	XP_017888354.1
OG0004712	XP_003702541.1	XP_017890826.1
OG0004713	XP_012141204.1	XP_017885537.1
OG0004714	XP_012138888.1	XP_026673296.1
OG0004715	XP_012140946.1, XP_003703576.1	XP_017891275.1
OG0004716	XP_012135908.1, XP_012135910.1	XP_017885394.2
OG0004717	XP_003703565.2	XP_017891133.1
OG0004719	XP_003702561.1	XP_017876011.1
OG0004720	XP_012135600.1, XP_012135601.1	XP_017892963.2
OG0004721	XP_012150441.1	XP_017876238.1
OG0004722	XP_012144204.1, XP_012144206.1	XP_017886620.1
OG0004723	XP_003700014.2	XP_017882788.1
OG0004724	XP_003700075.1	XP_017877322.1
OG0004725	XP_012140285.1	XP_017889292.1
OG0004726	XP_012146504.1	XP_017887968.1
OG0004727	XP_012150866.1	XP_026672523.1, XP_026672354.1
OG0004728	XP_012141747.1, XP_012141759.1	XP_017875219.1
OG0004729	XP_012152424.1	XP_017881230.1
OG0004731	XP_012148900.1	XP_026667678.1, XP_026667679.1
OG0004732	XP_012149367.1	XP_017882113.1
OG0004733	XP_012149232.1, XP_012149233.1	XP_017875707.1
OG0004734	XP_012149327.1	XP_026675194.1, XP_017892125.1
OG0004735	XP_012143821.1	XP_026668870.1
OG0004736	XP_012141858.1	XP_017879764.1
OG0004737	XP_012149304.1	XP_026667225.1
OG0004738	XP_003706839.2	XP_026671230.1, XP_017883818.1
OG0004739	XP_012144109.1	XP_026670601.1, XP_026670604.1
OG0004740	XP_003702001.1	XP_026673836.1
OG0004741	XP_012149190.1	XP_017885673.1
OG0004742	XP_003699729.2	XP_017881188.2
OG0004743	XP_012153706.1	XP_026669250.1
OG0004744	XP_012151116.1	XP_017876269.1
OG0004745	XP_012149123.1	XP_017878624.1
OG0004746	XP_012135112.1	XP_026674519.1, XP_026674523.1
OG0004747	XP_003699284.2	XP_017890467.1
OG0004749	XP_012151174.1	XP_026668528.1, XP_026668527.1
OG0004751	XP_012135289.1	XP_017883957.1
OG0004752	XP_012150971.1	XP_017881123.1, XP_026669834.1
OG0004753	XP_003700675.1	XP_017880180.1
OG0004754	XP_012144375.1, XP_003704968.1	XP_017877482.1
OG0004755	XP_012153614.1	XP_017890672.2
OG0004756	XP_012134783.1	XP_017886753.1
OG0004757	XP_012148509.1	XP_026670965.1
OG0004758	XP_012151378.1	XP_017890649.1
OG0004759	XP_003701379.1	XP_017891495.1
OG0004760	XP_003702035.1	XP_017892530.1
OG0004761	XP_003704339.1	XP_026666687.1, XP_017893383.1
OG0004762	XP_012142724.1, XP_012142727.1	XP_017890315.1
OG0004763	XP_012142748.1	XP_026667034.1
OG0004765	XP_003704294.1	XP_017893434.2
OG0004766	XP_012142658.1	XP_017890317.1, XP_026674416.1
OG0004767	XP_012147818.1	XP_017882962.1
OG0004768	XP_003705481.1	XP_017881908.1
OG0004769	XP_003702930.1	XP_026671867.1
OG0004770	XP_012139510.1	XP_026671542.1
OG0004771	XP_012139874.1	XP_017884974.1
OG0004772	XP_012139438.1	XP_026671789.1
OG0004773	XP_012145292.1, XP_012145300.1	XP_017888064.1
OG0004774	XP_012152687.1	XP_017888077.1
OG0004775	XP_012139880.1	XP_026673324.1
OG0004776	XP_012141794.1	XP_017889239.1
OG0004777	XP_012153325.1, XP_003708599.1	XP_017889338.1
OG0004778	XP_003701399.1	XP_017889804.1
OG0004779	XP_012153502.1	XP_017892573.1
OG0004781	XP_012143955.1, XP_012143956.1	XP_017889819.1
OG0004782	XP_012143952.1	XP_017889755.1
OG0004783	XP_012136308.1	XP_017889588.1
OG0004784	XP_012136297.1	XP_017878132.1
OG0004785	XP_003706711.1	XP_017882834.1
OG0004786	XP_012154155.1	XP_017883699.1
OG0004787	XP_003700426.1	XP_017886880.1
OG0004788	XP_003700733.2	XP_017888395.2
OG0004789	XP_012143785.1	XP_017886900.2
OG0004790	XP_012148282.1	XP_017885943.1
OG0004791	XP_003702019.1	XP_026671989.1
OG0004792	XP_012137865.1	XP_017885164.1
OG0004793	XP_012151707.1	XP_017888199.1
OG0004794	XP_003699827.2	XP_017875475.1
OG0004795	XP_003708476.1	XP_017892382.1
OG0004796	XP_012153096.1	XP_026673270.1
OG0004797	XP_003708064.1	XP_017887929.1
OG0004798	XP_003705768.1	XP_017883937.1
OG0004799	XP_012148326.1	XP_017887714.1
OG0004800	XP_003705639.2	XP_017892075.1
OG0004801	XP_003703810.2	XP_017888180.1
OG0004802	XP_003700241.1	XP_017890982.1
OG0004803	XP_012152302.1	XP_017887251.1
OG0004804	XP_012136698.1	XP_017876904.1, XP_026667809.1
OG0004807	XP_012138396.1	XP_026671302.1
OG0004808	XP_012135120.1	XP_026668899.1
OG0004810	XP_003701494.1	XP_017876840.1
OG0004811	XP_003701824.1	XP_017892926.2
OG0004812	XP_012147631.1, XP_012147698.1	XP_026669534.1
OG0004813	XP_012136553.1	XP_026668965.1
OG0004814	XP_003701463.1	XP_026668948.1, XP_017879245.1
OG0004816	XP_003701607.1	XP_017879339.1
OG0004817	XP_012136771.1	XP_026668957.1
OG0004818	XP_003702368.1	XP_017892541.1, XP_017892542.1
OG0004819	XP_012136787.1	XP_026667759.1
OG0004820	XP_012138288.1	XP_017876831.1
OG0004821	XP_012138317.1	XP_026667733.1, XP_017876765.1
OG0004822	XP_012145337.1, XP_012145333.1	XP_017885088.1
OG0004823	XP_003706777.1, XP_012148712.1, XP_012148714.1	XP_017879172.1
OG0004824	XP_012147304.1	XP_017882352.1
OG0004825	XP_012145027.1	XP_026672791.1
OG0004826	XP_012141811.1, XP_012141812.1	XP_017889325.1
OG0004827	XP_003704016.1	XP_026672965.1, XP_017887275.1
OG0004828	XP_012149295.1	XP_017875675.1
OG0004829	XP_012147189.1	XP_026670582.1
OG0004830	XP_012152342.1	XP_026672915.1
OG0004831	XP_012142353.1	XP_026666760.1
OG0004832	XP_012146577.1	XP_017882415.1
OG0004833	XP_012143407.1	XP_017879097.1
OG0004834	XP_012152166.1	XP_026669739.1
OG0004835	XP_012152255.1	XP_017886140.1
OG0004836	XP_012152188.1	XP_017887257.1
OG0004837	XP_012136888.1	XP_017892106.1
OG0004838	XP_012145022.1	XP_026672884.1, XP_026672885.1
OG0004839	XP_012136922.1	XP_026668137.1
OG0004840	XP_012146553.1	XP_017893348.1
OG0004841	XP_012146208.1	XP_017880722.1
OG0004842	XP_012143749.1	XP_026667904.1, XP_026667852.1
OG0004843	XP_012147225.1	XP_017886095.1
OG0004844	XP_012134978.1	XP_017877748.1
OG0004845	XP_012142075.1	XP_026668332.1, XP_017877943.1
OG0004846	XP_003699434.1	XP_017891669.1
OG0004847	XP_012141978.1	XP_017881163.2
OG0004849	XP_012139916.1, XP_012139917.1	XP_026670135.1
OG0004850	XP_012152860.1	XP_026668321.1, XP_017877873.2
OG0004852	XP_012152943.1, XP_003708397.1	XP_017878264.1
OG0004853	XP_012152753.1	XP_026675050.1
OG0004855	XP_003706209.1	XP_017893633.1
OG0004856	XP_012136882.1	XP_017878812.1
OG0004857	XP_012137356.1	XP_017878833.1, XP_026668702.1
OG0004858	XP_012135002.1	XP_017877812.1
OG0004859	XP_003703919.1	XP_017877705.1
OG0004860	XP_012151362.1	XP_026670063.1
OG0004861	XP_012147620.1	XP_026670592.1
OG0004862	XP_012147839.1	XP_017889027.1
OG0004863	XP_012150068.1	XP_017879626.2
OG0004864	XP_012139117.1	XP_017883024.1
OG0004865	XP_012150007.1	XP_026670880.1
OG0004866	XP_012142418.1	XP_017880156.1
OG0004867	XP_003700369.1	XP_017890159.1
OG0004868	XP_003705200.1	XP_017883157.1
OG0004869	XP_003705199.1	XP_017890253.1
OG0004870	XP_012145146.1	XP_026674911.1
OG0004871	XP_012145511.1	XP_017880185.1
OG0004873	XP_003701877.1	XP_017883168.1
OG0004874	XP_012151813.1	XP_026669408.1
OG0004875	XP_003701725.1	XP_017890010.1, XP_017890009.1
OG0004876	XP_003707313.1	XP_017877843.1
OG0004877	XP_012150210.1	XP_017890109.1
OG0004879	XP_012153958.1	XP_017885370.1
OG0004880	XP_012144997.1, XP_012144994.1	XP_026674883.1
OG0004881	XP_003707317.1	XP_017877845.1
OG0004882	XP_003700400.1	XP_017890245.1
OG0004883	XP_012149958.1	XP_017890118.1
OG0004884	XP_012150337.1	XP_017879923.1
OG0004885	XP_012145096.1, XP_012145097.1	XP_017877834.1
OG0004886	XP_012136795.1	XP_026669196.1, XP_026670803.1
OG0004887	XP_003707351.1	XP_017891590.1
OG0004888	XP_003702653.2	XP_017890154.1
OG0004889	XP_012145622.1	XP_017891351.1
OG0004891	XP_012143548.1, XP_012143550.1	XP_017883319.1
OG0004892	XP_012140846.1	XP_017883294.2
OG0004893	XP_012139051.1	XP_017889078.1, XP_017889060.1
OG0004894	XP_012140621.1	XP_017892999.1
OG0004895	XP_012140522.1	XP_017892653.1, XP_026675540.1
OG0004896	XP_012139010.1, XP_003702609.2	XP_017882633.1
OG0004897	XP_003703302.1	XP_017892731.1
OG0004898	XP_003706656.1	XP_017890995.1, XP_026674700.1
OG0004899	XP_003701745.1	XP_017891271.1
OG0004900	XP_003708043.2	XP_026673535.1
OG0004901	XP_012140585.1	XP_017875568.1
OG0004902	XP_003705466.1	XP_017875047.1
OG0004903	XP_012140759.1	XP_017875168.1
OG0004904	XP_003706437.1	XP_017889017.1
OG0004905	XP_003705616.2	XP_017890853.1
OG0004906	XP_012140095.1, XP_012140094.1	XP_017886001.1
OG0004907	XP_012151848.1	XP_017892735.1, XP_026675567.1
OG0004908	XP_012140614.1	XP_026670953.1, XP_026670954.1
OG0004909	XP_012149879.1	XP_026667855.1
OG0004910	XP_003705876.1	XP_017889794.1
OG0004911	XP_012136994.1	XP_017876967.1
OG0004912	XP_003702415.2, XP_012138593.1	XP_026674160.1
OG0004913	XP_003702427.1	XP_017880339.1
