Orthogroup	Acyrthosiphon_pisum	Dufourea_novaeangliae
OG0003947	XP_001950488.2	XP_015436587.1
OG0003948	XP_001950499.3	XP_015435173.1
OG0003950	XP_001950597.1	XP_015439313.1
OG0003951	XP_001950703.1	XP_015437491.1
OG0003952	XP_029348172.1, XP_016660810.1, XP_001950767.2, XP_029341293.1, XP_029348171.1	XP_015436592.1
OG0003953	XP_001950785.1	XP_015433828.1, XP_015433829.1
OG0003954	XP_008187234.1, XP_008187235.1, XP_008187236.1, XP_008187237.1, XP_001950852.1	XP_015437084.1
OG0003955	XP_001950884.1	XP_015438666.1
OG0003956	XP_001950982.1	XP_015430618.1
OG0003957	XP_001950987.1	XP_015428562.1
OG0003958	XP_008187611.1, XP_001951009.2	XP_015437949.1
OG0003959	XP_001951019.2	XP_015438278.1, XP_015438277.1
OG0003960	XP_001951100.1, XP_008182492.1	XP_015439804.1
OG0003961	XP_001951227.2	XP_015433553.1
OG0003962	XP_001951372.2	XP_015429129.1
OG0003963	XP_001951429.1	XP_015437676.1
OG0003964	XP_001951601.1	XP_015438432.1
OG0003965	XP_001951710.1, XP_016662434.1, XP_008186106.1	XP_015429966.1
OG0003966	XP_001951807.1	XP_015432748.1
OG0003967	XP_001951859.1	XP_015435247.1
OG0003968	XP_001952043.1	XP_015439825.1, XP_015439826.1, XP_015439827.1
OG0003969	XP_016660998.1, XP_001952289.1, XP_029347568.1, XP_008189366.2	XP_015437831.1
OG0003970	XP_001952292.1	XP_015433323.1
OG0003971	XP_001952327.2	XP_015433622.1
OG0003972	XP_029348232.1, XP_001952345.1	XP_015440028.1
OG0003973	XP_001952355.1	XP_015429209.1
OG0003974	XP_001952405.1	XP_015436572.1
OG0003975	XP_029342158.1, XP_001952469.1	XP_015434809.1, XP_015434214.1
OG0003976	XP_001952484.1, XP_029345704.1, XP_029344829.1	XP_015439790.1
OG0003977	XP_001952504.1	XP_015429108.1
OG0003978	XP_001952564.1	XP_015437561.1
OG0003979	XP_001952579.3	XP_015434660.1
OG0003980	XP_001952581.1	XP_015437304.1
OG0003981	XP_001952625.2	XP_015439328.1
OG0003982	XP_003245839.1, XP_001952627.2	XP_015435473.1
OG0003983	XP_001952666.2	XP_015429873.1
OG0003984	XP_001952756.2, XP_003244750.1, XP_008183410.1	XP_015433090.1
OG0003985	XP_001952858.2	XP_015434859.1
OG0003986	XP_001952875.2, XP_008182754.1, XP_008182755.1	XP_015434942.1
OG0003987	XP_003240357.1	XP_015432803.1
OG0003988	XP_003240647.1	XP_015439838.1
OG0003989	XP_003240969.1	XP_015437591.1, XP_015432158.1
OG0003990	XP_003242527.1	XP_015437870.1
OG0003991	XP_003241415.1	XP_015435665.1
OG0003992	XP_003241580.1	XP_015428803.1
OG0003993	XP_008178727.1, XP_003241610.1	XP_015436523.1
OG0003994	XP_003241685.1, XP_008178832.1	XP_015429683.1
OG0003995	XP_003241698.3, XP_029347519.1, XP_016656548.1	XP_015435779.1
OG0003996	XP_003242191.1	XP_015439663.1
OG0003997	XP_003242276.1, XP_003247927.1	XP_015429827.1
OG0003998	XP_003242376.1	XP_015428584.1
OG0003999	XP_003242605.1	XP_015428926.1
OG0004000	XP_008183189.1, XP_029342808.1, XP_003242619.1	XP_015437275.1
OG0004001	XP_003242784.1	XP_015433587.1
OG0004002	XP_003242837.1	XP_015437677.1
OG0004003	XP_003242877.1	XP_015437109.1
OG0004004	XP_003242949.1	XP_015434962.1
OG0004005	XP_003243356.1	XP_015437081.1
OG0004006	XP_003243499.1	XP_015428617.1
OG0004007	XP_003243833.1, XP_029341369.1, XP_003243722.1, XP_029341122.1	XP_015435252.1
OG0004008	XP_003243801.2	XP_015439539.1
OG0004009	XP_003244002.1, XP_003244010.1	XP_015433122.1
OG0004010	XP_003244233.1	XP_015433183.1
OG0004011	XP_003244402.1	XP_015437074.1
OG0004012	XP_003245275.1	XP_015435280.1
OG0004013	XP_003245365.1	XP_015435189.1
OG0004014	XP_029344034.1, XP_003245369.1	XP_015432230.1
OG0004015	XP_016663354.1, XP_029343300.1, XP_029342121.1, XP_003245777.1	XP_015429054.1
OG0004016	XP_029342325.1	XP_015436564.1
OG0004017	XP_003246135.1	XP_015435210.1
OG0004018	XP_003246201.1	XP_015437311.1
OG0004020	XP_003246485.2	XP_015436221.1
OG0004021	XP_003246496.1	XP_015438095.1
OG0004022	XP_003246762.1	XP_015432574.1
OG0004023	XP_003246871.2, XP_008186541.1	XP_015438729.1
OG0004024	XP_029347323.1, XP_016662784.1, XP_003246874.1, XP_003246873.1	XP_015429438.1
OG0004025	XP_003246983.1	XP_015428829.1
OG0004026	XP_003247003.1	XP_015440257.1
OG0004027	XP_003247146.1	XP_015434716.1
OG0004028	XP_003247231.1	XP_015438352.1
OG0004029	XP_003247295.1	XP_015428490.1
OG0004030	XP_003247407.1	XP_015439038.1
OG0004031	XP_003247630.1	XP_015432335.1
OG0004032	XP_003247672.1, XP_008187693.1, XP_003248934.3	XP_015435337.1
OG0004033	XP_003247913.1	XP_015429332.1, XP_015429330.1, XP_015429333.1
OG0004034	XP_003248165.1	XP_015434076.1
OG0004035	XP_003248194.1	XP_015430479.1
OG0004036	XP_003248254.1	XP_015435004.1
OG0004037	XP_003248335.1	XP_015434668.1
OG0004038	XP_003248689.1, XP_029343673.1	XP_015433497.1
OG0004040	XP_008178620.1	XP_015431108.1
OG0004041	XP_008178679.1	XP_015438991.1
OG0004042	XP_008178680.1, XP_008178681.1, XP_016656432.1	XP_015428758.1
OG0004043	XP_008178865.1, XP_029346647.1	XP_015434529.1
OG0004044	XP_029341758.1, XP_008178965.1	XP_015430769.1
OG0004045	XP_008178980.2	XP_015438261.1
OG0004046	XP_008179028.1	XP_015440382.1
OG0004047	XP_008179453.1, XP_008179452.1, XP_016656998.1	XP_015432000.1
OG0004048	XP_008188917.1, XP_008179528.1	XP_015436580.1
OG0004049	XP_008179642.1	XP_015431562.1
OG0004050	XP_008179692.1	XP_015432758.1
OG0004051	XP_008180014.1	XP_015430666.1
OG0004052	XP_008180268.1	XP_015432443.1
OG0004053	XP_008180418.1	XP_015429097.1
OG0004054	XP_008180420.1	XP_015432703.1
OG0004055	XP_008180435.1	XP_015428854.1
OG0004056	XP_008180588.1	XP_015440247.1
OG0004058	XP_008180684.1	XP_015432469.1
OG0004059	XP_008181328.1	XP_015429668.1, XP_015429661.1
OG0004060	XP_008181545.1	XP_015439730.1, XP_015440267.1
OG0004061	XP_029345940.1, XP_029345941.1, XP_008181672.1, XP_016658831.1	XP_015434781.1
OG0004062	XP_008181730.1	XP_015433914.1, XP_015433916.1
OG0004063	XP_008181930.1	XP_015435915.1
OG0004064	XP_008181977.1, XP_029342434.1, XP_008188948.2	XP_015429518.1
OG0004065	XP_008181995.1	XP_015433419.1
OG0004066	XP_008182047.1	XP_015432384.1
OG0004067	XP_008182186.2	XP_015431660.1
OG0004068	XP_008182193.1, XP_008182195.1	XP_015437399.1
OG0004069	XP_008182528.1	XP_015428447.1
OG0004070	XP_008183001.1	XP_015436020.1
OG0004071	XP_008183264.1	XP_015439097.1
OG0004072	XP_029345811.1, XP_008183519.1	XP_015439101.1
OG0004073	XP_016660272.1, XP_016660273.1, XP_016660271.1, XP_008183569.1	XP_015430743.1
OG0004074	XP_008183932.1	XP_015432955.1
OG0004075	XP_008184012.1	XP_015439207.1
OG0004076	XP_008184022.1, XP_016660688.1	XP_015437345.1
OG0004077	XP_008184230.1	XP_015432422.1
OG0004078	XP_029341311.1, XP_008184314.1	XP_015432734.1
OG0004079	XP_008184399.1, XP_008184398.1	XP_015429296.1
OG0004080	XP_008184464.1	XP_015433966.1
OG0004081	XP_008184572.1	XP_015440501.1
OG0004082	XP_008184682.1	XP_015432145.1
OG0004083	XP_016661276.1, XP_008184685.1, XP_008184687.1, XP_008184686.1, XP_008184688.1	XP_015439169.1
OG0004084	XP_008184763.1, XP_008184762.1	XP_015434852.1
OG0004085	XP_008185211.1	XP_015431294.1
OG0004086	XP_008185337.1	XP_015438001.1
OG0004087	XP_008185477.1	XP_015439775.1
OG0004088	XP_008185509.1, XP_008185510.1	XP_015432610.1
OG0004089	XP_008185580.2	XP_015434779.1
OG0004090	XP_008185774.1	XP_015436530.1
OG0004091	XP_008185869.1	XP_015436737.1
OG0004092	XP_008185914.1, XP_008185915.1, XP_008185911.1, XP_008185912.1	XP_015434142.1
OG0004093	XP_008185942.1	XP_015438854.1
OG0004094	XP_008186104.1	XP_015437845.1
OG0004095	XP_008186144.1	XP_015435384.1
OG0004096	XP_008186216.1, XP_016662530.1	XP_015429082.1
OG0004097	XP_008186301.1	XP_015438275.1
OG0004098	XP_008186356.1	XP_015431702.1
OG0004099	XP_008186674.2, XP_029342134.1	XP_015439609.1
OG0004100	XP_008186784.1	XP_015435525.1
OG0004101	XP_008186841.3	XP_015435275.1
OG0004102	XP_008186987.1	XP_015434370.1
OG0004103	XP_008187264.1	XP_015437459.1
OG0004104	XP_008187276.1	XP_015438858.1
OG0004105	XP_029342366.1, XP_016663422.1, XP_008187402.1, XP_008189494.1	XP_015428423.1
OG0004106	XP_008187471.2	XP_015436805.1
OG0004107	XP_008187818.1	XP_015430159.1
OG0004108	XP_029348485.1	XP_015431146.1
OG0004109	XP_008188046.1	XP_015430081.1
OG0004110	XP_008188174.1	XP_015440042.1
OG0004111	XP_008188458.1	XP_015434571.1
OG0004112	XP_008188705.1, XP_029344888.1, XP_016664397.1, XP_016664396.1	XP_015430938.1
OG0004113	XP_008189347.1	XP_015433992.1
OG0004114	XP_008189922.1	XP_015438576.1
OG0004116	XP_008190066.1, XP_008190060.1	XP_015438917.1
OG0004117	XP_008190109.1	XP_015436718.1, XP_015436721.1
OG0004119	XP_016656390.1	XP_015434416.1
OG0004120	XP_016656621.1	XP_015439853.1
OG0004121	XP_016657144.1	XP_015431350.1
OG0004122	XP_016657495.1	XP_015434232.1
OG0004123	XP_016657568.1	XP_015430117.1
OG0004124	XP_016657918.1	XP_015436241.1, XP_015438250.1
OG0004125	XP_016658011.1	XP_015436681.1
OG0004126	XP_016658066.2, XP_029346841.1	XP_015438945.1
OG0004128	XP_016658616.1	XP_015434512.1
OG0004129	XP_016658659.1	XP_015430926.1
OG0004130	XP_016658715.1, XP_016664816.2	XP_015437906.1
OG0004131	XP_016658986.1	XP_015439542.1
OG0004132	XP_016659474.1	XP_015436813.1
OG0004133	XP_016659528.1, XP_029346876.1, XP_029346875.1	XP_015435484.1
OG0004134	XP_016660001.1, XP_029342773.1	XP_015438980.1
OG0004135	XP_016660899.1	XP_015429940.1
OG0004136	XP_016660932.1	XP_015432253.1
OG0004137	XP_016661121.1	XP_015437984.1
OG0004138	XP_029346179.1, XP_016661925.1, XP_029346175.1	XP_015429988.1
OG0004139	XP_029341281.1, XP_016662172.1	XP_015434161.1
OG0004140	XP_016662222.1	XP_015435395.1
OG0004141	XP_016662254.1	XP_015432706.1
OG0004142	XP_016662508.1	XP_015434014.1
OG0004144	XP_016662974.1, XP_029347110.1	XP_015430652.1
OG0004145	XP_016662981.1	XP_015439834.1
OG0004146	XP_016663028.1	XP_015431363.1
OG0004147	XP_016663111.1	XP_015430098.1
OG0004149	XP_016663551.1	XP_015428870.1, XP_015428871.1
OG0004150	XP_016663581.1	XP_015438018.1
OG0004151	XP_016664428.2	XP_015437634.1
OG0004153	XP_029342218.1, XP_029342690.1, XP_029341112.1	XP_015439647.1
OG0004154	XP_029342092.1, XP_029341636.1, XP_029341319.1	XP_015433956.1
OG0004155	XP_029341322.1, XP_029346747.1	XP_015439626.1
OG0004156	XP_029342052.1, XP_029344956.1, XP_029342053.1	XP_015434839.1
OG0004157	XP_029343043.1, XP_029342091.1	XP_015429379.1
OG0004158	XP_029342204.1	XP_015439603.1
OG0004159	XP_029342205.1	XP_015436258.1
OG0004160	XP_029342691.1, XP_029342301.1	XP_015428857.1
OG0004161	XP_029342448.1	XP_015436048.1
OG0004162	XP_029342837.1	XP_015434260.1
OG0004163	XP_029342878.1	XP_015431256.1
OG0004164	XP_029343021.1	XP_015439296.1
OG0004165	XP_029343076.1	XP_015431520.1, XP_015431469.1
OG0004166	XP_029343121.1	XP_015429770.1
OG0004167	XP_029343235.1	XP_015428546.1
OG0004168	XP_029343310.1	XP_015435903.1
OG0004169	XP_029343407.1	XP_015437190.1
OG0004170	XP_029343522.1	XP_015439340.1, XP_015439298.1
OG0004171	XP_029343676.1	XP_015431548.1
OG0004172	XP_029343776.1	XP_015439929.1
OG0004173	XP_029343802.1	XP_015438904.1
OG0004174	XP_029343807.1	XP_015431061.1
OG0004175	XP_029348508.1, XP_029343944.1	XP_015429705.1
OG0004176	XP_029344143.1	XP_015439745.1
OG0004177	XP_029344209.1	XP_015429772.1
OG0004178	XP_029344308.1	XP_015437670.1
OG0004179	XP_029344504.1	XP_015439186.1
OG0004180	XP_029344585.1	XP_015428974.1
OG0004181	XP_029345230.1	XP_015432601.1
OG0004182	XP_029345607.1	XP_015437031.1
OG0004183	XP_029345661.1	XP_015438237.1
OG0004184	XP_029345863.1	XP_015432444.1
OG0004185	XP_029346652.1, XP_029346840.1	XP_015431179.1
OG0004186	XP_029346787.1	XP_015435456.1
OG0004187	XP_029346864.1	XP_015430771.1
OG0004188	XP_029346923.1	XP_015436793.1
OG0004189	XP_029347172.1	XP_015437002.1
OG0004190	XP_029347231.1	XP_015437468.1
OG0004191	XP_029347281.1	XP_015438437.1
OG0004192	XP_029347357.1	XP_015438023.1
OG0004193	XP_029347372.1	XP_015432489.1
OG0004195	XP_029348100.1	XP_015434320.1
OG0004275	NP_001119626.1, NP_001129462.1	XP_015430166.1
OG0004276	NP_001119646.1	XP_015432928.1
OG0004277	NP_001119657.1	XP_015437141.1
OG0004278	NP_001119663.1, NP_001119662.1	XP_015439898.1
OG0004279	NP_001119666.1, XP_003245465.1	XP_015430341.1
OG0004280	NP_001119675.1	XP_015435151.1
OG0004281	NP_001123921.1, XP_008188986.1	XP_015433079.1, XP_015433080.1
OG0004282	NP_001129370.1	XP_015431697.1
OG0004283	NP_001129413.1	XP_015431518.1
OG0004284	NP_001129593.1	XP_015432126.1
OG0004285	NP_001153870.1, XP_008186968.1	XP_015429944.1
OG0004286	NP_001155369.1	XP_015430135.1
OG0004287	NP_001155370.1	XP_015434480.1
OG0004288	XP_008185319.1, NP_001155384.1	XP_015428594.1
OG0004289	NP_001155415.1	XP_015430367.1, XP_015430366.1, XP_015430365.1
OG0004290	NP_001155423.1, XP_016660884.1	XP_015439156.1
OG0004291	NP_001155441.1, XP_008179388.1	XP_015440090.1
OG0004292	NP_001155465.1	XP_015429338.1
OG0004293	NP_001155480.1, XP_029341890.1	XP_015429278.1
OG0004294	XP_003241876.1, NP_001155483.1	XP_015435635.1
OG0004295	NP_001155521.1, XP_008185893.1	XP_015438998.1
OG0004296	NP_001155531.1	XP_015438958.1
OG0004297	NP_001155558.1	XP_015436333.1
OG0004298	NP_001155571.1	XP_015438536.1
OG0004299	NP_001155591.1	XP_015437123.1
OG0004300	NP_001155595.1	XP_015431664.1
OG0004301	NP_001155605.1	XP_015440047.1
OG0004302	NP_001155613.1	XP_015434514.1
OG0004303	XP_008189671.2, NP_001155616.1, XP_003248238.1, XP_001944808.1	XP_015430787.1
OG0004304	XP_008181535.1, NP_001155617.1	XP_015433840.1
OG0004305	NP_001155670.1, XP_008183760.1	XP_015432813.1
OG0004306	NP_001155673.1	XP_015439040.1
OG0004307	NP_001155698.1	XP_015428445.1
OG0004308	NP_001155704.1	XP_015430340.1
OG0004309	NP_001155716.1	XP_015429031.1
OG0004310	NP_001155728.1	XP_015430484.1
OG0004311	NP_001155739.1	XP_015437350.1
OG0004312	NP_001155750.1	XP_015435128.1
OG0004313	NP_001155761.1	XP_015431192.1
OG0004314	XP_016664301.1, NP_001155778.1	XP_015438838.1
OG0004315	XP_001948896.1, NP_001155788.1	XP_015431132.1
OG0004316	NP_001155797.1	XP_015438989.1
OG0004317	NP_001155817.1	XP_015439934.1
OG0004318	NP_001155818.1	XP_015429339.1
OG0004319	NP_001155824.1	XP_015438670.1
OG0004320	NP_001155919.1	XP_015431369.1
OG0004321	NP_001155926.1, NP_001155925.1, XP_016662234.1	XP_015429274.1
OG0004322	XP_008178254.1, NP_001156062.1	XP_015428878.1
OG0004323	NP_001156066.1, XP_008185270.1	XP_015437767.1
OG0004324	NP_001156067.1	XP_015429722.1
OG0004325	NP_001156081.1	XP_015440281.1
OG0004326	NP_001156083.1, XP_008179689.1	XP_015433299.1
OG0004327	NP_001156085.1	XP_015439719.1
OG0004328	XP_001950162.1, XP_001945150.1, NP_001156106.1	XP_015436257.1
OG0004329	XP_001949539.1, NP_001156127.1, XP_001948464.1	XP_015428840.1
OG0004330	XP_001943288.1, NP_001156150.1, XP_016664124.1	XP_015429304.1
OG0004331	NP_001156159.1	XP_015428937.1
OG0004332	NP_001156166.1	XP_015429051.1
OG0004333	NP_001156179.1	XP_015437351.1
OG0004334	NP_001156180.1	XP_015429055.1
OG0004335	NP_001156214.1	XP_015435510.1
OG0004336	NP_001156225.1	XP_015433291.1
OG0004337	NP_001156248.1	XP_015439202.1
OG0004338	NP_001156273.1, XP_008182807.1	XP_015436799.1
OG0004339	XP_016660093.1, NP_001156282.1	XP_015435762.1
OG0004340	NP_001156293.1, XP_008182896.1	XP_015437638.1
OG0004341	NP_001156295.1	XP_015435902.1
OG0004342	NP_001156298.1, XP_008188552.1	XP_015429977.1
OG0004343	NP_001156302.1	XP_015428540.1
OG0004344	NP_001156317.1	XP_015434269.1
OG0004345	XP_029346854.1, NP_001156581.1	XP_015430570.1
OG0004346	NP_001156584.1	XP_015436132.1
OG0004347	NP_001156680.1	XP_015428590.1
OG0004348	NP_001156824.1, XP_029344173.1	XP_015428481.1
OG0004349	NP_001156840.1	XP_015429554.1
OG0004350	XP_001952462.1, NP_001162110.1	XP_015429611.1
OG0004351	XP_016659609.1, NP_001162111.1	XP_015433008.1
OG0004352	NP_001162146.1	XP_015439610.1
OG0004353	XP_001946329.1, NP_001165433.1	XP_015431346.1
OG0004354	NP_001191881.1, NP_001191880.1, XP_008181799.1	XP_015431970.1
OG0004355	NP_001232933.1	XP_015431204.1
OG0004356	NP_001232946.1, XP_008181957.1	XP_015433862.1
OG0004357	NP_001232948.1	XP_015435428.1
OG0004358	NP_001232977.1	XP_015436558.1, XP_015436557.1
OG0004359	XP_008179668.1, NP_001232981.1	XP_015430190.1
OG0004360	NP_001233002.1	XP_015439885.1
OG0004361	NP_001233005.1, XP_008182399.1	XP_015436330.1
OG0004362	XP_008182477.1, NP_001233009.1	XP_015433133.1
OG0004363	NP_001233011.1	XP_015437314.1
OG0004364	XP_008186748.1, NP_001233039.1, XP_003245528.1	XP_015436871.1
OG0004365	NP_001233068.1	XP_015434111.1, XP_015438129.1
OG0004366	NP_001233069.1	XP_015433006.1
OG0004367	XP_008184711.2, NP_001233074.1	XP_015440291.1
OG0004368	NP_001233080.1	XP_015440222.1, XP_015440221.1
OG0004369	XP_008180360.1, NP_001233086.1	XP_015435084.1
OG0004370	XP_008186743.1, NP_001233108.1, XP_003244935.1	XP_015429052.1
OG0004371	XP_016656763.1, NP_001233118.1	XP_015431001.1
OG0004372	XP_008189554.1, NP_001233119.1	XP_015435018.1
OG0004373	NP_001280257.1	XP_015431930.1
OG0004374	XP_008189941.1, NP_001280267.1	XP_015433798.1
OG0004375	NP_001280276.1	XP_015433462.1
OG0004376	NP_001280280.2	XP_015434374.1
OG0004377	NP_001280292.1	XP_015433695.1
OG0004378	NP_001280293.1	XP_015429281.1
OG0004379	XP_008184941.1, NP_001280303.1	XP_015434618.1
OG0004380	XP_001951121.2, NP_001280305.1	XP_015439621.1
OG0004381	XP_008186861.1, NP_001280306.1	XP_015436609.1
OG0004382	NP_001280307.1, XP_016658111.1	XP_015435521.1
OG0004383	NP_001280311.1	XP_015428792.1
OG0004384	NP_001280313.1	XP_015440093.1
OG0004385	NP_001280324.1	XP_015435631.1
OG0004386	NP_001280359.1, XP_016659217.1	XP_015433704.1
OG0004387	NP_001280371.1, XP_001945195.1	XP_015431195.1
OG0004388	XP_029341939.1, NP_001280385.1	XP_015432940.1
OG0004389	NP_001280387.1	XP_015439858.1
OG0004390	NP_001280416.1	XP_015439358.1
OG0004391	NP_001280457.1	XP_015434487.1
OG0004392	XP_016661080.1, NP_001306891.1	XP_015429911.1
OG0004393	NP_001313566.1	XP_015436542.1
OG0004394	NP_001313573.1	XP_015436037.1
OG0004395	XP_001942582.1, NP_001313581.1	XP_015437228.1
OG0004396	NP_001313594.1	XP_015438501.1, XP_015438500.1
OG0004397	XP_001942562.1	XP_015439102.1
OG0004398	XP_001942631.1	XP_015440341.1
OG0004399	XP_001942682.1	XP_015437268.1
OG0004400	XP_001942719.1	XP_015434980.1
OG0004401	XP_001942738.2	XP_015432995.1
OG0004402	XP_001942800.2, XP_016662605.1, XP_001946709.1	XP_015435674.1
OG0004403	XP_001942801.2	XP_015440067.1, XP_015440101.1
OG0004404	XP_001942828.2	XP_015431996.1
OG0004405	XP_001942849.3	XP_015434887.1
OG0004406	XP_001942859.2	XP_015438321.1
OG0004407	XP_001942878.2	XP_015428831.1
OG0004408	XP_001942883.2, XP_029342951.1, XP_029341050.1	XP_015431993.1
OG0004409	XP_001942888.2	XP_015431903.1
OG0004410	XP_001942892.2	XP_015428987.1
OG0004411	XP_001942986.1	XP_015433473.1
OG0004412	XP_001942989.1	XP_015438843.1
OG0004413	XP_029343312.1, XP_001943077.1, XP_008180725.1, XP_003242941.1	XP_015435818.1
OG0004414	XP_001943160.2	XP_015431366.1
OG0004415	XP_001943213.1	XP_015431055.1
OG0004416	XP_001943233.4	XP_015432005.1
OG0004417	XP_001943396.2	XP_015432938.1
OG0004418	XP_001943475.2	XP_015437139.1
OG0004419	XP_001943478.2	XP_015430125.1
OG0004420	XP_001943508.1	XP_015430778.1
OG0004421	XP_001943509.2	XP_015430206.1
OG0004422	XP_001943554.1, XP_008186319.1	XP_015436184.1, XP_015436185.1
OG0004423	XP_001943587.5	XP_015431839.1
OG0004424	XP_029340954.1, XP_001943599.2	XP_015439461.1
OG0004425	XP_001945523.1, XP_001944221.1, XP_001943616.1	XP_015436705.1
OG0004426	XP_003245197.1, XP_008184049.1, XP_001943642.1	XP_015440050.1
OG0004427	XP_001943645.1	XP_015437098.1
OG0004428	XP_008181198.1, XP_008181202.1, XP_001951793.2, XP_001943671.1	XP_015438561.1
OG0004429	XP_001943718.2	XP_015431111.1
OG0004430	XP_001943735.2	XP_015439494.1
OG0004431	XP_001943793.2	XP_015437955.1
OG0004432	XP_001943865.1	XP_015431072.1, XP_015431073.1
OG0004433	XP_001943879.1	XP_015440103.1
OG0004434	XP_016663093.1, XP_001943914.1, XP_008186950.1	XP_015432480.1
OG0004436	XP_001943937.1	XP_015433661.1
OG0004437	XP_029348693.1, XP_001943962.1	XP_015433723.1
OG0004439	XP_001944027.1	XP_015440442.1
OG0004440	XP_001944064.2	XP_015439067.1
OG0004441	XP_001944082.2, XP_029345734.1	XP_015436143.1
OG0004442	XP_001944089.1	XP_015431615.1
OG0004443	XP_001944118.2	XP_015430740.1
OG0004444	XP_029341716.1	XP_015432911.1
OG0004445	XP_001944183.2	XP_015435772.1
OG0004446	XP_001944292.2	XP_015435099.1
OG0004447	XP_001944300.1	XP_015438006.1
OG0004448	XP_001944310.1	XP_015430271.1
OG0004449	XP_016659859.2, XP_001944313.3	XP_015431832.1
OG0004450	XP_001944556.1	XP_015430308.1
OG0004451	XP_001944606.2	XP_015431281.1
OG0004452	XP_001944629.2	XP_015428451.1
OG0004453	XP_001944662.2	XP_015429105.1, XP_015429016.1
OG0004454	XP_016661451.1, XP_001944699.1	XP_015428899.1
OG0004455	XP_001948523.1, XP_001944737.2	XP_015433262.1
OG0004456	XP_001944774.2	XP_015432538.1
OG0004457	XP_001944802.2	XP_015435181.1
OG0004458	XP_001944870.2	XP_015431152.1
OG0004459	XP_001944872.2	XP_015433876.1, XP_015433797.1
OG0004460	XP_001944886.1	XP_015436899.1
OG0004461	XP_016656729.1, XP_001944925.1	XP_015428554.1
OG0004462	XP_001944996.2	XP_015432105.1
OG0004463	XP_001945032.2	XP_015435461.1
OG0004464	XP_001945033.2	XP_015436043.1
OG0004465	XP_001945049.1	XP_015432963.1
OG0004466	XP_008189854.1, XP_001945051.1	XP_015438909.1
OG0004467	XP_001945056.2	XP_015431539.1
OG0004468	XP_001945090.2	XP_015431552.1
OG0004469	XP_001945261.1	XP_015438861.1, XP_015438860.1
OG0004470	XP_001945274.1, XP_029341042.1, XP_029342514.1, XP_003248987.2	XP_015439339.1
OG0004471	XP_001945383.1	XP_015440061.1
OG0004472	XP_001945447.1	XP_015436942.1
OG0004473	XP_001945457.2	XP_015428860.1
OG0004474	XP_001945470.2	XP_015438923.1
OG0004475	XP_001945482.1, XP_008189702.1, XP_001947050.2	XP_015434515.1
OG0004477	XP_001945548.1	XP_015439400.1
OG0004478	XP_001945618.1	XP_015429719.1
OG0004479	XP_001945676.2	XP_015429320.1
OG0004480	XP_001945718.1	XP_015430733.1
OG0004481	XP_001945726.2	XP_015434294.1
OG0004482	XP_001945751.3	XP_015440265.1
OG0004483	XP_001945759.1	XP_015437718.1
OG0004484	XP_001945839.1	XP_015440000.1
OG0004485	XP_001945877.2, XP_016657808.1	XP_015437217.1
OG0004486	XP_001948728.2, XP_001945904.1	XP_015435301.1
OG0004487	XP_001945912.1	XP_015438758.1
OG0004488	XP_001945971.2, XP_016661154.1	XP_015435488.1
OG0004489	XP_001945984.1	XP_015433282.1
OG0004490	XP_001945987.1, XP_008178353.1	XP_015431860.1, XP_015431861.1
OG0004491	XP_001946105.2	XP_015434219.1
OG0004492	XP_001946109.2	XP_015435064.1
OG0004493	XP_001946171.1	XP_015428767.1
OG0004494	XP_001946175.2	XP_015438545.1
OG0004495	XP_001946218.2	XP_015439524.1
OG0004496	XP_001946436.2	XP_015430162.1
OG0004497	XP_001946491.1	XP_015432552.1
OG0004498	XP_008187865.1, XP_001946525.1, XP_008187864.1	XP_015438340.1
OG0004499	XP_008182021.1, XP_008182022.1, XP_001946549.2, XP_016659092.1	XP_015435732.1
OG0004500	XP_001946615.2	XP_015430172.1
OG0004501	XP_001946631.2	XP_015432332.1
OG0004502	XP_001946649.1	XP_015429303.1
OG0004503	XP_001946726.2	XP_015439696.1
OG0004504	XP_016657140.1, XP_001946758.1, XP_003242163.1, XP_008179607.1	XP_015437363.1
OG0004505	XP_001946768.2	XP_015429351.1
OG0004506	XP_029341774.1, XP_008185035.1, XP_001946792.1	XP_015431109.1
OG0004507	XP_001946821.2	XP_015432946.1
OG0004508	XP_001946885.2	XP_015435479.1
OG0004509	XP_001946907.2	XP_015428551.1, XP_015437614.1
OG0004510	XP_001946924.1	XP_015439459.1
OG0004511	XP_001946953.1	XP_015430759.1
OG0004512	XP_001946991.1	XP_015428473.1
OG0004513	XP_001946996.1	XP_015428856.1
OG0004514	XP_001952270.1, XP_001947021.1	XP_015437211.1
OG0004515	XP_001947037.1, XP_008183032.2	XP_015433635.1
OG0004516	XP_001947060.1	XP_015440410.1
OG0004517	XP_001947065.1	XP_015436268.1
OG0004518	XP_001947126.2	XP_015429391.1
OG0004519	XP_001947166.2, XP_029344483.1	XP_015436595.1
OG0004520	XP_029341575.1, XP_001947273.1	XP_015438476.1
OG0004521	XP_001947328.1	XP_015436786.1
OG0004522	XP_001947387.1	XP_015436581.1
OG0004523	XP_001947388.1	XP_015440472.1
OG0004524	XP_001947398.3	XP_015434185.1
OG0004525	XP_001947645.2, XP_016660277.1	XP_015432759.1
OG0004526	XP_001947732.1	XP_015434680.1
OG0004527	XP_001947767.2	XP_015431456.1
OG0004528	XP_001947772.2	XP_015439375.1
