Orthogroup	Acyrthosiphon_pisum	Bombus_terrestris
OG0003431	XP_001948295.1	XP_003398714.1
OG0003432	XP_001948312.1	XP_012166277.1
OG0003433	XP_001948385.2	XP_020719223.1, XP_012165947.1
OG0003434	XP_003247440.2, XP_001948425.1	XP_020724167.1, XP_003394477.1
OG0003435	XP_001948429.2, XP_008179249.1, XP_029343840.1, XP_029342584.1	XP_003396357.1
OG0003436	XP_001948504.2	XP_003396482.1
OG0003437	XP_001948597.3	XP_020723885.1
OG0003438	XP_029343995.1, XP_001948646.1, XP_016663633.1, XP_008187682.1	XP_020718677.1
OG0003439	XP_001948678.2	XP_020722958.1, XP_020722959.1, XP_012172931.1, XP_012172932.1, XP_020722957.1
OG0003441	XP_029346557.1, XP_001948873.1, XP_016659482.1	XP_003394510.1
OG0003442	XP_001948878.2	XP_003398932.1
OG0003443	XP_001948942.1	XP_012174081.1
OG0003444	XP_008184847.1, XP_001948995.2, XP_001949035.2	XP_012170821.2
OG0003445	XP_001949068.2	XP_003393575.1
OG0003446	XP_001949172.2	XP_003394673.1
OG0003447	XP_001949175.1, XP_008188157.1, XP_003247963.1	XP_003400493.1
OG0003448	XP_001951973.1, XP_001949244.1	XP_020719521.1
OG0003449	XP_001949300.2	XP_012166095.2
OG0003450	XP_029347434.1, XP_001949386.1	XP_003394524.1
OG0003451	XP_001949443.1, XP_008182268.1	XP_012175637.1
OG0003452	XP_001949579.2	XP_012167551.1, XP_003397866.1
OG0003453	XP_001949581.1	XP_012164659.1, XP_003395902.1, XP_012164658.1, XP_020719088.1
OG0003454	XP_001949590.1	XP_003402092.1, XP_012173374.1
OG0003455	XP_001949601.1	XP_012166419.1, XP_012166418.1, XP_012166420.1
OG0003456	XP_001949728.1	XP_003393586.1
OG0003457	XP_001949847.3	XP_003397544.1
OG0003458	XP_001949938.1	XP_020722383.1
OG0003459	XP_003246026.1, XP_001949988.2	XP_003397938.1
OG0003460	XP_001950150.1, XP_016659321.1, XP_008187444.1	XP_003393593.2
OG0003461	XP_001950219.2	XP_020722167.1, XP_020722164.1
OG0003462	XP_001950312.3, XP_001952645.2, XP_016662209.1	XP_012169183.1
OG0003463	XP_001950362.2	XP_003398065.1
OG0003464	XP_001950406.1	XP_003393068.1, XP_012163643.1
OG0003465	XP_003242582.1, XP_001950487.1	XP_012170130.1
OG0003466	XP_001950497.2	XP_003403100.1
OG0003467	XP_001950565.1	XP_003397188.1
OG0003468	XP_001950656.2	XP_012170491.1
OG0003469	XP_001950926.2	XP_003395721.1, XP_020718604.1
OG0003470	XP_029341385.1, XP_001950966.1, XP_008181619.1	XP_003401292.1
OG0003471	XP_001951022.1	XP_012166543.1, XP_003397209.1
OG0003472	XP_001951071.2	XP_020724289.1
OG0003473	XP_001951088.1	XP_003399117.1
OG0003474	XP_001951216.1	XP_003395173.1
OG0003475	XP_008185936.1, XP_016662274.1, XP_001951232.1	XP_012167161.1
OG0003476	XP_001951345.2	XP_012172672.1
OG0003477	XP_001951463.1	XP_012168386.1, XP_012168385.1
OG0003478	XP_001951473.1	XP_012175129.1
OG0003479	XP_001951613.2, XP_001951588.1	XP_003402562.1
OG0003480	XP_001951654.1, XP_003243111.1	XP_020719042.1, XP_020719041.1
OG0003481	XP_001951672.1	XP_020720651.1
OG0003482	XP_001951686.1	XP_012164772.1
OG0003483	XP_008182013.1, XP_001951763.1	XP_003395520.1
OG0003484	XP_001951769.1	XP_012164591.1
OG0003485	XP_008187413.1, XP_003248591.3, XP_001951824.1	XP_012164420.1, XP_020718869.1
OG0003486	XP_001951912.1	XP_003393625.1
OG0003487	XP_001952144.2	XP_003401921.1
OG0003488	XP_001952182.2	XP_003395652.1
OG0003489	XP_001952220.2	XP_003393033.1
OG0003490	XP_001952358.1	XP_003403029.1
OG0003491	XP_016661005.1, XP_001952370.2	XP_020721001.1
OG0003492	XP_029347505.1, XP_029347504.1, XP_029347503.1, XP_029347502.1, XP_029347501.1, XP_001952386.2, XP_008184407.1	XP_003397234.1, XP_012166574.1
OG0003493	XP_001952446.1	XP_003399033.1
OG0003494	XP_001952473.1	XP_003396915.1
OG0003495	XP_001952501.1	XP_003401073.1
OG0003496	XP_029341064.1, XP_001952620.1, XP_016665155.1	XP_003396707.1
OG0003497	XP_001952647.1, XP_008185303.1	XP_012163541.1
OG0003498	XP_001952675.1	XP_003392871.1
OG0003499	XP_001952681.2	XP_012171291.1
OG0003500	XP_001952759.1	XP_012168790.1, XP_012168789.1
OG0003501	XP_003240049.1, XP_016658932.1	XP_003402365.1
OG0003502	XP_003240230.1	XP_003396994.1
OG0003503	XP_003240263.1, XP_029342193.1	XP_003394479.1
OG0003504	XP_003240303.1	XP_003402180.1
OG0003506	XP_003241120.1	XP_012175765.1
OG0003507	XP_003241192.1, XP_016655970.1	XP_020722171.1
OG0003508	XP_003241234.1, XP_003241233.1	XP_003398733.1
OG0003509	XP_003241236.1	XP_012174478.1
OG0003510	XP_003241246.1	XP_003393502.1
OG0003511	XP_003241376.1	XP_003398635.2, XP_020723871.1, XP_003403409.2
OG0003512	XP_008179169.1, XP_003241811.2	XP_012164666.1
OG0003513	XP_003241912.1	XP_012167836.1
OG0003515	XP_003242169.1	XP_020718715.1, XP_012164209.1
OG0003516	XP_003242256.1	XP_012169809.1
OG0003517	XP_003242428.1	XP_003399368.1
OG0003518	XP_029343551.1, XP_003242563.1, XP_008182183.1	XP_003399079.1
OG0003519	XP_003242937.1	XP_012172952.1, XP_012172951.1, XP_003401684.1, XP_012172954.1
OG0003520	XP_003243058.1	XP_003402231.1
OG0003521	XP_003243849.1	XP_012167293.1
OG0003522	XP_003243938.1	XP_012169456.1, XP_003399179.1
OG0003523	XP_003243991.1, XP_008182922.2	XP_012166747.1
OG0003524	XP_003244035.1	XP_020722814.1
OG0003525	XP_016659508.2, XP_003244215.1	XP_003395919.1
OG0003526	XP_003244247.1	XP_012171650.1
OG0003527	XP_003244330.1, XP_003244329.1, XP_008182798.1	XP_020718438.1
OG0003528	XP_003244950.3	XP_003400760.2
OG0003529	XP_003245180.1, XP_029344844.1	XP_020718265.1, XP_012175898.1
OG0003530	XP_029343408.1, XP_003245260.3	XP_020722430.1
OG0003531	XP_003245357.1	XP_012170751.1
OG0003532	XP_003245398.1	XP_003399690.1
OG0003533	XP_003245424.1, XP_008184388.1	XP_003397508.1
OG0003534	XP_003245446.2	XP_012172617.1
OG0003535	XP_003245515.1	XP_003393281.1
OG0003536	XP_003245836.1	XP_003397936.1
OG0003537	XP_003246162.1, XP_003246884.1, XP_029344117.1	XP_020721781.1
OG0003538	XP_003246197.1	XP_003397552.1
OG0003539	XP_003246293.1	XP_003393064.1
OG0003540	XP_003246439.1, XP_003246438.1, XP_016662241.1	XP_012163734.1
OG0003541	XP_003246627.1	XP_003399070.1
OG0003542	XP_003247061.1	XP_003402488.1
OG0003543	XP_003247092.1, XP_008184075.1, XP_029340952.1	XP_020723476.1
OG0003544	XP_003247589.1, XP_008187546.1	XP_003399716.1
OG0003545	XP_003247865.1	XP_020721827.1
OG0003546	XP_003247891.1	XP_003393420.1
OG0003547	XP_003247900.3, XP_029342452.1, XP_029342451.1	XP_012173687.1
OG0003549	XP_029346010.1, XP_003248864.4	XP_003398377.1
OG0003550	XP_008187570.1, XP_003249066.3	XP_020723417.1, XP_012174091.1
OG0003551	XP_008178332.1	XP_003400833.1, XP_012171880.1
OG0003552	XP_008178771.1	XP_012173753.1
OG0003553	XP_008179250.1	XP_003398337.1
OG0003554	XP_008179589.1	XP_003401774.2
OG0003555	XP_008180060.1	XP_003394162.1
OG0003556	XP_008180277.1	XP_003401624.1
OG0003557	XP_008180489.1	XP_003395315.1
OG0003558	XP_008180549.2	XP_003398951.1
OG0003559	XP_008180807.1	XP_020720445.1
OG0003560	XP_008181116.1, XP_029345017.1	XP_020718562.1
OG0003561	XP_008181363.1	XP_020722374.1, XP_003400946.1
OG0003562	XP_008181496.1, XP_008181497.1	XP_012170143.1
OG0003563	XP_008181684.1	XP_012176123.1
OG0003564	XP_008182177.1	XP_012170707.1
OG0003565	XP_008182222.1	XP_003396666.1
OG0003566	XP_029344327.1, XP_016659230.1, XP_008182236.1	XP_012171759.1, XP_003400894.1
OG0003567	XP_008182468.1	XP_020718824.1
OG0003568	XP_008182565.1	XP_012169593.1
OG0003569	XP_008182773.1, XP_008182772.1	XP_012169599.2
OG0003570	XP_008183142.1	XP_020722373.1, XP_012171932.1
OG0003571	XP_008183420.1	XP_003401325.1
OG0003572	XP_008183814.1, XP_016660476.1	XP_012172795.1
OG0003573	XP_008184346.1, XP_008184343.1	XP_012163535.1
OG0003574	XP_016660999.1, XP_029346935.1, XP_008184404.1	XP_003397736.1
OG0003575	XP_008184513.1	XP_012173751.1
OG0003576	XP_008184569.1	XP_012167998.2
OG0003577	XP_008184684.1	XP_012167897.1
OG0003578	XP_008185383.2	XP_003402630.1
OG0003579	XP_008185408.2	XP_012168001.1
OG0003580	XP_008185743.1	XP_003401655.1
OG0003581	XP_008186177.1, XP_016662504.1	XP_003395903.1
OG0003582	XP_008186400.2	XP_003393784.1, XP_020721323.1
OG0003583	XP_008186708.1	XP_012176544.1
OG0003584	XP_008186709.1	XP_003401911.1
OG0003585	XP_008186918.1	XP_003397704.1
OG0003586	XP_008186925.1	XP_003395092.1
OG0003587	XP_008186963.1	XP_012173353.1
OG0003588	XP_029347312.1, XP_008186998.1	XP_020718806.1
OG0003589	XP_008187340.1	XP_003402285.1
OG0003591	XP_029341206.1, XP_008187613.1	XP_012176698.1
OG0003592	XP_008187788.1	XP_012164576.1
OG0003593	XP_029348567.1, XP_008187811.1	XP_012164855.1
OG0003595	XP_029347712.1	XP_020720894.1, XP_003398697.1, XP_012168705.1
OG0003596	XP_008188502.1, XP_008188501.1	XP_003397233.1
OG0003597	XP_008188583.1	XP_012175919.2, XP_012175918.1
OG0003598	XP_008188697.1	XP_012167375.1
OG0003599	XP_008189074.1, XP_029347043.1	XP_012166821.1
OG0003600	XP_008190191.2	XP_020723269.1, XP_020723268.1, XP_012173861.1
OG0003601	XP_016656463.1, XP_016656462.1	XP_003395629.1
OG0003602	XP_029341756.1, XP_016657266.1	XP_012170769.1, XP_003403387.2
OG0003603	XP_016657618.1	XP_003399042.1, XP_012169235.1
OG0003604	XP_016657691.1	XP_012169956.1
OG0003605	XP_016657955.1	XP_012166042.1
OG0003606	XP_016664837.1, XP_029342548.1, XP_016658422.1	XP_020718317.1
OG0003607	XP_016661016.1	XP_012165162.1
OG0003608	XP_016661412.1	XP_012163239.1
OG0003609	XP_016661625.1	XP_012166936.2
OG0003610	XP_016662052.1, XP_029347557.1	XP_003394611.2
OG0003611	XP_016663109.1	XP_003398763.1
OG0003612	XP_016663793.1, XP_029345112.1, XP_029345113.1	XP_012172194.1
OG0003613	XP_016663845.1, XP_016663844.1	XP_003394301.1
OG0003614	XP_016663972.1	XP_003394584.1
OG0003615	XP_029340916.1, XP_029341110.1, XP_029345850.1	XP_003395483.1
OG0003616	XP_029341087.1	XP_012169719.1
OG0003617	XP_029341973.1	XP_020723165.1
OG0003618	XP_029342058.1, XP_029342718.1	XP_003400995.1
OG0003619	XP_029342566.1	XP_003398224.1
OG0003620	XP_029343734.1, XP_029343399.1, XP_029343291.1, XP_029342750.1	XP_020723368.1
OG0003621	XP_029342785.1, XP_029342786.1	XP_012173204.1
OG0003622	XP_029342813.1	XP_020721534.1
OG0003623	XP_029343014.1	XP_020719351.1
OG0003624	XP_029343039.1, XP_029343038.1	XP_012174115.1
OG0003625	XP_029343152.1	XP_012171227.1
OG0003626	XP_029343232.1	XP_012172164.1
OG0003627	XP_029343423.1	XP_012172938.2
OG0003628	XP_029343562.1	XP_003397605.1
OG0003629	XP_029343862.1	XP_003401146.1
OG0003630	XP_029344127.1, XP_029344126.1	XP_012168911.2
OG0003631	XP_029344332.1	XP_012176565.1, XP_012176564.1
OG0003632	XP_029344447.1	XP_020720474.1
OG0003633	XP_029344530.1, XP_029344527.1	XP_003395122.1
OG0003634	XP_029345023.1	XP_003399197.1
OG0003635	XP_029345202.1	XP_012164787.1
OG0003636	XP_029345431.1	XP_020721799.1, XP_003400090.1
OG0003637	XP_029345551.1	XP_012174947.1
OG0003638	XP_029345612.1, XP_029345613.1	XP_012167857.1
OG0003639	XP_029345632.1	XP_003398728.1
OG0003640	XP_029345922.1	XP_020721121.1
OG0003641	XP_029345975.1	XP_020722906.1
OG0003642	XP_029346189.1	XP_012172877.1
OG0003643	XP_029346289.1, XP_029346288.1	XP_020721960.1
OG0003644	XP_029346338.1	XP_012171534.1
OG0003645	XP_029346575.1	XP_012176334.1
OG0003646	XP_029347070.1	XP_003398690.1
OG0003647	XP_029347187.1, XP_029347181.1	XP_012176133.2
OG0003648	XP_029347313.1	XP_020722335.1
OG0003649	XP_029347352.1	XP_012170372.1, XP_012170367.1
OG0003650	XP_029347460.1	XP_020724206.1
OG0003651	XP_029347573.1	XP_003395731.1
OG0003652	XP_029347608.1, XP_029347609.1	XP_003393892.1
OG0003653	XP_029347634.1	XP_003394393.1
OG0003709	NP_001119628.1, XP_029341421.1, XP_003245642.1	XP_003394858.1
OG0003710	NP_001119647.1	XP_012176347.1
OG0003711	NP_001119655.1, XP_029345874.1	XP_003399787.1
OG0003712	NP_001119687.1	XP_003398378.1
OG0003713	XP_016656538.1, NP_001119697.1	XP_012176145.1
OG0003714	NP_001128362.1, XP_001951857.1, XP_016663039.1, XP_001951975.1	XP_003397274.1
OG0003715	NP_001128376.1	XP_012165426.1
OG0003716	NP_001129195.1, NP_001232975.1	XP_012173401.1, XP_012173402.1
OG0003718	NP_001153820.1	XP_012174429.1
OG0003719	XP_003247607.2, NP_001153853.1	XP_003398188.1
OG0003720	NP_001153859.1	XP_012170722.1
OG0003721	NP_001153867.2	XP_012175060.1
OG0003722	NP_001153868.1, XP_029346874.1, XP_001949218.2	XP_003392860.1
OG0003723	NP_001155411.1	XP_003402655.1
OG0003724	NP_001155424.1	XP_003403107.1
OG0003725	NP_001155425.1	XP_012170273.1
OG0003726	NP_001155437.1	XP_012164471.1, XP_012164472.1, XP_003395340.1
OG0003727	NP_001155456.1	XP_003394476.1, XP_012176414.1
OG0003728	NP_001155486.1	XP_012164327.1
OG0003729	NP_001155503.1	XP_003398256.1
OG0003730	NP_001155512.1	XP_003403345.1
OG0003731	NP_001155541.1, XP_008180569.1	XP_003394616.1
OG0003732	NP_001155563.1	XP_003402554.1
OG0003733	NP_001155569.1, XP_029341920.1	XP_003398287.1
OG0003734	NP_001155581.1	XP_003400687.1
OG0003735	NP_001155583.1, XP_008187337.1	XP_003401424.1
OG0003736	NP_001155624.1	XP_012175878.1
OG0003737	NP_001155637.1, XP_008182979.1	XP_003396800.1
OG0003738	XP_029341947.1, NP_001155661.1	XP_003395291.1
OG0003739	NP_001155687.1	XP_003401518.1
OG0003740	NP_001155702.1	XP_003401553.1
OG0003741	NP_001155714.1	XP_003396719.1
OG0003742	XP_016656605.1, XP_029345721.1, XP_016662292.1, NP_001155720.1	XP_012163334.1
OG0003743	NP_001155782.1, XP_008187973.1	XP_012165953.1
OG0003744	NP_001155795.1	XP_003400991.1
OG0003745	NP_001155802.1	XP_003394350.1
OG0003746	NP_001155816.1	XP_012163881.1
OG0003747	NP_001155822.1	XP_020718372.1
OG0003748	NP_001155946.1, NP_001232995.1	XP_012168566.1
OG0003749	NP_001155952.1	XP_003400317.1
OG0003750	NP_001155953.1	XP_012168130.1
OG0003751	XP_008182763.1, NP_001155982.1	XP_012175469.1, XP_012168014.1
OG0003752	NP_001156047.1	XP_012164661.1
OG0003753	NP_001156048.1	XP_012172907.1
OG0003754	XP_029341866.1, NP_001156056.1	XP_012171814.1
OG0003755	NP_001156120.1	XP_003398815.1
OG0003756	NP_001156126.1	XP_003395667.1
OG0003757	NP_001156146.1	XP_003401545.1
OG0003758	XP_008179871.1, NP_001156157.1	XP_003394907.1
OG0003759	NP_001156175.1, XP_008187121.1	XP_003398720.2
OG0003760	NP_001156202.1	XP_003394717.1
OG0003761	NP_001156212.1	XP_012166085.1
OG0003762	NP_001156216.1, XP_008185420.1	XP_003394458.1
OG0003763	NP_001156220.1	XP_003401036.1
OG0003764	NP_001156253.1, XP_029344793.1	XP_020721411.1
OG0003765	NP_001156258.1	XP_003399812.1
OG0003766	NP_001191874.1, XP_003242557.2, NP_001156259.1, NP_001280425.1	XP_003394009.1, XP_012174123.1
OG0003767	NP_001156277.1	XP_003395306.1
OG0003768	XP_003248729.1, NP_001156296.1	XP_003402853.1
OG0003769	NP_001156303.1	XP_020720595.1, XP_003398359.1, XP_020720594.1
OG0003770	NP_001156311.1, XP_008183465.1, XP_003243979.1, XP_001949619.1, XP_001948832.1	XP_003402581.1
OG0003771	NP_001156512.1	XP_003401828.1
OG0003772	NP_001156572.1	XP_003395590.1
OG0003773	NP_001156607.1, XP_008182462.1, XP_016659173.1, NP_001280275.1	XP_003395332.2
OG0003774	NP_001156691.1, XP_008185739.1, XP_001946255.2	XP_012170978.1
OG0003775	NP_001156724.1	XP_003394171.1
OG0003776	NP_001192084.1, XP_008182094.1	XP_003399757.1
OG0003777	NP_001192099.1	XP_012167149.1
OG0003778	XP_016660588.1, NP_001192103.1	XP_020718480.1
OG0003779	NP_001193397.1	XP_003402657.1
OG0003780	NP_001232945.1	XP_012171654.1
OG0003781	XP_008186668.1, NP_001232951.1	XP_012166948.1
OG0003782	NP_001233014.1	XP_003397313.1
OG0003783	NP_001233028.1, XP_008187725.1	XP_003401568.1
OG0003784	NP_001233036.1, XP_029344824.1	XP_003400255.1
OG0003785	XP_029341884.1, NP_001233062.1	XP_003399519.1
OG0003786	XP_008179925.1, NP_001233077.1	XP_003401629.1
OG0003787	NP_001233084.1	XP_003397613.1
OG0003788	XP_016662916.1, NP_001233105.1	XP_003402136.1
OG0003789	NP_001280252.1, XP_008187610.1	XP_003394456.1
OG0003790	NP_001280263.1, XP_029341965.1	XP_003393097.1
OG0003791	NP_001280273.1	XP_012164696.1
OG0003792	XP_001951780.2, NP_001280289.1	XP_003395898.2
OG0003793	XP_003246322.1, XP_029346034.1, XP_003242228.1, NP_001280304.1, XP_001947170.1	XP_003392951.1
OG0003794	NP_001280344.1	XP_020720539.1
OG0003795	NP_001280367.1	XP_012172248.1, XP_003401119.1
OG0003796	NP_001280377.1, XP_001946840.1	XP_003402558.1, XP_020723441.1
OG0003797	NP_001280389.1, XP_008186072.1	XP_020718925.1, XP_003395568.1
OG0003798	NP_001280391.1, XP_029341184.1	XP_003394776.1
OG0003799	NP_001280402.1	XP_012176545.1
OG0003800	XP_016658816.1, NP_001280405.1	XP_003400744.3
OG0003801	NP_001280408.1	XP_003399830.1
OG0003802	XP_008185982.1, NP_001280410.1	XP_012172080.1
OG0003803	XP_008187539.1, NP_001280415.1	XP_012174194.2
OG0003804	XP_029341998.1, NP_001280423.1	XP_003396198.1
OG0003805	NP_001280424.1	XP_003397540.1
OG0003806	NP_001280451.1	XP_003401853.1
OG0003807	NP_001280460.1	XP_003400763.1
OG0003808	XP_001950331.3, NP_001313552.1	XP_012170572.1
OG0003809	NP_001313558.1	XP_003394060.1
OG0003810	XP_016663668.1, XP_003247689.1, NP_001313559.1	XP_003394847.1
OG0003811	NP_001313587.1	XP_003397856.1
OG0003812	XP_001942516.1	XP_003400199.1, XP_012170948.1
OG0003813	XP_001942529.1	XP_003402879.1
OG0003814	XP_001942581.2	XP_003400441.2
OG0003815	XP_001942587.2	XP_012169397.1
OG0003816	XP_001942659.2	XP_003399393.1
OG0003817	XP_001942949.2	XP_012169368.1
OG0003818	XP_001943236.2	XP_003402156.1, XP_012173716.1
OG0003819	XP_001943025.1	XP_003401328.1
OG0003820	XP_001943038.2	XP_020721052.1
OG0003821	XP_001943062.1	XP_012171068.1
OG0003822	XP_008180230.1, XP_008180228.1, XP_008180229.1, XP_001943247.2	XP_020719833.1
OG0003823	XP_001943258.2	XP_003402949.1
OG0003824	XP_001943284.1	XP_012164345.1
OG0003825	XP_001943304.2	XP_012166466.1, XP_012166465.1
OG0003826	XP_001943326.3	XP_020720011.1
OG0003827	XP_001943330.2	XP_012174352.1
OG0003828	XP_001943357.1	XP_003396889.2
OG0003829	XP_001943381.2	XP_012166227.1
OG0003830	XP_001943388.2	XP_012175454.2, XP_012167728.1
OG0003831	XP_001943455.1	XP_003400677.1
OG0003832	XP_001943486.1	XP_012173887.1
OG0003833	XP_001943692.1, XP_016663218.1	XP_003399790.1
OG0003834	XP_001943697.1, XP_016658916.1	XP_012174670.1
OG0003835	XP_001943742.1	XP_012168709.1
OG0003836	XP_001943750.1	XP_012173196.2
OG0003837	XP_001943759.2	XP_003394757.1
OG0003838	XP_001943900.1, XP_016665102.1	XP_003394285.1
OG0003839	XP_001943978.1	XP_012173008.1
OG0003840	XP_001949223.2, XP_001944018.1	XP_003401798.1
OG0003841	XP_001946480.1, XP_001944026.1	XP_003393847.1
OG0003842	XP_001944141.1	XP_012170605.1
OG0003843	XP_001944151.1	XP_003403087.1, XP_012174907.1
OG0003844	XP_016663934.1, XP_001944167.2, XP_008188086.1, XP_008188087.1	XP_003397607.1
OG0003845	XP_016656589.1, XP_016656588.1, XP_016656587.1, XP_001944222.1	XP_012176114.1
OG0003846	XP_001944514.2, XP_029342616.1	XP_003394615.1
OG0003847	XP_001944548.2	XP_012174241.1
OG0003848	XP_001944559.1	XP_003395820.1, XP_012164354.1
OG0003849	XP_001944574.2	XP_003400188.1
OG0003850	XP_001944577.1	XP_003398559.1
OG0003852	XP_001944765.1	XP_003402305.2
OG0003853	XP_001944785.3	XP_003400083.2
OG0003854	XP_001944817.2	XP_012170484.1
OG0003855	XP_001944835.2, XP_029348623.1, XP_029348618.1	XP_003397557.1
OG0003856	XP_001944890.1	XP_003401541.1
OG0003857	XP_001944974.2, XP_008185306.2	XP_003397343.1
OG0003858	XP_001945183.2	XP_003393762.1, XP_012171087.1, XP_012171074.1
OG0003859	XP_001945207.2	XP_003396156.1
OG0003860	XP_001951861.2, XP_029347656.1, XP_001945243.1, XP_029341380.1	NP_001267862.1
OG0003861	XP_001945258.1	XP_003397931.1
OG0003862	XP_001945273.1	XP_003399549.1
OG0003863	XP_001945307.2, XP_016663223.1	XP_012168019.1
OG0003864	XP_001945341.1	XP_003402983.1, XP_012174747.1
OG0003865	XP_001945587.2	XP_003401265.1, XP_003401264.1
OG0003866	XP_001945589.1	XP_003397986.1
OG0003867	XP_001945644.2	XP_020723653.1
OG0003868	XP_029347890.1, XP_001945758.1, XP_003244583.1	XP_012167944.1, XP_003398260.1
OG0003869	XP_001945969.1, XP_029343747.1, XP_029343748.1, XP_008184637.1	XP_003399054.1
OG0003870	XP_001946018.2, XP_029344724.1, XP_029344725.1	XP_003393674.1
OG0003871	XP_001946053.3, XP_008178793.1	XP_020720764.1, XP_012168535.1, XP_012168534.1
OG0003872	XP_003240388.2, XP_029341196.1, XP_001946108.2	XP_012173307.1
OG0003873	XP_001946132.1	XP_012165920.1
OG0003874	XP_001946140.1	XP_012164064.1
OG0003875	XP_001946199.1	XP_003397230.1
OG0003876	XP_001946205.5	XP_012164640.1
OG0003877	XP_001946225.1, XP_008179331.1	XP_003400115.1
OG0003878	XP_001946282.3	XP_012168580.1
OG0003879	XP_001946595.2, XP_001946324.2, XP_029341656.1, XP_029348658.1	XP_012166836.1
OG0003880	XP_001946327.2	XP_012176490.1, XP_012176491.1, XP_003394671.1, XP_003394670.1
OG0003881	XP_001946547.1, XP_008189573.1	XP_020718897.1, XP_003395781.1
OG0003882	XP_001946627.2	XP_020724190.1
OG0003883	XP_029346499.1, XP_029346500.1, XP_003242089.1, XP_001946706.1	XP_003401855.1
OG0003884	XP_001946729.2	XP_012163849.1
OG0003885	XP_001946730.1	XP_003402476.1
OG0003886	XP_001946793.1	XP_012176406.1
OG0003887	XP_001946898.1	XP_020724324.1, XP_012176067.1, XP_020724323.1
OG0003888	XP_001946943.2	XP_003393605.1
OG0003889	XP_001947064.1, XP_001950350.1	XP_012176166.2
OG0003890	XP_001947073.1	XP_020720074.1
OG0003891	XP_001947218.2	XP_020722769.1
OG0003892	XP_003246046.1, XP_003240667.1, XP_001947246.1	XP_003400402.1
OG0003893	XP_001947253.1	XP_003399859.1
OG0003894	XP_003242316.1, XP_029348614.1, XP_001947347.2	XP_003398517.1
OG0003895	XP_001947487.1	XP_003396092.1
OG0003896	XP_003244016.1, XP_001950659.1, XP_001947545.2	XP_012173932.1
OG0003897	XP_001947564.2	XP_012173494.1, XP_012173493.1
OG0003898	XP_001947588.2	XP_003393443.1
OG0003899	XP_001947595.2	XP_003400851.1
OG0003900	XP_016657440.1, XP_001947713.3	XP_003397205.1
OG0003901	XP_001947756.1	XP_003393189.1
OG0003902	XP_001947769.2	XP_012170394.1, XP_020721669.1
OG0003903	XP_001947783.3	XP_012173368.1
OG0003904	XP_001947910.1	XP_012175893.1
OG0003905	XP_001947991.1	XP_012169149.1
OG0003906	XP_001948005.1	XP_003402506.1, XP_012174117.1
OG0003907	XP_001948184.2	XP_003398274.1
OG0003908	XP_001948190.2	XP_003396034.1
OG0003909	XP_008188131.1, XP_001948205.2, XP_029346791.1	XP_003401804.1
OG0003910	XP_001948398.2	XP_003393750.2
OG0003911	XP_001948475.2	XP_012171942.1, XP_012171941.1
OG0003912	XP_001948509.2	XP_012172905.1
OG0003913	XP_008189865.1, XP_001948669.2	XP_003398502.1
OG0003914	XP_001948813.1	XP_003393610.1
OG0003915	XP_001948850.2, XP_016664457.1	XP_012166130.1
OG0003916	XP_001948870.2	XP_003393408.1
OG0003917	XP_001948879.2	XP_020720461.1, XP_003397446.1
OG0003918	XP_001948892.2, XP_029342874.1, XP_029342875.1	XP_012164806.1
OG0003919	XP_001948898.1	XP_003398268.1
OG0003920	XP_001948976.1	XP_003397663.1
OG0003921	XP_001948985.1	XP_020723363.1
OG0003922	XP_001949071.2	XP_003399540.1
OG0003923	XP_001949183.2	XP_012174543.2
OG0003924	XP_001949258.2	XP_003397839.1
OG0003925	XP_001949278.1	XP_003401946.1
OG0003926	XP_008178997.1, XP_001949288.2	XP_003399888.1
OG0003927	XP_001949298.1	XP_012170826.1
OG0003928	XP_003246652.1, XP_001949388.2, XP_008186215.1	XP_012164426.1
OG0003929	XP_001949455.1	XP_012165285.1
OG0003930	XP_003248224.1, XP_001949484.2	XP_003398362.1
OG0003931	XP_001949495.1	XP_003396019.2
OG0003932	XP_001949508.2	XP_003397951.1
OG0003933	XP_001949541.1	XP_012164908.1
OG0003934	XP_001950920.2, XP_001949592.2, XP_029343888.1, XP_029342436.1	XP_012174485.1
OG0003935	XP_001949785.1	XP_003398498.1
OG0003936	XP_001950018.1	XP_012163744.1
OG0003937	XP_001950019.2	XP_020721302.1, XP_012169626.1, XP_012169625.1
OG0003938	XP_001950061.2	XP_003399647.1
OG0003939	XP_001950067.2	XP_003394834.1
OG0003940	XP_001950086.2	XP_003401320.1
OG0003941	XP_001950247.1	XP_020722719.1
OG0003942	XP_001950298.2	XP_003393805.1
OG0003943	XP_001950368.3	XP_003395400.3
OG0003944	XP_029342219.1, XP_001950375.1, XP_029344247.1	XP_003396729.1, XP_012165834.1
OG0003945	XP_016656392.1, XP_001950376.1, XP_016656393.1	XP_012168882.1, XP_003398816.1
OG0003946	XP_001950380.1	XP_003400489.1
OG0003947	XP_001950488.2	XP_020723296.1
OG0003948	XP_001950499.3	XP_003393349.1
OG0003950	XP_001950597.1	XP_012171996.1
OG0003951	XP_001950703.1	XP_020723016.1, XP_020723015.1
OG0003952	XP_029348172.1, XP_016660810.1, XP_001950767.2, XP_029341293.1, XP_029348171.1	XP_020721095.1
OG0003953	XP_001950785.1	XP_003402612.1
