Orthogroup	Nomia_melanderi	Megachile_rotundata
OG0003614	XP_031846081.1, XP_031846094.1	XP_003705541.1
OG0003615	XP_031838782.1, XP_031838778.1	XP_012138603.1
OG0003616	XP_031848547.1	XP_003706652.1
OG0003617	XP_031847876.1	XP_012140722.1, XP_003703289.1
OG0003618	XP_031838742.1	XP_012140542.1
OG0003619	XP_031838820.1	XP_012151839.1
OG0003620	XP_031838899.1	XP_012140862.1
OG0003621	XP_031836625.1	XP_003701818.1
OG0003622	XP_031838816.1	XP_003705892.1
OG0003623	XP_031838774.1	XP_012146737.1, XP_012146738.1
OG0003624	XP_031840207.1	XP_012146709.1
OG0003625	XP_031836466.1	XP_003703297.1
OG0003626	XP_031846720.1	XP_003702023.2
OG0003627	XP_031834179.1	XP_012141120.1
OG0003628	XP_031826536.1	XP_003704715.1
OG0003629	XP_031832262.1	XP_003703662.1
OG0003630	XP_031845725.1	XP_003703680.1
OG0003631	XP_031825978.1	XP_012137952.1
OG0003632	XP_031832182.1, XP_031832181.1	XP_012141382.1
OG0003633	XP_031846152.1	XP_012146353.1, XP_012146355.1
OG0003634	XP_031844314.1	XP_003706503.2
OG0003635	XP_031849957.1	XP_003703191.2
OG0003636	XP_031838129.1	XP_012143286.1
OG0003637	XP_031843891.1	XP_003702595.1
OG0003638	XP_031838330.1	XP_012141493.1
OG0003639	XP_031833839.1	XP_012143523.1
OG0003640	XP_031838379.1, XP_031838380.1	XP_012141163.1, XP_012141165.1, XP_012141164.1
OG0003642	XP_031843527.1	XP_012139035.1, XP_003702596.1
OG0003643	XP_031830324.1	XP_012135699.1
OG0003644	XP_031833984.1	XP_012141060.1
OG0003645	XP_031848228.1	XP_003701017.1
OG0003646	XP_031830127.1	XP_012138759.1
OG0003647	XP_031829804.1	XP_012144893.1
OG0003648	XP_031837340.1, XP_031837350.1	XP_012143437.1
OG0003649	XP_031832259.1	XP_012140964.1
OG0003650	XP_031832256.1	XP_012141565.1
OG0003651	XP_031841078.1	XP_003701184.1
OG0003652	XP_031832039.1	XP_012140894.1
OG0003653	XP_031846838.1, XP_031846834.1	XP_003703852.1
OG0003654	XP_031830044.1, XP_031830053.1	XP_012135893.1
OG0003655	XP_031837948.1	XP_012143308.1, XP_012143309.1
OG0003656	XP_031833339.1	XP_012145845.1
OG0003657	XP_031844118.1	XP_012144317.1
OG0003658	XP_031830013.1	XP_003701787.2
OG0003659	XP_031844021.1	XP_003706384.1
OG0003660	XP_031838158.1, XP_031838161.1	XP_012150567.1, XP_012150602.1
OG0003661	XP_031841739.1	XP_012151823.1
OG0003662	XP_031839385.1	XP_012140254.1
OG0003663	XP_031844091.1, XP_031839959.1	XP_003700134.1
OG0003664	XP_031830399.1	XP_003699777.1
OG0003665	XP_031843878.1	XP_012148819.1
OG0003666	XP_031828031.1	XP_012140217.1, XP_012140219.1, XP_003703081.1
OG0003667	XP_031841953.1	XP_003706392.1
OG0003668	XP_031830934.1	XP_012148497.1
OG0003669	XP_031830656.1	XP_003699783.1
OG0003670	XP_031835815.1	XP_012149091.1, XP_012149453.1
OG0003671	XP_031835871.1, XP_031835872.1, XP_031835870.1	XP_003707004.1
OG0003672	XP_031846989.1	XP_003701978.1
OG0003673	XP_031835888.1	XP_003706851.1
OG0003674	XP_031844113.1	XP_003708155.1
OG0003675	XP_031847786.1	XP_003706925.1
OG0003676	XP_031831028.1	XP_012148910.1, XP_012148909.1, XP_012148908.1
OG0003677	XP_031835866.1	XP_012149072.1
OG0003679	XP_031830664.1	XP_003701050.1
OG0003680	XP_031828230.1, XP_031828231.1	XP_003705650.1
OG0003681	XP_031830472.1	XP_012149145.1, XP_012149146.1
OG0003682	XP_031831062.1	XP_012144377.1
OG0003683	XP_031831008.1	XP_012149194.1
OG0003684	XP_031835416.1	XP_012142182.1, XP_012142122.1
OG0003685	XP_031828955.1	XP_012138614.1
OG0003686	XP_031840637.1	XP_012153105.1
OG0003687	XP_031835366.1, XP_031835365.1, XP_031835364.1	XP_012134691.1
OG0003688	XP_031833294.1	XP_012152722.1, XP_003708375.1
OG0003689	XP_031850109.1	XP_012135260.1
OG0003690	XP_031846539.1	XP_003704460.1
OG0003691	XP_031835602.1	XP_012154520.1, XP_012154518.1, XP_012154519.1
OG0003692	XP_031847730.1, XP_031847731.1, XP_031847732.1	XP_012150950.1
OG0003693	XP_031849883.1	XP_003707684.1
OG0003694	XP_031826247.1	XP_012140109.1
OG0003695	XP_031846743.1	XP_003704626.2, XP_012143717.1, XP_012143716.1
OG0003696	XP_031849391.1	XP_003699961.1
OG0003697	XP_031850033.1, XP_031850034.1	XP_003699374.1
OG0003698	XP_031835583.1	XP_012135493.1
OG0003699	XP_031849351.1	XP_003700583.1
OG0003700	XP_031849290.1	XP_003700618.1
OG0003701	XP_031847081.1	XP_012153808.1
OG0003702	XP_031839018.1	XP_003701034.1
OG0003703	XP_031841411.1	XP_012134692.1
OG0003704	XP_031829455.1	XP_003704167.2
OG0003705	XP_031826473.1	XP_012140056.1
OG0003706	XP_031839481.1	XP_012151540.1
OG0003707	XP_031836022.1	XP_003704409.1
OG0003709	XP_031847161.1	XP_012135372.1
OG0003710	XP_031835973.1	XP_003704308.1
OG0003712	XP_031836005.1	XP_012140438.1
OG0003713	XP_031836012.1	XP_012140476.1
OG0003714	XP_031827726.1	XP_012142970.1
OG0003716	XP_031833084.1	XP_012139418.1, XP_012139417.1
OG0003717	XP_031832734.1	XP_003702813.1
OG0003718	XP_031837714.1	XP_012139798.1
OG0003719	XP_031833039.1	XP_003707153.1
OG0003720	XP_031837137.1	XP_003708340.1
OG0003721	XP_031829626.1	XP_012152545.1
OG0003722	XP_031848243.1	XP_012139536.1, XP_012139876.1
OG0003723	XP_031842745.1, XP_031842746.1	XP_012146908.1
OG0003724	XP_031843225.1	XP_012141398.1
OG0003725	XP_031847288.1	XP_012153379.1, XP_003708616.1
OG0003726	XP_031844842.1	XP_012153327.1, XP_012153326.1
OG0003727	XP_031842692.1	XP_003699638.1
OG0003728	XP_031844781.1, XP_031844777.1	XP_012140791.1
OG0003729	XP_031847531.1	XP_003704738.1
OG0003730	XP_031842873.1	XP_012147016.1
OG0003731	XP_031827131.1	XP_003705402.1
OG0003732	XP_031841795.1	XP_012143536.1, XP_003704569.1
OG0003733	XP_031827940.1	XP_003705670.1, XP_012146207.1
OG0003734	XP_031846347.1	XP_012154279.1
OG0003735	XP_031826950.1, XP_031826953.1	XP_012151380.1
OG0003736	XP_031826725.1	XP_012154120.1, XP_012154122.1
OG0003737	XP_031826454.1	XP_012137947.1
OG0003738	XP_031826529.1	XP_012140072.1
OG0003739	XP_031843980.1	XP_012147051.1
OG0003741	XP_031839094.1	XP_012151554.1
OG0003743	XP_031841122.1	XP_012146584.1
OG0003744	XP_031848149.1	XP_003702521.1
OG0003745	XP_031836171.1	XP_012147634.1
OG0003746	XP_031834173.1	XP_012136425.1
OG0003747	XP_031835470.1, XP_031835471.1	XP_003699350.1
OG0003748	XP_031849804.1	XP_003707759.2
OG0003749	XP_031827727.1	XP_003704239.1
OG0003750	XP_031836226.1	XP_003704274.1
OG0003751	XP_031832922.1	XP_003702932.1
OG0003752	XP_031842577.1	XP_003705940.1
OG0003753	XP_031846225.1	XP_003705772.2
OG0003754	XP_031839667.1	XP_012136406.1, XP_012136405.1, XP_003701492.1
OG0003755	XP_031833750.1	XP_003701451.1
OG0003756	XP_031834328.1, XP_031834318.1	XP_003702339.1
OG0003757	XP_031847251.1	XP_003700857.1
OG0003758	XP_031825268.1	XP_003707325.1
OG0003759	XP_031833780.1	XP_012153956.1, XP_012153957.1
OG0003760	XP_031842011.1, XP_031842001.1	XP_012150589.1, XP_003707571.2
OG0003761	XP_031843851.1	XP_003704885.1
OG0003762	XP_031829238.1	XP_003707501.1
OG0003763	XP_031847989.1	XP_003700234.2
OG0003764	XP_031836342.1	XP_003703175.1
OG0003765	XP_031839936.1, XP_031839934.1, XP_031839935.1	XP_003701483.1
OG0003766	XP_031839969.1, XP_031839971.1, XP_031839968.1	XP_003701580.1
OG0003767	XP_031834470.1	XP_012141629.1, XP_012141469.1, XP_003699227.1
OG0003768	XP_031848446.1	XP_003706075.1
OG0003769	XP_031833462.1	XP_012150307.1
OG0003770	XP_031830930.1, XP_031830929.1, XP_031830928.1, XP_031830926.1, XP_031830925.1, XP_031830927.1	XP_003699730.1
OG0003771	XP_031840489.1	XP_003702172.1, XP_012138026.1, XP_012138025.1
OG0003772	XP_031836056.1	XP_003706758.1
OG0003773	XP_031835900.1	XP_003699191.1
OG0003774	XP_031826451.1	XP_012140101.1, XP_003703134.1
OG0003775	XP_031847116.1	XP_012141786.1, XP_012141785.1, XP_003703747.1
OG0003776	XP_031827025.1, XP_031827026.1	XP_003700538.1
OG0003777	XP_031837265.1	XP_003708356.2
OG0003778	XP_031846570.1	XP_003705076.1
OG0003779	XP_031827199.1	XP_003700450.1
OG0003780	XP_031849661.1	XP_012146581.1
OG0003781	XP_031825845.1	XP_003706856.1
OG0003782	XP_031825692.1	XP_012153452.1, XP_012153454.1
OG0003783	XP_031830815.1	XP_003706872.1
OG0003784	XP_031835579.1	XP_003699229.1
OG0003785	XP_031828422.1	XP_012153000.1, XP_012152999.1
OG0003786	XP_031842123.1	XP_003707098.1
OG0003787	XP_031828115.1, XP_031828116.1	XP_003703090.1
OG0003788	XP_031836456.1	XP_003701375.1
OG0003789	XP_031838224.1, XP_031838223.1, XP_031838222.1	XP_012136197.1
OG0003790	XP_031836062.1, XP_031836061.1	XP_003703182.1
OG0003791	XP_031827643.1	XP_003708243.1
OG0003792	XP_031847757.1	XP_003707080.1
OG0003793	XP_031835865.1	XP_003706902.2
OG0003794	XP_031847718.1	XP_012146370.1
OG0003795	XP_031846664.1, XP_031846666.1	XP_012138170.1
OG0003796	XP_031828166.1	XP_003705632.1
OG0003797	XP_031838549.1	XP_003699987.1
OG0003799	XP_031840028.1	XP_012142814.1
OG0003800	XP_031827749.1	XP_003704348.1
OG0003801	XP_031832907.1	XP_012152618.1, XP_012152617.1, XP_003708280.1
OG0003802	XP_031846765.1	XP_003702201.1
OG0003803	XP_031826231.1, XP_031839275.1	XP_012144657.1, XP_012144656.1
OG0003804	XP_031831857.1	XP_003701454.1
OG0003805	XP_031841023.1	XP_003708177.1
OG0003806	XP_031829368.1	XP_003708383.1, XP_012152751.1, XP_012152752.1
OG0003807	XP_031845459.1	XP_003706216.1
OG0003808	XP_031845574.1, XP_031845573.1, XP_031845575.1	XP_012152790.1
OG0003809	XP_031833358.1	XP_012150129.1
OG0003810	XP_031846924.1	XP_003703254.1
OG0003811	XP_031826639.1	XP_003702067.2
OG0003812	XP_031833966.1	XP_012148175.1, XP_012148174.1, XP_003706538.1
OG0003813	XP_031849727.1	XP_003705802.1
OG0003814	XP_031846860.1	XP_003708007.1
OG0003815	XP_031845302.1, XP_031845300.1	XP_003706167.1
OG0003816	XP_031825955.1	XP_003706940.1
OG0003817	XP_031849009.1	XP_003703432.1, XP_012141020.1
OG0003818	XP_031829973.1, XP_031829972.1	XP_012138826.1, XP_003702496.2
OG0003819	XP_031838296.1	XP_003706567.1
OG0003820	XP_031826973.1, XP_031826972.1	XP_003705406.1
OG0003821	XP_031836189.1, XP_031836190.1	XP_003701853.1
OG0003822	XP_031834910.1	XP_003706779.1
OG0003823	XP_031828445.1, XP_031828444.1	XP_003703070.1
OG0003824	XP_031844992.1	XP_012138066.1, XP_003699446.1
OG0003825	XP_031835459.1	XP_003699258.2
OG0003826	XP_031834551.1, XP_031834550.1	XP_003707229.1
OG0003827	XP_031826220.1	XP_012144033.1
OG0003828	XP_031829376.1, XP_031829377.1	XP_003699475.1
OG0003829	XP_031844324.1	XP_003708176.1
OG0003830	XP_031841984.1	XP_003706415.1
OG0003831	XP_031838652.1	XP_003699587.1
OG0003832	XP_031828481.1	XP_012136986.1
OG0003833	XP_031838818.1	XP_003703244.1
OG0003834	XP_031829641.1	XP_003708089.1
OG0003835	XP_031849349.1	XP_012154506.1, XP_003700611.1, XP_012154507.1
OG0003836	XP_031830045.1, XP_031830043.1	XP_003701122.1
OG0003837	XP_031840322.1, XP_031840321.1, XP_031840323.1	XP_003705440.1
OG0003839	XP_031850261.1, XP_031850259.1	XP_003707740.1
OG0003840	XP_031842853.1	XP_003704749.1, XP_012143954.1
OG0003841	XP_031829589.1, XP_031829588.1	XP_003708263.2
OG0003842	XP_031849988.1	XP_012151141.1, XP_003707760.1, XP_012151142.1
OG0003843	XP_031838605.1	XP_003702412.1, XP_012138592.1
OG0003844	XP_031828981.1	XP_003700782.1
OG0003845	XP_031844444.1	XP_003704232.1
OG0003846	XP_031833830.1, XP_031833831.1	XP_012153635.1, XP_003700208.1
OG0003847	XP_031850176.1	XP_003705753.1
OG0003848	XP_031844281.1	XP_003704071.1
OG0003849	XP_031834025.1	XP_012141518.1
OG0003850	XP_031843341.1	XP_012137382.1, XP_012137385.1
OG0003851	XP_031832960.1	XP_003707122.1
OG0003852	XP_031825478.1	XP_003707320.1, XP_012150170.1
OG0003853	XP_031837970.1	XP_003704563.1
OG0003854	XP_031835897.1	XP_003699189.2, XP_012135565.1
OG0003855	XP_031835528.1, XP_031835529.1	XP_012153804.1
OG0003856	XP_031849552.1	XP_003699860.1
OG0003857	XP_031838857.1	XP_003703310.1
OG0003858	XP_031840618.1, XP_031840620.1, XP_031840619.1	XP_003702055.1
OG0003859	XP_031839157.1, XP_031839158.1	XP_003707864.1
OG0003860	XP_031828662.1, XP_031828656.1	XP_003706581.1
OG0003861	XP_031838668.1	XP_012140839.1
OG0003862	XP_031842412.1	XP_012136165.1, XP_003701368.1
OG0003863	XP_031837094.1	XP_003701928.1
OG0003864	XP_031838776.1	XP_003701061.1
OG0003865	XP_031833515.1	XP_012150104.1
OG0003866	XP_031842242.1, XP_031842243.1, XP_031842244.1, XP_031842245.1	XP_003703927.1
OG0003867	XP_031844756.1, XP_031844757.1	XP_003699648.1, XP_012140667.1
OG0003868	XP_031828622.1	XP_012146097.1, XP_012146096.1
OG0003869	XP_031840354.1	XP_003702189.1
OG0003870	XP_031830416.1	XP_003704594.1
OG0003871	XP_031847859.1	XP_003706828.1
OG0003872	XP_031835431.1	XP_012149078.1
OG0003872	XP_031849800.1	XP_003700593.2
OG0003873	XP_031840950.1	XP_003704049.1
OG0003875	XP_031831254.1	XP_003705238.1
OG0003876	XP_031841753.1	XP_003701323.1
OG0003877	XP_031850210.1, XP_031850201.1	XP_003700665.1
OG0003878	XP_031838868.1	XP_012140616.1, XP_003703251.1
OG0003879	XP_031828539.1, XP_031828540.1	XP_003702585.1
OG0003880	XP_031846381.1	XP_012135529.1, XP_012135530.1, XP_003701096.1
OG0003881	XP_031845700.1	XP_003703486.1
OG0003882	XP_031826702.1	XP_003700428.1
OG0003883	XP_031828104.1	XP_003706601.1
OG0003884	XP_031825907.1, XP_031825908.1	XP_003699180.1
OG0003885	XP_031837029.1	XP_003706579.1
OG0003886	XP_031840153.1	XP_003705833.1
OG0003888	XP_031831361.1	XP_003700363.1
OG0003889	XP_031834483.1	XP_003706769.1
OG0003890	XP_031829795.1	XP_012145857.1, XP_012145858.1, XP_003705524.1
OG0003891	XP_031833798.1	XP_012139131.1, XP_003699530.1
OG0003892	XP_031833728.1	XP_003707458.1, XP_012150296.1
OG0003893	XP_031834998.1	XP_012136351.1
OG0003894	XP_031848829.1	XP_003703368.1
OG0003895	XP_031835068.1	XP_003703206.1
OG0003896	XP_031829441.1	XP_003704166.1, XP_012142575.1
OG0003897	XP_031842690.1, XP_031842691.1	XP_003699678.1, XP_012141792.1
OG0003898	XP_031846926.1	XP_003708022.1
OG0003899	XP_031839972.1	XP_003701484.1
OG0003900	XP_031848532.1	XP_012152483.1
OG0003901	XP_031825489.1	XP_003707315.1
OG0003902	XP_031826163.1	XP_003699385.1
OG0003903	XP_031846431.1	XP_012153758.1
OG0003904	XP_031833989.1	XP_012139691.1
OG0003905	XP_031830339.1, XP_031830341.1	XP_003701209.1
OG0003907	XP_031843732.1	XP_003704658.1
OG0003908	XP_031833374.1	XP_012149913.1
OG0003909	XP_031848191.1, XP_031848180.1	XP_003703283.1
OG0003910	XP_031847351.1	XP_003705910.1
OG0003911	XP_031828011.1	XP_003706603.1
OG0003912	XP_031835633.1, XP_031848864.1	XP_012153650.1
OG0003913	XP_031848025.1, XP_031848036.1	XP_012137545.1, XP_012137544.1
OG0003914	XP_031842432.1	XP_003706269.1
OG0003915	XP_031844279.1, XP_031844278.1, XP_031844280.1	XP_012142318.1
OG0003916	XP_031840482.1	XP_003700041.2
OG0003917	XP_031827035.1, XP_031827036.1	XP_012154169.1
OG0003918	XP_031844336.1	XP_012152309.1
OG0003919	XP_031846371.1, XP_031846372.1	XP_003701147.1
OG0003920	XP_031847868.1	XP_003706820.1, XP_012148975.1, XP_012148974.1
OG0003921	XP_031844185.1	XP_003708149.1
OG0003922	XP_031845223.1	XP_003699447.1
OG0003923	XP_031832230.1	XP_003703578.1, XP_012140938.1, XP_012140939.1
OG0003924	XP_031832673.1	XP_003708281.1
OG0003925	XP_031848566.1	XP_012150209.1
OG0003926	XP_031837358.1	XP_003701913.1
OG0003927	XP_031837468.1	XP_012141927.1, XP_003703791.1
OG0003928	XP_031848920.1	XP_003700931.1
OG0003929	XP_031839652.1	XP_003702250.2
OG0003930	XP_031834026.1	XP_012144087.1
OG0003931	XP_031840007.1	XP_012149275.1
OG0003932	XP_031829029.1, XP_031829025.1	XP_012134508.1, XP_012134509.1
OG0003933	XP_031837301.1, XP_031837300.1, XP_031837303.1	XP_003702866.1
OG0003935	XP_031846412.1, XP_031846411.1, XP_031846410.1, XP_031846409.1	XP_012144842.1
OG0003938	XP_031835540.1	XP_012151214.1, XP_012151215.1, XP_003707732.1
OG0003939	XP_031829474.1	XP_012145418.1
OG0003941	XP_031839759.1, XP_031839762.1, XP_031839758.1	XP_012136679.1
OG0003943	XP_031842754.1	XP_012146875.1
OG0003950	XP_031825826.1	XP_003708597.2
OG0003951	XP_031831693.1	XP_003706508.1
OG0003952	XP_031845188.1	XP_012139918.1, XP_012139919.1
OG0003954	XP_031833781.1	XP_012136536.1
OG0003955	XP_031847394.1	XP_012153527.1
OG0003956	XP_031827622.1	XP_012134864.1
OG0003957	XP_031836357.1	XP_003704434.2
OG0003958	XP_031830873.1	XP_003699784.1, XP_012143158.1
OG0003959	XP_031832874.1	XP_003702903.1
OG0003960	XP_031836465.1	XP_003701762.1
OG0003961	XP_031832824.1	XP_012139704.1
OG0003962	XP_031849556.1	XP_012146058.1
OG0003963	XP_031838622.1	XP_012140810.1
OG0003964	XP_031826596.1	XP_003704650.1
OG0003965	XP_031828336.1	XP_003708515.1
OG0003966	XP_031838644.1	XP_003703314.1
OG0003967	XP_031840027.1	XP_003704228.1
OG0003968	XP_031843588.1	XP_003704678.2
OG0003969	XP_031849599.1, XP_031849600.1, XP_031849601.1	XP_003708103.1
OG0003970	XP_031836223.1	XP_012147633.1, XP_012147632.1
OG0003971	XP_031850268.1	XP_012146454.1
OG0003972	XP_031837889.1	XP_003700100.1
OG0003973	XP_031842436.1	XP_003700126.1, XP_012150869.1
OG0003975	XP_031836513.1	XP_003702695.1
OG0003976	XP_031850191.1	XP_012154442.1
OG0003977	XP_031825401.1	XP_012139097.1
OG0003978	XP_031844982.1	XP_012138471.1, XP_012138477.1
OG0003979	XP_031845947.1	XP_003699826.1
OG0003980	XP_031849791.1	XP_003707799.1
OG0003981	XP_031831862.1	XP_003700214.1
OG0003982	XP_031832839.1	XP_012139689.1
OG0003983	XP_031843843.1	XP_012149448.1
OG0003984	XP_031842101.1	XP_003705047.1
OG0003985	XP_031837675.1	XP_012149486.1
OG0003986	XP_031844271.1	XP_012142347.1
OG0003987	XP_031847306.1	XP_012146799.1
OG0003988	XP_031837105.1	XP_012137467.1, XP_003701924.1
OG0003989	XP_031831301.1	XP_012139310.1
OG0003990	XP_031841954.1	XP_003706684.1
OG0003991	XP_031844217.1	XP_003699383.2
OG0003992	XP_031837665.1	XP_003700113.1
OG0003993	XP_031850463.1	XP_012142362.1
OG0003994	XP_031839991.1	XP_003701476.1
OG0003995	XP_031838404.1	XP_003706496.1
OG0003996	XP_031827648.1	XP_012143024.1
OG0003997	XP_031835230.1	XP_012147474.1
OG0003998	XP_031835544.1	XP_012147144.1, XP_012147059.1
OG0003999	XP_031845003.1	XP_012142068.1
OG0004000	XP_031846180.1	XP_003705769.2
OG0004001	XP_031827674.1	XP_003704314.1
OG0004002	XP_031826029.1	XP_003704636.1
OG0004003	XP_031849632.1	XP_012152284.1
OG0004005	XP_031849548.1	XP_012147131.1
OG0004006	XP_031844813.1	XP_012144116.1
OG0004007	XP_031838341.1	XP_003703704.1
OG0004008	XP_031849404.1, XP_031849405.1	XP_003700557.2
OG0004009	XP_031849978.1	XP_012154369.1
OG0004010	XP_031840923.1	XP_003705814.1
OG0004011	XP_031835034.1	XP_003707647.1, XP_012150648.1
OG0004012	XP_031829444.1	XP_003705337.1, XP_012145406.1
OG0004013	XP_031839436.1	XP_012151743.1
OG0004014	XP_031837519.1	XP_012141904.1
OG0004015	XP_031849863.1	XP_003701001.1
OG0004016	XP_031825371.1	XP_003707854.1
OG0004017	XP_031835991.1	XP_012142671.1
OG0004019	XP_031826340.1	XP_012143639.1
OG0004020	XP_031847150.1	XP_012151681.1
OG0004021	XP_031845587.1	XP_003700791.1
OG0004022	XP_031828549.1	XP_012153773.1
OG0004024	XP_031830384.1	XP_003702728.1
OG0004025	XP_031846607.1	XP_012149987.1
OG0004026	XP_031831093.1	XP_003706695.2
OG0004027	XP_031839668.1	XP_003701499.1
OG0004028	XP_031835885.1, XP_031835876.1	XP_012135151.1
OG0004029	XP_031843144.1	XP_003705929.1
OG0004030	XP_031846444.1	XP_003704462.1
OG0004031	XP_031839114.1	XP_012151548.1
OG0004032	XP_031847604.1	XP_012151647.1
OG0004033	XP_031827041.1	XP_012145539.1
OG0004034	XP_031829008.1, XP_031829007.1	XP_003703198.1
OG0004035	XP_031837191.1	XP_012139571.1
OG0004036	XP_031839242.1	XP_012141609.1
OG0004037	XP_031838087.1	XP_012152574.1
OG0004038	XP_031839537.1	XP_012137278.1
OG0004039	XP_031847434.1, XP_031847435.1	XP_003705922.1
OG0004040	XP_031846712.1	XP_012137885.1
OG0004041	XP_031826569.1	XP_003702139.1
OG0004042	XP_031849756.1	XP_003707756.1
OG0004043	XP_031839480.1	XP_003707963.2, XP_003707964.1
OG0004044	XP_031829532.1	XP_012142601.1
OG0004045	XP_031844442.1	XP_012142831.1
OG0004046	XP_031841912.1	XP_003706677.2
OG0004047	XP_031830889.1	XP_012148918.1
OG0004048	XP_031842273.1	XP_012152884.1
OG0004050	XP_031826987.1	XP_003700187.1
OG0004051	XP_031847495.1, XP_031847496.1	XP_003708592.1
OG0004052	XP_031831543.1	XP_012144944.1
OG0004053	XP_031826759.1	XP_003700447.1
OG0004054	XP_031838359.1	XP_003703633.1
OG0004055	XP_031829591.1	XP_003708343.2
OG0004056	XP_031827243.1	XP_003700491.1
OG0004057	XP_031840378.1	XP_003703114.1
OG0004058	XP_031841740.1	XP_003700697.1
OG0004059	XP_031827712.1	XP_003704243.1
OG0004060	XP_031830627.1	XP_003701066.1
OG0004061	XP_031834490.1	XP_003703907.1, XP_012141996.1
OG0004062	XP_031839347.1	XP_012151829.1
OG0004063	XP_031827760.1	XP_003704203.1
OG0004064	XP_031833878.1, XP_031833877.1	XP_003705572.1
OG0004065	XP_031846613.1	XP_003707326.1
OG0004066	XP_031849105.1, XP_031849106.1	XP_003703382.1
OG0004068	XP_031843287.1	XP_012149326.1
OG0004069	XP_031842573.1	XP_003699672.1
OG0004070	XP_031839379.1	XP_003703876.1
OG0004071	XP_031833403.1	XP_012139093.1
OG0004072	XP_031841386.1	XP_003700180.1
OG0004073	XP_031847973.1, XP_031847972.1	XP_003706900.1
OG0004074	XP_031838153.1	XP_003705556.1
OG0004076	XP_031831315.1	XP_012144974.1
OG0004077	XP_031837079.1	XP_003700261.1
OG0004078	XP_031840780.1	XP_003705170.1
OG0004080	XP_031846812.1, XP_031846813.1	XP_012141702.1
OG0004081	XP_031841199.1	XP_003699221.1
OG0004082	XP_031846944.1	XP_003708020.1
OG0004083	XP_031845509.1	XP_012152777.1, XP_012152782.1
OG0004084	XP_031849014.1	XP_003703436.1
OG0004085	XP_031832640.1	XP_003702950.1
OG0004086	XP_031846846.1	XP_012151496.1
OG0004087	XP_031830813.1	XP_003699766.2
OG0004088	XP_031844748.1	XP_003699602.2
OG0004089	XP_031835576.1	XP_003699968.1
OG0004090	XP_031836015.1	XP_003703169.1
OG0004091	XP_031841195.1	XP_003701127.1
OG0004092	XP_031844333.1	XP_012152332.1, XP_012152331.1
OG0004093	XP_031849894.1	XP_012138726.1
OG0004094	XP_031834090.1, XP_031834091.1	XP_012143362.1
OG0004095	XP_031841323.1	XP_003700736.1
OG0004096	XP_031847169.1	XP_003703820.1
OG0004097	XP_031829354.1	XP_003708408.1
OG0004098	XP_031840247.1, XP_031840248.1, XP_031840249.1	XP_012140565.1, XP_012140567.1
OG0004099	XP_031826141.1	XP_003702181.1
OG0004100	XP_031830498.1	XP_003704609.1
OG0004101	XP_031847988.1	XP_003700235.1
OG0004102	XP_031847048.1, XP_031847057.1	XP_003705866.1
OG0004103	XP_031829022.1	XP_003700588.2
OG0004104	XP_031836270.1	XP_003702938.1
OG0004105	XP_031835025.1	XP_003699388.1
OG0004106	XP_031849595.1	XP_003708113.1
OG0004107	XP_031840276.1	XP_003703326.1
OG0004108	XP_031831385.1	XP_003701444.1
OG0004109	XP_031848450.1	XP_012142155.1, XP_012142154.1
OG0004110	XP_031828082.1, XP_031828083.1	XP_003703128.1
OG0004111	XP_031841959.1	XP_003706058.1
OG0004112	XP_031832868.1, XP_031832869.1	XP_003702793.1
OG0004113	XP_031846543.1	XP_012144826.1
OG0004114	XP_031842750.1	XP_003705955.2
OG0004115	XP_031838772.1	XP_003702430.1
OG0004116	XP_031842941.1	XP_003708609.1
OG0004117	XP_031840012.1	XP_003701503.1, XP_012136704.1
OG0004118	XP_031845257.1	XP_003706191.1, XP_012147384.1
OG0004119	XP_031847471.1	XP_003705505.1
OG0004120	XP_031840348.1	XP_003706611.1
OG0004121	XP_031844991.1	XP_012142032.1, XP_012142033.1, XP_003703936.1
OG0004122	XP_031836313.1	XP_003700730.1
OG0004123	XP_031841482.1	XP_003700749.1
OG0004124	XP_031842776.1, XP_031842774.1	XP_003705903.1
OG0004125	XP_031847819.1	XP_012148966.1, XP_003706983.1
OG0004126	XP_031828779.1	XP_003707111.1, XP_012149568.1
OG0004127	XP_031839705.1	XP_003701517.2
OG0004128	XP_031840726.1	XP_003703983.1
OG0004129	XP_031829253.1, XP_031829254.1	XP_003705328.1
OG0004130	XP_031830388.1	XP_003702730.1
OG0004131	XP_031840708.1	XP_012142269.1, XP_003704007.1
OG0004132	XP_031836854.1	XP_012151074.1
OG0004133	XP_031848339.1	XP_003706074.2
OG0004134	XP_031850035.1	XP_003707752.1
OG0004135	XP_031833549.1	XP_003707464.1
OG0004136	XP_031838810.1	XP_003702414.2
OG0004137	XP_031846781.1	XP_003702044.1
OG0004138	XP_031847468.1	XP_003705508.1
OG0004139	XP_031839914.1	XP_012136726.1
OG0004140	XP_031848341.1	XP_012147206.1, XP_003706070.1
OG0004141	XP_031847271.1, XP_031847269.1	XP_003700866.1
OG0004142	XP_031830141.1	XP_003701243.1
OG0004143	XP_031828609.1	XP_003702612.1
OG0004144	XP_031829244.1	XP_003702475.1
OG0004145	XP_031826862.1	XP_012154130.1
OG0004146	XP_031830084.1	XP_012135745.1
OG0004147	XP_031847314.1	XP_003705503.1
OG0004148	XP_031828533.1	XP_003700658.1
