Orthogroup	Nomia_melanderi	Bombus_terrestris
OG0003892	XP_031833728.1	XP_003395810.2
OG0003893	XP_031834998.1	XP_003397455.1
OG0003894	XP_031848829.1	XP_012164756.1, XP_003396041.1
OG0003895	XP_031835068.1	XP_003397704.1
OG0003896	XP_031829441.1	XP_012172671.1
OG0003897	XP_031842690.1, XP_031842691.1	XP_003401538.1
OG0003898	XP_031846926.1	XP_012163125.1, XP_003393038.1
OG0003899	XP_031839972.1	XP_012174367.1
OG0003900	XP_031848532.1	XP_003400725.1
OG0003901	XP_031825489.1	XP_020718841.1
OG0003902	XP_031826163.1	XP_003399441.1
OG0003903	XP_031846431.1	XP_003398832.1
OG0003904	XP_031833989.1	XP_003403317.1, XP_020723924.1
OG0003905	XP_031830339.1, XP_031830341.1	XP_020723823.1
OG0003906	XP_031829004.1, XP_031829003.1, XP_031829005.1	XP_012166749.1
OG0003907	XP_031843732.1	XP_012174429.1
OG0003908	XP_031833374.1	XP_003395686.1
OG0003909	XP_031848191.1, XP_031848180.1	XP_003396168.1
OG0003910	XP_031847351.1	XP_003401206.1
OG0003911	XP_031828011.1	XP_003396389.1
OG0003912	XP_031835633.1, XP_031848864.1	XP_020721218.1
OG0003913	XP_031848025.1, XP_031848036.1	XP_003400503.1
OG0003914	XP_031842432.1	XP_003395173.1
OG0003915	XP_031844279.1, XP_031844278.1, XP_031844280.1	XP_003394616.1
OG0003916	XP_031840482.1	XP_003397855.1
OG0003917	XP_031827035.1, XP_031827036.1	XP_003399630.1
OG0003918	XP_031844336.1	XP_003394365.1
OG0003919	XP_031846371.1, XP_031846372.1	XP_003401634.2
OG0003920	XP_031847868.1	XP_003398051.1
OG0003921	XP_031844185.1	XP_003394099.1
OG0003922	XP_031845223.1	XP_012163361.1
OG0003923	XP_031832230.1	XP_003402687.1
OG0003924	XP_031832673.1	XP_012171630.1
OG0003925	XP_031848566.1	XP_003395735.1
OG0003926	XP_031837358.1	XP_003400931.1
OG0003927	XP_031837468.1	XP_012166843.1, XP_003393282.1
OG0003928	XP_031848920.1	XP_003393519.1
OG0003929	XP_031839652.1	XP_003393808.1, XP_012174877.1
OG0003930	XP_031834026.1	XP_020719884.1, XP_012166368.1, XP_012166369.1, XP_012166366.1, XP_012166367.1, XP_003397076.1
OG0003931	XP_031840007.1	XP_012167630.1, XP_003398023.1
OG0003932	XP_031829029.1, XP_031829025.1	XP_003398995.1
OG0003933	XP_031837301.1, XP_031837300.1, XP_031837303.1	XP_003400836.1, XP_020722043.1
OG0003934	XP_031833934.1	XP_003401982.1
OG0003935	XP_031846412.1, XP_031846411.1, XP_031846410.1, XP_031846409.1	XP_003403079.1
OG0003936	XP_031843981.1	XP_020721035.1, XP_012165024.1
OG0003937	XP_031835809.1	XP_012168226.1
OG0003938	XP_031835541.1, XP_031835540.1	XP_012168646.1
OG0003939	XP_031829474.1	XP_012172020.1, XP_012172021.1, XP_020722711.1, XP_012172017.1, XP_012172019.1, XP_012172018.1
OG0003941	XP_031839759.1, XP_031839762.1, XP_031839758.1	XP_020723408.1
OG0003950	XP_031825826.1	XP_020722552.1
OG0003951	XP_031831693.1	XP_012163744.1
OG0003952	XP_031845188.1	XP_012163499.1
OG0003953	XP_031840995.1	XP_003397885.1, XP_003397865.1
OG0003954	XP_031833781.1	XP_003393962.3
OG0003955	XP_031847394.1	XP_020722752.1
OG0003956	XP_031827622.1	XP_012170608.1
OG0003957	XP_031836357.1	XP_003400146.1
OG0003958	XP_031830873.1	XP_003402562.1
OG0003959	XP_031832874.1	XP_003400385.1
OG0003961	XP_031832824.1	XP_012171522.1
OG0003962	XP_031849556.1	XP_012176119.1
OG0003963	XP_031838622.1	XP_003396023.1
OG0003964	XP_031826596.1	XP_003396906.1
OG0003965	XP_031828336.1	XP_003396425.2
OG0003966	XP_031838644.1	XP_003396026.1
OG0003967	XP_031840027.1	XP_012170957.1
OG0003968	XP_031843588.1	XP_003396228.1
OG0003969	XP_031849599.1, XP_031849600.1, XP_031849601.1	XP_003394584.1
OG0003970	XP_031836223.1	XP_003393605.1
OG0003971	XP_031850268.1	XP_012169552.1
OG0003972	XP_031837889.1	XP_020720474.1
OG0003973	XP_031842436.1	XP_003397947.1
OG0003974	XP_031825742.1	XP_020722798.1, XP_003401135.1
OG0003975	XP_031836513.1	XP_003395914.2
OG0003976	XP_031850191.1	XP_012169356.1
OG0003977	XP_031825401.1	XP_012164310.1
OG0003978	XP_031844982.1	XP_020724199.1
OG0003979	XP_031845947.1	XP_003400952.1
OG0003980	XP_031849791.1	XP_003398726.1
OG0003981	XP_031831862.1	XP_012173547.1
OG0003982	XP_031832839.1	XP_003400646.2
OG0003983	XP_031843843.1	XP_012168433.2
OG0003984	XP_031842101.1	XP_003392868.1
OG0003985	XP_031837675.1	XP_003401942.1
OG0003986	XP_031844271.1	XP_012176573.1
OG0003987	XP_031847306.1	XP_012172199.1
OG0003988	XP_031837105.1	XP_003393394.1
OG0003989	XP_031831301.1	XP_003401667.1
OG0003990	XP_031841954.1	XP_012168001.1
OG0003991	XP_031844217.1	XP_012168555.1
OG0003992	XP_031837665.1	XP_003397879.2
OG0003994	XP_031839991.1	XP_012174357.1
OG0003995	XP_031838404.1	XP_020723074.1
OG0003996	XP_031827648.1	XP_003400030.1
OG0003997	XP_031835230.1	XP_012174446.1
OG0003998	XP_031835544.1	XP_012168628.1
OG0003999	XP_031845003.1	XP_020718478.1
OG0004000	XP_031846180.1	XP_003402702.1
OG0004001	XP_031827674.1	XP_003400098.1
OG0004002	XP_031826029.1	XP_003396897.1
OG0004003	XP_031849632.1	XP_012174654.1
OG0004004	XP_031838446.1	XP_003397124.2, XP_003402532.1
OG0004005	XP_031849548.1	XP_012176195.1
OG0004006	XP_031844813.1	XP_020720206.1
OG0004007	XP_031838341.1	XP_003397004.1
OG0004008	XP_031849404.1, XP_031849405.1	XP_003399321.1
OG0004009	XP_031849978.1	XP_020723221.1
OG0004012	XP_031829444.1	XP_003401202.1
OG0004013	XP_031839436.1	XP_012164100.1
OG0004014	XP_031837519.1	XP_012166948.1
OG0004015	XP_031849863.1	XP_012169070.1
OG0004016	XP_031825371.1	XP_003399539.1
OG0004017	XP_031835991.1	XP_012170928.1
OG0004019	XP_031826340.1	XP_003396861.1
OG0004020	XP_031847150.1	XP_012164476.1
OG0004021	XP_031845587.1	XP_012174081.1
OG0004022	XP_031828549.1	XP_012169545.1
OG0004024	XP_031830384.1	XP_003401635.1
OG0004025	XP_031846607.1	XP_003395644.1
OG0004027	XP_031839668.1	XP_003393673.1
OG0004028	XP_031835885.1, XP_031835876.1	XP_003394087.2
OG0004029	XP_031843144.1	XP_003401400.1
OG0004030	XP_031846444.1	XP_003399158.1
OG0004031	XP_031839114.1	XP_003393452.1
OG0004032	XP_031847604.1	XP_012164702.1
OG0004033	XP_031827041.1	XP_003402122.1
OG0004034	XP_031829008.1, XP_031829007.1	XP_003399212.1
OG0004035	XP_031837191.1	XP_003400441.2
OG0004036	XP_031839242.1	XP_012165575.1
OG0004037	XP_031848750.1, XP_031838087.1	XP_012167417.2
OG0004038	XP_031839537.1	XP_012172264.1
OG0004039	XP_031847434.1, XP_031847435.1	XP_003401182.1
OG0004040	XP_031846712.1	XP_020719339.1
OG0004041	XP_031826569.1	XP_003396921.1
OG0004042	XP_031849756.1	XP_003398735.1
OG0004043	XP_031839480.1	XP_020720555.1
OG0004044	XP_031829532.1	XP_012171994.2
OG0004045	XP_031844442.1	XP_003400219.1
OG0004046	XP_031841912.1	XP_003393512.2
OG0004047	XP_031830889.1	XP_012168116.1
OG0004048	XP_031842273.1	XP_003395235.1
OG0004050	XP_031826987.1	XP_003399909.1
OG0004051	XP_031847495.1, XP_031847496.1	XP_003401568.1
OG0004052	XP_031831543.1	XP_003401998.3
OG0004053	XP_031826759.1	XP_003402109.1
OG0004054	XP_031838359.1	XP_003397349.1
OG0004055	XP_031829591.1	XP_012171703.1, XP_003400780.2
OG0004056	XP_031827243.1	XP_012173669.1, XP_003402105.1
OG0004057	XP_031840378.1	XP_003396433.2
OG0004058	XP_031841740.1	XP_003399509.1
OG0004059	XP_031827712.1	XP_012171070.1
OG0004060	XP_031830627.1	XP_003398444.1
OG0004061	XP_031834490.1	XP_003395029.1
OG0004062	XP_031839347.1	XP_020724326.1
OG0004063	XP_031827760.1	XP_003403424.2
OG0004064	XP_031833878.1, XP_031833877.1	XP_003396474.1
OG0004065	XP_031846613.1	XP_003395667.1
OG0004066	XP_031849105.1, XP_031849106.1	XP_003396009.1
OG0004067	XP_031845729.1	XP_012175279.1, XP_003403281.1
OG0004068	XP_031843287.1	XP_003397983.1
OG0004069	XP_031842573.1	XP_003401546.1
OG0004070	XP_031839379.1	XP_003392904.1
OG0004071	XP_031833403.1	XP_003395515.1
OG0004072	XP_031841386.1	XP_003399464.1
OG0004073	XP_031847973.1, XP_031847972.1	XP_003398505.3
OG0004074	XP_031838153.1	XP_012168709.1
OG0004075	XP_031839168.1	XP_003393165.1
OG0004076	XP_031831315.1	XP_003395758.1
OG0004077	XP_031837079.1	XP_012169627.1
OG0004078	XP_031840780.1	XP_003402351.1
OG0004080	XP_031846812.1, XP_031846813.1	XP_003392947.1
OG0004081	XP_031841199.1	XP_003399436.1
OG0004082	XP_031846944.1	XP_003393040.1
OG0004083	XP_031845509.1	XP_003402493.1
OG0004084	XP_031849014.1	XP_003397144.1
OG0004085	XP_031832640.1	XP_003400883.1, XP_012171660.1
OG0004086	XP_031846846.1	XP_003393042.1
OG0004087	XP_031830813.1	XP_020720661.1
OG0004088	XP_031844748.1	XP_020722769.1
OG0004089	XP_031835576.1	XP_003399029.1
OG0004090	XP_031836015.1	XP_003400019.1, XP_012170663.1
OG0004091	XP_031841195.1	XP_003403121.1
OG0004092	XP_031844333.1	XP_012176250.1
OG0004093	XP_031849894.1	XP_003398955.1
OG0004094	XP_031834090.1, XP_031834091.1	XP_003400521.1
OG0004095	XP_031841323.1	XP_003399483.1
OG0004096	XP_031847169.1	XP_003393020.1, XP_012176581.1
OG0004097	XP_031829354.1	XP_012174142.1
OG0004098	XP_031840247.1, XP_031840248.1, XP_031840249.1	XP_012174727.1
OG0004099	XP_031826141.1	XP_003396525.1, XP_020719356.1
OG0004100	XP_031830498.1	XP_012168034.1
OG0004101	XP_031847988.1	XP_003395767.1
OG0004102	XP_031847048.1, XP_031847057.1	XP_003396066.1
OG0004103	XP_031829022.1	XP_012169169.1
OG0004104	XP_031836270.1	XP_003400815.1
OG0004105	XP_031835025.1	XP_003397745.1, XP_012167085.1
OG0004106	XP_031849595.1	XP_003394581.1
OG0004107	XP_031840276.1	XP_012174717.1
OG0004108	XP_031831385.1	XP_020723372.1, XP_003393709.1
OG0004109	XP_031848450.1	XP_003394711.1
OG0004110	XP_031828082.1, XP_031828083.1	XP_003396314.1
OG0004111	XP_031841959.1	XP_003393315.1
OG0004112	XP_031832868.1, XP_031832869.1	XP_003400570.1
OG0004113	XP_031846543.1	XP_020723813.1
OG0004114	XP_031842750.1	XP_020722509.1
OG0004115	XP_031838772.1	XP_003396117.1
OG0004116	XP_031842941.1	XP_012172408.1
OG0004117	XP_031840012.1	XP_012174801.1
OG0004118	XP_031845257.1	XP_003394893.1
OG0004119	XP_031847471.1	XP_003401369.1
OG0004120	XP_031840348.1	XP_020719648.1
OG0004121	XP_031844991.1	XP_012163072.1
OG0004122	XP_031836313.1	XP_003394516.1
OG0004123	XP_031841482.1	XP_003399845.1
OG0004124	XP_031842776.1, XP_031842774.1	XP_003401028.1
OG0004125	XP_031847819.1	XP_020720669.1
OG0004126	XP_031828779.1	XP_012171232.1
OG0004127	XP_031839705.1	XP_003393795.1
OG0004128	XP_031840726.1	XP_003394564.1
OG0004129	XP_031829253.1, XP_031829254.1	XP_003397981.1
OG0004130	XP_031830388.1	XP_003401626.1
OG0004131	XP_031840708.1	XP_003394685.1
OG0004132	XP_031836854.1	XP_003399207.1
OG0004133	XP_031848339.1	XP_003394461.1
OG0004134	XP_031850035.1	XP_003398931.1
OG0004135	XP_031833549.1	XP_003395821.1
OG0004136	XP_031838810.1	XP_003396107.1
OG0004137	XP_031846781.1	XP_012165517.1
OG0004138	XP_031847468.1	XP_003401376.1
OG0004139	XP_031839914.1	XP_020721333.1
OG0004140	XP_031848341.1	XP_003394467.1
OG0004141	XP_031847271.1, XP_031847269.1	XP_003393532.1
OG0004142	XP_031830141.1	XP_003401754.1
OG0004143	XP_031828609.1	XP_020720043.1
OG0004144	XP_031829244.1	XP_003403057.1
OG0004145	XP_031826862.1	XP_012170127.1
OG0004146	XP_031830084.1	XP_003403110.1
OG0004147	XP_031847314.1	XP_003401381.1
OG0004148	XP_031828533.1	XP_003402166.1
OG0004149	XP_031831029.1	XP_003398383.1
OG0004150	XP_031843324.1	XP_003395379.1
OG0004151	XP_031827116.1, XP_031827118.1	XP_003399636.2
OG0004152	XP_031843378.1	XP_003395404.1
OG0004153	XP_031828680.1	XP_020720218.1
OG0004154	XP_031842848.1	XP_003401316.1
OG0004155	XP_031846414.1	XP_003397702.1
OG0004156	XP_031849449.1	XP_020721199.1
OG0004157	XP_031830669.1	XP_003398055.1
OG0004158	XP_031839515.1, XP_031839507.1	XP_020720112.1
OG0004159	XP_031846487.1, XP_031846496.1	XP_020722967.1
OG0004160	XP_031841258.1, XP_031841245.1	XP_003398527.1
OG0004161	XP_031835990.1	XP_003400182.1
OG0004162	XP_031826465.1	XP_003396351.1
OG0004163	XP_031828849.1	XP_003398993.1
OG0004164	XP_031834358.1, XP_031834357.1	XP_003395120.1
OG0004165	XP_031837660.1	XP_003399929.1
OG0004166	XP_031832697.1	XP_003400848.1
OG0004167	XP_031839526.1	XP_003393653.2
OG0004168	XP_031831065.1	XP_003400320.1
OG0004169	XP_031841865.1	XP_012166325.1
OG0004170	XP_031840567.1	XP_003400349.1
OG0004171	XP_031830304.1	XP_012174998.1
OG0004172	XP_031825861.1	XP_003398574.1
OG0004173	XP_031847862.1	XP_003398125.1
OG0004174	XP_031825864.1	XP_003398524.1
OG0004175	XP_031836178.1	XP_020722010.1, XP_003400392.1
OG0004176	XP_031833266.1	XP_012163201.1
OG0004177	XP_031828129.1	XP_020719676.1, XP_012165909.1
OG0004178	XP_031843380.1	XP_003396229.1
OG0004179	XP_031837985.1	XP_012173373.1
OG0004180	XP_031830203.1	XP_012175202.2
OG0004181	XP_031833983.1	XP_003397304.1
OG0004182	XP_031840552.1	XP_003396615.1
OG0004183	XP_031839016.1	XP_003396083.1
OG0004184	XP_031844317.1	XP_003394356.1
OG0004185	XP_031843083.1	XP_003401602.1
OG0004186	XP_031837869.1	XP_003397740.1
OG0004187	XP_031844364.1	XP_020721860.1
OG0004188	XP_031833348.1	XP_020718511.1, XP_020718510.1
OG0004189	XP_031833352.1	XP_003394920.1
OG0004190	XP_031845108.1	XP_003395087.1
OG0004191	XP_031837945.1	XP_003400493.1
OG0004192	XP_031832028.1, XP_031832031.1	XP_012166472.1
OG0004193	XP_031829423.1	XP_003401445.1
OG0004194	XP_031838314.1	XP_012166261.1
OG0004195	XP_031830123.1	XP_020723759.1
OG0004196	XP_031833835.1	XP_003395875.1, XP_003395873.1
OG0004197	XP_031845750.1, XP_031845749.1	XP_003397295.1
OG0004198	XP_031847082.1, XP_031847083.1	XP_003399308.1
OG0004199	XP_031847702.1	XP_003394851.1
OG0004200	XP_031837883.1	XP_020722259.1
OG0004201	XP_031845897.1	XP_003400732.1
OG0004202	XP_031827693.1	XP_012170719.1
OG0004203	XP_031840110.1	XP_003397607.1
OG0004204	XP_031832269.1	XP_003397014.1
OG0004205	XP_031827070.1	XP_003402127.1
OG0004206	XP_031845814.1	XP_020719813.1, XP_012166731.2
OG0004207	XP_031843645.1	XP_003402522.2
OG0004208	XP_031838334.1	XP_003397828.1
OG0004209	XP_031831030.1	XP_003398388.1
OG0004210	XP_031825601.1	XP_003395440.1
OG0004211	XP_031833507.1	XP_003395708.1
OG0004212	XP_031825680.1	XP_003395690.1
OG0004213	XP_031847368.1	XP_003396112.1
OG0004214	XP_031846770.1	XP_003396071.1
OG0004215	XP_031838867.1	XP_003396155.1
OG0004216	XP_031846991.1	XP_003396127.1
OG0004217	XP_031834393.1	XP_012163404.1
OG0004218	XP_031834420.1	XP_003395246.1
OG0004219	XP_031841797.1	XP_003399651.1
OG0004220	XP_031843429.1	XP_003396226.1
OG0004221	XP_031842173.1	XP_012172028.1
OG0004222	XP_031843386.1	XP_012172462.1, XP_012172461.1
OG0004223	XP_031846457.1	XP_003403073.1
OG0004224	XP_031829050.1	XP_003398826.1
OG0004225	XP_031847142.1	XP_012164907.1
OG0004226	XP_031833649.1	XP_012163821.1, XP_003395841.1
OG0004228	XP_031825844.1	XP_003398179.1
OG0004229	XP_031836059.1	XP_003401854.1
OG0004230	XP_031833505.1	XP_003395574.1
OG0004231	XP_031834457.1	XP_012163076.1
OG0004232	XP_031827555.1	XP_003399503.1
OG0004233	XP_031826051.1	XP_003396646.1
OG0004234	XP_031845660.1	XP_003395590.1
OG0004235	XP_031833093.1	XP_003400403.1, XP_020722013.1
OG0004236	XP_031834909.1	XP_012175675.1
OG0004237	XP_031849428.1, XP_031849427.1	XP_020721196.1
OG0004238	XP_031849173.1	XP_012169222.1
OG0004239	XP_031849971.1	XP_003399227.2
OG0004240	XP_031840834.1	XP_003394672.1
OG0004242	XP_031841761.1	XP_003399751.2
OG0004243	XP_031829378.1	XP_012163346.1, XP_012163347.1
OG0004245	XP_031840324.1	XP_012167508.1
OG0004246	XP_031833892.1	XP_003395725.1
OG0004247	XP_031846639.1	XP_020718879.1, XP_020718878.1
OG0004248	XP_031848293.1	XP_003394721.1
OG0004249	XP_031848460.1	XP_003394717.1
OG0004250	XP_031826565.1	XP_003401665.1
OG0004251	XP_031839658.1	XP_003393811.1
OG0004252	XP_031839720.1	XP_003393819.1
OG0004253	XP_031838664.1	XP_012164828.2
OG0004254	XP_031826445.1, XP_031826442.1	XP_003396665.1
OG0004255	XP_031846282.1	XP_020719317.1, XP_020719316.1
OG0004256	XP_031836787.1, XP_031834902.1, XP_031834772.1	XP_012174041.1
OG0004257	XP_031839608.1, XP_031839609.1	XP_003393779.1
OG0004258	XP_031828637.1	XP_003394673.1
OG0004259	XP_031848371.1	XP_020724079.1, XP_003394151.1
OG0004260	XP_031840996.1, XP_031840994.1	XP_003394138.2
OG0004261	XP_031836187.1, XP_031836095.1	XP_012176459.1
OG0004262	XP_031827563.1	XP_003394482.1
OG0004263	XP_031828498.1	XP_003394788.1
OG0004264	XP_031847578.1, XP_031847573.1	XP_020720856.1
OG0004265	XP_031837588.1	XP_003393287.1
OG0004266	XP_031837446.1, XP_031837447.1	XP_003393301.1
OG0004267	XP_031843976.1	XP_003393259.1
OG0004268	XP_031843983.1	XP_003393250.1
OG0004269	XP_031846480.1	XP_012169462.1, XP_003399270.1
OG0004270	XP_031831290.1, XP_031831289.1	XP_003395285.1
OG0004271	XP_031834844.1	XP_003398652.1
OG0004272	XP_031837874.1	XP_003401946.1
OG0004273	XP_031837658.1	XP_003401933.1
OG0004274	XP_031844305.1	XP_012174633.1, XP_012174634.1
OG0004275	XP_031838358.1	XP_003397353.1
OG0004276	XP_031834119.1	XP_012166231.2
OG0004277	XP_031842302.1	XP_012163618.1
OG0004278	XP_031826519.1	XP_012166189.1
OG0004279	XP_031826496.1	XP_003396950.1
OG0004280	XP_031831580.1	XP_012165948.1
OG0004281	XP_031838648.1	XP_020718983.1
OG0004282	XP_031836689.1	XP_003395922.1
OG0004283	XP_031836789.1	XP_012164537.1
OG0004284	XP_031837200.1, XP_031837205.1	XP_020722132.1
OG0004285	XP_031836978.1	XP_003400833.1, XP_012171880.1
OG0004286	XP_031838110.1	XP_012172049.1
OG0004287	XP_031847272.1	XP_012173753.1
OG0004288	XP_031848656.1, XP_031848657.1	XP_003393642.1
OG0004289	XP_031827262.1	XP_003399989.1
OG0004290	XP_031827266.1	XP_012170130.1
OG0004291	XP_031847618.1	XP_012170915.1, XP_003400168.1
OG0004292	XP_031847634.1	XP_003400170.1
OG0004293	XP_031849551.1	XP_012176212.1
OG0004294	XP_031831838.1	XP_003402996.2, XP_012174848.1
OG0004295	XP_031835304.1	XP_012167293.1
OG0004296	XP_031847995.1	XP_003397362.1
OG0004297	XP_031849560.1	XP_012176127.1
OG0004298	XP_031849522.1	XP_012176133.2
OG0004299	XP_031832319.1	XP_012171019.1
OG0004300	XP_031832365.1	XP_020721960.1
OG0004301	XP_031846164.1	XP_020719683.1
OG0004302	XP_031828524.1	XP_012169543.1
OG0004303	XP_031832241.1	XP_003397210.1
OG0004304	XP_031833200.1	XP_020718345.1
OG0004305	XP_031840437.1	XP_003400525.1
OG0004306	XP_031830116.1	XP_012175012.1
OG0004307	XP_031832049.1, XP_031832050.1	XP_012166396.1
OG0004308	XP_031832014.1	XP_003397107.2
OG0004309	XP_031840542.1, XP_031840541.1	XP_003396719.1
OG0004310	XP_031827887.1	XP_012165117.1
OG0004311	XP_031843193.1, XP_031843197.1	XP_012172723.1
OG0004313	XP_031836047.1	XP_003393606.1
OG0004314	XP_031836151.1	XP_003393599.1
OG0004315	XP_031836170.1	XP_020723300.1
OG0004316	XP_031836176.1	XP_012171274.1
OG0004317	XP_031836284.1	XP_012172346.1
OG0004318	XP_031836379.1	XP_003393623.1
OG0004319	XP_031832192.1, XP_031832191.1	XP_012166469.1
OG0004320	XP_031831894.1	XP_003397264.1
OG0004321	XP_031829519.1	XP_012172655.1
OG0004322	XP_031829529.1, XP_031829528.1	XP_012172659.1
OG0004324	XP_031840042.1	XP_012171035.1, XP_012171033.1
OG0004325	XP_031835961.1	XP_012171052.1
OG0004326	XP_031835956.1	XP_012171119.1
OG0004327	XP_031826899.1, XP_031826898.1	XP_003402200.1
OG0004328	XP_031827080.1	XP_003399738.1
OG0004329	XP_031827076.1	XP_020721692.1
OG0004330	XP_031841197.1	XP_012175131.1
OG0004331	XP_031829992.1	XP_012175141.1
OG0004332	XP_031829816.1, XP_031829817.1	XP_012175148.1
OG0004333	XP_031829745.1	XP_012175144.1
OG0004334	XP_031830267.1, XP_031830265.1	XP_020722912.1
OG0004335	XP_031834244.1	XP_003397059.1
OG0004336	XP_031834226.1	XP_012166342.1
OG0004337	XP_031841803.1	XP_012166312.1
OG0004338	XP_031838392.1	XP_003402365.1
OG0004339	XP_031848982.1	XP_003397158.1
OG0004340	XP_031849013.1	XP_003397162.3
OG0004341	XP_031838398.1	XP_012173981.1
OG0004342	XP_031836814.1, XP_031836810.1	XP_020724296.1
OG0004343	XP_031844553.1	XP_012176415.1
OG0004344	XP_031840983.1	XP_003394272.1
OG0004345	XP_031832180.1	XP_003397234.1, XP_012166574.1
OG0004346	XP_031832011.1	XP_012166582.1
OG0004347	XP_031833891.1	XP_012176760.1, XP_003394842.1
OG0004348	XP_031837052.1	XP_003399054.1
OG0004349	XP_031842555.1	XP_003401554.1
OG0004350	XP_031847987.1	XP_003395770.2
OG0004351	XP_031849073.1	XP_020723885.1
OG0004352	XP_031836784.1	XP_012174838.2
OG0004353	XP_031827744.1, XP_031827742.1	XP_003400298.1
OG0004354	XP_031827746.1	XP_020721777.1, XP_012171072.1
OG0004355	XP_031845790.1	XP_012166659.1
OG0004356	XP_031832209.1	XP_012175289.2
OG0004357	XP_031845971.1	XP_012171776.1
OG0004358	XP_031827701.1	XP_003400039.1
OG0004359	XP_031827835.1	XP_003400035.1
OG0004360	XP_031827722.1	XP_012170754.1
OG0004361	XP_031827665.1	XP_020721945.1
OG0004362	XP_031848985.1	XP_003400057.1
OG0004363	XP_031827695.1	XP_012170669.1
OG0004364	XP_031844635.1	XP_003394542.1
OG0004365	XP_031845100.1	XP_020718290.1
OG0004366	XP_031845391.1	XP_003395060.1
OG0004367	XP_031845125.1, XP_031845124.1	XP_012163073.1
OG0004368	XP_031842799.1, XP_031842800.1	XP_012172491.1
OG0004369	XP_031832302.1	XP_012169941.1
OG0004370	XP_031832295.1	XP_003397024.1
OG0004371	XP_031840905.1	XP_003394222.1
OG0004372	XP_031847359.1	XP_012172540.2
OG0004373	XP_031847362.1	XP_003401373.1
OG0004374	XP_031847318.1	XP_003401587.1
OG0004375	XP_031843066.1, XP_031843067.1	XP_012172364.1
OG0004376	XP_031847492.1, XP_031847490.1	XP_012172377.1
OG0004377	XP_031834880.1	XP_012170475.1
OG0004378	XP_031829207.1	XP_020723968.1
OG0004379	XP_031838807.1	XP_020718971.1
OG0004380	XP_031838268.1	XP_012173892.1
OG0004381	XP_031842160.1	XP_012173820.1, XP_012173815.1
OG0004382	XP_031827072.1	XP_003402125.1
OG0004383	XP_031826985.1	XP_003402137.1
OG0004384	XP_031825658.1	XP_012173716.1, XP_003402156.1
OG0004385	XP_031834214.1	XP_003397380.1
OG0004386	XP_031838172.1	XP_003397587.1
OG0004387	XP_031844219.1	XP_012167125.1
OG0004388	XP_031845301.1	XP_003397580.1
OG0004389	XP_031845315.1	XP_012167124.1
OG0004390	XP_031845494.1	XP_003397719.1
OG0004391	XP_031846206.1	XP_003397571.1
OG0004392	XP_031840311.1	XP_003398038.1
OG0004393	XP_031835108.1	XP_020720224.1
OG0004394	XP_031842470.1	XP_003397432.1
OG0004395	XP_031848934.1, XP_031838097.1, XP_031838096.1	XP_012167363.1
OG0004396	XP_031838388.1, XP_031838397.1	XP_012167401.1
OG0004397	XP_031843522.1	XP_012167428.2
OG0004398	XP_031843523.1	XP_012167430.1
OG0004399	XP_031837047.1	XP_003398928.1
OG0004400	XP_031828891.1	XP_003397508.1
OG0004401	XP_031835131.1	XP_012167086.1
OG0004402	XP_031846242.1	XP_012171324.1
OG0004403	XP_031825630.1	XP_012163855.1
OG0004404	XP_031833506.1	XP_012164219.1
OG0004405	XP_031825483.1	XP_012164214.1
OG0004406	XP_031833551.1	XP_020718966.1
OG0004408	XP_031833725.1	XP_003395576.1
OG0004409	XP_031825342.1	XP_012169975.1
OG0004410	XP_031841326.1	XP_020721412.1
OG0004411	XP_031830945.1, XP_031830942.1	XP_012168145.1, XP_012168144.1
OG0004412	XP_031845632.1	XP_012168872.1
OG0004413	XP_031846986.1	XP_003398806.1
OG0004414	XP_031828785.1	XP_012163167.1
OG0004415	XP_031843430.1	XP_012174456.1
OG0004416	XP_031843441.1	XP_003402788.1
OG0004417	XP_031841273.1	XP_020720645.1, XP_003398209.1
OG0004418	XP_031841268.1	XP_020720674.1
OG0004419	XP_031843892.1	XP_012167878.1
OG0004420	XP_031843894.1	XP_020720693.1
OG0004421	XP_031825903.1	XP_003398375.1
OG0004422	XP_031830466.1	XP_020720756.1
OG0004423	XP_031837290.1	XP_012171600.1
OG0004424	XP_031829570.1	XP_003400758.1
OG0004425	XP_031825669.1	XP_003399680.1
OG0004426	XP_031841745.1	XP_020721456.1
OG0004427	XP_031843443.1	XP_012165021.1
OG0004428	XP_031839024.1	XP_003396220.1
OG0004429	XP_031839019.1	XP_012165012.1
OG0004430	XP_031843661.1, XP_031843662.1	XP_020723537.1, XP_003402771.1
OG0004431	XP_031835244.1	XP_012174449.1
OG0004432	XP_031829147.1	XP_012168906.2
OG0004434	XP_031842930.1, XP_031842929.1	XP_003401271.1
OG0004435	XP_031843053.1	XP_020722600.1
OG0004436	XP_031842852.1	XP_003401085.1
OG0004437	XP_031842861.1, XP_031842862.1	XP_003401099.1
OG0004438	XP_031843059.1	XP_012172239.1
OG0004439	XP_031842759.1	XP_003401034.1
OG0004440	XP_031847335.1	XP_020722758.1
OG0004441	XP_031847465.1	XP_003401193.1
OG0004442	XP_031837844.1	XP_020722562.1
OG0004443	XP_031829496.1	XP_020722805.1
OG0004444	XP_031828983.1	XP_003401776.1
OG0004445	XP_031829700.1	XP_003403099.1
OG0004446	XP_031830463.1	XP_012175091.1
