Orthogroup	Nomia_melanderi	Apis_mellifera
OG0002843	XP_031841625.1	XP_026300039.1
OG0002844	XP_031827657.1	XP_026300350.1
OG0002846	XP_031827754.1	XP_026300381.1
OG0002847	XP_031849352.1	XP_026300415.1, XP_026300416.1
OG0002848	XP_031836013.1	XP_026300423.1
OG0002849	XP_031836180.1	XP_026300584.1, XP_026300446.1
OG0002850	XP_031827759.1, XP_031827757.1	XP_026300525.1, XP_026300526.1
OG0002851	XP_031832333.1, XP_031832332.1	XP_026300539.1
OG0002852	XP_031833056.1	XP_026300735.1
OG0002853	XP_031837673.1	XP_396079.3, XP_026300784.1
OG0002854	XP_031832683.1	XP_026300870.1
OG0002855	XP_031845901.1	XP_026300905.1
OG0002856	XP_031837225.1, XP_031837217.1	XP_026300929.1
OG0002857	XP_031843272.1	XP_026301105.1
OG0002858	XP_031842888.1	XP_026301117.1
OG0002859	XP_031842520.1	XP_026301142.1
OG0002860	XP_031847509.1	XP_026301145.1
OG0002861	XP_031841095.1	XP_026301248.1
OG0002862	XP_031843050.1	XP_393326.4, XP_026301336.1
OG0002863	XP_031847329.1, XP_031847328.1	XP_026301346.1
OG0002864	XP_031835228.1	XP_026301403.1
OG0002865	XP_031826975.1, XP_031826980.1	XP_026301508.1
OG0002866	XP_031849959.1, XP_031849958.1, XP_031849961.1, XP_031849960.1	XP_026301522.1
OG0002867	XP_031845952.1	XP_026301754.1
OG0002868	XP_031849160.1, XP_031849169.1	XP_026301837.1
OG0002869	XP_031842084.1	XP_026301990.1
OG0002870	XP_031841899.1	XP_026302023.1
OG0002871	XP_031828784.1	XP_026302031.1, XP_026302029.1, XP_026302030.1
OG0002872	XP_031828453.1	XP_026302047.1
OG0002873	XP_031840355.1	XP_026302084.1
OG0002874	XP_031839450.1	XP_026302087.1
OG0002875	XP_031839922.1, XP_031839924.1	XP_026302177.1, XP_026302175.1
OG0002876	XP_031839692.1	XP_026302236.1
OG0002877	XP_031825902.1	XP_391852.2
OG0002878	XP_031850080.1	XP_391907.1
OG0002879	XP_031841679.1	XP_391942.5
OG0002880	XP_031827723.1	XP_391962.1
OG0002881	XP_031837829.1, XP_031837839.1	XP_391994.1
OG0002882	XP_031847472.1	XP_392085.2
OG0002883	XP_031850582.1	XP_392373.6
OG0002884	XP_031830358.1, XP_031830356.1, XP_031830357.1	XP_392494.1
OG0002885	XP_031828482.1	XP_392667.2
OG0002886	XP_031827912.1	XP_392780.2
OG0002887	XP_031842100.1	XP_392973.4
OG0002888	XP_031829825.1	XP_393002.3
OG0002889	XP_031835271.1	XP_393097.4
OG0002890	XP_031842482.1	XP_393112.2
OG0002891	XP_031826434.1	XP_393143.2
OG0002892	XP_031836239.1, XP_031836238.1	XP_393174.1
OG0002893	XP_031838007.1	XP_393194.2
OG0002894	XP_031842020.1, XP_031842019.1, XP_031842018.1, XP_031842021.1	XP_393204.1
OG0002895	XP_031840412.1, XP_031840411.1, XP_031840410.1	XP_393249.2
OG0002896	XP_031832391.1, XP_031832390.1, XP_031832392.1	XP_393336.2
OG0002897	XP_031831302.1	XP_393356.1
OG0002898	XP_031845855.1, XP_031845854.1, XP_031845856.1	XP_393370.4
OG0002899	XP_031829651.1	XP_393385.3
OG0002900	XP_031849658.1	XP_393391.1
OG0002901	XP_031827055.1	XP_393443.1
OG0002902	XP_031830722.1	XP_393502.3
OG0002903	XP_031841480.1, XP_031841481.1	XP_393528.3
OG0002904	XP_031837295.1	XP_393588.2
OG0002905	XP_031838225.1	XP_393631.3
OG0002906	XP_031831003.1	XP_393723.2
OG0002907	XP_031843845.1	XP_393728.4
OG0002909	XP_031838490.1	XP_393800.5
OG0002910	XP_031849799.1	XP_393821.3
OG0002911	XP_031843477.1	XP_393868.4
OG0002912	XP_031835960.1	XP_393912.3
OG0002913	XP_031847441.1, XP_031847440.1	XP_394069.4
OG0002914	XP_031841788.1	XP_394115.2
OG0002915	XP_031832573.1, XP_031832574.1, XP_031832575.1, XP_031832572.1	XP_394153.1
OG0002916	XP_031831834.1, XP_031831843.1	XP_394314.2
OG0002917	XP_031829379.1	XP_394487.2
OG0002918	XP_031848786.1	XP_394616.1
OG0002919	XP_031843675.1	XP_394676.2
OG0002920	XP_031845807.1, XP_031845805.1	XP_394718.3
OG0002921	XP_031846564.1	XP_394738.2
OG0002922	XP_031828253.1	XP_394762.4
OG0002923	XP_031841152.1, XP_031841143.1	XP_394773.2
OG0002924	XP_031838607.1, XP_031838608.1	XP_394881.4
OG0002925	XP_031834037.1	XP_395069.2
OG0002926	XP_031845457.1	XP_395145.1
OG0002927	XP_031834056.1	XP_395226.4
OG0002928	XP_031849211.1	XP_395328.3
OG0002929	XP_031836621.1, XP_031836622.1, XP_031836623.1, XP_031836624.1	XP_395353.1
OG0002930	XP_031840607.1, XP_031840610.1, XP_031840609.1, XP_031840608.1	XP_395378.4
OG0002931	XP_031837953.1, XP_031837954.1	XP_395427.3
OG0002932	XP_031840216.1	XP_395632.3
OG0002933	XP_031825852.1, XP_031825851.1, XP_031825853.1	XP_395766.4
OG0002934	XP_031828895.1, XP_031828903.1, XP_031828898.1	XP_395780.4
OG0002935	XP_031825416.1, XP_031825418.1	XP_396003.4
OG0002936	XP_031825390.1, XP_031825391.1	XP_396012.1
OG0002937	XP_031826723.1	XP_396035.2
OG0002938	XP_031842254.1	XP_396126.2
OG0002939	XP_031838600.1, XP_031838599.1, XP_031838601.1, XP_031838602.1	XP_396627.4
OG0002940	XP_031838917.1	XP_396640.4
OG0002941	XP_031831663.1, XP_031831664.1	XP_396701.3
OG0002942	XP_031830098.1	XP_396720.2
OG0002943	XP_031829687.1, XP_031829688.1	XP_396785.4
OG0002944	XP_031835095.1, XP_031835094.1, XP_031835096.1	XP_396881.3
OG0002945	XP_031840605.1	XP_397008.1
OG0002946	XP_031830724.1, XP_031830725.1	XP_397047.2
OG0002947	XP_031826338.1	XP_397056.2
OG0002948	XP_031838294.1	XP_397060.3
OG0002949	XP_031831546.1	XP_397131.4
OG0002950	XP_031843454.1	XP_397138.5
OG0002951	XP_031832731.1	XP_397232.1
OG0002952	XP_031844125.1	XP_397424.2
OG0002953	XP_031828670.1	XP_623182.1
OG0002954	XP_031826836.1, XP_031826837.1	XP_623221.2
OG0002955	XP_031846188.1, XP_031846187.1	XP_623227.1
OG0002956	XP_031833219.1	XP_623409.3
OG0002957	XP_031829127.1	XP_623724.3
OG0002958	XP_031829042.1	XP_623755.3
OG0002959	XP_031840262.1	XP_623769.1
OG0002960	XP_031845758.1, XP_031845762.1	XP_623802.2
OG0002961	XP_031826362.1, XP_031826360.1, XP_031826361.1	XP_623922.2
OG0002962	XP_031845966.1	XP_624012.3
OG0002963	XP_031832375.1	XP_624043.2
OG0002964	XP_031844799.1, XP_031844715.1, XP_031844881.1, XP_031844978.1	XP_624094.3
OG0002965	XP_031829714.1, XP_031829724.1, XP_031829742.1, XP_031829733.1	XP_624141.3
OG0002966	XP_031831836.1, XP_031831837.1	XP_624183.1
OG0002967	XP_031837179.1	XP_624234.2
OG0002968	XP_031831145.1	XP_624253.2
OG0002969	XP_031833331.1, XP_031833327.1, XP_031833330.1, XP_031833329.1	XP_624307.2
OG0002970	XP_031825879.1	XP_624338.2
OG0002971	XP_031849315.1	XP_624373.2
OG0002972	XP_031842695.1	XP_624435.2
OG0002973	XP_031842558.1	XP_624453.1
OG0002974	XP_031826243.1, XP_031826242.1	XP_624553.4
OG0002975	XP_031841166.1	XP_624562.2
OG0002976	XP_031848475.1	XP_624567.3
OG0002977	XP_031830946.1	XP_624625.1
OG0002978	XP_031828823.1	XP_624691.1
OG0002979	XP_031848039.1, XP_031848028.1	XP_624741.2
OG0002980	XP_031846645.1	XP_624760.2
OG0002981	XP_031825622.1	XP_624826.3
OG0002982	XP_031846636.1	XP_624827.3
OG0002983	XP_031844275.1, XP_031844274.1, XP_031844276.1	XP_624889.3
OG0002984	XP_031842439.1, XP_031842440.1, XP_031842441.1	XP_624961.2
OG0002985	XP_031833548.1	XP_624984.1
OG0002986	XP_031847992.1	XP_625001.2
OG0002987	XP_031841667.1, XP_031841668.1	XP_625020.3
OG0002988	XP_031825575.1	XP_625078.1
OG0002989	XP_031832689.1, XP_031832690.1, XP_031832691.1	XP_625080.1
OG0002990	XP_031831989.1, XP_031831988.1, XP_031831987.1	XP_625110.4
OG0002991	XP_031831493.1	XP_625169.2
OG0002992	XP_031834019.1, XP_031834020.1	XP_625179.1
OG0002993	XP_031847311.1	XP_625185.1
OG0002994	XP_031845640.1	XP_625220.1
OG0002995	XP_031849271.1	XP_625222.4
OG0003019	XP_031845098.1	XP_392669.1, NP_001011584.1
OG0003020	XP_031841764.1	NP_001011593.1, XP_006567383.1
OG0003021	XP_031842488.1	NP_001011603.1
OG0003022	XP_031844349.1, XP_031844348.1	XP_006562791.2, NP_001011623.1
OG0003023	XP_031830003.1	NP_001011637.1, XP_006559489.1
OG0003024	XP_031828413.1	NP_001012645.1, XP_026296320.1
OG0003025	XP_031825311.1	NP_001027532.1, XP_016770829.1
OG0003026	XP_031847895.1	XP_006566010.1, NP_001035294.1
OG0003027	XP_031843085.1	NP_001035314.1
OG0003028	XP_031825344.1	XP_026296306.1, NP_001035347.1
OG0003029	XP_031839078.1	NP_001035349.1
OG0003030	XP_031828630.1	NP_001035354.1
OG0003032	XP_031838186.1	XP_016766315.1, NP_001073674.1
OG0003033	XP_031825776.1	XP_006563390.1, NP_001091684.1
OG0003034	XP_031828175.1	XP_006558992.2, NP_001091687.1
OG0003035	XP_031846677.1, XP_031846685.1	NP_001091690.1, XP_026298411.1
OG0003036	XP_031839870.1	NP_001107660.1, XP_016773481.1
OG0003037	XP_031846828.1	XP_016768008.1, NP_001108550.1
OG0003038	XP_031831878.1	NP_001124510.1
OG0003039	XP_031839833.1	NP_001127843.1
OG0003040	XP_031831606.1, XP_031831608.1	NP_001128194.1
OG0003041	XP_031838995.1	NP_001128412.1, XP_026294970.1
OG0003042	XP_031826963.1	NP_001129207.1
OG0003044	XP_031837891.1	XP_006561618.1, NP_001139209.1
OG0003045	XP_031828980.1	NP_001155181.1
OG0003046	XP_031843281.1	XP_016769330.2, NP_001157186.1
OG0003047	XP_031848157.1	NP_001157187.1
OG0003048	XP_031847016.1	NP_001164522.1, XP_006569703.2
OG0003049	XP_031830122.1	NP_001167614.1
OG0003050	XP_031833848.1	NP_001171538.1
OG0003051	XP_031837942.1	NP_001189389.1
OG0003052	XP_031831094.1	NP_001191178.1, XP_026298869.1
OG0003053	XP_031833368.1	NP_001193395.1
OG0003054	XP_031833590.1	NP_001229366.1, XP_026296324.1, NP_001229365.1
OG0003055	XP_031832978.1	NP_001229386.1, XP_026300671.1
OG0003056	XP_031826997.1	NP_001229397.1, XP_006557745.2
OG0003057	XP_031842660.1	NP_001229447.1, XP_026301037.1
OG0003058	XP_031827530.1	NP_001229455.1
OG0003059	XP_031840645.1	NP_001229503.1, XP_026295125.1
OG0003060	XP_031830037.1, XP_031830038.1	NP_001229505.1, XP_026298415.1
OG0003062	XP_031848755.1, XP_031848754.1, XP_031839945.1	NP_001229918.1
OG0003063	XP_031830121.1	NP_001229926.1
OG0003064	XP_031840162.1	NP_001239353.1, XP_006565393.1
OG0003065	XP_031835732.1	XP_026299341.1, NP_001242964.1
OG0003066	XP_031843398.1	NP_001257753.1
OG0003068	XP_031837414.1, XP_031837413.1	XP_026302112.1, NP_001265263.1
OG0003069	XP_031844005.1	NP_001265265.1, XP_016767733.1
OG0003070	XP_031827325.1, XP_031827322.1	NP_001265267.1
OG0003071	XP_031825524.1	XP_016767540.2, NP_001276370.1
OG0003072	XP_031837548.1	NP_001314877.1, XP_003251630.1
OG0003073	XP_031833453.1	XP_026302136.1, NP_001314880.1
OG0003074	XP_031829676.1	XP_026299330.1, NP_001314887.1
OG0003075	XP_031830763.1	XP_026298872.1, NP_001314892.1
OG0003076	XP_031843450.1, XP_031843449.1	XP_001119900.1
OG0003077	XP_031844248.1, XP_031844249.1, XP_031844250.1	XP_001119919.1
OG0003078	XP_031843553.1	XP_001119962.3
OG0003079	XP_031829380.1	XP_001120018.1
OG0003080	XP_031844385.1	XP_001120037.2
OG0003081	XP_031836201.1	XP_001120039.2
OG0003083	XP_031843564.1, XP_031843563.1	XP_001120086.2
OG0003084	XP_031847500.1	XP_001120100.2
OG0003085	XP_031844283.1	XP_001120164.2
OG0003086	XP_031849495.1	XP_001120196.2, XP_026295517.1, XP_016766654.1
OG0003087	XP_031834645.1	XP_001120413.1
OG0003088	XP_031831853.1	XP_001120450.1
OG0003089	XP_031840641.1	XP_001120479.1
OG0003090	XP_031827570.1	XP_001120601.2
OG0003091	XP_031828355.1	XP_001120607.1
OG0003092	XP_031845139.1	XP_001120633.2
OG0003093	XP_031830797.1	XP_001120649.1
OG0003094	XP_031833460.1	XP_001120653.1
OG0003095	XP_031844534.1	XP_006560538.1, XP_001120677.3
OG0003096	XP_031835058.1	XP_001120685.1
OG0003097	XP_031828634.1	XP_001120697.3
OG0003098	XP_031844583.1	XP_001120712.2
OG0003100	XP_031832278.1	XP_001120765.2
OG0003101	XP_031828819.1	XP_001120796.1, XP_003250388.1
OG0003102	XP_031837093.1	XP_001120815.2
OG0003103	XP_031837897.1	XP_001120836.2
OG0003104	XP_031849896.1	XP_001120855.2, XP_026299654.1
OG0003105	XP_031833555.1	XP_001120874.3
OG0003106	XP_031838724.1	XP_001120877.2, XP_026297080.1
OG0003107	XP_031845503.1	XP_001120972.2
OG0003108	XP_031830521.1, XP_031830522.1	XP_001121019.2
OG0003109	XP_031829606.1	XP_001121075.2
OG0003110	XP_031830491.1	XP_006562944.1, XP_001121113.1
OG0003111	XP_031833943.1	XP_001121223.1
OG0003112	XP_031832240.1	XP_001121229.2
OG0003113	XP_031839146.1	XP_001121362.1, XP_016772981.1, XP_016772982.1
OG0003114	XP_031844937.1, XP_031844938.1, XP_031844939.1	XP_001121363.2
OG0003115	XP_031830407.1, XP_031830406.1	XP_001121369.1
OG0003116	XP_031833006.1	XP_001121406.2
OG0003117	XP_031838265.1	XP_001121418.2
OG0003118	XP_031847466.1	XP_026301196.1, XP_001121482.1
OG0003119	XP_031832563.1	XP_006571419.1, XP_001121501.2
OG0003120	XP_031839821.1	XP_001121567.1
OG0003121	XP_031831957.1	XP_001121647.2
OG0003122	XP_031833606.1	XP_001121664.2
OG0003123	XP_031830180.1	XP_001121781.3
OG0003124	XP_031846353.1	XP_001121788.2
OG0003125	XP_031826941.1	XP_001121801.2
OG0003126	XP_031846799.1, XP_031846798.1, XP_031846800.1	XP_001121879.1
OG0003127	XP_031835873.1	XP_001121882.2
OG0003128	XP_031832693.1	XP_001121886.1
OG0003129	XP_031828538.1, XP_031828548.1	XP_001121896.2
OG0003130	XP_031838428.1	XP_001121946.2
OG0003131	XP_031825600.1	XP_001122081.1
OG0003132	XP_031831871.1	XP_001122118.2
OG0003133	XP_031839634.1	XP_001122210.1
OG0003134	XP_031845442.1, XP_031845441.1	XP_001122278.1
OG0003135	XP_031841427.1, XP_031841416.1	XP_006567480.1, XP_001122362.2
OG0003136	XP_031830197.1	XP_001122365.1
OG0003137	XP_031842638.1	XP_001122387.2
OG0003138	XP_031842639.1	XP_001122441.2
OG0003139	XP_031843055.1	XP_001122452.2
OG0003140	XP_031840583.1	XP_001122463.2
OG0003141	XP_031849307.1	XP_001122477.1, XP_006570356.1
OG0003142	XP_031845589.1	XP_001122506.2
OG0003143	XP_031849204.1, XP_031849205.1, XP_031849206.1	XP_001122522.2
OG0003144	XP_031848526.1, XP_031848525.1, XP_031848524.1	XP_001122583.4
OG0003145	XP_031850217.1	XP_001122612.2
OG0003147	XP_031832623.1	XP_001122664.2
OG0003148	XP_031842194.1, XP_031842205.1	XP_001122696.1
OG0003149	XP_031826391.1	XP_001122715.3
OG0003150	XP_031825392.1	XP_001122727.1, XP_026296406.1
OG0003151	XP_031828110.1, XP_031828111.1	XP_001122836.3
OG0003152	XP_031842418.1, XP_031842417.1, XP_031842416.1	XP_001122876.4
OG0003153	XP_031845860.1, XP_031845859.1	XP_001122885.3
OG0003154	XP_031839241.1	XP_001122939.2
OG0003155	XP_031826430.1	XP_001122961.3
OG0003156	XP_031828255.1	XP_001122977.1
OG0003157	XP_031847762.1	XP_001122994.2, XP_026299300.1
OG0003158	XP_031827922.1	XP_001123012.2
OG0003159	XP_031844174.1	XP_001123124.3, XP_016772738.1
OG0003160	XP_031825662.1	XP_001123128.1
OG0003161	XP_031844903.1, XP_031844902.1, XP_031844904.1	XP_001123223.3
OG0003163	XP_031845819.1	XP_003249317.1
OG0003164	XP_031830110.1	XP_003249403.1
OG0003165	XP_031836154.1	XP_003249441.1
OG0003166	XP_031836029.1	XP_003249448.2
OG0003167	XP_031840056.1	XP_003249472.1
OG0003168	XP_031845826.1	XP_003249670.1
OG0003169	XP_031849677.1, XP_031849678.1	XP_003249693.1
OG0003170	XP_031848589.1	XP_003249699.1
OG0003171	XP_031845121.1	XP_003249710.1
OG0003172	XP_031848774.1	XP_003249728.1
OG0003173	XP_031841028.1	XP_003249761.1
OG0003174	XP_031850373.1	XP_003249779.1
OG0003175	XP_031831335.1	XP_003249799.2
OG0003176	XP_031826705.1	XP_003249830.1
OG0003177	XP_031845722.1, XP_031845720.1, XP_031845721.1	XP_003249879.2
OG0003178	XP_031833973.1, XP_031833971.1, XP_031833972.1	XP_003249880.3
OG0003179	XP_031838125.1	XP_003249947.3
OG0003180	XP_031846740.1, XP_031846730.1, XP_031846748.1	XP_003250102.3
OG0003181	XP_031838337.1	XP_003250133.2
OG0003182	XP_031838329.1, XP_031838328.1	XP_003250135.2
OG0003183	XP_031834363.1	XP_003250139.1
OG0003184	XP_031846106.1	XP_003250151.1
OG0003185	XP_031847326.1, XP_031847324.1	XP_003250286.1
OG0003186	XP_031836094.1	XP_003250399.1
OG0003187	XP_031836641.1, XP_031836644.1	XP_003250419.1
OG0003188	XP_031847860.1	XP_003250467.2
OG0003189	XP_031825943.1	XP_026299118.1, XP_003250478.1
OG0003190	XP_031832826.1	XP_003250542.1
OG0003191	XP_031827554.1	XP_006565216.2, XP_003250613.3
OG0003192	XP_031834729.1	XP_003250740.3
OG0003193	XP_031841267.1	XP_003250792.1, XP_625060.1
OG0003194	XP_031845514.1	XP_003250799.1
OG0003195	XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_003250826.2
OG0003196	XP_031839254.1, XP_031839264.1	XP_003251065.2
OG0003197	XP_031829861.1, XP_031829860.1	XP_003251246.1
OG0003198	XP_031832740.1	XP_003251317.2
OG0003199	XP_031832987.1	XP_003251320.1
OG0003200	XP_031830577.1, XP_031830576.1	XP_003251342.1
OG0003201	XP_031841003.1	XP_003251343.2
OG0003202	XP_031826067.1	XP_003251385.1
OG0003203	XP_031836873.1	XP_003251403.2
OG0003204	XP_031846105.1	XP_003251427.1
OG0003205	XP_031846130.1	XP_003251429.1
OG0003206	XP_031840353.1	XP_003251494.2
OG0003207	XP_031850224.1	XP_003251562.1
OG0003209	XP_031839300.1	XP_003251714.2
OG0003210	XP_031841137.1	XP_003251788.1
OG0003211	XP_031844896.1	XP_003251819.1
OG0003212	XP_031830655.1	XP_003251902.3, XP_016772925.2
OG0003213	XP_031841642.1	XP_003251908.1
OG0003214	XP_031834428.1	XP_003251943.1
OG0003215	XP_031831597.1	XP_006557285.1, XP_006557284.1
OG0003216	XP_031831553.1	XP_006557288.1
OG0003217	XP_031827264.1	XP_026301545.1, XP_006557342.1
OG0003218	XP_031842240.1, XP_031842239.1	XP_006557405.1
OG0003219	XP_031826475.1	XP_006557492.2
OG0003220	XP_031838972.1	XP_006557554.1
OG0003221	XP_031837267.1	XP_006557635.1, XP_006557637.1
OG0003222	XP_031844841.1	XP_006557652.2
OG0003223	XP_031832038.1	XP_006557736.1
OG0003224	XP_031827155.1	XP_006557811.1
OG0003225	XP_031831825.1	XP_006557955.1
OG0003226	XP_031840867.1	XP_006558030.1
OG0003227	XP_031844325.1	XP_006558067.1
OG0003228	XP_031844301.1	XP_006558072.1
OG0003229	XP_031838740.1	XP_006558188.1
OG0003230	XP_031843200.1	XP_006558356.1
OG0003231	XP_031840661.1, XP_031840664.1	XP_006558505.1
OG0003232	XP_031844380.1	XP_006558594.3, XP_026300536.1
OG0003233	XP_031832321.1	XP_006558601.1
OG0003234	XP_031833836.1	XP_006558679.2
OG0003235	XP_031840495.1	XP_006558683.2, XP_026301820.1
OG0003236	XP_031845093.1	XP_006558776.1
OG0003237	XP_031830039.1	XP_395308.3, XP_006558927.1, XP_006558928.1
OG0003238	XP_031830099.1	XP_006558930.1, XP_006558929.1
OG0003239	XP_031827967.1	XP_006558995.1
OG0003240	XP_031836117.1	XP_006559171.2, XP_006559170.2
OG0003241	XP_031832189.1	XP_006559218.1
OG0003242	XP_031847686.1, XP_031827658.1	XP_393319.2, XP_006559398.1
OG0003243	XP_031826914.1	XP_006559465.1, XP_624696.1
OG0003244	XP_031827065.1	XP_006559467.1
OG0003245	XP_031827282.1, XP_031827283.1, XP_031827281.1, XP_031827284.1	XP_006559470.1
OG0003246	XP_031829806.1	XP_006559495.3
OG0003247	XP_031830020.1	XP_006559626.1
OG0003248	XP_031838401.1, XP_031838402.1, XP_031838400.1	XP_006559710.1
OG0003249	XP_031848296.1	XP_006559768.1
OG0003250	XP_031848346.1	XP_006559772.2
OG0003251	XP_031849680.1	XP_026295326.1, XP_006559810.1
OG0003252	XP_031840837.1	XP_006559827.2, XP_006559828.2
OG0003253	XP_031831299.1	XP_006559849.1
OG0003254	XP_031841820.1	XP_006559888.1
OG0003255	XP_031847039.1, XP_031847038.1, XP_031847037.1	XP_006559914.2
OG0003256	XP_031847080.1, XP_031847073.1	XP_006559923.1
OG0003257	XP_031844205.1	XP_006559976.1
OG0003258	XP_031842895.1	XP_393020.2, XP_006560006.1
OG0003259	XP_031837451.1	XP_006560244.2
OG0003260	XP_031848674.1	XP_006560271.1
OG0003261	XP_031832970.1	XP_006560286.1
OG0003262	XP_031845011.1	XP_006560635.1
OG0003264	XP_031845434.1	XP_006560660.1, XP_026296193.1
OG0003265	XP_031825730.1	XP_006560700.1
OG0003266	XP_031825763.1	XP_006560704.2, XP_016772223.2
OG0003267	XP_031843226.1	XP_006560709.1
OG0003268	XP_031842951.1	XP_006560763.1
OG0003269	XP_031828624.1, XP_031828635.1	XP_006560785.2
OG0003270	XP_031840559.1, XP_031840568.1, XP_031840578.1	XP_006560831.1
OG0003271	XP_031841583.1	XP_393406.4, XP_006560861.1
OG0003272	XP_031832289.1	XP_006560903.1, XP_016768488.1
OG0003273	XP_031844514.1	XP_006561018.1
OG0003274	XP_031831696.1	XP_006561138.2
OG0003275	XP_031847690.1	XP_006561152.1
OG0003276	XP_031829148.1	XP_006561192.1
OG0003277	XP_031834630.1	XP_006561235.1
OG0003279	XP_031826964.1, XP_031826965.1	XP_006561444.3
OG0003280	XP_031838361.1	XP_006561486.1
OG0003281	XP_031845806.1	XP_006561648.2
OG0003282	XP_031841170.1	XP_006561846.2
OG0003283	XP_031843500.1, XP_031843499.1	XP_006561936.1
OG0003284	XP_031828772.1	XP_006561986.1
OG0003285	XP_031828483.1	XP_006561989.1
OG0003286	XP_031835005.1	XP_006561993.1
OG0003287	XP_031835023.1, XP_031835022.1, XP_031835024.1	XP_006562004.1
OG0003288	XP_031846036.1	XP_006562040.1
OG0003289	XP_031834441.1, XP_031834442.1, XP_031834443.1, XP_031834440.1	XP_006562042.1
OG0003290	XP_031831120.1	XP_006562110.1
OG0003291	XP_031831421.1	XP_006562189.1
OG0003293	XP_031826974.1	XP_006562281.1
OG0003294	XP_031846977.1	XP_006562468.1
OG0003295	XP_031848427.1	XP_006562525.1
OG0003296	XP_031848449.1	XP_016768217.1, XP_006562529.1
OG0003298	XP_031848611.1	XP_006562729.1
OG0003300	XP_031846190.1	XP_006562827.2
OG0003301	XP_031825890.1	XP_006562904.1
OG0003302	XP_031830699.1	XP_006562917.1
OG0003303	XP_031830801.1	XP_006562949.1
OG0003304	XP_031832903.1	XP_006563010.1
OG0003305	XP_031837092.1	XP_006563032.1
OG0003306	XP_031829576.1	XP_006563149.2
OG0003307	XP_031827411.1	XP_006563187.2
OG0003308	XP_031835162.1, XP_031835161.1	XP_006563301.1
OG0003309	XP_031828854.1, XP_031828855.1	XP_393602.4, XP_006563368.1
OG0003310	XP_031842535.1	XP_006563447.1
OG0003311	XP_031842850.1, XP_031842851.1	XP_006563508.3
OG0003312	XP_031847498.1, XP_031847499.1	XP_006563534.2
OG0003313	XP_031842780.1, XP_031842779.1	XP_006563595.1
OG0003314	XP_031841118.1, XP_031841119.1	XP_006563748.1
OG0003315	XP_031846433.1	XP_006563865.1
OG0003316	XP_031846442.1	XP_006563869.2, XP_006563867.2
OG0003317	XP_031844513.1, XP_031844512.1, XP_031844511.1	XP_006563978.2
OG0003318	XP_031840881.1	XP_006564028.1
OG0003319	XP_031836340.1	XP_006564114.1
OG0003320	XP_031831547.1	XP_393516.3, XP_006564241.1
OG0003321	XP_031833561.1	XP_006564289.1
OG0003322	XP_031834933.1	XP_396233.3, XP_006564293.1
OG0003323	XP_031834936.1, XP_031834934.1	XP_006564298.2
OG0003324	XP_031847831.1	XP_006564505.1, XP_006564504.1
OG0003325	XP_031830365.1	XP_006564597.1
OG0003326	XP_031829689.1	XP_016769191.1, XP_006564718.1
OG0003327	XP_031833675.1	XP_006564809.1
OG0003328	XP_031832641.1	XP_006564999.1, XP_392797.3
OG0003329	XP_031826177.1	XP_006565156.2
OG0003330	XP_031826036.1	XP_006565264.1
OG0003331	XP_031841523.1, XP_031841524.1, XP_031841522.1	XP_006565297.2
OG0003332	XP_031826699.1	XP_006565314.3
OG0003333	XP_031837023.1	XP_026296301.1, XP_016773393.1, XP_006565343.1
OG0003334	XP_031836193.1, XP_031836194.1	XP_006565346.1, XP_393244.1
OG0003335	XP_031828559.1	XP_006565364.1
OG0003336	XP_031840560.1	XP_006565370.2
OG0003337	XP_031838732.1	XP_006565398.1
OG0003338	XP_031840232.1, XP_031840231.1	XP_395633.4, XP_006565412.1
OG0003339	XP_031836763.1	XP_006565450.2
OG0003340	XP_031847858.1	XP_006565594.3
OG0003341	XP_031833137.1, XP_031833140.1	XP_006565695.1, XP_026300768.1
OG0003342	XP_031836484.1	XP_006565723.1, XP_016771782.1
OG0003343	XP_031832611.1	XP_006565743.1, XP_394041.4
OG0003344	XP_031832738.1	XP_006565864.2
OG0003345	XP_031834731.1	XP_006565909.1
OG0003346	XP_031834041.1	XP_006565988.1, XP_395337.1
OG0003347	XP_031845502.1	XP_006566060.1
OG0003348	XP_031847970.1	XP_006566065.1
OG0003349	XP_031835893.1	XP_006566096.3
OG0003350	XP_031847955.1	XP_006566101.1
OG0003351	XP_031847800.1	XP_006566143.2
OG0003352	XP_031848672.1, XP_031847753.1	XP_006566152.2
OG0003353	XP_031830799.1	XP_006566240.1, XP_026299220.1, XP_006566239.1
OG0003354	XP_031830432.1	XP_026298979.1, XP_006566246.2
OG0003355	XP_031830571.1	XP_006566253.2
OG0003356	XP_031831050.1	XP_026299240.1, XP_006566277.1
OG0003357	XP_031830657.1	XP_006566281.1, XP_016769943.1
OG0003358	XP_031850078.1, XP_031831457.1, XP_031831456.1	XP_006566384.1
OG0003359	XP_031849792.1	XP_006566457.1
OG0003360	XP_031835330.1	XP_006566478.1, XP_006566477.1
OG0003361	XP_031849458.1, XP_031849459.1	XP_006566542.1
OG0003362	XP_031847736.1	XP_006566549.1
OG0003363	XP_031850168.1	XP_006566575.1
OG0003364	XP_031849744.1	XP_006566600.1, XP_006566601.1
OG0003365	XP_031850175.1, XP_031850174.1	XP_006566614.1, XP_006566613.2
OG0003366	XP_031849411.1, XP_031849409.1	XP_006566682.1
