GO.ID,Term,Annotated,Significant,Expected,classicFisher
GO:0043412,macromolecule modification,1700,30,27.54,0.33463
GO:0007031,peroxisome organization,25,1,0.4,0.33549
GO:0007485,imaginal disc-derived male genitalia dev...,25,1,0.4,0.33549
GO:0031345,negative regulation of cell projection o...,25,1,0.4,0.33549
GO:2000179,positive regulation of neural precursor ...,25,1,0.4,0.33549
GO:0071840,cellular component organization or bioge...,3270,56,52.97,0.33658
GO:0001654,eye development,406,8,6.58,0.33681
GO:0048880,sensory system development,406,8,6.58,0.33681
GO:0150063,visual system development,406,8,6.58,0.33681
GO:0051168,nuclear export,74,2,1.2,0.33770
GO:0098742,cell-cell adhesion via plasma-membrane a...,74,2,1.2,0.33770
GO:0007409,axonogenesis,350,7,5.67,0.33950
GO:0051345,positive regulation of hydrolase activit...,182,4,2.95,0.34094
GO:0032446,protein modification by small protein co...,351,7,5.69,0.34213
GO:0000910,cytokinesis,128,3,2.07,0.34343
GO:0031929,TOR signaling,75,2,1.21,0.34361
GO:0045732,positive regulation of protein catabolic...,75,2,1.21,0.34361
GO:0007049,cell cycle,875,16,14.17,0.34388
GO:0003383,apical constriction,26,1,0.42,0.34628
GO:0007469,antennal development,26,1,0.42,0.34628
GO:0010669,epithelial structure maintenance,26,1,0.42,0.34628
GO:0046621,negative regulation of organ growth,26,1,0.42,0.34628
GO:0050772,positive regulation of axonogenesis,26,1,0.42,0.34628
GO:0009952,anterior/posterior pattern specification,184,4,2.98,0.34831
GO:0016310,phosphorylation,760,14,12.31,0.34844
GO:0033044,regulation of chromosome organization,186,4,3.01,0.35568
GO:0035332,positive regulation of hippo signaling,27,1,0.44,0.35689
GO:0044837,actomyosin contractile ring organization,27,1,0.44,0.35689
GO:0097479,synaptic vesicle localization,27,1,0.44,0.35689
GO:0090087,regulation of peptide transport,78,2,1.26,0.36125
GO:0007419,ventral cord development,79,2,1.28,0.36710
GO:0050954,sensory perception of mechanical stimulu...,79,2,1.28,0.36710
GO:0006446,regulation of translational initiation,28,1,0.45,0.36733
GO:0007430,"terminal branching, open tracheal system",28,1,0.45,0.36733
GO:0007484,imaginal disc-derived genitalia developm...,28,1,0.45,0.36733
GO:0040018,positive regulation of multicellular org...,28,1,0.45,0.36733
GO:0042045,epithelial fluid transport,28,1,0.45,0.36733
GO:0070252,actin-mediated cell contraction,28,1,0.45,0.36733
GO:0070633,transepithelial transport,28,1,0.45,0.36733
GO:0072666,establishment of protein localization to...,28,1,0.45,0.36733
GO:1900073,regulation of neuromuscular synaptic tra...,28,1,0.45,0.36733
GO:1902806,regulation of cell cycle G1/S phase tran...,28,1,0.45,0.36733
GO:2000648,positive regulation of stem cell prolife...,28,1,0.45,0.36733
GO:0050808,synapse organization,303,6,4.91,0.36755
GO:0061564,axon development,362,7,5.86,0.37128
GO:0035265,organ growth,80,2,1.3,0.37292
GO:0042048,olfactory behavior,80,2,1.3,0.37292
GO:0045787,positive regulation of cell cycle,80,2,1.3,0.37292
GO:0022402,cell cycle process,657,12,10.64,0.37647
GO:0006378,mRNA polyadenylation,29,1,0.47,0.37760
GO:0019236,response to pheromone,29,1,0.47,0.37760
GO:0051260,protein homooligomerization,29,1,0.47,0.37760
GO:0072665,protein localization to vacuole,29,1,0.47,0.37760
GO:0050803,regulation of synapse structure or activ...,194,4,3.14,0.38516
GO:0098609,cell-cell adhesion,138,3,2.24,0.38763
GO:0051294,establishment of spindle orientation,30,1,0.49,0.38771
GO:0098930,axonal transport,30,1,0.49,0.38771
GO:1903034,regulation of response to wounding,30,1,0.49,0.38771
GO:0006997,nucleus organization,83,2,1.34,0.39025
GO:0051225,spindle assembly,83,2,1.34,0.39025
GO:0071417,cellular response to organonitrogen comp...,139,3,2.25,0.39202
GO:0061061,muscle structure development,254,5,4.11,0.39390
GO:0001558,regulation of cell growth,84,2,1.36,0.39598
GO:0001933,negative regulation of protein phosphory...,84,2,1.36,0.39598
GO:0045216,cell-cell junction organization,84,2,1.36,0.39598
GO:0048608,reproductive structure development,84,2,1.36,0.39598
GO:0061458,reproductive system development,84,2,1.36,0.39598
GO:0071214,cellular response to abiotic stimulus,84,2,1.36,0.39598
GO:0104004,cellular response to environmental stimu...,84,2,1.36,0.39598
GO:0007603,"phototransduction, visible light",31,1,0.5,0.39765
GO:0009411,response to UV,31,1,0.5,0.39765
GO:0018107,peptidyl-threonine phosphorylation,31,1,0.5,0.39765
GO:0036099,female germ-line stem cell population ma...,31,1,0.5,0.39765
GO:0040001,establishment of mitotic spindle localiz...,31,1,0.5,0.39765
GO:0043631,RNA polyadenylation,31,1,0.5,0.39765
GO:0043954,cellular component maintenance,31,1,0.5,0.39765
GO:0046329,negative regulation of JNK cascade,31,1,0.5,0.39765
GO:0046661,male sex differentiation,31,1,0.5,0.39765
GO:0060966,regulation of gene silencing by RNA,31,1,0.5,0.39765
GO:0110111,negative regulation of animal organ morp...,31,1,0.5,0.39765
GO:0030334,regulation of cell migration,85,2,1.38,0.40169
GO:0007423,sensory organ development,492,9,7.97,0.40304
GO:0032870,cellular response to hormone stimulus,142,3,2.3,0.40513
GO:1901699,cellular response to nitrogen compound,142,3,2.3,0.40513
GO:0042326,negative regulation of phosphorylation,86,2,1.39,0.40737
GO:0006026,aminoglycan catabolic process,32,1,0.52,0.40744
GO:0018210,peptidyl-threonine modification,32,1,0.52,0.40744
GO:0022407,regulation of cell-cell adhesion,32,1,0.52,0.40744
GO:0030203,glycosaminoglycan metabolic process,32,1,0.52,0.40744
GO:0050708,regulation of protein secretion,32,1,0.52,0.40744
GO:0051098,regulation of binding,32,1,0.52,0.40744
GO:0070328,triglyceride homeostasis,32,1,0.52,0.40744
GO:1901215,negative regulation of neuron death,32,1,0.52,0.40744
GO:1901989,positive regulation of cell cycle phase ...,32,1,0.52,0.40744
GO:1902667,regulation of axon guidance,32,1,0.52,0.40744
GO:2001020,regulation of response to DNA damage sti...,32,1,0.52,0.40744
GO:0016477,cell migration,318,6,5.15,0.41108
GO:1903047,mitotic cell cycle process,377,7,6.11,0.41123
GO:0007610,behavior,615,11,9.96,0.41198
GO:0007052,mitotic spindle organization,87,2,1.41,0.41303
GO:0007062,sister chromatid cohesion,33,1,0.53,0.41706
GO:0032456,endocytic recycling,33,1,0.53,0.41706
GO:0045197,establishment or maintenance of epitheli...,33,1,0.53,0.41706
GO:0046822,regulation of nucleocytoplasmic transpor...,33,1,0.53,0.41706
GO:0055090,acylglycerol homeostasis,33,1,0.53,0.41706
GO:0048870,cell motility,380,7,6.16,0.41922
GO:0071705,nitrogen compound transport,799,14,12.94,0.42028
GO:0007051,spindle organization,146,3,2.37,0.42248
GO:2000145,regulation of cell motility,89,2,1.44,0.42426
GO:0003382,epithelial cell morphogenesis,34,1,0.55,0.42653
GO:0007097,nuclear migration,34,1,0.55,0.42653
GO:0031589,cell-substrate adhesion,34,1,0.55,0.42653
GO:0032873,negative regulation of stress-activated ...,34,1,0.55,0.42653
GO:0044719,regulation of imaginal disc-derived wing...,34,1,0.55,0.42653
GO:0048806,genitalia development,34,1,0.55,0.42653
GO:0070303,negative regulation of stress-activated ...,34,1,0.55,0.42653
GO:1902115,regulation of organelle assembly,34,1,0.55,0.42653
GO:1903532,positive regulation of secretion by cell,34,1,0.55,0.42653
GO:0048640,negative regulation of developmental gro...,90,2,1.46,0.42983
GO:0006974,cellular response to DNA damage stimulus,266,5,4.31,0.43241
GO:0009306,protein secretion,91,2,1.47,0.43538
GO:0035152,"regulation of tube architecture, open tr...",91,2,1.47,0.43538
GO:0009725,response to hormone,149,3,2.41,0.43539
GO:0007379,segment specification,35,1,0.57,0.43585
GO:0033157,regulation of intracellular protein tran...,35,1,0.57,0.43585
GO:0048067,cuticle pigmentation,35,1,0.57,0.43585
GO:0050920,regulation of chemotaxis,35,1,0.57,0.43585
GO:2000736,regulation of stem cell differentiation,35,1,0.57,0.43585
GO:0051641,cellular localization,1114,19,18.05,0.44211
GO:0006396,RNA processing,630,11,10.21,0.44346
GO:0006383,transcription by RNA polymerase III,36,1,0.58,0.44501
GO:0019991,septate junction assembly,36,1,0.58,0.44501
GO:0051047,positive regulation of secretion,36,1,0.58,0.44501
GO:0090175,regulation of establishment of planar po...,36,1,0.58,0.44501
GO:0007143,female meiotic nuclear division,93,2,1.51,0.44638
GO:0035592,establishment of protein localization to...,94,2,1.52,0.45184
GO:0050795,regulation of behavior,94,2,1.52,0.45184
GO:0000077,DNA damage checkpoint,37,1,0.6,0.45403
GO:0006720,isoprenoid metabolic process,37,1,0.6,0.45403
GO:0042044,fluid transport,37,1,0.6,0.45403
GO:0045665,negative regulation of neuron differenti...,37,1,0.6,0.45403
GO:0048010,vascular endothelial growth factor recep...,37,1,0.6,0.45403
GO:0051222,positive regulation of protein transport,37,1,0.6,0.45403
GO:0007310,oocyte dorsal/ventral axis specification,38,1,0.62,0.46290
GO:0030317,flagellated sperm motility,38,1,0.62,0.46290
GO:0044843,cell cycle G1/S phase transition,38,1,0.62,0.46290
GO:0051293,establishment of spindle localization,38,1,0.62,0.46290
GO:0097722,sperm motility,38,1,0.62,0.46290
GO:1904951,positive regulation of establishment of ...,38,1,0.62,0.46290
GO:0000381,"regulation of alternative mRNA splicing,...",97,2,1.57,0.46802
GO:0008407,chaeta morphogenesis,39,1,0.63,0.47163
GO:0035331,negative regulation of hippo signaling,39,1,0.63,0.47163
GO:0051653,spindle localization,39,1,0.63,0.47163
GO:0000380,"alternative mRNA splicing, via spliceoso...",98,2,1.59,0.47335
GO:0071692,protein localization to extracellular re...,98,2,1.59,0.47335
GO:0120035,regulation of plasma membrane bounded ce...,158,3,2.56,0.47343
GO:0051726,regulation of cell cycle,340,6,5.51,0.47433
GO:0031344,regulation of cell projection organizati...,159,3,2.58,0.47758
GO:0000212,meiotic spindle organization,40,1,0.65,0.48022
GO:0003007,heart morphogenesis,40,1,0.65,0.48022
GO:0010770,positive regulation of cell morphogenesi...,40,1,0.65,0.48022
GO:0045807,positive regulation of endocytosis,40,1,0.65,0.48022
GO:0045887,positive regulation of synaptic growth a...,40,1,0.65,0.48022
GO:1903688,positive regulation of border follicle c...,40,1,0.65,0.48022
GO:0060968,regulation of gene silencing,100,2,1.62,0.48392
GO:0035114,imaginal disc-derived appendage morphoge...,344,6,5.57,0.48565
GO:0002791,regulation of peptide secretion,41,1,0.66,0.48867
GO:0010634,positive regulation of epithelial cell m...,41,1,0.66,0.48867
GO:0051647,nucleus localization,41,1,0.66,0.48867
GO:0051128,regulation of cellular component organiz...,836,14,13.54,0.48894
GO:0002790,peptide secretion,101,2,1.64,0.48916
GO:0007169,transmembrane receptor protein tyrosine ...,224,4,3.63,0.49317
GO:0035107,appendage morphogenesis,347,6,5.62,0.49410
GO:0007006,mitochondrial membrane organization,42,1,0.68,0.49698
GO:0032506,cytokinetic process,42,1,0.68,0.49698
GO:0035088,establishment or maintenance of apical/b...,42,1,0.68,0.49698
GO:0050802,"circadian sleep/wake cycle, sleep",42,1,0.68,0.49698
GO:0051651,maintenance of location in cell,42,1,0.68,0.49698
GO:0061245,establishment or maintenance of bipolar ...,42,1,0.68,0.49698
GO:1903684,regulation of border follicle cell migra...,42,1,0.68,0.49698
GO:1904398,positive regulation of neuromuscular jun...,42,1,0.68,0.49698
GO:0007476,imaginal disc-derived wing morphogenesis,289,5,4.68,0.50453
GO:0048024,"regulation of mRNA splicing, via spliceo...",104,2,1.68,0.50466
GO:0009584,detection of visible light,43,1,0.7,0.50516
GO:0030048,actin filament-based movement,43,1,0.7,0.50516
GO:0030858,positive regulation of epithelial cell d...,43,1,0.7,0.50516
GO:0031570,DNA integrity checkpoint,43,1,0.7,0.50516
GO:0045793,positive regulation of cell size,43,1,0.7,0.50516
GO:0045886,negative regulation of synaptic growth a...,43,1,0.7,0.50516
GO:1904397,negative regulation of neuromuscular jun...,43,1,0.7,0.50516
GO:0048737,imaginal disc-derived appendage developm...,351,6,5.69,0.50528
GO:0046907,intracellular transport,722,12,11.7,0.50637
GO:0034660,ncRNA metabolic process,353,6,5.72,0.51084
GO:0070647,protein modification by small protein co...,415,7,6.72,0.51106
GO:0031326,regulation of cellular biosynthetic proc...,1529,25,24.77,0.51282
GO:0022404,molting cycle process,44,1,0.71,0.51320
GO:0051964,negative regulation of synapse assembly,44,1,0.71,0.51320
GO:0051965,positive regulation of synapse assembly,44,1,0.71,0.51320
GO:0060969,negative regulation of gene silencing,44,1,0.71,0.51320
GO:1905330,regulation of morphogenesis of an epithe...,44,1,0.71,0.51320
GO:1905809,negative regulation of synapse organizat...,44,1,0.71,0.51320
GO:0051656,establishment of organelle localization,168,3,2.72,0.51428
GO:0007219,Notch signaling pathway,106,2,1.72,0.51483
GO:0048736,appendage development,355,6,5.75,0.51638
GO:0045926,negative regulation of growth,107,2,1.73,0.51986
GO:0071363,cellular response to growth factor stimu...,107,2,1.73,0.51986
GO:0045746,negative regulation of Notch signaling p...,45,1,0.73,0.52112
GO:0060294,cilium movement involved in cell motilit...,45,1,0.73,0.52112
GO:1901889,negative regulation of cell junction ass...,45,1,0.73,0.52112
GO:1901890,positive regulation of cell junction ass...,45,1,0.73,0.52112
GO:0009889,regulation of biosynthetic process,1536,25,24.88,0.52263
GO:0010563,negative regulation of phosphorus metabo...,108,2,1.75,0.52486
GO:0045936,negative regulation of phosphate metabol...,108,2,1.75,0.52486
GO:0070848,response to growth factor,108,2,1.75,0.52486
GO:0050906,detection of stimulus involved in sensor...,171,3,2.77,0.52621
GO:0008088,axo-dendritic transport,46,1,0.75,0.52890
GO:0010976,positive regulation of neuron projection...,46,1,0.75,0.52890
GO:0033206,meiotic cytokinesis,46,1,0.75,0.52890
GO:0043297,apical junction assembly,46,1,0.75,0.52890
GO:0045570,regulation of imaginal disc growth,46,1,0.75,0.52890
GO:0051094,positive regulation of developmental pro...,298,5,4.83,0.53181
GO:0007507,heart development,110,2,1.78,0.53475
GO:0008354,germ cell migration,47,1,0.76,0.53657
GO:0022410,circadian sleep/wake cycle process,47,1,0.76,0.53657
GO:0030856,regulation of epithelial cell differenti...,47,1,0.76,0.53657
GO:0031124,mRNA 3'-end processing,47,1,0.76,0.53657
GO:0035075,response to ecdysone,47,1,0.76,0.53657
GO:0036314,response to sterol,47,1,0.76,0.53657
GO:0038202,TORC1 signaling,47,1,0.76,0.53657
GO:2000060,positive regulation of ubiquitin-depende...,47,1,0.76,0.53657
GO:0030307,positive regulation of cell growth,48,1,0.78,0.54410
GO:0042593,glucose homeostasis,48,1,0.78,0.54410
GO:1905881,positive regulation of oogenesis,48,1,0.78,0.54410
GO:0051240,positive regulation of multicellular org...,303,5,4.91,0.54668
GO:0060341,regulation of cellular localization,177,3,2.87,0.54958
GO:0030490,maturation of SSU-rRNA,49,1,0.79,0.55152
GO:0090263,positive regulation of canonical Wnt sig...,49,1,0.79,0.55152
GO:1901654,response to ketone,49,1,0.79,0.55152
GO:0007548,sex differentiation,114,2,1.85,0.55410
GO:0008582,regulation of synaptic growth at neuromu...,114,2,1.85,0.55410
GO:0015031,protein transport,621,10,10.06,0.55412
GO:0035215,genital disc development,50,1,0.81,0.55881
GO:0071166,ribonucleoprotein complex localization,50,1,0.81,0.55881
GO:0071426,ribonucleoprotein complex export from nu...,50,1,0.81,0.55881
GO:0071482,cellular response to light stimulus,50,1,0.81,0.55881
GO:0072359,circulatory system development,115,2,1.86,0.55885
GO:1901605,alpha-amino acid metabolic process,115,2,1.86,0.55885
GO:0051603,proteolysis involved in cellular protein...,371,6,6.01,0.55978
GO:0016321,female meiosis chromosome segregation,51,1,0.83,0.56599
GO:0014070,response to organic cyclic compound,117,2,1.9,0.56824
GO:0044257,cellular protein catabolic process,375,6,6.07,0.57035
GO:0007528,neuromuscular junction development,183,3,2.96,0.57226
GO:0008406,gonad development,52,1,0.84,0.57305
GO:0043409,negative regulation of MAPK cascade,52,1,0.84,0.57305
GO:0045137,development of primary sexual characteri...,52,1,0.84,0.57305
GO:0048190,wing disc dorsal/ventral pattern formati...,52,1,0.84,0.57305
GO:0043484,regulation of RNA splicing,119,2,1.93,0.57749
GO:0045786,negative regulation of cell cycle,119,2,1.93,0.57749
GO:0065003,protein-containing complex assembly,696,11,11.27,0.57814
GO:0015833,peptide transport,633,10,10.25,0.57885
GO:0000768,syncytium formation by plasma membrane f...,53,1,0.86,0.58000
GO:0006949,syncytium formation,53,1,0.86,0.58000
GO:0007520,myoblast fusion,53,1,0.86,0.58000
GO:0010632,regulation of epithelial cell migration,53,1,0.86,0.58000
GO:0048859,formation of anatomical boundary,53,1,0.86,0.58000
GO:0140253,cell-cell fusion,53,1,0.86,0.58000
GO:0009628,response to abiotic stimulus,443,7,7.18,0.58083
GO:0010564,regulation of cell cycle process,186,3,3.01,0.58334
GO:0050769,positive regulation of neurogenesis,121,2,1.96,0.58659
GO:0051963,regulation of synapse assembly,121,2,1.96,0.58659
GO:0030177,positive regulation of Wnt signaling pat...,54,1,0.87,0.58683
GO:0035082,axoneme assembly,54,1,0.87,0.58683
GO:0042745,circadian sleep/wake cycle,54,1,0.87,0.58683
GO:0090068,positive regulation of cell cycle proces...,54,1,0.87,0.58683
GO:1903052,positive regulation of proteolysis invol...,54,1,0.87,0.58683
GO:0045184,establishment of protein localization,637,10,10.32,0.58697
GO:0042886,amide transport,639,10,10.35,0.59100
GO:0048675,axon extension,55,1,0.89,0.59356
GO:0120036,plasma membrane bounded cell projection ...,706,11,11.44,0.59745
GO:0006913,nucleocytoplasmic transport,124,2,2.01,0.59998
GO:0051169,nuclear transport,124,2,2.01,0.59998
GO:0007450,"dorsal/ventral pattern formation, imagin...",56,1,0.91,0.60017
GO:0008587,imaginal disc-derived wing margin morpho...,56,1,0.91,0.60017
GO:0014902,myotube differentiation,56,1,0.91,0.60017
GO:0048149,behavioral response to ethanol,56,1,0.91,0.60017
GO:0007346,regulation of mitotic cell cycle,191,3,3.09,0.60139
GO:0006928,movement of cell or subcellular componen...,773,12,12.52,0.60355
GO:0072089,stem cell proliferation,125,2,2.02,0.60436
GO:0006606,protein import into nucleus,57,1,0.92,0.60668
GO:0033500,carbohydrate homeostasis,57,1,0.92,0.60668
GO:1901606,alpha-amino acid catabolic process,57,1,0.92,0.60668
GO:1901888,regulation of cell junction assembly,126,2,2.04,0.60872
GO:0061024,membrane organization,260,4,4.21,0.61107
GO:1990138,neuron projection extension,58,1,0.94,0.61308
GO:0030866,cortical actin cytoskeleton organization,59,1,0.96,0.61938
GO:0051170,import into nucleus,59,1,0.96,0.61938
GO:2000058,regulation of ubiquitin-dependent protei...,59,1,0.96,0.61938
GO:0045664,regulation of neuron differentiation,197,3,3.19,0.62238
GO:0001539,cilium or flagellum-dependent cell motil...,60,1,0.97,0.62558
GO:0048754,branching morphogenesis of an epithelial...,60,1,0.97,0.62558
GO:0060285,cilium-dependent cell motility,60,1,0.97,0.62558
GO:0060446,branching involved in open tracheal syst...,60,1,0.97,0.62558
GO:0030030,cell projection organization,723,11,11.71,0.62934
GO:0030100,regulation of endocytosis,61,1,0.99,0.63167
GO:0031935,regulation of chromatin silencing,61,1,0.99,0.63167
GO:0051650,establishment of vesicle localization,61,1,0.99,0.63167
GO:0061136,regulation of proteasomal protein catabo...,61,1,0.99,0.63167
GO:0061138,morphogenesis of a branching epithelium,61,1,0.99,0.63167
GO:0030163,protein catabolic process,401,6,6.5,0.63587
GO:0035120,post-embryonic appendage morphogenesis,335,5,5.43,0.63604
GO:0001763,morphogenesis of a branching structure,62,1,1,0.63767
GO:0009063,cellular amino acid catabolic process,62,1,1,0.63767
GO:0007635,chemosensory behavior,133,2,2.15,0.63816
GO:0033043,regulation of organelle organization,470,7,7.61,0.64332
GO:0007034,vacuolar transport,63,1,1.02,0.64357
GO:0030010,establishment of cell polarity,63,1,1.02,0.64357
GO:0034968,histone lysine methylation,63,1,1.02,0.64357
GO:1902692,regulation of neuroblast proliferation,63,1,1.02,0.64357
GO:0006511,ubiquitin-dependent protein catabolic pr...,338,5,5.48,0.64385
GO:0044249,cellular biosynthetic process,2698,42,43.7,0.64416
GO:0050877,nervous system process,603,9,9.77,0.64762
GO:0098722,asymmetric stem cell division,64,1,1.04,0.64937
GO:0007601,visual perception,65,1,1.05,0.65509
GO:0051648,vesicle localization,65,1,1.05,0.65509
GO:0009593,detection of chemical stimulus,207,3,3.35,0.65565
GO:0019941,modification-dependent protein catabolic...,343,5,5.56,0.65664
GO:0140013,meiotic nuclear division,208,3,3.37,0.65886
GO:0000075,cell cycle checkpoint,66,1,1.07,0.66070
GO:0001578,microtubule bundle formation,66,1,1.07,0.66070
GO:0032006,regulation of TOR signaling,66,1,1.07,0.66070
GO:0090066,regulation of anatomical structure size,278,4,4.5,0.66334
GO:0031400,negative regulation of protein modificat...,140,2,2.27,0.66586
GO:0034504,protein localization to nucleus,67,1,1.09,0.66623
GO:0046620,regulation of organ growth,67,1,1.09,0.66623
GO:0050953,sensory perception of light stimulus,68,1,1.1,0.67167
GO:0010628,positive regulation of gene expression,682,10,11.05,0.67301
GO:0043632,modification-dependent macromolecule cat...,350,5,5.67,0.67404
GO:0030865,cortical cytoskeleton organization,69,1,1.12,0.67702
GO:0042274,ribosomal small subunit biogenesis,69,1,1.12,0.67702
GO:1903827,regulation of cellular protein localizat...,69,1,1.12,0.67702
GO:0051124,synaptic growth at neuromuscular junctio...,143,2,2.32,0.67719
GO:0007623,circadian rhythm,214,3,3.47,0.67767
GO:0051254,positive regulation of RNA metabolic pro...,620,9,10.04,0.68007
GO:0030198,extracellular matrix organization,70,1,1.13,0.68228
GO:0032386,regulation of intracellular transport,70,1,1.13,0.68228
GO:0045471,response to ethanol,70,1,1.13,0.68228
GO:0034470,ncRNA processing,285,4,4.62,0.68234
GO:0018022,peptidyl-lysine methylation,71,1,1.15,0.68746
GO:0006310,DNA recombination,147,2,2.38,0.69182
GO:0009416,response to light stimulus,148,2,2.4,0.69540
GO:0006413,translational initiation,73,1,1.18,0.69756
GO:0031346,positive regulation of cell projection o...,73,1,1.18,0.69756
GO:2000177,regulation of neural precursor cell prol...,74,1,1.2,0.70249
GO:0070727,cellular macromolecule localization,701,10,11.36,0.70605
GO:0003341,cilium movement,75,1,1.21,0.70734
GO:0050911,detection of chemical stimulus involved ...,75,1,1.21,0.70734
GO:0006259,DNA metabolic process,366,5,5.93,0.71161
GO:0045935,positive regulation of nucleobase-contai...,638,9,10.33,0.71241
GO:0007167,enzyme linked receptor protein signaling...,297,4,4.81,0.71315
GO:0009058,biosynthetic process,2769,42,44.85,0.71472
GO:0034622,cellular protein-containing complex asse...,640,9,10.37,0.71587
GO:0003008,system process,707,10,11.45,0.71605
GO:0045930,negative regulation of mitotic cell cycl...,77,1,1.25,0.71681
GO:0051028,mRNA transport,77,1,1.25,0.71681
GO:1901136,carbohydrate derivative catabolic proces...,77,1,1.25,0.71681
GO:0048511,rhythmic process,229,3,3.71,0.72134
GO:0000281,mitotic cytokinesis,78,1,1.26,0.72142
GO:0008045,motor neuron axon guidance,78,1,1.26,0.72142
GO:0048878,chemical homeostasis,302,4,4.89,0.72533
GO:0002168,instar larval development,79,1,1.28,0.72597
GO:0048588,developmental cell growth,79,1,1.28,0.72597
GO:0030534,adult behavior,158,2,2.56,0.72927
GO:0016571,histone methylation,80,1,1.3,0.73044
GO:0035222,wing disc pattern formation,80,1,1.3,0.73044
GO:0007274,neuromuscular synaptic transmission,81,1,1.31,0.73483
GO:0007478,leg disc morphogenesis,81,1,1.31,0.73483
GO:0008593,regulation of Notch signaling pathway,81,1,1.31,0.73483
GO:0030431,sleep,81,1,1.31,0.73483
GO:0006022,aminoglycan metabolic process,160,2,2.59,0.73565
GO:0051962,positive regulation of nervous system de...,160,2,2.59,0.73565
GO:0050768,negative regulation of neurogenesis,82,1,1.33,0.73916
GO:1901565,organonitrogen compound catabolic proces...,589,8,9.54,0.74438
GO:0006412,translation,452,6,7.32,0.74594
GO:0031123,RNA 3'-end processing,84,1,1.36,0.74760
GO:0042254,ribosome biogenesis,239,3,3.87,0.74782
GO:0048638,regulation of developmental growth,240,3,3.89,0.75035
GO:0016072,rRNA metabolic process,165,2,2.67,0.75104
GO:1901576,organic substance biosynthetic process,2748,41,44.51,0.75325
GO:0008344,adult locomotory behavior,86,1,1.39,0.75577
GO:0010970,transport along microtubule,86,1,1.39,0.75577
GO:0031023,microtubule organizing center organizati...,86,1,1.39,0.75577
GO:0043062,extracellular structure organization,86,1,1.39,0.75577
GO:0045666,positive regulation of neuron differenti...,87,1,1.41,0.75975
GO:0043933,protein-containing complex subunit organ...,805,11,13.04,0.76299
GO:0051640,organelle localization,247,3,4,0.76753
GO:0007268,chemical synaptic transmission,321,4,5.2,0.76814
GO:0098916,anterograde trans-synaptic signaling,321,4,5.2,0.76814
GO:0060828,regulation of canonical Wnt signaling pa...,90,1,1.46,0.77132
GO:0099111,microtubule-based transport,90,1,1.46,0.77132
GO:0040008,regulation of growth,323,4,5.23,0.77232
GO:0099537,trans-synaptic signaling,323,4,5.23,0.77232
GO:0006575,cellular modified amino acid metabolic p...,91,1,1.47,0.77506
GO:0007369,gastrulation,92,1,1.49,0.77873
GO:0016569,covalent chromatin modification,252,3,4.08,0.77921
GO:0051649,establishment of localization in cell,887,12,14.37,0.78215
GO:0000226,microtubule cytoskeleton organization,401,5,6.5,0.78294
GO:1903530,regulation of secretion by cell,95,1,1.54,0.78939
GO:0010467,gene expression,2535,37,41.06,0.78953
GO:0006520,cellular amino acid metabolic process,179,2,2.9,0.79011
GO:0099536,synaptic signaling,333,4,5.39,0.79239
GO:0031503,protein-containing complex localization,96,1,1.56,0.79283
GO:0007591,"molting cycle, chitin-based cuticle",98,1,1.59,0.79954
GO:0031032,actomyosin structure organization,98,1,1.59,0.79954
GO:0030705,cytoskeleton-dependent intracellular tra...,99,1,1.6,0.80282
GO:0042303,molting cycle,99,1,1.6,0.80282
GO:0051046,regulation of secretion,99,1,1.6,0.80282
GO:0006397,mRNA processing,339,4,5.49,0.80374
GO:0000375,"RNA splicing, via transesterification re...",265,3,4.29,0.80733
GO:0000377,"RNA splicing, via transesterification re...",265,3,4.29,0.80733
GO:0000398,"mRNA splicing, via spliceosome",265,3,4.29,0.80733
GO:0006479,protein methylation,102,1,1.65,0.81232
GO:0008049,male courtship behavior,102,1,1.65,0.81232
GO:0008213,protein alkylation,102,1,1.65,0.81232
GO:0030111,regulation of Wnt signaling pathway,102,1,1.65,0.81232
GO:0035218,leg disc development,103,1,1.67,0.81539
GO:0017038,protein import,104,1,1.68,0.81841
GO:0048639,positive regulation of developmental gro...,104,1,1.68,0.81841
GO:1901987,regulation of cell cycle phase transitio...,104,1,1.68,0.81841
GO:0033365,protein localization to organelle,271,3,4.39,0.81927
GO:0072594,establishment of protein localization to...,194,2,3.14,0.82591
GO:0060070,canonical Wnt signaling pathway,107,1,1.73,0.82717
GO:0048863,stem cell differentiation,108,1,1.75,0.82999
GO:0071495,cellular response to endogenous stimulus,277,3,4.49,0.83057
GO:0060179,male mating behavior,109,1,1.77,0.83277
GO:0007405,neuroblast proliferation,110,1,1.78,0.83551
GO:0008361,regulation of cell size,110,1,1.78,0.83551
GO:0007447,imaginal disc pattern formation,112,1,1.81,0.84084
GO:0016050,vesicle organization,113,1,1.83,0.84344
GO:0016054,organic acid catabolic process,113,1,1.83,0.84344
GO:0046395,carboxylic acid catabolic process,113,1,1.83,0.84344
GO:0051146,striated muscle cell differentiation,113,1,1.83,0.84344
GO:0051235,maintenance of location,113,1,1.83,0.84344
GO:0009719,response to endogenous stimulus,285,3,4.62,0.84471
GO:0010557,positive regulation of macromolecule bio...,663,8,10.74,0.84893
GO:0006839,mitochondrial transport,116,1,1.88,0.85100
GO:0007619,courtship behavior,116,1,1.88,0.85100
GO:0008380,RNA splicing,290,3,4.7,0.85301
