Orthogroup	Bombus_terrestris	Osmia_lignaria
OG0004280	XP_012165948.1	XP_034175613.1
OG0004281	XP_020718983.1	XP_034192518.1
OG0004282	XP_003395922.1	XP_034193841.1
OG0004283	XP_012164537.1	XP_034195597.1
OG0004284	XP_020722132.1	XP_034180653.1
OG0004285	XP_003400833.1, XP_012171880.1	XP_034191930.1
OG0004286	XP_012172049.1	XP_034179547.1, XP_034179541.1
OG0004287	XP_012173753.1	XP_034182566.1
OG0004288	XP_003393642.1	XP_034189358.1
OG0004289	XP_003399989.1	XP_034186764.1
OG0004290	XP_012170130.1	XP_034186769.1
OG0004291	XP_012170915.1, XP_003400168.1	XP_034178051.1
OG0004292	XP_003400170.1	XP_034178053.1
OG0004293	XP_012176212.1	XP_034182341.1
OG0004294	XP_003402996.2, XP_012174848.1	XP_034193175.1
OG0004295	XP_012167293.1	XP_034175083.1
OG0004296	XP_003397362.1	XP_034181527.1
OG0004297	XP_012176127.1	XP_034194270.1
OG0004298	XP_012176133.2	XP_034194267.1, XP_034194098.1
OG0004299	XP_012171019.1	XP_034178230.1
OG0004300	XP_020721960.1	XP_034178260.1, XP_034178259.1
OG0004301	XP_020719683.1	XP_034175785.1
OG0004302	XP_012169543.1	XP_034175640.1
OG0004303	XP_003397210.1	XP_034188009.1
OG0004304	XP_020718345.1	XP_034174720.1
OG0004305	XP_003400525.1	XP_034191751.1
OG0004306	XP_012175012.1	XP_034184968.1
OG0004307	XP_012166396.1	XP_034181462.1
OG0004308	XP_003397107.2	XP_034192522.1
OG0004309	XP_003396719.1	XP_034188960.1
OG0004310	XP_012165117.1	XP_034189517.1
OG0004311	XP_012172723.1	XP_034179833.1
OG0004312	XP_003401488.1	XP_034179841.1
OG0004313	XP_003393606.1	XP_034171898.1
OG0004314	XP_003393599.1	XP_034171270.1
OG0004315	XP_020723300.1	XP_034189267.1
OG0004316	XP_012171274.1	XP_034171285.1
OG0004317	XP_012172346.1	XP_034189221.1
OG0004318	XP_003393623.1	XP_034196519.1
OG0004319	XP_012166469.1	XP_034181451.1
OG0004320	XP_003397264.1	XP_034192466.1
OG0004321	XP_012172655.1	XP_034179040.1
OG0004322	XP_012172659.1	XP_034179070.1
OG0004323	XP_012172666.1, XP_020722525.1, XP_020722526.1	XP_034179782.1
OG0004324	XP_012171035.1, XP_012171033.1	XP_034178029.1
OG0004325	XP_012171052.1	XP_034178645.1
OG0004326	XP_012171119.1	XP_034178493.1
OG0004327	XP_003402200.1	XP_034183089.1
OG0004328	XP_003399738.1	XP_034186717.1
OG0004329	XP_020721692.1	XP_034186860.1
OG0004330	XP_012175131.1, XP_020723827.1	XP_034190659.1
OG0004331	XP_012175141.1	XP_034184788.1
OG0004332	XP_012175148.1	XP_034184786.1
OG0004333	XP_012175144.1	XP_034184705.1
OG0004334	XP_020722912.1	XP_034184697.1
OG0004335	XP_003397059.1	XP_034181795.1
OG0004336	XP_012166342.1	XP_034181785.1
OG0004337	XP_012166312.1	XP_034192398.1
OG0004338	XP_003402365.1	XP_034181431.1
OG0004339	XP_003397158.1	XP_034188012.1
OG0004340	XP_003397162.3	XP_034188018.1
OG0004341	XP_012173981.1	XP_034181433.1
OG0004342	XP_020724296.1	XP_034188444.1
OG0004343	XP_012176415.1	XP_034188267.1
OG0004344	XP_003394272.1	XP_034182208.1
OG0004345	XP_003397234.1, XP_012166574.1	XP_034192482.1
OG0004346	XP_012166582.1	XP_034181289.1
OG0004347	XP_012176760.1, XP_003394842.1	XP_034175279.1
OG0004348	XP_003399054.1	XP_034176418.1
OG0004349	XP_003401554.1	XP_034193724.1, XP_034193723.1
OG0004350	XP_003395770.2	XP_034177859.1
OG0004351	XP_020723885.1	XP_034175256.1
OG0004352	XP_012174838.2	XP_034195519.1, XP_034195517.1
OG0004353	XP_003400298.1	XP_034178080.1
OG0004354	XP_020721777.1, XP_012171072.1	XP_034178136.1
OG0004355	XP_012166659.1	XP_034181205.1
OG0004356	XP_012175289.2	XP_034181218.1
OG0004357	XP_012171776.1	XP_034192097.1
OG0004358	XP_003400039.1	XP_034178517.1
OG0004359	XP_003400035.1	XP_034178702.1
OG0004360	XP_012170754.1	XP_034178802.1
OG0004361	XP_020721945.1	XP_034178627.1
OG0004362	XP_003400057.1	XP_034178752.1
OG0004363	XP_012170669.1	XP_034178762.1
OG0004364	XP_003394542.1	XP_034182786.1
OG0004365	XP_020718290.1	XP_034173921.1
OG0004366	XP_003395060.1	XP_034174096.1
OG0004367	XP_012163073.1	XP_034173771.1, XP_034173772.1
OG0004368	XP_012172491.1	XP_034179669.1
OG0004369	XP_012169941.1	XP_034188675.1
OG0004370	XP_003397024.1	XP_034181724.1
OG0004371	XP_003394222.1	XP_034188553.1
OG0004372	XP_012172540.2	XP_034179002.1
OG0004374	XP_003401587.1	XP_034179493.1
OG0004375	XP_012172364.1	XP_034179491.1
OG0004376	XP_012172377.1	XP_034179097.1
OG0004377	XP_012170475.1	XP_034189120.1
OG0004378	XP_020723968.1	XP_034171497.1
OG0004379	XP_020718971.1	XP_034195374.1
OG0004380	XP_012173892.1	XP_034176637.1
OG0004381	XP_012173820.1, XP_012173815.1	XP_034186809.1
OG0004382	XP_003402125.1	XP_034191394.1
OG0004383	XP_003402137.1	XP_034191399.1
OG0004384	XP_012173716.1, XP_003402156.1	XP_034186703.1
OG0004385	XP_003397380.1	XP_034181418.1
OG0004386	XP_003397587.1	XP_034184317.1
OG0004387	XP_012167125.1	XP_034184499.1
OG0004388	XP_003397580.1	XP_034184494.1, XP_034184493.1
OG0004389	XP_012167124.1	XP_034184504.1
OG0004390	XP_003397719.1	XP_034184501.1
OG0004391	XP_003397571.1	XP_034184352.1
OG0004392	XP_003398038.1	XP_034186488.1, XP_034186479.1
OG0004393	XP_020720224.1	XP_034187460.1
OG0004394	XP_003397432.1	XP_034184524.1, XP_034184523.1
OG0004395	XP_012167363.1	XP_034183986.1
OG0004396	XP_012167401.1	XP_034195869.1
OG0004397	XP_012167428.2	XP_034182012.1
OG0004398	XP_012167430.1	XP_034180021.1
OG0004399	XP_003398928.1	XP_034175860.1
OG0004400	XP_003397508.1	XP_034195639.1
OG0004401	XP_012167086.1	XP_034188806.1
OG0004402	XP_012171324.1	XP_034180425.1
OG0004403	XP_012163855.1	XP_034177002.1
OG0004404	XP_012164219.1	XP_034177146.1
OG0004405	XP_012164214.1	XP_034177105.1
OG0004406	XP_020718966.1	XP_034177169.1, XP_034177170.1
OG0004408	XP_003395576.1	XP_034177737.1
OG0004409	XP_012169975.1	XP_034186891.1
OG0004410	XP_020721412.1	XP_034183042.1
OG0004411	XP_012168145.1, XP_012168144.1	XP_034189510.1
OG0004412	XP_012168872.1	XP_034194975.1
OG0004413	XP_003398806.1	XP_034192300.1
OG0004414	XP_012163167.1	XP_034181652.1
OG0004415	XP_012174456.1	XP_034183713.1
OG0004416	XP_003402788.1	XP_034183493.1
OG0004417	XP_020720645.1, XP_003398209.1	XP_034183786.1
OG0004418	XP_020720674.1	XP_034183790.1
OG0004419	XP_012167878.1	XP_034190031.1
OG0004420	XP_020720693.1	XP_034190032.1
OG0004421	XP_003398375.1	XP_034190134.1
OG0004422	XP_020720756.1	XP_034183794.1
OG0004423	XP_012171600.1	XP_034194080.1
OG0004424	XP_003400758.1	XP_034184588.1
OG0004425	XP_003399680.1	XP_034182885.1
OG0004426	XP_020721456.1	XP_034190796.1
OG0004427	XP_012165021.1	XP_034171585.1
OG0004428	XP_003396220.1	XP_034171660.1
OG0004429	XP_012165012.1	XP_034183538.1
OG0004430	XP_020723537.1, XP_003402771.1	XP_034183549.1
OG0004432	XP_012168906.2	XP_034174900.1
OG0004433	XP_020722474.1, XP_012172407.1	XP_034179589.1
OG0004434	XP_003401271.1	XP_034193895.1
OG0004435	XP_020722600.1	XP_034179538.1
OG0004436	XP_003401085.1	XP_034179523.1
OG0004437	XP_003401099.1	XP_034193669.1
OG0004438	XP_012172239.1	XP_034178898.1
OG0004439	XP_003401034.1	XP_034193715.1
OG0004440	XP_020722758.1	XP_034179311.1
OG0004441	XP_003401193.1	XP_034179920.1
OG0004442	XP_020722562.1	XP_034178869.1
OG0004443	XP_020722805.1	XP_034179925.1
OG0004444	XP_003401776.1	XP_034190199.1
OG0004445	XP_003403099.1	XP_034195104.1
OG0004446	XP_012175091.1	XP_034185174.1, XP_034185173.1
OG0004447	XP_003397145.1	XP_034181020.1, XP_034181018.1, XP_034181019.1
OG0004448	XP_012176106.1	XP_034188170.1
OG0004449	XP_003394271.1	XP_034188176.1
OG0004450	XP_012176572.1	XP_034188466.1
OG0004451	XP_012164927.2	XP_034195460.1
OG0004452	XP_003395450.1	XP_034177021.1
OG0004453	XP_020718617.1	XP_034177204.1
OG0004454	XP_003393540.1	XP_034196646.1
OG0004455	XP_003398970.1	XP_034176064.1
OG0004456	XP_003401715.1	XP_034185345.1
OG0004457	XP_012173007.1	XP_034184640.1
OG0004458	XP_012173015.1	XP_034190327.1
OG0004459	XP_012173018.1	XP_034190325.1
OG0004460	XP_012173051.1	XP_034190670.1
OG0004461	XP_003401711.1	XP_034185462.1
OG0004462	XP_003401708.1	XP_034185459.1
OG0004463	XP_003394050.1	XP_034196600.1
OG0004464	XP_003395595.1	XP_034177272.1
OG0004465	XP_003395583.1	XP_034176938.1, XP_034176937.1
OG0004466	XP_020722164.1	XP_034191616.1, XP_034191608.1
OG0004467	XP_012171534.1	XP_034191601.1
OG0004468	XP_003400592.1, XP_012171533.1	XP_034191638.1
OG0004469	XP_012171662.1	XP_034192125.1
OG0004470	XP_003400782.1	XP_034195255.1, XP_034195254.1, XP_034195263.1
OG0004471	XP_012171647.1	XP_034195258.1, XP_034195286.1
OG0004472	XP_020722281.1, XP_003400742.1	XP_034191552.1
OG0004473	XP_012171757.1, XP_020722280.1	XP_034191546.1
OG0004474	XP_012168688.1	XP_034185967.1
OG0004475	XP_003400362.1	XP_034177936.1
OG0004476	XP_020721970.1	XP_034178400.1
OG0004477	XP_003400317.1	XP_034178165.1
OG0004478	XP_003400145.1	XP_034178289.1
OG0004479	XP_003400148.1	XP_034178614.1
OG0004480	XP_012166058.1	XP_034181521.1
OG0004481	XP_012170554.1	XP_034186425.1
OG0004482	XP_003399869.1	XP_034191152.1
OG0004483	XP_003399870.1	XP_034191154.1
OG0004485	XP_012170448.1	XP_034186525.1
OG0004486	XP_003399823.1	XP_034186514.1
OG0004487	XP_020721568.1	XP_034186489.1
OG0004488	XP_012170259.1	XP_034186487.1
OG0004489	XP_003398719.1	XP_034187347.1
OG0004490	XP_003396012.1	XP_034195815.1
OG0004491	XP_012164963.1	XP_034195987.1
OG0004492	XP_003396888.1	XP_034187925.1
OG0004493	XP_012165660.1, XP_012165661.1	XP_034184792.1
OG0004494	XP_003398254.1	XP_034186041.1, XP_034186044.1
OG0004495	XP_003395593.1	XP_034176865.1
OG0004496	XP_012164051.1	XP_034176939.1
OG0004497	XP_003403273.2	XP_034180035.1
OG0004498	XP_012170794.1, XP_020722021.1	XP_034180773.1
OG0004499	XP_012175673.1, XP_012175672.1	XP_034196564.1
OG0004500	XP_012175728.1, XP_012175727.1	XP_034171948.1
OG0004501	XP_012175640.1	XP_034171747.1
OG0004502	XP_012171822.1	XP_034191876.1
OG0004503	XP_012171813.2	XP_034192060.1
OG0004504	XP_012168015.1	XP_034186055.1
OG0004505	XP_020720815.1	XP_034189457.1
OG0004506	XP_012168286.1	XP_034189538.1
OG0004507	XP_012168294.1	XP_034185738.1
OG0004508	XP_012175359.1	XP_034186178.1
OG0004509	XP_012167732.1	XP_034186234.1
OG0004510	XP_020722109.1	XP_034191864.1
OG0004511	XP_012169042.1	XP_034175275.1
OG0004512	XP_012168998.1	XP_034176552.1
OG0004514	XP_012169679.1	XP_034175164.1, XP_034175163.1
OG0004515	XP_003399354.1	XP_034175680.1
OG0004516	XP_003398781.1	XP_034175893.1
OG0004517	XP_012168573.1	XP_034193452.1
OG0004518	XP_012169228.1	XP_034193280.1
OG0004519	XP_012169351.2	XP_034175314.1
OG0004520	XP_012169221.2	XP_034176308.1
OG0004521	XP_003399965.1	XP_034183182.1
OG0004522	XP_003394996.1	XP_034187471.1
OG0004523	XP_003395112.1	XP_034187700.1
OG0004524	XP_012163232.1, XP_012163231.1, XP_003395274.1	XP_034187649.1
OG0004525	XP_012167473.1, XP_003397941.1	XP_034183950.1
OG0004526	XP_003397942.1	XP_034184235.1
OG0004527	XP_012167520.1	XP_034178600.1
OG0004528	XP_003397854.1	XP_034194591.1
OG0004529	XP_003397862.1	XP_034180290.1
OG0004530	XP_003395689.1	XP_034176889.1
OG0004531	XP_012173489.1	XP_034174830.1, XP_034174829.1
OG0004532	XP_020718840.1	XP_034192604.1
OG0004533	XP_003395732.1	XP_034192808.1
OG0004534	XP_020718811.1	XP_034192776.1
OG0004535	XP_012174007.1	XP_034192760.1, XP_034192761.1
OG0004536	XP_003395850.1	XP_034192655.1
OG0004537	XP_003395815.1	XP_034177814.1
OG0004538	XP_012170866.1	XP_034194604.1
OG0004539	XP_003400137.1	XP_034178667.1
OG0004540	XP_012168714.1	XP_034187788.1
OG0004541	XP_003398715.1, XP_012168725.1	XP_034187715.1
OG0004542	XP_003393846.1	XP_034196679.1
OG0004543	XP_012175721.1	XP_034171755.1
OG0004544	XP_012164850.1	XP_034194646.1
OG0004545	XP_003399793.1	XP_034186897.1
OG0004546	XP_020722858.1	XP_034185378.1
OG0004547	XP_003396864.1	XP_034191269.1
OG0004548	XP_003396651.1, XP_020719394.1	XP_034182741.1
OG0004549	XP_003402821.2	XP_034188423.1
OG0004550	XP_020724280.1	XP_034194315.1
OG0004551	XP_003396262.1	XP_034179035.1
OG0004552	XP_020719651.1	XP_034172744.1, XP_034172765.1
OG0004553	XP_012165215.1	XP_034175364.1
OG0004554	XP_020719666.1	XP_034196063.1
OG0004555	XP_003393676.1	XP_034189271.1, XP_034189270.1
OG0004556	XP_003393700.1	XP_034188907.1
OG0004557	XP_003402644.1	XP_034189407.1
OG0004558	XP_020723486.1	XP_034188976.1
OG0004559	XP_012175680.2	XP_034171976.1
OG0004560	XP_012173777.1	XP_034171975.1
OG0004561	XP_003393781.1	XP_034196638.1
OG0004562	XP_003393888.1	XP_034171719.1
OG0004563	XP_020720576.1, XP_003402550.2	XP_034189849.1
OG0004564	XP_012168455.1	XP_034183412.1
OG0004565	XP_003394132.1	XP_034182233.1
OG0004566	XP_020719689.1, XP_020719690.1	XP_034191224.1
OG0004567	XP_003396579.1	XP_034184682.1
OG0004568	XP_003396588.1	XP_034178246.1
OG0004569	XP_012165522.1	XP_034173010.1
OG0004570	XP_003394510.1	XP_034182980.1
OG0004571	XP_012176458.1	XP_034182874.1
OG0004572	XP_003399563.1	XP_034191318.1
OG0004573	XP_012165296.2	XP_034188491.1
OG0004574	XP_012165293.1	XP_034172002.1
OG0004575	XP_020719514.1, XP_020719515.1	XP_034176256.1
OG0004576	XP_003402338.1	XP_034181316.1
OG0004577	XP_020723296.1	XP_034181407.1
OG0004578	XP_012173160.1	XP_034190705.1, XP_034190704.1
OG0004579	XP_003402853.1	XP_034182049.1
OG0004580	XP_012174570.1	XP_034182042.1
OG0004581	XP_003402862.1	XP_034182522.1
OG0004583	XP_003402123.1	XP_034191002.1
OG0004584	XP_003402121.1	XP_034190996.1, XP_034190995.1
OG0004585	XP_003402117.1	XP_034191413.1
OG0004586	XP_003396396.1	XP_034188803.1
OG0004587	XP_012165426.1	XP_034172154.1
OG0004588	XP_012165925.1	XP_034181298.1
OG0004589	XP_020719208.1, XP_020719209.1, XP_003396532.1	XP_034192657.1, XP_034192578.1
OG0004590	XP_003399757.1	XP_034191049.1, XP_034191050.1
OG0004591	XP_003399750.1	XP_034190937.1
OG0004592	XP_012169397.1	XP_034176602.1
OG0004593	XP_020720965.1	XP_034193097.1
OG0004594	XP_020721242.1	XP_034193202.1
OG0004595	XP_003399399.1	XP_034175415.1
OG0004596	XP_020720984.1	XP_034174972.1
OG0004597	XP_003399376.1	XP_034175233.1
OG0004598	XP_003395991.1	XP_034196209.1
OG0004599	XP_012163454.1	XP_034173147.1
OG0004600	XP_012173170.1	XP_034172876.1
OG0004601	XP_003393403.1	XP_034173295.1
OG0004602	XP_012168306.1, XP_003393425.1	XP_034173274.1
OG0004603	XP_003402511.2	XP_034188155.1
OG0004604	XP_012163109.1	XP_034184594.1
OG0004605	XP_003395898.2	XP_034196405.1
OG0004606	XP_003395900.1, XP_020719089.1	XP_034194728.1
OG0004607	XP_003393408.1	XP_034172611.1
OG0004608	XP_003393471.1	XP_034172519.1, XP_034172518.1
OG0004609	XP_003393495.1	XP_034172471.1
OG0004610	XP_003393215.2	XP_034172998.1
OG0004611	XP_012164593.1	XP_034173082.1
OG0004612	XP_012164515.1	XP_034173458.1
OG0004613	XP_020721134.1	XP_034173609.1
OG0004614	XP_003392977.1	XP_034172362.1
OG0004615	XP_003393179.1, XP_020720577.1	XP_034172310.1
OG0004616	XP_003402539.1	XP_034172985.1
OG0004617	XP_003392938.1	XP_034172384.1
OG0004618	XP_020724235.1	XP_034173603.1, XP_034173604.1
OG0004619	XP_012166280.1	XP_034196262.1
OG0004620	XP_012166773.1	XP_034194019.1
OG0004621	XP_003393363.1	XP_034179405.1
OG0004622	XP_020718935.1, XP_012167550.1	XP_034196370.1
OG0004623	XP_003402733.1	XP_034175247.1
OG0004624	XP_012174506.2	XP_034193229.1
OG0004625	XP_012170179.1	XP_034171777.1
OG0004626	XP_012168382.1	XP_034190135.1
OG0004627	XP_003394393.1	XP_034194504.1, XP_034194503.1
OG0004628	XP_012176667.1	XP_034189594.1
OG0004629	XP_012169454.1	XP_034181842.1
OG0004630	XP_012175869.2	XP_034194392.1
OG0004631	XP_003395280.1	XP_034192966.1
OG0004632	XP_012173368.1	XP_034180911.1
OG0004633	XP_012173372.1	XP_034180445.1
OG0004634	XP_012168523.1	XP_034175265.1
OG0004635	XP_012164443.1	XP_034192975.1
OG0004636	XP_012164450.1, XP_012164446.1	XP_034193004.1
OG0004637	XP_012170436.1, XP_003401908.1	XP_034187179.1
OG0004638	XP_012167773.1	XP_034183479.1
OG0004639	XP_012176693.1	XP_034189529.1
OG0004640	XP_003396939.1	XP_034178262.1
OG0004641	XP_012168505.2	XP_034176334.1
OG0004643	XP_003396558.2	XP_034171319.1
OG0004644	XP_003398825.3, XP_003402526.2	XP_034192168.1
OG0004645	XP_003403428.1	XP_034183890.1
OG0004646	XP_020722350.1	XP_034189591.1
OG0004647	XP_012169423.1	XP_034187750.1
OG0004648	XP_012169427.1	XP_034187760.1
OG0004649	XP_003395908.1, XP_012164665.1	XP_034176330.1
OG0004650	XP_012175826.1	XP_034194218.1
OG0004651	XP_012168745.1	XP_034173055.1
OG0004652	XP_020720963.1, XP_020720962.1, XP_003398829.1	XP_034175978.1
OG0004653	XP_003395313.1	XP_034177914.1
OG0004654	XP_012164453.1	XP_034177927.1
OG0004655	XP_003395864.1	XP_034176952.1, XP_034176951.1
OG0004656	XP_003397859.1	XP_034186958.1, XP_034187043.1
OG0004657	XP_012173687.1	XP_034196673.1, XP_034196671.1
OG0004658	XP_020724025.1	XP_034171676.1
OG0004659	XP_012175637.1	XP_034170994.1, XP_034170993.1
OG0004660	XP_012174123.1, XP_003394009.1	XP_034171235.1
OG0004661	XP_012169868.2	XP_034188678.1
OG0004662	XP_020721988.1	XP_034196520.1
OG0004664	XP_020723312.1	XP_034182150.1
OG0004665	XP_020723576.1	XP_034194472.1
OG0004666	XP_012176543.1	XP_034182188.1
OG0004667	XP_020723572.1, XP_003402836.1	XP_034182080.1
OG0004668	XP_020723598.1	XP_034188430.1, XP_034188431.1
OG0004669	XP_003394449.1	XP_034188595.1
OG0004670	XP_012174605.2	XP_034171182.1
OG0004671	XP_003394195.1	XP_034182713.1, XP_034182714.1
OG0004672	XP_020724348.1	XP_034182238.1
OG0004673	XP_020718378.1	XP_034174743.1
OG0004674	XP_003395228.3	XP_034173773.1, XP_034173774.1
OG0004675	XP_003392888.1	XP_034173322.1
OG0004676	XP_003395039.1	XP_034174607.1
OG0004677	XP_020723413.1	XP_034173691.1
OG0004678	XP_012176741.1, XP_012176742.1	XP_034174797.1
OG0004679	XP_003395239.1	XP_034174367.1
OG0004680	XP_020721094.1	XP_034173589.1
OG0004681	XP_003395103.1	XP_034173867.1
OG0004682	XP_012163093.1	XP_034174851.1
OG0004683	XP_003395073.1	XP_034187706.1
OG0004684	XP_012165914.2	XP_034172407.1
OG0004685	XP_003395540.2	XP_034177309.1
OG0004686	XP_003399574.1	XP_034191273.1, XP_034191272.1
OG0004687	XP_012163834.1, XP_012163835.1	XP_034177448.1
OG0004688	XP_020723337.1, XP_012164514.2	XP_034192626.1
OG0004689	XP_003394518.1	XP_034182882.1, XP_034182883.1
OG0004690	XP_012164074.1	XP_034177607.1
OG0004691	XP_012164189.1	XP_034192955.1
OG0004692	XP_003399550.1	XP_034191304.1
OG0004693	XP_012173572.1	XP_034177587.1
OG0004694	XP_003402931.1	XP_034195942.1, XP_034195943.1, XP_034195941.1
OG0004695	XP_012164910.1	XP_034194436.1
OG0004697	XP_003396050.1	XP_034195058.1
OG0004698	XP_020720042.1, XP_012167217.1	XP_034171110.1
OG0004699	XP_003397538.1	XP_034189033.1
OG0004700	XP_012164742.2	XP_034195416.1
OG0004701	XP_012174217.1	XP_034195471.1
OG0004702	XP_020719080.1	XP_034195534.1
OG0004703	XP_012165677.1	XP_034177144.1
OG0004704	XP_020719927.1	XP_034187951.1, XP_034187943.1
OG0004705	XP_003396664.2	XP_034183994.1
OG0004706	XP_012165669.2	XP_034177283.1
OG0004707	XP_020719833.1	XP_034181114.1
OG0004708	XP_003403264.1	XP_034182524.1
OG0004710	XP_012173333.1	XP_034191966.1
OG0004711	XP_012173048.1, XP_003402033.1	XP_034190633.1
OG0004712	XP_012175159.2	XP_034190502.1
OG0004713	XP_020719875.1, XP_003397365.1	XP_034181820.1
OG0004714	XP_020722854.1	XP_034185543.1
OG0004715	XP_012166567.1	XP_034192462.1
OG0004716	XP_012173115.1	XP_034185408.1
OG0004717	XP_003397089.1	XP_034181895.1
OG0004719	XP_003403038.1	XP_034185311.1
OG0004720	XP_012173034.1	XP_034190336.1
OG0004721	XP_012167375.1	XP_034183990.1
OG0004722	XP_003397574.1	XP_034184474.1
OG0004723	XP_012167638.1	XP_034180497.1, XP_034180489.1
OG0004724	XP_003397783.1	XP_034173545.1
OG0004725	XP_012167288.1	XP_034176465.1, XP_034176466.1
OG0004726	XP_012174458.1, XP_012174460.1	XP_034183719.1
OG0004727	XP_020720467.1	XP_034184325.1
OG0004728	XP_020720491.1	XP_034173468.1
OG0004729	XP_020720139.1	XP_034186212.1
OG0004730	XP_020720289.1	XP_034178700.1
OG0004731	XP_012167860.1	XP_034183576.1
OG0004732	XP_020720793.1	XP_034190044.1
OG0004733	XP_003398136.2	XP_034186332.1
OG0004735	XP_003398327.1	XP_034186010.1
OG0004736	XP_020724169.1	XP_034172662.1
OG0004737	XP_020720518.1, XP_020720516.1	XP_034186122.1
OG0004738	XP_003398284.1	XP_034189753.1
OG0004739	XP_020720542.1	XP_034186294.1
OG0004740	XP_012173912.1	XP_034181397.1
OG0004741	XP_012175404.2	XP_034189956.1
OG0004742	XP_012168193.1	XP_034183593.1
OG0004743	XP_020721266.1	XP_034176709.1, XP_034176707.1
OG0004744	XP_012169039.1	XP_034176052.1
OG0004745	XP_003398915.1	XP_034175427.1
OG0004746	XP_003399070.1	XP_034193314.1
OG0004747	XP_012169272.1	XP_034193372.1
OG0004749	XP_012168966.1	XP_034176516.1
OG0004750	XP_003398817.1	XP_034174889.1
OG0004751	XP_020721065.1	XP_034176090.1
OG0004752	XP_020721308.1	XP_034175838.1
OG0004753	XP_012170460.1	XP_034183141.1, XP_034183142.1
OG0004754	XP_003399905.1	XP_034186467.1
OG0004755	XP_020721698.1	XP_034191145.1
OG0004756	XP_012170253.2	XP_034186476.1
OG0004757	XP_012172652.1	XP_034179078.1, XP_034179079.1
OG0004758	XP_003399535.1	XP_034187161.1
OG0004759	XP_003400995.1	XP_034179132.1
OG0004760	XP_003396342.3	XP_034177606.1
OG0004761	XP_020721859.1	XP_034177964.1
OG0004762	XP_020721872.1	XP_034178481.1
OG0004763	XP_020721987.1, XP_020721986.1	XP_034178641.1
OG0004764	XP_020721965.1, XP_003400060.1	XP_034178787.1
OG0004765	XP_003400163.1, XP_012170912.1	XP_034178560.1
OG0004766	XP_003400173.1	XP_034178050.1
OG0004767	XP_020719942.1	XP_034172162.1
OG0004768	XP_020722145.1	XP_034180679.1, XP_034180680.1
OG0004769	XP_003400459.1	XP_034191828.1
OG0004770	XP_003400364.1	XP_034180097.1
OG0004771	XP_012171164.1	XP_034180847.1
OG0004772	XP_012171197.1	XP_034180040.1
OG0004773	XP_012171809.1	XP_034191772.1
OG0004774	XP_003400899.1	XP_034191466.1
OG0004775	XP_003400674.2	XP_034191994.1, XP_034191993.1
OG0004776	XP_003392942.1	XP_034172307.1
OG0004777	XP_003401244.1	XP_034179932.1
OG0004778	XP_003401079.1	XP_034179166.1
OG0004779	XP_003401067.1	XP_034193651.1
OG0004780	XP_020722675.1, XP_012172141.1, XP_012172142.1	XP_034179303.1
OG0004781	XP_012172254.1	XP_034193661.1
OG0004782	XP_012172259.1	XP_034193673.1
OG0004783	XP_020722379.1	XP_034193683.1
OG0004784	XP_012172326.1	XP_034179424.1
OG0004785	XP_012172009.1	XP_034179229.1
OG0004786	XP_012170139.1	XP_034186744.1
OG0004787	XP_003402153.1, XP_020723228.1	XP_034191209.1
OG0004788	XP_020721447.1	XP_034187145.1, XP_034187146.1
OG0004789	XP_003399647.1	XP_034190745.1
OG0004790	XP_012165271.1	XP_034179178.1
OG0004791	XP_012166088.1	XP_034183394.1
OG0004792	XP_003396925.1	XP_034183550.1
OG0004793	XP_012164345.1	XP_034173391.1
OG0004794	XP_003400922.1	XP_034191573.1
OG0004795	XP_003396468.1	XP_034190828.1
OG0004796	XP_020719513.1	XP_034179554.1
OG0004797	XP_003396250.1	XP_034187004.1
OG0004798	XP_003402705.1	XP_034183631.1
OG0004799	XP_012165420.1	XP_034189847.1
OG0004800	XP_012165907.1, XP_012165906.1, XP_012165904.1	XP_034173678.1
OG0004801	XP_003392902.2	XP_034172249.1, XP_034172248.1
OG0004802	XP_003394836.1	XP_034175621.1
OG0004803	XP_003394366.1	XP_034194316.1
OG0004804	XP_003393805.1	XP_034171311.1
OG0004805	XP_012175679.1	XP_034171025.1
OG0004806	XP_012175598.1	XP_034171926.1, XP_034171922.1
OG0004807	XP_012174376.1	XP_034196527.1
OG0004808	XP_012173941.1	XP_034171655.1
OG0004809	XP_012172783.1, XP_003393686.1	XP_034189265.1
OG0004810	XP_003393719.1	XP_034189083.1
OG0004811	XP_003393659.1	XP_034188796.1
OG0004812	XP_020723791.1	XP_034171897.1
OG0004813	XP_020723484.1	XP_034188992.1
OG0004814	XP_003402675.1	XP_034171328.1
OG0004815	XP_020722428.1, XP_020722404.1	XP_034171758.1
OG0004816	XP_003394062.1	XP_034171146.1
OG0004817	XP_020723983.1, XP_003394061.1	XP_034171148.1
OG0004818	XP_003393730.1	XP_034188827.1
OG0004819	XP_020723957.1, XP_012173544.1, XP_020723954.1	XP_034189413.1
OG0004820	XP_003393873.1	XP_034171595.1
OG0004821	XP_020723605.1	XP_034196452.1
OG0004822	XP_003393438.1	XP_034192245.1
OG0004823	XP_012175729.1	XP_034171944.1
OG0004824	XP_012176050.1	XP_034182526.1
OG0004825	XP_020723308.1	XP_034188301.1
OG0004826	XP_020724028.1	XP_034172394.1
OG0004827	XP_003394703.1	XP_034182236.1
OG0004828	XP_003398146.1	XP_034186169.1
OG0004830	XP_012176234.1	XP_034181912.1
