Orthogroup	Bombus_terrestris	Megalopta_genalis
OG0003161	XP_003398640.1	XP_033341896.1
OG0003162	XP_003400871.2	XP_033336325.1
OG0003163	XP_003400233.1	XP_033330271.1
OG0003164	XP_003403033.1	XP_033337881.1
OG0003165	XP_012173751.1	XP_033330653.1
OG0003166	XP_012171291.1	XP_033330659.1
OG0003167	XP_003400255.1	XP_033323399.1
OG0003168	XP_003400084.1	XP_033334334.1
OG0003169	XP_003394196.1	XP_033331228.1
OG0003170	XP_003394960.1	XP_033335190.1, XP_033335188.1, XP_033335189.1
OG0003171	XP_003394751.1	XP_033336786.1
OG0003171	XP_003394752.1	XP_033336785.1
OG0003172	XP_012172470.1	XP_033324871.1
OG0003173	XP_003394231.1	XP_033321907.1, XP_033321906.1
OG0003174	XP_012176075.1, XP_003394249.1	XP_033326300.1
OG0003175	XP_003403010.1	XP_033332073.1, XP_033332074.1
OG0003176	XP_003399533.1	XP_033335275.1, XP_033335277.1, XP_033335276.1
OG0003177	XP_020719720.1	XP_033332679.1
OG0003178	XP_003397379.3	XP_033334096.1
OG0003179	XP_012167399.1	XP_033339117.1
OG0003180	XP_012164773.1	XP_033320788.1
OG0003181	XP_003397005.1	XP_033329543.1
OG0003182	XP_020719724.1	XP_033329666.1
OG0003183	XP_003395010.1, XP_012163395.1	XP_033335846.1
OG0003184	XP_012163740.2	XP_033333857.1
OG0003185	XP_003401207.1	XP_033342722.1
OG0003186	XP_020721841.1, XP_020721839.1	XP_033334287.1
OG0003187	XP_003395962.1	XP_033322802.1
OG0003188	XP_012167800.1, XP_012167799.1	XP_033331479.1
OG0003189	XP_003398190.1	XP_033340599.1
OG0003191	XP_003399501.1	XP_033331345.1
OG0003193	XP_003398518.1	XP_033325747.1
OG0003194	XP_003398548.1	XP_033331509.1
OG0003195	XP_012174904.1	XP_033325709.1
OG0003196	XP_003397951.1	XP_033333740.1
OG0003197	XP_003401798.1	XP_033337710.1
OG0003199	XP_003393699.1	XP_033334138.1
OG0003200	XP_020723903.1, XP_020723904.1	XP_033340970.1
OG0003201	XP_012175894.1	XP_033323125.1
OG0003202	XP_003396963.1, XP_003396962.1	XP_033340149.1
OG0003203	XP_003394513.1	XP_033329518.1, XP_033322417.1
OG0003204	XP_003397471.1	XP_033325452.1, XP_033325451.1, XP_033325450.1
OG0003205	XP_003397474.1	XP_033325461.1
OG0003206	XP_003396385.1	XP_033340478.1
OG0003207	XP_003399393.1	XP_033334917.1
OG0003208	XP_003402980.1	XP_033326937.1
OG0003209	XP_003392897.3	XP_033328617.1, XP_033328619.1, XP_033328618.1
OG0003210	XP_003393359.1	XP_033340096.1
OG0003211	XP_012171841.2	XP_033330612.1
OG0003212	XP_003398353.1	XP_033339623.1, XP_033339628.1
OG0003213	XP_003399800.1, XP_012170403.1	XP_033332457.1
OG0003214	XP_003395187.1	XP_033332374.1
OG0003215	XP_003395862.1	XP_033324172.1, XP_033324164.1
OG0003216	XP_020718951.1, XP_020718945.1, XP_020718838.1	XP_033324697.1
OG0003217	XP_003399872.1	XP_033338636.1
OG0003218	XP_003395162.1	XP_033326542.1
OG0003219	XP_012166111.1	XP_033340244.1, XP_033340242.1, XP_033340243.1
OG0003220	XP_012164947.1	XP_033322799.1
OG0003222	XP_012172580.1	XP_033322398.1
OG0003223	XP_012166504.1	XP_033329359.1
OG0003224	XP_003399730.1	XP_033338447.1, XP_033338448.1, XP_033338449.1
OG0003226	XP_020724191.1, XP_012176184.1	XP_033322026.1, XP_033322027.1
OG0003227	XP_012176239.1	XP_033326777.1
OG0003229	XP_003396106.1	XP_033322668.1, XP_033322667.1
OG0003230	XP_012172716.1	XP_033342354.1
OG0003231	XP_003394331.1	XP_033321585.1
OG0003232	XP_020721849.1	XP_033330261.1
OG0003233	XP_012170994.2	XP_033331979.1, XP_033331978.1
OG0003234	XP_003394835.1, XP_012176756.1	XP_033341915.1
OG0003235	XP_012167535.1	XP_033332329.1
OG0003236	XP_003395104.1	XP_033337080.1
OG0003237	XP_012175004.1	XP_033337632.1
OG0003238	XP_012175005.1	XP_033337904.1
OG0003239	XP_012165869.1	XP_033328357.1
OG0003240	XP_012171200.2	XP_033334199.1
OG0003241	XP_012166465.1, XP_012166466.1	XP_033329600.1
OG0003242	XP_012171064.1	XP_033331546.1
OG0003243	XP_012169846.1	XP_033332554.1, XP_033332553.1
OG0003244	XP_012169840.1	XP_033326297.1, XP_033326295.1, XP_033326296.1
OG0003245	XP_012169831.1	XP_033326285.1
OG0003246	XP_012175166.1	XP_033332650.1
OG0003247	XP_020723017.1	XP_033337471.1, XP_033337470.1
OG0003248	XP_012173983.1	XP_033332890.1
OG0003249	XP_020724294.1	XP_033339890.1, XP_033331176.1
OG0003250	XP_012176391.1	XP_033331223.1
OG0003251	XP_003394188.1	XP_033329880.1
OG0003252	XP_003394474.1	XP_033322028.1
OG0003253	XP_012173570.1	XP_033324497.1
OG0003254	XP_012166586.1	XP_033329247.1
OG0003255	XP_012174197.1	XP_033338204.1
OG0003256	XP_012169643.1	XP_033331653.1
OG0003257	XP_003397729.1	XP_033334310.1
OG0003258	XP_003401526.1	XP_033324868.1
OG0003259	XP_020721991.1	XP_033324040.1
OG0003260	XP_003400760.2	XP_033336629.1
OG0003261	XP_003400735.1	XP_033336459.1
OG0003262	XP_020718291.1	XP_033336761.1, XP_033336762.1, XP_033336763.1
OG0003263	XP_020718354.1	XP_033336976.1
OG0003264	XP_003394757.1	XP_033336862.1, XP_033336863.1
OG0003265	XP_003401300.1, XP_012172328.1	XP_033324955.1
OG0003266	XP_003401353.1	XP_033324814.1
OG0003267	XP_003401295.1	XP_033324897.1, XP_033324896.1
OG0003268	XP_020722782.1	XP_033341610.1
OG0003269	XP_003393559.1	XP_033329902.1
OG0003270	XP_012167158.1	XP_033323826.1
OG0003271	XP_003399802.1	XP_033332512.1
OG0003272	XP_003397017.2	XP_033333189.1
OG0003273	XP_003394208.1, XP_020724127.1	XP_033322090.1
OG0003274	XP_003395482.1	XP_033332174.1
OG0003275	XP_003393518.1	XP_033334395.1
OG0003276	XP_012170222.1	XP_033324138.1
OG0003277	XP_003393757.1, XP_003393756.1	XP_033321504.1
OG0003278	XP_020723285.1	XP_033341874.1
OG0003279	XP_012173699.1	XP_033338870.1, XP_033338869.1
OG0003281	XP_003397721.1	XP_033321432.1
OG0003282	XP_020719973.1	XP_033332964.1
OG0003283	XP_012167408.1	XP_033339181.1, XP_033339180.1
OG0003284	XP_020720460.1	XP_033325438.1
OG0003285	XP_003397448.1	XP_033325536.1
OG0003286	XP_003397746.1, XP_012167082.1	XP_033325670.1, XP_033325669.1
OG0003287	XP_012167081.1	XP_033331577.1
OG0003288	XP_020718372.1	XP_033329782.1
OG0003289	XP_012163642.1	XP_033322577.1
OG0003290	XP_012168105.1	XP_033331773.1, XP_033331777.1
OG0003291	XP_003395522.1	XP_033338994.1
OG0003292	XP_012164207.1	XP_033324378.1, XP_033340002.1
OG0003293	XP_020721411.1	XP_033335249.1, XP_033335247.1
OG0003294	XP_012168850.1	XP_033324526.1, XP_033324525.1
OG0003295	XP_012164751.1	XP_033322632.1, XP_033322631.1, XP_033322630.1
OG0003296	XP_003396159.1	XP_033322633.1
OG0003298	XP_012163379.1	XP_033325302.1
OG0003299	XP_020718416.1	XP_033333899.1
OG0003300	XP_012174475.1	XP_033326103.1, XP_033326100.1
OG0003301	XP_012167756.2	XP_033320982.1, XP_033320978.1
OG0003302	XP_003398478.1	XP_033326086.1
OG0003303	XP_012168180.1	XP_033331600.1
OG0003304	XP_003400904.1	XP_033336346.1, XP_033336345.1, XP_033335669.1
OG0003305	XP_012171486.1	XP_033335944.1
OG0003306	XP_003400759.1, XP_012171673.1	XP_033336397.1
OG0003307	XP_003399666.1	XP_033331385.1
OG0003308	XP_003396198.1	XP_033323599.1
OG0003309	XP_020720961.1	XP_033334480.1
OG0003310	XP_020722779.1	XP_033327686.1
OG0003311	XP_020722732.1	XP_033331024.1
OG0003312	XP_003401084.1	XP_033324904.1
OG0003313	XP_003401036.1	XP_033324800.1
OG0003314	XP_003399446.1, XP_012169571.1	XP_033329628.1
OG0003315	XP_003403075.1	XP_033337499.1
OG0003316	XP_012175068.1	XP_033337502.1, XP_033337504.1
OG0003317	XP_003394632.1	XP_033341605.1
OG0003318	XP_012176545.1	XP_033327203.1
OG0003319	XP_003396547.2	XP_033323374.1
OG0003320	XP_003395453.1	XP_033337170.1
OG0003321	XP_003395830.1	XP_033337237.1, XP_033337234.1, XP_033337235.1
OG0003322	XP_012175791.1	XP_033334239.1
OG0003323	XP_020722390.1	XP_033334247.1
OG0003324	XP_003398089.2	XP_033331470.1
OG0003325	XP_012173041.1	XP_033337333.1
OG0003326	XP_012172905.1	XP_033337650.1
OG0003327	XP_012163994.2	XP_033334054.1, XP_033334057.1, XP_033334055.1
OG0003328	XP_012171665.1	XP_033336675.1
OG0003329	XP_012166041.1, XP_012166040.1, XP_003396893.1	XP_033340350.1
OG0003330	XP_003399883.1	XP_033325326.1, XP_033326365.1
OG0003331	XP_012170487.2	XP_033338451.1
OG0003332	XP_012170455.1	XP_033338511.1, XP_033338512.1, XP_033338513.1
OG0003333	XP_003398717.1	XP_033330728.1
OG0003334	XP_003398720.2	XP_033330702.1
OG0003335	XP_003398969.1	XP_033333505.1
OG0003336	XP_012165818.1	XP_033340304.1, XP_033340303.1, XP_033340302.1
OG0003337	XP_020719177.1	XP_033327718.1
OG0003338	XP_012164894.1	XP_033321070.1
OG0003339	XP_020723536.1	XP_033322759.1, XP_033322758.1, XP_033322761.1
OG0003340	XP_012167924.1	XP_033331478.1
OG0003341	XP_012171961.1	XP_033335680.1
OG0003342	XP_012171186.1	XP_033335941.1
OG0003343	XP_003400381.1	XP_033336019.1
OG0003344	XP_003400533.1	XP_033336517.1
OG0003347	XP_003398300.1	XP_033325614.1, XP_033325613.1
OG0003348	XP_003398305.1	XP_033325784.1
OG0003349	XP_012168223.1, XP_003398493.1	XP_033325894.1
OG0003350	XP_003398502.1	XP_033325707.1
OG0003351	XP_020720778.1	XP_033331429.1
OG0003352	XP_020720582.1	XP_033331414.1
OG0003353	XP_003398593.1	XP_033340711.1
OG0003354	XP_003398592.1	XP_033340668.1
OG0003355	XP_012167735.1, XP_020720660.1	XP_033341059.1, XP_033341060.1
OG0003356	XP_020720567.1, XP_020720568.1, XP_003398302.1, XP_012167753.1	XP_033340715.1
OG0003357	XP_003398059.1	XP_033325453.1
OG0003358	XP_003398921.1	XP_033335073.1
OG0003359	XP_003398729.1	XP_033334860.1
OG0003360	XP_003399340.1	XP_033342748.1
OG0003361	XP_003399313.1	XP_033342301.1
OG0003363	XP_012169588.1	XP_033342953.1
OG0003364	XP_003399404.1	XP_033335165.1
OG0003365	XP_012168702.1	XP_033334747.1
OG0003366	XP_012168563.1, XP_012168562.1	XP_033342260.1
OG0003367	XP_003399091.2	XP_033334868.1
OG0003368	XP_012169319.1	XP_033342403.1, XP_033342402.1
OG0003369	XP_003394664.1	XP_033329846.1
OG0003370	XP_012174984.1	XP_033327341.1
OG0003371	XP_012170297.1	XP_033331358.1
OG0003372	XP_012170620.1, XP_003399960.2	XP_033325121.1
OG0003373	XP_003399946.1	XP_033335527.1
OG0003374	XP_003399707.1	XP_033330014.1, XP_033330015.1
OG0003375	XP_003399715.1	XP_033325164.1
OG0003376	XP_012174019.1	XP_033326964.1
OG0003377	XP_012163246.1	XP_033327026.1
OG0003378	XP_003402488.1	XP_033336957.1, XP_033336960.1, XP_033336958.1
OG0003379	XP_012163342.1	XP_033336918.1, XP_033336920.1
OG0003380	XP_003402401.1	XP_033327220.1
OG0003381	XP_012163287.1	XP_033333788.1, XP_033333787.1
OG0003382	XP_012163286.1	XP_033333786.1
OG0003383	XP_012167042.1	XP_033325794.1
OG0003384	XP_012167025.1	XP_033325834.1, XP_033325835.1
OG0003386	XP_012167560.1, XP_020720135.1, XP_012167559.1	XP_033321107.1
OG0003387	XP_020720122.1	XP_033321154.1
OG0003388	XP_012173969.1	XP_033324408.1
OG0003389	XP_003395480.1	XP_033328038.1, XP_033328053.1
OG0003390	XP_003401833.1	XP_033332919.1
OG0003391	XP_012175507.1	XP_033324528.1, XP_033324529.1, XP_033324527.1
OG0003392	XP_012164145.1	XP_033324297.1
OG0003393	XP_003395392.2	XP_033326700.1, XP_033326701.1
OG0003394	XP_012164062.1	XP_033324300.1
OG0003395	XP_012164061.1	XP_033324142.1, XP_033324140.1
OG0003396	XP_003394726.2	XP_033322073.1
OG0003397	XP_012165835.1	XP_033333161.1
OG0003398	XP_003396029.1	XP_033323734.1, XP_033323735.1, XP_033323736.1
OG0003399	XP_012172874.1	XP_033330298.1, XP_033330299.1
OG0003400	XP_012176252.1	XP_033328128.1
OG0003401	XP_020719647.1, XP_020719644.1	XP_033330332.1
OG0003402	XP_003396263.1, XP_012165184.1, XP_012165185.1	XP_033329431.1
OG0003403	XP_003396281.1	XP_033331825.1
OG0003404	XP_012173004.1	XP_033334136.1
OG0003405	XP_003393702.1	XP_033321509.1
OG0003406	XP_020723473.1	XP_033323651.1
OG0003407	XP_012174543.2	XP_033334263.1
OG0003408	XP_003394575.1	XP_033324483.1, XP_033324484.1
OG0003409	XP_003403346.1	XP_033330521.1
OG0003410	XP_012175923.2	XP_033323181.1
OG0003411	XP_012175909.1	XP_033338506.1
OG0003413	XP_012165228.1	XP_033341078.1
OG0003414	XP_012175377.2	XP_033339927.1, XP_033330387.1
OG0003415	XP_020723914.1	XP_033339928.1, XP_033330386.1
OG0003416	XP_012173905.1	XP_033323230.1
OG0003417	XP_003394179.1, XP_012175955.1	XP_033333638.1
OG0003418	XP_012173671.1, XP_003402112.1, XP_020723217.1	XP_033338681.1
OG0003419	XP_012165403.1	XP_033340512.1, XP_033340513.1
OG0003421	XP_003402874.1	XP_033331155.1
OG0003422	XP_003395795.1	XP_033328143.1, XP_033328142.1
OG0003423	XP_003399381.1	XP_033342613.1
OG0003424	XP_020721219.1	XP_033342366.1
OG0003425	XP_012168607.1, XP_003398795.1	XP_033342446.1
OG0003426	XP_020721231.1, XP_020721227.1	XP_033342304.1
OG0003427	XP_012174784.1	XP_033343096.1
OG0003428	XP_003393110.1	XP_033328565.1
OG0003429	XP_012164318.1	XP_033328960.1
OG0003430	XP_003397648.2	XP_033333627.1
OG0003431	XP_012167231.2	XP_033333532.1
OG0003432	XP_012164368.2	XP_033328606.1, XP_033328605.1
OG0003433	XP_012170933.1	XP_033328583.1
OG0003434	XP_003393002.1	XP_033328653.1
OG0003435	XP_003393150.1	XP_033340187.1, XP_033340186.1
OG0003436	XP_012176353.2	XP_033328648.1
OG0003437	XP_012175854.1, XP_012175843.1	XP_033340018.1
OG0003438	XP_003393484.1	XP_033328869.1
OG0003439	XP_012167201.1, XP_003393302.1	XP_033326157.1, XP_033326158.1
OG0003440	XP_012167311.1	XP_033326222.1
OG0003441	XP_012167414.1	XP_033338470.1
OG0003442	XP_012165285.1	XP_033340525.1
OG0003443	XP_003399190.1	XP_033327494.1
OG0003444	XP_020718965.1	XP_033325828.1
OG0003445	XP_012168508.1, XP_003398647.1	XP_033341783.1
OG0003446	XP_003398543.1	XP_033331695.1
OG0003447	XP_012170355.1	XP_033326281.1
OG0003448	XP_020723439.1, XP_003395417.1	XP_033333086.1, XP_033333085.1
OG0003449	XP_003399925.2	XP_033338575.1
OG0003450	XP_003399915.1	XP_033338579.1
OG0003451	XP_012164666.1	XP_033320847.1
OG0003453	XP_012169797.1, XP_003393582.1	XP_033334396.1
OG0003454	XP_020719521.1	XP_033340415.1
OG0003455	XP_020723523.1, XP_012175596.1	XP_033341755.1
OG0003456	XP_020723215.1	XP_033334420.1
OG0003457	XP_003394024.1	XP_033337046.1
OG0003458	XP_003394286.1	XP_033321978.1
OG0003459	XP_003394473.1	XP_033326790.1
OG0003460	XP_012176072.1	XP_033326311.1
OG0003461	XP_003394192.1	XP_033329890.1
OG0003462	XP_012168747.1	XP_033337808.1
OG0003463	XP_012163202.1	XP_033337027.1
OG0003464	XP_020718395.1, XP_003394747.1	XP_033327035.1
OG0003465	XP_003395044.1	XP_033336845.1
OG0003466	XP_012163506.1	XP_033336760.1
OG0003467	XP_012163715.1	XP_033326462.1
OG0003468	XP_020718328.1, XP_020718329.1	XP_033338079.1
OG0003469	XP_012169522.1	XP_033327036.1
OG0003470	XP_003395070.1	XP_033322314.1
OG0003471	XP_012163391.2	XP_033325306.1
OG0003473	XP_003396964.1	XP_033328366.1
OG0003474	XP_012164000.1, XP_003395563.1	XP_033328152.1
OG0003475	XP_012164618.1	XP_033322765.1
OG0003476	XP_012164752.1	XP_033320792.1
OG0003477	XP_012167045.2	XP_033330454.1
OG0003478	XP_012163117.1, XP_012163115.1	XP_033333571.1
OG0003480	XP_012166154.1, XP_003396995.1, XP_012166153.1	XP_033333336.1, XP_033333337.1
OG0003481	XP_012173844.2	XP_033335060.1
OG0003482	XP_012166490.1	XP_033329480.1
OG0003483	XP_003396881.1	XP_033328808.1
OG0003484	XP_003396600.1	XP_033332259.1
OG0003485	XP_012168474.1	XP_033324495.1
OG0003486	XP_020723005.1, XP_020723001.1	XP_033337718.1
OG0003487	XP_012175064.1	XP_033337506.1
OG0003488	XP_003397231.1	XP_033332716.1
OG0003490	XP_003402088.1	XP_033323950.1
OG0003491	XP_003402558.1, XP_020723441.1	XP_033337462.1
OG0003492	XP_003403143.1	XP_033332641.1
OG0003493	XP_020720100.1	XP_033333367.1
OG0003494	XP_003397575.1, XP_020720180.1	XP_033321361.1
OG0003495	XP_003397585.2	XP_033323503.1
OG0003496	XP_012173402.1, XP_012173401.1	XP_033333005.1
OG0003497	XP_003398139.2	XP_033325563.1, XP_033325564.1
OG0003498	XP_003398475.1, XP_012168200.1, XP_012168201.1	XP_033331579.1
OG0003499	XP_012168319.1	XP_033331396.1
OG0003500	XP_012167882.1, XP_012167883.1, XP_012167884.1	XP_033325978.1
OG0003501	XP_012167853.1	XP_033325373.1
OG0003502	XP_012167857.1	XP_033326028.1
OG0003503	XP_003398446.1	XP_033325875.1
OG0003505	XP_012168238.1	XP_033325384.1, XP_033325383.1
OG0003506	XP_012168252.2	XP_033325731.1, XP_033325730.1
OG0003507	XP_012168283.1, XP_020720827.1	XP_033331428.1
OG0003508	XP_003399005.1	XP_033339654.1
OG0003509	XP_012164578.1	XP_033328912.1
OG0003510	XP_003399117.1	XP_033334968.1
OG0003511	XP_012169359.1	XP_033334953.1, XP_033334951.1
OG0003512	XP_003399378.1	XP_033342820.1
OG0003513	XP_003398951.1	XP_033334831.1
OG0003514	XP_012169278.1	XP_033342612.1
OG0003515	XP_003399079.1	XP_033342268.1
OG0003516	XP_003396473.1	XP_033338955.1, XP_033338956.1
OG0003517	XP_020720592.1, XP_003393175.1	XP_033340017.1
OG0003518	XP_012170484.1	XP_033338399.1
OG0003519	XP_012170509.2	XP_033325043.1
OG0003520	XP_020722581.1, XP_020722579.1	XP_033322422.1
OG0003521	XP_020719053.1	XP_033330968.1
OG0003522	XP_012172041.1	XP_033339445.1
OG0003523	XP_012169904.1	XP_033335233.1, XP_033335239.1
OG0003524	XP_003400176.1	XP_033339286.1, XP_033339341.1
OG0003525	XP_003400135.1	XP_033326409.1
OG0003526	XP_012170878.1	XP_033323427.1, XP_033323423.1
OG0003527	XP_012171311.1	XP_033330474.1
OG0003528	XP_012171331.1	XP_033336330.1
OG0003528	XP_020722240.1	XP_033336329.1
OG0003529	XP_012176450.1	XP_033341412.1, XP_033341413.1
OG0003530	XP_012171893.1, XP_012171897.1	XP_033335931.1
OG0003531	XP_012171885.1	XP_033336239.1
OG0003532	XP_003393502.1	XP_033328828.1
OG0003533	XP_012172174.1	XP_033324798.1
OG0003534	XP_020722498.1	XP_033320857.1
OG0003535	XP_003401304.1	XP_033324815.1
OG0003536	XP_012172090.1	XP_033322359.1, XP_033322360.1
OG0003537	XP_012172544.1	XP_033340700.1, XP_033340693.1
OG0003538	XP_020722724.1, XP_012172789.1	XP_033324890.1
OG0003539	XP_003401043.1	XP_033324732.1, XP_033324738.1
OG0003541	XP_003401464.1	XP_033342105.1
OG0003542	XP_020723165.1	XP_033332449.1
OG0003543	XP_012173723.1, XP_003402169.1	XP_033324542.1, XP_033324541.1, XP_033324540.1
OG0003544	XP_003402212.1	XP_033338817.1, XP_033338818.1
OG0003545	XP_003402174.1	XP_033325145.1, XP_033325058.1, XP_033325056.1
OG0003546	XP_003398517.1	XP_033331681.1
OG0003547	XP_020721848.1, XP_003400290.1	XP_033322257.1
OG0003548	XP_012168534.1, XP_012168535.1, XP_020720764.1	XP_033331560.1
OG0003549	XP_020720484.1	XP_033339871.1, XP_033331559.1
OG0003550	XP_003402819.1	XP_033321811.1
OG0003551	XP_020722987.1	XP_033323621.1, XP_033323623.1, XP_033323622.1
OG0003552	XP_020723471.1	XP_033323658.1, XP_033323659.1
OG0003553	XP_003393668.1	XP_033341794.1, XP_033339914.1
OG0003554	XP_020724047.1	XP_033321567.1, XP_033321565.1
OG0003555	XP_012168517.1, XP_012168520.1	XP_033341895.1
OG0003556	XP_003402662.1	XP_033341960.1
OG0003557	XP_012175209.1	XP_033339602.1, XP_033339603.1
OG0003558	XP_003393625.1	XP_033330672.1, XP_033330671.1
OG0003559	XP_003393633.1	XP_033330754.1
OG0003560	XP_012171890.1	XP_033330762.1, XP_033330635.1
OG0003561	XP_012174328.1	XP_033341795.1
OG0003562	XP_003394588.1	XP_033326940.1
OG0003563	XP_003394217.1	XP_033321734.1
OG0003564	XP_012176005.1	XP_033321682.1, XP_033321681.1
OG0003565	XP_003394552.1	XP_033331280.1
OG0003566	XP_020724190.1	XP_033322023.1
OG0003567	XP_012176527.2	XP_033329870.1
OG0003568	XP_020724117.1, XP_020724116.1, XP_003394471.1	XP_033326823.1
OG0003569	XP_020724122.1	XP_033329864.1, XP_033329863.1
OG0003570	XP_012176347.1	XP_033323119.1
OG0003571	XP_003394417.1	XP_033321912.1
OG0003572	XP_003394113.1	XP_033327981.1
OG0003573	XP_012174556.1	XP_033323225.1
OG0003574	XP_012175919.2	XP_033323076.1
OG0003575	XP_003396824.1	XP_033337653.1, XP_033337652.1
OG0003576	XP_012176067.1, XP_020724323.1, XP_020724324.1	XP_033321844.1
OG0003577	XP_012163245.1	XP_033327098.1
OG0003578	XP_020718443.1	XP_033336982.1
OG0003579	XP_020722102.1	XP_033330475.1
OG0003580	XP_020719504.1, XP_012165057.1, XP_003402513.3	XP_033331804.1
OG0003581	XP_012174115.1	XP_033327226.1, XP_033327223.1, XP_033327227.1
OG0003582	XP_003395261.3	XP_033329772.1
OG0003583	XP_003402515.1	XP_033333789.1
OG0003585	XP_012174040.1, XP_012174039.1, XP_020723367.1	XP_033326963.1
OG0003586	XP_012176735.2	XP_033326413.1
OG0003587	XP_020723345.1	XP_033327045.1, XP_033327043.1
OG0003588	XP_012169537.1	XP_033327052.1, XP_033327051.1, XP_033341788.1
OG0003589	XP_003393491.1	XP_033325241.1
OG0003590	XP_012163945.1	XP_033323324.1
OG0003591	XP_020718885.1	XP_033328236.1
OG0003592	XP_012164097.1	XP_033328243.1, XP_033328242.1
OG0003593	XP_020723497.1, XP_003402692.1	XP_033336987.1
OG0003595	XP_012164281.1	XP_033322553.1
OG0003596	XP_012170307.1	XP_033326092.1, XP_033326091.1
OG0003597	XP_020718842.1	XP_033324057.1
OG0003598	XP_012164114.1	XP_033324256.1
OG0003599	XP_020718595.1	XP_033335588.1
OG0003600	XP_012164079.1, XP_020718611.1	XP_033333958.1
OG0003601	XP_003395307.1	XP_033324066.1, XP_033324065.1
OG0003602	XP_003395851.1	XP_033327973.1
OG0003603	XP_012164349.1	XP_033328185.1
OG0003604	XP_020718818.1	XP_033327814.1
OG0003605	XP_003395741.1	XP_033337134.1, XP_033337264.1
OG0003606	XP_012163849.1	XP_033321134.1
OG0003607	XP_012173527.1	XP_033324098.1
OG0003608	XP_003395316.1	XP_033332735.1
OG0003609	XP_003396387.1	XP_033340324.1
OG0003610	XP_012163110.1	XP_033333507.1
OG0003611	XP_012166765.1	XP_033331727.1
OG0003612	XP_020718978.1	XP_033329687.1
OG0003613	XP_012164726.1	XP_033330955.1
OG0003614	XP_003397467.1	XP_033340998.1
OG0003615	XP_020723664.1	XP_033332342.1
OG0003616	XP_003402285.1	XP_033323724.1, XP_033323725.1, XP_033323726.1
OG0003617	XP_012164802.1	XP_033339340.1
OG0003620	XP_020723676.1	XP_033321095.1
OG0003621	XP_003402302.2	XP_033333811.1
OG0003622	XP_012164921.1	XP_033322727.1
OG0003623	XP_012164640.1	XP_033333865.1, XP_033333866.1
OG0003624	XP_012164915.1	XP_033329174.1, XP_033329175.1
OG0003625	XP_003395885.1	XP_033323769.1
OG0003626	XP_012166095.2	XP_033322986.1
OG0003627	XP_012166497.1	XP_033329267.1
OG0003628	XP_003396639.1, XP_003396640.1	XP_033331873.1, XP_033331874.1
OG0003629	XP_020723872.1, XP_012175288.1	XP_033329221.1, XP_033329223.1
OG0003630	XP_020719949.1, XP_012166428.1	XP_033332725.1
OG0003631	XP_012165714.1, XP_012165715.1	XP_033340908.1
OG0003632	XP_012166452.1	XP_033329377.1
OG0003633	XP_012166000.1, XP_012166002.1	XP_033334333.1
OG0003634	XP_012165087.1	XP_033335146.1
OG0003635	XP_020723871.1, XP_003398635.2, XP_003403409.2	XP_033324509.1
OG0003636	XP_020723075.1	XP_033321732.1
OG0003637	XP_003397990.1	XP_033325549.1
OG0003638	XP_012166281.1, XP_020719950.1	XP_033329428.1
OG0003639	XP_012166999.2, XP_020720009.1	XP_033322774.1
OG0003640	XP_020719915.1	XP_033329272.1
OG0003642	XP_020720138.1	XP_033325891.1
OG0003643	XP_003403216.2, XP_020723814.1	XP_033327297.1, XP_033327299.1
OG0003644	XP_012166257.1	XP_033329608.1
OG0003645	XP_003403378.2, XP_020723037.1, XP_020723036.1	XP_033323987.1
OG0003646	XP_012174910.1	XP_033327481.1
OG0003647	XP_003403142.1	XP_033332640.1
OG0003648	XP_012167005.1	XP_033327767.1
OG0003649	XP_020719817.1	XP_033339159.1
OG0003650	XP_012166540.1	XP_033339250.1
OG0003651	XP_003401816.1	XP_033332558.1, XP_033332560.1
OG0003652	XP_012166392.1	XP_033329444.1
OG0003653	XP_012176123.1	XP_033340184.1, XP_033340183.1
OG0003654	XP_012173117.1	XP_033337395.1
OG0003655	XP_020723133.1	XP_033337675.1
OG0003656	XP_003401779.1	XP_033336741.1
OG0003658	XP_003401629.1	XP_033327446.1
OG0003659	XP_003392875.1	XP_033340181.1, XP_033340180.1
OG0003660	XP_012167568.1	XP_033321157.1
OG0003661	XP_020720116.1	XP_033323333.1, XP_033339993.1
OG0003662	XP_012167664.1	XP_033333437.1
OG0003663	XP_003397555.1	XP_033333283.1
OG0003664	XP_003398465.1	XP_033331591.1
OG0003665	XP_003398224.1	XP_033326043.1, XP_033326040.1
OG0003666	XP_003396592.1	XP_033332226.1
OG0003667	XP_003392864.1	XP_033340176.1, XP_033340175.1
OG0003668	XP_012168146.1	XP_033338481.1
OG0003669	XP_020720595.1, XP_020720594.1, XP_003398359.1	XP_033325619.1
OG0003670	XP_020720740.1, XP_012167936.1	XP_033325503.1
OG0003671	XP_003398253.3	XP_033325674.1
OG0003672	XP_020723299.1	XP_033324499.1
OG0003673	XP_003398260.1, XP_012167944.1	XP_033325458.1
OG0003674	XP_003394370.1	XP_033321956.1
OG0003675	XP_003398540.1	XP_033339883.1, XP_033331411.1
OG0003676	XP_003398385.1	XP_033339606.1
OG0003677	XP_012167956.1	XP_033325425.1
OG0003678	XP_020720549.1	XP_033325431.1
OG0003679	XP_003398412.1	XP_033325683.1
OG0003680	XP_003396728.1	XP_033333079.1
OG0003681	XP_020720757.1	XP_033331748.1
