Orthogroup	Bombus_terrestris	Ceratina_calcarata
OG0003924	XP_012171630.1	XP_026673364.1, XP_017888149.1, XP_017888148.1
OG0003925	XP_003395735.1	XP_026674366.1, XP_017890119.2, XP_026674364.1
OG0003926	XP_003400931.1	XP_017893325.1, XP_026666574.1
OG0003927	XP_012166843.1, XP_003393282.1	XP_017875841.2
OG0003928	XP_003393519.1	XP_017876774.1
OG0003929	XP_003393808.1, XP_012174877.1	XP_026675018.1
OG0003931	XP_012167630.1, XP_003398023.1	XP_017881438.1
OG0003932	XP_003398995.1	XP_017886262.1
OG0003933	XP_003400836.1, XP_020722043.1	XP_017884876.1
OG0003934	XP_012173486.1	XP_017882995.2
OG0003935	XP_003403079.1	XP_026669974.1
OG0003936	XP_020721035.1, XP_012165024.1	XP_017891398.1, XP_017891397.1
OG0003937	XP_012168226.1	XP_026667216.1
OG0003938	XP_012168646.1	XP_017886241.1
OG0003939	XP_012172020.1, XP_012172021.1, XP_020722711.1, XP_012172017.1, XP_012172019.1, XP_012172018.1	XP_026675002.1
OG0003940	XP_020719039.1, XP_020719038.1	XP_026673293.1
OG0003941	XP_020723408.1	XP_017879258.2
OG0003950	XP_020722552.1	XP_017889413.1
OG0003951	XP_012163744.1	XP_017883494.1
OG0003952	XP_012163499.1	XP_017881745.1
OG0003953	XP_003397885.1, XP_003397865.1	XP_017884082.2
OG0003954	XP_003393962.3	XP_017879377.1
OG0003955	XP_020722752.1	XP_026675510.1
OG0003956	XP_012170608.1	XP_026667078.1
OG0003957	XP_003400146.1	XP_017880786.1
OG0003958	XP_003402562.1	XP_017881962.1
OG0003959	XP_003400385.1	XP_017884555.1
OG0003961	XP_012171522.1	XP_026668165.1
OG0003962	XP_012176119.1	XP_026671945.1
OG0003963	XP_003396023.1	XP_017878580.1
OG0003964	XP_003396906.1	XP_017887768.1
OG0003965	XP_003396425.2	XP_017875100.1
OG0003966	XP_003396026.1	XP_017878622.1
OG0003967	XP_012170957.1	XP_017875311.1
OG0003968	XP_003396228.1	XP_017877098.1
OG0003969	XP_003394584.1	XP_017880719.1
OG0003970	XP_003393605.1	XP_017880512.1
OG0003971	XP_012169552.1	XP_017887500.1
OG0003972	XP_020720474.1	XP_017881752.1
OG0003974	XP_020722798.1, XP_003401135.1	XP_017889630.1, XP_026674230.1
OG0003976	XP_012169356.1	XP_017878978.1
OG0003977	XP_012164310.1	XP_017879607.1
OG0003978	XP_020724199.1	XP_026670742.1
OG0003979	XP_003400952.1	XP_017884616.1
OG0003980	XP_003398726.1	XP_026670452.1
OG0003981	XP_012173547.1	XP_017877704.1
OG0003982	XP_003400646.2	XP_017875430.1
OG0003983	XP_012168433.2	XP_017876455.1
OG0003984	XP_003392868.1	XP_017886026.1
OG0003985	XP_003401942.1	XP_017891959.1
OG0003986	XP_012176573.1	XP_017887322.1
OG0003987	XP_012172199.1	XP_017889373.1
OG0003988	XP_003393394.1	XP_017876937.1
OG0003989	XP_003401667.1	XP_017878271.1, XP_017884283.1
OG0003990	XP_012168001.1	XP_017875366.1
OG0003991	XP_012168555.1	XP_017889429.1
OG0003992	XP_003397879.2	XP_026669888.1
OG0003994	XP_012174357.1	XP_017879388.1
OG0003995	XP_020723074.1	XP_017892073.1
OG0003996	XP_003400030.1	XP_026673564.1
OG0003997	XP_012174446.1	XP_017890974.1
OG0003998	XP_012168628.1	XP_017886234.1
OG0003999	XP_020718478.1	XP_017877711.1
OG0004000	XP_003402702.1	XP_026673468.1
OG0004001	XP_003400098.1	XP_017877613.1
OG0004002	XP_003396897.1	XP_017885233.1
OG0004003	XP_012174654.1	XP_017885324.1
OG0004004	XP_003402532.1	XP_026666577.1, XP_026666578.1
OG0004005	XP_012176195.1	XP_026668094.1
OG0004006	XP_020720206.1	XP_026673472.1
OG0004007	XP_003397004.1	XP_017893167.1, XP_017893168.1
OG0004008	XP_003399321.1	XP_026673445.1
OG0004009	XP_020723221.1	XP_017890657.1
OG0004010	XP_003394139.1	XP_017893364.1
OG0004012	XP_003401202.1	XP_017878160.1
OG0004013	XP_012164100.1	XP_017888192.1
OG0004014	XP_012166948.1	XP_026675279.1
OG0004015	XP_012169070.1	XP_017892641.1
OG0004016	XP_003399539.1	XP_017877189.1, XP_017877188.1
OG0004017	XP_012170928.1	XP_026675206.1
OG0004018	XP_012174769.1, XP_020723705.1	XP_026674820.1
OG0004019	XP_003396861.1	XP_017892643.1
OG0004020	XP_012164476.1	XP_026673814.1
OG0004021	XP_012174081.1	XP_017881862.1, XP_017878730.1
OG0004022	XP_012169545.1	XP_017883341.1
OG0004024	XP_003401635.1	XP_026667497.1, XP_026667498.1
OG0004025	XP_003395644.1	XP_017876395.1
OG0004026	XP_012168154.2	XP_017891592.1
OG0004027	XP_003393673.1	XP_017879313.1
OG0004028	XP_003394087.2	XP_017880498.1
OG0004029	XP_003401400.1	XP_017886337.1
OG0004030	XP_003399158.1	XP_026673001.1
OG0004031	XP_003393452.1	XP_017877038.1
OG0004032	XP_012164702.1	XP_026667004.1
OG0004033	XP_003402122.1	XP_017880145.1
OG0004034	XP_003399212.1	XP_017888050.1
OG0004035	XP_003400441.2	XP_017884747.1
OG0004036	XP_012165575.1	XP_026669134.1
OG0004037	XP_012167417.2	XP_026670245.1
OG0004038	XP_012172264.1	XP_017892927.1
OG0004039	XP_003401182.1	XP_017889419.1
OG0004040	XP_020719339.1	XP_017885207.1
OG0004041	XP_003396921.1	XP_017885147.1
OG0004042	XP_003398735.1	XP_026668900.1
OG0004043	XP_020720555.1	XP_017879692.1
OG0004044	XP_012171994.2	XP_017882890.1
OG0004045	XP_003400219.1	XP_017879468.1
OG0004046	XP_003393512.2	XP_017891388.1
OG0004047	XP_012168116.1	XP_017881977.1
OG0004048	XP_003395235.1	XP_026670159.1
OG0004049	XP_020723971.1	XP_026668672.1
OG0004050	XP_003399909.1	XP_017888462.1
OG0004051	XP_003401568.1	XP_017889434.2
OG0004052	XP_003401998.3	XP_017879639.1
OG0004053	XP_003402109.1	XP_017890674.1
OG0004054	XP_003397349.1	XP_017885498.1
OG0004055	XP_012171703.1, XP_003400780.2	XP_017884842.1
OG0004056	XP_012173669.1, XP_003402105.1	XP_026672262.1
OG0004057	XP_003396433.2	XP_017892310.1
OG0004058	XP_003399509.1	XP_017882545.1
OG0004059	XP_012171070.1	XP_017883467.1
OG0004060	XP_003398444.1	XP_026667642.1
OG0004061	XP_003395029.1	XP_017883982.1
OG0004062	XP_020724326.1	XP_017888168.1
OG0004063	XP_003403424.2	XP_017893394.1
OG0004064	XP_003396474.1	XP_017889710.1
OG0004065	XP_003395667.1	XP_017883515.1
OG0004066	XP_003396009.1	XP_017879760.1
OG0004067	XP_012175279.1, XP_003403281.1	XP_017875031.1
OG0004068	XP_003397983.1	XP_017882764.1
OG0004069	XP_003401546.1	XP_017889489.1
OG0004070	XP_003392904.1	XP_026673395.1
OG0004071	XP_003395515.1	XP_026674283.1, XP_017890230.1
OG0004072	XP_003399464.1	XP_017880147.1
OG0004073	XP_003398505.3	XP_026667220.1
OG0004074	XP_012168709.1	XP_017882275.1
OG0004075	XP_003393165.1	XP_017875223.1
OG0004076	XP_003395758.1	XP_017875400.1
OG0004077	XP_012169627.1	XP_017884441.1, XP_017888085.1
OG0004078	XP_003402351.1	XP_017887011.1
OG0004079	XP_020722861.1, XP_020722857.1	XP_017884348.1
OG0004080	XP_003392947.1	XP_017881026.1
OG0004081	XP_003399436.1	XP_026670433.1, XP_026670434.1, XP_017881942.1
OG0004082	XP_003393040.1	XP_026667435.1
OG0004083	XP_003402493.1	XP_026668318.1
OG0004084	XP_003397144.1	XP_017891050.1
OG0004085	XP_003400883.1, XP_012171660.1	XP_017884609.1
OG0004086	XP_003393042.1	XP_017876117.1
OG0004087	XP_020720661.1	XP_026674997.1
OG0004088	XP_020722769.1	XP_017882830.1
OG0004089	XP_003399029.1	XP_017878434.1, XP_017878370.1
OG0004090	XP_003400019.1, XP_012170663.1	XP_017876928.1
OG0004091	XP_003403121.1	XP_026670678.1, XP_017882690.1
OG0004092	XP_012176250.1	XP_026669591.1
OG0004093	XP_003398955.1	XP_017892874.1
OG0004094	XP_003400521.1	XP_017881050.1
OG0004095	XP_003399483.1	XP_017876992.1
OG0004096	XP_003393020.1, XP_012176581.1	XP_017881557.1
OG0004097	XP_012174142.1	XP_017891677.1, XP_017891676.1
OG0004098	XP_012174727.1	XP_017884997.1
OG0004099	XP_003396525.1, XP_020719356.1	XP_017885860.1
OG0004100	XP_012168034.1	XP_026668881.1
OG0004101	XP_003395767.1	XP_017879883.1
OG0004102	XP_003396066.1	XP_017875380.1
OG0004103	XP_012169169.1	XP_017886273.1
OG0004104	XP_003400815.1	XP_017884992.1
OG0004105	XP_003397745.1, XP_012167085.1	XP_017891288.1
OG0004106	XP_003394581.1	XP_026670529.1, XP_017875639.1
OG0004107	XP_012174717.1	XP_017890914.1
OG0004108	XP_020723372.1, XP_003393709.1	XP_017876874.1
OG0004109	XP_003394711.1	XP_017880814.1
OG0004110	XP_003396314.1	XP_017887617.1
OG0004111	XP_003393315.1	XP_017887786.1
OG0004112	XP_003400570.1	XP_017875470.1
OG0004113	XP_020723813.1	XP_026669989.1
OG0004114	XP_020722509.1	XP_017886438.1, XP_026672467.1
OG0004115	XP_003396117.1	XP_017893014.1
OG0004116	XP_012172408.1	XP_017889541.1, XP_017889542.1
OG0004117	XP_012174801.1	XP_017889832.2
OG0004118	XP_003394893.1	XP_017893647.1
OG0004119	XP_003401369.1	XP_017891510.1
OG0004120	XP_020719648.1	XP_017882754.1
OG0004122	XP_003394516.1	XP_017880226.1
OG0004123	XP_003399845.1	XP_017885274.1, XP_017880195.1
OG0004124	XP_003401028.1	XP_017889579.1
OG0004125	XP_020720669.1	XP_017891936.1
OG0004126	XP_012171232.1	XP_017877285.1
OG0004127	XP_003393795.1	XP_017892777.1
OG0004128	XP_003394564.1	XP_026670536.1, XP_017882491.1
OG0004129	XP_003397981.1	XP_017875868.1
OG0004130	XP_003401626.1	XP_017876271.1
OG0004131	XP_003394685.1	XP_017882420.1
OG0004132	XP_003399207.1	XP_017875269.1
OG0004133	XP_003394461.1	XP_026671336.1
OG0004134	XP_003398931.1	XP_017876272.1
OG0004135	XP_003395821.1	XP_017891635.1
OG0004136	XP_003396107.1	XP_017889437.1
OG0004137	XP_012165517.1	XP_017892388.1
OG0004138	XP_003401376.1	XP_017882733.1, XP_017891514.1
OG0004139	XP_020721333.1	XP_017883990.1
OG0004140	XP_003394467.1	XP_017884034.1
OG0004141	XP_003393532.1	XP_017889807.1
OG0004142	XP_003401754.1	XP_017888746.1
OG0004143	XP_020720043.1	XP_017890617.1, XP_026668157.1
OG0004144	XP_003403057.1	XP_017881459.1
OG0004145	XP_012170127.1	XP_017877223.1
OG0004146	XP_003403110.1	XP_026670217.1
OG0004147	XP_003401381.1	XP_017891498.1
OG0004148	XP_003402166.1	XP_017888392.1, XP_026673478.1
OG0004149	XP_003398383.1	XP_026670294.1
OG0004150	XP_003395379.1	XP_017891801.1
OG0004151	XP_003399636.2	XP_017883738.1
OG0004152	XP_003395404.1	XP_017883057.1, XP_017892068.2
OG0004153	XP_020720218.1	XP_017885063.2, XP_026675474.1
OG0004154	XP_003401316.1	XP_017891553.1
OG0004155	XP_003397702.1	XP_017885404.1
OG0004156	XP_020721199.1	XP_017878413.1
OG0004157	XP_003398055.1	XP_017886572.1, XP_026672594.1
OG0004158	XP_020720112.1	XP_017887833.1
OG0004159	XP_020722967.1	XP_017880085.1
OG0004161	XP_003400182.1	XP_017891862.1, XP_017883979.1
OG0004162	XP_003396351.1	XP_017893142.1
OG0004163	XP_003398993.1	XP_017888160.1
OG0004164	XP_003395120.1	XP_017877888.1
OG0004165	XP_003399929.1	XP_017879034.1
OG0004166	XP_003400848.1	XP_017888145.1
OG0004167	XP_003393653.2	XP_017886626.1, XP_026672620.1
OG0004168	XP_003400320.1	XP_017886028.1, XP_017886027.1
OG0004169	XP_012166325.1	XP_017877355.1
OG0004170	XP_003400349.1	XP_017875890.1
OG0004171	XP_012174998.1	XP_017883433.1
OG0004172	XP_003398574.1	XP_017876659.1
OG0004173	XP_003398125.1	XP_017891927.1
OG0004174	XP_003398524.1	XP_017876691.1
OG0004175	XP_020722010.1, XP_003400392.1	XP_017884793.1
OG0004177	XP_020719676.1, XP_012165909.1	XP_026675214.1
OG0004178	XP_003396229.1	XP_017878183.1
OG0004179	XP_012173373.1	XP_017892202.1
OG0004180	XP_012175202.2	XP_017881876.1
OG0004181	XP_003397304.1	XP_017892203.1
OG0004182	XP_003396615.1	XP_017881861.1
OG0004183	XP_003396083.1	XP_017880015.1
OG0004184	XP_003394356.1	XP_017880673.1
OG0004185	XP_003401602.1	XP_017878190.1
OG0004186	XP_003397740.1	XP_017889241.1
OG0004187	XP_020721860.1	XP_026666698.1, XP_017893374.1
OG0004188	XP_020718511.1, XP_020718510.1	XP_017877920.1
OG0004189	XP_003394920.1	XP_017877921.1
OG0004190	XP_003395087.1	XP_017891658.1
OG0004191	XP_003400493.1	XP_017893317.1
OG0004192	XP_012166472.1	XP_026669444.1, XP_017893243.1
OG0004193	XP_003401445.1	XP_017886494.1
OG0004194	XP_012166261.1	XP_017880533.1
OG0004195	XP_020723759.1	XP_026671901.1
OG0004196	XP_003395875.1, XP_003395873.1	XP_026669193.1
OG0004197	XP_003397295.1	XP_017893163.1
OG0004198	XP_003399308.1	XP_017884443.1
OG0004199	XP_003394851.1	XP_017884689.1
OG0004200	XP_020722259.1	XP_026670257.1, XP_026670255.1
OG0004201	XP_003400732.1	XP_017875539.1
OG0004202	XP_012170719.1	XP_017890293.1
OG0004203	XP_003397607.1	XP_017877423.1, XP_017877417.1
OG0004204	XP_003397014.1	XP_017891069.1
OG0004205	XP_003402127.1	XP_017877240.1
OG0004206	XP_020719813.1, XP_012166731.2	XP_017893305.1
OG0004207	XP_003402522.2	XP_017879679.1, XP_026669112.1
OG0004208	XP_003397828.1	XP_017877319.1, XP_017890059.1
OG0004209	XP_003398388.1	XP_017882018.2
OG0004210	XP_003395440.1	XP_017891802.1
OG0004211	XP_003395708.1	XP_017885392.1
OG0004212	XP_003395690.1	XP_017879564.1
OG0004213	XP_003396112.1	XP_017888982.2
OG0004214	XP_003396071.1	XP_017880280.1
OG0004215	XP_003396155.1	XP_026674819.1
OG0004216	XP_003396127.1	XP_017893018.1
OG0004217	XP_012163404.1	XP_017881337.1
OG0004218	XP_003395246.1	XP_026669936.1, XP_017881161.1
OG0004219	XP_003399651.1	XP_017886886.1
OG0004220	XP_003396226.1	XP_017878177.1
OG0004221	XP_012172028.1	XP_017889567.1
OG0004222	XP_012172462.1, XP_012172461.1	XP_017889562.1
OG0004223	XP_003403073.1	XP_017881453.1
OG0004224	XP_003398826.1	XP_017883951.1, XP_026666974.1
OG0004225	XP_012164907.1	XP_017875381.1
OG0004226	XP_012163821.1, XP_003395841.1	XP_017890239.1
OG0004227	XP_003398102.1, XP_012167798.1	XP_017891921.1
OG0004228	XP_003398179.1	XP_017875738.1
OG0004229	XP_003401854.1	XP_017888792.1
OG0004230	XP_003395574.1	XP_026670851.1
OG0004231	XP_012163076.1	XP_017893503.1, XP_017893502.1
OG0004232	XP_003399503.1	XP_026670619.1, XP_017882593.1
OG0004233	XP_003396646.1	XP_026670685.1
OG0004234	XP_003395590.1	XP_017882378.1
OG0004235	XP_003400403.1, XP_020722013.1	XP_017884681.1
OG0004236	XP_012175675.1	XP_026671425.1
OG0004237	XP_020721196.1	XP_026668638.1, XP_017878502.1
OG0004238	XP_012169222.1	XP_017878491.1
OG0004239	XP_003399227.2	XP_026667499.1
OG0004240	XP_003394672.1	XP_026668090.1, XP_017877474.1, XP_017877473.1
OG0004241	XP_003394692.1	XP_017880940.1
OG0004242	XP_003399751.2	XP_026669238.1
OG0004243	XP_012163346.1, XP_012163347.1	XP_017877887.1
OG0004244	XP_003402495.1	XP_017877956.1
OG0004245	XP_012167508.1	XP_017888553.1
OG0004246	XP_003395725.1	XP_017890142.1
OG0004247	XP_020718879.1, XP_020718878.1	XP_026671054.1
OG0004248	XP_003394721.1	XP_017880794.1, XP_017880793.1
OG0004249	XP_003394717.1	XP_017887340.1, XP_017880817.1
OG0004250	XP_003401665.1	XP_017880032.1, XP_026668460.1
OG0004251	XP_003393811.1	XP_017891306.1
OG0004252	XP_003393819.1	XP_017891232.1
OG0004253	XP_012164828.2	XP_017878638.1
OG0004254	XP_003396665.1	XP_017892364.1
OG0004255	XP_020719317.1, XP_020719316.1	XP_017892523.1
OG0004256	XP_012174041.1	XP_017884173.1
OG0004257	XP_003393779.1	XP_017880486.1, XP_017880488.1
OG0004258	XP_003394673.1	XP_017881806.1
OG0004259	XP_020724079.1, XP_003394151.1	XP_026675216.1
OG0004260	XP_003394138.2	XP_017890343.1
OG0004261	XP_012176459.1	XP_017880242.1
OG0004262	XP_003394482.1	XP_017880144.1, XP_026669379.1
OG0004263	XP_003394788.1	XP_017884522.1
OG0004264	XP_020720856.1	XP_026667184.1
OG0004265	XP_003393287.1	XP_017875965.1
OG0004266	XP_003393301.1	XP_017876168.1
OG0004267	XP_003393259.1	XP_017875987.1
OG0004268	XP_003393250.1	XP_017883776.1, XP_026671190.1
OG0004269	XP_012169462.1, XP_003399270.1	XP_026668789.1
OG0004270	XP_003395285.1	XP_017890050.1
OG0004271	XP_003398652.1	XP_026667380.1, XP_017876940.2
OG0004272	XP_003401946.1	XP_017879653.1
OG0004273	XP_003401933.1	XP_017892021.1
OG0004274	XP_012174633.1, XP_012174634.1	XP_017886683.1
OG0004275	XP_003397353.1	XP_017885548.1
OG0004276	XP_012166231.2	XP_017879056.2
OG0004277	XP_012163618.1	XP_017878729.1
OG0004278	XP_012166189.1	XP_017887767.1
OG0004279	XP_003396950.1	XP_017876328.1
OG0004280	XP_012165948.1	XP_017891418.1
OG0004281	XP_020718983.1	XP_017880682.1
OG0004282	XP_003395922.1	XP_017891173.1
OG0004284	XP_020722132.1	XP_017884951.1
OG0004285	XP_003400833.1, XP_012171880.1	XP_017884727.1
OG0004286	XP_012172049.1	XP_017882859.1
OG0004287	XP_012173753.1	XP_017892473.1
OG0004288	XP_003393642.1	XP_017879649.1
OG0004289	XP_003399989.1	XP_017886902.1, XP_026672675.1
OG0004290	XP_012170130.1	XP_017886903.1
OG0004291	XP_012170915.1, XP_003400168.1	XP_026674419.1
OG0004292	XP_003400170.1	XP_026674424.1
OG0004293	XP_012176212.1	XP_017877543.1
OG0004294	XP_003402996.2, XP_012174848.1	XP_017887625.1
OG0004295	XP_012167293.1	XP_017889263.1
OG0004296	XP_003397362.1	XP_017885572.1
OG0004297	XP_012176127.1	XP_017885448.1
OG0004298	XP_012176133.2	XP_017880746.1
OG0004299	XP_012171019.1	XP_026666812.1
OG0004300	XP_020721960.1	XP_026666754.1, XP_026666755.1, XP_017893345.1
OG0004301	XP_020719683.1	XP_017885660.1
OG0004302	XP_012169543.1	XP_017883350.1
OG0004303	XP_003397210.1	XP_017887589.1
OG0004304	XP_020718345.1	XP_026670161.1
OG0004305	XP_003400525.1	XP_017892078.1
OG0004306	XP_012175012.1	XP_017888758.1
OG0004307	XP_012166396.1	XP_026674776.1
OG0004308	XP_003397107.2	XP_017891126.1
OG0004309	XP_003396719.1	XP_017887551.1
OG0004310	XP_012165117.1	XP_017881520.1
OG0004311	XP_012172723.1	XP_017888915.1
OG0004312	XP_003401488.1	XP_017889906.1
OG0004313	XP_003393606.1	XP_017880519.1
OG0004314	XP_003393599.1	XP_017880529.1
OG0004315	XP_020723300.1	XP_017880530.1
OG0004317	XP_012172346.1	XP_017892906.1
OG0004318	XP_003393623.1	XP_017876865.1
OG0004319	XP_012166469.1	XP_017884963.1
OG0004320	XP_003397264.1	XP_017892877.1
OG0004321	XP_012172655.1	XP_026670956.1
OG0004322	XP_012172659.1	XP_017883310.1
OG0004323	XP_012172666.1, XP_020722525.1, XP_020722526.1	XP_017886307.1, XP_026672524.1
OG0004324	XP_012171035.1, XP_012171033.1	XP_017887128.1
OG0004325	XP_012171052.1	XP_017875243.1
OG0004326	XP_012171119.1	XP_026672751.1
OG0004327	XP_003402200.1	XP_017890675.1
OG0004328	XP_003399738.1	XP_017890016.1
OG0004329	XP_020721692.1	XP_017875337.1
OG0004330	XP_012175131.1, XP_020723827.1	XP_026666542.1
OG0004331	XP_012175141.1	XP_017875983.1
OG0004332	XP_012175148.1	XP_017875992.1
OG0004333	XP_012175144.1	XP_017875988.1
OG0004334	XP_020722912.1	XP_026673732.1
OG0004335	XP_003397059.1	XP_017893304.1
OG0004336	XP_012166342.1	XP_017893302.1
OG0004337	XP_012166312.1	XP_026675420.1
OG0004338	XP_003402365.1	XP_026670916.1
OG0004339	XP_003397158.1	XP_017893220.1
OG0004340	XP_003397162.3	XP_017893149.1
OG0004341	XP_012173981.1	XP_017883227.1
OG0004342	XP_020724296.1	XP_026672372.1
OG0004343	XP_012176415.1	XP_017882463.1
OG0004344	XP_003394272.1	XP_017886189.1
OG0004345	XP_003397234.1, XP_012166574.1	XP_026672130.1
OG0004346	XP_012166582.1	XP_017885570.1
OG0004347	XP_012176760.1, XP_003394842.1	XP_017890898.1
OG0004348	XP_003399054.1	XP_026671857.1
OG0004349	XP_003401554.1	XP_026674989.1
OG0004350	XP_003395770.2	XP_026669186.1, XP_026669187.1
OG0004351	XP_020723885.1	XP_017890871.1
OG0004352	XP_012174838.2	XP_017875027.1
OG0004353	XP_003400298.1	XP_026668135.1
OG0004354	XP_020721777.1, XP_012171072.1	XP_017877464.1
OG0004355	XP_012166659.1	XP_017892222.1
OG0004356	XP_012175289.2	XP_017883231.1
OG0004357	XP_012171776.1	XP_017875444.1
OG0004358	XP_003400039.1	XP_017883502.1
OG0004359	XP_003400035.1	XP_017888563.1
OG0004360	XP_012170754.1	XP_017888567.1
OG0004361	XP_020721945.1	XP_026674425.1
OG0004362	XP_003400057.1	XP_026669409.1, XP_017893352.2
OG0004363	XP_012170669.1	XP_017893408.1
OG0004364	XP_003394542.1	XP_026669656.1
OG0004365	XP_020718290.1	XP_017880351.2
OG0004366	XP_003395060.1	XP_017877800.1, XP_017875419.1
OG0004368	XP_012172491.1	XP_017891519.1
OG0004369	XP_012169941.1	XP_017892672.1
OG0004370	XP_003397024.1	XP_017893186.1
OG0004371	XP_003394222.1	XP_017880679.1
OG0004372	XP_012172540.2	XP_017891486.1
OG0004373	XP_003401373.1	XP_026674972.1, XP_017891503.1
OG0004374	XP_003401587.1	XP_017891460.2
OG0004375	XP_012172364.1	XP_017889544.2
OG0004376	XP_012172377.1	XP_026674142.1
OG0004377	XP_012170475.1	XP_017876838.1
OG0004378	XP_020723968.1	XP_017877335.1, XP_017884365.1
OG0004379	XP_020718971.1	XP_017888546.1, XP_017885414.1
OG0004380	XP_012173892.1	XP_017877043.2
OG0004381	XP_012173820.1, XP_012173815.1	XP_017888421.1
OG0004382	XP_003402125.1	XP_017877286.1
OG0004383	XP_003402137.1	XP_017877306.1
OG0004384	XP_012173716.1, XP_003402156.1	XP_017886741.1
OG0004385	XP_003397380.1	XP_026669059.1
OG0004386	XP_003397587.1	XP_017885767.1
OG0004387	XP_012167125.1	XP_017886219.1
OG0004388	XP_003397580.1	XP_026672444.1
OG0004389	XP_012167124.1	XP_017887887.1, XP_017886212.1
OG0004390	XP_003397719.1	XP_017887899.1, XP_017886214.1
OG0004391	XP_003397571.1	XP_017875966.2
OG0004392	XP_003398038.1	XP_017887820.1
OG0004393	XP_020720224.1	XP_017890553.1
OG0004394	XP_003397432.1	XP_017892033.1
OG0004395	XP_012167363.1	XP_017876216.1
OG0004396	XP_012167401.1	XP_017890646.1
OG0004397	XP_012167428.2	XP_017881014.1
OG0004398	XP_012167430.1	XP_017881027.1
OG0004399	XP_003398928.1	XP_017884982.1
OG0004400	XP_003397508.1	XP_026672125.1, XP_017875236.2
OG0004401	XP_012167086.1	XP_017891044.1
OG0004402	XP_012171324.1	XP_026670989.1
OG0004403	XP_012163855.1	XP_026675155.1
OG0004404	XP_012164219.1	XP_017885368.1, XP_017885367.1
OG0004405	XP_012164214.1	XP_026668306.1
OG0004406	XP_020718966.1	XP_017890081.1
OG0004407	XP_012164486.1	XP_026674381.1
OG0004408	XP_003395576.1	XP_017890054.1
OG0004409	XP_012169975.1	XP_026672672.1
OG0004410	XP_020721412.1	XP_017892561.1, XP_026672982.1
OG0004411	XP_012168145.1, XP_012168144.1	XP_017876608.1
OG0004412	XP_012168872.1	XP_017890622.2, XP_026673043.1
OG0004413	XP_003398806.1	XP_017881119.1
OG0004414	XP_012163167.1	XP_026672913.1
OG0004415	XP_012174456.1	XP_017887967.1
OG0004416	XP_003402788.1	XP_017888359.1, XP_017887881.1
OG0004417	XP_020720645.1, XP_003398209.1	XP_026667665.1
OG0004418	XP_020720674.1	XP_026667658.1, XP_017876562.2
OG0004419	XP_012167878.1	XP_017882080.1
OG0004420	XP_020720693.1	XP_017882083.1, XP_026670368.1
OG0004421	XP_003398375.1	XP_017876540.1
OG0004422	XP_020720756.1	XP_017881305.1
OG0004423	XP_012171600.1	XP_017892162.1
OG0004424	XP_003400758.1	XP_017884969.1
OG0004425	XP_003399680.1	XP_017893337.1
OG0004426	XP_020721456.1	XP_017886845.1
OG0004427	XP_012165021.1	XP_017875799.1
OG0004428	XP_003396220.1	XP_017890835.1
OG0004429	XP_012165012.1	XP_017886539.1, XP_017875142.1
OG0004430	XP_020723537.1, XP_003402771.1	XP_026667284.1
OG0004431	XP_012174449.1	XP_017890951.1
OG0004432	XP_012168906.2	XP_026669108.1, XP_017879674.1
OG0004433	XP_020722474.1, XP_012172407.1	XP_017886346.1
OG0004434	XP_003401271.1	XP_017889718.2
OG0004435	XP_020722600.1	XP_017889344.1
OG0004436	XP_003401085.1	XP_017889389.1
OG0004437	XP_003401099.1	XP_017889821.1
OG0004438	XP_012172239.1	XP_017889833.1
OG0004439	XP_003401034.1	XP_017889399.1
OG0004440	XP_020722758.1	XP_017889406.1
OG0004441	XP_003401193.1	XP_017886386.1
OG0004442	XP_020722562.1	XP_026670786.1
OG0004443	XP_020722805.1	XP_026668438.1, XP_017882719.2
OG0004444	XP_003401776.1	XP_017880063.1
OG0004445	XP_003403099.1	XP_017883456.1
OG0004446	XP_012175091.1	XP_026671025.1
OG0004448	XP_012176106.1	XP_026672404.1
OG0004449	XP_003394271.1	XP_017886161.1
OG0004450	XP_012176572.1	XP_017887320.1
OG0004451	XP_012164927.2	XP_026669155.1
OG0004452	XP_003395450.1	XP_017891324.1
OG0004453	XP_020718617.1	XP_026675150.1, XP_017891761.1
OG0004454	XP_003393540.1	XP_026669533.1, XP_017880576.1
OG0004455	XP_003398970.1	XP_017887498.1
OG0004456	XP_003401715.1	XP_017880090.1
OG0004457	XP_012173007.1	XP_017880052.1
OG0004458	XP_012173015.1	XP_017880057.1
OG0004459	XP_012173018.1	XP_017877248.1
OG0004460	XP_012173051.1	XP_017888353.1
OG0004461	XP_003401711.1	XP_017893091.1
OG0004462	XP_003401708.1	XP_017893090.1
OG0004463	XP_003394050.1	XP_017883320.1
OG0004464	XP_003395595.1	XP_017890063.1
OG0004465	XP_003395583.1	XP_017879510.1
OG0004467	XP_012171534.1	XP_026667155.1
OG0004468	XP_003400592.1, XP_012171533.1	XP_017875508.1
OG0004469	XP_012171662.1	XP_017885008.1
OG0004470	XP_003400782.1	XP_017881606.1
OG0004471	XP_012171647.1	XP_017875534.1
OG0004472	XP_020722281.1, XP_003400742.1	XP_017885006.1, XP_026671509.1
OG0004473	XP_012171757.1, XP_020722280.1	XP_017884674.1
OG0004474	XP_012168688.1	XP_017891721.1
OG0004475	XP_003400362.1	XP_017888035.2
OG0004476	XP_020721970.1	XP_017891798.1
