Orthogroup	Apis_mellifera	Dufourea_novaeangliae
OG0003589	XP_026296323.1	XP_015432938.1
OG0003590	XP_026296332.1	XP_015439836.1
OG0003591	XP_026296394.1	XP_015440010.1
OG0003592	XP_026296401.1	XP_015439700.1
OG0003593	XP_026296407.1	XP_015433819.1
OG0003594	XP_026296442.1	XP_015429804.1
OG0003595	XP_026296474.1	XP_015440150.1
OG0003596	XP_026296476.1	XP_015432194.1
OG0003598	XP_026296542.1	XP_015439696.1
OG0003599	XP_026296621.1	XP_015440171.1
OG0003600	XP_026296675.1	XP_015440202.1
OG0003601	XP_026296678.1	XP_015440102.1
OG0003602	XP_026296687.1	XP_015439982.1
OG0003603	XP_026296719.1	XP_015433295.1
OG0003604	XP_026296755.1	XP_015439838.1
OG0003605	XP_026296774.1	XP_015433305.1
OG0003606	XP_026296821.1	XP_015439739.1
OG0003607	XP_026296858.1	XP_015433257.1, XP_015440129.1
OG0003608	XP_026296881.1	XP_015433323.1
OG0003609	XP_026296883.1	XP_015438201.1
OG0003610	XP_026296911.1	XP_015438135.1, XP_015429682.1
OG0003611	XP_026297027.1	XP_015435734.1, XP_015435750.1
OG0003612	XP_026297047.1	XP_015438417.1
OG0003613	XP_026297086.1	XP_015436725.1
OG0003614	XP_026297114.1	XP_015435287.1
OG0003615	XP_026297120.1, XP_026297125.1	XP_015432547.1
OG0003616	XP_026297132.1	XP_015431951.1
OG0003617	XP_026297140.1	XP_015438664.1
OG0003620	XP_026297191.1	XP_015440356.1
OG0003621	XP_026297204.1	XP_015433873.1
OG0003622	XP_026297223.1	XP_015436723.1
OG0003623	XP_026297224.1	XP_015431939.1
OG0003624	XP_026297326.1	XP_015432064.1
OG0003625	XP_026297343.1	XP_015432045.1
OG0003626	XP_026297388.1	XP_015434505.1
OG0003627	XP_026297465.1, XP_026297464.1	XP_015429522.1, XP_015429587.1
OG0003628	XP_026297471.1	XP_015429916.1
OG0003629	XP_026297479.1	XP_015429496.1
OG0003630	XP_026297502.1	XP_015429593.1
OG0003631	XP_026297533.1	XP_015429435.1
OG0003632	XP_026297628.1	XP_015436007.1
OG0003633	XP_026297746.1	XP_015435747.1
OG0003634	XP_026297766.1	XP_015435682.1
OG0003635	XP_026297790.1	XP_015434731.1
OG0003636	XP_026297817.1	XP_015431020.1
OG0003637	XP_026297912.1	XP_015433952.1
OG0003638	XP_026297929.1, XP_026297928.1	XP_015429190.1
OG0003639	XP_026297954.1	XP_015434248.1
OG0003641	XP_026298043.1	XP_015429380.1
OG0003642	XP_026298046.1	XP_015438331.1
OG0003643	XP_026298063.1	XP_015430414.1
OG0003644	XP_026298145.1	XP_015429196.1
OG0003645	XP_026298168.1	XP_015433746.1
OG0003646	XP_026298204.1	XP_015437459.1
OG0003647	XP_026298221.1	XP_015430554.1
OG0003648	XP_026298224.1, XP_026298233.1	XP_015438095.1
OG0003649	XP_026298254.1	XP_015438043.1
OG0003650	XP_026298263.1, XP_026298264.1	XP_015438044.1
OG0003651	XP_026298265.1	XP_015433704.1
OG0003652	XP_026298280.1	XP_015435082.1
OG0003653	XP_026298294.1	XP_015429184.1
OG0003654	XP_026298305.1	XP_015430907.1
OG0003655	XP_026298452.1	XP_015431042.1
OG0003656	XP_026298520.1	XP_015433723.1
OG0003657	XP_026298525.1, XP_026298527.1, XP_026298526.1, XP_026298524.1	XP_015436359.1
OG0003658	XP_026298542.1, XP_395779.3	XP_015433631.1
OG0003659	XP_026298579.1	XP_015430484.1
OG0003660	XP_026298643.1	XP_015436164.1
OG0003661	XP_026298753.1	XP_015436047.1
OG0003662	XP_026298841.1	XP_015436173.1
OG0003663	XP_026298857.1	XP_015439504.1
OG0003665	XP_026298960.1	XP_015431321.1
OG0003666	XP_026298977.1	XP_015436704.1
OG0003667	XP_026299010.1	XP_015429854.1
OG0003668	XP_026299056.1	XP_015438455.1
OG0003669	XP_026299073.1	XP_015433437.1
OG0003670	XP_026299076.1	XP_015428859.1
OG0003671	XP_026299077.1	XP_015428860.1
OG0003672	XP_026299087.1, XP_026299085.1	XP_015436530.1
OG0003673	XP_026299091.1	XP_015428875.1
OG0003674	XP_026299122.1	XP_015435911.1
OG0003675	XP_026299131.1	XP_015438548.1
OG0003676	XP_026299144.1	XP_015438495.1
OG0003677	XP_026299147.1	XP_015439562.1
OG0003678	XP_026299161.1	XP_015438393.1
OG0003679	XP_026299176.1	XP_015430596.1, XP_015430597.1
OG0003680	XP_026299183.1	XP_015429900.1
OG0003681	XP_026299201.1	XP_015438606.1, XP_015438607.1
OG0003682	XP_026299202.1	XP_015438366.1
OG0003683	XP_026299250.1	XP_015431254.1
OG0003684	XP_026299432.1	XP_015437278.1
OG0003685	XP_026299442.1	XP_015436564.1
OG0003686	XP_026299487.1	XP_015438278.1, XP_015438277.1
OG0003687	XP_026299500.1	XP_015438788.1
OG0003688	XP_026299501.1	XP_015433721.1
OG0003689	XP_026299523.1, XP_026299525.1	XP_015435518.1
OG0003690	XP_026299535.1	XP_015428675.1
OG0003691	XP_026299546.1	XP_015437312.1
OG0003692	XP_026299644.1	XP_015438814.1
OG0003693	XP_026299646.1	XP_015438847.1
OG0003694	XP_026299697.1	XP_015437344.1
OG0003695	XP_026299738.1	XP_015434442.1
OG0003696	XP_026299744.1, XP_026299743.1	XP_015438797.1
OG0003697	XP_026299776.1	XP_015436548.1
OG0003698	XP_026299794.1	XP_015438127.1, XP_015437285.1, XP_015437283.1
OG0003699	XP_026299800.1	XP_015437722.1
OG0003700	XP_026299810.1	XP_015437720.1
OG0003701	XP_026300063.1	XP_015437542.1
OG0003702	XP_026300068.1	XP_015435169.1
OG0003703	XP_026300118.1	XP_015432093.1
OG0003704	XP_026300189.1	XP_015439391.1
OG0003705	XP_026300198.1	XP_015436365.1
OG0003706	XP_026300352.1	XP_015435471.1
OG0003707	XP_395996.1, XP_026300356.1	XP_015437697.1
OG0003708	XP_026300407.1	XP_015430870.1
OG0003709	XP_026300435.1	XP_015433790.1
OG0003710	XP_026300484.1	XP_015432326.1
OG0003712	XP_026300561.1	XP_015428617.1
OG0003713	XP_026300577.1	XP_015428507.1
OG0003714	XP_026300619.1	XP_015432409.1
OG0003715	XP_026300640.1	XP_015428523.1
OG0003716	XP_026300713.1	XP_015434123.1
OG0003717	XP_026300903.1, XP_026300904.1	XP_015439195.1
OG0003718	XP_026300911.1	XP_015438943.1
OG0003719	XP_026300954.1	XP_015434064.1
OG0003720	XP_026300991.1	XP_015438989.1
OG0003721	XP_026301008.1, XP_026300997.1	XP_015434198.1
OG0003722	XP_026301031.1	XP_015430221.1
OG0003723	XP_026301084.1	XP_015432428.1
OG0003724	XP_026301095.1	XP_015434806.1
OG0003725	XP_026301246.1	XP_015432490.1
OG0003726	XP_026301286.1	XP_015435620.1
OG0003727	XP_026301294.1	XP_015433180.1
OG0003728	XP_026301351.1	XP_015437937.1
OG0003729	XP_026301356.1, XP_392068.2	XP_015437955.1
OG0003730	XP_026301405.1	XP_015432422.1
OG0003731	XP_026301527.1	XP_015428470.1
OG0003732	XP_026301546.1, XP_026301547.1	XP_015434619.1
OG0003733	XP_026301577.1	XP_015437713.1
OG0003734	XP_026301694.1, XP_026301693.1	XP_015428475.1
OG0003735	XP_026301695.1	XP_015432672.1
OG0003736	XP_026301698.1, XP_026301699.1	XP_015430249.1
OG0003737	XP_026301850.1	XP_015438276.1
OG0003738	XP_026301943.1	XP_015438257.1
OG0003739	XP_026301944.1, XP_393536.2	XP_015429889.1
OG0003740	XP_026301946.1	XP_015432855.1
OG0003741	XP_026301957.1, XP_026301956.1, XP_026301955.1	XP_015435280.1
OG0003742	XP_026302060.1	XP_015429697.1
OG0003743	XP_026302091.1	XP_015433572.1
OG0003744	XP_026302130.1	XP_015433783.1
OG0003745	XP_026302270.1	XP_015429484.1, XP_015429485.1
OG0003746	XP_026302302.1	XP_015434991.1
OG0003747	XP_391880.2	XP_015438837.1
OG0003748	XP_391912.1	XP_015437011.1
OG0003749	XP_391963.3	XP_015432355.1, XP_015432354.1
OG0003750	XP_391986.4	XP_015432786.1
OG0003751	XP_392023.1	XP_015439156.1
OG0003752	XP_392056.5	XP_015432415.1
OG0003753	XP_392155.2	XP_015436612.1
OG0003754	XP_392194.2	XP_015434971.1
OG0003755	XP_392212.2	XP_015433006.1
OG0003756	XP_392223.2	XP_015429174.1
OG0003757	XP_392246.3	XP_015429040.1
OG0003758	XP_392374.4	XP_015440208.1
OG0003759	XP_392378.2	XP_015439663.1
OG0003760	XP_392512.3	XP_015436317.1
OG0003761	XP_392555.1	XP_015431192.1
OG0003762	XP_392567.4	XP_015440178.1
OG0003763	XP_392588.2	XP_015439991.1
OG0003764	XP_392591.2	XP_015428555.1
OG0003765	XP_392611.4	XP_015434983.1
OG0003766	XP_392612.3	XP_015435028.1
OG0003767	XP_392654.2	XP_015437894.1
OG0003768	XP_392658.2	XP_015434324.1
OG0003769	XP_392679.5	XP_015433320.1, XP_015433321.1
OG0003770	XP_392683.1	XP_015438444.1
OG0003771	XP_392686.2	XP_015436287.1
OG0003772	XP_392711.4	XP_015435248.1
OG0003773	XP_392725.1	XP_015437654.1
OG0003774	XP_392742.4	XP_015437763.1
OG0003775	XP_392830.2	XP_015435339.1
OG0003776	XP_392899.2	XP_015430288.1
OG0003777	XP_392923.5	XP_015439051.1
OG0003778	XP_392983.1	XP_015433473.1
OG0003779	XP_393027.2	XP_015430293.1
OG0003780	XP_393029.2	XP_015431488.1, XP_015431487.1
OG0003781	XP_393055.5	XP_015428867.1
OG0003782	XP_393106.4	XP_015434914.1
OG0003783	XP_393166.2	XP_015431376.1
OG0003784	XP_393258.3	XP_015437707.1
OG0003785	XP_393351.4	XP_015437518.1
OG0003786	XP_393381.2	XP_015434426.1
OG0003787	XP_393418.3	XP_015429931.1
OG0003788	XP_393446.1	XP_015431905.1
OG0003789	XP_393450.3	XP_015430146.1
OG0003790	XP_393627.4	XP_015432933.1
OG0003791	XP_393651.3	XP_015432122.1
OG0003792	XP_393683.4	XP_015438500.1, XP_015438501.1
OG0003793	XP_393688.2	XP_015437676.1
OG0003794	XP_393736.3	XP_015437020.1
OG0003795	XP_393769.3	XP_015429862.1
OG0003796	XP_393776.5	XP_015436631.1
OG0003797	XP_393805.3	XP_015440475.1
OG0003798	XP_393886.3	XP_015432309.1
OG0003799	XP_393909.2	XP_015428583.1
OG0003800	XP_393926.4	XP_015428512.1, XP_015428521.1
OG0003801	XP_393997.1	XP_015439101.1
OG0003802	XP_394142.4	XP_015429954.1, XP_015429953.1
OG0003803	XP_394179.4	XP_015432814.1
OG0003804	XP_394313.1	XP_015431851.1
OG0003805	XP_394426.4	XP_015435801.1
OG0003806	XP_394460.1	XP_015436935.1
OG0003807	XP_394469.1	XP_015430703.1, XP_015430702.1, XP_015430803.1
OG0003808	XP_394485.2	XP_015430852.1
OG0003809	XP_394547.4	XP_015439772.1
OG0003810	XP_394619.1	XP_015437214.1
OG0003811	XP_394665.1	XP_015429865.1
OG0003812	XP_394722.5	XP_015429234.1
OG0003813	XP_394893.3	XP_015431480.1
OG0003814	XP_394949.4	XP_015432823.1
OG0003815	XP_395052.1	XP_015430782.1
OG0003816	XP_395082.4	XP_015428915.1
OG0003817	XP_395200.2	XP_015429290.1, XP_015429291.1
OG0003818	XP_395238.2	XP_015430403.1
OG0003819	XP_395374.2	XP_015429238.1, XP_015429237.1, XP_015429236.1
OG0003820	XP_395421.4	XP_015428489.1
OG0003821	XP_395475.2	XP_015431866.1
OG0003822	XP_395543.4	XP_015429030.1
OG0003823	XP_395573.3	XP_015437139.1
OG0003824	XP_395613.3	XP_015430753.1
OG0003825	XP_395618.4	XP_015437718.1
OG0003826	XP_395844.3	XP_015437837.1
OG0003827	XP_395851.2	XP_015434543.1
OG0003828	XP_396117.2	XP_015430733.1
OG0003829	XP_396161.2	XP_015435900.1
OG0003830	XP_396165.2	XP_015430180.1
OG0003831	XP_396215.1	XP_015436325.1
OG0003832	XP_396371.5	XP_015435200.1
OG0003833	XP_396435.3	XP_015440378.1
OG0003834	XP_396520.4	XP_015434101.1
OG0003835	XP_396595.2	XP_015437737.1
OG0003836	XP_396699.1	XP_015433451.1
OG0003837	XP_396724.2	XP_015431837.1
OG0003839	XP_396874.5	XP_015440462.1, XP_015440460.1
OG0003840	XP_396922.2	XP_015439434.1
OG0003841	XP_397043.2	XP_015434137.1
OG0003842	XP_397107.5	XP_015435576.1
OG0003843	XP_397235.3	XP_015438440.1
OG0003844	XP_397316.1	XP_015440227.1
OG0003845	XP_397320.1	XP_015438030.1
OG0003846	XP_397368.4	XP_015439949.1
OG0003847	XP_397381.4	XP_015437013.1
OG0003848	XP_397432.2	XP_015435896.1
OG0003849	XP_397464.4	XP_015434385.1
OG0003850	XP_397479.5	XP_015440044.1
OG0003851	XP_397572.4	XP_015434102.1
OG0003852	XP_623071.1	XP_015439871.1
OG0003853	XP_623088.2	XP_015431076.1
OG0003854	XP_623184.1	XP_015437652.1
OG0003855	XP_623244.1	XP_015437356.1
OG0003856	XP_623255.1	XP_015433635.1
OG0003857	XP_623266.3	XP_015437210.1
OG0003858	XP_623269.1	XP_015438242.1
OG0003859	XP_623282.2	XP_015435329.1
OG0003860	XP_623301.2	XP_015429733.1
OG0003861	XP_623366.2	XP_015431997.1
OG0003862	XP_623480.1	XP_015435765.1
OG0003863	XP_623517.3	XP_015435221.1
OG0003864	XP_623552.1	XP_015432603.1
OG0003865	XP_623652.2	XP_015440243.1
OG0003866	XP_623704.2	XP_015431757.1
OG0003867	XP_623717.4	XP_015437931.1
OG0003868	XP_623721.3	XP_015435328.1
OG0003869	XP_623803.3	XP_015438167.1
OG0003870	XP_623868.1	XP_015431392.1
OG0003871	XP_623886.1	XP_015428948.1
OG0003872	XP_623898.4	XP_015437337.1
OG0003873	XP_623919.1	XP_015430882.1
OG0003874	XP_623965.2	XP_015434517.1
OG0003875	XP_623973.1	XP_015440014.1
OG0003876	XP_624002.4	XP_015432237.1
OG0003877	XP_624019.1	XP_015438671.1
OG0003878	XP_624025.3	XP_015437196.1
OG0003879	XP_624052.1	XP_015436750.1
OG0003880	XP_624053.4	XP_015440298.1
OG0003881	XP_624054.3	XP_015429558.1
OG0003882	XP_624077.3	XP_015428458.1
OG0003883	XP_624121.2	XP_015438180.1
OG0003884	XP_624182.1	XP_015428878.1
OG0003885	XP_624207.3	XP_015436756.1
OG0003886	XP_624220.2	XP_015432005.1
OG0003887	XP_624248.3	XP_015435111.1
OG0003888	XP_624256.1	XP_015439798.1
OG0003889	XP_624261.3	XP_015429024.1, XP_015429025.1
OG0003890	XP_624277.2	XP_015428803.1
OG0003891	XP_624279.3	XP_015434212.1
OG0003892	XP_624292.1	XP_015433294.1
OG0003893	XP_624297.2	XP_015430153.1
OG0003894	XP_624337.2	XP_015437191.1
OG0003895	XP_624344.3	XP_015431183.1
OG0003896	XP_624348.3	XP_015439310.1
OG0003897	XP_624412.2	XP_015433148.1
OG0003898	XP_624419.3	XP_015432957.1
OG0003899	XP_624420.3	XP_015435036.1
OG0003900	XP_624469.3	XP_015434181.1
OG0003901	XP_624484.1	XP_015439941.1
OG0003902	XP_624497.2	XP_015433784.1
OG0003903	XP_624536.2	XP_015428742.1
OG0003904	XP_624578.2	XP_015439285.1
OG0003905	XP_624595.2	XP_015430527.1
OG0003906	XP_624692.2	XP_015434647.1
OG0003907	XP_624694.1	XP_015433461.1
OG0003908	XP_624702.2	XP_015439790.1
OG0003909	XP_624706.1	XP_015436776.1
OG0003910	XP_624787.1	XP_015433186.1
OG0003911	XP_624816.1	XP_015438164.1
OG0003912	XP_624822.4	XP_015437711.1
OG0003913	XP_624853.3	XP_015433712.1
OG0003914	XP_624906.2	XP_015438082.1
OG0003915	XP_624918.2	XP_015435927.1
OG0003916	XP_624940.3	XP_015436345.1
OG0003917	XP_624946.1	XP_015430307.1
OG0003918	XP_624976.2	XP_015435890.1
OG0003919	XP_625000.3	XP_015430913.1
OG0003920	XP_625017.1	XP_015428921.1
OG0003921	XP_625027.1	XP_015429339.1
OG0003922	XP_625077.3	XP_015430797.1
OG0003923	XP_625147.3	XP_015438058.1
OG0003924	XP_625154.1	XP_015436464.1
OG0003925	XP_625183.2	XP_015439776.1
OG0003926	XP_625237.3	XP_015435229.1
OG0003950	XP_006562660.1, NP_001011562.1	XP_015435637.1
OG0003951	XP_026296304.1, NP_001011575.1	XP_015440086.1
OG0003952	NP_001011578.1	XP_015439698.1
OG0003953	NP_001035311.1, XP_006567395.1, NP_001011589.1	XP_015436407.1
OG0003954	NP_001011590.1	XP_015433017.1
OG0003955	NP_001011595.1	XP_015433187.1
OG0003956	NP_001011596.1, XP_026299915.1	XP_015432079.1
OG0003957	NP_001011598.1	XP_015436969.1
OG0003958	NP_001011605.1	XP_015433438.1
OG0003959	NP_001011606.1	XP_015439210.1
OG0003961	XP_026300654.1, NP_001011619.1	XP_015438973.1
OG0003962	XP_006558434.1, NP_001011631.1	XP_015429323.1
OG0003963	NP_001011632.1, XP_006568297.1	XP_015437176.1
OG0003964	XP_006565138.1, NP_001011633.1	XP_015438900.1
OG0003965	NP_001011644.1	XP_015430012.1
OG0003966	NP_001011650.1	XP_015437190.1
OG0003967	NP_001011654.1	XP_015437692.1
OG0003968	NP_001012431.1, XP_006563266.1	XP_015435883.1
OG0003969	NP_001012980.1	XP_015431485.1
OG0003970	NP_001013379.1	XP_015429457.1
OG0003971	XP_006566311.1	XP_015437049.1
OG0003972	XP_006561567.2, NP_001014983.1	XP_015439464.1
OG0003973	XP_006567386.1, NP_001035057.1	XP_015436062.1
OG0003974	NP_001035315.1, XP_016771954.1	XP_015434811.1
OG0003975	NP_001035326.1	XP_015432638.1
OG0003976	NP_001035327.1, XP_026299349.1	XP_015428389.1
OG0003977	XP_026296327.1, NP_001035359.1	XP_015440223.1
OG0003978	NP_001035771.1	XP_015428996.1
OG0003979	NP_001035925.1, XP_026300666.1	XP_015436478.1
OG0003980	XP_006566310.1, NP_001071276.1	XP_015437031.1
OG0003981	NP_001071282.1, XP_006557941.1	XP_015440180.1
OG0003982	XP_006564870.1, NP_001071283.1	XP_015439189.1
OG0003983	XP_006557324.1, NP_001071286.1	XP_015431295.1
OG0003984	XP_016768084.1, NP_001071287.1	XP_015429520.1
OG0003985	XP_026298420.1, NP_001071290.1	XP_015431044.1
OG0003986	NP_001071292.1, XP_026295144.1	XP_015435774.1
OG0003987	NP_001071293.1	XP_015433153.1
OG0003988	NP_001073028.1	XP_015438994.1
OG0003989	NP_001091685.2	XP_015428978.1
OG0003990	NP_001091689.1, XP_006571078.1	XP_015430088.1
OG0003991	NP_001091691.1, XP_006562616.1	XP_015435684.1
OG0003992	NP_001091694.1	XP_015436071.1
OG0003993	NP_001106140.1, XP_006568447.1	XP_015434610.1
OG0003994	XP_001120565.2, NP_001107670.1	XP_015435017.1
OG0003995	XP_016767546.1, NP_001116485.2	XP_015439626.1
OG0003996	NP_001124509.1, XP_016771173.1	XP_015437610.1
OG0003997	NP_001128414.1	XP_015436751.1, XP_015436752.1, XP_015436753.1
OG0003998	NP_001128420.1	XP_015437399.1
OG0003999	XP_016767017.2, NP_001128421.1	XP_015430672.1
OG0004000	NP_001139207.1, XP_026295237.1	XP_015435427.1
OG0004001	XP_016771167.1, NP_001152775.1	XP_015433612.1
OG0004002	NP_001153536.1	XP_015434525.1
OG0004003	XP_026295122.1, NP_001155985.1	XP_015437109.1
OG0004004	NP_001157480.1	XP_015429507.1
OG0004005	NP_001159376.1, XP_006558004.1	XP_015429783.1
OG0004006	NP_001159377.1, XP_006561583.1	XP_015436344.1
OG0004007	NP_001161181.1	XP_015429582.1
OG0004008	NP_001161308.1	XP_015440510.1
OG0004009	XP_026301486.1, NP_001162171.1	XP_015428495.1
OG0004010	NP_001165860.1, XP_006569264.1	XP_015430880.1
OG0004011	NP_001165877.1	XP_015436370.1, XP_015436371.1
OG0004012	NP_001166189.1	XP_015437891.1
OG0004013	XP_006570759.1, NP_001171492.1, NP_001171493.1	XP_015435437.1
OG0004014	XP_026295502.1, NP_001171518.1	XP_015429240.1
OG0004015	NP_001171519.1	XP_015436557.1, XP_015436558.1
OG0004016	NP_001172008.1	XP_015432734.1
OG0004017	NP_001172034.1, XP_006557863.1	XP_015432337.1
OG0004018	NP_001177850.1, XP_006570570.1	XP_015440371.1
OG0004019	NP_001191680.1	XP_015434465.1
OG0004020	XP_006571297.1, NP_001192152.1	XP_015433073.1
OG0004021	XP_026295678.1, NP_001193898.1	XP_015431634.1
OG0004022	XP_026296661.1, NP_001201833.1	XP_015435196.1
OG0004024	NP_001229360.1	XP_015429401.1
OG0004025	NP_001229361.1, XP_026296317.1	XP_015440169.1
OG0004027	NP_001229442.1	XP_015434970.1
OG0004028	NP_001229443.1	XP_015429102.1
OG0004029	XP_026301036.1, NP_001229446.1	XP_015434931.1
OG0004030	XP_026299344.1, NP_001229452.1	XP_015428755.1
OG0004031	NP_001229484.1, XP_026297751.1	XP_015435278.1
OG0004032	NP_001229507.1, XP_026296319.1	XP_015432998.1
OG0004033	XP_026296303.1, NP_001233180.1	XP_015432664.1
OG0004034	NP_001239359.1	XP_015437074.1
OG0004035	XP_006565648.2, NP_001242961.1	XP_015439267.1
OG0004036	NP_001242967.1	XP_015435270.1
OG0004037	XP_006561571.2	XP_015436376.1
OG0004038	NP_001257742.1	XP_015429451.1
OG0004039	NP_001257760.1	XP_015439405.1
OG0004040	XP_026297365.1, NP_001265260.1	XP_015434547.1
OG0004041	XP_026297361.1, NP_001265262.1	XP_015434406.1
OG0004042	NP_001265609.1, XP_006566320.1	XP_015440432.1
OG0004043	NP_001314876.1	XP_015435416.1
OG0004044	NP_001314884.1, XP_026301054.1	XP_015439352.1
OG0004045	NP_001314888.1, XP_006558586.2	XP_015438026.1
OG0004046	XP_016773377.1, NP_001314891.1	XP_015430448.1
OG0004047	XP_016770050.2, NP_001314893.1	XP_015438414.1
OG0004048	NP_001314894.1	XP_015436952.1
OG0004049	NP_008089.1	XP_015438073.1
OG0004050	XP_001119826.1	XP_015438655.1
OG0004051	XP_001119829.1	XP_015432498.1
OG0004052	XP_001119836.2	XP_015439819.1
OG0004053	XP_001119916.1	XP_015430321.1
OG0004054	XP_001119928.2	XP_015429299.1
OG0004055	XP_001119944.1	XP_015434148.1
OG0004056	XP_001119960.1	XP_015430337.1
OG0004057	XP_001119963.2	XP_015437614.1, XP_015428551.1
OG0004058	XP_001119973.4	XP_015432236.1
OG0004059	XP_006560145.1, XP_001119975.2	XP_015432365.1
OG0004060	XP_001119998.2	XP_015438536.1
OG0004061	XP_001120011.1	XP_015440421.1
OG0004062	XP_001120029.4	XP_015435401.1
OG0004063	XP_001120067.1	XP_015432381.1
OG0004064	XP_001120134.2	XP_015438328.1
OG0004065	XP_001120140.3	XP_015439951.1
OG0004066	XP_001120141.1	XP_015438598.1
OG0004067	XP_001120174.2	XP_015435972.1
OG0004068	XP_001120178.3	XP_015433757.1
OG0004069	XP_016772373.1, XP_001120192.2	XP_015439414.1
OG0004070	XP_026301492.1, XP_001120208.2	XP_015433016.1
OG0004071	XP_001120222.1	XP_015440147.1
OG0004072	XP_001120274.3	XP_015438612.1
OG0004074	XP_001120329.1	XP_015436320.1
OG0004075	XP_001120347.3	XP_015435461.1
OG0004076	XP_001120386.3	XP_015439783.1
OG0004077	XP_001120419.1	XP_015440266.1
OG0004078	XP_001120447.3	XP_015434331.1
OG0004080	XP_001120484.2	XP_015432880.1
OG0004081	XP_001120493.3	XP_015428780.1
OG0004082	XP_001120572.3	XP_015432940.1
OG0004083	XP_001120589.2	XP_015430645.1
OG0004084	XP_001120599.1	XP_015429281.1
OG0004085	XP_001120622.3	XP_015439074.1
OG0004086	XP_001120658.2	XP_015432996.1
OG0004087	XP_006562965.1, XP_001120664.2	XP_015438388.1
OG0004088	XP_001120689.2	XP_015437933.1
OG0004089	XP_001120746.2	XP_015437314.1
OG0004090	XP_001120814.2	XP_015437611.1
OG0004091	XP_001120832.2	XP_015430567.1
OG0004092	XP_001120885.2	XP_015435779.1
OG0004093	XP_001120899.3	XP_015436579.1
OG0004094	XP_001120914.2	XP_015434399.1
OG0004095	XP_026300268.1, XP_001120974.1	XP_015434667.1
OG0004096	XP_001120991.3	XP_015435259.1
OG0004097	XP_001121010.1	XP_015436947.1
OG0004098	XP_001121014.2	XP_015438532.1
OG0004099	XP_001121053.2	XP_015429933.1
OG0004100	XP_001121066.2	XP_015433423.1, XP_015433422.1
OG0004101	XP_001121086.2	XP_015440138.1
OG0004102	XP_001121092.2	XP_015432052.1
OG0004103	XP_001121155.2	XP_015435519.1, XP_015435520.1
OG0004104	XP_001121159.1	XP_015439171.1
OG0004105	XP_001121177.2	XP_015438723.1
OG0004106	XP_001121186.3	XP_015431475.1
OG0004107	XP_001121188.2	XP_015437183.1
OG0004108	XP_001121251.1	XP_015433979.1
OG0004109	XP_001121254.2	XP_015431527.1
OG0004110	XP_001121331.2	XP_015438228.1
OG0004111	XP_001121333.2	XP_015435649.1
OG0004112	XP_001121339.1	XP_015439181.1
OG0004113	XP_001121355.3	XP_015433477.1
OG0004114	XP_001121410.2	XP_015432438.1
OG0004115	XP_001121426.2	XP_015436707.1
OG0004116	XP_001121483.3	XP_015439395.1
OG0004117	XP_001121513.2	XP_015432019.1
OG0004118	XP_001121520.2	XP_015430660.1
OG0004119	XP_001121541.1	XP_015433208.1
OG0004120	XP_001121556.1	XP_015429821.1
OG0004121	XP_001121600.2	XP_015431621.1
OG0004122	XP_001121637.3, XP_016767860.1	XP_015435735.1
OG0004123	XP_001121654.1	XP_015432252.1
OG0004124	XP_001121657.1	XP_015432482.1
OG0004125	XP_001121680.2	XP_015428890.1
OG0004126	XP_001121690.3	XP_015440474.1
OG0004127	XP_001121718.2	XP_015432163.1
OG0004128	XP_001121746.2	XP_015434377.1
OG0004129	XP_001121762.2	XP_015437535.1
OG0004130	XP_001121804.1	XP_015429400.1
OG0004131	XP_001121817.2	XP_015432615.1
OG0004132	XP_001121818.1	XP_015434329.1
OG0004133	XP_001121891.1	XP_015434332.1
OG0004134	XP_001121910.1	XP_015435549.1
OG0004135	XP_001121920.1	XP_015432113.1
OG0004136	XP_001121922.1	XP_015436730.1
OG0004137	XP_001121924.1	XP_015438215.1
OG0004138	XP_001121942.2	XP_015433193.1
OG0004139	XP_001121986.2	XP_015431863.1
OG0004140	XP_001121988.2	XP_015434333.1
OG0004141	XP_001122051.1	XP_015428560.1
OG0004142	XP_001122061.3	XP_015430944.1
OG0004143	XP_001122083.2	XP_015433557.1
OG0004144	XP_001122084.3	XP_015430908.1
OG0004145	XP_001122097.3	XP_015430395.1
OG0004146	XP_001122102.2	XP_015433520.1
OG0004147	XP_001122154.3	XP_015434808.1
OG0004148	XP_001122155.2	XP_015434732.1
OG0004149	XP_001122164.3	XP_015438371.1
OG0004150	XP_001122174.1	XP_015439934.1
OG0004151	XP_001122192.2	XP_015430253.1
OG0004152	XP_001122212.1	XP_015440124.1
OG0004153	XP_001122213.5	XP_015435719.1
OG0004154	XP_001122241.2	XP_015439390.1
OG0004155	XP_001122247.5	XP_015439521.1
OG0004156	XP_006566673.1, XP_001122291.2, XP_026299511.1	XP_015438853.1
OG0004157	XP_001122336.3	XP_015438395.1
OG0004158	XP_001122344.1	XP_015436222.1
OG0004159	XP_001122360.3	XP_015430989.1
OG0004160	XP_001122389.1	XP_015438562.1
OG0004161	XP_001122391.1	XP_015432325.1
OG0004162	XP_001122415.1, XP_026299393.1	XP_015438275.1
OG0004163	XP_001122450.1	XP_015436672.1
OG0004164	XP_001122454.1	XP_015431739.1
OG0004165	XP_001122504.1	XP_015432147.1
OG0004166	XP_001122512.3	XP_015439170.1
OG0004167	XP_001122533.3	XP_015429462.1
