Orthogroup	Bombus_terrestris	Drosophila_melanogaster
OG0002836	XP_012167826.1, XP_012167823.1	NP_001262221.1
OG0002838	XP_003400219.1	NP_725097.2, NP_725096.2, NP_788328.1
OG0002845	XP_012175904.1, XP_012175905.1	NP_651758.1
OG0002856	XP_012167800.1, XP_012167799.1	NP_609534.1
OG0002857	XP_012164947.1	NP_729866.1
OG0002858	XP_003398978.1	NP_733339.1
OG0002859	XP_003396850.1	NP_611940.1
OG0002860	XP_003398250.1, XP_012167929.1	NP_001285505.1
OG0002861	XP_003400836.1, XP_020722043.1	NP_572337.1
OG0002862	XP_012164312.1	NP_001162841.1
OG0002863	XP_003399493.1	NP_610315.1
OG0002864	XP_003398051.1	NP_001246977.1, NP_001285916.1, NP_001097143.1, NP_001262612.1
OG0002865	XP_003398170.1	NP_001259971.1
OG0002866	XP_012163129.1	NP_730035.1
OG0002867	XP_012173781.1	NP_001287356.1
OG0002868	XP_012169627.1	NP_511073.1
OG0002869	XP_003399905.1	NP_727265.1
OG0002870	XP_003399040.1	NP_001246192.1, NP_001245531.1
OG0002871	XP_003396732.1	NP_730051.1
OG0002872	XP_003398336.1	NP_001286940.1
OG0002873	XP_012164416.1, XP_012164423.1, XP_003393123.1	NP_001245591.1
OG0002874	XP_003400216.1	NP_536793.1
OG0002875	XP_003392978.1	NP_610797.1
OG0002876	XP_012163777.2	NP_524826.1
OG0002877	XP_012170892.1, XP_020721929.1, XP_003400155.1, XP_020721928.1, XP_012170894.1	NP_001036701.1
OG0002878	XP_003400743.1	NP_001188753.1, NP_001284863.1
OG0002879	XP_003398455.1	NP_572882.1
OG0002880	XP_003394166.1	NP_001188585.1, NP_731510.1
OG0002881	XP_012172874.1	NP_649857.1
OG0002882	XP_020720135.1, XP_012167559.1, XP_012167560.1	NP_650916.1
OG0002883	XP_020723440.1	NP_001285570.1
OG0002884	XP_003393053.1	NP_650406.2, NP_001247111.1
OG0002885	XP_003399831.1	NP_649585.1
OG0002886	XP_003394762.1	NP_524355.2
OG0002887	XP_012175874.1, XP_012175873.1, XP_003394114.1	NP_609376.1
OG0002888	XP_020722319.1	NP_611383.1
OG0002889	XP_012175885.1	NP_650794.1
OG0002890	XP_012174268.1	NP_001285353.1
OG0002891	XP_012174992.2	NP_649333.1
OG0002892	XP_003394412.1	NP_001262365.1
OG0002894	XP_012171674.1	NP_001033891.1
OG0002895	XP_003401540.1	NP_001303427.1
OG0002896	XP_012175914.1	NP_477315.1
OG0002897	XP_003398404.1	NP_477228.1
OG0002898	XP_003395160.1	NP_650809.1, NP_001189044.1
OG0002899	XP_003394732.1	NP_511117.1
OG0002900	XP_012172408.1	NP_001260418.1, NP_001036775.1
OG0002901	XP_012174570.1	NP_524023.1
OG0002902	XP_003399017.1	NP_608464.1
OG0002903	XP_012167894.1, XP_020720848.1, XP_012167896.1	NP_001247097.1
OG0002904	XP_012173527.1	NP_648289.2
OG0002905	XP_012172027.1	NP_001287602.1
OG0002906	XP_020721859.1	NP_001285775.1, NP_723450.1
OG0002907	XP_003392977.1	NP_001097616.1
OG0002908	XP_012167665.1	NP_724495.2
OG0002909	XP_020718518.1	NP_648094.1
OG0002910	XP_003394689.1	NP_001188892.1
OG0002911	XP_003400534.1	NP_611553.1
OG0002912	XP_012168201.1, XP_012168200.1, XP_003398475.1	NP_001260872.1
OG0002913	XP_012166839.1, XP_003397413.1	NP_650441.1
OG0002914	XP_003394136.1	NP_608905.1
OG0002915	XP_003394232.1	NP_001246149.1
OG0002916	XP_012172268.1, XP_012172267.1, XP_020722408.1	NP_651596.1
OG0002917	XP_012164462.1, XP_012164461.1, XP_012164460.1, XP_012164459.1	NP_610908.1
OG0002918	XP_003397444.1, XP_012166929.1, XP_012166928.1	NP_609066.1
OG0002919	XP_003398361.1	NP_524305.2
OG0002920	XP_003397407.1	NP_001247362.1
OG0002921	XP_012172998.1	NP_729916.1
OG0002922	XP_012172790.1, XP_012172791.1	NP_001261276.1
OG0002923	XP_012164789.1	NP_608569.1
OG0002924	XP_012169344.1	NP_611545.1
OG0002926	XP_012174462.1	NP_608682.3
OG0002927	XP_012174258.1	NP_651185.1
OG0002928	XP_003397854.1	NP_001287524.1
OG0002929	XP_003396587.1, XP_012165601.1, XP_012165600.1	NP_609060.1
OG0002930	XP_003394588.1	NP_001036410.1
OG0002931	XP_012175624.1	NP_651439.2
OG0002932	XP_012174893.1, XP_003393812.1	NP_001261727.1
OG0002933	XP_020718761.1, XP_012164465.1, XP_012164464.1	NP_001260557.1
OG0002934	XP_012164412.1	NP_001036428.1
OG0002935	XP_003402417.1	NP_609735.1
OG0002936	XP_003401063.1	NP_611177.1
OG0002937	XP_020721887.1	NP_001097235.2
OG0002938	XP_012164574.1	NP_536731.1, NP_001260268.1
OG0002939	XP_012169231.1	NP_608500.1
OG0002940	XP_003402302.2	NP_001245654.1
OG0002941	XP_003396165.1	NP_609536.1
OG0002942	XP_020723517.1	NP_001245848.1
OG0002943	XP_020720490.1	NP_649847.1
OG0002944	XP_003398275.1	NP_001262112.1
OG0002945	XP_012164184.1	NP_001189048.2
OG0002946	XP_003396063.1	NP_001261181.1
OG0002947	XP_003396946.1	NP_001287009.1
OG0002950	XP_003401468.1	NP_572246.1
OG0002951	XP_003400807.1	NP_524379.2
OG0002952	XP_003401504.1, XP_012172757.1	NP_525111.1
OG0002953	XP_020721007.1	NP_572574.2
OG0002954	XP_012167363.1	NP_001189169.1
OG0002955	XP_012174967.1	NP_001285718.1, NP_788074.1
OG0002956	XP_003396661.1	NP_001369087.1
OG0002957	XP_012171091.1	NP_001137707.1
OG0002958	XP_012169677.1	NP_001285381.1
OG0002959	XP_003396016.1	NP_649197.1
OG0002960	XP_003393694.2	NP_611084.2
OG0002961	XP_003396881.1	NP_647966.1, NP_647927.3, NP_728449.1
OG0002962	XP_003394506.1	NP_001163614.1
OG0002963	XP_003396049.1	NP_573221.2
OG0002965	XP_003395840.1, XP_012164371.1	NP_001163722.1
OG0002966	XP_012171935.1	NP_649588.1
OG0002967	XP_003401693.1	NP_001285661.1
OG0002968	XP_003397961.1, XP_012167678.1	NP_001036426.1
OG0002969	XP_003400197.1	NP_611207.1
OG0002970	XP_003401395.3	NP_649973.1
OG0002971	XP_012174977.1	NP_001262332.1
OG0002972	XP_003398787.1	NP_001262380.1
OG0002973	XP_003396964.1	NP_647730.1, NP_001189035.1
OG0002974	XP_003401708.1	NP_651395.1
OG0002975	XP_003398586.1	NP_610942.2
OG0002976	XP_012169457.1	NP_611884.1
OG0002977	XP_020719837.1, XP_020719834.1, XP_003397147.1, XP_020719835.1, XP_020719836.1	NP_612084.1
OG0002978	XP_003401713.1	NP_001262937.1
OG0002979	XP_003396579.1	NP_524715.2, NP_001286066.1
OG0002981	XP_020718831.1	NP_001137679.1
OG0002982	XP_003393227.2	NP_609611.1
OG0002983	XP_012176693.1	NP_001260883.1
OG0002984	XP_003397467.1	NP_001261683.1
OG0002985	XP_020723318.1	NP_001263031.1
OG0002986	XP_003394370.1	NP_001245503.1
OG0002987	XP_020723409.1, XP_003402491.1, XP_012174097.1, XP_012174095.1	NP_609537.1
OG0002988	XP_003398844.2	NP_611846.1
OG0002989	XP_003393721.2	NP_001188790.1
OG0002990	XP_020722122.1	NP_001034055.1
OG0002991	XP_012170308.1, XP_003399755.1, XP_020721630.1	NP_650434.1
OG0002992	XP_020723005.1, XP_020723001.1	NP_001246127.1
OG0002993	XP_012166118.1, XP_012166113.1	NP_609834.2
OG0002994	XP_003395130.1, XP_012163575.1	NP_648429.2
OG0002995	XP_003402520.1	NP_001246797.1
OG0002996	XP_020723006.1, XP_012173239.1	NP_477365.1
OG0002997	XP_003399460.2	NP_725374.1
OG0002998	XP_003398405.1	NP_610361.1
OG0002999	XP_012168095.1	NP_001033870.1
OG0003000	XP_012166762.1	NP_525084.1
OG0003001	XP_003399558.1	NP_651807.1
OG0003002	XP_003397872.1	NP_001260844.1
OG0003003	XP_003393778.1	NP_730291.1
OG0003004	XP_012175823.1	NP_608635.1
OG0003005	XP_020718888.1	NP_001262722.1
OG0003006	XP_003400388.1	NP_610712.1
OG0003007	XP_003396554.1	NP_729732.1
OG0003008	XP_012163822.1	NP_477159.1, NP_651656.2
OG0003009	XP_020723780.1	NP_524836.2
OG0003010	XP_003401698.1	NP_001097406.1
OG0003011	XP_012164281.1	NP_788632.1
OG0003012	XP_020722313.1, XP_012174843.1	NP_524427.1
OG0003013	XP_003396909.1	NP_525001.2
OG0003014	XP_012168851.1	NP_572779.2
OG0003015	XP_012163887.1, XP_012163884.1, XP_012163886.1, XP_012163885.1	NP_001262884.1
OG0003016	XP_012163072.1	NP_524901.2
OG0003017	XP_012169750.1	NP_649792.3
OG0003018	XP_003402816.1, XP_012174653.1	NP_609205.1
OG0003019	XP_003403033.1	NP_001262561.1
OG0003020	XP_003394620.1	NP_001163156.1
OG0003021	XP_012164268.1	NP_001287506.1
OG0003023	XP_020722032.1, XP_012171377.1, XP_012171376.1	NP_610045.1
OG0003024	XP_003400924.1	NP_648065.1
OG0003025	XP_003394230.2	NP_001246151.1
OG0003026	XP_003398461.1	NP_001014665.1
OG0003027	XP_012173107.1	NP_001261819.1
OG0003028	XP_012163944.1	NP_001188873.1
OG0003029	XP_012176628.1	NP_001287369.1
OG0003030	XP_012172870.1	NP_001189313.1
OG0003031	XP_003400893.1	NP_001036355.1
OG0003032	XP_003401298.1	NP_651002.3, NP_648632.1
OG0003033	XP_003396389.1	NP_001189131.1
OG0003034	XP_003392963.1	NP_648990.1
OG0003036	XP_003400722.1, XP_012171638.1	NP_001246993.1
OG0003037	XP_012176397.1	NP_730940.1
OG0003038	XP_003400089.1	NP_723378.2
OG0003039	XP_003399535.1	NP_523429.1
OG0003040	XP_012163391.2	NP_001262834.1
OG0003041	XP_012164476.1	NP_523943.1
OG0003042	XP_003402127.1	NP_001260960.1
OG0003043	XP_012175004.1	NP_001285048.1
OG0003044	XP_003393287.1	NP_001287396.1
OG0003045	XP_012171052.1	NP_001260583.1, NP_001260584.1, NP_609973.1
OG0003046	XP_012165224.1, XP_012165225.1, XP_012165222.1, XP_012165223.1, XP_012165221.1	NP_649009.1
OG0003047	XP_012165799.1	NP_001287032.1, NP_788550.1
OG0003048	XP_003402894.2	NP_001285297.1
OG0003049	XP_020719210.1, XP_012165919.1	NP_611070.1
OG0003050	XP_012166917.1	NP_651766.1
OG0003051	XP_012163063.1	NP_726208.1
OG0003052	XP_003401572.1	NP_788768.1
OG0003053	XP_003402687.1	NP_572448.1
OG0003054	XP_012168855.1	NP_001261753.1
OG0003055	XP_003394352.1	NP_001261065.1
OG0003056	XP_003395990.1	NP_572495.1
OG0003057	XP_003394585.1	NP_609616.1
OG0003058	XP_003401054.1	NP_608497.1
OG0003059	XP_020724234.1, XP_003395691.1	NP_001356940.1
OG0003060	XP_003400396.1	NP_524470.4
OG0003061	XP_003394115.1	NP_524354.1
OG0003062	XP_003396791.1	NP_569952.2
OG0003063	XP_003394859.1	NP_648288.2
OG0003064	XP_012169523.1, XP_003399319.1	NP_001285024.1
OG0003065	XP_003394197.1	NP_001015122.1
OG0003066	XP_012165634.1	NP_648149.1
OG0003067	XP_012169408.1, XP_020721086.1, XP_012169404.1, XP_003399138.1	NP_001247070.1
OG0003068	XP_012172373.1	NP_523828.1
OG0003069	XP_003398923.1	NP_648416.1
OG0003070	XP_003395416.3	NP_649337.2
OG0003071	XP_012167070.1, XP_012167069.1, XP_012167071.1, XP_012167072.1	NP_001260085.1
OG0003072	XP_003401079.1	NP_001027575.1
OG0003073	XP_003401439.1	NP_001285697.1
OG0003074	XP_012165403.1	NP_001287471.1
OG0003075	XP_003393104.1	NP_648224.1
OG0003076	XP_020718402.1	NP_001261872.1
OG0003077	XP_012170159.1	NP_001245765.1
OG0003078	XP_012170144.1	NP_611297.3
OG0003079	XP_003400612.1	NP_724479.1
OG0003080	XP_003402552.1	NP_001284978.1
OG0003081	XP_012176317.1	NP_611528.1
OG0003082	XP_020724191.1, XP_012176184.1	NP_001259405.1
OG0003084	XP_003402692.1, XP_020723497.1	NP_001284890.1
OG0003085	XP_020723393.1	NP_001285551.1
OG0003086	XP_020722251.1	NP_611412.1
OG0003087	XP_003403296.2	NP_001137621.1
OG0003088	XP_003395481.3	NP_651621.2
OG0003089	XP_012171591.1	NP_651035.1
OG0003090	XP_003400918.1	NP_610829.1
OG0003091	XP_012174721.1	NP_001287413.1
OG0003092	XP_003397482.2	NP_723996.1
OG0003093	XP_003394493.2, XP_012176320.1	NP_524648.3
OG0003094	XP_003397937.1	NP_001259125.1
OG0003095	XP_020718978.1	NP_651031.1
OG0003097	XP_012174974.1	NP_610910.1
OG0003098	XP_003395699.1	NP_001286131.1
OG0003099	XP_012174189.1	NP_001096993.1
OG0003100	XP_020724016.1	NP_001286981.1, NP_001262327.1
OG0003101	XP_012166396.1	NP_001262478.1
OG0003102	XP_012169981.1	NP_001262135.1
OG0003103	XP_020719339.1	NP_001189017.1
OG0003105	XP_012172223.1, XP_020722679.1, XP_003401100.1	NP_650996.1
OG0003107	XP_003399203.1	NP_648757.1
OG0003108	XP_020722551.1	NP_609688.3, NP_609690.1
OG0003109	XP_020719157.1	NP_572699.2
OG0003110	XP_003396358.1, XP_020719271.1, XP_012165342.1, XP_012165341.1	NP_001259226.1
OG0003111	XP_012165661.1, XP_012165660.1	NP_573118.2
OG0003112	XP_012175062.1	NP_001260797.1
OG0003113	XP_003396750.1	NP_001034051.1
OG0003114	XP_012166789.1	NP_001137645.1
OG0003115	XP_012163341.1	NP_523791.2
OG0003116	XP_003398381.1, XP_012168101.1, XP_012168100.1, XP_012168099.1	NP_651944.1
OG0003118	XP_003399123.1	NP_648722.2
OG0003119	XP_012166972.1, XP_012166974.1, XP_012166973.1, XP_012166975.1	NP_610400.1
OG0003120	XP_003402633.1	NP_730500.1
OG0003121	XP_012172171.1, XP_012172170.1	NP_524373.1
OG0003122	XP_012174572.1	NP_001097179.1
OG0003123	XP_003399629.1	NP_511115.2, NP_608948.2, NP_609656.1, NP_524925.1
OG0003124	XP_003394189.1, XP_012175968.1, XP_020724189.1	NP_609900.1
OG0003125	XP_012175372.1	NP_477118.1
OG0003126	XP_012166055.1	NP_001259859.1, NP_608583.5
OG0003127	XP_003395513.1	NP_650433.1
OG0003128	XP_012168807.1, XP_012168921.1, XP_003392885.1	NP_524780.1
OG0003129	XP_020719319.1, XP_020719320.1	NP_001261690.1
OG0003130	XP_003393558.1	NP_001285955.1, NP_611635.1, NP_611634.1, NP_611633.2
OG0003131	XP_003395711.1	NP_001260127.1
OG0003132	XP_020723785.1	NP_001036254.1
OG0003133	XP_003399751.2	NP_648431.3
OG0003134	XP_020724054.1	NP_001287060.1
OG0003136	XP_012171268.1	NP_001259537.2
OG0003137	XP_003398753.1	NP_001261632.1, NP_572781.1
OG0003138	XP_003402595.2, XP_012175849.2	NP_001245614.1
OG0003139	XP_012175769.1	NP_572438.1
OG0003140	XP_003393316.1	NP_001287529.1
OG0003141	XP_003393931.1	NP_722663.1
OG0003142	XP_012163945.1	NP_788363.1
OG0003143	XP_012166532.1	NP_001137907.1
OG0003144	XP_020723911.1	NP_001097725.2
OG0003145	XP_003394305.1	NP_733196.1
OG0003146	XP_003395087.1	NP_523849.3
OG0003147	XP_003397289.2	NP_001036451.1
OG0003148	XP_012174993.1	NP_572788.2, NP_001036767.1, NP_573131.1
OG0003149	XP_020720694.1	NP_611503.1
OG0003150	XP_003395583.1	NP_648806.1
OG0003151	XP_020718638.1	NP_611271.3
OG0003152	XP_012165388.1	NP_001334685.1
OG0003153	XP_003399779.1	NP_511124.1
OG0003154	XP_012171817.1	NP_727440.3, NP_001285376.1
OG0003155	XP_003395610.1	NP_001262413.1
OG0003156	XP_020720106.1	NP_001287375.1, NP_650613.2
OG0003157	XP_003403175.1	NP_001097754.1
OG0003158	XP_012173863.1	NP_610795.1
OG0003159	XP_003393062.1	NP_001356948.1
OG0003160	XP_012171757.1, XP_020722280.1	NP_572341.1
OG0003162	XP_020724227.1	NP_608376.1, NP_730740.1
OG0003163	XP_003393197.1	NP_647746.1
OG0003164	XP_003395098.1, XP_012163531.1	NP_001262575.1
OG0003165	XP_003394554.3	NP_001033971.2
OG0003166	XP_020718393.1, XP_012176761.1, XP_003394848.1	NP_569961.2
OG0003167	XP_003394942.1	NP_651630.3, NP_608773.2
OG0003168	XP_003398261.1	NP_001247197.1
OG0003169	XP_003394029.1	NP_650198.1
OG0003170	XP_012176639.1	NP_001162994.1, NP_572537.1
OG0003171	XP_012165782.1, XP_020719235.1	NP_651912.3
OG0003172	XP_003402703.1	NP_996433.1
OG0003173	XP_003401927.1, XP_003402101.1, XP_012173400.1	NP_001188899.1
OG0003174	XP_012171061.1, XP_012171050.1	NP_609632.1
OG0003175	XP_003402300.1	NP_996246.1
OG0003176	XP_020721991.1	NP_001036269.2
OG0003177	XP_003393551.1, XP_012170409.1	NP_573032.1
OG0003178	XP_003398916.1, XP_020721317.1	NP_001261814.1
OG0003179	XP_012165532.1	NP_477415.1
OG0003180	XP_012165456.1, XP_012165455.1	NP_608470.1
OG0003181	XP_012164782.1	NP_649789.1
OG0003182	XP_003393150.1	NP_001261125.2
OG0003183	XP_012170448.1	NP_001262663.1
OG0003184	XP_003400667.1	NP_001262343.1
OG0003185	XP_003397346.1	NP_651854.2, NP_651855.1
OG0003187	XP_003397890.1	NP_001285957.1
OG0003188	XP_003398479.2	NP_001189143.1
OG0003189	XP_020721986.1, XP_020721987.1	NP_001262113.1
OG0003190	XP_020724135.1	NP_729905.2
OG0003191	XP_012174582.1	NP_729954.2
OG0003192	XP_012172198.1, XP_012172190.1, XP_012172177.1, XP_020724038.1, XP_012172215.1	NP_523728.1
OG0003193	XP_012168066.1	NP_001189037.1
OG0003194	XP_012167923.1	NP_572176.2
OG0003195	XP_003401207.1	NP_610423.3, NP_001303490.1
OG0003196	XP_012171928.1	NP_001286645.1
OG0003197	XP_012168859.1	NP_001261066.1
OG0003198	XP_012175802.1	NP_611071.1
OG0003199	XP_012163427.1	NP_001033991.1, NP_729124.1, NP_001261458.1
OG0003200	XP_020721835.1	NP_611720.3
OG0003200	XP_020721823.1	NP_726252.1
OG0003201	XP_020719548.1	NP_610097.2
OG0003202	XP_020722436.1	NP_001259230.1
OG0003203	XP_020718870.1	NP_610599.3
OG0003206	XP_012172321.1	NP_001262774.1
OG0003207	XP_020720394.1	NP_001262924.1
OG0003209	XP_012173683.1	NP_001286264.1, NP_611197.1
OG0003210	XP_003393282.1, XP_012166843.1	NP_652462.3
OG0003211	XP_012167383.1	NP_001036685.2
OG0003212	XP_012175311.1	NP_001245505.1, NP_001284835.1
OG0003213	XP_012171117.1	NP_612000.3, NP_001097472.3
OG0003214	XP_012169509.1	NP_001036316.1
OG0003215	XP_003399045.1	NP_477336.1
OG0003217	XP_012164565.1	NP_726113.1, NP_647846.2
OG0003218	XP_003401718.1	NP_524111.3
OG0003219	XP_003400241.1	NP_611952.1, NP_651869.1
OG0003220	XP_003399377.1, XP_012169758.1	NP_001189021.1
OG0003221	XP_012166942.1, XP_003397454.1	NP_001027416.2
OG0003222	XP_012173316.1, XP_003403389.2	NP_001137809.1
OG0003223	XP_003400270.1	NP_649230.1
OG0003225	XP_003395707.1	NP_610305.1
OG0003226	XP_020722064.1	NP_650499.1
OG0003227	XP_020722194.1	NP_001189121.1
OG0003228	XP_012168474.1	NP_001287267.1
OG0003229	XP_003399948.1	NP_001260538.1
OG0003230	XP_012168183.1	NP_001027087.1
OG0003231	XP_003400916.1	NP_001027082.1
OG0003232	XP_012169730.1	NP_609806.1
OG0003234	XP_012170688.1, XP_003400076.2	NP_001247011.1
OG0003235	XP_020720842.1	NP_001259996.1
OG0003236	XP_003393190.1	NP_609406.2
OG0003237	XP_012163641.1	NP_001368945.1
OG0003238	XP_020723630.1	NP_610049.1
OG0003239	XP_020722240.1, XP_012171331.1	NP_729143.2
OG0003240	XP_020723041.1, XP_012173345.1, XP_012173338.1, XP_012173342.1, XP_020723042.1	NP_523985.1
OG0003241	XP_012172510.1	NP_001245436.1
OG0003242	XP_003399683.1	NP_001246866.1
OG0003243	XP_012167873.1	NP_723827.1
OG0003246	XP_020721711.1	NP_608901.1, NP_001033874.2
OG0003247	XP_003400037.3	NP_609813.1
OG0003248	XP_020720004.1, XP_020720003.1	NP_001369039.1
OG0003250	XP_003401476.1	NP_001247041.1, NP_001259169.1
OG0003252	XP_003399281.1, XP_020721078.1, XP_020721079.1, XP_020721080.1, XP_012169585.1, XP_012169587.1, XP_020721081.1	NP_001259076.1
OG0003257	XP_012176591.1	NP_651928.1
OG0003259	XP_003401923.1	NP_608581.2
OG0003262	XP_003396975.1	NP_001303312.1
OG0003263	XP_003394796.1	NP_001285724.1
OG0003264	XP_003400614.1	NP_648836.2, NP_001259081.1
OG0003265	XP_003396232.1	NP_001259363.1
OG0003266	XP_003402411.1	NP_523794.1
OG0003267	XP_003395308.1	NP_001027396.1
OG0003268	XP_003395962.1	NP_001097664.2
OG0003269	XP_003393065.1	NP_477501.1
OG0003270	XP_003398424.1	NP_650427.1, NP_524954.2
OG0003271	XP_012166255.1	NP_001284779.1
OG0003272	XP_003394721.1	NP_610616.1, NP_001162738.1
OG0003273	XP_003399020.1	NP_649579.2
OG0003274	XP_003395627.1	NP_001189301.1, NP_001303547.1
OG0003275	XP_012163102.1	NP_524396.1
OG0003276	XP_020724051.1	NP_727383.1
OG0003277	XP_012174522.1	NP_573209.1
OG0003279	XP_003396570.1	NP_001261720.1
OG0003280	XP_003395540.2	NP_649768.2
OG0003281	XP_003400289.1, XP_020721778.1	NP_725401.2
OG0003282	XP_012169609.1	NP_609040.1
OG0003284	XP_012174283.1, XP_003402591.1	NP_001163336.1
OG0003285	XP_012170222.1	NP_001261501.1
OG0003286	XP_003399167.1	NP_610805.1
OG0003287	XP_003394981.1	NP_609445.1, NP_001261393.1
OG0003288	XP_003395604.1	NP_001097729.1
OG0003289	XP_003403165.1	NP_001260199.1
OG0003290	XP_012164907.1	NP_523526.1, NP_001284881.1, NP_001284882.1, NP_648717.1
OG0003291	XP_012171025.1	NP_726501.1
OG0003292	XP_012165932.1	NP_523478.1
OG0003293	XP_012164077.1	NP_650896.2
OG0003294	XP_003394464.2, XP_012176399.1	NP_649840.1
OG0003295	XP_012165323.1	NP_572408.2, NP_001246525.1
OG0003296	XP_003398169.1	NP_001285745.1
OG0003297	XP_012165288.1, XP_012165287.1	NP_001137813.1
OG0003298	XP_020719091.1, XP_020719092.1, XP_012164920.1, XP_012164919.1, XP_003396079.1	NP_001260279.1
OG0003299	XP_012163246.1	NP_651752.1
OG0003300	XP_003402401.1	NP_609178.1
OG0003301	XP_003403026.3	NP_609038.1
OG0003302	XP_020722174.1, XP_003400746.1, XP_012171666.1	NP_569965.1
OG0003303	XP_012170608.1	NP_001259194.1
OG0003304	XP_012169521.1	NP_477204.1
OG0003305	XP_003401716.1	NP_001262820.1
OG0003306	XP_012175654.1	NP_649096.1
OG0003307	XP_003398200.1	NP_001246770.1
OG0003308	XP_003402121.1	NP_001259857.1
OG0003309	XP_012167060.1	NP_609361.1
OG0003311	XP_003402825.1	NP_001163707.1
OG0003312	XP_003396836.1	NP_723847.1
OG0003313	XP_003400267.1, XP_003400266.1	NP_608890.1
OG0003314	XP_003399004.1	NP_001097432.1
OG0003315	XP_020721944.1, XP_012171026.1, XP_003400257.1	NP_001286864.1
OG0003318	XP_012165037.1	NP_651363.1
OG0003319	XP_003402973.1	NP_001259991.1
OG0003320	XP_012168219.1, XP_003398487.1	NP_001261719.1
OG0003321	XP_003394413.1	NP_647661.1
OG0003322	XP_012169824.1	NP_001163303.1
OG0003323	XP_003398367.2	NP_649996.1
OG0003324	XP_003394516.1	NP_001163253.1
OG0003325	XP_003393834.1	NP_650947.1, NP_650590.1
OG0003326	XP_003393945.1	NP_001097318.1
OG0003327	XP_003394613.1	NP_001245509.1
OG0003328	XP_012170302.2	NP_001303425.1
OG0003329	XP_003402522.2	NP_649906.1
OG0003330	XP_020722379.1	NP_001262171.2
OG0003331	XP_012163342.1	NP_477153.1
OG0003332	XP_003397236.1	NP_524439.1
OG0003333	XP_012165599.1	NP_001033857.1
OG0003334	XP_012168221.1	NP_001189058.1
OG0003335	XP_003399725.1	NP_610223.1
OG0003336	XP_012173983.1	NP_001259465.1
OG0003337	XP_003397616.1	NP_611611.1, NP_995920.1, NP_652645.1
OG0003339	XP_003397378.2	NP_001284851.1
OG0003340	XP_020720961.1	NP_610249.2
OG0003341	XP_012175821.1	NP_608833.1
OG0003342	XP_012171940.2	NP_001097839.1
OG0003343	XP_020722536.1, XP_012172667.1, XP_020722535.1	NP_001034065.1
OG0003344	XP_003402169.1, XP_012173723.1	NP_001260981.1
OG0003345	XP_003398987.1	NP_608447.1
OG0003346	XP_020723225.1	NP_001303472.1
OG0003347	XP_012163635.1	NP_650199.1, NP_001263016.2
OG0003349	XP_012166175.1, XP_020719519.1	NP_001285787.1
OG0003350	XP_003395818.1	NP_650064.1
OG0003351	XP_003403358.1	NP_648781.1
OG0003352	XP_012171186.1	NP_729565.2
OG0003353	XP_012176447.1	NP_001138203.1
OG0003354	XP_012168185.1	NP_569973.1
OG0003355	XP_012167676.1	NP_001260531.1
OG0003356	XP_003402210.1	NP_651883.1
OG0003357	XP_012163819.1	NP_996198.2
OG0003358	XP_012176186.1	NP_524408.1
OG0003360	XP_012175935.1	NP_001246623.1
OG0003361	XP_003402702.1	NP_523460.2
OG0003362	XP_012169143.1	NP_651309.2, NP_476590.1
OG0003363	XP_003394031.1	NP_001260793.1
OG0003364	XP_003398503.1	NP_727320.1
OG0003365	XP_003394552.1	NP_001162923.1
OG0003366	XP_003397827.1	NP_001284772.1
OG0003367	XP_003401083.1	NP_524610.1
OG0003368	XP_020721065.1	NP_728961.2
OG0003371	XP_012170915.1, XP_003400168.1	NP_725412.2
OG0003372	XP_003394694.1	NP_609404.2
OG0003373	XP_012173294.1, XP_003401873.1	NP_733060.1
OG0003374	XP_003395675.1	NP_733206.3
OG0003375	XP_003403093.1	NP_001036466.2
OG0003376	XP_003393800.1	NP_611176.1
OG0003377	XP_020724121.1	NP_649759.1
OG0003378	XP_003402130.1	NP_477131.1
OG0003379	XP_012171119.1	NP_001246213.1
OG0003380	XP_012170032.1	NP_001260886.1
OG0003381	XP_012175066.1	NP_610355.1
OG0003382	XP_003401411.1	NP_733151.2, NP_788744.1, NP_524674.1, NP_524848.1
OG0003383	XP_003400839.1	NP_524192.2
OG0003385	XP_003393271.1	NP_001284784.1
OG0003386	XP_020722228.1, XP_003400574.1	NP_610439.1, NP_610441.2
OG0003387	XP_012174698.1, XP_003393798.1	NP_001162894.1
OG0003388	XP_012171064.1	NP_001097271.1
OG0003389	XP_012166547.1	NP_001286225.1, NP_650641.2
OG0003390	XP_012170451.1	NP_608885.1
OG0003391	XP_012173395.2	NP_477494.2, NP_649430.1, NP_001245959.1
OG0003392	XP_020722516.1	NP_001262566.1
OG0003393	XP_003396408.1, XP_012165441.1	NP_477441.1
OG0003394	XP_003394195.1	NP_001262459.1
OG0003395	XP_012170429.1	NP_001262351.1
OG0003396	XP_003400093.1	NP_651892.1
OG0003397	XP_012170199.1	NP_477360.2
OG0003399	XP_003395681.1	NP_001260176.1
OG0003400	XP_003394203.1	NP_001356976.1
OG0003401	XP_012174733.1	NP_524784.1
OG0003402	XP_003400904.1	NP_001286639.1
OG0003403	XP_003398686.1	NP_001262770.1
OG0003404	XP_012175889.1	NP_722615.1
OG0003405	XP_003402674.1	NP_523776.1
OG0003406	XP_020718332.1	NP_001247280.1
OG0003407	XP_012174891.2, XP_012171230.1	NP_650488.1
OG0003408	XP_012163653.1	NP_727408.2, NP_733331.1
