HOG	OG	Gene Tree Parent Clade	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
N2.HOG0005368	OG0004543	n0			XP_017885139.1	XP_015436432.1			XP_003700022.1	XP_033332871.1	XP_031839479.1	XP_029038458.1	XP_034183936.1
N2.HOG0005369	OG0004544	n0			XP_017876357.1	XP_015438729.1			XP_003701947.1	XP_033330831.1	XP_031848115.1	XP_029051887.1	XP_034194039.1
N2.HOG0005370	OG0004545	n0			XP_026671009.1	XP_015430489.1			XP_003705071.1	XP_033337632.1	XP_031830039.1	XP_029034861.1	XP_034185671.1
N2.HOG0005371	OG0004546	n0			XP_017883590.1	XP_015436864.1			XP_003703167.2	XP_033331362.1	XP_031844368.1	XP_029035687.1	XP_034178391.1
N2.HOG0005372	OG0004547	n0			XP_026672365.1	XP_015436169.1			XP_012150795.1	XP_033332700.1	XP_031835164.1	XP_029047782.1	XP_034184335.1
N2.HOG0005373	OG0004548	n0			XP_017889774.1	XP_015434806.1			XP_012141398.1	XP_033324894.1	XP_031843225.1	XP_029044406.1	XP_034178910.1
N2.HOG0005374	OG0004549	n0			XP_017883974.1	XP_015435355.1			XP_003707961.1	XP_033328887.1	XP_031839395.1	XP_029038081.1	XP_034173015.1
N2.HOG0005375	OG0004550	n0			XP_017891938.1	XP_015428911.1			XP_003706817.1	XP_033331453.1	XP_031847749.1	XP_029045692.1	XP_034189923.1
N2.HOG0005376	OG0004551	n0			XP_017877641.1	XP_015433522.1			XP_003701170.1	XP_033337548.1	XP_031830279.1	XP_029049625.1	XP_034184882.1
N2.HOG0005377	OG0004552	n0			XP_017887327.1	XP_015437098.1			XP_003708159.1	XP_033321650.1	XP_031849660.1	XP_029046289.1	XP_034194474.1
N2.HOG0005378	OG0004553	n0			XP_017885324.1	XP_015437109.1			XP_012152284.1	XP_033321641.1	XP_031849632.1	XP_029046271.1	XP_034194448.1
N2.HOG0005379	OG0004554	n0			XP_017890541.1	XP_015437372.1			XP_003699363.2	XP_033342810.1	XP_031849211.1	XP_029049684.1	XP_034193116.1
N2.HOG0005380	OG0004555	n0			XP_017890489.1	XP_015437747.1			XP_012134986.1	XP_033334928.1	XP_031849226.1	XP_029049824.1	XP_034193379.1
N2.HOG0005381	OG0004556	n0			XP_017886839.1	XP_015440253.1			XP_003700642.1	XP_033339779.1	XP_031829242.1	XP_029052806.1	XP_034196637.1
N2.HOG0005382	OG0004557	n0			XP_017885474.1	XP_015436292.1			XP_012144257.1	XP_033333285.1	XP_031844187.1	XP_029047830.1	XP_034184423.1
N2.HOG0005383	OG0004558	n0			XP_017890826.1	XP_015430480.1			XP_003702541.1	XP_033332606.1	XP_031829710.1	XP_029046822.1	XP_034190502.1
N2.HOG0005384	OG0004559	n0			XP_026667307.1	XP_015430278.1			XP_003703789.1	XP_033341183.1	XP_031837609.1	XP_029047399.1	XP_034172861.1
N2.HOG0005385	OG0004560	n0			XP_017877001.1	XP_015433724.1			XP_003701819.1	XP_033333810.1	XP_031836621.1	XP_029042737.1	XP_034176223.1
N2.HOG0005386	OG0004561	n0			XP_017887623.1	XP_015438319.1			XP_012146023.1	XP_033332075.1	XP_031831619.1	XP_029042305.1	XP_034176443.1
N2.HOG0005387	OG0004562	n0			XP_017890075.1	XP_015439869.1			XP_003707272.1	XP_033328131.1	XP_031833381.1	XP_029036363.1	XP_034192702.1
N2.HOG0005388	OG0004563	n0			XP_026674277.1	XP_015439882.1			XP_003707270.1	XP_033328122.1	XP_031833379.1	XP_029036355.1	XP_034192685.1
N2.HOG0005389	OG0004564	n0			XP_026675163.1	XP_015440264.1			XP_012137366.1	XP_033321126.1	XP_031843367.1	XP_029053056.1	XP_034177253.1
N2.HOG0005390	OG0004565	n0			XP_017887309.1	XP_015435772.1			XP_003704053.1	XP_033322148.1	XP_031844272.1	XP_029052690.1	XP_034188492.1
N2.HOG0005391	OG0004566	n0			XP_026669731.1	XP_015434348.1			XP_012142233.1	XP_033322052.1	XP_031844677.1	XP_029052053.1	XP_034188215.1
N2.HOG0005392	OG0004567	n0			XP_017889463.1	XP_015433181.1			XP_003699636.1	XP_033324988.1	XP_031842683.1	XP_029036920.1	XP_034193786.1
N2.HOG0005393	OG0004568	n0			XP_017889914.1	XP_015432434.1			XP_003706011.1	XP_033320897.1	XP_031842788.1	XP_029045797.1	XP_034193517.1
N2.HOG0005394	OG0004569	n0			XP_017877512.1	XP_015434545.1			XP_003707709.1	XP_033341570.1	XP_031844506.1	XP_029033013.1	XP_034182402.1
N2.HOG0005395	OG0004570	n0			XP_017879602.1	XP_015429236.1			XP_003706567.1	XP_033333106.1	XP_031838296.1	XP_029047482.1	XP_034188043.1
N2.HOG0005396	OG0004571	n0			XP_026668939.1	XP_015433988.1			XP_012136594.1	XP_033341952.1	XP_031839888.1	XP_029053889.1	XP_034196499.1
N2.HOG0005397	OG0004572	n0			XP_017893651.1	XP_015430864.1			XP_012142084.1	XP_033337067.1	XP_031845089.1	XP_029047371.1	XP_034173867.1
N2.HOG0005398	OG0004573	n0			XP_017893416.1	XP_015438238.1			XP_012138021.1	XP_033340542.1	XP_031840611.1	XP_029055376.1	XP_034172810.1
N2.HOG0005399	OG0004574	n0			XP_026666829.1	XP_015438237.1			XP_003702169.2	XP_033340541.1	XP_031840607.1	XP_029055368.1	XP_034172784.1
N2.HOG0005400	OG0004575	n0			XP_026669156.1	XP_015435274.1			XP_012151538.1	XP_033328824.1	XP_031839471.1	XP_029038074.1	XP_034173012.1
N2.HOG0005401	OG0004576	n0			XP_017892214.1	XP_015429224.1			XP_003703709.1	XP_033329567.1	XP_031849032.1	XP_029051198.1	XP_034181058.1
N2.HOG0005402	OG0004577	n0			XP_017885348.1	XP_015430866.1			XP_012135008.1	XP_033324262.1	XP_031845032.1	XP_029042949.1	XP_034187394.1
N2.HOG0005403	OG0004578	n0			XP_017879027.1	XP_015437723.1			XP_012154566.1	XP_033334866.1	XP_031849345.1	XP_029037471.1	XP_034193396.1
N2.HOG0005404	OG0004579	n0			XP_017875548.1	XP_015439227.1			XP_003708274.1	XP_033335845.1	XP_031833066.1	XP_029045395.1	XP_034180479.1
N2.HOG0005405	OG0004580	n0			XP_017885437.1	XP_015436101.1			XP_012144265.1	XP_033333277.1	XP_031844425.1	XP_029047848.1	XP_034184409.1
N2.HOG0005406	OG0004581	n0			XP_017885436.1	XP_015436360.1			XP_003704866.2	XP_033333282.1	XP_031844255.1	XP_029047815.1	XP_034184311.1
N2.HOG0005407	OG0004582	n0			XP_017885431.1, XP_017885432.1	XP_015436324.1			XP_012144119.1	XP_033333302.1	XP_031844626.1	XP_029047841.1	XP_034184453.1
N2.HOG0005408	OG0004583	n0			XP_026670050.1	XP_015430551.1			XP_012147866.1	XP_033321322.1	XP_031832488.1	XP_029038028.1	XP_034173197.1
N2.HOG0005409	OG0004584	n0			XP_017876951.1	XP_015435715.1			XP_012136967.1	XP_033333570.1	XP_031828690.1	XP_029053202.1	XP_034184583.1
N2.HOG0005410	OG0004585	n0			XP_017889521.1	XP_015437986.1			XP_012153528.1	XP_033340814.1	XP_031843174.1	XP_029039532.1	XP_034179745.1
N2.HOG0005411	OG0004586	n0			XP_026670308.1	XP_015433564.1			XP_012143101.1	XP_033327037.1	XP_031833210.1	XP_029034736.1	XP_034174539.1
N2.HOG0005412	OG0004587	n0			XP_017887550.1	XP_015429956.1			XP_003708502.2	XP_033326831.1	XP_031840537.1	XP_029032374.1	XP_034188813.1
N2.HOG0005413	OG0004588	n0			XP_017892492.1	XP_015433849.1			XP_003702115.1	XP_033333333.1	XP_031836947.1	XP_029032231.1	XP_034184709.1
N2.HOG0005414	OG0004589	n0			XP_017875361.1	XP_015428489.1			XP_003705406.1	XP_033338742.1	XP_031826972.1	XP_029050746.1	XP_034186865.1
N2.HOG0005415	OG0004590	n0			XP_017876855.1	XP_015428472.1			XP_012135051.1	XP_033331967.1	XP_031847046.1	XP_029031897.1	XP_034189310.1
N2.HOG0005416	OG0004591	n0			XP_017878321.1	XP_015434873.1			XP_012153380.1	XP_033324619.1	XP_031843080.1	XP_029037011.1	XP_034193537.1
N2.HOG0005417	OG0004592	n0			XP_017878253.1	XP_015431124.1			XP_003704561.1	XP_033337683.1	XP_031837953.1	XP_029043497.1	XP_034180053.1
N2.HOG0005418	OG0004593	n0			XP_026674782.1	XP_015436006.1			XP_012141275.1	XP_033329502.1	XP_031832263.1	XP_029040981.1	XP_034188052.1
N2.HOG0005419	OG0004594	n0			XP_017892027.1	XP_015433810.1			XP_012134905.1	XP_033337103.1	XP_031833293.1	XP_029038966.1	XP_034186963.1
N2.HOG0005420	OG0004595	n0			XP_026667323.1	XP_015437537.1			XP_012145373.1	XP_033324832.1	XP_031847032.1	XP_029053412.1	XP_034181650.1
N2.HOG0005421	OG0004596	n0			XP_026671671.1	XP_015438986.1			XP_012139825.1	XP_033335884.1	XP_031837380.1	XP_029043478.1	XP_034192060.1
N2.HOG0005422	OG0004597	n0			XP_017876049.1	XP_015430515.1			XP_003705105.1	XP_033330331.1	XP_031829988.1	XP_029051522.1	XP_034184752.1
N2.HOG0005423	OG0004598	n0			XP_017877049.1	XP_015435423.1			XP_003707861.1	XP_033341288.1	XP_031839118.1	XP_029037984.1	XP_034172555.1
N2.HOG0005424	OG0004599	n0			XP_017891768.1	XP_015440194.1			XP_003707308.1	XP_033337265.1	XP_031825577.1	XP_029043920.1	XP_034176817.1
N2.HOG0005425	OG0004600	n0			XP_017888186.1	XP_015435435.1			XP_012151745.1	XP_033328748.1	XP_031839435.1	XP_029051995.1	XP_034173397.1
N2.HOG0005426	OG0004601	n0			XP_017884417.1	XP_015429452.1			XP_003700256.1	XP_033331661.1	XP_031847043.1	XP_029048879.1	XP_034176391.1
N2.HOG0005427	OG0004602	n0			XP_017880076.1	XP_015428725.1			XP_003705530.1	XP_033327360.1	XP_031829835.1	XP_029035057.1	XP_034185690.1
N2.HOG0005428	OG0004603	n0			XP_017879428.1	XP_015429645.1			XP_012148162.1	XP_033329236.1	XP_031841890.1	XP_029053148.1	XP_034188062.1
N2.HOG0005429	OG0004604	n0			XP_017888214.1	XP_015432916.1			XP_012151435.1	XP_033341403.1	XP_031846818.1	XP_029050917.1	XP_034172118.1
N2.HOG0005430	OG0004605	n0			XP_017889056.1	XP_015432927.1			XP_012151439.1	XP_033322915.1	XP_031848480.1	XP_029050913.1	XP_034172110.1
N2.HOG0005431	OG0004606	n0			XP_017885835.1	XP_015438230.1			XP_012140090.1	XP_033331886.1	XP_031825993.1	XP_029032173.1	XP_034180185.1
N2.HOG0005432	OG0004607	n0			XP_017878964.1	XP_015437361.1			XP_003700561.1	XP_033342833.1	XP_031835389.1	XP_029037571.1	XP_034174951.1
N2.HOG0005433	OG0004608	n0			XP_026671764.1	XP_015433089.1			XP_012153801.1	XP_033331653.1	XP_031847073.1	XP_029037354.1	XP_034175460.1
N2.HOG0005434	OG0004609	n0			XP_017880885.1	XP_015431571.1			XP_012142215.1	XP_033321626.1	XP_031848286.1	XP_029052063.1	XP_034188210.1
N2.HOG0005435	OG0004610	n0			XP_017875516.1	XP_015437259.1			XP_012153858.1	XP_033331563.1	XP_031838163.1	XP_029038283.1	XP_034175265.1
N2.HOG0005436	OG0004611	n0			XP_017884118.1	XP_015431855.1			XP_003701846.1	XP_033330571.1	XP_031836183.1	XP_029036246.1	XP_034170876.1
N2.HOG0005437	OG0004612	n0			XP_017884092.1	XP_015431866.1			XP_003701853.1	XP_033330576.1	XP_031836189.1	XP_029036249.1	XP_034170884.1
N2.HOG0005438	OG0004613	n0			XP_017884077.1	XP_015431860.1			XP_003701820.1	XP_033330574.1	XP_031836112.1	XP_029036242.1	XP_034170874.1
N2.HOG0005439	OG0004614	n0			XP_017893115.2	XP_015431741.1			XP_012147595.1	XP_033329756.1	XP_031834344.1	XP_029039321.1	XP_034174305.1
N2.HOG0005440	OG0004615	n0			XP_017885075.1	XP_015429746.1			XP_003705592.1	XP_033323482.1	XP_031828995.1	XP_029050102.1	XP_034193111.1
N2.HOG0005441	OG0004616	n0			XP_017885076.1	XP_015429749.1			XP_003705593.1	XP_033323484.1	XP_031828996.1	XP_029050126.1	XP_034193124.1
N2.HOG0005442	OG0004617	n0			XP_017888335.1	XP_015440498.1			XP_003700556.1	XP_033342620.1	XP_031849456.1	XP_029048835.1	XP_034176412.1
N2.HOG0005443	OG0004618	n0			XP_017882631.1	XP_015437004.1			XP_012139018.1	XP_033330450.1	XP_031828921.1	XP_029043115.1	XP_034189021.1
N2.HOG0005444	OG0004619	n0			XP_017882633.1	XP_015437001.1			XP_003702609.2	XP_033330457.1	XP_031829151.1	XP_029043140.1	XP_034189028.1
N2.HOG0005445	OG0004620	n0			XP_026674224.1	XP_015439381.1			XP_003704769.1	XP_033331035.1	XP_031842861.1	XP_029036720.1	XP_034193669.1
N2.HOG0005446	OG0004621	n0			XP_017892033.1	XP_015436243.1			XP_003707587.1	XP_033334311.1	XP_031842470.1	XP_029038769.1	XP_034184523.1
N2.HOG0005447	OG0004622	n0			XP_017892783.1	XP_015432108.1			XP_003701518.1	XP_033334147.1	XP_031839706.1	XP_029048294.1	XP_034172051.1
N2.HOG0005448	OG0004623	n0			XP_017891627.1	XP_015432531.1			XP_012135439.1	XP_033325816.1	XP_031846233.1	XP_029039638.1	XP_034189559.1
N2.HOG0005449	OG0004624	n0			XP_026671016.1	XP_015430419.1			XP_012144740.1	XP_033337451.1	XP_031830308.1	XP_029051476.1	XP_034184764.1
N2.HOG0005450	OG0004625	n0			XP_017875714.1	XP_015438575.1			XP_012149270.1	XP_033330484.1	XP_031843739.1	XP_029039980.1	XP_034190105.1
N2.HOG0005451	OG0004626	n0			XP_017890530.1	XP_015437395.1			XP_012154534.1	XP_033342231.1	XP_031835636.1	XP_029049761.1	XP_034193106.1
N2.HOG0005452	OG0004627	n0			XP_026667705.1	XP_015438573.1			XP_012148763.1	XP_033331681.1	XP_031825863.1	XP_029040454.1	XP_034183469.1
N2.HOG0005453	OG0004628	n0			XP_017876637.1	XP_015431328.1			XP_012148901.1	XP_033325375.1	XP_031831026.1	XP_029034481.1	XP_034183571.1
N2.HOG0005454	OG0004629	n0			XP_026667146.1	XP_015439108.1			XP_012149615.1	XP_033336607.1	XP_031845878.1	XP_029039177.1	XP_034192105.1
N2.HOG0005455	OG0004630	n0			XP_017890189.1	XP_015433382.1			XP_003702635.1	XP_033324309.1	XP_031847688.1	XP_029046085.1	XP_034177640.1
N2.HOG0005456	OG0004631	n0			XP_017883647.1	XP_015430344.1			XP_003700455.1	XP_033335278.1	XP_031826848.1	XP_029048631.1	XP_034191115.1
N2.HOG0005457	OG0004632	n0			XP_017886834.2	XP_015432654.1			XP_003704137.1	XP_033326323.1	XP_031826892.1	XP_029045241.1	XP_034191229.1
N2.HOG0005458	OG0004633	n0			XP_026668312.1	XP_015438088.1			XP_012152858.1	XP_033338958.1	XP_031846143.1	XP_029045967.1	XP_034187831.1
N2.HOG0005459	OG0004634	n0			XP_017888848.1	XP_015428827.1			XP_012145878.1	XP_033327632.1	XP_031829847.1	XP_029035099.1	XP_034185631.1
N2.HOG0005460	OG0004635	n0			XP_017884776.1	XP_015434033.1			XP_003708300.1	XP_033335865.1	XP_031848531.1	XP_029043551.1	XP_034180741.1
N2.HOG0005461	OG0004636	n0			XP_017878069.1	XP_015430640.1			XP_003708407.1	XP_033336899.1	XP_031845579.1	XP_029046427.1	XP_034173708.1
N2.HOG0005462	OG0004637	n0			XP_026671692.1	XP_015434162.1			XP_012152489.1	XP_033335850.1	XP_031848520.1	XP_029043518.1	XP_034180704.1
N2.HOG0005463	OG0004638	n0			XP_026675116.1	XP_015429107.1			XP_003702215.1		XP_031848874.1, XP_031834768.1	XP_029036325.1	XP_034171568.1
N2.HOG0005464	OG0004639	n0			XP_017876040.1	XP_015433518.1			XP_003701273.1	XP_033337895.1	XP_031829884.1	XP_029047069.1	XP_034190551.1
N2.HOG0005465	OG0004640	n0			XP_017876039.1	XP_015433494.1			XP_003701272.1	XP_033337897.1	XP_031830368.1	XP_029047059.1	XP_034190542.1
N2.HOG0005466	OG0004641	n0			XP_026667415.1	XP_015432852.1			XP_012151453.1	XP_033341109.1	XP_031846873.1	XP_029049509.1	XP_034173147.1
N2.HOG0005467	OG0004642	n0			XP_017881514.1	XP_015433503.1			XP_003705086.1	XP_033337744.1	XP_031846547.1	XP_029035016.1	XP_034185177.1
N2.HOG0005468	OG0004643	n0			XP_017883723.1	XP_015430354.1			XP_003700527.1	XP_033338539.1	XP_031826969.1	XP_029049179.1	XP_034182833.1
N2.HOG0005469	OG0004644	n0			XP_017876147.1	XP_015436851.1			XP_012141892.1	XP_033326135.1	XP_031837546.1	XP_029034010.1	XP_034173586.1
N2.HOG0005470	OG0004645	n0			XP_026672200.1	XP_015439525.1			XP_012144162.1	XP_033323503.1	XP_031846550.1	XP_029044842.1	XP_034187688.1
N2.HOG0005471	OG0004646	n0			XP_017887674.1	XP_015433889.1			XP_012135324.1	XP_033337822.1	XP_031826552.1	XP_029044703.1	XP_034171371.1
N2.HOG0005472	OG0004647	n0			XP_017882175.1	XP_015431434.1			XP_003706943.1	XP_033326073.1	XP_031843862.1	XP_029040039.1	XP_034189643.1
N2.HOG0005473	OG0004648	n0			XP_017880250.1	XP_015435739.1			XP_003700338.1	XP_033322431.1	XP_031845866.1	XP_029046632.1	XP_034182981.1
N2.HOG0005474	OG0004649	n0			XP_017877089.1	XP_015438782.1			XP_012149815.1	XP_033342008.1	XP_031838244.1	XP_029050167.1	XP_034176621.1
N2.HOG0005475	OG0004650	n0			XP_017877099.1	XP_015434204.1			XP_012149900.1	XP_033323578.1	XP_031843627.1	XP_029036984.1	XP_034190045.1
N2.HOG0005476	OG0004651	n0			XP_017890027.1	XP_015439890.1			XP_012154047.1	XP_033339534.1	XP_031831201.1	XP_029042782.1	XP_034192966.1
N2.HOG0005477	OG0004652	n0			XP_017887593.1	XP_015430007.1			XP_012153161.1	XP_033326834.1	XP_031840596.1	XP_029032574.1	XP_034188715.1
N2.HOG0005478	OG0004653	n0			XP_026674723.1	XP_015433569.1			XP_003705688.1	XP_033339390.1	XP_031849128.1	XP_029037703.1	XP_034185839.1
N2.HOG0005479	OG0004654	n0			XP_017875633.1	XP_015431578.1			XP_003708102.1	XP_033329897.1	XP_031849596.1	XP_029033770.1	XP_034194706.1
N2.HOG0005480	OG0004655	n0			XP_017885997.1	XP_015438141.1			XP_012140097.1	XP_033331860.1	XP_031826081.1	XP_029032338.1	XP_034188491.1
N2.HOG0005481	OG0004656	n0			XP_017885995.1	XP_015429935.1			XP_003705657.2	XP_033328300.1	XP_031828063.1	XP_029035375.1	XP_034184459.1
N2.HOG0005482	OG0004657	n0			XP_017888786.1	XP_015430468.1			XP_003701139.1	XP_033327329.1	XP_031830169.1	XP_029049604.1	XP_034184862.1
N2.HOG0005483	OG0004658	n0			XP_017875367.1	XP_015432217.1			XP_012134945.1	XP_033325116.1	XP_031827572.1	XP_029034595.1	XP_034183351.1
N2.HOG0005484	OG0004659	n0			XP_017888240.1	XP_015435337.1			XP_012151762.1	XP_033341547.1	XP_031839402.1	XP_029037971.1	XP_034173351.1
N2.HOG0005485	OG0004660	n0			XP_017875809.1	XP_015429727.1			XP_003700250.1	XP_033339529.1	XP_031828504.1	XP_029037422.1	XP_034175958.1
N2.HOG0005486	OG0004661	n0			XP_017893681.1	XP_015433820.1			XP_003704488.1	XP_033323941.1	XP_031848129.1	XP_029038503.1	XP_034180586.1
N2.HOG0005487	OG0004662	n0			XP_017890733.1	XP_015429172.1			XP_003701941.1	XP_033321524.1	XP_031834921.1	XP_029032105.1	XP_034189140.1
N2.HOG0005488	OG0004663	n0			XP_017883206.1	XP_015429581.1			XP_012144100.1	XP_033333937.1	XP_031841868.1	XP_029044578.1	XP_034181423.1
N2.HOG0005489	OG0004664	n0			XP_017876891.1	XP_015431696.1			XP_012136728.1	XP_033334263.1	XP_031839810.1	XP_029036307.1	XP_034171511.1
N2.HOG0005490	OG0004665	n0			XP_017892879.1	XP_015429693.1			XP_012147662.1	XP_033334270.1	XP_031836273.1	XP_029034303.1	XP_034189142.1
N2.HOG0005491	OG0004666	n0			XP_017879890.1	XP_015437990.1			XP_003706726.1	XP_033324829.1	XP_031829401.1	XP_029034841.1	XP_034179075.1
N2.HOG0005492	OG0004667	n0			XP_017885506.1	XP_015430753.1			XP_003699446.1	XP_033336866.1	XP_031844992.1	XP_029047974.1	XP_034173883.1
N2.HOG0005493	OG0004668	n0			XP_017877302.1	XP_015437523.1			XP_003701264.1	XP_033337607.1	XP_031829963.1	XP_029044254.1	XP_034185256.1
N2.HOG0005494	OG0004669	n0			XP_017878961.1	XP_015437718.1			XP_003699258.2	XP_033342606.1	XP_031835459.1	XP_029042450.1	XP_034175335.1
N2.HOG0005495	OG0004670	n0			XP_017885455.1	XP_015436103.1			XP_003704842.1	XP_033333303.1	XP_031845035.1	XP_029047820.1	XP_034184361.1
N2.HOG0005496	OG0004671	n0			XP_017888465.1	XP_015432116.1			XP_003701283.1	XP_033338897.1	XP_031841749.1	XP_029040304.1	XP_034187117.1
N2.HOG0005497	OG0004672	n0			XP_017881972.1	XP_015434190.1			XP_003704446.1	XP_033327147.1	XP_031833272.1	XP_029035106.1	XP_034174790.1
N2.HOG0005498	OG0004673	n0			XP_017880787.1	XP_015434253.1			XP_003704038.1	XP_033323245.1	XP_031848345.1	XP_029052709.1	XP_034188601.1
N2.HOG0005499	OG0004674	n0			XP_017893074.1	XP_015433933.1			XP_012143518.1	XP_033323967.1	XP_031848231.1	XP_029052648.1	XP_034194125.1
N2.HOG0005500	OG0004675	n0			XP_017879578.1	XP_015434387.1			XP_012145676.1	XP_033325285.1	XP_031841158.1	XP_029038268.1	XP_034175252.1
N2.HOG0005501	OG0004676	n0			XP_017892305.2	XP_015438161.1			XP_003703075.1	XP_033329025.1	XP_031840387.1	XP_029055501.1	XP_034175069.1
N2.HOG0005502	OG0004677	n0			XP_017877313.1	XP_015429041.1			XP_012136072.1	XP_033324996.1	XP_031837623.1	XP_029033235.1	XP_034190761.1
N2.HOG0005503	OG0004678	n0			XP_017891097.1	XP_015432023.1			XP_003705882.1	XP_033321070.1	XP_031840231.1	XP_029048004.1	XP_034195527.1
N2.HOG0005504	OG0004679	n0			XP_017890441.1	XP_015435527.1			XP_012143303.1	XP_033334976.1	XP_031849943.1	XP_029042440.1	XP_034176455.1
N2.HOG0005505	OG0004680	n0			XP_017879240.1	XP_015435000.1			XP_003701464.1	XP_033334248.1	XP_031839890.1	XP_029056612.1	XP_034171314.1
N2.HOG0005506	OG0004681	n0			XP_017892528.1	XP_015433770.1			XP_003702126.1	XP_033321326.1	XP_031846272.1	XP_029032279.1	XP_034174281.1
N2.HOG0005507	OG0004682	n0			XP_017879916.1	XP_015437551.1			XP_003704985.1	XP_033331372.1	XP_031845676.1	XP_029041724.1	XP_034183253.1
N2.HOG0005508	OG0004683	n0			XP_017882547.1	XP_015430314.1			XP_003700460.1	XP_033338637.1	XP_031827267.1	XP_029051029.1	XP_034187035.1
N2.HOG0005509	OG0004684	n0			XP_017883273.1	XP_015435708.1			XP_003706236.1	XP_033330411.1	XP_031835066.1	XP_029044678.1	XP_034189075.1
N2.HOG0005510	OG0004685	n0			XP_017883362.1	XP_015435450.1			XP_012151821.1	XP_033328882.1	XP_031839512.1	XP_029038067.1	XP_034173002.1
N2.HOG0005511	OG0004686	n0			XP_017889963.1	XP_015428694.1			XP_003706487.1	XP_033337541.1	XP_031846356.1	XP_029050317.1	XP_034190454.1
N2.HOG0005512	OG0004687	n0			XP_017888172.1	XP_015435302.1			XP_003707923.1	XP_033341556.1	XP_031839418.1	XP_029037978.1	XP_034173365.1
N2.HOG0005513	OG0004688	n0			XP_017891943.1	XP_015428899.1			XP_012149314.1	XP_033331396.1	XP_031847873.1	XP_029039597.1	XP_034186103.1
N2.HOG0005514	OG0004689	n0			XP_017893240.1	XP_015429242.1			XP_012141064.1	XP_033329610.1	XP_031833985.1	XP_029051798.1	XP_034188003.1
N2.HOG0005515	OG0004690	n0			XP_017877140.2	XP_015438760.1			XP_003707234.1	XP_033321308.1	XP_031843412.1	XP_029050144.1	XP_034176647.1
N2.HOG0005516	OG0004691	n0			XP_017889068.1	XP_015428802.1			XP_003706341.1	XP_033332938.1	XP_031846400.1	XP_029041072.1	XP_034180946.1
N2.HOG0005517	OG0004692	n0			XP_017886081.1	XP_015438014.1			XP_012148035.1	XP_033330991.1	XP_031836752.1	XP_029032422.1	XP_034171428.1
N2.HOG0005518	OG0004693	n0			XP_017881736.1	XP_015430843.1			XP_012136736.1	XP_033327039.1	XP_031833205.1	XP_029034869.1	XP_034174728.1
N2.HOG0005519	OG0004694	n0			XP_017878482.1	XP_015437741.1			XP_003699245.1	XP_033342971.1	XP_031849165.1	XP_029037462.1	XP_034175954.1
N2.HOG0005520	OG0004695	n0			XP_017880754.1	XP_015430401.1			XP_003706045.2	XP_033328703.1	XP_031843951.1	XP_029040972.1	XP_034196051.1
N2.HOG0005521	OG0004696	n0			XP_017887739.1	XP_015437454.1			XP_003702090.1	XP_033340439.1	XP_031840481.1	XP_029032610.1	XP_034182073.1
N2.HOG0005522	OG0004697	n0			XP_017892003.1	XP_015433725.1			XP_012136009.1	XP_033336996.1	XP_031833194.1	XP_029038957.1	XP_034186956.1
N2.HOG0005523	OG0004698	n0			XP_017889568.1	XP_015435759.1			XP_003701373.1	XP_033323187.1	XP_031842109.1	XP_029036898.1	XP_034193488.1
N2.HOG0005524	OG0004699	n0			XP_017877969.1	XP_015431734.1			XP_003703031.1	XP_033332377.1	XP_031834432.1	XP_029045853.1	XP_034174719.1
N2.HOG0005525	OG0004700	n0			XP_017885177.1	XP_015435186.1			XP_012143727.1	XP_033340245.1	XP_031826480.1	XP_029048567.1	XP_034189483.1
N2.HOG0005526	OG0004701	n0			XP_017888226.1	XP_015435255.1			XP_003703742.2	XP_033341520.1	XP_031847127.1	XP_029042503.1	XP_034172185.1
N2.HOG0005527	OG0004702	n0			XP_017891386.1	XP_015439737.1			XP_012154004.1	XP_033324321.1	XP_031831642.1	XP_029042816.1	XP_034192975.1
N2.HOG0005528	OG0004703	n0			XP_026669445.1	XP_015436605.1			XP_012138626.1	XP_033334473.1	XP_031829047.1	XP_029044062.1	XP_034176386.1
N2.HOG0005529	OG0004704	n0			XP_026670916.1	XP_015429571.1			XP_003704820.1	XP_033333975.1	XP_031838392.1	XP_029044584.1	XP_034181431.1
N2.HOG0005530	OG0004705	n0			XP_017889717.1	XP_015439299.1			XP_012153363.1	XP_033339969.1	XP_031842899.1	XP_029045928.1	XP_034193886.1
N2.HOG0005531	OG0004706	n0			XP_017876373.1	XP_015435894.1			XP_003706261.1	XP_033331790.1	XP_031835221.1	XP_029044740.1	XP_034171439.1
N2.HOG0005532	OG0004707	n0			XP_017880804.1	XP_015431575.1			XP_012142202.1	XP_033322003.1	XP_031848354.1	XP_029040601.1	XP_034188395.1
N2.HOG0005533	OG0004708	n0			XP_017890659.1	XP_015432157.1			XP_003708050.1	XP_033332468.1	XP_031841429.1	XP_029040244.1	XP_034187172.1
N2.HOG0005534	OG0004709	n0			XP_017883329.1	XP_015432990.1			XP_003706672.1	XP_033340119.1	XP_031827308.1	XP_029040719.1	XP_034172315.1
N2.HOG0005535	OG0004710	n0			XP_026669719.1	XP_015431517.1			XP_012142156.1	XP_033322170.1	XP_031848364.1	XP_029037088.1	XP_034182209.1
