Orthogroup	Ceratina_calcarata	Drosophila_melanogaster
OG0003957	XP_017875257.1	NP_001261167.1
OG0003958	XP_017889503.1	NP_477224.1
OG0003959	XP_026673263.1	NP_001261183.1
OG0003960	XP_017890159.1	NP_001097394.1
OG0003961	XP_017883385.1, XP_017883386.1	NP_610107.1
OG0003962	XP_017884363.1	NP_523811.1
OG0003963	XP_017875698.1	NP_611832.1
OG0003964	XP_017883814.1	NP_723527.1, NP_001261710.1, NP_727109.2, NP_572339.1
OG0003965	XP_017892382.1	NP_648590.1
OG0003966	XP_017886785.1, XP_017886783.1	NP_001286169.1
OG0003967	XP_017884690.1	NP_649099.1
OG0003968	XP_017883580.1	NP_610398.1
OG0003969	XP_017890355.1	NP_569880.1
OG0003970	XP_026674910.1	NP_001262490.1, NP_731657.2
OG0003971	XP_017890293.1	NP_001285692.1
OG0003972	XP_017890248.1	NP_611539.1
OG0003973	XP_017877363.1	NP_001286341.1, NP_725128.2, NP_610757.1
OG0003974	XP_026666974.1, XP_017883951.1	NP_651278.2
OG0003975	XP_017885228.1	NP_649552.1
OG0003976	XP_017890085.1	NP_001246589.1
OG0003977	XP_017890930.2	NP_570081.2
OG0003978	XP_017879900.1	NP_001285330.1, NP_001263122.1
OG0003979	XP_017880229.1	NP_611690.2
OG0003980	XP_017887465.1	NP_572722.2
OG0003981	XP_026674074.1, XP_026674076.1	NP_610429.2
OG0003982	XP_017876281.1	NP_609079.2
OG0003983	XP_017877832.1, XP_017879449.1, XP_017882698.1, XP_026669985.1	NP_001137958.1
OG0003984	XP_017892829.2	NP_611900.1
OG0003985	XP_026668402.1	NP_572747.1
OG0003986	XP_017876375.1	NP_511064.2
OG0003987	XP_017892356.1	NP_001286391.1
OG0003988	XP_026674895.1, XP_017891331.1	NP_001163748.1
OG0003989	XP_026666834.1, XP_026668283.1, XP_017892699.1	NP_001163103.1
OG0003990	XP_017893497.1	NP_524448.3
OG0003991	XP_026669815.1	NP_524623.2
OG0003992	XP_017888891.1	NP_573116.2
OG0003993	XP_017892896.2	NP_001287552.1
OG0003994	XP_017883319.1	NP_001286707.1
OG0003995	XP_026669591.1	NP_001284866.1
OG0003996	XP_026672073.1, XP_017885369.1	NP_001259362.1, NP_650489.1
OG0003997	XP_026669478.1	NP_001246522.1, NP_722917.2, NP_608787.1
OG0003998	XP_026671865.1	NP_001162829.1
OG0003999	XP_026667993.1, XP_017881065.2	NP_523723.1
OG0004000	XP_017879297.1, XP_026668980.1	NP_001246063.1
OG0004002	XP_017876653.1	NP_001303384.1
OG0004003	XP_017885324.1	NP_001162933.1
OG0004004	XP_017884313.1	NP_609954.1, NP_001286084.1
OG0004005	XP_026672680.1	NP_732452.1
OG0004006	XP_026669742.1	NP_724569.1
OG0004008	XP_017881272.1	NP_001097360.1
OG0004009	XP_017891462.1	NP_731065.1
OG0004010	XP_017887409.1	NP_572391.1
OG0004011	XP_017888050.1	NP_001260641.1
OG0004012	XP_017877063.1	NP_001096948.2
OG0004014	XP_017877109.1	NP_572951.1
OG0004015	XP_017876298.1	NP_001138211.1
OG0004016	XP_017881076.1, XP_017881069.1	NP_001189283.1
OG0004017	XP_026671934.1, XP_017885128.1	NP_001286893.1
OG0004018	XP_026668172.1	NP_728546.1
OG0004020	XP_017887832.1	NP_001287463.1
OG0004021	XP_026666661.1	NP_001259691.1
OG0004022	XP_017882419.1	NP_001285276.1
OG0004023	XP_017876357.1	NP_001285665.1
OG0004024	XP_017892357.1, XP_017892358.1	NP_001263051.1
OG0004026	XP_026670568.1	NP_524473.2
OG0004027	XP_017889798.1	NP_648926.3
OG0004030	XP_017888147.1	NP_001262385.1, NP_001189194.1
OG0004031	XP_026667808.1, XP_017876836.1	NP_524815.1
OG0004033	XP_017877530.1	NP_477436.1
OG0004034	XP_017885006.1, XP_026671509.1	NP_609890.2
OG0004035	XP_017877295.1	NP_001285328.1
OG0004036	XP_017876757.1	NP_649324.1
OG0004037	XP_017885653.1	NP_001262772.1
OG0004038	XP_017881453.1	NP_001245836.1
OG0004040	XP_017888273.1	NP_001285092.1, NP_572658.2
OG0004041	XP_017881603.1	NP_647718.1
OG0004042	XP_017891809.1	NP_523917.2
OG0004043	XP_017879056.2	NP_001259062.1
OG0004045	XP_017889391.1, XP_026673984.1	NP_523806.2, NP_524607.1
OG0004046	XP_017892612.2	NP_001189212.1
OG0004047	XP_017889123.1	NP_649701.2
OG0004048	XP_017881119.1	NP_001097680.1
OG0004049	XP_017884628.1	NP_610466.2
OG0004050	XP_017886645.2	NP_573088.1
OG0004051	XP_017893582.1	NP_573193.1, NP_650498.3
OG0004052	XP_026674207.1	NP_001262451.1
OG0004053	XP_017892789.1	NP_001260958.1
OG0004054	XP_017886788.1	NP_001260969.1
OG0004055	XP_017885791.1	NP_649411.1
OG0004056	XP_017890696.1	NP_001259979.1
OG0004058	XP_017889712.1	NP_477114.1
OG0004059	XP_017881330.1	NP_001261609.1
OG0004060	XP_017879853.1	NP_476576.1
OG0004061	XP_026674505.1	NP_001285590.1
OG0004062	XP_017881438.1	NP_001245607.1
OG0004063	XP_017880652.1	NP_001162975.1
OG0004064	XP_017877355.1	NP_001259152.1
OG0004065	XP_017879141.1	NP_001286823.1, NP_001259234.1
OG0004066	XP_017891867.1	NP_573146.1
OG0004067	XP_026666548.1, XP_017893114.1, XP_026666547.1, XP_026666549.1	NP_001261227.1
OG0004068	XP_017886234.1	NP_725626.1, NP_476863.1
OG0004069	XP_017890683.1	NP_001368995.1
OG0004070	XP_026675386.1	NP_001162753.1, NP_001285243.1
OG0004071	XP_017882268.1	NP_996010.2
OG0004072	XP_017888128.1	NP_572759.1
OG0004073	XP_017878264.1	NP_648318.2
OG0004074	XP_017883327.1	NP_001286846.1
OG0004075	XP_017875447.1	NP_788639.1
OG0004076	XP_017878695.1	NP_608550.1
OG0004077	XP_017889805.1	NP_650693.1
OG0004078	XP_017877189.1, XP_017877188.1	NP_649890.1
OG0004079	XP_026675420.1	NP_001137777.1
OG0004080	XP_026668914.1	NP_523890.2
OG0004081	XP_017876749.2	NP_001188938.1
OG0004082	XP_017877205.1	NP_001260586.1
OG0004083	XP_017884977.1	NP_569978.1
OG0004084	XP_026675503.1	NP_001163332.2
OG0004085	XP_017876585.1	NP_001246647.1
OG0004086	XP_017892581.1	NP_001138108.1
OG0004087	XP_017877845.1	NP_001259779.1
OG0004088	XP_017886011.1, XP_017891844.2	NP_723510.1
OG0004089	XP_017891006.2, XP_017876437.1	NP_001260005.1
OG0004090	XP_026668057.1, XP_026668053.1	NP_609643.2
OG0004091	XP_017875460.1	NP_609204.2
OG0004092	XP_017884969.1	NP_001285421.1
OG0004093	XP_017879934.1	NP_001259507.1
OG0004094	XP_026666910.1, XP_017893238.1, XP_017893248.1	NP_511152.2
OG0004095	XP_017879915.1, XP_017879906.1	NP_477374.1
OG0004096	XP_017884242.1	NP_725637.1
OG0004097	XP_017893142.1	NP_001286067.1
OG0004098	XP_017878771.2	NP_726437.2
OG0004099	XP_017881782.1	NP_650205.1
OG0004100	XP_017878980.1, XP_017878981.1, XP_017878983.1	NP_609183.1
OG0004101	XP_017887968.1	NP_723188.1
OG0004102	XP_017880869.1	NP_001262443.1
OG0004103	XP_026667401.1, XP_026667400.1, XP_026667403.1	NP_001027038.3
OG0004105	XP_017883711.1	NP_001260476.1
OG0004106	XP_017890879.1, XP_017890877.1, XP_017877438.1	NP_649461.2
OG0004107	XP_017889118.1	NP_647638.1
OG0004108	XP_017889255.1	NP_788735.1
OG0004109	XP_017888013.1	NP_523920.1
OG0004110	XP_026674921.1	NP_611023.1
OG0004111	XP_017892715.1	NP_523982.2
OG0004112	XP_017892708.1	NP_608410.2
OG0004113	XP_017879191.1	NP_524712.1
OG0004114	XP_017888685.1, XP_017876691.1	NP_476905.1
OG0004116	XP_017882303.1	NP_651973.4
OG0004117	XP_017893044.1, XP_017893046.1	NP_648367.1
OG0004119	XP_017881491.1	NP_651939.4
OG0004120	XP_017883066.1	NP_001263153.1
OG0004121	XP_026667639.1, XP_017876503.1, XP_017876502.1, XP_017876504.1, XP_017876501.1	NP_523790.1
OG0004122	XP_026672956.1, XP_026672957.1	NP_648520.1
OG0004123	XP_017881210.1	NP_001260855.1
OG0004125	XP_017887625.1	NP_573215.1
OG0004126	XP_017884547.1	NP_001260594.1
OG0004128	XP_026670906.1, XP_017883270.1, XP_026670907.1	NP_001286068.1
OG0004129	XP_017880052.1	NP_001245829.1
OG0004130	XP_026667857.1	NP_001245938.1
OG0004131	XP_017887836.1	NP_001284898.1, NP_001284897.1
OG0004132	XP_017887421.1	NP_001285233.1
OG0004133	XP_017876260.1	NP_001259348.1
OG0004137	XP_017889721.1	NP_610611.1
OG0004138	XP_017882753.1	NP_001027221.1
OG0004139	XP_026671698.1	NP_001262795.1
OG0004140	XP_026673845.1	NP_476985.1
OG0004141	XP_026672712.1	NP_524372.1, NP_525036.2
OG0004142	XP_026668921.1	NP_723952.2
OG0004143	XP_017883879.1	NP_523942.2
OG0004144	XP_017878809.1	NP_001259820.1
OG0004145	XP_017890243.1, XP_026674302.1	NP_001097306.2
OG0004146	XP_017877375.1	NP_648847.3
OG0004147	XP_026673868.1	NP_001014556.1
OG0004148	XP_026668174.1, XP_026671885.1	NP_001245598.1
OG0004149	XP_017875738.1	NP_572236.3
OG0004150	XP_017889562.1	NP_649909.1
OG0004151	XP_026672271.1, XP_017876451.1	NP_648032.1
OG0004153	XP_026674293.1	NP_001036757.1
OG0004154	XP_017879258.2	NP_611433.3, NP_651549.1
OG0004155	XP_017892073.1	NP_524453.1
OG0004157	XP_026672865.1	NP_610845.1
OG0004158	XP_017883832.1	NP_001261442.1
OG0004159	XP_026670201.1	NP_609541.1
OG0004160	XP_017876695.1	NP_610297.2
OG0004161	XP_017880945.1	NP_610792.2
OG0004162	XP_017889997.1	NP_001097114.2
OG0004163	XP_017880497.1	NP_001260044.1
OG0004164	XP_017889618.1	NP_001097850.3
OG0004166	XP_017882476.1	NP_610783.1
OG0004167	XP_017890945.1	NP_001245796.1
OG0004168	XP_017880675.1	NP_651717.1
OG0004169	XP_017878622.1	NP_477088.2
OG0004170	XP_017885601.1	NP_001097606.1
OG0004171	XP_017887300.1, XP_017887301.1	NP_611857.3
OG0004172	XP_017879848.1	NP_476845.2
OG0004173	XP_017877809.2, XP_026673207.1	NP_001261621.2, NP_476855.1
OG0004174	XP_017892196.1	NP_001261172.1
OG0004175	XP_017892906.1	NP_001369072.1
OG0004176	XP_026674368.1, XP_026674316.1	NP_001246184.1
OG0004177	XP_026670522.1	NP_001260615.1
OG0004178	XP_026667211.1, XP_026667216.1	NP_001027420.2
OG0004180	XP_026674956.1	NP_001162639.2
OG0004181	XP_017886039.1	NP_477219.1
OG0004182	XP_026670452.1	NP_610116.2
OG0004183	XP_026666829.1	NP_001260578.1
OG0004184	XP_026674137.1	NP_477022.1
OG0004186	XP_026668377.1	NP_001097184.2
OG0004187	XP_017878252.1	NP_651004.1
OG0004188	XP_017893034.1	NP_608524.1
OG0004189	XP_026670641.1	NP_648455.2
OG0004190	XP_026673732.1	NP_001096996.1
OG0004191	XP_017883912.1	NP_001261503.1
OG0004192	XP_017879470.1	NP_651851.1
OG0004194	XP_017880486.1, XP_017880488.1	NP_001261636.1
OG0004195	XP_017886088.1	NP_001303365.1
OG0004196	XP_017877005.1	NP_572860.2, NP_608430.2, NP_650728.1
OG0004197	XP_017890303.1	NP_523924.1
OG0004198	XP_026674929.1	NP_652562.2
OG0004199	XP_017893319.1	NP_001259983.1
OG0004201	XP_017891896.2	NP_651849.1
OG0004202	XP_017885897.1	NP_001260133.1
OG0004203	XP_026670406.1	NP_648267.1
OG0004205	XP_017879804.1	NP_608637.1
OG0004206	XP_017893399.1	NP_610556.1
OG0004207	XP_017893583.1	NP_001286287.1, NP_001247263.1
OG0004209	XP_017891464.1	NP_001287316.1
OG0004211	XP_017886399.1	NP_726630.2
OG0004212	XP_017875744.1	NP_001260087.1
OG0004213	XP_017877855.1	NP_649590.1
OG0004214	XP_017890108.1	NP_524783.1, NP_001262446.1
OG0004215	XP_026672597.1, XP_017886608.1	NP_001260417.1
OG0004216	XP_026674809.1	NP_651298.1, NP_001097988.2, NP_001097987.1, NP_001287620.1, NP_001262833.1, NP_651535.1
OG0004219	XP_026669467.1	NP_648343.1
OG0004220	XP_026673519.1	NP_477041.1
OG0004222	XP_026672762.1	NP_611021.1
OG0004224	XP_026672372.1	NP_001189250.2
OG0004225	XP_017884794.1	NP_650989.6
OG0004226	XP_026671896.1	NP_001286529.1, NP_650027.1
OG0004228	XP_017879957.1	NP_001284939.1
OG0004229	XP_017893220.1	NP_001163414.1
OG0004230	XP_026671727.1	NP_001261376.1
OG0004231	XP_017889629.1	NP_001368969.1
OG0004232	XP_026672535.1, XP_026672541.1	NP_001262107.1
OG0004234	XP_026674324.1, XP_017890040.1	NP_610253.1
OG0004236	XP_017882823.1, XP_017882859.1	NP_001369050.1
OG0004237	XP_017878288.1	NP_001285677.1, NP_609042.1
OG0004238	XP_017876306.1	NP_724428.1
OG0004239	XP_026670665.1, XP_026667032.1, XP_017875246.2	NP_001260558.1
OG0004240	XP_017883444.1	NP_476601.1, NP_476732.1, NP_476600.1
OG0004241	XP_017882946.1	NP_001303313.1
OG0004242	XP_026673769.1	NP_001356934.1
OG0004243	XP_026669519.1	NP_648724.1
OG0004244	XP_026670474.1	NP_727768.1
OG0004245	XP_017892245.1	NP_001097964.1
OG0004246	XP_017889227.1, XP_017885719.1	NP_001014610.1
OG0004247	XP_017884309.1	NP_001260710.1
OG0004248	XP_026672608.1	NP_001137610.1
OG0004249	XP_017882373.1, XP_026670505.1	NP_610325.1
OG0004251	XP_026668835.1	NP_001259575.1
OG0004252	XP_026666972.1, XP_026669811.1	NP_001246441.1
OG0004253	XP_017888944.1	NP_722629.1
OG0004257	XP_017875386.1	NP_572166.1, NP_572616.1
OG0004258	XP_026669308.1	NP_001286256.1
OG0004264	XP_017878843.1, XP_026668733.1	NP_001188568.1
OG0004275	XP_017891647.1	NP_001287569.1
OG0004276	XP_017888969.1	NP_523774.1
OG0004277	XP_017889206.1	NP_523975.1
OG0004278	XP_017882377.1, XP_017882881.1	NP_524315.2
OG0004279	XP_017876915.1	NP_650333.1, NP_648622.1
OG0004280	XP_017885504.1	NP_650696.1, NP_648616.1, NP_648615.1
OG0004281	XP_017890810.1	NP_001188972.1
OG0004282	XP_017878496.1	NP_001097151.1, NP_001285794.1
OG0004283	XP_017892782.1	NP_001287481.1
OG0004284	XP_017888327.1, XP_017877104.1	NP_001245404.1
OG0004285	XP_017881532.1	NP_724783.1
OG0004286	XP_017891172.1	NP_001246362.1
OG0004287	XP_017885220.1	NP_001188682.1, NP_570087.1
OG0004288	XP_017890899.1	NP_572478.1
OG0004289	XP_017883735.1	NP_650780.1
OG0004290	XP_017884485.1	NP_001261742.1
OG0004291	XP_026669193.1	NP_650301.1
OG0004292	XP_017887289.1	NP_652048.2, NP_611164.3, NP_611165.2, NP_611163.2
OG0004293	XP_017893157.1, XP_017893178.1	NP_730662.2
OG0004294	XP_017889790.1	NP_001262039.1
OG0004295	XP_026674739.1	NP_001287206.1
OG0004296	XP_017879751.1	NP_476801.1, NP_001189086.1, NP_729707.1, NP_611169.1, NP_609447.1
OG0004297	XP_017885406.1, XP_017883980.1	NP_524938.1
OG0004298	XP_026667642.1	NP_524779.1
OG0004299	XP_017893528.1	NP_001137795.2
OG0004300	XP_017878425.1	NP_001287572.1
OG0004301	XP_017891382.1, XP_017891383.1, XP_017891379.1	NP_001285193.1
OG0004302	XP_017887422.1	NP_648377.1
OG0004303	XP_017885344.1	NP_001260495.1
OG0004304	XP_017890622.2, XP_026673043.1	NP_001260293.1
OG0004305	XP_017888977.1	NP_001259881.1
OG0004306	XP_017884826.1	NP_001262472.1
OG0004307	XP_017886895.1	NP_001188689.2
OG0004308	XP_017890666.1	NP_524051.1
OG0004309	XP_017891147.1	NP_001245541.1
OG0004310	XP_017882950.1, XP_026670812.1	NP_001137770.1
OG0004311	XP_017880002.1	NP_001246045.1
OG0004312	XP_017891210.1	NP_001261435.1
OG0004313	XP_017881955.1	NP_001285137.1
OG0004314	XP_017887516.1	NP_001285543.1
OG0004315	XP_017876702.1	NP_647792.1
OG0004316	XP_017887149.1	NP_001263104.1
OG0004317	XP_017891801.1	NP_001286731.1
OG0004318	XP_017887283.1	NP_001286506.1
OG0004320	XP_017876569.1	NP_731523.1
OG0004321	XP_017877345.1	NP_611092.2
OG0004322	XP_017876523.1	NP_001163347.1
OG0004323	XP_017890508.1	NP_001260233.1, NP_609197.2, NP_001260232.1
OG0004324	XP_017890996.1	NP_001286410.1
OG0004325	XP_017882817.1	NP_524275.1
OG0004326	XP_017884281.1	NP_610463.2
OG0004327	XP_026669043.1	NP_524452.4
OG0004328	XP_017875237.2	NP_724834.1
OG0004329	XP_017876609.1	NP_001259822.1
OG0004330	XP_017885500.1	NP_649676.1
OG0004331	XP_017883910.1	NP_647991.1
OG0004332	XP_017891742.1	NP_650987.1
OG0004333	XP_017890490.1, XP_017890492.1	NP_524260.1, NP_477414.1
OG0004334	XP_017884241.1	NP_001163571.1, NP_649912.1
OG0004335	XP_017883234.1	NP_610220.1
OG0004336	XP_017883157.1	NP_650322.1, NP_001285600.1, NP_001287079.2, NP_650017.1
OG0004337	XP_017875434.1	NP_001261269.1
OG0004338	XP_017883366.1	NP_609845.1
OG0004339	XP_017889572.1	NP_649908.1
OG0004340	XP_017875663.1	NP_001286348.1
OG0004341	XP_017886607.1	NP_609351.1
OG0004342	XP_017887609.1	NP_001097058.1
OG0004343	XP_017883523.1	NP_001097094.1
OG0004344	XP_017887130.1	NP_001259272.1
OG0004345	XP_017883415.1	NP_649252.1
OG0004346	XP_017877501.1, XP_017877502.1, XP_017877500.1	NP_609805.1
OG0004347	XP_017888559.1	NP_524207.1
OG0004348	XP_017883713.1	NP_001163845.1, NP_001015476.1
OG0004349	XP_017890261.2, XP_017888252.1	NP_611559.1
OG0004350	XP_017880095.1, XP_017880181.1	NP_001285449.1
OG0004351	XP_017883354.1	NP_525119.1
OG0004352	XP_017883884.1	NP_649028.3
OG0004353	XP_017891865.1	NP_001285310.1
OG0004354	XP_017883286.1	NP_001287035.1
OG0004355	XP_017885726.1	NP_536744.2
OG0004356	XP_017885672.1	NP_611425.1
OG0004357	XP_017883235.1	NP_572562.1
OG0004358	XP_017892641.1	NP_001286503.1
OG0004359	XP_017883310.1	NP_001189211.1
OG0004360	XP_017883129.1	NP_650056.1
OG0004361	XP_017892816.1, XP_017884079.1	NP_650673.1
OG0004362	XP_017891455.1	NP_001262304.1
OG0004363	XP_017878370.1, XP_017878434.1	NP_001261322.1
OG0004365	XP_017884645.1	NP_648494.2
OG0004366	XP_017878215.1	NP_523476.1
OG0004367	XP_026670784.1	NP_732020.2
OG0004368	XP_017879606.1	NP_524318.1
OG0004369	XP_017877101.1	NP_523582.4
OG0004370	XP_026674912.1	NP_001138143.2
OG0004371	XP_017888274.1	NP_648188.2
OG0004372	XP_017879251.1	NP_001262726.1
OG0004373	XP_017876974.1	NP_728447.2, NP_996529.1, NP_728443.1
OG0004374	XP_017887679.1	NP_001303568.1
OG0004375	XP_017890835.1	NP_608830.3
OG0004376	XP_017884035.2, XP_026671335.1	NP_647775.1
OG0004377	XP_017880760.1	NP_001138105.1
OG0004378	XP_017891050.1	NP_001137873.1
OG0004379	XP_017880144.1, XP_026669379.1	NP_001285662.1
OG0004381	XP_017883958.1	NP_001260780.1
OG0004382	XP_017888333.1	NP_996490.1
OG0004383	XP_017880101.1	NP_610545.1
OG0004384	XP_017891779.1	NP_609443.1
OG0004385	XP_017887412.1	NP_788616.1, NP_001189205.1
OG0004386	XP_017882362.1, XP_017886217.1	NP_611691.1
OG0004387	XP_017879509.1	NP_001285889.1
OG0004388	XP_026667435.1	NP_723505.2
OG0004389	XP_017891795.1	NP_523561.1
OG0004390	XP_017882895.1	NP_001286516.1, NP_001260386.1, NP_001259422.1, NP_648983.1
OG0004391	XP_017885164.1	NP_001260317.1
OG0004392	XP_017887710.1	NP_001287439.1
OG0004393	XP_026666452.1, XP_026666453.1	NP_610677.1
OG0004394	XP_017887811.1, XP_017892811.1	NP_650976.1
OG0004395	XP_017888972.1	NP_651456.1
OG0004396	XP_017891881.1	NP_610554.1
OG0004397	XP_017885008.1	NP_726779.1
OG0004398	XP_017893365.1	NP_476730.1, NP_476834.1
OG0004399	XP_026674495.1, XP_026674497.1	NP_001246624.1
OG0004400	XP_026671449.1	NP_729935.1
OG0004401	XP_017876057.1	NP_649256.1
OG0004402	XP_017887349.1	NP_524923.1
OG0004403	XP_017888042.1	NP_651498.1
OG0004404	XP_017881629.1	NP_524030.2
OG0004405	XP_017877492.1	NP_649570.1
OG0004406	XP_017875053.1	NP_733063.1
OG0004407	XP_026669358.1	NP_001162940.3, NP_995925.2
OG0004409	XP_017891517.1	NP_524182.3
OG0004410	XP_026668957.1	NP_651927.1
OG0004411	XP_017888759.1, XP_017888760.1	NP_001163296.1
OG0004412	XP_017882167.1	NP_609399.1
OG0004413	XP_026672412.1	NP_001137696.1
OG0004414	XP_017882511.1, XP_026670565.1, XP_026670562.1, XP_026670557.1	NP_001261930.1
OG0004415	XP_017882224.1	NP_001036718.1, NP_650551.1
OG0004416	XP_017875201.1	NP_001261410.1
OG0004417	XP_017875779.1	NP_001260142.1
OG0004418	XP_017879425.1	NP_610327.1, NP_724615.1
OG0004419	XP_017882967.1	NP_001097352.1
OG0004420	XP_017893622.1	NP_477283.1
OG0004421	XP_017884383.2	NP_650270.1
OG0004422	XP_026669909.1	NP_651243.1
OG0004423	XP_026667906.1, XP_026667380.1, XP_017876940.2	NP_001285908.1
OG0004424	XP_017886465.1	NP_001262473.1
OG0004425	XP_026674160.1	NP_608827.1
OG0004426	XP_017890223.1	NP_609783.1
OG0004427	XP_017887327.1	NP_001285801.1, NP_609721.1
OG0004428	XP_017882248.1	NP_648239.1
OG0004429	XP_017887408.1	NP_001259068.1
OG0004430	XP_017877321.1	NP_001259372.1
OG0004431	XP_026674202.1	NP_996303.1
OG0004432	XP_017892111.1	NP_001261247.1, NP_001261517.1
OG0004433	XP_017876426.1	NP_001287204.1, NP_524846.1
OG0004434	XP_017889923.1	NP_001285891.1
OG0004436	XP_017880780.1	NP_001259475.1
OG0004437	XP_017888892.1, XP_026673670.1	NP_001287385.1
OG0004438	XP_017884471.1	NP_650751.3
OG0004439	XP_017886250.2	NP_995932.1
OG0004440	XP_017884454.1	NP_611228.1
OG0004441	XP_017875933.1	NP_523951.1
OG0004443	XP_026668357.1	NP_611162.2
OG0004444	XP_017876088.1	NP_001260777.1
OG0004445	XP_017887309.1	NP_650123.1
OG0004446	XP_026675371.1	NP_001260104.1, NP_573142.1
OG0004447	XP_017884715.1	NP_001284739.1
OG0004448	XP_017883685.1	NP_608704.2, NP_001259956.1
OG0004449	XP_017884300.1	NP_788342.1
OG0004450	XP_017883705.1	NP_001285397.1
OG0004451	XP_017876685.1	NP_728642.2
OG0004452	XP_017883646.1	NP_732176.1
OG0004453	XP_026668986.1	NP_610921.1
OG0004454	XP_017891943.1	NP_524151.2
OG0004455	XP_017891631.1	NP_001287493.1
OG0004457	XP_017888912.1	NP_573232.1
OG0004458	XP_017892760.1	NP_608825.2
OG0004459	XP_026667587.1	NP_001162710.2
OG0004460	XP_017881783.1	NP_477121.1
OG0004461	XP_017886199.1, XP_017886137.1	NP_608740.2
OG0004462	XP_017880141.1, XP_026669377.1	NP_651528.2
OG0004463	XP_017875223.1	NP_001027435.2
OG0004464	XP_026670718.1	NP_001097493.1
OG0004465	XP_017875310.1	NP_649466.1
OG0004466	XP_017875012.1	NP_608999.2
OG0004467	XP_026674587.1, XP_017886089.1	NP_608883.1
OG0004469	XP_017876546.1	NP_572952.1
OG0004470	XP_017883225.1	NP_001259370.1
OG0004471	XP_017883501.1	NP_477202.2
OG0004472	XP_017877793.1	NP_001137613.1
OG0004473	XP_017892120.1	NP_524462.2
OG0004475	XP_017881804.1	NP_001262708.1
OG0004478	XP_017889224.1	NP_524183.2
OG0004479	XP_017887325.1	NP_610333.1
OG0004480	XP_017877925.1, XP_026668389.1	NP_651582.1
OG0004481	XP_026672791.1	NP_001259161.1
OG0004482	XP_026675154.1	NP_733068.2, NP_001261049.1
OG0004483	XP_017878961.1	NP_651314.1
OG0004484	XP_017883589.1	NP_608777.1
OG0004485	XP_017875881.1	NP_001247347.1
OG0004486	XP_026673399.1, XP_017888169.2	NP_608781.2
OG0004487	XP_017877043.2	NP_726358.2
OG0004489	XP_017891356.1	NP_651251.3
OG0004490	XP_017884077.1	NP_648780.1
OG0004491	XP_017884054.1	NP_650248.1
OG0004492	XP_026672254.1, XP_026672255.1, XP_017885657.1	NP_611300.2
OG0004493	XP_017887506.1	NP_651664.2
OG0004494	XP_017883800.1	NP_476901.1
OG0004495	XP_017882725.2	NP_724769.2
OG0004496	XP_017889384.1	NP_651349.1
OG0004498	XP_017876659.1	NP_001246734.1
OG0004499	XP_017889745.1	NP_733352.3
OG0004500	XP_017889816.1	NP_651635.2
OG0004501	XP_017892115.1	NP_523615.2, NP_001260679.1
OG0004502	XP_017885546.1	NP_001247091.1
OG0004503	XP_026669037.1	NP_001027230.1
OG0004504	XP_017892859.1	NP_001286484.1
OG0004505	XP_017887257.1	NP_608388.2
OG0004506	XP_017892021.1	NP_001286174.1
OG0004507	XP_017879888.1, XP_026674493.1	NP_001263099.1, NP_001303460.1
OG0004508	XP_026674529.1, XP_017890439.1	NP_569873.1
OG0004509	XP_017892310.1	NP_001286999.1
OG0004510	XP_017886378.1	NP_732773.1
OG0004511	XP_017877795.1	NP_650686.1
OG0004512	XP_017886641.1	NP_476975.1
OG0004513	XP_026667223.1, XP_026667222.1, XP_017875740.1	NP_648570.1
OG0004514	XP_017881520.1	NP_001260173.1
OG0004515	XP_017877465.1	NP_001285130.1
OG0004516	XP_017887563.1	NP_650432.1
OG0004517	XP_017888636.1, XP_017883937.1	NP_787963.2
OG0004518	XP_017892960.1	NP_650939.2
OG0004519	XP_017892862.1	NP_001262894.1
OG0004520	XP_017892122.1	NP_001245456.1
OG0004521	XP_017889794.1	NP_511044.1
OG0004523	XP_017878515.1	NP_001259649.1
OG0004524	XP_017892594.1	NP_572945.1
OG0004526	XP_017875588.1	NP_001163323.1
OG0004527	XP_017885729.1	NP_001260639.1
OG0004528	XP_017886419.1	NP_001262168.1
OG0004529	XP_017886410.1	NP_651081.1
OG0004530	XP_026668310.1	NP_001260420.1
OG0004531	XP_017885061.2	NP_001261906.1
OG0004532	XP_017884001.1	NP_523465.2
OG0004533	XP_017883426.2	NP_001262116.1
OG0004534	XP_017886159.1	NP_001286215.1
OG0004535	XP_017879379.1	NP_612103.1
OG0004536	XP_017881935.1	NP_523708.2
OG0004537	XP_026668276.1	NP_610279.3
OG0004538	XP_017879394.1	NP_572638.1
OG0004539	XP_017875108.1	NP_001260821.1
OG0004540	XP_026667072.1, XP_017875361.1	NP_476979.1
OG0004541	XP_026673130.1	NP_524344.1
OG0004542	XP_017879097.1	NP_001260580.1
OG0004544	XP_017890193.1	NP_524673.3
OG0004545	XP_017886820.1	NP_001284713.1
OG0004547	XP_017883600.1	NP_001015473.1
OG0004549	XP_017883153.1	NP_651718.1
OG0004550	XP_017888498.1	NP_573230.1
OG0004551	XP_017881475.1	NP_001245759.1
OG0004552	XP_017882606.1	NP_733044.1
OG0004553	XP_017881235.1	NP_001261278.1
OG0004554	XP_017891839.1	NP_573190.1
OG0004555	XP_017876233.1	NP_725632.1
OG0004556	XP_026672523.1, XP_026672354.1	NP_001163123.1
OG0004557	XP_017876858.1	NP_651691.4
OG0004558	XP_017877322.1	NP_649079.2
