Orthogroup	Ceratina_calcarata	Nasonia_vitripennis
OG0004169	XP_017878622.1	XP_001602491.2
OG0004170	XP_017885601.1	XP_008202160.1
OG0004171	XP_017887300.1, XP_017887301.1	XP_001602244.1
OG0004172	XP_017879848.1	XP_016840931.1
OG0004173	XP_026673207.1	XP_001600998.4
OG0004174	XP_017892196.1	XP_031785454.1
OG0004175	XP_017892906.1	XP_032454099.1, XP_001605514.1
OG0004177	XP_026670522.1	NP_001123296.1, XP_008212386.1
OG0004178	XP_026667211.1, XP_026667216.1	XP_031779309.1
OG0004179	XP_017882310.1	XP_016845572.1
OG0004180	XP_026674956.1	XP_031778197.1
OG0004181	XP_017886039.1	XP_001601897.1
OG0004182	XP_026670452.1	XP_016843920.1
OG0004183	XP_026666829.1	XP_008210993.1
OG0004184	XP_026674137.1	NP_001154957.1, XP_031784199.1, XP_031784200.1
OG0004185	XP_017881182.1	XP_016843196.1, NP_001123261.1
OG0004186	XP_026668377.1	XP_031777165.1
OG0004187	XP_017878252.1	XP_031783322.1
OG0004188	XP_017893034.1	XP_001608003.2
OG0004189	XP_026670641.1	XP_031778818.1
OG0004190	XP_026673732.1	XP_001600658.1
OG0004191	XP_017883912.1	XP_001606740.2
OG0004192	XP_017879470.1	XP_003425426.1
OG0004195	XP_017886088.1	XP_001599294.1
OG0004196	XP_017877005.1	XP_001602923.1
OG0004197	XP_017890303.1	XP_008213962.2
OG0004198	XP_026674929.1	XP_008202155.1
OG0004201	XP_017891896.2	XP_008214961.1
OG0004202	XP_017885897.1	XP_016839855.1
OG0004203	XP_026670406.1	XP_001602445.1
OG0004204	XP_017876743.1	XP_001607098.1
OG0004205	XP_017879804.1	XP_016841539.1
OG0004206	XP_017893399.1	XP_031785002.1
OG0004207	XP_017893583.1	XP_008205463.2
OG0004209	XP_017891464.1	XP_016845478.1
OG0004211	XP_017886399.1	XP_031787943.1, XP_031787941.1
OG0004212	XP_017875744.1	XP_016836989.1, NP_001162020.1
OG0004213	XP_017877855.1	XP_001608222.3
OG0004214	XP_017890108.1	XP_001601026.2
OG0004215	XP_026672597.1, XP_017886608.1	XP_001606189.2, XP_008217818.1
OG0004216	XP_026674809.1	XP_032451799.1
OG0004217	XP_017892712.1	XP_031781741.1
OG0004218	XP_017889079.1	XP_016841537.1
OG0004219	XP_026669467.1	XP_031782091.1, XP_031782087.1, XP_031782090.1, XP_032455882.1
OG0004220	XP_026673519.1	XP_016837607.1, XP_008204292.1
OG0004222	XP_026672762.1	XP_031778595.1, XP_032453535.1, XP_031778596.1
OG0004224	XP_026672372.1	XP_008206368.1, XP_008206370.1, XP_001605471.2, XP_031783422.1
OG0004225	XP_017884794.1	XP_016839287.1, XP_001605576.2
OG0004227	XP_026666771.1	XP_003424088.1, XP_008212644.1
OG0004228	XP_017879957.1	XP_001607781.1
OG0004229	XP_017893220.1	XP_032454486.1, XP_016839267.1, XP_001605909.1
OG0004230	XP_026671727.1	XP_008212759.1
OG0004231	XP_017889629.1	XP_031777323.1
OG0004232	XP_026672535.1, XP_026672541.1	XP_008214659.1
OG0004233	XP_017888172.1	XP_001600020.1, XP_032453791.1
OG0004235	XP_017887823.1	XP_001606745.4
OG0004236	XP_017882823.1, XP_017882859.1	XP_032452052.1
OG0004237	XP_017878288.1	XP_031777130.1
OG0004238	XP_017876306.1	XP_016842762.1
OG0004239	XP_026670665.1, XP_026667032.1, XP_017875246.2	XP_031778514.1
OG0004240	XP_017883444.1	XP_003424798.1
OG0004241	XP_017882946.1	XP_031786546.1
OG0004242	XP_026673769.1	XP_001602639.2, XP_008210336.1
OG0004243	XP_026669519.1	XP_001605015.1
OG0004244	XP_026670474.1	XP_016844477.1, XP_016844479.1, XP_016844480.1
OG0004245	XP_017892245.1	XP_001601787.1
OG0004247	XP_017884309.1	XP_031786686.1, XP_031786683.1
OG0004248	XP_026672608.1	XP_031782605.1
OG0004250	XP_017883483.1	XP_008216140.1
OG0004251	XP_026668835.1	XP_001603329.2
OG0004252	XP_026666972.1, XP_026669811.1	XP_008204076.1
OG0004253	XP_017888944.1	XP_008207398.1, XP_008207406.1, XP_032456145.1
OG0004258	XP_026669308.1	XP_008209599.2
OG0004259	XP_026669156.1	XP_016836718.1
OG0004260	XP_017891624.1	XP_031782321.1
OG0004261	XP_017882457.1	XP_001601019.1
OG0004262	XP_017880863.1	XP_003426821.1
OG0004264	XP_017878843.1, XP_026668733.1	XP_008204877.1
OG0004265	XP_026672516.1, XP_017886334.1, XP_017886333.1	XP_016836734.1, XP_001603494.1
OG0004266	XP_026669866.1	XP_032454171.1, XP_008206308.1, XP_032454173.1, XP_032454172.1
OG0004267	XP_017875315.2	XP_016844442.1
OG0004269	XP_017882805.2	XP_008216319.1
OG0004272	XP_026673572.1, XP_026667454.1	XP_031783513.1, XP_008204717.1
OG0004275	XP_017891647.1	XP_008212869.1, XP_016836745.1
OG0004276	XP_017888969.1	XP_001607320.1
OG0004277	XP_017889206.1	XP_016840872.2
OG0004278	XP_017882377.1, XP_017882881.1	XP_001599263.1
OG0004279	XP_017876915.1	XP_001599992.1
OG0004280	XP_017885504.1	XP_031782297.1, XP_032454591.1
OG0004281	XP_017890810.1	XP_031786924.1
OG0004282	XP_017878496.1	XP_032453267.1
OG0004283	XP_017892782.1	XP_001599651.1
OG0004284	XP_017888327.1, XP_017877104.1	XP_001601315.1
OG0004285	XP_017881532.1	XP_001599436.1
OG0004286	XP_017891172.1	XP_001604624.2
OG0004287	XP_017885220.1	XP_001599521.1
OG0004288	XP_017890899.1	XP_001601679.2
OG0004290	XP_017884485.1	NP_001165796.1
OG0004291	XP_026669193.1	XP_031785552.1
OG0004292	XP_017887289.1	XP_031786281.1
OG0004293	XP_017893157.1, XP_017893178.1	XP_001604605.1
OG0004294	XP_017889790.1	XP_032457630.1
OG0004296	XP_017879751.1	XP_001600237.1
OG0004297	XP_017885406.1, XP_017883980.1	XP_001604116.2
OG0004298	XP_026667642.1	XP_003424726.1
OG0004299	XP_017893528.1	XP_001600672.1
OG0004300	XP_017878425.1	NP_001177991.1
OG0004301	XP_017891382.1, XP_017891383.1, XP_017891379.1	XP_001608106.1
OG0004302	XP_017887422.1	XP_003425853.1
OG0004303	XP_017885344.1	XP_031780147.1
OG0004304	XP_017890622.2, XP_026673043.1	XP_008214316.1
OG0004305	XP_017888977.1	XP_001600591.1
OG0004306	XP_017884826.1	NP_001164371.1, XP_031789334.1
OG0004307	XP_017886895.1	XP_001607671.1, XP_003426362.1
OG0004308	XP_017890666.1	XP_001599029.1
OG0004309	XP_017891147.1	XP_001607296.1
OG0004310	XP_017882950.1, XP_026670812.1	NP_001165800.1
OG0004311	XP_017880002.1	XP_001608041.1
OG0004312	XP_017891210.1	XP_032458141.1, XP_001606354.1
OG0004313	XP_017881955.1	XP_001602517.1
OG0004314	XP_017887516.1	XP_031788134.1, XP_031788135.1
OG0004315	XP_017876702.1	XP_008210868.1, XP_031784270.1, XP_032457040.1
OG0004316	XP_017887149.1	XP_032455884.1, NP_001166224.1
OG0004317	XP_017891801.1	XP_003427491.1
OG0004318	XP_017887283.1	XP_001599931.4
OG0004319	XP_017880134.1	XP_001607405.1
OG0004320	XP_017876569.1	XP_016845182.1
OG0004321	XP_017877345.1	XP_001605340.1
OG0004322	XP_017876523.1	XP_001601986.1
OG0004323	XP_017890508.1	XP_016839905.1
OG0004324	XP_017890996.1	XP_001600581.1
OG0004325	XP_017882817.1	XP_001605669.5
OG0004326	XP_017884281.1	XP_001606816.2
OG0004327	XP_026669043.1	XP_016840702.1
OG0004328	XP_017875237.2	XP_031781845.1
OG0004329	XP_017876609.1	XP_001602423.1
OG0004330	XP_017885500.1	XP_032458022.1, NP_001153396.1
OG0004331	XP_017883910.1	XP_001599142.1
OG0004332	XP_017891742.1	XP_032456228.1, XP_032456229.1
OG0004333	XP_017890490.1, XP_017890492.1	XP_008217199.1, XP_031787639.1
OG0004334	XP_017884241.1	XP_001604232.1
OG0004335	XP_017883234.1	XP_001603320.1
OG0004337	XP_017875434.1	XP_008211109.1
OG0004338	XP_017883366.1	XP_032458143.1, XP_008202847.1
OG0004339	XP_017889572.1	XP_001601774.2
OG0004340	XP_017875663.1	XP_008209366.1
OG0004341	XP_017886607.1	XP_031779467.1, XP_016838187.1, XP_001604027.1
OG0004342	XP_017887609.1	XP_001606434.1
OG0004343	XP_017883523.1	XP_016841865.1, XP_032456479.1, XP_032456478.1
OG0004344	XP_017887130.1	XP_031780228.1, XP_008204225.1
OG0004345	XP_017883415.1	XP_008213201.1, XP_016844510.1
OG0004346	XP_017877501.1, XP_017877502.1, XP_017877500.1	XP_016841493.1
OG0004347	XP_017888559.1	XP_008202058.1
OG0004348	XP_017883713.1	XP_016840502.1
OG0004349	XP_017890261.2, XP_017888252.1	XP_001600131.1
OG0004350	XP_017880095.1, XP_017880181.1	NP_001135928.1
OG0004351	XP_017883354.1	XP_001604248.1
OG0004352	XP_017883884.1	XP_031780106.1
OG0004353	XP_017891865.1	XP_001599995.1
OG0004354	XP_017883286.1	XP_001601440.1
OG0004355	XP_017885726.1	XP_001607466.1
OG0004356	XP_017885672.1	XP_001608286.1
OG0004357	XP_017883235.1	XP_032453536.1, XP_008202134.1
OG0004358	XP_017892641.1	XP_001607380.1
OG0004359	XP_017883310.1	XP_016838278.1
OG0004360	XP_017883129.1	XP_001599974.1, XP_008212160.1
OG0004361	XP_017892816.1, XP_017884079.1	XP_001607765.1
OG0004362	XP_017891455.1	XP_001601931.1
OG0004363	XP_017878370.1, XP_017878434.1	XP_003426032.1
OG0004364	XP_017877794.1	XP_001606194.1
OG0004365	XP_017884645.1	XP_031788850.1
OG0004366	XP_017878215.1	XP_016838999.1
OG0004367	XP_026670784.1	XP_016842356.1, XP_031787826.1
OG0004368	XP_017879606.1	XP_001604544.1
OG0004369	XP_017877101.1	XP_001602477.1
OG0004370	XP_026674912.1	XP_031778743.1
OG0004371	XP_017888274.1	XP_031778755.1
OG0004372	XP_017879251.1	XP_001607806.1
OG0004373	XP_017876974.1	XP_003425407.1
OG0004374	XP_017887679.1	XP_031784742.1
OG0004375	XP_017890835.1	XP_001606810.1, XP_001605455.1
OG0004376	XP_017884035.2, XP_026671335.1	NP_001165786.1
OG0004377	XP_017880760.1	XP_003427142.1
OG0004378	XP_017891050.1	XP_001605744.1
OG0004379	XP_017880144.1, XP_026669379.1	NP_001129999.1, NP_001123319.1
OG0004380	XP_017891555.1	XP_001607148.2
OG0004381	XP_017883958.1	XP_032456652.1, XP_016844793.1
OG0004382	XP_017888333.1	XP_031787843.1
OG0004383	XP_017880101.1	XP_001601565.2, XP_032453042.1
OG0004384	XP_017891779.1	XP_032455793.1, XP_031784472.1
OG0004385	XP_017887412.1	XP_001604751.2, XP_031779295.1
OG0004386	XP_017882362.1, XP_017886217.1	XP_001603645.1
OG0004387	XP_017879509.1	NP_001165792.1, XP_032453596.1
OG0004388	XP_026667435.1	XP_001607019.1
OG0004390	XP_017882895.1	XP_032453917.1
OG0004391	XP_017885164.1	XP_031789592.1
OG0004392	XP_017887710.1	XP_001606566.1
OG0004393	XP_026666452.1, XP_026666453.1	XP_001601927.1
OG0004394	XP_017887811.1, XP_017892811.1	XP_008214868.1
OG0004395	XP_017888972.1	XP_016839781.1
OG0004396	XP_017891881.1	XP_001599473.1, XP_031777062.1
OG0004397	XP_017885008.1	XP_008209419.1
OG0004398	XP_017893365.1	XP_001602513.2
OG0004399	XP_026674495.1, XP_026674497.1	XP_031786364.1
OG0004400	XP_026671449.1	XP_008217081.1, XP_008217080.1, XP_001605933.1
OG0004401	XP_017876057.1	XP_016840231.1, XP_008213570.1
OG0004402	XP_017887349.1	XP_032455284.1
OG0004403	XP_017888042.1	XP_001600425.2
OG0004404	XP_017881629.1	XP_001600970.1
OG0004405	XP_017877492.1	XP_008216953.1
OG0004406	XP_017875053.1	XP_008209811.2
OG0004407	XP_026669358.1	XP_001603923.2
OG0004409	XP_017891517.1	XP_001603463.2
OG0004410	XP_026668957.1	XP_001603490.1
OG0004411	XP_017888759.1, XP_017888760.1	NP_001165825.1
OG0004412	XP_017882167.1	XP_031784838.1
OG0004413	XP_026672412.1	XP_031779715.1
OG0004414	XP_017882511.1, XP_026670565.1, XP_026670562.1, XP_026670557.1	XP_001603614.1
OG0004415	XP_017882224.1	XP_032456579.1
OG0004416	XP_017875201.1	XP_001599252.1
OG0004417	XP_017875779.1	XP_031782817.1
OG0004418	XP_017879425.1	XP_008213189.1
OG0004419	XP_017882967.1	XP_008208460.1
OG0004420	XP_017893622.1	XP_001605577.1
OG0004421	XP_017884383.2	XP_008211139.1
OG0004422	XP_026669909.1	XP_016840410.1
OG0004423	XP_026667906.1, XP_026667380.1, XP_017876940.2	XP_001600174.3
OG0004424	XP_017886465.1	XP_001601586.1
OG0004425	XP_026674160.1	XP_016837588.1
OG0004426	XP_017890223.1	XP_016838465.1
OG0004427	XP_017887327.1	NP_001239116.1
OG0004428	XP_017882248.1	XP_001607123.1
OG0004429	XP_017887408.1	XP_008210683.1
OG0004430	XP_017877321.1	XP_003426842.1
OG0004431	XP_026674202.1	XP_003426485.1
OG0004432	XP_017892111.1	XP_031787922.1
OG0004433	XP_017876426.1	XP_031778784.1
OG0004434	XP_017889923.1	XP_008209044.1
OG0004436	XP_017880780.1	XP_031778643.1
OG0004437	XP_017888892.1, XP_026673670.1	XP_031777399.1
OG0004438	XP_017884471.1	XP_001605516.1
OG0004439	XP_017886250.2	XP_001605490.2
OG0004440	XP_017884454.1	XP_003423811.1
OG0004441	XP_017875933.1	XP_001601672.2
OG0004443	XP_026668357.1	XP_031784985.1
OG0004444	XP_017876088.1	XP_016844704.1
OG0004445	XP_017887309.1	XP_001607634.2, XP_008212805.1
OG0004446	XP_026675371.1	XP_001604041.1
OG0004448	XP_017883685.1	XP_001606843.2
OG0004449	XP_017884300.1	XP_008202566.1
OG0004450	XP_017883705.1	XP_001599427.2
OG0004451	XP_017876685.1	XP_001605664.2
OG0004452	XP_017883646.1	XP_031784554.1
OG0004453	XP_026668986.1	XP_008217215.1
OG0004454	XP_017891943.1	XP_016841360.1
OG0004455	XP_017891631.1	XP_001604655.2, XP_032455617.1
OG0004457	XP_017888912.1	XP_003424936.1
OG0004458	XP_017892760.1	XP_001600124.2
OG0004459	XP_026667587.1	XP_032452494.1
OG0004460	XP_017881783.1	XP_008204892.1
OG0004461	XP_017886199.1, XP_017886137.1	XP_031787778.1
OG0004462	XP_017880141.1, XP_026669377.1	XP_003427474.2
OG0004463	XP_017875223.1	XP_031788923.1
OG0004464	XP_026670718.1	XP_031779051.1
OG0004465	XP_017875310.1	XP_001607418.1
OG0004466	XP_017875012.1	XP_001603166.1
OG0004467	XP_026674587.1, XP_017886089.1	XP_031779097.1, XP_031779096.1
OG0004468	XP_026669666.1, XP_017880757.1	XP_003427163.1
OG0004469	XP_017876546.1	XP_001602117.1, XP_008209466.1, XP_008209537.1
OG0004470	XP_017883225.1	NP_001135956.1
OG0004471	XP_017883501.1	XP_016845356.1, XP_031786585.1
OG0004472	XP_017877793.1	XP_008203181.1, XP_008203183.1, XP_003425618.1, XP_032457697.1
OG0004473	XP_017892120.1	XP_031784892.1
OG0004474	XP_026670238.1, XP_026670311.1	XP_032457070.1, XP_031788147.1
OG0004475	XP_017881804.1	XP_008206889.1
OG0004476	XP_017878435.1	XP_001606653.1, XP_031787771.1
OG0004477	XP_017886406.1, XP_017886408.1	XP_008214656.1, XP_001604771.1
OG0004478	XP_017889224.1	XP_001605463.2
OG0004479	XP_017887325.1	NP_001164373.1
OG0004480	XP_017877925.1, XP_026668389.1	XP_031784019.1
OG0004481	XP_026672791.1	XP_031780219.1, XP_031780218.1
OG0004482	XP_026675154.1	XP_016840476.1
OG0004483	XP_017878961.1	XP_001602222.2
OG0004484	XP_017883589.1	XP_031780551.1
OG0004485	XP_017875881.1	XP_016839810.1
OG0004486	XP_026673399.1, XP_017888169.2	XP_016839152.1
OG0004487	XP_017877043.2	XP_016842854.1
OG0004489	XP_017891356.1	XP_016842569.1
OG0004490	XP_017884077.1	XP_008208557.1
OG0004491	XP_017884054.1	XP_001601275.1
OG0004492	XP_026672254.1, XP_026672255.1, XP_017885657.1	XP_001603995.1
OG0004493	XP_017887506.1	XP_031788045.1
OG0004494	XP_017883800.1	XP_031785430.1
OG0004495	XP_017882725.2	XP_031788552.1, XP_008202006.1, XP_031788553.1
OG0004496	XP_017889384.1	XP_008210042.1
OG0004497	XP_017883393.1	XP_001607196.1
OG0004498	XP_017876659.1	XP_001605274.1
OG0004499	XP_017889745.1	XP_008207466.1
OG0004500	XP_017889816.1	XP_001606470.2
OG0004501	XP_017892115.1	XP_008205409.1
OG0004502	XP_017885546.1	XP_031788726.1, XP_032458025.1
OG0004503	XP_026669037.1	NP_001153363.1, XP_032452173.1
OG0004504	XP_017892859.1	XP_001605206.3
OG0004505	XP_017887257.1	XP_008209733.1
OG0004506	XP_017892021.1	XP_008207561.1
OG0004507	XP_017879888.1, XP_026674493.1	XP_032457614.1
OG0004508	XP_026674529.1, XP_017890439.1	XP_016843042.1
OG0004509	XP_017892310.1	XP_003427446.1, XP_008210885.1, XP_016844859.1
OG0004510	XP_017886378.1	XP_008209535.1
OG0004511	XP_017877795.1	XP_001605806.1
OG0004512	XP_017886641.1	XP_016842114.1, XP_031784773.1, XP_032451986.1
OG0004513	XP_026667223.1, XP_026667222.1, XP_017875740.1	XP_001605095.2
OG0004514	XP_017881520.1	XP_016842217.1
OG0004515	XP_017877465.1	XP_031778917.1
OG0004516	XP_017887563.1	XP_001608289.1
OG0004517	XP_017888636.1, XP_017883937.1	XP_032452524.1, XP_001603817.1
OG0004518	XP_017892960.1	XP_031777199.1
OG0004519	XP_017892862.1	XP_001607227.3
OG0004520	XP_017892122.1	XP_001606721.1
OG0004521	XP_017889794.1	XP_001606664.1
OG0004522	XP_026668988.1, XP_026668990.1	XP_008210041.1
OG0004523	XP_017878515.1	XP_031786243.1
OG0004524	XP_017892594.1	XP_001607859.2
OG0004525	XP_017882589.1	XP_008213871.1
OG0004526	XP_017875588.1	XP_001607411.1
OG0004527	XP_017885729.1	XP_008210569.1, XP_001604337.2
OG0004528	XP_017886419.1	XP_001604762.1
OG0004529	XP_017886410.1	XP_001607463.4
OG0004530	XP_026668310.1	XP_031780547.1
OG0004531	XP_017885061.2	XP_008212661.1
OG0004532	XP_017884001.1	XP_001604678.1, XP_001604652.2
OG0004533	XP_017883426.2	NP_001165787.1
OG0004534	XP_017886159.1	XP_031779575.1
OG0004535	XP_017879379.1	XP_031779947.1, NP_001135813.1
OG0004536	XP_017881935.1	NP_001177858.1
OG0004538	XP_017879394.1	NP_001135930.1, XP_031784823.1, NP_001135929.1
OG0004539	XP_017875108.1	XP_008206894.1
OG0004540	XP_026667072.1, XP_017875361.1	XP_001603968.2
OG0004541	XP_026673130.1	XP_016838706.1, NP_001154985.1
OG0004542	XP_017879097.1	XP_032456777.1
OG0004543	XP_017885177.1	XP_008211029.1
OG0004544	XP_017890193.1	XP_001600218.2
OG0004545	XP_017886820.1	XP_001603533.1
OG0004546	XP_017887750.1	XP_001607594.1
OG0004547	XP_017883600.1	XP_031786385.1
OG0004548	XP_017887095.1	XP_008212508.1
OG0004549	XP_017883153.1	XP_032455794.1, XP_008211638.1, XP_031784474.1, XP_001607064.1
OG0004550	XP_017888498.1	XP_016845611.1
OG0004551	XP_017881475.1	XP_031788899.1
OG0004552	XP_017882606.1	XP_032456773.1, XP_001604075.1
OG0004553	XP_017881235.1	XP_031786883.1
OG0004554	XP_017891839.1	XP_001602586.2
OG0004555	XP_017876233.1	XP_001600008.1
OG0004556	XP_026672523.1, XP_026672354.1	XP_003427188.3
OG0004558	XP_017877322.1	XP_001599386.1
OG0004559	XP_017880396.1	XP_001603072.2
OG0004560	XP_017893097.1	XP_001604739.2
OG0004561	XP_017878390.1	XP_001605350.2
OG0004562	XP_017880359.1	XP_001607424.1
OG0004563	XP_017883939.1, XP_017887282.1	XP_001603051.1
OG0004564	XP_017893186.1	XP_032455063.1, XP_031785023.1, XP_031785025.1
OG0004566	XP_017878967.1, XP_017878977.1, XP_026668850.1, XP_017878985.1	XP_032455040.1
OG0004567	XP_017881019.1	XP_001602744.1, XP_008202398.1, XP_008202397.1
OG0004568	XP_017892033.1	XP_001601226.2
OG0004569	XP_017882569.1	XP_001607663.1
OG0004570	XP_017891134.1	XP_003424096.3
OG0004571	XP_017891592.1	XP_008207422.1
OG0004572	XP_017886138.1	XP_032452916.1, XP_031778495.1
OG0004573	XP_026666587.1, XP_017888674.1	XP_031786376.1
OG0004574	XP_026666509.1, XP_017893016.1	XP_031781620.1
OG0004575	XP_017891840.1	XP_031788603.2
OG0004576	XP_017884083.2	XP_001606117.1
OG0004577	XP_026669003.1	XP_016841168.1
OG0004578	XP_017890076.1	XP_001606157.2
OG0004579	XP_026667864.1, XP_017877000.1	XP_031780916.1
OG0004580	XP_026669445.1	XP_008204012.1
OG0004581	XP_017880936.1	XP_001604224.1
OG0004582	XP_017875364.1	XP_031785043.1
OG0004583	XP_017889399.1	XP_001605510.1
OG0004584	XP_017889651.1	XP_016841310.1
OG0004585	XP_026671954.1, XP_017885173.1	XP_001604462.2
OG0004586	XP_017877386.1	XP_003427086.1
OG0004587	XP_017878631.1	XP_001604870.1
OG0004588	XP_017884275.1	XP_008204705.1
OG0004589	XP_017891576.1	XP_016843432.1, XP_001600627.1
OG0004590	XP_017879245.1, XP_026668948.1	XP_001606554.1, XP_032454044.1
OG0004591	XP_017878753.1	XP_031783915.1
OG0004592	XP_017886383.1	XP_031784052.1
OG0004593	XP_017892530.1	XP_003425019.1
OG0004594	XP_017883607.1	XP_031785490.1
OG0004595	XP_017887703.1	XP_032454901.1, XP_001600084.1, XP_008205617.1
OG0004596	XP_017878136.1	XP_001606449.1
OG0004597	XP_017878697.1	XP_016840891.1
OG0004598	XP_017886759.1	XP_001604635.1
OG0004599	XP_017877131.1	XP_001606153.1
OG0004600	XP_026668463.1	XP_001606300.1
OG0004601	XP_017875703.1	XP_001606212.1
OG0004602	XP_017890804.1	XP_008214875.1
OG0004603	XP_017893408.1	XP_031784671.1
OG0004604	XP_026674295.1	XP_016845222.1
OG0004605	XP_017890444.1	XP_001606512.1
OG0004606	XP_017887166.1	XP_016837669.1
OG0004607	XP_017875733.1	XP_031778318.1, NP_001161279.1
OG0004608	XP_017878724.1, XP_017878725.1	XP_001600495.1
OG0004609	XP_017876870.1	XP_001604831.2
OG0004610	XP_017880803.1	XP_008207083.2
OG0004611	XP_017892492.1, XP_017892493.1	XP_001602732.1
OG0004612	XP_017883534.1	XP_001604036.1
OG0004613	XP_017885623.1, XP_026670034.1, XP_017881401.1	XP_032453086.1, XP_031779618.1
OG0004614	XP_017886984.1	XP_001605802.1
OG0004615	XP_017885935.1	XP_001604956.1
OG0004616	XP_026675627.1	XP_008202915.1
OG0004617	XP_017878933.1	XP_008201854.1
OG0004618	XP_017889178.1	XP_031788928.1, XP_032458069.1
OG0004619	XP_017891651.1, XP_017890305.1	XP_001600793.1, XP_031786715.1
OG0004620	XP_017886799.1	XP_001600640.1
OG0004621	XP_017881727.1, XP_026670152.1	XP_001603850.1
OG0004622	XP_017889395.1	XP_008210037.1
OG0004623	XP_026672007.1	XP_008217670.1
OG0004624	XP_026673028.1, XP_026673029.1, XP_017887464.1	XP_001607054.2
OG0004625	XP_026667796.1	XP_032454022.1
OG0004626	XP_026668434.1	XP_031781518.1
OG0004627	XP_017875739.1	XP_001604707.1
OG0004628	XP_017875016.1, XP_017891015.1	XP_001605022.1
OG0004629	XP_017893522.1	XP_008211498.1
OG0004630	XP_017882013.1	XP_003428131.1
OG0004631	XP_017891702.1	XP_008205991.1
OG0004632	XP_017885852.1	XP_031789021.1, XP_001602235.1
OG0004633	XP_017889222.1	XP_001600308.4
OG0004634	XP_017879077.1	XP_016840959.1
OG0004635	XP_017886573.1	XP_008217825.1
OG0004636	XP_017881698.1	NP_001177674.1
OG0004637	XP_017888256.1	XP_031778753.1
OG0004638	XP_017884031.1	XP_031778918.1
OG0004639	XP_017877926.1	XP_001604267.2
OG0004640	XP_017881654.1	XP_031778714.1
OG0004644	XP_017886483.1, XP_026672491.1	XP_008210207.1
OG0004645	XP_017881271.1	XP_016841714.2
OG0004646	XP_017888024.1	NP_001153349.1, XP_008215027.1
OG0004647	XP_017878171.1	XP_008207245.1
OG0004648	XP_017876055.1	XP_001605957.1
OG0004649	XP_026674366.1, XP_026674364.1, XP_017890119.2	XP_008214839.1
OG0004650	XP_026674298.1	XP_001600471.1
OG0004651	XP_017890081.1	XP_008205900.1
OG0004653	XP_017875906.1	XP_016845506.1
OG0004654	XP_017889408.1	XP_001608291.1
OG0004655	XP_017890582.1	XP_016845921.1
OG0004656	XP_017879578.1	XP_031788283.1
OG0004657	XP_017879639.1	XP_008216177.1
OG0004659	XP_017893165.1	XP_003425313.2
OG0004660	XP_017892359.1	XP_032451923.1, XP_001606818.1
OG0004661	XP_017892440.1	XP_001606637.2
OG0004662	XP_017883606.1	XP_003426460.1
OG0004663	XP_017889387.1	XP_001608023.1
OG0004664	XP_017892680.1	XP_008206323.1
OG0004665	XP_017884612.1	XP_031788691.1
OG0004666	XP_017881521.1	XP_032455007.1
OG0004667	XP_017888460.1	XP_001600622.1
OG0004668	XP_017881944.1	NP_001123270.1, XP_001604385.2
OG0004669	XP_017890245.1	XP_001600502.1, XP_008208273.1
OG0004670	XP_017887955.1	XP_003425730.1
OG0004671	XP_017891430.1	XP_001604912.1
OG0004672	XP_026673288.1	XP_001605295.1
OG0004674	XP_017878126.1, XP_017878127.1	XP_001605330.1
OG0004675	XP_017892666.1	XP_001599972.1
OG0004676	XP_017880188.1, XP_017880187.1	XP_031779679.1
OG0004677	XP_017887651.1	XP_031782929.1, XP_031782896.1
OG0004678	XP_017877601.1	XP_001607691.1
OG0004679	XP_017887527.1	XP_008214331.2
OG0004680	XP_026668611.1, XP_026668612.1, XP_026668613.1, XP_017878420.1, XP_017878419.1, XP_026668610.1	XP_008207611.1
OG0004681	XP_017881729.1	XP_016838815.1
OG0004682	XP_017886976.1	XP_001607372.1, XP_031778529.1
OG0004683	XP_017883107.1	XP_001599156.1
OG0004684	XP_017876652.1	XP_001604038.1
OG0004686	XP_017890414.2, XP_017878263.1	XP_031778972.1, XP_008216549.1
OG0004687	XP_017889841.1	XP_003425875.1
OG0004688	XP_017888416.1	XP_003425983.1, XP_032453270.1, XP_001605905.1
OG0004689	XP_017891145.1	XP_008202145.1
OG0004690	XP_017877734.1	XP_008202499.1, XP_031784718.1
OG0004691	XP_017885000.1	XP_031780733.1
OG0004692	XP_026671545.1	XP_031780736.1
OG0004693	XP_017888180.1	XP_008213222.1
OG0004694	XP_017890817.1	XP_016838800.1
OG0004695	XP_026673267.1	XP_001603617.1
OG0004696	XP_017875966.2	XP_003426154.1
OG0004697	XP_017891029.1	XP_008207386.1
OG0004698	XP_026673292.1, XP_017888015.1	XP_031782378.1, XP_031782379.1, XP_032453903.1
OG0004699	XP_017892077.1	NP_001127782.1
OG0004700	XP_017879626.2	XP_031788086.2
OG0004701	XP_017884124.1	XP_008203224.1
OG0004702	XP_017889575.1	XP_001605541.1
OG0004703	XP_017879826.1	NP_001164385.1, XP_016837021.1
OG0004704	XP_017881188.2	XP_001606666.2
OG0004705	XP_017877091.1	XP_031781073.1, XP_032457451.1
OG0004706	XP_017889711.1	XP_001602537.1
OG0004707	XP_017876395.1	XP_031778772.1
OG0004708	XP_017890125.1	XP_031784408.1
OG0004709	XP_026668431.1	XP_032455867.1
OG0004710	XP_017891363.1	XP_003426814.1
OG0004711	XP_026673001.1	XP_031788036.1, XP_031788035.1
OG0004712	XP_026667543.1	XP_031778794.1
