Orthogroup	Solenopsis_invicta	Bombus_terrestris
OG0003111	XP_039310638.1	XP_012165661.1, XP_012165660.1
OG0003112	XP_011172658.1	XP_012175062.1
OG0003113	XP_011160893.2	XP_003396750.1
OG0003114	XP_039306832.1, XP_011166467.1	XP_012166789.1
OG0003115	XP_011173427.1	XP_012163341.1
OG0003116	XP_039311269.1	XP_003398381.1, XP_012168101.1, XP_012168100.1, XP_012168099.1
OG0003117	XP_039312237.1, XP_039312248.1, XP_039312214.1, XP_039312223.1, XP_039312212.1, XP_039312255.1, XP_039312260.1, XP_039312245.1, XP_039312230.1	XP_020720718.1, XP_020720792.1
OG0003118	XP_011172615.1	XP_003399123.1
OG0003119	XP_039313155.1	XP_012166972.1, XP_012166974.1, XP_012166973.1, XP_012166975.1
OG0003120	XP_025996106.1, XP_039303618.1	XP_003402633.1
OG0003121	XP_025990923.1	XP_012172171.1, XP_012172170.1
OG0003122	XP_039305386.1	XP_012174572.1
OG0003123	XP_011166608.1, XP_011166607.1	XP_003399629.1
OG0003124	XP_011167477.1	XP_003394189.1, XP_012175968.1, XP_020724189.1
OG0003125	XP_011163856.1	XP_012175372.1
OG0003126	XP_025986309.2	XP_012166055.1
OG0003127	XP_011167497.2, XP_011167498.3, XP_039315507.1, XP_039314516.1	XP_003395513.1
OG0003128	XP_011171381.1	XP_012168807.1, XP_012168921.1, XP_003392885.1
OG0003129	XP_039310707.1, XP_011176118.2	XP_020719319.1, XP_020719320.1
OG0003130	XP_025987336.1, XP_011162429.1	XP_003393558.1
OG0003131	XP_011167126.1, XP_011167125.1	XP_003395711.1
OG0003132	XP_011164088.2, XP_011164092.2	XP_020723785.1
OG0003133	XP_011162012.1, XP_039302201.1, XP_039302199.1, XP_039302200.1, XP_011162010.1, XP_025986890.1, XP_011162011.1	XP_003399751.2
OG0003134	XP_025987373.1	XP_020724054.1
OG0003135	XP_011162593.1, XP_011162594.1	XP_012166489.1
OG0003136	XP_039306099.1	XP_012171268.1
OG0003137	XP_039302546.1	XP_003398753.1
OG0003138	XP_025990507.1	XP_003402595.2, XP_012175849.2
OG0003139	XP_025990674.1	XP_012175769.1
OG0003140	XP_039304595.1, XP_039304587.1, XP_039304582.1, XP_039304593.1, XP_039304577.1, XP_025987975.2, XP_011157469.2	XP_003393316.1
OG0003141	XP_039302630.1	XP_003393931.1
OG0003142	XP_011169763.2	XP_012163945.1
OG0003143	XP_039310052.1, XP_039310051.1	XP_012166532.1
OG0003144	XP_011160189.2	XP_020723911.1
OG0003145	XP_011166674.1, XP_011166675.1	XP_003394305.1
OG0003146	XP_025987200.1	XP_003395087.1
OG0003147	XP_039310050.1, XP_011162690.1	XP_003397289.2
OG0003148	XP_011164370.1	XP_012174993.1
OG0003149	XP_011163201.1	XP_020720694.1
OG0003150	XP_011170885.1	XP_003395583.1
OG0003151	XP_025991582.1	XP_020718638.1
OG0003152	XP_025990112.1, XP_025990120.1	XP_012165388.1
OG0003153	XP_025988729.1	XP_003399779.1
OG0003154	XP_025986269.1	XP_012171817.1
OG0003155	XP_011163493.1	XP_003395610.1
OG0003156	XP_011156868.1	XP_020720106.1
OG0003157	XP_025988931.1	XP_003403175.1
OG0003158	XP_039303594.1	XP_012173863.1
OG0003159	XP_039308013.1, XP_011156410.2, XP_011156411.2, XP_011156412.2, XP_039308014.1, XP_039308012.1, XP_025991489.2	XP_003393062.1
OG0003160	XP_025991339.1	XP_012171757.1, XP_020722280.1
OG0003161	XP_011169462.1	XP_012175868.1
OG0003162	XP_039303750.1	XP_020724227.1
OG0003163	XP_011165318.1	XP_003393197.1
OG0003164	XP_039314407.1	XP_003395098.1, XP_012163531.1
OG0003165	XP_011155987.2	XP_003394554.3
OG0003166	XP_011175449.1	XP_020718393.1, XP_012176761.1, XP_003394848.1
OG0003167	XP_011169110.1	XP_003394942.1
OG0003168	XP_039312028.1	XP_003398261.1
OG0003169	XP_011160662.1	XP_003394029.1
OG0003170	XP_011170618.1, XP_011170678.1, XP_011170755.1	XP_012176639.1
OG0003171	XP_011164528.2	XP_012165782.1, XP_020719235.1
OG0003172	NP_001291525.1	XP_003402703.1
OG0003173	XP_039303164.1, XP_011164806.2, XP_011164807.2	XP_003401927.1, XP_003402101.1, XP_012173400.1
OG0003174	XP_011162525.2	XP_012171061.1, XP_012171050.1
OG0003175	XP_039315715.1	XP_003402300.1
OG0003176	XP_039312299.1	XP_020721991.1
OG0003177	XP_011162481.2	XP_003393551.1, XP_012170409.1
OG0003178	XP_011168188.1	XP_003398916.1, XP_020721317.1
OG0003179	XP_025992516.1	XP_012165532.1
OG0003180	XP_039309736.1	XP_012165456.1, XP_012165455.1
OG0003181	XP_039313158.1	XP_012164782.1
OG0003182	XP_011162549.2	XP_003393150.1
OG0003183	XP_039315523.1	XP_012170448.1
OG0003184	XP_025990824.1	XP_003400667.1
OG0003185	XP_011156771.1	XP_003397346.1
OG0003186	XP_039304399.1	XP_020720116.1
OG0003187	XP_039305771.1, XP_039305770.1, XP_039305772.1, XP_039305769.1	XP_003397890.1
OG0003188	XP_039304405.1	XP_003398479.2
OG0003189	XP_025993506.2	XP_020721986.1, XP_020721987.1
OG0003190	XP_039303251.1, XP_039303247.1, XP_025987101.2	XP_020724135.1
OG0003191	XP_025994562.1	XP_012174582.1
OG0003192	XP_011155851.1, XP_039310510.1, XP_011155852.1	XP_012172198.1, XP_012172190.1, XP_012172177.1, XP_020724038.1, XP_012172215.1
OG0003193	XP_039304720.1	XP_012168066.1
OG0003194	XP_025995068.1, XP_039312659.1, XP_011157227.1, XP_011157225.1	XP_012167923.1
OG0003195	XP_025988560.1	XP_003401207.1
OG0003196	XP_025991436.1	XP_012171928.1
OG0003198	XP_025987432.1, XP_025987424.1, XP_025987428.1, XP_039309996.1, XP_011160981.1, XP_011160980.1	XP_012175802.1
OG0003200	XP_025992862.1	XP_020721835.1
OG0003200	XP_025992865.1	XP_020721823.1
OG0003201	XP_011165968.1, XP_011165975.1, XP_039310834.1, XP_039310835.1	XP_020719548.1
OG0003202	XP_039307449.1, XP_039307472.1	XP_020722436.1
OG0003203	XP_011160144.1	XP_020718870.1
OG0003204	XP_011165562.1	XP_012173555.1
OG0003205	XP_025994400.1	XP_020721967.1, XP_003400228.1
OG0003206	XP_025990748.1	XP_012172321.1
OG0003207	XP_039306627.1	XP_020720394.1
OG0003208	XP_011171188.1	XP_003394032.1
OG0003209	XP_025990091.1	XP_012173683.1
OG0003211	XP_025992823.1	XP_012167383.1
OG0003212	XP_011157792.1	XP_012175311.1
OG0003213	XP_039309200.1	XP_012171117.1
OG0003214	XP_025986314.2	XP_012169509.1
OG0003215	XP_011169014.1	XP_003399045.1
OG0003217	XP_039314993.1, XP_039314997.1, XP_011164299.1	XP_012164565.1
OG0003218	XP_011175832.1, XP_039302418.1	XP_003401718.1
OG0003219	XP_011155319.2	XP_003400241.1
OG0003220	XP_011168984.1	XP_003399377.1, XP_012169758.1
OG0003221	XP_039307175.1	XP_012166942.1, XP_003397454.1
OG0003222	XP_025996380.1, XP_039315210.1	XP_012173316.1, XP_003403389.2
OG0003223	XP_011161546.1, XP_011161544.1, XP_025993508.1	XP_003400270.1
OG0003224	XP_011173211.1	XP_012166157.1, XP_003396998.1, XP_020719468.1
OG0003225	XP_011171210.1	XP_003395707.1
OG0003226	XP_039312523.1, XP_039312522.1, XP_039312521.1	XP_020722064.1
OG0003227	XP_039313451.1, XP_039313456.1	XP_020722194.1
OG0003228	XP_011162242.1	XP_012168474.1
OG0003229	XP_011161673.1	XP_003399948.1
OG0003230	XP_011159232.2	XP_012168183.1
OG0003232	XP_011167418.2	XP_012169730.1
OG0003234	XP_039310790.1	XP_012170688.1, XP_003400076.2
OG0003236	XP_025994487.2, XP_011159185.2, XP_011159183.2	XP_003393190.1
OG0003237	XP_039313095.1	XP_012163641.1
OG0003238	XP_011164556.2, XP_011164555.2, XP_011164554.2	XP_020723630.1
OG0003239	XP_025992141.2	XP_020722240.1
OG0003239	XP_025992125.1	XP_012171331.1
OG0003240	XP_039305806.1	XP_020723041.1, XP_012173345.1, XP_012173338.1, XP_012173342.1, XP_020723042.1
OG0003241	XP_025995024.2	XP_012172510.1
OG0003242	XP_025986165.1	XP_003399683.1
OG0003243	XP_025990033.2	XP_012167873.1
OG0003244	XP_039302184.1	XP_020720806.1
OG0003245	XP_039312788.1	XP_012169030.1
OG0003246	XP_011161831.2, XP_011161830.2	XP_020721711.1
OG0003247	XP_025986583.1	XP_003400037.3
OG0003248	XP_025991288.1	XP_020720004.1, XP_020720003.1
OG0003249	XP_039314530.1, XP_025996638.1	XP_012164068.1
OG0003250	XP_011161724.2	XP_003401476.1
OG0003251	XP_011158864.1	XP_012175335.1, XP_003393855.1, XP_012175339.1
OG0003252	XP_039312693.1	XP_003399281.1, XP_020721078.1, XP_020721079.1, XP_020721080.1, XP_012169585.1, XP_012169587.1, XP_020721081.1
OG0003254	XP_011174028.2	XP_020721294.1
OG0003255	XP_039308739.1	XP_012168041.1, XP_012168042.1
OG0003256	XP_011176342.1	XP_012172989.1, XP_003401913.1
OG0003257	XP_011156933.1	XP_012176591.1
OG0003258	XP_039303586.1	XP_003401696.1
OG0003259	XP_025988938.1	XP_003401923.1
OG0003260	XP_039313042.1, XP_039310614.1	XP_003403427.2, XP_020723961.1
OG0003260	XP_039312996.1, XP_039310589.1	XP_003403375.2, XP_020723847.1, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723568.1, XP_020723849.1, XP_020721699.1, XP_003394733.1, XP_012174003.2, XP_020723892.1, XP_020723935.1, XP_020723511.1, XP_012175509.2, XP_020723970.1
OG0003261	XP_011157006.1	XP_003396410.1, XP_012165445.1
OG0003262	XP_011171067.1	XP_003396975.1
OG0003263	XP_011167836.1	XP_003394796.1
OG0003264	XP_025995982.1	XP_003400614.1
OG0003265	XP_039315589.1	XP_003396232.1
OG0003266	XP_011173431.1	XP_003402411.1
OG0003267	XP_025996392.1	XP_003395308.1
OG0003268	XP_011164301.1	XP_003395962.1
OG0003269	XP_011156398.1	XP_003393065.1
OG0003270	XP_011165014.1	XP_003398424.1
OG0003271	XP_039313673.1, XP_025995311.1, XP_011165215.1	XP_012166255.1
OG0003272	XP_011163847.1	XP_003394721.1
OG0003273	XP_011157132.1	XP_003399020.1
OG0003274	XP_011159704.1	XP_003395627.1
OG0003275	XP_011164867.1	XP_012163102.1
OG0003276	XP_011167156.1	XP_020724051.1
OG0003277	XP_011169832.1, XP_011169831.1	XP_012174522.1
OG0003279	XP_039311013.1	XP_003396570.1
OG0003280	XP_011176183.1, XP_011176184.1	XP_003395540.2
OG0003281	XP_025990437.1, XP_025990438.1	XP_003400289.1, XP_020721778.1
OG0003282	XP_011157544.2	XP_012169609.1
OG0003284	XP_011171593.1	XP_012174283.1, XP_003402591.1
OG0003285	XP_011163555.3	XP_012170222.1
OG0003286	XP_011172787.1	XP_003399167.1
OG0003287	XP_011170207.1	XP_003394981.1
OG0003288	XP_025988793.1, XP_011170547.1, XP_011170556.1	XP_003395604.1
OG0003289	XP_011172029.1	XP_003403165.1
OG0003290	XP_025995658.1	XP_012164907.1
OG0003291	XP_039309531.1	XP_012171025.1
OG0003292	XP_011160448.1	XP_012165932.1
OG0003293	XP_011170009.2	XP_012164077.1
OG0003294	XP_011158205.1	XP_003394464.2, XP_012176399.1
OG0003295	XP_025996047.1	XP_012165323.1
OG0003296	XP_025994378.1, XP_025994380.1, XP_025994379.1	XP_003398169.1
OG0003297	XP_011159799.1	XP_012165288.1, XP_012165287.1
OG0003298	XP_011166722.1	XP_020719091.1, XP_020719092.1, XP_012164920.1, XP_012164919.1, XP_003396079.1
OG0003299	XP_011173483.1	XP_012163246.1
OG0003300	XP_025987586.1	XP_003402401.1
OG0003301	XP_011164776.1	XP_003403026.3
OG0003302	XP_011158512.1	XP_020722174.1, XP_003400746.1, XP_012171666.1
OG0003303	XP_011171925.2	XP_012170608.1
OG0003304	XP_039311949.1, XP_011168580.2	XP_012169521.1
OG0003305	XP_011175834.3	XP_003401716.1
OG0003306	XP_011172126.1	XP_012175654.1
OG0003307	XP_011167011.1	XP_003398200.1
OG0003308	XP_011157034.2, XP_039313538.1, XP_039314576.1, XP_025986859.1	XP_003402121.1
OG0003309	XP_011168906.2	XP_012167060.1
OG0003311	XP_011163861.1, XP_011163860.1	XP_003402825.1
OG0003312	XP_025988808.1, XP_011170268.1	XP_003396836.1
OG0003313	XP_011161540.1	XP_003400267.1, XP_003400266.1
OG0003314	XP_011164791.1	XP_003399004.1
OG0003315	XP_011160270.1, XP_011160269.1	XP_020721944.1, XP_012171026.1, XP_003400257.1
OG0003316	XP_025993577.1, XP_025993576.1	XP_003398472.3
OG0003317	XP_011160844.1	XP_003399346.1
OG0003318	XP_011157698.2	XP_012165037.1
OG0003319	XP_011175694.2	XP_003402973.1
OG0003320	XP_011163537.1, XP_039311668.1	XP_012168219.1, XP_003398487.1
OG0003321	XP_011176131.2	XP_003394413.1
OG0003322	XP_011161126.1	XP_012169824.1
OG0003323	XP_011161263.2	XP_003398367.2
OG0003324	XP_039313713.1, XP_011155365.1, XP_011155364.1	XP_003394516.1
OG0003325	XP_011158710.2	XP_003393834.1
OG0003326	XP_039302623.1, XP_011172122.2	XP_003393945.1
OG0003327	XP_011175417.1	XP_003394613.1
OG0003328	XP_011163393.1, XP_039313875.1	XP_012170302.2
OG0003329	XP_011169377.1, XP_039315222.1, XP_039313735.1	XP_003402522.2
OG0003330	XP_011167875.2	XP_020722379.1
OG0003331	XP_011159846.2	XP_012163342.1
OG0003332	XP_039315206.1, XP_011172012.1	XP_003397236.1
OG0003333	XP_011158520.1	XP_012165599.1
OG0003334	XP_011169583.1	XP_012168221.1
OG0003335	XP_011157678.1	XP_003399725.1
OG0003336	XP_039303355.1, XP_039303356.1	XP_012173983.1
OG0003337	XP_011156887.1	XP_003397616.1
OG0003339	XP_025985974.1	XP_003397378.2
OG0003340	XP_011172624.2, XP_011172620.2, XP_011172613.2	XP_020720961.1
OG0003341	XP_011165296.1	XP_012175821.1
OG0003342	XP_011174123.2	XP_012171940.2
OG0003343	XP_011163557.1	XP_020722536.1, XP_012172667.1, XP_020722535.1
OG0003344	XP_011159547.2	XP_003402169.1, XP_012173723.1
OG0003345	XP_011168568.1	XP_003398987.1
OG0003346	XP_011155405.1, XP_011155404.1	XP_020723225.1
OG0003347	XP_011170910.2	XP_012163635.1
OG0003348	XP_011176150.1	XP_012166030.1
OG0003349	XP_011172402.1, XP_011172401.1	XP_012166175.1, XP_020719519.1
OG0003350	XP_011160433.1	XP_003395818.1
OG0003351	XP_011169159.1	XP_003403358.1
OG0003352	XP_011167129.1	XP_012171186.1
OG0003353	XP_011157096.2	XP_012176447.1
OG0003354	XP_011159300.1	XP_012168185.1
OG0003355	XP_011156616.1	XP_012167676.1
OG0003356	XP_025995418.1, XP_039313829.1	XP_003402210.1
OG0003357	XP_011159385.1	XP_012163819.1
OG0003358	XP_011170985.1	XP_012176186.1
OG0003359	XP_011160721.2, XP_039302017.1, XP_039302016.1, XP_011160722.2	XP_003396029.1
OG0003360	XP_011169214.1	XP_012175935.1
OG0003361	XP_011163184.1	XP_003402702.1
OG0003362	XP_011176208.1	XP_012169143.1
OG0003363	XP_011171184.1	XP_003394031.1
OG0003364	XP_011171477.2	XP_003398503.1
OG0003365	XP_011155996.2	XP_003394552.1
OG0003366	XP_011166272.1	XP_003397827.1
OG0003367	XP_011160030.1	XP_003401083.1
OG0003368	XP_025993586.2	XP_020721065.1
OG0003369	XP_025995082.1	XP_012164497.1
OG0003370	XP_039305562.1	XP_012172730.1, XP_012172744.1, XP_012172738.1
OG0003371	XP_011168317.1	XP_012170915.1, XP_003400168.1
OG0003372	XP_011170932.2	XP_003394694.1
OG0003373	XP_039303341.1, XP_039303342.1, XP_011164890.2, XP_039303340.1, XP_011164889.2	XP_012173294.1, XP_003401873.1
OG0003374	XP_011170848.1	XP_003395675.1
OG0003375	XP_025991386.1, XP_011158440.1, XP_011158439.1	XP_003403093.1
OG0003376	XP_011158846.1	XP_003393800.1
OG0003377	XP_039312150.1, XP_011157899.1	XP_020724121.1
OG0003378	XP_011158424.1	XP_003402130.1
OG0003379	XP_011164032.1	XP_012171119.1
OG0003380	XP_011159525.1, XP_011159526.1	XP_012170032.1
OG0003381	XP_011170706.1	XP_012175066.1
OG0003382	XP_011170060.1	XP_003401411.1
OG0003383	XP_025994121.1, XP_039312684.1, XP_025993396.1, XP_011168910.1	XP_003400839.1
OG0003384	XP_025993031.2	XP_003400187.1, XP_012170937.1
OG0003385	XP_011167382.1	XP_003393271.1
OG0003387	XP_011158923.1	XP_012174698.1, XP_003393798.1
OG0003388	XP_011164028.1	XP_012171064.1
OG0003389	XP_039308685.1	XP_012166547.1
OG0003390	XP_011170765.1, XP_025989977.1	XP_012170451.1
OG0003391	XP_025987860.2	XP_012173395.2
OG0003392	XP_025991945.2	XP_020722516.1
OG0003393	XP_011175706.1	XP_003396408.1, XP_012165441.1
OG0003394	XP_011168554.1	XP_003394195.1
OG0003395	XP_011162479.1	XP_012170429.1
OG0003396	XP_011164775.1	XP_003400093.1
OG0003397	XP_039310081.1	XP_012170199.1
OG0003398	XP_039312685.1	XP_012167281.1
OG0003399	XP_011172373.2	XP_003395681.1
OG0003400	XP_011167556.3	XP_003394203.1
OG0003401	XP_011159605.1	XP_012174733.1
OG0003402	XP_011158523.1	XP_003400904.1
OG0003403	XP_011173152.1	XP_003398686.1
OG0003404	XP_039315476.1	XP_012175889.1
OG0003405	XP_025996980.1	XP_003402674.1
OG0003406	XP_039305644.1, XP_039305639.1	XP_020718332.1
OG0003407	XP_011162767.2	XP_012174891.2, XP_012171230.1
OG0003408	XP_025988007.1	XP_012163653.1
OG0003409	XP_011168025.1	XP_003397420.1
OG0003410	XP_011169045.1	XP_003397456.1
OG0003411	XP_011169030.1	XP_003393003.1
OG0003412	XP_011166294.1	XP_012165317.1, XP_020719328.1
OG0003413	XP_039302638.1	XP_003393951.1, XP_012175666.1
OG0003414	XP_011161029.1	XP_003402116.1
OG0003415	XP_011175488.1	XP_020723273.1, XP_003402321.1
OG0003416	XP_011166755.1	XP_003400888.1
OG0003417	XP_039304476.1, XP_039304478.1	XP_012163159.1, XP_003394872.1
OG0003418	XP_011167758.1	XP_012174546.1
OG0003419	XP_025996837.1	XP_003398727.1
OG0003420	XP_011169674.1	XP_003397430.1
OG0003421	XP_011175711.1	XP_003397388.1
OG0003422	XP_011155644.1, XP_039302694.1	XP_020718945.1, XP_020718838.1, XP_020718951.1
OG0003423	XP_011159326.2	XP_003394231.1
OG0003424	XP_011159090.1	XP_003398125.1
OG0003425	XP_011163075.1	XP_003397438.1
OG0003426	XP_025988070.1, XP_025988071.1	XP_012166342.1
OG0003427	XP_011163689.1	XP_012174792.1
OG0003428	XP_011167947.1	XP_012173657.1
OG0003429	XP_039315630.1	XP_012175131.1
OG0003429	XP_025995548.1	XP_020723827.1
OG0003431	XP_011172180.1, XP_039303289.1	XP_003398714.1
OG0003432	XP_025992649.1, XP_011161779.1, XP_039303580.1	XP_012166277.1
OG0003433	XP_011159440.1	XP_020719223.1, XP_012165947.1
OG0003434	XP_011176144.1, XP_011176143.1, XP_025989940.1	XP_020724167.1, XP_003394477.1
OG0003435	XP_011163900.2	XP_003396357.1
OG0003436	XP_011168469.2	XP_003396482.1
OG0003437	XP_011157667.1	XP_020723885.1
OG0003438	XP_011155524.2	XP_020718677.1
OG0003439	XP_025994536.1	XP_020722958.1, XP_020722959.1, XP_012172931.1, XP_012172932.1, XP_020722957.1
OG0003442	XP_039312379.1	XP_003398932.1
OG0003443	XP_011165646.1	XP_012174081.1
OG0003444	XP_025987672.2	XP_012170821.2
OG0003445	XP_039302293.1	XP_003393575.1
OG0003446	XP_011155390.1	XP_003394673.1
OG0003447	XP_039306897.1, XP_011172830.1	XP_003400493.1
OG0003448	XP_011168417.2, XP_039309237.1	XP_020719521.1
OG0003449	XP_011160159.1	XP_012166095.2
OG0003450	XP_011155610.2	XP_003394524.1
OG0003451	XP_011172134.1	XP_012175637.1
OG0003452	XP_011156026.1	XP_012167551.1, XP_003397866.1
OG0003453	XP_039315183.1	XP_012164659.1, XP_003395902.1, XP_012164658.1, XP_020719088.1
OG0003454	XP_025989605.1, XP_039302364.1, XP_011172810.1	XP_003402092.1, XP_012173374.1
OG0003455	XP_011168917.1	XP_012166419.1, XP_012166418.1, XP_012166420.1
OG0003456	XP_011162716.1	XP_003393586.1
OG0003457	XP_011166944.1	XP_003397544.1
OG0003458	XP_025995460.1	XP_020722383.1
OG0003459	XP_011161898.1	XP_003397938.1
OG0003460	XP_011162632.1	XP_003393593.2
OG0003461	XP_025991213.1	XP_020722167.1, XP_020722164.1
OG0003462	XP_025993799.2	XP_012169183.1
OG0003463	XP_011160595.1	XP_003398065.1
OG0003464	XP_011165321.1	XP_003393068.1, XP_012163643.1
OG0003465	XP_011173159.1	XP_012170130.1
OG0003466	XP_011172223.1	XP_003403100.1
OG0003467	XP_025987392.1	XP_003397188.1
OG0003468	XP_011165989.2, XP_011165988.2, XP_011165986.2	XP_012170491.1
OG0003469	XP_039303845.1, XP_039303963.1, XP_039304734.1, XP_011165856.1	XP_003395721.1, XP_020718604.1
OG0003470	XP_025990345.2, XP_039308816.1	XP_003401292.1
OG0003471	XP_039308449.1	XP_012166543.1, XP_003397209.1
OG0003472	XP_025995638.1	XP_020724289.1
OG0003473	XP_011162299.1	XP_003399117.1
OG0003474	XP_011167328.1	XP_003395173.1
OG0003475	XP_011166400.1	XP_012167161.1
OG0003476	XP_025991918.2	XP_012172672.1
OG0003477	XP_011161639.1	XP_012168386.1, XP_012168385.1
OG0003478	XP_039301857.1	XP_012175129.1
OG0003479	XP_039304625.1	XP_003402562.1
OG0003480	XP_011163009.2	XP_020719042.1, XP_020719041.1
OG0003481	XP_011168227.1	XP_020720651.1
OG0003482	XP_039308503.1	XP_012164772.1
OG0003483	XP_011167627.1	XP_003395520.1
OG0003484	XP_011175536.1	XP_012164591.1
OG0003485	XP_011160665.1	XP_012164420.1, XP_020718869.1
OG0003486	XP_011176014.1	XP_003393625.1
OG0003487	XP_039312962.1	XP_003401921.1
OG0003488	XP_011172280.1, XP_011172281.1	XP_003395652.1
OG0003489	XP_011171151.1	XP_003393033.1
OG0003490	XP_011157908.1	XP_003403029.1
OG0003491	XP_025988848.1	XP_020721001.1
OG0003492	XP_011162771.1	XP_003397234.1, XP_012166574.1
OG0003493	XP_011168044.1	XP_003399033.1
OG0003494	XP_039309299.1, XP_039309208.1	XP_003396915.1
OG0003495	XP_011174335.1	XP_003401073.1
OG0003496	XP_025993632.2	XP_003396707.1
OG0003497	XP_011156399.1	XP_012163541.1
OG0003498	XP_011165874.1	XP_003392871.1
OG0003499	XP_039310463.1	XP_012171291.1
OG0003500	XP_039305410.1	XP_012168790.1, XP_012168789.1
OG0003501	XP_011160315.1	XP_003402365.1
OG0003502	XP_011173216.1	XP_003396994.1
OG0003503	XP_011158197.1	XP_003394479.1
OG0003504	XP_039305633.1	XP_003402180.1
OG0003506	XP_011161084.2	XP_012175765.1
OG0003507	XP_011161240.1	XP_020722171.1
OG0003508	XP_011161847.2	XP_003398733.1
OG0003509	XP_011158892.1, XP_039304838.1	XP_012174478.1
OG0003510	XP_039307343.1, XP_039307345.1, XP_039307346.1	XP_003393502.1
OG0003511	XP_011159681.1, XP_011159682.1	XP_003398635.2, XP_020723871.1, XP_003403409.2
OG0003512	XP_011163532.1, XP_039302069.1, XP_039302070.1	XP_012164666.1
OG0003513	XP_025993404.1	XP_012167836.1
OG0003515	XP_025994886.1	XP_020718715.1, XP_012164209.1
OG0003516	XP_011157782.1	XP_012169809.1
OG0003517	XP_011157243.1	XP_003399368.1
OG0003518	XP_025993845.1	XP_003399079.1
OG0003519	XP_011157485.2	XP_012172952.1, XP_012172951.1, XP_003401684.1, XP_012172954.1
OG0003520	XP_025987458.1	XP_003402231.1
OG0003521	XP_025994590.1	XP_012167293.1
OG0003522	XP_011170188.1	XP_012169456.1, XP_003399179.1
OG0003523	XP_011159133.3	XP_012166747.1
OG0003524	XP_011159594.2	XP_020722814.1
OG0003525	XP_011157508.1	XP_003395919.1
OG0003526	XP_025994120.1, XP_011176200.1	XP_012171650.1
OG0003527	XP_011164994.2	XP_020718438.1
OG0003528	XP_025994598.1	XP_003400760.2
OG0003529	XP_011157905.1	XP_020718265.1, XP_012175898.1
OG0003530	XP_011164666.1	XP_020722430.1
OG0003531	XP_011158045.1, XP_011158046.1	XP_012170751.1
OG0003532	XP_011175391.1	XP_003399690.1
OG0003533	XP_011166923.1, XP_039315583.1, XP_011166924.1	XP_003397508.1
OG0003534	XP_025993470.2	XP_012172617.1
OG0003535	XP_025996198.1	XP_003393281.1
OG0003536	XP_011161902.1	XP_003397936.1
OG0003537	XP_039309256.1	XP_020721781.1
OG0003538	XP_011168937.1	XP_003397552.1
OG0003539	XP_039308016.1	XP_003393064.1
OG0003540	XP_011170944.1	XP_012163734.1
OG0003541	XP_025989874.2, XP_025989876.2	XP_003399070.1
OG0003542	XP_011165946.1, XP_039311669.1	XP_003402488.1
OG0003543	XP_011158692.1	XP_020723476.1
OG0003544	XP_011169534.1, XP_025992037.1	XP_003399716.1
OG0003545	XP_025990427.1	XP_020721827.1
OG0003546	XP_025993446.1	XP_003393420.1
OG0003547	XP_011158646.1	XP_012173687.1
OG0003549	XP_011169642.1, XP_025986961.1	XP_003398377.1
OG0003550	XP_011162120.1, XP_011162121.1	XP_020723417.1, XP_012174091.1
OG0003551	XP_039301798.1	XP_003400833.1, XP_012171880.1
OG0003552	XP_039308343.1, XP_039308344.1, XP_039308345.1, XP_025993493.2	XP_012173753.1
OG0003553	XP_011161755.2	XP_003398337.1
OG0003554	XP_039308532.1	XP_003401774.2
OG0003555	XP_025995357.2	XP_003394162.1
OG0003556	XP_025993106.2	XP_003401624.1
OG0003557	XP_011164774.2	XP_003395315.1
OG0003558	XP_039309560.1	XP_003398951.1
OG0003559	XP_025986435.1	XP_020720445.1
OG0003560	XP_025988610.2	XP_020718562.1
OG0003561	XP_011160851.1, XP_011160852.1	XP_020722374.1, XP_003400946.1
OG0003562	XP_011155379.1	XP_012170143.1
OG0003563	XP_039310060.1	XP_012176123.1
OG0003564	XP_011167702.1	XP_012170707.1
OG0003565	XP_011156156.1	XP_003396666.1
OG0003566	XP_039315677.1	XP_012171759.1, XP_003400894.1
OG0003567	XP_011172274.1	XP_020718824.1
OG0003568	XP_039312274.1	XP_012169593.1
OG0003569	XP_039312335.1	XP_012169599.2
OG0003570	XP_025991364.2	XP_020722373.1, XP_012171932.1
OG0003571	XP_011164706.1	XP_003401325.1
OG0003572	XP_011166886.1	XP_012172795.1
OG0003573	XP_025994936.2	XP_012163535.1
OG0003574	XP_011156360.1	XP_003397736.1
OG0003575	XP_011168569.1, XP_039308668.1	XP_012173751.1
OG0003576	XP_011168218.1	XP_012167998.2
OG0003577	XP_011160828.1	XP_012167897.1
OG0003578	XP_011164006.1	XP_003402630.1
OG0003579	XP_011158500.2	XP_012168001.1
OG0003580	XP_025996659.1	XP_003401655.1
OG0003581	XP_025992672.1	XP_003395903.1
OG0003582	XP_025986840.2	XP_003393784.1, XP_020721323.1
OG0003583	XP_011170583.1	XP_012176544.1
OG0003584	XP_011164677.1	XP_003401911.1
OG0003585	XP_039312321.1, XP_039312320.1, XP_039312319.1	XP_003397704.1
OG0003586	XP_011158129.1	XP_003395092.1
OG0003587	XP_011169932.2	XP_012173353.1
OG0003588	XP_011159472.1	XP_020718806.1
OG0003589	XP_025989716.1	XP_003402285.1
