Orthogroup	Ceratina_calcarata	Eufriesea_mexicana
OG0003281	XP_017883170.1, XP_017885405.1	XP_017755756.1, XP_017755760.1
OG0003282	XP_017881835.1	XP_017761827.1
OG0003283	XP_017881272.1	XP_017756868.1
OG0003284	XP_026673843.1	XP_017755572.1
OG0003285	XP_017889206.1	XP_017759890.1, XP_017765340.1
OG0003286	XP_026674880.1	XP_017764241.1
OG0003287	XP_017891294.1	XP_017764227.1
OG0003288	XP_017891711.1, XP_017891712.1, XP_026675094.1	XP_017761100.1
OG0003289	XP_017878425.1	XP_017761093.1
OG0003290	XP_017882005.1, XP_017882007.1	XP_017757723.1
OG0003291	XP_017883565.1, XP_026671067.1, XP_017883567.1, XP_017883566.1	XP_017752705.1
OG0003292	XP_026668305.1	XP_017758774.1
OG0003293	XP_017888389.1, XP_017888390.1	XP_017753430.1
OG0003294	XP_017881115.1	XP_017760010.1
OG0003295	XP_017884758.1	XP_017760175.1
OG0003296	XP_017884759.1	XP_017760174.1
OG0003297	XP_017881281.1, XP_017881279.1, XP_017881280.1	XP_017753105.1
OG0003298	XP_017885452.1	XP_017764678.1
OG0003299	XP_026668178.1	XP_017754552.1, XP_017754567.1
OG0003300	XP_017882680.1	XP_017762421.1
OG0003301	XP_017882254.1	XP_017759383.1
OG0003302	XP_017882132.1	XP_017758420.1
OG0003303	XP_017876677.1, XP_017876678.1	XP_017758562.1, XP_017758544.1
OG0003304	XP_017888113.1	XP_017759346.1
OG0003305	XP_026668170.1, XP_026668171.1, XP_017877563.1	XP_017760598.1
OG0003306	XP_017888090.1, XP_017888091.1	XP_017759293.1
OG0003307	XP_026672605.1	XP_017766903.1, XP_017766424.1
OG0003308	XP_017881146.1	XP_017760229.1
OG0003309	XP_017881071.1	XP_017763936.1
OG0003310	XP_017889900.1	XP_017762999.1
OG0003311	XP_017889752.1	XP_017758044.1
OG0003312	XP_026674207.1	XP_017758076.1
OG0003313	XP_017886443.1	XP_017765090.1
OG0003314	XP_026666621.1	XP_017759491.1
OG0003315	XP_017881406.1	XP_017754478.1
OG0003316	XP_017881408.1	XP_017754541.1
OG0003317	XP_017884065.1	XP_017755434.1
OG0003318	XP_017886085.1, XP_017886084.1	XP_017755379.1, XP_017755356.1
OG0003319	XP_017886199.1, XP_017886137.1	XP_017752231.1
OG0003320	XP_017891372.1	XP_017767698.1
OG0003321	XP_017876408.1	XP_017767663.1
OG0003322	XP_017879327.1	XP_017754740.1
OG0003323	XP_026668920.1	XP_017754686.1
OG0003324	XP_017891899.1	XP_017767388.1
OG0003325	XP_017892983.1	XP_017756252.1
OG0003326	XP_026673667.1	XP_017762515.1
OG0003327	XP_017883152.1	XP_017757500.1
OG0003328	XP_017884612.1	XP_017759876.1, XP_017759877.1
OG0003329	XP_026671978.1	XP_017755006.1
OG0003330	XP_017877104.1, XP_017888327.1	XP_017756130.1
OG0003331	XP_017880189.1	XP_017761409.1
OG0003332	XP_017880140.1	XP_017752920.1
OG0003333	XP_017888540.1	XP_017764612.1
OG0003334	XP_026673552.1	XP_017764609.1
OG0003335	XP_017888157.1	XP_017762910.1
OG0003336	XP_017887992.1	XP_017754402.1
OG0003337	XP_026675516.1	XP_017766153.1, XP_017766154.1
OG0003338	XP_017891097.1	XP_017757020.1
OG0003339	XP_017888274.1	XP_017758295.1
OG0003340	XP_017891907.1	XP_017767430.1
OG0003341	XP_017884579.1	XP_017767278.1
OG0003342	XP_017884788.1	XP_017767241.1, XP_017767240.1
OG0003343	XP_017884814.1	XP_017767152.1
OG0003344	XP_017884843.1	XP_017761535.1
OG0003345	XP_017884227.1	XP_017759733.1
OG0003346	XP_017880470.1	XP_017762969.1
OG0003347	XP_017883910.1	XP_017767446.1
OG0003348	XP_017883884.1	XP_017767412.1
OG0003349	XP_017875722.1	XP_017767398.1
OG0003350	XP_017875700.1	XP_017767392.1
OG0003351	XP_026670451.1	XP_017765365.1
OG0003352	XP_017891824.1	XP_017765360.1
OG0003353	XP_017876693.1	XP_017758470.1
OG0003354	XP_026667615.1, XP_017876489.1	XP_017758418.1
OG0003355	XP_017876458.1	XP_017758377.1
OG0003356	XP_026672600.1, XP_026672599.1	XP_017758525.1
OG0003357	XP_017886605.1	XP_017758462.1
OG0003358	XP_017876265.1	XP_017754895.1
OG0003359	XP_017892145.1, XP_017889193.2, XP_017888594.2	XP_017766991.1
OG0003360	XP_017876471.1, XP_017876481.1	XP_017761466.1
OG0003361	XP_017890444.1	XP_017761460.1
OG0003362	XP_017878627.1, XP_017878629.1	XP_017761505.1
OG0003363	XP_017876749.2	XP_017760789.1
OG0003364	XP_017880381.1	XP_017760707.1, XP_017760705.1
OG0003365	XP_017892876.1	XP_017760853.1
OG0003366	XP_017881970.1	XP_017760815.1
OG0003367	XP_017879965.1, XP_017879968.1, XP_017879967.1	XP_017760703.1
OG0003368	XP_017878418.1	XP_017760840.1
OG0003369	XP_017877492.1	XP_017754341.1
OG0003370	XP_026673172.1	XP_017761626.1
OG0003371	XP_017888498.1	XP_017764339.1
OG0003372	XP_017891014.1, XP_017875328.1	XP_017763726.1
OG0003373	XP_017879899.1	XP_017764261.1
OG0003374	XP_017877129.1	XP_017752945.1
OG0003375	XP_017886759.1	XP_017752871.1
OG0003376	XP_017878810.1	XP_017766315.1
OG0003377	XP_017878061.1	XP_017757220.1
OG0003378	XP_017877891.1	XP_017756240.1
OG0003379	XP_017878019.1	XP_017767456.1
OG0003380	XP_017878058.1	XP_017756223.1
OG0003381	XP_017878771.2	XP_017766329.1
OG0003382	XP_017878801.1	XP_017766336.1
OG0003383	XP_017877501.1, XP_017877502.1, XP_017877500.1	XP_017756846.1
OG0003384	XP_017885541.1	XP_017756895.1
OG0003385	XP_017882666.1	XP_017764090.1
OG0003386	XP_017886995.1	XP_017753739.1
OG0003387	XP_017887111.1, XP_017887110.1	XP_017753862.1
OG0003388	XP_017884124.1	XP_017752756.1
OG0003389	XP_017890086.1	XP_017761354.1
OG0003390	XP_017885672.1	XP_017754480.1
OG0003391	XP_026667937.1	XP_017752717.1
OG0003392	XP_017883588.1	XP_017755259.1
OG0003393	XP_017875844.1	XP_017758753.1
OG0003394	XP_017890191.1, XP_026674342.1	XP_017757440.1
OG0003396	XP_017880923.1	XP_017759581.1
OG0003397	XP_026672318.1	XP_017754385.1
OG0003398	XP_017878682.1	XP_017759457.1
OG0003399	XP_017875318.1	XP_017756632.1, XP_017756631.1
OG0003400	XP_017880857.1	XP_017757260.1, XP_017757261.1
OG0003401	XP_026670718.1	XP_017753370.1
OG0003402	XP_026670715.1	XP_017753129.1
OG0003403	XP_017884388.1	XP_017753140.1
OG0003404	XP_017883811.1	XP_017762728.1
OG0003405	XP_017879191.1	XP_017762723.1
OG0003406	XP_017879367.1	XP_017756282.1, XP_017754785.1
OG0003407	XP_017876891.1	XP_017766357.1
OG0003408	XP_017881807.1	XP_017755346.1
OG0003409	XP_017877424.1, XP_017877426.1	XP_017756443.1
OG0003410	XP_017886011.1, XP_017891844.2	XP_017766358.1
OG0003411	XP_017891861.1, XP_026675219.1, XP_026675218.1	XP_017766231.1
OG0003412	XP_017885980.1	XP_017753144.1
OG0003413	XP_017885871.1	XP_017753271.1
OG0003414	XP_026670395.1	XP_017756429.1
OG0003415	XP_017881921.1	XP_017756430.1
OG0003417	XP_017875641.1	XP_017762927.1
OG0003418	XP_017879460.1	XP_017762124.1
OG0003419	XP_026673132.1, XP_026673131.1	XP_017761312.1
OG0003420	XP_017887651.1	XP_017764901.1
OG0003421	XP_017888650.1	XP_017754539.1
OG0003422	XP_017879553.1	XP_017763893.1
OG0003423	XP_017878966.1	XP_017764776.1
OG0003424	XP_017878395.1	XP_017762266.1
OG0003425	XP_017887465.1	XP_017762255.1
OG0003426	XP_017878524.1	XP_017760390.1, XP_017760400.1
OG0003427	XP_017891280.1	XP_017752124.1, XP_017752125.1
OG0003428	XP_026673412.1	XP_017754219.1
OG0003429	XP_026671284.1, XP_026671285.1	XP_017754141.1
OG0003430	XP_017882295.1, XP_017891412.2	XP_017767576.1
OG0003432	XP_017888194.1	XP_017754048.1
OG0003433	XP_017875877.1	XP_017754191.1
OG0003434	XP_017889008.1	XP_017763560.1
OG0003435	XP_026669114.1	XP_017764252.1, XP_017753048.1
OG0003436	XP_017889118.1	XP_017763572.1
OG0003437	XP_017883336.1, XP_026670977.1	XP_017753063.1
OG0003438	XP_017890810.1	XP_017761176.1, XP_017761175.1
OG0003439	XP_017876161.1	XP_017762585.1
OG0003440	XP_017877988.1	XP_017753518.1
OG0003441	XP_017878070.1	XP_017753510.1
OG0003442	XP_017890259.1, XP_017888251.1	XP_017759079.1
OG0003443	XP_017878933.1	XP_017755113.1
OG0003444	XP_017890052.1	XP_017755612.1, XP_017755614.1
OG0003445	XP_017887442.1, XP_026673000.1	XP_017753393.1
OG0003446	XP_026667709.1, XP_017876549.1, XP_017876548.1	XP_017761941.1
OG0003447	XP_017886675.1	XP_017762215.1
OG0003448	XP_026670873.1	XP_017755599.1
OG0003449	XP_026667942.1, XP_017877215.1	XP_017764407.1
OG0003450	XP_017877217.1, XP_017877216.1	XP_017764413.1
OG0003451	XP_017888997.1	XP_017763718.1
OG0003452	XP_026667823.1, XP_026667824.1	XP_017759776.1
OG0003453	XP_017893567.1	XP_017761975.1
OG0003454	XP_017880454.1	XP_017763853.1
OG0003455	XP_017876803.1	XP_017765729.1
OG0003456	XP_017893568.1	XP_017763962.1
OG0003457	XP_017881867.1, XP_026670210.1	XP_017766350.1
OG0003458	XP_026671869.1, XP_017885423.1	XP_017765152.1
OG0003459	XP_017882457.1	XP_017752316.1, XP_017752343.1
OG0003460	XP_026675377.1	XP_017767090.1, XP_017767091.1
OG0003461	XP_017882488.1	XP_017762368.1
OG0003462	XP_017891656.1	XP_017762460.1, XP_017762459.1
OG0003463	XP_017878793.1	XP_017760067.1
OG0003466	XP_026670127.1	XP_017765964.1
OG0003467	XP_017881164.2	XP_017756715.1
OG0003468	XP_026670176.1, XP_026670175.1	XP_017757128.1
OG0003469	XP_026667587.1	XP_017767637.1, XP_017767641.1
OG0003470	XP_026670155.1, XP_017881711.1	XP_017765821.1
OG0003471	XP_017891494.1, XP_017891493.1	XP_017764679.1
OG0003472	XP_026675305.1, XP_017879922.1	XP_017761217.1
OG0003473	XP_017885205.1	XP_017762823.1, XP_017762822.1
OG0003474	XP_017883163.1	XP_017757495.1
OG0003475	XP_017883355.1	XP_017761742.1, XP_017761740.1
OG0003476	XP_026672007.1	XP_017760170.1
OG0003477	XP_026670641.1	XP_017760438.1
OG0003478	XP_017876961.2	XP_017758256.1
OG0003479	XP_026670938.1	XP_017753112.1
OG0003480	XP_026675490.1	XP_017765126.1
OG0003481	XP_017892658.2	XP_017767295.1
OG0003482	XP_017884610.1	XP_017754297.1
OG0003483	XP_026673279.1, XP_026673280.1	XP_017754994.1
OG0003484	XP_017893528.1	XP_017753221.1
OG0003485	XP_017883625.1	XP_017759134.1
OG0003486	XP_017888857.1, XP_026673653.1	XP_017756036.1
OG0003487	XP_017881469.1	XP_017754536.1
OG0003488	XP_017885513.1	XP_017755917.1
OG0003489	XP_026674390.1	XP_017761996.1
OG0003489	XP_017884081.2	XP_017761991.1
OG0003490	XP_017893684.1	XP_017757947.1
OG0003491	XP_017883461.1	XP_017761652.1, XP_017761653.1
OG0003493	XP_026672954.1	XP_017756822.1
OG0003494	XP_026668444.1	XP_017755742.1
OG0003495	XP_026672200.1	XP_017755723.1
OG0003497	XP_026672271.1, XP_017876451.1	XP_017767452.1
OG0003498	XP_017875592.1, XP_017883891.1	XP_017758360.1
OG0003499	XP_017891943.1	XP_017764740.1
OG0003500	XP_017882198.1	XP_017766226.1
OG0003502	XP_017876650.1	XP_017757850.1
OG0003503	XP_017876626.1	XP_017758499.1, XP_017758355.1
OG0003504	XP_017875661.1	XP_017767395.1
OG0003505	XP_017876674.1	XP_017767352.1
OG0003506	XP_017876730.1	XP_017765361.1
OG0003507	XP_017882157.1	XP_017765388.1
OG0003508	XP_017884693.1	XP_017762654.1
OG0003509	XP_017888932.1	XP_017754032.1
OG0003510	XP_017879058.1	XP_017754407.1
OG0003511	XP_026668823.1	XP_017754308.1
OG0003512	XP_017880014.1	XP_017764786.1
OG0003513	XP_026666451.1, XP_017892864.1	XP_017759023.1
OG0003514	XP_026674553.1, XP_026674551.1, XP_026674552.1	XP_017760740.1
OG0003515	XP_017890468.1	XP_017760839.1
OG0003516	XP_017889559.1	XP_017762394.1
OG0003517	XP_017883331.1	XP_017753051.1
OG0003518	XP_017880176.1	XP_017752907.1, XP_017762631.1, XP_017762630.1
OG0003519	XP_026668291.1, XP_026673482.1	XP_017756483.1
OG0003520	XP_017886299.1	XP_017762002.1
OG0003521	XP_017886059.1	XP_017760245.1
OG0003522	XP_026675001.1, XP_017891613.1	XP_017753961.1, XP_017753962.1
OG0003523	XP_017892144.2, XP_017889306.1	XP_017753424.1
OG0003524	XP_017890291.1	XP_017764626.1
OG0003525	XP_026668282.1	XP_017757803.1
OG0003527	XP_017893165.1	XP_017753106.1
OG0003529	XP_017888258.1	XP_017763259.1
OG0003530	XP_026671583.1	XP_017752575.1
OG0003531	XP_017884878.1, XP_017884881.1	XP_017752572.1
OG0003532	XP_026669128.1	XP_017764858.1
OG0003533	XP_017889582.1	XP_017765105.1
OG0003534	XP_017889870.1	XP_017765071.1
OG0003535	XP_017886361.1, XP_017886354.1	XP_017752830.1
OG0003536	XP_026674076.1, XP_026674074.1	XP_017765230.1
OG0003537	XP_026674962.1	XP_017752122.1
OG0003538	XP_017889744.1	XP_017753790.1
OG0003539	XP_026672497.1	XP_017765091.1
OG0003540	XP_017889762.1	XP_017764996.1
OG0003541	XP_017878353.1, XP_026668515.1	XP_017753778.1
OG0003542	XP_026675557.1	XP_017753597.1, XP_017753599.1
OG0003543	XP_026673477.1	XP_017765276.1
OG0003544	XP_017892689.1	XP_017754655.1
OG0003546	XP_026667705.1	XP_017759492.1
OG0003547	XP_026667332.1	XP_017754352.1
OG0003548	XP_026670987.1	XP_017763465.1
OG0003549	XP_017883436.1	XP_017763569.1
OG0003550	XP_017887330.1	XP_017757329.1
OG0003551	XP_017879277.1	XP_017756342.1, XP_017754691.1
OG0003552	XP_026668955.1	XP_017756283.1, XP_017754615.1
OG0003553	XP_017879387.1	XP_017758147.1
OG0003554	XP_026669286.1, XP_017890616.2	XP_017765685.1
OG0003555	XP_017877243.1	XP_017753375.1
OG0003555	XP_017889195.2	XP_017753376.1
OG0003556	XP_026668914.1	XP_017756322.1
OG0003557	XP_026670511.1	XP_017763558.1
OG0003558	XP_017892870.1	XP_017765303.1
OG0003559	XP_017876298.1	XP_017765313.1
OG0003560	XP_026667520.1	XP_017763115.1
OG0003561	XP_017879352.1	XP_017756284.1
OG0003562	XP_017880845.1	XP_017756073.1
OG0003563	XP_017887276.1	XP_017766617.1
OG0003564	XP_017887277.1	XP_017766637.1, XP_017766630.1
OG0003565	XP_017886180.1	XP_017752402.1
OG0003566	XP_026670546.1, XP_026670545.1	XP_017755635.1
OG0003567	XP_026670541.1	XP_017766185.1
OG0003568	XP_017882454.1	XP_017752333.1
OG0003569	XP_017881346.1, XP_017881347.1, XP_026669918.1	XP_017754329.1
OG0003570	XP_017880612.1	XP_017752431.1
OG0003571	XP_017880701.1	XP_017757310.1
OG0003572	XP_017883939.1, XP_017887282.1	XP_017757324.1
OG0003573	XP_017875255.1	XP_017755964.1
OG0003574	XP_017892104.1	XP_017766450.1
OG0003576	XP_017886315.1	XP_017767019.1
OG0003577	XP_026668339.1, XP_026668336.1	XP_017757219.1
OG0003579	XP_017893169.1	XP_017753096.1
OG0003580	XP_017884487.1	XP_017753179.1
OG0003581	XP_017878066.1	XP_017756532.1
OG0003582	XP_026673614.1	XP_017758604.1, XP_017758602.1
OG0003583	XP_017877328.1, XP_017877329.1	XP_017766330.1
OG0003584	XP_017882534.1	XP_017760085.1
OG0003585	XP_026668276.1	XP_017756367.1
OG0003586	XP_026667610.1	XP_017767551.1, XP_017767550.1
OG0003587	XP_026668270.1, XP_017877784.1	XP_017756012.1
OG0003588	XP_017881944.1	XP_017767598.1
OG0003589	XP_017875779.1	XP_017761129.1
OG0003590	XP_017891782.1	XP_017752953.1
OG0003591	XP_017883041.1, XP_017883042.1	XP_017755283.1, XP_017755284.1
OG0003592	XP_026667484.1, XP_017876232.1	XP_017763880.1
OG0003593	XP_017887844.1	XP_017752728.1
OG0003594	XP_017889971.1	XP_017759258.1
OG0003595	XP_026669192.1	XP_017765794.1
OG0003596	XP_017886921.1	XP_017762133.1
OG0003597	XP_017879482.1	XP_017758709.1
OG0003598	XP_026669037.1	XP_017755258.1, XP_017755257.1
OG0003599	XP_017878376.1	XP_017755626.1
OG0003600	XP_017879477.1	XP_017763876.1
OG0003601	XP_017883522.1	XP_017755591.1
OG0003602	XP_017890224.1	XP_017757524.1, XP_017757523.1, XP_017757522.1
OG0003603	XP_017891580.1	XP_017757416.1
OG0003604	XP_026674895.1, XP_017891331.1	XP_017767715.1
OG0003605	XP_026675151.1	XP_017767700.1
OG0003606	XP_026675158.1	XP_017753659.1
OG0003607	XP_017883591.1	XP_017761114.1
OG0003608	XP_026674910.1	XP_017755680.1
OG0003609	XP_017892299.2, XP_026675498.1	XP_017761436.1
OG0003610	XP_017885747.1	XP_017758252.1
OG0003611	XP_026672092.1	XP_017764273.1
OG0003612	XP_017876975.1	XP_017761704.1
OG0003613	XP_017884615.1	XP_017766909.1, XP_017763095.1
OG0003614	XP_017878417.1, XP_017878296.1	XP_017757708.1
OG0003615	XP_026667390.1	XP_017760529.1
OG0003616	XP_017890903.1	XP_017753620.1
OG0003617	XP_017879775.1, XP_026671298.1	XP_017766111.1
OG0003618	XP_026666526.1, XP_026666533.1	XP_017758921.1
OG0003619	XP_017892710.1	XP_017760330.1, XP_017760664.1
OG0003620	XP_017875565.1	XP_017752135.1, XP_017752133.1
OG0003621	XP_026673950.1, XP_026671672.1	XP_017763714.1
OG0003622	XP_017880219.1	XP_017761698.1
OG0003623	XP_026670980.1	XP_017761706.1
OG0003624	XP_017880173.1	XP_017761734.1
OG0003625	XP_017892946.1	XP_017761774.1
OG0003626	XP_017886004.1, XP_017886005.1	XP_017763792.1
OG0003628	XP_017881521.1	XP_017759666.1
OG0003629	XP_026670932.1	XP_017752244.1
OG0003630	XP_017883541.1	XP_017754290.1
OG0003631	XP_026675427.1, XP_026675426.1	XP_017762704.1
OG0003632	XP_017889535.1, XP_017887953.1	XP_017754315.1
OG0003633	XP_017885759.1	XP_017757107.1
OG0003634	XP_017882384.1	XP_017765186.1
OG0003635	XP_017884078.1	XP_017759146.1
OG0003636	XP_026675401.1, XP_026675400.1, XP_017892507.1	XP_017757916.1
OG0003637	XP_017875101.1	XP_017763586.1
OG0003638	XP_017893292.1	XP_017756770.1
OG0003639	XP_017876348.2	XP_017753613.1
OG0003640	XP_017893269.1	XP_017756747.1
OG0003643	XP_017886226.1	XP_017761664.1
OG0003644	XP_017893327.1, XP_017893326.1, XP_017893328.1	XP_017763498.1
OG0003645	XP_017887545.1	XP_017759419.1
OG0003646	XP_026667403.1, XP_026667400.1, XP_026667401.1	XP_017764579.1
OG0003647	XP_017875985.1	XP_017764204.1, XP_017764206.1, XP_017764205.1
OG0003648	XP_026666661.1	XP_017753611.1
OG0003649	XP_026674816.1	XP_017763039.1
OG0003650	XP_017891067.1	XP_017763058.1
OG0003651	XP_017886217.1, XP_017882362.1	XP_017765792.1
OG0003652	XP_026674775.1	XP_017763551.1
OG0003653	XP_017889134.2	XP_017753721.1
OG0003654	XP_026672590.1, XP_026672589.1	XP_017754926.1
OG0003655	XP_026674086.1, XP_026674089.1	XP_017757877.1
OG0003656	XP_026673670.1, XP_017888892.1	XP_017759482.1, XP_017759483.1
OG0003659	XP_026670812.1, XP_017882950.1	XP_017759068.1
OG0003660	XP_017881319.1	XP_017753974.1
OG0003661	XP_026670097.1	XP_017753434.1
OG0003662	XP_017876440.2, XP_017875922.2	XP_017755862.1
OG0003663	XP_017885136.1	XP_017758789.1
OG0003664	XP_017883912.1	XP_017762787.1, XP_017758411.1
OG0003665	XP_017876476.1, XP_026667582.1	XP_017766241.1
OG0003666	XP_017887581.1	XP_017753157.1
OG0003667	XP_026668992.1, XP_017882969.1	XP_017765442.1
OG0003668	XP_017876679.1	XP_017757299.1
OG0003669	XP_017882131.1	XP_017758452.1
OG0003670	XP_017891827.1	XP_017767501.1
OG0003671	XP_017892120.1	XP_017767372.1
OG0003672	XP_026668057.1, XP_026668053.1	XP_017756536.1
OG0003673	XP_017892080.1	XP_017767368.1, XP_017767367.1
OG0003674	XP_017881209.1, XP_017881207.1	XP_017757314.1
OG0003675	XP_017891868.1	XP_017765387.1
OG0003676	XP_017882013.1	XP_017757398.1
OG0003677	XP_017892011.1	XP_017767439.1
OG0003678	XP_026672596.1	XP_017758419.1
OG0003679	XP_017876483.1, XP_017876484.1	XP_017758430.1
OG0003680	XP_017885993.1, XP_026672293.1	XP_017754379.1
OG0003681	XP_017881288.1, XP_017881289.1	XP_017758449.1, XP_017758190.1
OG0003682	XP_017881193.1	XP_017757552.1, XP_017758364.1
OG0003683	XP_017875647.2, XP_017891737.1, XP_017891732.1	XP_017756470.1
OG0003684	XP_026666477.1	XP_017762252.1
OG0003685	XP_017881069.1	XP_017753987.1
OG0003685	XP_017881076.1	XP_017753986.1
OG0003686	XP_026673263.1	XP_017757010.1
OG0003687	XP_026668551.1	XP_017760339.1
OG0003688	XP_017878928.1	XP_017759987.1
OG0003689	XP_017876306.1	XP_017754890.1
OG0003690	XP_026668797.1	XP_017765752.1
OG0003691	XP_026674527.1	XP_017760679.1
OG0003692	XP_017878674.1	XP_017761476.1
OG0003693	XP_017881103.1	XP_017761479.1
OG0003694	XP_026672298.1	XP_017753207.1
OG0003695	XP_017885174.1	XP_017763806.1
OG0003696	XP_026668529.1	XP_017761456.1
OG0003697	XP_017892930.1, XP_017892929.1	XP_017759028.1
OG0003698	XP_017890581.1	XP_017760874.1
OG0003699	XP_017879032.1	XP_017754345.1
OG0003700	XP_026668838.1, XP_026668837.1	XP_017754122.1
OG0003701	XP_017880026.1, XP_017887848.1, XP_017879954.1	XP_017755570.1
OG0003702	XP_017875190.1, XP_017875191.1	XP_017754438.1
OG0003703	XP_026669000.1	XP_017758686.1
OG0003704	XP_017886314.1	XP_017762048.1
OG0003705	XP_017893141.1	XP_017761420.1
OG0003706	XP_017879698.1	XP_017764857.1
OG0003707	XP_026674417.1	XP_017757804.1
OG0003708	XP_026668732.1	XP_017754361.1
OG0003709	XP_017879243.1	XP_017756520.1, XP_017756519.1
OG0003710	XP_017891832.1	XP_017766539.1
OG0003711	XP_026668677.1	XP_017754368.1
OG0003712	XP_026669742.1	XP_017766823.1
OG0003713	XP_026673212.1, XP_026666827.1	XP_017766518.1
OG0003714	XP_017877486.1	XP_017766687.1, XP_017766691.1
OG0003715	XP_026670544.1	XP_017752218.1
OG0003716	XP_026667193.1, XP_017886545.1	XP_017767190.1
OG0003717	XP_026668164.1, XP_017877571.1	XP_017759897.1
OG0003718	XP_026671803.1, XP_026671807.1	XP_017763234.1
OG0003719	XP_017875511.1, XP_017875509.1	XP_017760538.1
OG0003720	XP_017887149.1	XP_017757844.1
OG0003721	XP_026671847.1	XP_017759365.1
OG0003722	XP_017884478.1	XP_017761614.1
OG0003723	XP_017889575.1	XP_017765025.1
OG0003724	XP_017889775.1, XP_017889774.1, XP_026673954.1	XP_017752784.1
OG0003725	XP_017886441.1, XP_026672470.1	XP_017753772.1
OG0003726	XP_017889699.1	XP_017761204.1
OG0003727	XP_017889466.1	XP_017753793.1, XP_017753792.1
OG0003728	XP_026670746.1	XP_017765772.1
OG0003729	XP_026674202.1	XP_017758130.1
OG0003730	XP_017889805.1	XP_017753740.1
OG0003731	XP_026673626.1	XP_017763336.1
OG0003732	XP_017886884.1	XP_017766883.1
OG0003733	XP_017892113.1	XP_017762402.1
OG0003734	XP_017890688.1	XP_017753585.1
OG0003735	XP_017877349.1	XP_017759633.1
OG0003736	XP_026667943.1	XP_017764397.1
OG0003737	XP_026673050.1, XP_017887661.1, XP_026673049.1	XP_017761109.1
OG0003738	XP_017885889.1	XP_017753260.1
OG0003739	XP_017876017.1, XP_017875999.1	XP_017759067.1
OG0003740	XP_026673769.1	XP_017753992.1
OG0003741	XP_017877063.1	XP_017764862.1
OG0003742	XP_026669285.1, XP_026671443.1	XP_017761898.1
OG0003743	XP_026668758.1	XP_017753044.1
OG0003744	XP_017885073.1	XP_017759105.1, XP_017759104.1
OG0003745	XP_026669557.1	XP_017761281.1
OG0003746	XP_017883981.1	XP_017755437.1
OG0003747	XP_017879975.1	XP_017760356.1
OG0003748	XP_026670420.1	XP_017766981.1
OG0003749	XP_026668087.1	XP_017766596.1, XP_017766594.1
OG0003750	XP_017878748.1, XP_017878736.1	XP_017757766.1
OG0003751	XP_017884485.1	XP_017761545.1
OG0003752	XP_017886459.1	XP_017765037.1
OG0003753	XP_017888363.1	XP_017763702.1
OG0003754	XP_017879312.1	XP_017755482.1
OG0003755	XP_017878215.1	XP_017756348.1, XP_017754702.1
OG0003756	XP_017890866.1	XP_017765718.1
OG0003757	XP_017889941.1	XP_017754517.1, XP_017754473.1
OG0003758	XP_026674386.1	XP_017757486.1
OG0003759	XP_017885369.1, XP_026672073.1	XP_017758736.1
OG0003760	XP_017889294.1	XP_017765645.1
OG0003761	XP_017881955.1	XP_017759435.1
OG0003762	XP_017884354.1	XP_017761072.1
OG0003763	XP_017879882.1	XP_017755503.1
OG0003764	XP_026672438.1, XP_017886200.1, XP_017886134.1	XP_017752228.1
OG0003765	XP_017879393.1	XP_017756304.1
OG0003766	XP_017876787.1	XP_017756345.1
OG0003767	XP_026666696.1	XP_017762657.1
OG0003768	XP_017884041.1	XP_017752363.1
OG0003769	XP_017891648.1	XP_017757464.1
OG0003770	XP_017883801.1	XP_017758405.1
OG0003771	XP_026671966.1	XP_017762781.1
OG0003772	XP_017886992.1, XP_017893559.1, XP_017893561.1	XP_017759628.1
OG0003773	XP_017875662.1	XP_017767359.1
OG0003774	XP_026672345.1	XP_017753177.1
OG0003775	XP_017888232.1	XP_017763269.1
OG0003776	XP_017893677.1	XP_017764401.1
OG0003777	XP_017887180.1	XP_017757078.1
OG0003778	XP_017888760.1, XP_017888759.1	XP_017763634.1
OG0003779	XP_017890008.1	XP_017764419.1
OG0003780	XP_017875254.1, XP_017875253.1	XP_017762372.1
OG0003781	XP_017875739.1	XP_017767382.1
OG0003782	XP_026672542.1, XP_017886413.1	XP_017752362.1
OG0003783	XP_017882101.1, XP_026670293.1	XP_017760514.1
OG0003784	XP_026673028.1, XP_026673029.1, XP_017887464.1	XP_017762278.1
OG0003785	XP_017875074.1	XP_017752594.1
OG0003786	XP_017888464.1	XP_017762476.1, XP_017762477.1
OG0003787	XP_017887955.1	XP_017755166.1
OG0003788	XP_017875932.1	XP_017766948.1
OG0003789	XP_017891612.1	XP_017753964.1
OG0003790	XP_017880906.1	XP_017752224.1
OG0003791	XP_017875315.2	XP_017756245.1
OG0003792	XP_017891881.1	XP_017764762.1
OG0003793	XP_017875698.1	XP_017767506.1
OG0003794	XP_017878643.1	XP_017760725.1
OG0003795	XP_017880435.1	XP_017762774.1
OG0003796	XP_017881512.1	XP_017759825.1
OG0003797	XP_017887517.2, XP_017887518.1	XP_017761928.1
OG0003798	XP_017890270.1	XP_017764627.1
OG0003799	XP_017893470.1, XP_026666683.1, XP_026666684.1	XP_017766514.1
OG0003800	XP_017890347.1	XP_017766652.1
OG0003801	XP_017888128.1	XP_017762873.1
OG0003802	XP_026669467.1	XP_017763862.1
OG0003803	XP_017891029.1	XP_017760982.1
OG0003804	XP_017879169.1	XP_017756366.1
