Orthogroup	Osmia_lignaria	Nomia_melanderi
OG0003570	XP_034182825.1, XP_034182824.1	XP_031844662.1
OG0003571	XP_034194526.1	XP_031844190.1, XP_031844189.1, XP_031844188.1
OG0003572	XP_034194395.1	XP_031848432.1, XP_031848433.1
OG0003573	XP_034194719.1	XP_031850529.1
OG0003575	XP_034174845.1	XP_031846258.1, XP_031846093.1, XP_031846171.1
OG0003576	XP_034194768.1	XP_031844607.1
OG0003577	XP_034187635.1	XP_031845357.1, XP_031845356.1
OG0003579	XP_034180458.1	XP_031835086.1, XP_031835087.1, XP_031835088.1
OG0003580	XP_034175013.1	XP_031828117.1
OG0003581	XP_034174244.1	XP_031829343.1
OG0003582	XP_034174054.1	XP_031846027.1
OG0003583	XP_034174619.1	XP_031842234.1
OG0003584	XP_034187466.1	XP_031845566.1
OG0003585	XP_034174368.1	XP_031845439.1
OG0003586	XP_034187546.1, XP_034187547.1	XP_031833184.1
OG0003587	XP_034174355.1	XP_031845029.1
OG0003588	XP_034174545.1	XP_031833170.1
OG0003589	XP_034172912.1	XP_031832460.1
OG0003590	XP_034177075.1	XP_031833366.1
OG0003591	XP_034177485.1	XP_031825345.1
OG0003592	XP_034177489.1	XP_031825430.1
OG0003593	XP_034186816.1	XP_031833333.1
OG0003594	XP_034194179.1, XP_034194173.1	XP_031828203.1, XP_031827798.1
OG0003595	XP_034177600.1	XP_031833833.1, XP_031833832.1
OG0003596	XP_034191365.1	XP_031826785.1
OG0003597	XP_034192944.1, XP_034192943.1, XP_034192941.1	XP_031825523.1, XP_031825522.1
OG0003598	XP_034176748.1, XP_034176750.1	XP_031825334.1
OG0003599	XP_034177191.1, XP_034177192.1	XP_031831520.1
OG0003600	XP_034176896.1	XP_031825305.1
OG0003601	XP_034192983.1	XP_031831650.1, XP_031831649.1
OG0003602	XP_034192747.1	XP_031843368.1
OG0003603	XP_034176884.1, XP_034176883.1	XP_031833734.1
OG0003604	XP_034177173.1	XP_031825323.1, XP_031825317.1
OG0003605	XP_034177221.1	XP_031833580.1, XP_031833579.1
OG0003606	XP_034177240.1	XP_031843346.1, XP_031843345.1, XP_031843344.1
OG0003607	XP_034192936.1	XP_031831587.1
OG0003608	XP_034177773.1	XP_031831835.1
OG0003609	XP_034196505.1	XP_031827904.1
OG0003610	XP_034184030.1	XP_031828561.1, XP_031828562.1
OG0003611	XP_034195637.1	XP_031828617.1
OG0003612	XP_034196390.1, XP_034196395.1	XP_031838654.1
OG0003613	XP_034195602.1	XP_031836576.1, XP_031836577.1
OG0003614	XP_034188818.1	XP_031846081.1, XP_031846094.1
OG0003615	XP_034196410.1	XP_031838782.1, XP_031838778.1
OG0003616	XP_034194091.1	XP_031848547.1
OG0003617	XP_034195093.1	XP_031847876.1
OG0003618	XP_034195946.1	XP_031838742.1
OG0003619	XP_034195995.1	XP_031838820.1
OG0003620	XP_034196363.1	XP_031838899.1
OG0003621	XP_034175232.1	XP_031836625.1
OG0003622	XP_034192545.1	XP_031838816.1
OG0003623	XP_034196001.1	XP_031838774.1
OG0003624	XP_034195589.1	XP_031840207.1
OG0003625	XP_034196128.1	XP_031836466.1
OG0003626	XP_034171460.1, XP_034171452.1	XP_031846720.1
OG0003627	XP_034181082.1	XP_031834179.1
OG0003628	XP_034177045.1	XP_031826536.1
OG0003629	XP_034181223.1	XP_031832262.1
OG0003630	XP_034181853.1	XP_031845725.1
OG0003631	XP_034184072.1	XP_031825978.1
OG0003632	XP_034181443.1	XP_031832182.1, XP_031832181.1
OG0003633	XP_034189171.1	XP_031846152.1
OG0003634	XP_034185523.1, XP_034185522.1	XP_031844314.1
OG0003635	XP_034193237.1	XP_031849957.1
OG0003636	XP_034191952.1	XP_031838129.1
OG0003637	XP_034188948.1	XP_031843891.1
OG0003638	XP_034188113.1	XP_031838330.1
OG0003639	XP_034171180.1	XP_031833839.1
OG0003640	XP_034181171.1	XP_031838379.1, XP_031838380.1
OG0003641	XP_034184900.1, XP_034184899.1, XP_034184903.1, XP_034184898.1, XP_034184902.1, XP_034184901.1	XP_031827216.1
OG0003642	XP_034188965.1, XP_034188964.1	XP_031843527.1
OG0003643	XP_034190588.1	XP_031830324.1
OG0003644	XP_034188008.1	XP_031833984.1
OG0003645	XP_034171298.1	XP_031848228.1
OG0003646	XP_034185287.1	XP_031830127.1
OG0003647	XP_034184683.1	XP_031829804.1
OG0003648	XP_034171839.1	XP_031837340.1, XP_031837350.1
OG0003649	XP_034192446.1, XP_034192444.1, XP_034192445.1	XP_031832259.1
OG0003650	XP_034192519.1, XP_034192517.1	XP_031832256.1
OG0003651	XP_034184784.1	XP_031841078.1
OG0003652	XP_034181273.1, XP_034181272.1	XP_031832039.1
OG0003653	XP_034172272.1	XP_031846838.1, XP_031846834.1
OG0003654	XP_034185217.1	XP_031830044.1, XP_031830053.1
OG0003655	XP_034180908.1	XP_031837948.1
OG0003656	XP_034185503.1	XP_031833339.1
OG0003657	XP_034184605.1	XP_031844118.1
OG0003658	XP_034185598.1	XP_031830013.1
OG0003659	XP_034172600.1	XP_031844021.1
OG0003660	XP_034173343.1	XP_031838158.1, XP_031838161.1
OG0003661	XP_034180267.1	XP_031841739.1
OG0003662	XP_034186531.1	XP_031839385.1
OG0003663	XP_034184083.1	XP_031844091.1, XP_031839959.1
OG0003664	XP_034183365.1	XP_031830399.1
OG0003665	XP_034190018.1	XP_031843878.1
OG0003666	XP_034175129.1	XP_031828031.1
OG0003667	XP_034172160.1	XP_031841953.1
OG0003668	XP_034178037.1	XP_031830934.1
OG0003669	XP_034183552.1	XP_031830656.1
OG0003670	XP_034186040.1	XP_031835815.1
OG0003671	XP_034189671.1	XP_031835871.1, XP_031835872.1, XP_031835870.1
OG0003672	XP_034181297.1	XP_031846989.1
OG0003673	XP_034189939.1	XP_031835888.1
OG0003674	XP_034194284.1	XP_031844113.1
OG0003675	XP_034189600.1	XP_031847786.1
OG0003676	XP_034183689.1	XP_031831028.1
OG0003677	XP_034189694.1, XP_034189693.1, XP_034189695.1	XP_031835866.1
OG0003678	XP_034183403.1	XP_031831053.1
OG0003679	XP_034190021.1	XP_031830664.1
OG0003680	XP_034190619.1	XP_031828230.1, XP_031828231.1
OG0003682	XP_034183811.1	XP_031831062.1
OG0003683	XP_034189957.1	XP_031831008.1
OG0003684	XP_034175512.1	XP_031835416.1
OG0003685	XP_034176165.1	XP_031828955.1
OG0003686	XP_034179495.1	XP_031840637.1
OG0003687	XP_034175217.1	XP_031835366.1, XP_031835365.1, XP_031835364.1
OG0003688	XP_034192296.1	XP_031833294.1
OG0003689	XP_034174945.1, XP_034174948.1	XP_031850109.1
OG0003690	XP_034187756.1	XP_031846539.1
OG0003691	XP_034193112.1	XP_031835602.1
OG0003692	XP_034175782.1	XP_031847730.1, XP_031847731.1, XP_031847732.1
OG0003693	XP_034175820.1, XP_034175821.1, XP_034175822.1	XP_031849883.1
OG0003694	XP_034178883.1	XP_031826247.1
OG0003695	XP_034189274.1	XP_031846743.1
OG0003696	XP_034175191.1	XP_031849391.1
OG0003697	XP_034175564.1	XP_031850033.1, XP_031850034.1
OG0003698	XP_034193261.1	XP_031835583.1
OG0003699	XP_034193432.1	XP_031849351.1
OG0003700	XP_034193365.1	XP_031849290.1
OG0003701	XP_034175461.1	XP_031847081.1
OG0003702	XP_034189704.1, XP_034189703.1	XP_031839018.1
OG0003703	XP_034186928.1, XP_034186925.1	XP_031841411.1
OG0003704	XP_034179772.1	XP_031829455.1
OG0003705	XP_034191499.1	XP_031826473.1
OG0003706	XP_034173047.1	XP_031839481.1
OG0003707	XP_034178381.1	XP_031836022.1
OG0003709	XP_034189568.1	XP_031847161.1
OG0003710	XP_034178340.1	XP_031835973.1
OG0003712	XP_034177929.1	XP_031836005.1
OG0003713	XP_034178571.1	XP_031836012.1
OG0003714	XP_034178066.1	XP_031827726.1
OG0003715	XP_034178455.1	XP_031836063.1
OG0003716	XP_034180037.1	XP_031833084.1
OG0003717	XP_034192135.1	XP_031832734.1
OG0003718	XP_034191974.1	XP_031837714.1
OG0003719	XP_034191685.1	XP_031833039.1
OG0003720	XP_034180331.1	XP_031837137.1
OG0003721	XP_034191462.1, XP_034191435.1	XP_031829626.1
OG0003722	XP_034180144.1	XP_031848243.1
OG0003723	XP_034179190.1	XP_031842745.1, XP_031842746.1
OG0003724	XP_034178910.1	XP_031843225.1
OG0003725	XP_034193963.1	XP_031847288.1
OG0003726	XP_034179585.1	XP_031844842.1
OG0003727	XP_034193797.1	XP_031842692.1
OG0003728	XP_034179050.1	XP_031844781.1, XP_031844777.1
OG0003729	XP_034179192.1	XP_031847531.1
OG0003730	XP_034193502.1, XP_034193501.1	XP_031842873.1
OG0003731	XP_034187079.1	XP_031827131.1
OG0003732	XP_034190792.1	XP_031841795.1
OG0003733	XP_034174563.1, XP_034174556.1	XP_031827940.1
OG0003734	XP_034183085.1	XP_031846347.1
OG0003735	XP_034191295.1	XP_031826950.1, XP_031826953.1
OG0003736	XP_034186753.1	XP_031826725.1
OG0003737	XP_034177483.1	XP_031826454.1
OG0003738	XP_034180151.1	XP_031826529.1
OG0003739	XP_034191995.1	XP_031843980.1
OG0003740	XP_034172069.1	XP_031848567.1
OG0003741	XP_034172316.1	XP_031839094.1
OG0003743	XP_034179696.1, XP_034179691.1	XP_031841122.1
OG0003744	XP_034194912.1, XP_034194913.1	XP_031848149.1
OG0003745	XP_034171281.1	XP_031836171.1
OG0003746	XP_034189243.1	XP_031834173.1
OG0003747	XP_034176230.1	XP_031835470.1, XP_031835471.1
OG0003748	XP_034175121.1	XP_031849804.1
OG0003749	XP_034178076.1	XP_031827727.1
OG0003750	XP_034178163.1	XP_031836226.1
OG0003751	XP_034191676.1	XP_031832922.1
OG0003752	XP_034193546.1	XP_031842577.1
OG0003753	XP_034183508.1, XP_034183507.1	XP_031846225.1
OG0003754	XP_034189222.1	XP_031839667.1
OG0003755	XP_034171571.1	XP_031833750.1
OG0003756	XP_034170949.1	XP_031834328.1, XP_031834318.1
OG0003757	XP_034196626.1	XP_031847251.1
OG0003758	XP_034193015.1	XP_031825268.1
OG0003759	XP_034177143.1	XP_031833780.1
OG0003760	XP_034184510.1	XP_031842011.1, XP_031842001.1
OG0003761	XP_034184075.1	XP_031843851.1
OG0003762	XP_034171493.1	XP_031829238.1
OG0003763	XP_034177858.1, XP_034177857.1	XP_031847989.1
OG0003764	XP_034178470.1	XP_031836342.1
OG0003765	XP_034188772.1	XP_031839936.1, XP_031839934.1, XP_031839935.1
OG0003766	XP_034188685.1	XP_031839969.1, XP_031839971.1, XP_031839968.1
OG0003767	XP_034174857.1	XP_031834470.1
OG0003768	XP_034188495.1, XP_034188497.1, XP_034188498.1	XP_031848446.1
OG0003769	XP_034176866.1	XP_031833462.1
OG0003770	XP_034183609.1	XP_031830930.1, XP_031830929.1, XP_031830928.1, XP_031830926.1, XP_031830925.1, XP_031830927.1
OG0003771	XP_034172956.1	XP_031840489.1
OG0003772	XP_034192546.1	XP_031836056.1
OG0003773	XP_034186087.1	XP_031835900.1
OG0003774	XP_034172267.1	XP_031826451.1
OG0003775	XP_034172550.1	XP_031847116.1
OG0003776	XP_034186903.1	XP_031827025.1, XP_031827026.1
OG0003777	XP_034179979.1	XP_031837265.1
OG0003778	XP_034184975.1	XP_031846570.1
OG0003779	XP_034187031.1	XP_031827199.1
OG0003780	XP_034182745.1	XP_031849661.1
OG0003781	XP_034190115.1, XP_034190116.1	XP_031825845.1
OG0003782	XP_034179942.1, XP_034179941.1	XP_031825692.1
OG0003783	XP_034189433.1	XP_031830815.1
OG0003784	XP_034175521.1	XP_031835579.1
OG0003785	XP_034171077.1	XP_031828422.1
OG0003786	XP_034186839.1	XP_031842123.1
OG0003787	XP_034184471.1	XP_031828115.1, XP_031828116.1
OG0003788	XP_034179113.1	XP_031836456.1
OG0003789	XP_034179275.1	XP_031838224.1, XP_031838223.1, XP_031838222.1
OG0003790	XP_034178181.1	XP_031836062.1, XP_031836061.1
OG0003791	XP_034191147.1	XP_031827643.1
OG0003792	XP_034185745.1, XP_034185744.1	XP_031847757.1
OG0003793	XP_034186070.1	XP_031835865.1
OG0003794	XP_034175818.1, XP_034175817.1, XP_034175819.1	XP_031847718.1
OG0003795	XP_034185111.1	XP_031846664.1, XP_031846666.1
OG0003796	XP_034171854.1	XP_031828166.1
OG0003797	XP_034174987.1, XP_034174983.1	XP_031838549.1
OG0003798	XP_034178613.1, XP_034178612.1	XP_031847626.1
OG0003799	XP_034178031.1	XP_031840028.1
OG0003800	XP_034178041.1	XP_031827749.1
OG0003801	XP_034180627.1	XP_031832907.1
OG0003802	XP_034172531.1	XP_031846765.1
OG0003803	XP_034172333.1	XP_031826231.1, XP_031839275.1
OG0003804	XP_034171581.1	XP_031831857.1
OG0003805	XP_034194598.1	XP_031841023.1
OG0003806	XP_034187450.1	XP_031829368.1
OG0003807	XP_034187514.1	XP_031845459.1
OG0003808	XP_034173692.1	XP_031845574.1, XP_031845573.1, XP_031845575.1
OG0003809	XP_034177079.1	XP_031833358.1
OG0003810	XP_034196130.1	XP_031846924.1
OG0003811	XP_034176525.1, XP_034176535.1	XP_031826639.1
OG0003812	XP_034187876.1	XP_031833966.1
OG0003813	XP_034182717.1	XP_031849727.1
OG0003814	XP_034173146.1	XP_031846860.1
OG0003815	XP_034173785.1	XP_031845302.1, XP_031845300.1
OG0003816	XP_034185918.1	XP_031825955.1
OG0003817	XP_034181013.1	XP_031849009.1
OG0003818	XP_034185551.1	XP_031829973.1, XP_031829972.1
OG0003819	XP_034188043.1	XP_031838296.1
OG0003820	XP_034186865.1	XP_031826973.1, XP_031826972.1
OG0003821	XP_034170884.1	XP_031836189.1, XP_031836190.1
OG0003822	XP_034171728.1	XP_031834910.1
OG0003823	XP_034195780.1	XP_031828445.1, XP_031828444.1
OG0003824	XP_034173883.1	XP_031844992.1
OG0003825	XP_034175335.1	XP_031835459.1
OG0003826	XP_034188244.1	XP_031834551.1, XP_031834550.1
OG0003827	XP_034175575.1	XP_031826220.1
OG0003828	XP_034187244.1	XP_031829376.1, XP_031829377.1
OG0003829	XP_034181919.1	XP_031844324.1
OG0003830	XP_034173575.1	XP_031841984.1
OG0003831	XP_034186073.1	XP_031838652.1
OG0003832	XP_034184038.1	XP_031828481.1
OG0003833	XP_034195786.1	XP_031838818.1
OG0003834	XP_034191535.1, XP_034191536.1	XP_031829641.1
OG0003835	XP_034175360.1	XP_031849349.1
OG0003836	XP_034190242.1	XP_031830045.1, XP_031830043.1
OG0003837	XP_034170883.1	XP_031840322.1, XP_031840321.1, XP_031840323.1
OG0003839	XP_034193215.1	XP_031850261.1, XP_031850259.1
OG0003840	XP_034193659.1	XP_031842853.1
OG0003841	XP_034191492.1	XP_031829589.1, XP_031829588.1
OG0003842	XP_034175214.1	XP_031849988.1
OG0003843	XP_034196178.1	XP_031838605.1
OG0003844	XP_034187907.1	XP_031828981.1
OG0003845	XP_034178713.1	XP_031844444.1
OG0003846	XP_034192860.1	XP_031833830.1, XP_031833831.1
OG0003847	XP_034175685.1	XP_031850176.1
OG0003848	XP_034188648.1	XP_031844281.1
OG0003849	XP_034181246.1	XP_031834025.1
OG0003850	XP_034177235.1	XP_031843341.1
OG0003851	XP_034191700.1	XP_031832960.1
OG0003852	XP_034192949.1	XP_031825478.1
OG0003853	XP_034180914.1	XP_031837970.1
OG0003854	XP_034186081.1	XP_031835897.1
OG0003855	XP_034176136.1	XP_031835528.1, XP_031835529.1
OG0003856	XP_034182343.1	XP_031849552.1
OG0003857	XP_034195753.1	XP_031838857.1
OG0003858	XP_034173101.1	XP_031840618.1, XP_031840620.1, XP_031840619.1
OG0003859	XP_034172129.1	XP_031839157.1, XP_031839158.1
OG0003860	XP_034181184.1	XP_031828662.1, XP_031828656.1
OG0003861	XP_034195563.1	XP_031838668.1
OG0003862	XP_034193534.1	XP_031842412.1
OG0003863	XP_034191637.1	XP_031837094.1
OG0003864	XP_034189702.1	XP_031838776.1
OG0003865	XP_034176775.1	XP_031833515.1
OG0003866	XP_034174005.1	XP_031842242.1, XP_031842243.1, XP_031842244.1, XP_031842245.1
OG0003867	XP_034179368.1	XP_031844756.1, XP_031844757.1
OG0003868	XP_034195648.1	XP_031828622.1
OG0003869	XP_034182358.1	XP_031840354.1
OG0003870	XP_034189679.1, XP_034189678.1	XP_031830416.1
OG0003871	XP_034185872.1	XP_031847859.1
OG0003872	XP_034175404.1	XP_031835431.1
OG0003873	XP_034182528.1	XP_031840950.1
OG0003875	XP_034176755.1	XP_031831254.1
OG0003876	XP_034187130.1	XP_031841753.1
OG0003877	XP_034186552.1	XP_031850210.1, XP_031850201.1
OG0003878	XP_034193602.1	XP_031838868.1
OG0003879	XP_034171125.1	XP_031828539.1, XP_031828540.1
OG0003880	XP_034184982.1	XP_031846381.1
OG0003881	XP_034181221.1, XP_034181222.1	XP_031845700.1
OG0003882	XP_034191208.1	XP_031826702.1
OG0003883	XP_034181060.1	XP_031828104.1
OG0003884	XP_034183534.1	XP_031825907.1, XP_031825908.1
OG0003885	XP_034192375.1	XP_031837029.1
OG0003886	XP_034195127.1	XP_031840153.1
OG0003887	XP_034181479.1	XP_031832067.1
OG0003888	XP_034193006.1	XP_031831361.1
OG0003889	XP_034171940.1	XP_031834483.1
OG0003890	XP_034190390.1	XP_031829795.1
OG0003891	XP_034173789.1	XP_031833798.1
OG0003892	XP_034176879.1	XP_031833728.1
OG0003893	XP_034189389.1, XP_034189388.1	XP_031834998.1
OG0003894	XP_034195844.1	XP_031848829.1
OG0003895	XP_034175091.1, XP_034175092.1	XP_031835068.1
OG0003896	XP_034179774.1	XP_031829441.1
OG0003897	XP_034193781.1	XP_031842690.1, XP_031842691.1
OG0003898	XP_034172769.1	XP_031846926.1
OG0003899	XP_034171289.1	XP_031839972.1
OG0003900	XP_034180740.1	XP_031848532.1
OG0003901	XP_034177145.1	XP_031825489.1
OG0003902	XP_034177884.1	XP_031826163.1
OG0003903	XP_034175991.1	XP_031846431.1
OG0003904	XP_034174670.1	XP_031833989.1
OG0003905	XP_034190600.1	XP_031830339.1, XP_031830341.1
OG0003907	XP_034183627.1, XP_034183628.1	XP_031843732.1
OG0003908	XP_034176888.1	XP_031833374.1
OG0003909	XP_034195495.1	XP_031848191.1, XP_031848180.1
OG0003910	XP_034179736.1	XP_031847351.1
OG0003911	XP_034175739.1, XP_034175744.1	XP_031828011.1
OG0003912	XP_034175862.1	XP_031835633.1, XP_031848864.1
OG0003913	XP_034194056.1	XP_031848025.1, XP_031848036.1
OG0003914	XP_034174015.1	XP_031842432.1
OG0003915	XP_034188513.1	XP_031844279.1, XP_031844278.1, XP_031844280.1
OG0003916	XP_034194799.1, XP_034194734.1	XP_031840482.1
OG0003917	XP_034186910.1	XP_031827035.1, XP_031827036.1
OG0003918	XP_034194342.1	XP_031844336.1
OG0003919	XP_034190318.1	XP_031846371.1, XP_031846372.1
OG0003920	XP_034185883.1	XP_031847868.1
OG0003921	XP_034182669.1	XP_031844185.1
OG0003922	XP_034174812.1	XP_031845223.1
OG0003923	XP_034192454.1	XP_031832230.1
OG0003924	XP_034180428.1	XP_031832673.1
OG0003925	XP_034192810.1	XP_031848566.1
OG0003926	XP_034180409.1	XP_031837358.1
OG0003927	XP_034172859.1, XP_034172858.1	XP_031837468.1
OG0003928	XP_034189139.1, XP_034189135.1	XP_031848920.1
OG0003929	XP_034171145.1	XP_031839652.1
OG0003930	XP_034181081.1	XP_031834026.1
OG0003931	XP_034187766.1, XP_034187774.1	XP_031840007.1
OG0003932	XP_034176673.1	XP_031829029.1, XP_031829025.1
OG0003933	XP_034180647.1	XP_031837301.1, XP_031837300.1, XP_031837303.1
OG0003935	XP_034185152.1	XP_031846412.1, XP_031846411.1, XP_031846410.1, XP_031846409.1
OG0003936	XP_034173224.1, XP_034173223.1	XP_031843981.1
OG0003938	XP_034176255.1	XP_031835541.1, XP_031835540.1
OG0003941	XP_034189064.1	XP_031839759.1, XP_031839762.1, XP_031839758.1
OG0003943	XP_034193603.1, XP_034193604.1, XP_034193600.1, XP_034193599.1, XP_034193601.1	XP_031842754.1
OG0003950	XP_034179936.1	XP_031825826.1
OG0003951	XP_034177832.1	XP_031831693.1
OG0003952	XP_034173905.1	XP_031845188.1
OG0003954	XP_034171583.1	XP_031833781.1
OG0003955	XP_034193663.1	XP_031847394.1
OG0003956	XP_034183329.1	XP_031827622.1
OG0003957	XP_034178282.1	XP_031836357.1
OG0003958	XP_034183661.1	XP_031830873.1
OG0003959	XP_034180787.1	XP_031832874.1
OG0003960	XP_034195610.1	XP_031836465.1
OG0003961	XP_034191978.1	XP_031832824.1
OG0003962	XP_034182304.1	XP_031849556.1
OG0003963	XP_034195736.1	XP_031838622.1
OG0003964	XP_034181574.1	XP_031826596.1
OG0003965	XP_034171063.1	XP_031828336.1
OG0003966	XP_034195729.1	XP_031838644.1
OG0003967	XP_034177986.1	XP_031840027.1
OG0003968	XP_034190192.1	XP_031843588.1
OG0003970	XP_034171886.1	XP_031836223.1
OG0003971	XP_034176138.1	XP_031850268.1
OG0003972	XP_034171727.1	XP_031837889.1
OG0003973	XP_034183981.1	XP_031842436.1
OG0003975	XP_034196329.1, XP_034196330.1	XP_031836513.1
OG0003976	XP_034175296.1	XP_031850191.1
OG0003977	XP_034177560.1, XP_034177559.1	XP_031825401.1
OG0003978	XP_034182573.1	XP_031844982.1
OG0003979	XP_034180853.1	XP_031845947.1
OG0003980	XP_034175120.1	XP_031849791.1
OG0003981	XP_034192580.1	XP_031831862.1
OG0003982	XP_034192017.1	XP_031832839.1
OG0003983	XP_034183739.1	XP_031843843.1
OG0003984	XP_034173650.1	XP_031842101.1
OG0003985	XP_034191780.1	XP_031837675.1
OG0003986	XP_034188476.1	XP_031844271.1
OG0003987	XP_034193614.1, XP_034177212.1	XP_031847306.1
OG0003988	XP_034180094.1	XP_031837105.1
OG0003989	XP_034185038.1	XP_031831301.1
OG0003990	XP_034172427.1	XP_031841954.1
OG0003991	XP_034185575.1	XP_031844217.1
OG0003992	XP_034173466.1	XP_031837665.1
OG0003993	XP_034182120.1	XP_031850463.1
OG0003994	XP_034171096.1	XP_031839991.1
OG0003995	XP_034184897.1	XP_031838404.1
OG0003996	XP_034178799.1	XP_031827648.1
OG0003997	XP_034183899.1	XP_031835230.1
OG0003998	XP_034176215.1	XP_031835544.1
OG0003999	XP_034174141.1	XP_031845003.1
OG0004000	XP_034183355.1	XP_031846180.1
OG0004001	XP_034178635.1	XP_031827674.1
OG0004002	XP_034191786.1	XP_031826029.1
OG0004003	XP_034194448.1	XP_031849632.1
OG0004004	XP_034181157.1	XP_031838446.1
OG0004005	XP_034182319.1	XP_031849548.1
OG0004006	XP_034184263.1	XP_031844813.1
OG0004007	XP_034187941.1	XP_031838341.1
OG0004008	XP_034176414.1	XP_031849404.1, XP_031849405.1
OG0004009	XP_034182858.1	XP_031849978.1
OG0004010	XP_034182775.1	XP_031840923.1
OG0004011	XP_034187636.1	XP_031835034.1
OG0004012	XP_034193532.1	XP_031829444.1
OG0004013	XP_034173419.1	XP_031839436.1
OG0004014	XP_034173564.1	XP_031837519.1
OG0004015	XP_034175422.1	XP_031849863.1
OG0004016	XP_034187160.1	XP_031825371.1
OG0004017	XP_034178370.1	XP_031835991.1
OG0004019	XP_034189690.1	XP_031826340.1
OG0004020	XP_034173459.1	XP_031847150.1
OG0004021	XP_034187607.1	XP_031845587.1
OG0004022	XP_034175617.1	XP_031828549.1
OG0004024	XP_034185395.1	XP_031830384.1
OG0004025	XP_034177313.1	XP_031846607.1
OG0004026	XP_034185934.1	XP_031831093.1
OG0004027	XP_034189226.1	XP_031839668.1
OG0004028	XP_034171985.1	XP_031835885.1, XP_031835876.1
OG0004029	XP_034179352.1	XP_031843144.1
OG0004030	XP_034187262.1	XP_031846444.1
OG0004031	XP_034172566.1	XP_031839114.1
OG0004032	XP_034173118.1	XP_031847604.1
OG0004033	XP_034191001.1	XP_031827041.1
OG0004034	XP_034187565.1	XP_031829008.1, XP_031829007.1
OG0004035	XP_034191798.1	XP_031837191.1
OG0004036	XP_034172657.1	XP_031839242.1
OG0004037	XP_034173220.1	XP_031838087.1
OG0004038	XP_034188922.1	XP_031839537.1
OG0004039	XP_034179924.1	XP_031847434.1, XP_031847435.1
OG0004040	XP_034178164.1	XP_031846712.1
OG0004041	XP_034183294.1	XP_031826569.1
OG0004042	XP_034175674.1	XP_031849756.1
OG0004043	XP_034173026.1	XP_031839480.1
OG0004044	XP_034179556.1	XP_031829532.1
OG0004045	XP_034177960.1	XP_031844442.1
OG0004046	XP_034172585.1	XP_031841912.1
OG0004047	XP_034183670.1	XP_031830889.1
OG0004048	XP_034174063.1	XP_031842273.1
OG0004050	XP_034190928.1	XP_031826987.1
OG0004051	XP_034179103.1	XP_031847495.1, XP_031847496.1
OG0004052	XP_034192729.1	XP_031831543.1
OG0004053	XP_034191077.1	XP_031826759.1
OG0004054	XP_034181261.1	XP_031838359.1
OG0004055	XP_034191504.1	XP_031829591.1
OG0004056	XP_034191192.1	XP_031827243.1
OG0004057	XP_034172678.1	XP_031840378.1
OG0004058	XP_034190860.1	XP_031841740.1
OG0004059	XP_034178496.1	XP_031827712.1
OG0004060	XP_034189635.1	XP_031830627.1
OG0004061	XP_034187273.1	XP_031834490.1
OG0004062	XP_034173057.1	XP_031839347.1
OG0004063	XP_034178794.1	XP_031827760.1
OG0004064	XP_034175854.1	XP_031833878.1, XP_031833877.1
OG0004065	XP_034177720.1	XP_031846613.1
OG0004066	XP_034195136.1	XP_031849105.1, XP_031849106.1
OG0004067	XP_034181690.1	XP_031845729.1
OG0004068	XP_034187838.1	XP_031843287.1
OG0004069	XP_034193479.1	XP_031842573.1
OG0004070	XP_034172225.1	XP_031839379.1
OG0004071	XP_034192703.1	XP_031833403.1
OG0004072	XP_034186602.1	XP_031841386.1
OG0004073	XP_034189624.1	XP_031847973.1, XP_031847972.1
OG0004074	XP_034179128.1	XP_031838153.1
OG0004076	XP_034192718.1	XP_031831315.1
OG0004077	XP_034176441.1	XP_031837079.1
OG0004078	XP_034188324.1	XP_031840780.1
OG0004080	XP_034172881.1	XP_031846812.1, XP_031846813.1
OG0004082	XP_034172773.1	XP_031846944.1
OG0004083	XP_034173688.1	XP_031845509.1
OG0004084	XP_034181017.1, XP_034181016.1	XP_031849014.1
OG0004085	XP_034192116.1	XP_031832640.1
OG0004086	XP_034172637.1	XP_031846846.1
OG0004087	XP_034185940.1	XP_031830813.1
OG0004088	XP_034179349.1, XP_034179350.1	XP_031844748.1
OG0004089	XP_034175737.1	XP_031835576.1
OG0004090	XP_034178180.1	XP_031836015.1
OG0004091	XP_034190668.1	XP_031841195.1
OG0004092	XP_034182040.1	XP_031844333.1
OG0004093	XP_034175884.1	XP_031849894.1
OG0004095	XP_034183195.1	XP_031841323.1
OG0004096	XP_034172257.1	XP_031847169.1
OG0004097	XP_034187418.1	XP_031829354.1
OG0004099	XP_034176495.1	XP_031826141.1
OG0004100	XP_034185830.1	XP_031830498.1
OG0004101	XP_034177860.1	XP_031847988.1
OG0004102	XP_034196000.1	XP_031847048.1, XP_031847057.1
OG0004103	XP_034176663.1	XP_031829022.1
OG0004104	XP_034191976.1	XP_031836270.1
OG0004105	XP_034189024.1	XP_031835025.1
OG0004106	XP_034194711.1	XP_031849595.1
OG0004107	XP_034192237.1	XP_031840276.1
OG0004108	XP_034188911.1	XP_031831385.1
OG0004109	XP_034182237.1	XP_031848450.1
OG0004110	XP_034174902.1	XP_031828082.1, XP_031828083.1
OG0004111	XP_034194215.1	XP_031841959.1
OG0004112	XP_034192034.1	XP_031832868.1, XP_031832869.1
OG0004113	XP_034184663.1	XP_031846543.1
OG0004114	XP_034193560.1	XP_031842750.1
